"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tende.red.votes"
"42"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"43"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"44"	"39"	"39"	"144"	"10"	"256"	"12"	"5"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"6"	"5"	"445"	"0"	"445"	""
"45"	"40"	"40"	"53"	"25"	"197"	"39"	"31"	"2"	"4"	"3"	"3"	"0"	"2"	"5"	"19"	"20"	"11"	"414"	"0"	"414"	""
"46"	"41"	"41"	"22"	"11"	"196"	"43"	"45"	"2"	"2"	"2"	"1"	"0"	"2"	"3"	"3"	"8"	"6"	"346"	"0"	"346"	""
"47"	"42"	"42"	"0"	"2"	"22"	"395"	"42"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"465"	"0"	"465"	""
"48"	"43"	"43"	"50"	"65"	"50"	"140"	"148"	"8"	"2"	"6"	"4"	"4"	"7"	"6"	"2"	"6"	"14"	"512"	"0"	"512"	""
"49"	"44"	"44"	"84"	"21"	"90"	"70"	"110"	"4"	"1"	"4"	"2"	"2"	"2"	"6"	"5"	"3"	"6"	"410"	"0"	"410"	""
"50"	"45"	"45"	"69"	"6"	"57"	"220"	"113"	"1"	"2"	"1"	"0"	"1"	"5"	"5"	"6"	"3"	"5"	"494"	"0"	"494"	""
"51"	"46"	"46"	"94"	"17"	"161"	"104"	"143"	"5"	"6"	"2"	"1"	"1"	"0"	"2"	"4"	"2"	"5"	"547"	"0"	"547"	""
"52"	"47"	"47"	"207"	"8"	"40"	"37"	"67"	"3"	"3"	"7"	"2"	"1"	"1"	"0"	"2"	"1"	"0"	"379"	"0"	"379"	""
"53"	"48"	"48"	"2"	"5"	"45"	"428"	"83"	"4"	"1"	"3"	"2"	"1"	"1"	"7"	"1"	"0"	"1"	"584"	"0"	"584"	""
"54"	"49"	"49"	"8"	"10"	"66"	"182"	"80"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"1"	"356"	"0"	"356"	""
"55"	"50"	"50"	"35"	"21"	"146"	"15"	"82"	"7"	"3"	"5"	"7"	"6"	"7"	"8"	"17"	"12"	"40"	"411"	"0"	"411"	""
"56"	"51"	"51"	"40"	"9"	"89"	"161"	"201"	"6"	"3"	"3"	"4"	"1"	"3"	"6"	"8"	"9"	"25"	"568"	"0"	"568"	""
"57"	"52"	"52"	"16"	"7"	"103"	"100"	"73"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"3"	"313"	"0"	"313"	""
"58"	"53"	"53"	"114"	"9"	"59"	"24"	"47"	"1"	"3"	"2"	"2"	"2"	"1"	"2"	"0"	"2"	"7"	"275"	"0"	"275"	""
"59"	"54"	"54"	"1"	"10"	"63"	"158"	"59"	"0"	"0"	"1"	"5"	"0"	"0"	"2"	"5"	"2"	"7"	"313"	"0"	"313"	""
"60"	"55"	"55"	"44"	"27"	"203"	"192"	"36"	"2"	"3"	"2"	"4"	"1"	"3"	"9"	"15"	"9"	"8"	"558"	"0"	"558"	""
"61"	"56"	"56"	"10"	"7"	"201"	"94"	"80"	"2"	"4"	"0"	"0"	"0"	"0"	"5"	"14"	"3"	"1"	"421"	"0"	"421"	""
"62"	"57"	"57"	"41"	"14"	"265"	"21"	"12"	"1"	"3"	"0"	"0"	"1"	"1"	"6"	"11"	"3"	"6"	"385"	"0"	"385"	""
"63"	"58"	"58"	"60"	"6"	"129"	"7"	"64"	"4"	"1"	"1"	"1"	"0"	"0"	"2"	"7"	"3"	"6"	"291"	"0"	"291"	""
"64"	"59"	"59"	"42"	"18"	"249"	"31"	"51"	"1"	"3"	"4"	"0"	"1"	"2"	"5"	"13"	"11"	"7"	"438"	"0"	"438"	""
"65"	"60"	"60"	"58"	"5"	"135"	"19"	"48"	"1"	"0"	"1"	"0"	"1"	"0"	"5"	"4"	"4"	"11"	"292"	"0"	"292"	""
"66"	"61"	"61"	"268"	"6"	"75"	"9"	"3"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"5"	"1"	"7"	"383"	"0"	"383"	""
"67"	"62"	"62"	"363"	"5"	"4"	"2"	"2"	"1"	"5"	"0"	"0"	"0"	"2"	"1"	"4"	"0"	"9"	"398"	"0"	"398"	""
"68"	"63"	"63"	"189"	"4"	"12"	"3"	"10"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"226"	"0"	"226"	""
"69"	"64"	"64"	"434"	"2"	"6"	"3"	"23"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"4"	"3"	"9"	"489"	"0"	"489"	""
"70"	"65"	"65"	"438"	"2"	"5"	"4"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"475"	"0"	"475"	""
"71"	"66"	"66"	"161"	"29"	"93"	"76"	"183"	"6"	"1"	"2"	"1"	"1"	"5"	"4"	"3"	"5"	"17"	"587"	"0"	"587"	""
"72"	"67"	"67"	"20"	"12"	"93"	"174"	"116"	"4"	"0"	"5"	"3"	"1"	"5"	"1"	"13"	"5"	"17"	"469"	"0"	"469"	""
"73"	"68"	"68"	"53"	"11"	"168"	"10"	"66"	"3"	"4"	"3"	"1"	"0"	"1"	"4"	"16"	"10"	"12"	"362"	"0"	"362"	""
"74"	"69"	"69"	"71"	"22"	"198"	"2"	"90"	"3"	"7"	"4"	"3"	"1"	"1"	"6"	"10"	"6"	"2"	"426"	"0"	"426"	""
"75"	"70"	"70"	"80"	"12"	"200"	"48"	"87"	"4"	"6"	"2"	"2"	"5"	"3"	"9"	"15"	"15"	"16"	"504"	"0"	"504"	""
"76"	"71"	"71"	"349"	"7"	"116"	"5"	"9"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"3"	"496"	"0"	"496"	""
"77"	"72"	"72"	"516"	"8"	"19"	"10"	"50"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"10"	"624"	"0"	"624"	""
"78"	"73"	"73"	"267"	"11"	"99"	"8"	"11"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"4"	"7"	"16"	"433"	"0"	"433"	""
"79"	"74"	"74"	"584"	"10"	"19"	"4"	"8"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"4"	"5"	"639"	"0"	"639"	""
"80"	"75"	"75"	"302"	"10"	"230"	"33"	"24"	"3"	"2"	"3"	"2"	"2"	"4"	"9"	"11"	"11"	"22"	"668"	"0"	"668"	""
"81"	"76"	"76"	"3"	"1"	"94"	"453"	"14"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"571"	"0"	"571"	""
"82"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
"83"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"85"	"77"	"77"	"268"	"4"	"339"	"32"	"17"	"0"	"3"	"0"	"2"	"0"	"0"	"3"	"6"	"2"	"3"	"679"	"0"	"679"	""
"86"	"78"	"78"	"24"	"22"	"298"	"69"	"63"	"1"	"4"	"3"	"3"	"2"	"5"	"7"	"8"	"7"	"10"	"526"	"0"	"526"	""
"87"	"79"	"79"	"42"	"17"	"212"	"61"	"13"	"2"	"3"	"0"	"1"	"1"	"2"	"3"	"10"	"10"	"14"	"391"	"0"	"391"	""
"88"	"80"	"80"	"70"	"28"	"330"	"64"	"27"	"5"	"3"	"4"	"2"	"1"	"6"	"6"	"14"	"16"	"12"	"588"	"0"	"588"	""
"89"	"81"	"81"	"267"	"17"	"74"	"48"	"9"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"6"	"11"	"23"	"460"	"0"	"460"	""
"90"	"82"	"82"	"3"	"5"	"117"	"50"	"37"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"11"	"2"	"5"	"235"	"0"	"235"	""
"91"	"83"	"83"	"35"	"10"	"119"	"17"	"25"	"2"	"0"	"2"	"0"	"2"	"2"	"5"	"5"	"6"	"19"	"249"	"0"	"249"	""
"92"	"84"	"84"	"5"	"18"	"334"	"71"	"120"	"3"	"4"	"2"	"0"	"0"	"1"	"2"	"8"	"6"	"5"	"579"	"0"	"579"	""
"93"	"85"	"85"	"33"	"20"	"268"	"14"	"16"	"1"	"1"	"1"	"6"	"1"	"3"	"7"	"12"	"11"	"14"	"408"	"0"	"408"	""
"94"	"86"	"86"	"154"	"8"	"79"	"106"	"17"	"1"	"4"	"2"	"3"	"2"	"4"	"3"	"11"	"5"	"22"	"421"	"0"	"421"	""
"95"	"87"	"87"	"130"	"11"	"38"	"2"	"33"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"3"	"8"	"234"	"0"	"234"	""
"96"	"88"	"88"	"38"	"8"	"155"	"135"	"236"	"4"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"3"	"586"	"0"	"586"	""
"97"	"89"	"89"	"107"	"9"	"63"	"54"	"380"	"12"	"5"	"1"	"0"	"0"	"4"	"2"	"2"	"3"	"18"	"660"	"0"	"660"	""
"98"	"90"	"90"	"21"	"10"	"530"	"6"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"577"	"0"	"577"	""
"99"	"91"	"91"	"62"	"32"	"365"	"17"	"28"	"3"	"7"	"13"	"1"	"4"	"1"	"9"	"13"	"5"	"7"	"567"	"0"	"567"	""
"100"	"92"	"92"	"172"	"19"	"230"	"33"	"15"	"3"	"5"	"4"	"2"	"1"	"1"	"6"	"15"	"14"	"22"	"542"	"0"	"542"	""
"101"	"93"	"93"	"174"	"19"	"259"	"30"	"17"	"4"	"4"	"1"	"1"	"1"	"1"	"3"	"8"	"7"	"19"	"548"	"0"	"548"	""
"102"	"94"	"94"	"92"	"15"	"105"	"15"	"13"	"1"	"2"	"2"	"0"	"1"	"1"	"1"	"4"	"4"	"4"	"260"	"0"	"260"	""
"103"	"95"	"95"	"97"	"25"	"340"	"40"	"76"	"1"	"4"	"2"	"0"	"2"	"1"	"2"	"4"	"3"	"5"	"602"	"0"	"602"	""
"104"	"96"	"96"	"26"	"23"	"212"	"25"	"19"	"2"	"4"	"7"	"0"	"2"	"1"	"0"	"1"	"4"	"8"	"334"	"0"	"334"	""
"105"	"97"	"97"	"100"	"15"	"128"	"31"	"20"	"9"	"4"	"5"	"1"	"7"	"1"	"2"	"5"	"7"	"8"	"343"	"0"	"343"	""
"106"	"98"	"98"	"59"	"21"	"350"	"51"	"25"	"3"	"2"	"2"	"2"	"0"	"0"	"2"	"4"	"10"	"8"	"539"	"0"	"539"	""
"107"	"99"	"99"	"51"	"33"	"374"	"29"	"85"	"2"	"7"	"6"	"2"	"0"	"0"	"1"	"6"	"7"	"5"	"608"	"0"	"608"	""
"108"	"100"	"100"	"188"	"15"	"137"	"22"	"40"	"3"	"4"	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	"417"	"0"	"417"	""
"109"	"101"	"101"	"39"	"14"	"113"	"79"	"48"	"2"	"0"	"1"	"0"	"1"	"6"	"4"	"8"	"9"	"17"	"341"	"0"	"341"	""
"110"	"102"	"102"	"19"	"18"	"168"	"164"	"179"	"4"	"7"	"7"	"5"	"2"	"1"	"12"	"7"	"6"	"21"	"620"	"0"	"620"	""
"111"	"103"	"103"	"8"	"30"	"423"	"59"	"39"	"1"	"0"	"2"	"2"	"1"	"0"	"4"	"10"	"6"	"2"	"587"	"0"	"587"	""
"112"	"104"	"104"	"84"	"26"	"196"	"117"	"214"	"9"	"2"	"4"	"0"	"3"	"2"	"5"	"9"	"3"	"7"	"681"	"0"	"681"	""
"113"	"105"	"105"	"62"	"13"	"143"	"10"	"32"	"3"	"1"	"1"	"1"	"4"	"1"	"2"	"8"	"7"	"3"	"291"	"0"	"291"	""
"114"	"106"	"106"	"36"	"18"	"303"	"50"	"34"	"2"	"3"	"5"	"2"	"6"	"0"	"10"	"14"	"8"	"16"	"507"	"0"	"507"	""
"115"	"107"	"107"	"63"	"21"	"222"	"45"	"71"	"2"	"0"	"2"	"3"	"1"	"3"	"3"	"7"	"2"	"4"	"449"	"0"	"449"	""
"116"	"108"	"108"	"197"	"20"	"131"	"37"	"11"	"1"	"6"	"0"	"0"	"2"	"2"	"4"	"8"	"2"	"17"	"438"	"0"	"438"	""
"117"	"109"	"109"	"44"	"13"	"173"	"215"	"84"	"3"	"4"	"6"	"1"	"2"	"3"	"8"	"12"	"6"	"6"	"580"	"0"	"580"	""
"118"	"110"	"110"	"48"	"18"	"218"	"69"	"32"	"3"	"3"	"4"	"4"	"4"	"7"	"6"	"6"	"6"	"13"	"441"	"0"	"441"	""
"119"	"111"	"111"	"95"	"8"	"176"	"151"	"37"	"3"	"2"	"1"	"3"	"2"	"2"	"7"	"4"	"4"	"24"	"519"	"0"	"519"	""
"120"	"112"	"112"	"539"	"5"	"2"	"2"	"12"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"570"	"0"	"570"	""
"121"	"113"	"113"	"562"	"4"	"23"	"5"	"16"	"3"	"3"	"3"	"0"	"0"	"0"	"1"	"7"	"4"	"21"	"652"	"0"	"652"	""
"122"	"114"	"114"	"397"	"3"	"1"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"14"	"431"	"0"	"431"	""
"123"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
"124"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"125"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"126"	"115"	"115"	"221"	"12"	"107"	"205"	"94"	"4"	"5"	"3"	"1"	"2"	"0"	"4"	"3"	"1"	"14"	"676"	"0"	"676"	""
"127"	"116"	"116"	"56"	"23"	"226"	"155"	"40"	"1"	"4"	"1"	"1"	"1"	"2"	"4"	"3"	"5"	"8"	"530"	"0"	"530"	""
"128"	"117"	"117"	"29"	"21"	"290"	"155"	"68"	"1"	"4"	"8"	"4"	"2"	"5"	"15"	"20"	"21"	"27"	"670"	"0"	"670"	""
"129"	"118"	"118"	"70"	"27"	"174"	"217"	"59"	"3"	"4"	"1"	"4"	"2"	"8"	"12"	"19"	"11"	"22"	"633"	"0"	"633"	""
"130"	"119"	"119"	"17"	"15"	"369"	"109"	"43"	"3"	"8"	"3"	"0"	"0"	"3"	"9"	"37"	"18"	"14"	"648"	"0"	"648"	""
"131"	"120"	"120"	"98"	"5"	"38"	"6"	"33"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"191"	"0"	"191"	""
"132"	"121"	"121"	"624"	"7"	"20"	"7"	"14"	"1"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"0"	"9"	"690"	"0"	"690"	""
"133"	"122"	"122"	"664"	"18"	"19"	"6"	"7"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"11"	"734"	"0"	"734"	""
"134"	"123"	"123"	"358"	"21"	"43"	"20"	"4"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"7"	"461"	"0"	"461"	""
"135"	"124"	"124"	"270"	"14"	"46"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"4"	"4"	"7"	"5"	"16"	"376"	"0"	"376"	""
"136"	"125"	"125"	"139"	"14"	"274"	"61"	"34"	"2"	"1"	"3"	"3"	"2"	"4"	"4"	"11"	"20"	"32"	"604"	"0"	"604"	""
"137"	"126"	"126"	"40"	"5"	"93"	"165"	"123"	"6"	"3"	"0"	"0"	"0"	"4"	"4"	"4"	"6"	"10"	"463"	"0"	"463"	""
"138"	"127"	"127"	"14"	"9"	"142"	"18"	"181"	"4"	"0"	"1"	"0"	"0"	"1"	"2"	"7"	"6"	"10"	"395"	"0"	"395"	""
"139"	"128"	"128"	"18"	"1"	"27"	"14"	"237"	"3"	"0"	"4"	"1"	"0"	"2"	"1"	"2"	"0"	"2"	"312"	"0"	"312"	""
"140"	"129"	"129"	"139"	"11"	"114"	"87"	"69"	"4"	"1"	"0"	"1"	"2"	"0"	"4"	"5"	"3"	"11"	"451"	"0"	"451"	""
"141"	"130"	"130"	"171"	"28"	"398"	"19"	"27"	"3"	"6"	"7"	"2"	"2"	"2"	"4"	"17"	"7"	"12"	"705"	"0"	"705"	""
"142"	"131"	"131"	"32"	"10"	"241"	"10"	"30"	"2"	"2"	"4"	"3"	"0"	"1"	"2"	"3"	"8"	"4"	"352"	"0"	"352"	""
"143"	"132"	"132"	"62"	"10"	"186"	"110"	"94"	"4"	"2"	"6"	"2"	"0"	"1"	"1"	"2"	"1"	"3"	"484"	"0"	"484"	""
"144"	"133"	"133"	"44"	"19"	"233"	"134"	"45"	"4"	"1"	"1"	"0"	"4"	"5"	"3"	"6"	"8"	"14"	"521"	"0"	"521"	""
"145"	"134"	"134"	"82"	"5"	"115"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"224"	"0"	"224"	""
"146"	"135"	"135"	"281"	"10"	"70"	"15"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"9"	"8"	"10"	"413"	"0"	"413"	""
"147"	"136"	"136"	"65"	"29"	"240"	"218"	"49"	"1"	"1"	"2"	"2"	"0"	"1"	"3"	"6"	"4"	"2"	"623"	"0"	"623"	""
"148"	"137"	"137"	"47"	"21"	"385"	"205"	"33"	"2"	"4"	"1"	"2"	"0"	"0"	"3"	"9"	"5"	"5"	"722"	"0"	"722"	""
"149"	"138"	"138"	"23"	"27"	"345"	"127"	"10"	"4"	"3"	"1"	"3"	"0"	"3"	"3"	"12"	"8"	"11"	"580"	"0"	"580"	""
"150"	"139"	"139"	"208"	"15"	"135"	"73"	"28"	"0"	"2"	"4"	"4"	"1"	"1"	"4"	"1"	"2"	"5"	"483"	"0"	"483"	""
