"Candidates.Name...U.2192..BOOTH.NO..U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.Valid.Votes..Part.I.A."
"24"	"22"	"27"	"6"	"175"	"153"	"5"	"3"	"0"	"11"	"6"	"4"	"10"	"400"
"25"	"23"	"11"	"4"	"112"	"134"	"12"	"1"	"5"	"8"	"8"	"5"	"20"	"320"
"26"	"24"	"47"	"3"	"235"	"81"	"10"	"4"	"3"	"6"	"9"	"3"	"11"	"412"
"27"	"25"	"36"	"4"	"290"	"30"	"7"	"4"	"2"	"9"	"9"	"4"	"12"	"407"
"28"	"26"	"22"	"4"	"270"	"264"	"13"	"7"	"12"	"11"	"14"	"14"	"43"	"674"
"29"	"27"	"19"	"2"	"148"	"166"	"6"	"3"	"2"	"12"	"9"	"6"	"16"	"389"
"30"	"28"	"13"	"1"	"29"	"217"	"8"	"3"	"10"	"12"	"7"	"5"	"21"	"326"
"31"	"29"	"22"	"4"	"186"	"184"	"7"	"12"	"8"	"13"	"11"	"11"	"21"	"479"
"32"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"33"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"34"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"35"	"30"	"31"	"6"	"270"	"159"	"28"	"14"	"7"	"10"	"17"	"13"	"14"	"569"
"36"	"31"	"35"	"4"	"161"	"222"	"18"	"8"	"6"	"5"	"10"	"8"	"19"	"496"
"37"	"32"	"17"	"6"	"142"	"34"	"9"	"4"	"5"	"5"	"14"	"5"	"39"	"280"
"38"	"33"	"7"	"8"	"207"	"261"	"20"	"5"	"6"	"17"	"15"	"10"	"9"	"565"
"39"	"34"	"18"	"3"	"66"	"257"	"9"	"2"	"3"	"17"	"8"	"2"	"5"	"390"
"40"	"35"	"25"	"2"	"150"	"151"	"12"	"3"	"6"	"11"	"9"	"5"	"8"	"382"
"41"	"36"	"36"	"4"	"139"	"364"	"18"	"6"	"8"	"20"	"20"	"7"	"23"	"645"
"42"	"37"	"25"	"4"	"154"	"123"	"10"	"2"	"6"	"5"	"15"	"12"	"20"	"376"
"43"	"38"	"15"	"0"	"203"	"161"	"5"	"1"	"6"	"7"	"9"	"9"	"6"	"422"
"44"	"39"	"29"	"5"	"208"	"69"	"5"	"3"	"3"	"4"	"8"	"0"	"5"	"339"
"45"	"40"	"26"	"2"	"219"	"48"	"8"	"3"	"3"	"6"	"11"	"2"	"4"	"332"
"46"	"41"	"30"	"5"	"124"	"72"	"6"	"1"	"5"	"3"	"11"	"8"	"17"	"282"
"47"	"42"	"38"	"4"	"149"	"46"	"11"	"6"	"7"	"8"	"14"	"13"	"26"	"322"
"48"	"43"	"33"	"5"	"190"	"110"	"17"	"3"	"4"	"19"	"29"	"13"	"43"	"466"
"49"	"44"	"21"	"1"	"77"	"59"	"3"	"1"	"1"	"6"	"14"	"6"	"23"	"212"
"50"	"45"	"105"	"6"	"200"	"77"	"8"	"5"	"4"	"12"	"18"	"14"	"27"	"476"
"51"	"46"	"135"	"11"	"68"	"114"	"10"	"2"	"5"	"7"	"7"	"5"	"6"	"370"
"52"	"47"	"35"	"7"	"80"	"108"	"15"	"2"	"4"	"1"	"5"	"2"	"9"	"268"
"53"	"48"	"33"	"6"	"228"	"109"	"7"	"3"	"4"	"13"	"14"	"6"	"24"	"447"
"54"	"49"	"59"	"11"	"176"	"221"	"13"	"4"	"9"	"5"	"24"	"9"	"48"	"579"
"55"	"50"	"41"	"8"	"75"	"370"	"16"	"11"	"5"	"22"	"12"	"11"	"24"	"595"
"56"	"51"	"65"	"11"	"207"	"66"	"5"	"2"	"1"	"2"	"6"	"2"	"13"	"380"
"57"	"52"	"6"	"4"	"175"	"149"	"6"	"0"	"3"	"6"	"16"	"8"	"8"	"381"
"58"	"53"	"30"	"7"	"57"	"374"	"20"	"4"	"4"	"19"	"4"	"3"	"7"	"529"
"59"	"54"	"17"	"4"	"72"	"207"	"41"	"1"	"3"	"8"	"7"	"5"	"9"	"374"
"60"	"55"	"28"	"1"	"102"	"284"	"7"	"5"	"2"	"6"	"9"	"7"	"9"	"460"
"61"	"56"	"19"	"2"	"34"	"234"	"21"	"3"	"3"	"8"	"6"	"2"	"7"	"339"
"62"	"57"	"55"	"9"	"153"	"177"	"16"	"6"	"6"	"20"	"24"	"11"	"37"	"514"
"63"	"58"	"18"	"1"	"116"	"41"	"4"	"4"	"0"	"3"	"1"	"0"	"2"	"190"
"64"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"65"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"66"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"67"	"59"	"10"	"2"	"29"	"90"	"4"	"1"	"0"	"8"	"6"	"4"	"6"	"160"
"68"	"60"	"23"	"9"	"212"	"197"	"9"	"5"	"4"	"8"	"7"	"3"	"16"	"493"
"69"	"61"	"38"	"8"	"201"	"291"	"11"	"11"	"12"	"22"	"26"	"18"	"38"	"676"
"70"	"62"	"104"	"2"	"86"	"296"	"11"	"5"	"15"	"15"	"14"	"10"	"33"	"591"
"71"	"63"	"16"	"3"	"141"	"367"	"10"	"5"	"2"	"10"	"9"	"4"	"11"	"578"
"72"	"64"	"32"	"9"	"234"	"31"	"8"	"2"	"5"	"1"	"16"	"9"	"13"	"360"
"73"	"65"	"16"	"6"	"172"	"208"	"20"	"1"	"8"	"19"	"13"	"6"	"21"	"490"
"74"	"66"	"7"	"11"	"137"	"139"	"9"	"2"	"4"	"14"	"6"	"5"	"5"	"339"
"75"	"67"	"8"	"2"	"106"	"147"	"5"	"4"	"4"	"11"	"9"	"3"	"11"	"310"
"76"	"68"	"80"	"25"	"314"	"159"	"21"	"10"	"16"	"17"	"15"	"16"	"28"	"701"
"77"	"69"	"43"	"8"	"135"	"128"	"5"	"7"	"4"	"12"	"8"	"11"	"11"	"372"
"78"	"70"	"77"	"5"	"91"	"170"	"6"	"3"	"3"	"9"	"8"	"1"	"8"	"381"
"79"	"71"	"1"	"1"	"220"	"102"	"7"	"1"	"2"	"4"	"2"	"3"	"5"	"348"
"80"	"72"	"32"	"3"	"68"	"265"	"4"	"4"	"3"	"5"	"0"	"2"	"2"	"388"
"81"	"73"	"20"	"7"	"177"	"183"	"164"	"10"	"1"	"7"	"19"	"10"	"17"	"615"
"82"	"74"	"14"	"8"	"134"	"173"	"194"	"15"	"11"	"18"	"9"	"13"	"17"	"606"
"83"	"75"	"15"	"3"	"98"	"531"	"18"	"6"	"6"	"21"	"8"	"8"	"11"	"725"
"84"	"76"	"2"	"1"	"140"	"89"	"2"	"1"	"1"	"3"	"5"	"2"	"2"	"248"
"85"	"77"	"23"	"5"	"70"	"284"	"5"	"2"	"6"	"23"	"11"	"11"	"6"	"446"
"86"	"78"	"6"	"0"	"16"	"96"	"6"	"0"	"1"	"8"	"0"	"0"	"2"	"135"
"87"	"79"	"9"	"5"	"21"	"178"	"13"	"1"	"4"	"13"	"3"	"1"	"2"	"250"
"88"	"80"	"31"	"1"	"442"	"64"	"2"	"1"	"1"	"3"	"8"	"3"	"5"	"561"
"89"	"81"	"11"	"4"	"49"	"417"	"21"	"4"	"6"	"9"	"3"	"3"	"11"	"538"
"90"	"82"	"13"	"4"	"187"	"74"	"8"	"2"	"5"	"11"	"24"	"14"	"32"	"374"
"91"	"83"	"28"	"10"	"132"	"391"	"15"	"14"	"9"	"13"	"8"	"5"	"8"	"633"
"92"	"84"	"25"	"16"	"88"	"226"	"10"	"2"	"7"	"20"	"10"	"6"	"29"	"439"
"93"	"85"	"27"	"4"	"190"	"141"	"10"	"5"	"6"	"16"	"7"	"7"	"13"	"426"
"94"	"86"	"11"	"1"	"101"	"264"	"27"	"1"	"6"	"6"	"10"	"2"	"17"	"446"
"95"	"87"	"22"	"6"	"162"	"366"	"8"	"3"	"9"	"14"	"14"	"3"	"17"	"624"
"96"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"97"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"99"	"88"	"7"	"2"	"154"	"405"	"11"	"5"	"9"	"17"	"12"	"10"	"19"	"651"
"100"	"89"	"19"	"5"	"279"	"304"	"20"	"1"	"5"	"14"	"12"	"12"	"35"	"706"
"101"	"90"	"16"	"3"	"138"	"253"	"3"	"0"	"2"	"11"	"8"	"7"	"3"	"444"
"102"	"91"	"10"	"2"	"44"	"137"	"2"	"1"	"0"	"4"	"1"	"1"	"1"	"203"
"103"	"92"	"27"	"1"	"86"	"106"	"6"	"1"	"0"	"3"	"11"	"5"	"10"	"256"
"104"	"93"	"9"	"0"	"13"	"306"	"2"	"0"	"5"	"6"	"0"	"2"	"3"	"346"
"105"	"94"	"12"	"1"	"45"	"243"	"10"	"3"	"9"	"16"	"7"	"8"	"18"	"372"
"106"	"95"	"28"	"7"	"304"	"127"	"17"	"8"	"15"	"8"	"12"	"6"	"8"	"540"
"107"	"96"	"23"	"9"	"181"	"94"	"14"	"4"	"6"	"14"	"15"	"15"	"29"	"404"
"108"	"97"	"35"	"3"	"123"	"123"	"11"	"4"	"13"	"9"	"9"	"8"	"30"	"368"
"109"	"98"	"18"	"8"	"258"	"64"	"14"	"0"	"1"	"2"	"8"	"4"	"6"	"383"
"110"	"99"	"1"	"4"	"224"	"52"	"1"	"0"	"0"	"3"	"0"	"1"	"3"	"289"
"111"	"100"	"68"	"4"	"125"	"126"	"17"	"9"	"8"	"15"	"18"	"18"	"30"	"438"
"112"	"101"	"46"	"6"	"220"	"84"	"12"	"1"	"7"	"7"	"19"	"8"	"10"	"420"
"113"	"102"	"49"	"10"	"135"	"93"	"7"	"4"	"4"	"6"	"12"	"5"	"16"	"341"
"114"	"103"	"29"	"3"	"64"	"132"	"36"	"5"	"6"	"4"	"7"	"7"	"23"	"316"
"115"	"104"	"25"	"1"	"63"	"63"	"111"	"3"	"5"	"9"	"6"	"6"	"19"	"311"
"116"	"105"	"15"	"2"	"111"	"58"	"9"	"4"	"3"	"7"	"14"	"14"	"24"	"261"
"117"	"106"	"12"	"2"	"68"	"295"	"6"	"0"	"5"	"10"	"6"	"10"	"14"	"428"
"118"	"107"	"21"	"4"	"93"	"280"	"18"	"5"	"12"	"23"	"15"	"7"	"17"	"495"
"119"	"108"	"15"	"5"	"63"	"79"	"6"	"8"	"7"	"10"	"13"	"6"	"22"	"234"
"120"	"109"	"30"	"2"	"74"	"311"	"6"	"5"	"5"	"18"	"7"	"4"	"13"	"475"
"121"	"110"	"37"	"8"	"159"	"222"	"7"	"3"	"2"	"10"	"12"	"4"	"14"	"478"
"122"	"111"	"26"	"6"	"92"	"260"	"33"	"6"	"5"	"10"	"11"	"6"	"13"	"468"
"123"	"112"	"23"	"10"	"224"	"302"	"46"	"6"	"7"	"15"	"12"	"9"	"13"	"667"
"124"	"113"	"12"	"6"	"83"	"320"	"8"	"4"	"2"	"13"	"1"	"1"	"4"	"454"
"125"	"114"	"19"	"9"	"67"	"213"	"6"	"1"	"8"	"13"	"3"	"3"	"8"	"350"
"126"	"115"	"30"	"5"	"260"	"166"	"49"	"3"	"6"	"16"	"13"	"10"	"12"	"570"
"127"	"116"	"17"	"2"	"202"	"307"	"13"	"3"	"11"	"15"	"22"	"10"	"18"	"620"
"128"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"129"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"131"	"117"	"17"	"1"	"39"	"191"	"5"	"1"	"3"	"9"	"3"	"5"	"7"	"281"
"132"	"118"	"1"	"0"	"31"	"328"	"6"	"3"	"1"	"1"	"4"	"0"	"6"	"381"
"133"	"119"	"58"	"5"	"137"	"277"	"21"	"4"	"6"	"8"	"5"	"10"	"26"	"557"
"134"	"120"	"1"	"0"	"10"	"155"	"6"	"1"	"2"	"4"	"0"	"1"	"1"	"181"
"135"	"121"	"11"	"3"	"70"	"411"	"15"	"5"	"9"	"15"	"5"	"5"	"19"	"568"
"136"	"122"	"40"	"5"	"192"	"286"	"23"	"5"	"5"	"29"	"10"	"7"	"13"	"615"
"137"	"123"	"14"	"5"	"154"	"224"	"27"	"4"	"14"	"17"	"16"	"20"	"29"	"524"
"138"	"124"	"8"	"5"	"143"	"110"	"13"	"3"	"7"	"13"	"17"	"6"	"16"	"341"
"139"	"125"	"55"	"4"	"90"	"192"	"24"	"3"	"6"	"16"	"7"	"5"	"1"	"403"
"140"	"126"	"24"	"1"	"132"	"175"	"55"	"8"	"8"	"11"	"7"	"13"	"24"	"458"
"141"	"127"	"3"	"1"	"164"	"56"	"63"	"0"	"2"	"2"	"0"	"1"	"1"	"293"
"142"	"128"	"12"	"7"	"75"	"329"	"14"	"1"	"6"	"10"	"10"	"6"	"22"	"492"
"143"	"129"	"121"	"9"	"152"	"232"	"6"	"7"	"7"	"4"	"1"	"3"	"2"	"544"
"144"	"130"	"70"	"2"	"147"	"324"	"5"	"5"	"6"	"11"	"6"	"3"	"21"	"600"
"145"	"131"	"49"	"5"	"319"	"138"	"22"	"9"	"3"	"17"	"17"	"16"	"21"	"616"
"146"	"132"	"24"	"3"	"54"	"398"	"10"	"3"	"13"	"16"	"7"	"4"	"28"	"560"
"147"	"133"	"18"	"6"	"228"	"79"	"24"	"3"	"4"	"9"	"26"	"15"	"48"	"460"
"148"	"134"	"19"	"7"	"134"	"135"	"4"	"5"	"6"	"13"	"13"	"4"	"10"	"350"
"149"	"135"	"18"	"1"	"81"	"173"	"11"	"1"	"10"	"18"	"14"	"17"	"39"	"383"
"150"	"136"	"24"	"11"	"176"	"274"	"21"	"5"	"13"	"12"	"10"	"14"	"14"	"574"
"151"	"137"	"114"	"5"	"145"	"195"	"26"	"6"	"8"	"14"	"13"	"7"	"13"	"546"
"152"	"138"	"59"	"5"	"69"	"41"	"22"	"3"	"1"	"7"	"3"	"5"	"7"	"222"
"153"	"139"	"43"	"10"	"197"	"105"	"130"	"17"	"10"	"17"	"21"	"7"	"13"	"570"
"154"	"140"	"60"	"6"	"230"	"90"	"7"	"3"	"3"	"4"	"12"	"9"	"12"	"436"
"155"	"141"	"13"	"4"	"213"	"183"	"19"	"6"	"7"	"4"	"11"	"6"	"8"	"474"
"156"	"142"	"11"	"1"	"154"	"223"	"16"	"3"	"7"	"13"	"8"	"5"	"3"	"444"
"157"	"143"	"31"	"6"	"147"	"325"	"13"	"6"	"5"	"21"	"4"	"1"	"8"	"567"
"158"	"144"	"13"	"1"	"361"	"42"	"1"	"4"	"5"	"7"	"3"	"3"	"6"	"446"
"159"	"145"	"3"	"1"	"324"	"47"	"6"	"0"	"5"	"5"	"4"	"5"	"0"	"400"
"160"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"161"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"162"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"163"	"146"	"46"	"12"	"111"	"291"	"8"	"9"	"5"	"9"	"4"	"9"	"15"	"519"
"164"	"147"	"7"	"0"	"103"	"237"	"3"	"2"	"2"	"7"	"3"	"0"	"2"	"366"
"165"	"148"	"13"	"4"	"318"	"167"	"4"	"4"	"3"	"1"	"7"	"2"	"3"	"526"
"166"	"149"	"43"	"7"	"106"	"214"	"9"	"8"	"6"	"26"	"13"	"1"	"5"	"438"
"167"	"150"	"7"	"2"	"67"	"114"	"18"	"2"	"5"	"9"	"9"	"11"	"22"	"266"
"168"	"151"	"47"	"12"	"260"	"90"	"20"	"7"	"4"	"21"	"20"	"20"	"43"	"544"
"169"	"152"	"4"	"0"	"156"	"47"	"4"	"0"	"1"	"3"	"5"	"5"	"6"	"231"
"170"	"153"	"38"	"2"	"406"	"94"	"6"	"1"	"1"	"2"	"1"	"0"	"0"	"551"
"171"	"154"	"11"	"3"	"315"	"120"	"9"	"3"	"7"	"6"	"8"	"7"	"4"	"493"
"172"	"155"	"10"	"2"	"108"	"43"	"0"	"2"	"4"	"3"	"3"	"0"	"1"	"176"
"173"	"156"	"32"	"14"	"186"	"255"	"17"	"6"	"4"	"9"	"8"	"10"	"11"	"552"
"174"	"157"	"30"	"4"	"99"	"71"	"4"	"2"	"1"	"5"	"9"	"2"	"3"	"230"
"175"	"158"	"8"	"3"	"169"	"94"	"9"	"5"	"4"	"16"	"25"	"11"	"32"	"376"
"176"	"159"	"46"	"18"	"282"	"145"	"7"	"0"	"3"	"9"	"7"	"9"	"12"	"538"
"177"	"160"	"26"	"2"	"181"	"120"	"107"	"5"	"2"	"10"	"4"	"6"	"1"	"464"
"178"	"161"	"15"	"5"	"126"	"156"	"16"	"6"	"0"	"5"	"6"	"6"	"7"	"348"
"179"	"162"	"15"	"3"	"143"	"152"	"18"	"3"	"5"	"7"	"3"	"4"	"2"	"355"
"180"	"163"	"15"	"6"	"174"	"190"	"166"	"10"	"1"	"10"	"6"	"1"	"5"	"584"
"181"	"164"	"7"	"2"	"40"	"129"	"18"	"0"	"2"	"10"	"3"	"1"	"12"	"224"
"182"	"165"	"11"	"5"	"131"	"115"	"37"	"2"	"11"	"10"	"14"	"5"	"11"	"352"
"183"	"166"	"28"	"5"	"178"	"154"	"27"	"5"	"12"	"14"	"12"	"7"	"14"	"456"
"184"	"167"	"7"	"1"	"133"	"56"	"12"	"0"	"1"	"3"	"1"	"3"	"4"	"221"
"185"	"168"	"10"	"6"	"103"	"117"	"19"	"2"	"3"	"11"	"6"	"3"	"3"	"283"
"186"	"169"	"27"	"7"	"175"	"163"	"62"	"5"	"10"	"20"	"23"	"13"	"27"	"532"
"187"	"170"	"8"	"3"	"472"	"68"	"28"	"5"	"4"	"6"	"9"	"8"	"12"	"623"
"188"	"171"	"11"	"3"	"93"	"367"	"7"	"1"	"5"	"16"	"7"	"7"	"9"	"526"
"189"	"172"	"8"	"0"	"86"	"197"	"53"	"4"	"6"	"10"	"11"	"5"	"16"	"396"
"190"	"173"	"11"	"4"	"154"	"132"	"7"	"1"	"0"	"3"	"3"	"4"	"2"	"321"
"191"	"174"	"3"	"3"	"83"	"245"	"16"	"2"	"6"	"9"	"1"	"5"	"9"	"382"
"192"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"193"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"195"	"175"	"13"	"2"	"73"	"118"	"27"	"3"	"3"	"2"	"3"	"2"	"1"	"247"
"196"	"176"	"9"	"37"	"172"	"166"	"43"	"2"	"5"	"8"	"14"	"6"	"9"	"471"
"197"	"177"	"19"	"1"	"21"	"194"	"15"	"1"	"5"	"19"	"5"	"6"	"4"	"290"
"198"	"178"	"10"	"3"	"197"	"93"	"92"	"9"	"3"	"7"	"4"	"4"	"7"	"429"
"199"	"179"	"12"	"6"	"251"	"77"	"107"	"3"	"4"	"7"	"8"	"4"	"19"	"498"
"200"	"180"	"18"	"7"	"279"	"167"	"12"	"1"	"6"	"9"	"8"	"8"	"14"	"529"
"201"	"181"	"13"	"0"	"292"	"66"	"10"	"0"	"6"	"5"	"1"	"0"	"2"	"395"
"202"	"182"	"29"	"6"	"256"	"114"	"13"	"5"	"8"	"17"	"20"	"7"	"36"	"511"
"203"	"183"	"1"	"0"	"424"	"5"	"1"	"1"	"0"	"1"	"5"	"0"	"0"	"438"
"204"	"184"	"10"	"2"	"221"	"61"	"11"	"4"	"1"	"3"	"11"	"3"	"8"	"335"
"205"	"185"	"17"	"6"	"235"	"61"	"79"	"3"	"3"	"4"	"15"	"20"	"28"	"471"
"206"	"186"	"21"	"2"	"57"	"116"	"3"	"4"	"7"	"16"	"8"	"5"	"7"	"246"
"207"	"187"	"22"	"1"	"112"	"212"	"13"	"3"	"14"	"17"	"10"	"6"	"33"	"443"
"208"	"188"	"26"	"1"	"140"	"221"	"31"	"5"	"4"	"10"	"5"	"2"	"14"	"459"
"209"	"189"	"4"	"1"	"216"	"55"	"70"	"3"	"0"	"0"	"2"	"0"	"2"	"353"
"210"	"190"	"10"	"1"	"41"	"193"	"9"	"2"	"6"	"10"	"9"	"6"	"25"	"312"
"211"	"191"	"10"	"2"	"110"	"134"	"5"	"3"	"1"	"11"	"8"	"4"	"21"	"309"
"212"	"192"	"14"	"3"	"36"	"311"	"2"	"7"	"11"	"17"	"5"	"4"	"14"	"424"
"213"	"193"	"29"	"4"	"207"	"229"	"11"	"8"	"6"	"18"	"28"	"14"	"40"	"594"
"214"	"194"	"17"	"6"	"170"	"163"	"4"	"5"	"8"	"14"	"12"	"7"	"13"	"419"
"215"	"195"	"19"	"2"	"72"	"250"	"1"	"1"	"5"	"5"	"5"	"2"	"10"	"372"
"216"	"196"	"8"	"3"	"116"	"141"	"7"	"4"	"5"	"14"	"14"	"11"	"10"	"333"
"217"	"197"	"23"	"7"	"144"	"180"	"14"	"6"	"10"	"8"	"6"	"3"	"10"	"411"
"218"	"198"	"21"	"3"	"33"	"176"	"20"	"4"	"10"	"22"	"8"	"6"	"32"	"335"
"219"	"199"	"39"	"15"	"93"	"368"	"12"	"6"	"9"	"16"	"3"	"5"	"7"	"573"
"220"	"200"	"37"	"8"	"276"	"179"	"17"	"1"	"6"	"13"	"9"	"3"	"7"	"556"
"221"	"201"	"27"	"5"	"164"	"260"	"27"	"2"	"8"	"21"	"10"	"7"	"39"	"570"
"222"	"Total:"	"5518"	"1010"	"30676"	"35517"	"3838"	"798"	"1085"	"2145"	"2029"	"1329"	"3000"	"86945"
"223"	"Candidates Name  <U+2192> BOOTH NO
<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
