"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…83 - DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment   : 233447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"27"	"19"	"19"	""	"11"	"323"	"19"	"2"	"0"	""	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"6"	""	"7"	"372"	"-"	"372"	""	""
"28"	"20"	"20"	""	"30"	"206"	"235"	"4"	"0"	""	"3"	"3"	"0"	"3"	"4"	"3"	"6"	"8"	""	"1"	"506"	"-"	"506"	""	""
"29"	"21"	"21"	""	"60"	"192"	"184"	"7"	"1"	""	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	""	"1"	"450"	"-"	"450"	""	""
"30"	"22"	"22"	""	"31"	"342"	"150"	"2"	"2"	""	"7"	"2"	"0"	"1"	"2"	"0"	"2"	"3"	""	"1"	"545"	"-"	"545"	""	""
"31"	"23"	"23"	""	"16"	"146"	"80"	"4"	"3"	""	"7"	"2"	"1"	"76"	"0"	"4"	"5"	"6"	""	"11"	"361"	"-"	"361"	""	""
"32"	"24"	"24"	""	"6"	"45"	"141"	"4"	"0"	""	"0"	"1"	"0"	"9"	"4"	"3"	"9"	"3"	""	"14"	"239"	"-"	"239"	""	""
"33"	"25"	"25"	""	"16"	"191"	"358"	"2"	"1"	""	"0"	"0"	"5"	"76"	"3"	"1"	"3"	"6"	""	"14"	"676"	"-"	"676"	""	""
"34"	"26"	"26"	""	"18"	"72"	"250"	"16"	"0"	""	"2"	"1"	"1"	"2"	"0"	"1"	"9"	"3"	""	"7"	"382"	"-"	"382"	""	""
"35"	"27"	"27"	""	"26"	"342"	"57"	"6"	"0"	""	"1"	"0"	"1"	"2"	"2"	"0"	"3"	"15"	""	"17"	"472"	"-"	"472"	""	""
"36"	"28"	"28"	""	"24"	"380"	"70"	"6"	"0"	""	"3"	"3"	"0"	"12"	"4"	"8"	"3"	"15"	""	"6"	"534"	"-"	"534"	""	""
"37"	"29"	"29"	""	"15"	"104"	"231"	"9"	"5"	""	"2"	"2"	"2"	"1"	"3"	"0"	"2"	"4"	""	"0"	"380"	"-"	"380"	""	""
"38"	"30"	"30"	""	"15"	"321"	"316"	"7"	"1"	""	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"5"	""	"3"	"677"	"-"	"677"	""	""
"39"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#1/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"41"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"42"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"43"	"31"	"31"	""	"20"	"111"	"303"	"4"	"1"	""	"0"	"1"	"0"	"1"	"0"	"4"	"5"	"6"	""	"6"	"462"	"-"	"462"	""	""
"44"	"32"	"32"	""	"28"	"334"	"80"	"7"	"1"	""	"1"	"1"	"2"	"2"	"0"	"3"	"3"	"11"	""	"5"	"478"	"-"	"478"	""	""
"45"	"33"	"33"	""	"6"	"99"	"94"	"4"	"0"	""	"0"	"1"	"2"	"0"	"1"	"2"	"8"	"10"	""	"10"	"237"	"-"	"237"	""	""
"46"	"34"	"34"	""	"3"	"22"	"197"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	""	"5"	"236"	"-"	"236"	""	""
"47"	"35"	"35"	""	"18"	"213"	"123"	"7"	"8"	""	"4"	"4"	"3"	"2"	"0"	"5"	"1"	"8"	""	"4"	"400"	"-"	"400"	""	""
"48"	"36"	"36"	""	"12"	"114"	"146"	"7"	"0"	""	"0"	"1"	"4"	"11"	"1"	"1"	"12"	"13"	""	"21"	"343"	"-"	"343"	""	""
"49"	"37"	"37"	""	"30"	"192"	"257"	"7"	"2"	""	"2"	"0"	"3"	"3"	"1"	"4"	"3"	"7"	""	"8"	"519"	"-"	"519"	""	""
"50"	"38"	"38"	""	"27"	"209"	"109"	"2"	"2"	""	"0"	"1"	"1"	"10"	"1"	"1"	"1"	"2"	""	"1"	"367"	"-"	"367"	""	""
"51"	"39"	"39"	""	"12"	"217"	"138"	"2"	"2"	""	"1"	"2"	"2"	"2"	"0"	"1"	"1"	"4"	""	"5"	"389"	"-"	"389"	""	""
"52"	"40"	"40"	""	"17"	"142"	"209"	"13"	"0"	""	"2"	"7"	"4"	"5"	"4"	"9"	"15"	"12"	""	"27"	"466"	"-"	"466"	""	""
"53"	"41"	"41"	""	"11"	"74"	"55"	"0"	"0"	""	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	""	"1"	"149"	"-"	"149"	""	""
"54"	"42"	"42"	""	"44"	"113"	"154"	"5"	"5"	""	"5"	"1"	"3"	"4"	"4"	"7"	"4"	"9"	""	"8"	"366"	""	"366"	""	""
"55"	"43"	"43"	""	"2"	"23"	"42"	"2"	"0"	""	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	""	"2"	"73"	"-"	"73"	""	""
"56"	"44"	"44"	""	"16"	"104"	"156"	"4"	"0"	""	"0"	"1"	"2"	"1"	"6"	"0"	"0"	"4"	""	"8"	"302"	"-"	"302"	""	""
"57"	"45"	"45"	""	"19"	"162"	"158"	"4"	"2"	""	"3"	"3"	"4"	"3"	"2"	"3"	"6"	"14"	""	"10"	"393"	"-"	"393"	""	""
"58"	"46"	"46"	""	"18"	"250"	"77"	"3"	"1"	""	"2"	"1"	"0"	"2"	"5"	"2"	"2"	"13"	""	"7"	"383"	"-"	"383"	""	""
"59"	"47"	"47"	""	"36"	"258"	"91"	"5"	"3"	""	"1"	"5"	"1"	"3"	"5"	"3"	"2"	"10"	""	"4"	"427"	"-"	"427"	""	""
"60"	"48"	"48"	""	"30"	"65"	"247"	"5"	"0"	""	"1"	"2"	"0"	"2"	"0"	"1"	"1"	"2"	""	"2"	"358"	"-"	"358"	""	""
"61"	"49"	"49"	""	"25"	"188"	"196"	"4"	"0"	""	"4"	"1"	"3"	"3"	"3"	"2"	"2"	"2"	""	"4"	"437"	"-"	"437"	""	""
"62"	"50"	"50"	""	"37"	"234"	"308"	"7"	"1"	""	"4"	"4"	"4"	"0"	"3"	"3"	"3"	"6"	""	"6"	"620"	"-"	"620"	""	""
"63"	"51"	"51"	""	"12"	"136"	"50"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	"200"	"-"	"200"	""	""
"64"	"52"	"52"	""	"9"	"320"	"57"	"0"	"3"	""	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"9"	""	"8"	"413"	"-"	"413"	""	""
"65"	"53"	"53"	""	"6"	"95"	"111"	"1"	"2"	""	"0"	"2"	"2"	"1"	"1"	"2"	"1"	"8"	""	"5"	"237"	"-"	"237"	""	""
"66"	"54"	"54"	""	"7"	"82"	"155"	"6"	"0"	""	"1"	"2"	"1"	"0"	"2"	"0"	"2"	"3"	""	"0"	"261"	"-"	"261"	""	""
"67"	"55"	"55"	""	"8"	"68"	"51"	"3"	"0"	""	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	""	"3"	"139"	"-"	"139"	""	""
"68"	"56"	"56"	""	"10"	"51"	"152"	"0"	"0"	""	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	""	"0"	"225"	"-"	"225"	""	""
"69"	"57"	"57"	""	"25"	"212"	"65"	"4"	"2"	""	"0"	"3"	"0"	"3"	"0"	"3"	"4"	"9"	""	"9"	"339"	"-"	"339"	""	""
"70"	"58"	"58"	""	"30"	"533"	"139"	"6"	"1"	""	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"7"	""	"6"	"726"	"-"	"726"	""	""
"71"	"59"	"59"	""	"29"	"184"	"486"	"7"	"2"	""	"2"	"1"	"1"	"3"	"1"	"1"	"3"	"2"	""	"2"	"724"	"-"	"724"	""	""
"72"	"60"	"60"	""	"29"	"282"	"334"	"8"	"1"	""	"1"	"2"	"0"	"3"	"3"	"3"	"5"	"11"	""	"3"	"685"	"-"	"685"	""	""
"73"	"61"	"61"	""	"128"	"142"	"261"	"5"	"2"	""	"3"	"4"	"4"	"14"	"0"	"3"	"10"	"16"	""	"17"	"609"	"-"	"609"	""	""
"74"	"62"	"62"	""	"43"	"102"	"360"	"3"	"0"	""	"2"	"1"	"0"	"6"	"3"	"1"	"2"	"5"	""	"2"	"530"	"-"	"530"	""	""
"75"	"63"	"63"	""	"50"	"184"	"314"	"8"	"3"	""	"2"	"3"	"4"	"50"	"1"	"5"	"9"	"4"	""	"13"	"650"	"-"	"650"	""	""
"76"	"64"	"64"	""	"27"	"80"	"397"	"4"	"2"	""	"1"	"4"	"0"	"10"	"2"	"4"	"33"	"8"	""	"14"	"586"	"-"	"586"	""	""
"77"	"65"	"65"	""	"46"	"153"	"277"	"4"	"0"	""	"1"	"1"	"1"	"0"	"1"	"8"	"15"	"8"	""	"21"	"536"	"-"	"536"	""	""
"78"	"66"	"66"	""	"37"	"207"	"278"	"4"	"1"	""	"3"	"1"	"2"	"3"	"2"	"1"	"7"	"17"	""	"13"	"576"	"-"	"576"	""	""
"79"	"67"	"67"	""	"57"	"118"	"266"	"6"	"1"	""	"1"	"1"	"1"	"1"	"2"	"3"	"2"	"2"	""	"5"	"466"	"-"	"466"	""	""
"80"	"68"	"68"	""	"28"	"74"	"507"	"4"	"3"	""	"2"	"1"	"2"	"3"	"3"	"1"	"9"	"9"	""	"8"	"654"	"-"	"654"	""	""
"81"	"69"	"69"	""	"33"	"165"	"408"	"8"	"1"	""	"3"	"0"	"1"	"3"	"1"	"3"	"4"	"10"	""	"16"	"656"	"-"	"656"	""	""
"82"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#2/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"84"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"85"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"86"	"70"	"70"	""	"26"	"137"	"268"	"3"	"1"	""	"2"	"1"	"0"	"0"	"1"	"1"	"6"	"4"	""	"8"	"458"	"-"	"458"	""	""
"87"	"71"	"71"	""	"12"	"37"	"374"	"5"	"1"	""	"2"	"2"	"0"	"1"	"3"	"4"	"4"	"8"	""	"16"	"469"	"-"	"469"	""	""
"88"	"72"	"72"	""	"18"	"73"	"399"	"3"	"5"	""	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	""	"7"	"511"	"-"	"511"	""	""
"89"	"73"	"73"	""	"20"	"86"	"638"	"7"	"2"	""	"2"	"3"	"1"	"2"	"4"	"4"	"26"	"11"	""	"12"	"818"	"-"	"818"	""	""
"90"	"74"	"74"	""	"37"	"188"	"344"	"3"	"1"	""	"0"	"0"	"2"	"2"	"2"	"5"	"5"	"9"	""	"8"	"606"	"-"	"606"	""	""
"91"	"75"	"75"	""	"31"	"322"	"382"	"4"	"2"	""	"1"	"0"	"3"	"4"	"4"	"7"	"7"	"16"	""	"23"	"806"	"-"	"806"	""	""
"92"	"76"	"76"	""	"30"	"145"	"226"	"4"	"0"	""	"3"	"3"	"0"	"0"	"2"	"2"	"0"	"5"	""	"4"	"424"	"-"	"424"	""	""
"93"	"77"	"77"	""	"21"	"21"	"149"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"192"	"-"	"192"	""	""
"94"	"78"	"78"	""	"19"	"11"	"205"	"1"	"0"	""	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	""	"1"	"240"	"-"	"240"	""	""
"95"	"79"	"79"	""	"47"	"17"	"285"	"1"	"0"	""	"1"	"0"	"0"	"5"	"2"	"0"	"1"	"0"	""	"0"	"359"	"-"	"359"	""	""
"96"	"80"	"80"	""	"26"	"223"	"291"	"2"	"1"	""	"1"	"3"	"1"	"1"	"2"	"2"	"4"	"5"	""	"5"	"567"	"-"	"567"	""	""
"97"	"81"	"81"	""	"35"	"37"	"309"	"1"	"1"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	"2"	"386"	"-"	"386"	""	""
"98"	"82"	"82"	""	"39"	"101"	"324"	"0"	"1"	""	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	""	"4"	"479"	"-"	"479"	""	""
"99"	"83"	"83"	""	"49"	"177"	"323"	"1"	"1"	""	"2"	"0"	"1"	"0"	"1"	"2"	"4"	"2"	""	"1"	"564"	"-"	"564"	""	""
"100"	"84"	"84"	""	"39"	"120"	"252"	"3"	"1"	""	"1"	"1"	"2"	"2"	"2"	"0"	"3"	"6"	""	"9"	"441"	"-"	"441"	""	""
"101"	"85"	"85"	""	"22"	"43"	"200"	"6"	"1"	""	"2"	"0"	"2"	"5"	"1"	"1"	"3"	"3"	""	"9"	"298"	"-"	"298"	""	""
"102"	"86"	"86"	""	"28"	"87"	"304"	"6"	"0"	""	"1"	"3"	"3"	"1"	"1"	"2"	"3"	"1"	""	"2"	"442"	"-"	"442"	""	""
"103"	"87"	"87"	""	"22"	"57"	"178"	"6"	"1"	""	"0"	"2"	"0"	"0"	"4"	"2"	"4"	"1"	""	"6"	"283"	"-"	"283"	""	""
"104"	"88"	"88"	""	"13"	"32"	"287"	"2"	"3"	""	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	""	"2"	"346"	"-"	"346"	""	""
"105"	"89"	"89"	""	"25"	"82"	"235"	"5"	"0"	""	"0"	"0"	"3"	"3"	"1"	"4"	"5"	"4"	""	"2"	"369"	"-"	"369"	""	""
"106"	"90"	"90"	""	"39"	"40"	"207"	"4"	"0"	""	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	""	"4"	"298"	"-"	"298"	""	""
"107"	"91"	"91"	""	"32"	"121"	"123"	"3"	"2"	""	"0"	"1"	"0"	"2"	"0"	"2"	"3"	"15"	""	"7"	"311"	"-"	"311"	""	""
"108"	"92"	"92"	""	"14"	"76"	"95"	"3"	"1"	""	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	""	"0"	"194"	"-"	"194"	""	""
"109"	"93"	"93"	""	"21"	"150"	"195"	"2"	"1"	""	"1"	"0"	"4"	"1"	"0"	"2"	"4"	"4"	""	"5"	"390"	"-"	"390"	""	""
"110"	"94"	"94"	""	"31"	"31"	"217"	"1"	"0"	""	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	""	"7"	"290"	"-"	"290"	""	""
"111"	"95"	"95"	""	"51"	"51"	"206"	"5"	"0"	""	"1"	"1"	"1"	"3"	"1"	"1"	"4"	"0"	""	"2"	"327"	"-"	"327"	""	""
"112"	"96"	"96"	""	"29"	"39"	"222"	"3"	"0"	""	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	""	"1"	"298"	"-"	"298"	""	""
"113"	"97"	"97"	""	"26"	"75"	"176"	"1"	"0"	""	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	""	"3"	"287"	"-"	"287"	""	""
"114"	"98"	"98"	""	"50"	"308"	"235"	"5"	"0"	""	"2"	"2"	"3"	"4"	"5"	"1"	"3"	"7"	""	"11"	"636"	"-"	"636"	""	""
"115"	"99"	"99"	""	"37"	"19"	"324"	"0"	"0"	""	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	""	"1"	"387"	"-"	"387"	""	""
"116"	"100"	"100"	""	"26"	"21"	"193"	"1"	"0"	""	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	""	"0"	"243"	"-"	"243"	""	""
"117"	"101"	"101"	""	"51"	"102"	"532"	"11"	"3"	""	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"1"	""	"4"	"718"	"-"	"718"	""	""
"118"	"102"	"102"	""	"51"	"37"	"605"	"6"	"2"	""	"4"	"0"	"2"	"2"	"1"	"4"	"14"	"8"	""	"9"	"745"	"-"	"745"	""	""
"119"	"103"	"103"	""	"14"	"124"	"83"	"1"	"1"	""	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	""	"2"	"234"	"-"	"234"	""	""
"120"	"104"	"104"	""	"27"	"98"	"279"	"5"	"0"	""	"0"	"1"	"1"	"3"	"3"	"1"	"6"	"4"	""	"2"	"430"	"-"	"430"	""	""
"121"	"105"	"105"	""	"61"	"59"	"509"	"5"	"2"	""	"0"	"2"	"0"	"2"	"0"	"0"	"4"	"0"	""	"2"	"646"	"-"	"646"	""	""
"122"	"106"	"106"	""	"42"	"27"	"466"	"2"	"1"	""	"0"	"0"	"1"	"2"	"1"	"3"	"3"	"2"	""	"8"	"558"	"-"	"558"	""	""
"123"	"107"	"107"	""	"49"	"214"	"380"	"6"	"1"	""	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	""	"6"	"665"	"-"	"665"	""	""
"124"	"108"	"108"	""	"43"	"199"	"184"	"2"	"2"	""	"2"	"1"	"2"	"1"	"1"	"1"	"4"	"9"	""	"8"	"459"	"-"	"459"	""	""
"125"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#3/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"127"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"128"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"129"	"109"	"109"	""	"59"	"245"	"205"	"2"	"0"	""	"0"	"1"	"1"	"1"	"2"	"2"	"5"	"4"	""	"8"	"535"	"-"	"535"	""	""
"130"	"110"	"110"	""	"47"	"160"	"311"	"4"	"0"	""	"2"	"1"	"1"	"2"	"1"	"4"	"10"	"6"	""	"1"	"550"	"-"	"550"	""	""
"131"	"111"	"111"	""	"98"	"39"	"239"	"3"	"1"	""	"3"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	""	"1"	"390"	"-"	"390"	""	""
"132"	"112"	"112"	""	"89"	"39"	"254"	"2"	"0"	""	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"3"	""	"1"	"393"	"-"	"393"	""	""
"133"	"113"	"113"	""	"103"	"85"	"410"	"2"	"1"	""	"0"	"0"	"1"	"1"	"1"	"2"	"5"	"2"	""	"2"	"615"	"-"	"615"	""	""
"134"	"114"	"114"	""	"123"	"6"	"141"	"1"	"0"	""	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	""	"0"	"272"	"-"	"272"	""	""
"135"	"115"	"115"	""	"75"	"105"	"238"	"0"	"1"	""	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	""	"1"	"426"	"-"	"426"	""	""
"136"	"116"	"116"	""	"57"	"200"	"341"	"4"	"0"	""	"2"	"0"	"0"	"1"	"2"	"1"	"8"	"8"	""	"5"	"629"	"-"	"629"	""	""
"137"	"117"	"117"	""	"111"	"18"	"292"	"4"	"1"	""	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	""	"3"	"432"	"-"	"432"	""	""
