"X...................................................................Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"
"15"	"6"	""	""	""	"24"	""	""	"224"	""	""	""	""	"65"	""	""	""	"143"	""	""	""	""	"8"	""	""	""	""	"25"	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"509"	""	""	""	""	""	""	""	""	""
"16"	"7"	""	""	""	"6"	""	""	"401"	""	""	""	""	"35"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"20"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"479"	""	""	""	""	""	""	""	""	""
"17"	"8"	""	""	""	"15"	""	""	"182"	""	""	""	""	"7"	""	""	""	"174"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"15"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"396"	""	""	""	""	""	""	""	""	""
"18"	"9"	""	""	""	"107"	""	""	"283"	""	""	""	""	"155"	""	""	""	"100"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"670"	""	""	""	""	""	""	""	""	""
"19"	"10"	""	""	""	"38"	""	""	"131"	""	""	""	""	"15"	""	""	""	"199"	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"394"	""	""	""	""	""	""	""	""	""
"20"	"11"	""	""	""	"18"	""	""	"310"	""	""	""	""	"60"	""	""	""	"265"	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"44"	""	""	"3"	""	""	""	"12"	""	""	""	"9"	""	""	""	"6"	""	""	""	"752"	""	""	""	""	""	""	""	""	""
"21"	"12"	""	""	""	"15"	""	""	"157"	""	""	""	""	"34"	""	""	""	"356"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"42"	""	""	"0"	""	""	""	"16"	""	""	""	"2"	""	""	""	"2"	""	""	""	"636"	""	""	""	""	""	""	""	""	""
"22"	"13"	""	""	""	"22"	""	""	"384"	""	""	""	""	"42"	""	""	""	"136"	""	""	""	""	"2"	""	""	""	""	"55"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	""	"11"	""	""	""	"0"	""	""	""	"3"	""	""	""	"660"	""	""	""	""	""	""	""	""	""
"23"	"14"	""	""	""	"7"	""	""	"133"	""	""	""	""	"45"	""	""	""	"123"	""	""	""	""	"113"	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"6"	""	""	""	"438"	""	""	""	""	""	""	""	""	""
"24"	"15"	""	""	""	"14"	""	""	"120"	""	""	""	""	"31"	""	""	""	"91"	""	""	""	""	"11"	""	""	""	""	"48"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"324"	""	""	""	""	""	""	""	""	""
"25"	"16"	""	""	""	"5"	""	""	"23"	""	""	""	""	"2"	""	""	""	"368"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	"0"	""	""	""	"17"	""	""	""	"1"	""	""	""	"0"	""	""	""	"427"	""	""	""	""	""	""	""	""	""
"26"	"17"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"27"	"18"	""	""	""	"22"	""	""	"78"	""	""	""	""	"62"	""	""	""	"304"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	"482"	""	""	""	""	""	""	""	""	""
"28"	"19"	""	""	""	"7"	""	""	"290"	""	""	""	""	"25"	""	""	""	"324"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"38"	""	""	"2"	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"709"	""	""	""	""	""	""	""	""	""
"29"	"20"	""	""	""	"28"	""	""	"245"	""	""	""	""	"21"	""	""	""	"157"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"467"	""	""	""	""	""	""	""	""	""
"30"	"21"	""	""	""	"24"	""	""	"159"	""	""	""	""	"26"	""	""	""	"312"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"37"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"576"	""	""	""	""	""	""	""	""	""
"31"	"22"	""	""	""	"17"	""	""	"378"	""	""	""	""	"17"	""	""	""	"55"	""	""	""	""	"21"	""	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	""	""	"1 ."	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"502"	""	""	""	""	""	""	""	""	""
"32"	"23"	""	""	""	"15"	""	""	"190"	""	""	""	""	"14"	""	""	""	"389"	""	""	""	""	"7"	""	""	""	""	"29"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"652"	""	""	""	""	""	""	""	""	""
"33"	"24"	""	""	""	"17"	""	""	"252"	""	""	""	""	"161"	""	""	""	"56"	""	""	""	""	"'1"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"492"	""	""	""	""	""	""	""	""	""
"34"	"25"	""	""	""	"128"	""	""	"176"	""	""	""	""	"61"	""	""	""	"192"	""	""	""	""	"4"	""	""	""	""	"25"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	""	"24"	""	""	""	"5"	""	""	""	"0"	""	""	""	"624"	""	""	""	""	""	""	""	""	""
"35"	"26"	""	""	""	"12"	""	""	"109"	""	""	""	""	"54"	""	""	""	"274"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"463"	""	""	""	""	""	""	""	""	""
"36"	"27"	""	""	""	"13"	""	""	"64"	""	""	""	""	"11"	""	""	""	"66"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"88"	""	""	"1"	""	""	""	"12"	""	""	""	"1"	""	""	""	"0"	""	""	""	"266"	""	""	""	""	""	""	""	""	""
"37"	"28"	""	""	""	"8"	""	""	"103"	""	""	""	""	"28"	""	""	""	"39"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"18"	""	""	"0"	""	""	""	"47"	""	""	""	"4"	""	""	""	"3"	""	""	""	"256"	""	""	""	""	""	""	""	""	""
"38"	"29"	""	""	""	"15"	""	""	"73"	""	""	""	""	"92"	""	""	""	"23"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"212"	""	""	""	""	""	""	""	""	""
"39"	"30"	""	""	""	"_!}."	""	""	"52"	""	""	""	""	"75"	""	""	""	"174"	""	""	""	""	"35"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	""	"365"	""	""	""	""	""	""	""	""	""
"40"	"31"	""	""	""	". f8"	""	""	"165"	""	""	""	""	"283"	""	""	""	"260"	""	""	""	""	"5"	""	""	""	""	"19"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	""	"774"	""	""	""	""	""	""	""	""	""
"41"	"32"	""	""	""	".     10"	""	""	"57"	""	""	""	""	"25"	""	""	""	"21"	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"105"	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"246"	""	""	""	""	""	""	""	""	""
"42"	"33"	""	""	""	"-        5"	""	""	"4"	""	""	""	""	"16"	""	""	""	"374"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"404"	""	""	""	""	""	""	""	""	""
"43"	"34"	""	""	""	"9"	""	""	"310"	""	""	""	""	"41"	""	""	""	"179"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"552"	""	""	""	""	""	""	""	""	""
"44"	"35"	""	""	""	"0"	""	""	"11"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"12"	""	""	""	""	""	""	""	""	""
"45"	"36"	""	""	""	"2"	""	""	"160"	""	""	""	""	"4"	""	""	""	"23"	""	""	""	""	"92"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	"297"	""	""	""	""	""	""	""	""	""
"46"	"37"	""	""	""	"8"	""	""	"414"	""	""	""	""	"64"	""	""	""	"234"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	"734"	""	""	""	""	""	""	""	""	""
"47"	"38"	""	""	""	"35"	""	""	"286"	""	""	""	""	"52"	""	""	""	"334"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"2"	""	""	""	"7"	""	""	""	"2"	""	""	""	"1"	""	""	""	"732"	""	""	""	""	""	""	""	""	""
"48"	"39"	""	""	""	"10"	""	""	"93"	""	""	""	""	"202"	""	""	""	"65"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"7"	""	""	""	"0"	""	""	""	"3"	""	""	""	"391"	""	""	""	""	""	""	""	""	""
"49"	"40"	""	""	""	"14"	""	""	"43"	""	""	""	""	"56"	""	""	""	"359"	""	""	""	""	"5"	""	""	""	""	"19"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	"0"	""	""	""	"22"	""	""	""	"1"	""	""	""	"2"	""	""	""	"525"	""	""	""	""	""	""	""	""	""
"50"	"41"	""	""	""	"13"	""	""	"192"	""	""	""	""	"17"	""	""	""	"19"	""	""	""	""	"40"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"283"	""	""	""	""	""	""	""	""	""
"51"	"42"	""	""	""	"2"	""	""	"96"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"127"	""	""	""	""	""	""	""	""	""
"52"	"43"	""	""	""	"3"	""	""	"165"	""	""	""	""	"68"	""	""	""	"97"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"343"	""	""	""	""	""	""	""	""	""
"53"	"44"	""	""	""	"20"	""	""	"115"	""	""	""	""	"84"	""	""	""	"·193"	""	""	""	""	"3"	""	""	""	""	"35"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"457"	""	""	""	""	""	""	""	""	""
"54"	"45"	""	""	""	"23"	""	""	"260"	""	""	""	""	"149"	""	""	""	"67"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"508"	""	""	""	""	""	""	""	""	""
"55"	"46"	""	""	""	"8"	""	""	"131"	""	""	""	""	"22"	""	""	""	"219"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	"0"	""	""	""	"· O"	""	""	""	"2"	""	""	""	"2"	""	""	""	"395"	""	""	""	""	""	""	""	""	""
"56"	"47"	""	""	""	"35"	""	""	"222"	""	""	""	""	"55"	""	""	""	"209"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"540"	""	""	""	""	""	""	""	""	""
"57"	"48"	""	""	""	"23"	""	""	"143"	""	""	""	""	"83"	""	""	""	"343"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	""	"608"	""	""	""	""	""	""	""	""	""
"58"	"49"	""	""	""	"17"	""	""	"168"	""	""	""	""	"280"	""	""	""	"176"	""	""	""	""	"4"	""	""	""	""	"17"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"4"	""	""	""	"681"	""	""	""	""	""	""	""	""	""
"59"	"50"	""	""	""	"10"	""	""	"47"	""	""	""	""	"40"	""	""	""	"35"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"92"	""	""	"3"	""	""	""	"0.2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"241"	""	""	""	""	""	""	""	""	""
"60"	"51"	""	""	""	"66"	""	""	"39"	""	""	""	""	"103"	""	""	""	"153"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"49"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"419"	""	""	""	""	""	""	""	""	""
"61"	"52"	""	""	""	". 3"	""	""	"24"	""	""	""	""	"28"	""	""	""	"21"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"10"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"88"	""	""	""	""	""	""	""	""	""
"62"	"53"	""	""	""	"11"	""	""	"180"	""	""	""	""	"46"	""	""	""	"12"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"249"	""	""	""	""	""	""	""	""	""
"63"	"54"	""	""	""	"2"	""	""	"340"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"347"	""	""	""	""	""	""	""	""	""
"64"	"55"	""	""	""	"2"	""	""	"75"	""	""	""	""	"96"	""	""	""	"88"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0-"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""	""	""	""
"65"	"56"	""	""	""	"25"	""	""	"45"	""	""	""	""	"65"	""	""	""	"14"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"151"	""	""	""	""	""	""	""	""	""
"66"	"57"	""	""	""	"6"	""	""	"21"	""	""	""	""	"10"	""	""	""	"133"	""	""	""	""	"8"	""	""	""	""	"21"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	""	"7"	""	""	""	"1"	""	""	""	"215"	""	""	""	""	""	""	""	""	""
"67"	"58"	""	""	""	"65"	""	""	"223"	""	""	""	""	"49"	""	""	""	"268"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"625"	""	""	""	""	""	""	""	""	""
"68"	"59"	""	""	""	"1"	""	""	"61"	""	""	""	""	"9"	""	""	""	"105"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"37"	""	""	""	"0"	""	""	""	"0"	""	""	""	"213"	""	""	""	""	""	""	""	""	""
"69"	"60"	""	""	""	"9"	""	""	"70"	""	""	""	""	"15"	""	""	""	"11"	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	"13"	""	""	""	""	"465"	""	""	"7"	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"613"	""	""	""	""	""	""	""	""	""
"70"	"61"	""	""	""	"43"	""	""	"88"	""	""	""	""	"18"	""	""	""	"131"	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"14"	""	""	"4"	""	""	""	"42"	""	""	""	"1"	""	""	""	"4"	""	""	""	"360"	""	""	""	""	""	""	""	""	""
"71"	"62"	""	""	""	"27"	""	""	"100"	""	""	""	""	"107"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"55"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"312"	""	""	""	""	""	""	""	""	""
