"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    241478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 158-Nathnagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"24"	"15"	"15"	"30"	"259"	"12"	"7"	"22"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"4"	"6"	"5"	"0"	"0"	"5"	"358"	"0"	"358"	"0"
"25"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"26"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"27"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"28"	"16"	"16"	"166"	"66"	"22"	"5"	"175"	"3"	"1"	"0"	"1"	"2"	"3"	"1"	"0"	"2"	"1"	"20"	"4"	"1"	"0"	"0"	"3"	"476"	"0"	"476"	"0"
"29"	"17"	"17"	"13"	"302"	"9"	"6"	"26"	"1"	"1"	"2"	"1"	"0"	"3"	"0"	"6"	"4"	"8"	"16"	"7"	"8"	"1"	"2"	"3"	"419"	"0"	"419"	"0"
"30"	"18"	"18"	"106"	"50"	"31"	"2"	"193"	"5"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"4"	"4"	"4"	"0"	"1"	"1"	"4"	"410"	"0"	"410"	"0"
"31"	"19"	"19"	"87"	"13"	"20"	"2"	"287"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"9"	"0"	"2"	"1"	"0"	"2"	"430"	"0"	"430"	"0"
"32"	"20"	"20"	"172"	"11"	"11"	"1"	"169"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"5"	"2"	"0"	"0"	"0"	"0"	"381"	"0"	"381"	"0"
"33"	"21"	"21"	"135"	"4"	"3"	"0"	"89"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"6"	"1"	"1"	"0"	"0"	"4"	"248"	"0"	"248"	"0"
"34"	"22"	"22"	"186"	"20"	"4"	"1"	"104"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"1"	"0"	"0"	"1"	"327"	"0"	"327"	"0"
"35"	"23"	"23"	"8"	"215"	"14"	"10"	"203"	"5"	"0"	"1"	"2"	"2"	"6"	"3"	"1"	"3"	"4"	"14"	"10"	"12"	"3"	"0"	"2"	"518"	"0"	"518"	"0"
"36"	"24"	"24"	"17"	"119"	"9"	"0"	"184"	"5"	"0"	"0"	"0"	"0"	"3"	"6"	"0"	"0"	"2"	"6"	"0"	"5"	"0"	"0"	"4"	"360"	"0"	"360"	"0"
"37"	"25"	"25"	"42"	"326"	"8"	"5"	"97"	"3"	"1"	"1"	"0"	"0"	"3"	"3"	"1"	"1"	"7"	"10"	"8"	"4"	"0"	"1"	"3"	"524"	"0"	"524"	"0"
"38"	"26"	"26"	"47"	"396"	"28"	"12"	"144"	"6"	"2"	"1"	"3"	"4"	"7"	"1"	"2"	"5"	"6"	"24"	"6"	"9"	"0"	"1"	"2"	"706"	"0"	"706"	"0"
"39"	"27"	"27"	"66"	"296"	"22"	"25"	"54"	"4"	"2"	"3"	"2"	"0"	"6"	"1"	"1"	"7"	"7"	"26"	"6"	"14"	"0"	"3"	"8"	"553"	"0"	"553"	"0"
"40"	"28"	"28"	"18"	"367"	"55"	"10"	"32"	"1"	"3"	"4"	"3"	"2"	"9"	"2"	"1"	"3"	"6"	"19"	"3"	"32"	"1"	"0"	"0"	"571"	"0"	"571"	"0"
"41"	"29"	"29"	"131"	"518"	"16"	"6"	"64"	"1"	"3"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"5"	"1"	"1"	"0"	"2"	"754"	"0"	"754"	"0"
"42"	"30"	"30"	"8"	"362"	"10"	"2"	"53"	"7"	"1"	"5"	"1"	"0"	"4"	"0"	"1"	"1"	"5"	"13"	"1"	"8"	"1"	"0"	"0"	"483"	"0"	"483"	"0"
"43"	"31"	"31"	"8"	"61"	"18"	"7"	"202"	"10"	"2"	"0"	"0"	"0"	"8"	"8"	"0"	"1"	"1"	"3"	"3"	"0"	"1"	"0"	"0"	"333"	"0"	"333"	"0"
"44"	"32"	"32"	"21"	"332"	"17"	"4"	"46"	"3"	"1"	"2"	"3"	"1"	"7"	"2"	"2"	"5"	"12"	"23"	"9"	"19"	"7"	"6"	"12"	"534"	"0"	"534"	"0"
"45"	"33"	"33"	"6"	"120"	"19"	"4"	"217"	"6"	"4"	"5"	"7"	"3"	"21"	"6"	"2"	"5"	"5"	"28"	"2"	"34"	"0"	"1"	"0"	"495"	"0"	"495"	"0"
"46"	"34"	"34"	"47"	"80"	"18"	"4"	"347"	"7"	"1"	"13"	"3"	"0"	"4"	"10"	"2"	"3"	"1"	"13"	"1"	"7"	"0"	"1"	"4"	"566"	"0"	"566"	"0"
"47"	"35"	"35"	"116"	"28"	"32"	"11"	"271"	"4"	"1"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"4"	"8"	"14"	"9"	"2"	"1"	"0"	"509"	"0"	"509"	"0"
"48"	"36"	"36"	"96"	"51"	"5"	"1"	"30"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"16"	"13"	"1"	"0"	"3"	"221"	"0"	"221"	"0"
"49"	"37"	"37"	"23"	"327"	"19"	"7"	"97"	"1"	"0"	"3"	"0"	"0"	"3"	"3"	"1"	"3"	"4"	"9"	"10"	"0"	"3"	"0"	"2"	"515"	"0"	"515"	"0"
"50"	"38"	"38"	"12"	"464"	"19"	"6"	"95"	"1"	"0"	"1"	"1"	"0"	"5"	"0"	"1"	"2"	"6"	"3"	"0"	"6"	"0"	"1"	"1"	"624"	"0"	"624"	"0"
"51"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"52"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"53"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"54"	"39"	"39"	"41"	"232"	"4"	"8"	"121"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"5"	"6"	"2"	"1"	"2"	"431"	"0"	"431"	"0"
"55"	"40"	"40"	"16"	"70"	"27"	"1"	"143"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"1"	"271"	"0"	"271"	"0"
"56"	"41"	"41"	"21"	"160"	"26"	"6"	"224"	"5"	"2"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"1"	"460"	"0"	"460"	"0"
"57"	"42"	"42"	"19"	"263"	"16"	"4"	"93"	"2"	"1"	"1"	"1"	"3"	"3"	"0"	"4"	"3"	"13"	"15"	"2"	"2"	"1"	"0"	"1"	"447"	"0"	"447"	"0"
"58"	"43"	"43"	"214"	"52"	"44"	"2"	"65"	"3"	"1"	"1"	"3"	"0"	"1"	"1"	"2"	"4"	"2"	"14"	"3"	"2"	"1"	"0"	"2"	"417"	"0"	"417"	"0"
"59"	"44"	"44"	"5"	"198"	"13"	"2"	"37"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"5"	"9"	"3"	"4"	"1"	"0"	"2"	"286"	"0"	"286"	"0"
"60"	"45"	"45"	"14"	"308"	"20"	"6"	"39"	"0"	"2"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"6"	"1"	"0"	"0"	"2"	"405"	"0"	"405"	"0"
"61"	"46"	"46"	"14"	"46"	"22"	"3"	"117"	"1"	"3"	"1"	"1"	"0"	"4"	"0"	"0"	"2"	"2"	"15"	"3"	"53"	"1"	"0"	"0"	"288"	"0"	"288"	"0"
"62"	"47"	"47"	"6"	"78"	"5"	"0"	"49"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"6"	"1"	"16"	"0"	"0"	"0"	"169"	"0"	"169"	"0"
"63"	"48"	"48"	"10"	"449"	"16"	"2"	"74"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"1"	"1"	"1"	"2"	"567"	"0"	"567"	"0"
"64"	"49"	"49"	"15"	"157"	"13"	"3"	"300"	"8"	"1"	"0"	"1"	"0"	"5"	"5"	"2"	"0"	"6"	"9"	"3"	"0"	"0"	"1"	"4"	"533"	"0"	"533"	"0"
"65"	"50"	"50"	"8"	"160"	"3"	"2"	"81"	"5"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"2"	"271"	"0"	"271"	"0"
"66"	"51"	"51"	"22"	"29"	"4"	"1"	"194"	"10"	"2"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"276"	"0"	"276"	"0"
"67"	"52"	"52"	"6"	"424"	"12"	"2"	"15"	"2"	"0"	"4"	"0"	"0"	"1"	"1"	"2"	"5"	"7"	"12"	"7"	"2"	"0"	"0"	"2"	"504"	"0"	"504"	"0"
"68"	"53"	"53"	"202"	"144"	"14"	"4"	"48"	"2"	"3"	"2"	"1"	"2"	"2"	"4"	"3"	"3"	"9"	"23"	"2"	"0"	"0"	"0"	"2"	"470"	"0"	"470"	"0"
"69"	"54"	"54"	"16"	"248"	"49"	"7"	"121"	"5"	"1"	"3"	"2"	"2"	"5"	"1"	"4"	"3"	"6"	"11"	"0"	"6"	"3"	"2"	"4"	"499"	"0"	"499"	"0"
"70"	"55"	"55"	"45"	"274"	"23"	"9"	"210"	"5"	"2"	"2"	"8"	"5"	"7"	"6"	"3"	"7"	"10"	"12"	"3"	"1"	"0"	"0"	"11"	"643"	"0"	"643"	"0"
"71"	"56"	"56"	"20"	"441"	"14"	"4"	"11"	"1"	"3"	"17"	"2"	"2"	"0"	"1"	"0"	"0"	"9"	"4"	"6"	"2"	"5"	"0"	"4"	"546"	"0"	"546"	"0"
"72"	"57"	"57"	"11"	"227"	"8"	"17"	"62"	"5"	"3"	"9"	"0"	"15"	"3"	"0"	"6"	"1"	"4"	"1"	"23"	"3"	"0"	"3"	"7"	"408"	"0"	"408"	"0"
"73"	"58"	"58"	"100"	"84"	"8"	"3"	"53"	"3"	"2"	"4"	"0"	"25"	"5"	"2"	"2"	"6"	"9"	"13"	"6"	"2"	"1"	"0"	"1"	"329"	"0"	"329"	"0"
"74"	"59"	"59"	"16"	"250"	"2"	"5"	"37"	"2"	"2"	"4"	"2"	"2"	"2"	"0"	"3"	"0"	"0"	"2"	"46"	"3"	"0"	"0"	"3"	"381"	"0"	"381"	"0"
"75"	"60"	"60"	"168"	"44"	"10"	"12"	"161"	"7"	"3"	"1"	"1"	"4"	"3"	"5"	"4"	"2"	"2"	"16"	"12"	"2"	"0"	"1"	"3"	"461"	"0"	"461"	"0"
"76"	"61"	"61"	"6"	"307"	"12"	"6"	"98"	"4"	"1"	"2"	"1"	"13"	"1"	"1"	"2"	"3"	"7"	"8"	"3"	"3"	"0"	"0"	"2"	"480"	"0"	"480"	"0"
"77"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"78"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"79"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"80"	"62"	"62"	"50"	"156"	"11"	"13"	"139"	"4"	"2"	"5"	"0"	"0"	"1"	"1"	"5"	"2"	"6"	"4"	"5"	"3"	"0"	"3"	"6"	"416"	"0"	"416"	"0"
"81"	"63"	"63"	"19"	"138"	"19"	"7"	"115"	"4"	"4"	"4"	"1"	"1"	"5"	"4"	"0"	"3"	"6"	"13"	"10"	"3"	"0"	"1"	"5"	"362"	"0"	"362"	"0"
"82"	"64"	"64"	"60"	"12"	"17"	"1"	"58"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"158"	"0"	"158"	"0"
"83"	"65"	"65"	"20"	"239"	"10"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"2"	"2"	"1"	"0"	"0"	"325"	"0"	"325"	"0"
"84"	"66"	"66"	"44"	"58"	"6"	"0"	"102"	"3"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"3"	"10"	"1"	"1"	"0"	"0"	"1"	"234"	"0"	"234"	"0"
"85"	"67"	"67"	"242"	"322"	"21"	"17"	"123"	"5"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"5"	"5"	"7"	"11"	"8"	"4"	"3"	"12"	"792"	"0"	"792"	"0"
"86"	"68"	"68"	"17"	"187"	"6"	"0"	"32"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"0"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"255"	"0"	"255"	"0"
"87"	"69"	"69"	"9"	"81"	"10"	"1"	"59"	"0"	"0"	"0"	"0"	"2"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"0"	"169"	"0"
"88"	"70"	"70"	"25"	"175"	"19"	"5"	"48"	"4"	"1"	"0"	"3"	"7"	"3"	"2"	"2"	"3"	"5"	"8"	"6"	"1"	"1"	"0"	"2"	"320"	"0"	"320"	"0"
"89"	"71"	"71"	"97"	"145"	"8"	"3"	"36"	"3"	"2"	"47"	"1"	"3"	"2"	"3"	"1"	"7"	"10"	"11"	"10"	"4"	"1"	"1"	"8"	"403"	"0"	"403"	"0"
"90"	"72"	"72"	"11"	"267"	"23"	"10"	"87"	"1"	"3"	"15"	"6"	"1"	"2"	"1"	"1"	"2"	"1"	"5"	"5"	"12"	"8"	"2"	"12"	"475"	"0"	"475"	"0"
"91"	"73"	"73"	"28"	"78"	"5"	"4"	"244"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"4"	"3"	"0"	"0"	"2"	"2"	"380"	"0"	"380"	"0"
"92"	"74"	"74"	"24"	"426"	"36"	"6"	"42"	"7"	"0"	"2"	"1"	"4"	"5"	"3"	"4"	"6"	"12"	"20"	"2"	"6"	"4"	"1"	"6"	"617"	"0"	"617"	"0"
"93"	"75"	"75"	"33"	"84"	"29"	"4"	"101"	"3"	"0"	"3"	"6"	"0"	"2"	"3"	"5"	"0"	"1"	"7"	"4"	"2"	"1"	"0"	"2"	"290"	"0"	"290"	"0"
"94"	"76"	"76"	"30"	"251"	"33"	"4"	"51"	"4"	"2"	"3"	"0"	"39"	"4"	"2"	"7"	"4"	"9"	"11"	"10"	"8"	"0"	"0"	"5"	"477"	"0"	"477"	"0"
"95"	"77"	"77"	"74"	"179"	"16"	"4"	"68"	"2"	"1"	"2"	"1"	"7"	"7"	"1"	"0"	"0"	"0"	"4"	"9"	"0"	"1"	"0"	"4"	"380"	"0"	"380"	"0"
"96"	"78"	"78"	"92"	"135"	"40"	"4"	"110"	"5"	"4"	"1"	"4"	"9"	"7"	"4"	"3"	"2"	"2"	"14"	"5"	"1"	"3"	"0"	"1"	"446"	"0"	"446"	"0"
"97"	"79"	"79"	"44"	"38"	"81"	"5"	"288"	"7"	"1"	"1"	"4"	"5"	"12"	"8"	"3"	"1"	"3"	"12"	"1"	"1"	"0"	"1"	"7"	"523"	"0"	"523"	"0"
"98"	"80"	"80"	"25"	"62"	"153"	"10"	"87"	"1"	"2"	"13"	"5"	"1"	"3"	"4"	"2"	"2"	"3"	"7"	"4"	"5"	"1"	"3"	"4"	"397"	"0"	"397"	"0"
"99"	"81"	"81"	"18"	"79"	"40"	"5"	"45"	"2"	"0"	"2"	"0"	"0"	"4"	"1"	"1"	"2"	"1"	"4"	"1"	"3"	"1"	"0"	"1"	"210"	"0"	"210"	"0"
"100"	"82"	"82"	"31"	"97"	"113"	"4"	"88"	"7"	"0"	"0"	"3"	"3"	"5"	"1"	"1"	"0"	"1"	"5"	"3"	"1"	"3"	"1"	"0"	"367"	"0"	"367"	"0"
"101"	"83"	"83"	"48"	"117"	"41"	"2"	"124"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"347"	"0"	"347"	"0"
"102"	"84"	"84"	"65"	"234"	"13"	"8"	"159"	"2"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"2"	"0"	"2"	"3"	"1"	"3"	"0"	"3"	"501"	"0"	"501"	"0"
"103"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"104"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"105"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"106"	"85"	"85"	"44"	"216"	"61"	"25"	"95"	"1"	"2"	"1"	"2"	"0"	"1"	"6"	"1"	"4"	"6"	"5"	"4"	"3"	"2"	"1"	"4"	"484"	"0"	"484"	"0"
"107"	"86"	"86"	"12"	"147"	"37"	"5"	"147"	"4"	"4"	"2"	"2"	"0"	"1"	"2"	"2"	"4"	"5"	"15"	"0"	"1"	"1"	"2"	"3"	"396"	"0"	"396"	"0"
"108"	"87"	"87"	"3"	"97"	"22"	"5"	"146"	"4"	"0"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"291"	"0"	"291"	"0"
"109"	"88"	"88"	"5"	"83"	"10"	"1"	"165"	"9"	"0"	"0"	"1"	"1"	"3"	"9"	"2"	"0"	"5"	"4"	"4"	"1"	"0"	"1"	"2"	"306"	"0"	"306"	"0"
"110"	"89"	"89"	"8"	"106"	"26"	"4"	"161"	"2"	"1"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"318"	"0"	"318"	"0"
