"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.No.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"11"	"10"	"5"	"10"	"172"	"5"	"0"	"3"	"1"	"3"	"7"	"7"	"3"	"1"	"0"	"12"	"120"	"10"	"0"	"6"	"365"	"0"	"365"	"0"
"12"	"11"	"42"	"348"	"137"	"43"	"3"	"10"	"11"	"3"	"9"	"7"	"10"	"0"	"2"	"7"	"143"	"15"	"11"	"1"	"802"	"0"	"802"	"0"
"13"	"12"	"13"	"84"	"170"	"58"	"2"	"0"	"2"	"0"	"1"	"0"	"3"	"0"	"4"	"1"	"31"	"18"	"27"	"15"	"429"	"0"	"429"	"0"
"14"	"13"	"2"	"21"	"79"	"312"	"14"	"4"	"80"	"11"	"7"	"4"	"5"	"5"	"8"	"5"	"10"	"23"	"0"	"4"	"594"	"0"	"594"	"0"
"15"	"14"	"3"	"53"	"247"	"21"	"2"	"1"	"24"	"0"	"4"	"0"	"1"	"0"	"1"	"0"	"3"	"6"	"0"	"4"	"370"	"0"	"370"	"0"
"16"	"15"	"19"	"272"	"44"	"21"	"3"	"7"	"4"	"7"	"17"	"1"	"5"	"3"	"9"	"12"	"235"	"30"	"1"	"0"	"690"	"0"	"690"	"0"
"17"	"16"	"5"	"19"	"296"	"90"	"5"	"2"	"1"	"2"	"2"	"3"	"2"	"0"	"2"	"5"	"40"	"8"	"4"	"5"	"491"	"0"	"491"	"0"
"18"	"17"	"34"	"251"	"104"	"88"	"2"	"4"	"8"	"6"	"3"	"6"	"2"	"3"	"8"	"9"	"183"	"11"	"8"	"4"	"734"	"0"	"734"	"0"
"19"	"18"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"616"	"1"	"0"	"0"	"625"	"0"	"625"	"0"
"20"	"19"	"14"	"12"	"276"	"63"	"4"	"6"	"1"	"5"	"4"	"4"	"2"	"1"	"4"	"0"	"35"	"10"	"2"	"3"	"446"	"0"	"446"	"0"
"21"	"20"	"18"	"66"	"234"	"4"	"0"	"1"	"0"	"1"	"5"	"1"	"0"	"3"	"0"	"2"	"39"	"5"	"2"	"0"	"381"	"0"	"381"	"0"
"22"	"21"	"6"	"18"	"348"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"3"	"4"	"9"	"4"	"4"	"406"	"0"	"406"	"0"
"23"	"22"	"7"	"139"	"172"	"14"	"2"	"4"	"9"	"2"	"1"	"3"	"2"	"2"	"3"	"1"	"1"	"3"	"3"	"12"	"380"	"0"	"380"	"0"
"24"	"23"	"8"	"14"	"37"	"62"	"2"	"2"	"3"	"2"	"1"	"2"	"3"	"2"	"4"	"13"	"521"	"31"	"0"	"1"	"708"	"0"	"708"	"0"
"25"	"24"	"8"	"9"	"15"	"41"	"2"	"2"	"1"	"2"	"1"	"3"	"2"	"2"	"5"	"14"	"446"	"34"	"1"	"3"	"591"	"0"	"591"	"0"
"26"	"25"	"8"	"47"	"18"	"159"	"6"	"1"	"2"	"2"	"3"	"1"	"3"	"5"	"12"	"11"	"377"	"20"	"5"	"5"	"685"	"0"	"685"	"0"
"27"	"26"	"16"	"31"	"63"	"179"	"4"	"3"	"15"	"8"	"8"	"8"	"8"	"6"	"8"	"14"	"327"	"20"	"9"	"12"	"739"	"0"	"739"	"0"
"28"	"27"	"11"	"26"	"163"	"41"	"4"	"5"	"14"	"3"	"4"	"14"	"7"	"8"	"8"	"14"	"304"	"77"	"13"	"27"	"743"	"0"	"743"	"0"
"29"	"28"	"6"	"10"	"49"	"132"	"9"	"5"	"18"	"0"	"3"	"1"	"5"	"2"	"6"	"8"	"101"	"18"	"4"	"2"	"379"	"0"	"379"	"0"
"30"	"29"	"7"	"4"	"95"	"249"	"13"	"4"	"25"	"2"	"5"	"0"	"5"	"5"	"5"	"2"	"44"	"20"	"2"	"6"	"493"	"0"	"493"	"0"
"31"	"30"	"12"	"19"	"560"	"121"	"8"	"5"	"1"	"2"	"4"	"3"	"0"	"2"	"0"	"2"	"1"	"12"	"4"	"2"	"758"	"0"	"758"	"0"
"32"	"31"	"24"	"50"	"380"	"269"	"11"	"5"	"4"	"4"	"11"	"6"	"4"	"5"	"7"	"6"	"11"	"38"	"3"	"2"	"840"	"0"	"840"	"0"
"33"	"32"	"28"	"56"	"370"	"203"	"4"	"5"	"15"	"7"	"6"	"0"	"8"	"3"	"0"	"3"	"9"	"4"	"6"	"6"	"733"	"0"	"733"	"0"
"34"	"33"	"14"	"20"	"275"	"123"	"3"	"5"	"91"	"7"	"7"	"5"	"1"	"3"	"3"	"18"	"14"	"21"	"6"	"9"	"625"	"0"	"625"	"0"
"35"	"34"	"5"	"9"	"26"	"218"	"8"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"277"	"0"	"277"	"0"
"36"	"35"	"14"	"346"	"20"	"17"	"2"	"1"	"2"	"3"	"3"	"1"	"3"	"0"	"2"	"0"	"3"	"10"	"9"	"6"	"442"	"0"	"442"	"0"
"37"	"36"	"1"	"19"	"38"	"144"	"6"	"4"	"4"	"0"	"2"	"1"	"2"	"1"	"4"	"4"	"19"	"4"	"0"	"0"	"253"	"0"	"253"	"0"
"38"	"37"	"8"	"17"	"22"	"370"	"9"	"2"	"78"	"2"	"1"	"2"	"1"	"3"	"6"	"1"	"19"	"15"	"3"	"2"	"561"	"0"	"561"	"0"
"39"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No.of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"40"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"41"	"38"	"9"	"11"	"349"	"60"	"2"	"2"	"8"	"1"	"3"	"2"	"0"	"1"	"2"	"2"	"4"	"6"	"1"	"1"	"464"	"0"	"464"	"0"
"42"	"39"	"5"	"16"	"151"	"241"	"5"	"4"	"1"	"3"	"6"	"6"	"6"	"2"	"5"	"11"	"55"	"21"	"2"	"6"	"546"	"0"	"546"	"0"
"43"	"40"	"9"	"29"	"18"	"267"	"9"	"1"	"8"	"4"	"2"	"0"	"2"	"5"	"3"	"4"	"43"	"8"	"5"	"3"	"420"	"0"	"420"	"0"
"44"	"41"	"42"	"12"	"28"	"190"	"7"	"0"	"3"	"1"	"3"	"2"	"0"	"1"	"3"	"2"	"15"	"5"	"6"	"0"	"320"	"0"	"320"	"0"
"45"	"42"	"6"	"22"	"290"	"73"	"1"	"3"	"1"	"0"	"6"	"4"	"1"	"3"	"5"	"9"	"20"	"7"	"3"	"7"	"461"	"0"	"461"	"0"
"46"	"43"	"4"	"9"	"375"	"79"	"1"	"3"	"0"	"0"	"3"	"0"	"2"	"2"	"0"	"1"	"9"	"3"	"0"	"1"	"492"	"0"	"492"	"0"
"47"	"44"	"19"	"12"	"92"	"191"	"8"	"1"	"3"	"5"	"2"	"3"	"2"	"1"	"1"	"2"	"29"	"10"	"6"	"7"	"394"	"0"	"394"	"0"
"48"	"45"	"4"	"36"	"465"	"22"	"2"	"1"	"7"	"1"	"4"	"1"	"2"	"0"	"2"	"2"	"1"	"1"	"0"	"1"	"552"	"0"	"552"	"0"
"49"	"46"	"10"	"95"	"441"	"40"	"3"	"4"	"63"	"2"	"4"	"2"	"2"	"0"	"2"	"12"	"3"	"19"	"0"	"5"	"707"	"0"	"707"	"0"
"50"	"47"	"17"	"133"	"453"	"116"	"3"	"4"	"20"	"0"	"3"	"5"	"0"	"5"	"4"	"4"	"2"	"7"	"1"	"6"	"783"	"0"	"783"	"0"
"51"	"48"	"3"	"92"	"402"	"1"	"0"	"0"	"6"	"1"	"1"	"1"	"2"	"0"	"1"	"6"	"5"	"0"	"0"	"0"	"521"	"0"	"521"	"0"
"52"	"49"	"13"	"129"	"507"	"18"	"1"	"8"	"10"	"3"	"2"	"0"	"3"	"1"	"1"	"6"	"4"	"2"	"2"	"16"	"726"	"0"	"726"	"0"
"53"	"50"	"2"	"25"	"247"	"137"	"8"	"2"	"2"	"0"	"2"	"0"	"3"	"1"	"3"	"9"	"6"	"7"	"3"	"4"	"461"	"0"	"461"	"0"
"54"	"51"	"9"	"81"	"176"	"54"	"2"	"0"	"7"	"1"	"6"	"1"	"0"	"3"	"1"	"3"	"10"	"1"	"3"	"5"	"363"	"0"	"363"	"0"
"55"	"52"	"17"	"22"	"215"	"276"	"5"	"6"	"22"	"4"	"4"	"5"	"1"	"1"	"4"	"6"	"12"	"25"	"5"	"5"	"635"	"0"	"635"	"0"
"56"	"53"	"35"	"56"	"246"	"244"	"8"	"4"	"11"	"4"	"3"	"5"	"5"	"5"	"6"	"6"	"8"	"12"	"13"	"9"	"680"	"0"	"680"	"0"
"57"	"54"	"18"	"99"	"201"	"28"	"1"	"2"	"2"	"1"	"4"	"1"	"0"	"1"	"2"	"2"	"15"	"2"	"5"	"4"	"388"	"0"	"388"	"0"
"58"	"55"	"10"	"70"	"84"	"388"	"9"	"6"	"8"	"7"	"10"	"1"	"8"	"4"	"4"	"3"	"15"	"21"	"1"	"2"	"651"	"0"	"651"	"0"
"59"	"56"	"6"	"12"	"292"	"71"	"0"	"4"	"1"	"0"	"2"	"0"	"0"	"3"	"6"	"10"	"6"	"13"	"0"	"6"	"432"	"0"	"432"	"0"
"60"	"57"	"6"	"3"	"212"	"236"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"4"	"2"	"13"	"1"	"4"	"492"	"0"	"492"	"0"
"61"	"58"	"1"	"19"	"155"	"283"	"3"	"3"	"7"	"0"	"3"	"0"	"1"	"1"	"2"	"3"	"7"	"3"	"0"	"3"	"494"	"0"	"494"	"0"
"62"	"59"	"11"	"23"	"287"	"298"	"8"	"6"	"3"	"1"	"3"	"2"	"6"	"2"	"7"	"12"	"7"	"14"	"14"	"24"	"728"	"0"	"728"	"0"
"63"	"60"	"18"	"33"	"392"	"186"	"11"	"5"	"8"	"4"	"1"	"1"	"0"	"1"	"3"	"1"	"13"	"5"	"4"	"6"	"692"	"0"	"692"	"0"
"64"	"61"	"12"	"38"	"99"	"83"	"5"	"3"	"1"	"1"	"1"	"2"	"4"	"2"	"7"	"4"	"12"	"16"	"0"	"7"	"297"	"0"	"297"	"0"
"65"	"62"	"7"	"24"	"122"	"139"	"3"	"2"	"5"	"6"	"1"	"3"	"7"	"3"	"4"	"4"	"4"	"18"	"1"	"8"	"361"	"0"	"361"	"0"
"66"	"63"	"9"	"3"	"138"	"304"	"7"	"2"	"2"	"0"	"2"	"1"	"5"	"6"	"8"	"1"	"6"	"26"	"9"	"23"	"552"	"0"	"552"	"0"
"67"	"64"	"1"	"20"	"44"	"152"	"1"	"0"	"6"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"5"	"0"	"0"	"237"	"0"	"237"	"0"
"68"	"65"	"3"	"7"	"331"	"25"	"2"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"2"	"3"	"2"	"6"	"2"	"5"	"394"	"0"	"394"	"0"
"69"	"66"	"1"	"6"	"202"	"81"	"3"	"1"	"1"	"1"	"3"	"3"	"0"	"2"	"2"	"3"	"3"	"8"	"1"	"1"	"322"	"0"	"322"	"0"
"70"	"67"	"13"	"67"	"334"	"116"	"5"	"1"	"21"	"3"	"5"	"3"	"2"	"1"	"1"	"4"	"3"	"74"	"11"	"6"	"670"	"0"	"670"	"0"
"71"	"68"	"1"	"179"	"21"	"58"	"2"	"1"	"12"	"1"	"4"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"2"	"1"	"289"	"0"	"289"	"0"
"72"	"69"	"5"	"17"	"154"	"192"	"4"	"6"	"67"	"1"	"2"	"0"	"0"	"0"	"5"	"5"	"10"	"6"	"6"	"7"	"487"	"0"	"487"	"0"
"73"	"70"	"1"	"2"	"13"	"321"	"4"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"363"	"0"	"363"	"0"
"74"	"71"	"8"	"54"	"109"	"44"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"11"	"131"	"16"	"5"	"8"	"393"	"0"	"393"	"0"
"75"	"72"	"9"	"53"	"305"	"188"	"8"	"6"	"5"	"5"	"7"	"8"	"7"	"6"	"5"	"15"	"59"	"33"	"1"	"6"	"726"	"0"	"726"	"0"
"76"	"73"	"13"	"13"	"281"	"19"	"2"	"1"	"0"	"6"	"5"	"3"	"10"	"4"	"9"	"11"	"17"	"60"	"5"	"10"	"469"	"0"	"469"	"0"
"77"	"74"	"5"	"15"	"152"	"303"	"8"	"4"	"5"	"1"	"4"	"1"	"3"	"5"	"8"	"4"	"6"	"15"	"1"	"5"	"545"	"0"	"545"	"0"
"78"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No.of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"79"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"80"	"75"	"8"	"11"	"343"	"121"	"9"	"4"	"2"	"6"	"6"	"6"	"4"	"4"	"5"	"14"	"22"	"35"	"4"	"9"	"613"	"0"	"613"	"0"
"81"	"76"	"19"	"101"	"324"	"124"	"3"	"2"	"4"	"2"	"2"	"2"	"1"	"1"	"3"	"2"	"9"	"9"	"2"	"6"	"616"	"0"	"616"	"0"
"82"	"77"	"7"	"12"	"153"	"163"	"10"	"2"	"5"	"2"	"8"	"3"	"6"	"10"	"5"	"3"	"84"	"31"	"8"	"13"	"525"	"0"	"525"	"0"
"83"	"78"	"9"	"458"	"134"	"10"	"4"	"1"	"9"	"0"	"2"	"1"	"4"	"3"	"2"	"1"	"18"	"8"	"3"	"18"	"685"	"0"	"685"	"0"
"84"	"79"	"38"	"295"	"190"	"24"	"1"	"0"	"0"	"1"	"6"	"0"	"5"	"0"	"2"	"4"	"25"	"23"	"12"	"11"	"637"	"0"	"637"	"0"
"85"	"80"	"4"	"12"	"384"	"86"	"3"	"3"	"4"	"0"	"7"	"2"	"0"	"2"	"3"	"5"	"19"	"8"	"0"	"2"	"544"	"0"	"544"	"0"
"86"	"81"	"1"	"15"	"52"	"136"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"22"	"2"	"0"	"0"	"236"	"0"	"236"	"0"
"87"	"82"	"6"	"4"	"197"	"168"	"1"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"4"	"17"	"3"	"0"	"0"	"407"	"0"	"407"	"0"
"88"	"83"	"4"	"470"	"20"	"31"	"0"	"1"	"1"	"1"	"1"	"1"	"8"	"2"	"0"	"8"	"5"	"7"	"0"	"8"	"568"	"0"	"568"	"0"
"89"	"84"	"16"	"63"	"149"	"129"	"6"	"5"	"5"	"5"	"2"	"4"	"1"	"5"	"4"	"5"	"75"	"23"	"2"	"8"	"507"	"0"	"507"	"0"
"90"	"85"	"9"	"38"	"242"	"116"	"10"	"4"	"4"	"4"	"10"	"4"	"8"	"10"	"8"	"9"	"124"	"27"	"12"	"9"	"648"	"0"	"648"	"0"
"91"	"86"	"5"	"15"	"27"	"186"	"4"	"4"	"0"	"1"	"3"	"1"	"4"	"3"	"3"	"5"	"166"	"18"	"4"	"9"	"458"	"0"	"458"	"0"
"92"	"87"	"22"	"259"	"71"	"123"	"5"	"3"	"1"	"0"	"6"	"4"	"4"	"3"	"9"	"16"	"98"	"38"	"1"	"7"	"670"	"0"	"670"	"0"
"93"	"88"	"6"	"106"	"300"	"47"	"3"	"6"	"4"	"2"	"7"	"6"	"4"	"1"	"5"	"7"	"58"	"15"	"4"	"12"	"593"	"0"	"593"	"0"
"94"	"89"	"7"	"32"	"152"	"125"	"1"	"5"	"1"	"2"	"3"	"5"	"7"	"7"	"9"	"5"	"191"	"23"	"2"	"3"	"580"	"0"	"580"	"0"
"95"	"90"	"4"	"12"	"151"	"199"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"1"	"3"	"2"	"39"	"6"	"2"	"2"	"427"	"0"	"427"	"0"
"96"	"91"	"6"	"28"	"60"	"263"	"6"	"2"	"1"	"2"	"2"	"0"	"3"	"1"	"5"	"5"	"48"	"14"	"0"	"5"	"451"	"0"	"451"	"0"
"97"	"92"	"22"	"60"	"196"	"184"	"3"	"4"	"19"	"1"	"2"	"0"	"2"	"3"	"0"	"5"	"44"	"4"	"4"	"3"	"556"	"0"	"556"	"0"
"98"	"93"	"9"	"35"	"194"	"253"	"5"	"4"	"30"	"2"	"7"	"6"	"4"	"3"	"4"	"8"	"75"	"33"	"5"	"0"	"677"	"0"	"677"	"0"
"99"	"94"	"7"	"67"	"337"	"101"	"2"	"7"	"0"	"8"	"7"	"2"	"5"	"5"	"5"	"8"	"187"	"12"	"3"	"4"	"767"	"0"	"767"	"0"
"100"	"95"	"14"	"85"	"293"	"105"	"5"	"4"	"8"	"1"	"3"	"3"	"3"	"1"	"9"	"6"	"127"	"31"	"6"	"7"	"711"	"0"	"711"	"0"
"101"	"96"	"2"	"38"	"158"	"146"	"6"	"5"	"6"	"2"	"4"	"3"	"4"	"4"	"4"	"10"	"181"	"48"	"3"	"27"	"651"	"0"	"651"	"0"
"102"	"97"	"2"	"32"	"56"	"158"	"7"	"1"	"2"	"2"	"3"	"0"	"2"	"5"	"8"	"11"	"297"	"29"	"3"	"6"	"624"	"0"	"624"	"0"
"103"	"98"	"7"	"22"	"78"	"86"	"7"	"1"	"4"	"4"	"6"	"3"	"5"	"2"	"12"	"13"	"393"	"21"	"1"	"1"	"666"	"0"	"666"	"0"
"104"	"99"	"14"	"32"	"90"	"386"	"11"	"3"	"19"	"2"	"7"	"2"	"5"	"7"	"2"	"6"	"85"	"17"	"1"	"3"	"692"	"0"	"692"	"0"
"105"	"100"	"8"	"136"	"187"	"52"	"7"	"6"	"0"	"4"	"6"	"6"	"5"	"4"	"5"	"8"	"216"	"23"	"3"	"6"	"682"	"0"	"682"	"0"
"106"	"101"	"65"	"134"	"112"	"235"	"16"	"5"	"7"	"6"	"11"	"3"	"6"	"7"	"2"	"6"	"198"	"31"	"3"	"10"	"857"	"0"	"857"	"0"
"107"	"102"	"6"	"52"	"104"	"95"	"2"	"1"	"0"	"3"	"6"	"2"	"1"	"3"	"2"	"2"	"53"	"8"	"1"	"1"	"342"	"0"	"342"	"0"
"108"	"103"	"28"	"145"	"99"	"210"	"13"	"2"	"3"	"3"	"11"	"2"	"5"	"2"	"6"	"1"	"8"	"7"	"10"	"9"	"564"	"0"	"564"	"0"
"109"	"104"	"15"	"210"	"261"	"64"	"0"	"4"	"2"	"0"	"4"	"2"	"3"	"2"	"3"	"5"	"5"	"5"	"7"	"9"	"601"	"0"	"601"	"0"
"110"	"105"	"4"	"261"	"275"	"71"	"2"	"3"	"0"	"1"	"3"	"2"	"2"	"2"	"3"	"7"	"7"	"10"	"1"	"10"	"664"	"0"	"664"	"0"
"111"	"106"	"8"	"40"	"390"	"110"	"5"	"2"	"1"	"0"	"4"	"3"	"4"	"4"	"2"	"9"	"6"	"16"	"1"	"4"	"609"	"0"	"609"	"0"
"112"	"107"	"9"	"17"	"421"	"142"	"8"	"3"	"2"	"5"	"9"	"2"	"3"	"5"	"10"	"16"	"32"	"16"	"1"	"4"	"705"	"0"	"705"	"0"
"113"	"108"	"5"	"59"	"460"	"36"	"5"	"3"	"1"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"583"	"0"	"583"	"0"
"114"	"109"	"0"	"5"	"125"	"112"	"1"	"0"	"1"	"2"	"0"	"0"	"4"	"1"	"1"	"0"	"4"	"5"	"3"	"6"	"270"	"0"	"270"	"0"
"115"	"110"	"115"	"26"	"428"	"77"	"7"	"12"	"4"	"3"	"6"	"4"	"7"	"6"	"12"	"13"	"21"	"41"	"6"	"14"	"802"	"0"	"802"	"0"
"116"	"111"	"24"	"56"	"400"	"33"	"1"	"6"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"5"	"9"	"3"	"18"	"24"	"585"	"0"	"585"	"0"
"117"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No.of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"118"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"119"	"112"	"11"	"153"	"233"	"20"	"7"	"8"	"8"	"4"	"10"	"3"	"3"	"4"	"3"	"5"	"18"	"65"	"4"	"14"	"573"	"0"	"573"	"0"
"120"	"113"	"19"	"47"	"300"	"162"	"9"	"2"	"8"	"3"	"3"	"1"	"3"	"2"	"4"	"6"	"19"	"6"	"4"	"6"	"604"	"0"	"604"	"0"
"121"	"114"	"6"	"27"	"116"	"576"	"18"	"6"	"6"	"4"	"5"	"5"	"3"	"8"	"6"	"5"	"46"	"24"	"3"	"2"	"866"	"0"	"866"	"0"
"122"	"115"	"40"	"14"	"304"	"194"	"6"	"9"	"5"	"2"	"6"	"8"	"8"	"7"	"14"	"11"	"47"	"50"	"1"	"13"	"739"	"0"	"739"	"0"
"123"	"116"	"6"	"71"	"312"	"196"	"3"	"0"	"41"	"1"	"3"	"4"	"2"	"0"	"3"	"1"	"1"	"6"	"0"	"1"	"651"	"0"	"651"	"0"
"124"	"117"	"5"	"42"	"314"	"125"	"3"	"0"	"8"	"3"	"3"	"2"	"1"	"0"	"4"	"2"	"3"	"10"	"2"	"0"	"527"	"0"	"527"	"0"
"125"	"118"	"7"	"41"	"244"	"215"	"2"	"2"	"59"	"4"	"1"	"3"	"3"	"3"	"2"	"0"	"0"	"3"	"1"	"4"	"594"	"0"	"594"	"0"
"126"	"119"	"49"	"56"	"181"	"296"	"12"	"5"	"12"	"3"	"3"	"4"	"5"	"5"	"6"	"6"	"8"	"46"	"5"	"20"	"722"	"0"	"722"	"0"
"127"	"120"	"10"	"56"	"293"	"76"	"4"	"5"	"4"	"1"	"5"	"2"	"5"	"0"	"1"	"2"	"1"	"7"	"2"	"14"	"488"	"0"	"488"	"0"
"128"	"121"	"12"	"16"	"548"	"9"	"3"	"3"	"0"	"1"	"2"	"0"	"3"	"2"	"3"	"4"	"2"	"3"	"9"	"18"	"638"	"0"	"638"	"0"
"129"	"122"	"28"	"21"	"430"	"68"	"6"	"5"	"10"	"3"	"6"	"2"	"2"	"4"	"6"	"19"	"6"	"11"	"1"	"4"	"632"	"0"	"632"	"0"
"130"	"123"	"8"	"169"	"223"	"100"	"8"	"4"	"11"	"11"	"9"	"4"	"9"	"5"	"6"	"6"	"23"	"15"	"6"	"21"	"638"	"0"	"638"	"0"
"131"	"124"	"14"	"44"	"158"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"233"	"0"	"233"	"0"
"132"	"125"	"23"	"130"	"274"	"56"	"4"	"3"	"0"	"4"	"8"	"0"	"2"	"3"	"1"	"3"	"41"	"6"	"4"	"14"	"576"	"0"	"576"	"0"
"133"	"126"	"21"	"7"	"159"	"259"	"4"	"6"	"0"	"3"	"3"	"3"	"0"	"9"	"5"	"9"	"19"	"21"	"4"	"12"	"544"	"0"	"544"	"0"
