"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"40"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Shaarma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"41"	"32"	"195"	"24"	"85"	"156"	""	"29"	"10"	"3"	"167"	"5"	"4"	"4"	"1"	"1"	"2"	"1"	"1"	"18"	"5"	"492"
"42"	"32"	"195"	"25"	"165"	"79"	""	"3"	"5"	"3"	"111"	"2"	"6"	"2"	"2"	"2"	"2"	"3"	"0"	"8"	"3"	"396"
"43"	"32"	"195"	"26"	"252"	"100"	""	"5"	"4"	"0"	"167"	"10"	"3"	"2"	"1"	"1"	"2"	"3"	"3"	"10"	"11"	"574"
"44"	"32"	"195"	"27"	"129"	"23"	""	"2"	"2"	"0"	"28"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"5"	"196"
"45"	"32"	"195"	"28"	"14"	"101"	""	"1"	"1"	"0"	"70"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"194"
"46"	"32"	"195"	"29"	"110"	"68"	""	"4"	"5"	"3"	"44"	"5"	"1"	"0"	"2"	"3"	"1"	"1"	"0"	"5"	"3"	"255"
"47"	"32"	"195"	"30"	"130"	"10"	""	"19"	"2"	"1"	"149"	"3"	"2"	"1"	"1"	"5"	"1"	"0"	"3"	"10"	"5"	"342"
"48"	"32"	"195"	"31"	"99"	"118"	""	"17"	"2"	"0"	"49"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	"5"	"299"
"49"	"32"	"195"	"32"	"6"	"111"	""	"2"	"1"	"0"	"21"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"145"
"50"	"32"	"195"	"33"	"63"	"9"	""	"2"	"0"	"0"	"285"	"1"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"5"	"1"	"373"
"51"	"32"	"195"	"34"	"21"	"65"	""	"1"	"1"	"2"	"227"	"5"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"8"	"5"	"338"
"52"	"32"	"195"	"35"	"46"	"47"	""	"3"	"1"	"1"	"51"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"1"	"156"
"53"	"32"	"195"	"36"	"177"	"54"	""	"1"	"0"	"0"	"210"	"2"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"453"
"54"	"32"	"195"	"37"	"58"	"58"	""	"0"	"1"	"1"	"141"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"267"
"55"	"32"	"195"	"38"	"21"	"50"	""	"1"	"6"	"3"	"207"	"3"	"2"	"1"	"3"	"4"	"0"	"2"	"1"	"7"	"7"	"318"
"56"	"32"	"195"	"39"	"51"	"15"	""	"3"	"1"	"3"	"187"	"0"	"2"	"1"	"2"	"2"	"3"	"1"	"0"	"6"	"10"	"287"
"57"	"32"	"195"	"40"	"172"	"88"	""	"7"	"8"	"2"	"107"	"2"	"2"	"1"	"3"	"0"	"0"	"1"	"1"	"7"	"11"	"412"
"58"	"32"	"195"	"41"	"18"	"7"	""	"1"	"0"	"1"	"182"	"2"	"5"	"1"	"0"	"3"	"0"	"2"	"2"	"4"	"3"	"231"
"59"	"32"	"195"	"42"	"92"	"75"	""	"4"	"4"	"1"	"156"	"5"	"1"	"2"	"7"	"2"	"1"	"2"	"3"	"16"	"11"	"382"
"60"	"32"	"195"	"43"	"107"	"31"	""	"4"	"4"	"1"	"86"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"242"
"61"	"32"	"195"	"44"	"139"	"63"	""	"4"	"1"	"0"	"196"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"0"	"416"
"62"	"32"	"195"	"45"	"159"	"14"	""	"1"	"2"	"0"	"39"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"223"
"63"	"32"	"195"	"46"	"91"	"28"	""	"34"	"3"	"0"	"47"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"213"
"64"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-Agioun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Shaarma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"73"	"32"	"195"	"47"	"251"	"56"	""	"3"	"3"	"1"	"51"	"1"	"0"	"2"	"2"	"2"	"3"	"1"	"3"	"15"	"11"	"405"
"74"	"32"	"195"	"48"	"197"	"71"	""	"9"	"3"	"0"	"45"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"333"
"75"	"32"	"195"	"49"	"133"	"83"	""	"26"	"5"	"2"	"81"	"1"	"3"	"2"	"6"	"4"	"8"	"4"	"9"	"5"	"11"	"383"
"76"	"32"	"195"	"50"	"69"	"49"	""	"13"	"7"	"1"	"214"	"2"	"3"	"0"	"1"	"3"	"1"	"0"	"1"	"2"	"3"	"369"
"77"	"32"	"195"	"51"	"230"	"24"	""	"7"	"1"	"3"	"95"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"0"	"4"	"9"	"383"
"78"	"32"	"195"	"52"	"52"	"173"	""	"17"	"12"	"2"	"153"	"2"	"3"	"0"	"1"	"1"	"0"	"3"	"8"	"11"	"6"	"444"
"79"	"32"	"195"	"53"	"55"	"48"	""	"6"	"5"	"2"	"198"	"1"	"3"	"0"	"2"	"4"	"3"	"4"	"2"	"8"	"7"	"348"
"80"	"32"	"195"	"54"	"134"	"38"	""	"6"	"1"	"2"	"128"	"3"	"0"	"2"	"1"	"1"	"1"	"2"	"3"	"9"	"8"	"339"
"81"	"32"	"195"	"55"	"50"	"49"	""	"8"	"1"	"2"	"116"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"2"	"234"
"82"	"32"	"195"	"56"	"119"	"11"	""	"0"	"2"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"156"
"83"	"32"	"195"	"57"	"10"	"67"	""	"1"	"1"	"1"	"43"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"128"
"84"	"32"	"195"	"58"	"145"	"26"	""	"3"	"0"	"0"	"61"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"240"
"85"	"32"	"195"	"59"	"23"	"51"	""	"11"	"6"	"4"	"243"	"7"	"2"	"1"	"2"	"4"	"5"	"5"	"4"	"11"	"6"	"385"
"86"	"32"	"195"	"60"	"69"	"9"	""	"3"	"5"	"2"	"176"	"2"	"2"	"2"	"0"	"1"	"2"	"1"	"0"	"6"	"3"	"283"
"87"	"32"	"195"	"61"	"161"	"145"	""	"10"	"2"	"1"	"182"	"2"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"8"	"0"	"520"
"88"	"32"	"195"	"62"	"65"	"92"	""	"0"	"3"	"1"	"54"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"7"	"3"	"229"
"89"	"32"	"195"	"63"	"165"	"8"	""	"12"	"0"	"7"	"35"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"4"	"8"	"244"
"90"	"32"	"195"	"64"	"98"	"38"	""	"1"	"2"	"4"	"91"	"4"	"2"	"0"	"3"	"1"	"1"	"1"	"0"	"7"	"2"	"255"
"91"	"32"	"195"	"65"	"63"	"113"	""	"12"	"2"	"3"	"90"	"2"	"1"	"0"	"5"	"2"	"1"	"2"	"2"	"13"	"5"	"316"
"92"	"32"	"195"	"66"	"74"	"77"	""	"2"	"0"	"2"	"72"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"236"
"93"	"32"	"195"	"67"	"124"	"77"	""	"22"	"1"	"2"	"70"	"2"	"0"	"0"	"0"	"6"	"1"	"0"	"3"	"8"	"5"	"321"
"94"	"32"	"195"	"68"	"11"	"25"	""	"1"	"1"	"0"	"48"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"92"
"95"	"32"	"195"	"69"	"94"	"66"	""	"0"	"4"	"1"	"31"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"5"	"5"	"211"
"96"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-Agioun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Shaarma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"105"	"32"	"195"	"70"	"138"	"71"	""	"17"	"1"	"1"	"57"	"2"	"4"	"0"	"5"	"3"	"1"	"2"	"4"	"6"	"8"	"320"
"106"	"32"	"195"	"71"	"68"	"89"	""	"4"	"3"	"1"	"151"	"1"	"2"	"1"	"5"	"4"	"4"	"1"	"3"	"10"	"7"	"354"
"107"	"32"	"195"	"72"	"6"	"251"	""	"1"	"1"	"0"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"288"
"108"	"32"	"195"	"73"	"88"	"81"	""	"1"	"3"	"1"	"136"	"5"	"2"	"1"	"3"	"15"	"0"	"2"	"10"	"16"	"14"	"378"
"109"	"32"	"195"	"74"	"7"	"117"	""	"4"	"0"	"0"	"109"	"3"	"3"	"0"	"1"	"0"	"2"	"0"	"2"	"6"	"6"	"260"
"110"	"32"	"195"	"75"	"55"	"124"	""	"4"	"2"	"5"	"173"	"6"	"4"	"1"	"3"	"0"	"2"	"0"	"4"	"6"	"4"	"393"
"111"	"32"	"195"	"76"	"111"	"58"	""	"6"	"13"	"9"	"194"	"6"	"4"	"1"	"3"	"4"	"1"	"1"	"2"	"5"	"4"	"422"
"112"	"32"	"195"	"77"	"291"	"21"	""	"14"	"6"	"2"	"146"	"1"	"0"	"2"	"1"	"3"	"3"	"0"	"1"	"11"	"4"	"506"
"113"	"32"	"195"	"78"	"66"	"97"	""	"14"	"2"	"3"	"131"	"3"	"2"	"2"	"5"	"4"	"2"	"0"	"2"	"14"	"3"	"350"
"114"	"32"	"195"	"79"	"51"	"124"	""	"5"	"6"	"0"	"92"	"1"	"3"	"0"	"4"	"4"	"1"	"4"	"1"	"6"	"10"	"312"
"115"	"32"	"195"	"80"	"30"	"87"	""	"3"	"1"	"2"	"107"	"3"	"2"	"1"	"1"	"2"	"0"	"2"	"2"	"9"	"0"	"252"
"116"	"32"	"195"	"81"	"137"	"122"	""	"4"	"6"	"2"	"87"	"2"	"1"	"1"	"3"	"2"	"2"	"0"	"0"	"5"	"6"	"380"
"117"	"32"	"195"	"82"	"24"	"114"	""	"7"	"3"	"4"	"155"	"4"	"4"	"1"	"2"	"4"	"0"	"0"	"3"	"10"	"2"	"337"
"118"	"32"	"195"	"83"	"111"	"125"	""	"1"	"1"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"252"
"119"	"32"	"195"	"84"	"46"	"117"	""	"1"	"10"	"4"	"198"	"5"	"6"	"0"	"7"	"5"	"1"	"0"	"4"	"11"	"8"	"423"
"120"	"32"	"195"	"85"	"103"	"230"	""	"8"	"6"	"2"	"25"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"7"	"12"	"6"	"403"
"121"	"32"	"195"	"86"	"48"	"40"	""	"2"	"6"	"2"	"130"	"1"	"1"	"1"	"0"	"5"	"4"	"1"	"0"	"7"	"2"	"250"
"122"	"32"	"195"	"87"	"71"	"91"	""	"6"	"10"	"3"	"144"	"9"	"2"	"2"	"3"	"19"	"6"	"1"	"1"	"10"	"5"	"383"
"123"	"32"	"195"	"88"	"97"	"104"	""	"1"	"11"	"2"	"78"	"4"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"6"	"1"	"308"
"124"	"32"	"195"	"89"	"330"	"54"	""	"152"	"6"	"0"	"43"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"594"
"125"	"32"	"195"	"90"	"321"	"135"	""	"7"	"6"	"2"	"32"	"0"	"4"	"3"	"0"	"0"	"2"	"0"	"1"	"6"	"4"	"523"
"126"	"32"	"195"	"91"	"74"	"150"	""	"20"	"10"	"0"	"88"	"4"	"4"	"1"	"3"	"4"	"4"	"0"	"4"	"21"	"9"	"396"
"127"	"32"	"195"	"92"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"128"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-Agioun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Shaarma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"137"	"32"	"195"	"93"	"71"	"76"	""	"1"	"2"	"4"	"90"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"5"	"3"	"260"
"138"	"32"	"195"	"94"	"139"	"69"	""	"6"	"9"	"1"	"193"	"2"	"5"	"2"	"3"	"2"	"2"	"1"	"1"	"8"	"4"	"447"
"139"	"32"	"195"	"95"	"109"	"29"	""	"1"	"21"	"1"	"5"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"2"	"178"
"140"	"32"	"195"	"96"	"41"	"134"	""	"5"	"6"	"3"	"61"	"3"	"4"	"0"	"2"	"2"	"4"	"0"	"3"	"12"	"2"	"282"
"141"	"32"	"195"	"97"	"128"	"31"	""	"7"	"2"	"2"	"46"	"6"	"2"	"1"	"3"	"3"	"1"	"0"	"2"	"3"	"4"	"241"
"142"	"32"	"195"	"98"	"125"	"110"	""	"4"	"9"	"2"	"36"	"2"	"2"	"0"	"2"	"2"	"0"	"4"	"1"	"3"	"10"	"312"
"143"	"32"	"195"	"99"	"20"	"48"	""	"2"	"12"	"0"	"64"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"154"
"144"	"32"	"195"	"100"	"61"	"42"	""	"3"	"65"	"2"	"63"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"243"
"145"	"32"	"195"	"101"	"88"	"138"	""	"0"	"10"	"0"	"52"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"290"
"146"	"32"	"195"	"102"	"135"	"140"	""	"7"	"7"	"6"	"98"	"4"	"3"	"1"	"8"	"3"	"1"	"5"	"8"	"21"	"9"	"456"
"147"	"32"	"195"	"103"	"27"	"75"	""	"3"	"3"	"24"	"70"	"1"	"0"	"1"	"2"	"4"	"1"	"0"	"3"	"11"	"1"	"226"
"148"	"32"	"195"	"104"	"13"	"89"	""	"4"	"1"	"1"	"75"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"3"	"0"	"193"
"149"	"32"	"195"	"105"	"52"	"21"	""	"6"	"7"	"1"	"276"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"11"	"0"	"379"
"150"	"32"	"195"	"106"	"12"	"132"	""	"18"	"2"	"0"	"17"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"4"	"0"	"191"
"151"	"32"	"195"	"107"	"62"	"135"	""	"2"	"21"	"0"	"70"	"0"	"1"	"2"	"4"	"1"	"3"	"2"	"5"	"12"	"9"	"329"
"152"	"32"	"195"	"108"	"47"	"165"	""	"5"	"12"	"1"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"266"
"153"	"32"	"195"	"109"	"108"	"166"	""	"3"	"7"	"0"	"15"	"0"	"4"	"1"	"1"	"0"	"0"	"3"	"2"	"7"	"4"	"321"
"154"	"32"	"195"	"110"	"101"	"54"	""	"83"	"14"	"3"	"82"	"6"	"2"	"5"	"4"	"4"	"2"	"0"	"2"	"6"	"1"	"369"
"155"	"32"	"195"	"111"	"4"	"167"	""	"0"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"
"156"	"32"	"195"	"112"	"195"	"34"	""	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"4"	"247"
"157"	"32"	"195"	"113"	"11"	"246"	""	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"
"158"	"32"	"195"	"114"	"127"	"192"	""	"4"	"2"	"0"	"50"	"1"	"4"	"0"	"2"	"0"	"4"	"0"	"0"	"4"	"2"	"392"
