"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"18"	"17"	"23"	"88"	"136"	"206"	"9"	"4"	"3"	"1"	"4"	"6"	"4"	"5"	"4"	"5"	"4"	"15"	"0"	"2"	"519"	"0"	"519"	"0"
"19"	"18"	"3"	"72"	"322"	"23"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"5"	"4"	"4"	"5"	"0"	"15"	"458"	"0"	"458"	"0"
"20"	"19"	"3"	"225"	"9"	"66"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"312"	"0"	"312"	"0"
"21"	"20"	"8"	"364"	"14"	"52"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"4"	"3"	"0"	"1"	"453"	"0"	"453"	"0"
"22"	"21"	"13"	"68"	"304"	"47"	"3"	"2"	"18"	"0"	"6"	"1"	"0"	"1"	"0"	"4"	"4"	"3"	"0"	"6"	"480"	"0"	"480"	"0"
"23"	"22"	"6"	"240"	"27"	"35"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"2"	"1"	"11"	"331"	"0"	"331"	"0"
"24"	"23"	"2"	"212"	"58"	"62"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"1"	"7"	"1"	"2"	"359"	"0"	"359"	"0"
"25"	"24"	"5"	"59"	"107"	"254"	"4"	"1"	"4"	"2"	"1"	"2"	"3"	"3"	"7"	"1"	"3"	"10"	"0"	"1"	"467"	"0"	"467"	"0"
"26"	"25"	"5"	"161"	"288"	"75"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"2"	"4"	"10"	"4"	"13"	"0"	"4"	"573"	"0"	"573"	"0"
"27"	"26"	"0"	"21"	"275"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"0"	"1"	"2"	"0"	"3"	"312"	"0"	"312"	"0"
"28"	"27"	"2"	"4"	"505"	"6"	"0"	"1"	"2"	"2"	"1"	"2"	"0"	"0"	"2"	"7"	"0"	"0"	"0"	"1"	"535"	"0"	"535"	"0"
"29"	"28"	"1"	"111"	"363"	"128"	"4"	"0"	"1"	"2"	"3"	"1"	"3"	"2"	"4"	"6"	"8"	"3"	"3"	"4"	"647"	"0"	"647"	"0"
"30"	"29"	"17"	"37"	"52"	"500"	"12"	"1"	"3"	"6"	"5"	"2"	"6"	"3"	"6"	"1"	"5"	"9"	"8"	"2"	"675"	"0"	"675"	"0"
"31"	"30"	"60"	"240"	"88"	"59"	"6"	"1"	"3"	"0"	"10"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"3"	"3"	"483"	"0"	"483"	"0"
"32"	"31"	"14"	"158"	"134"	"135"	"4"	"3"	"6"	"1"	"5"	"2"	"1"	"1"	"1"	"2"	"5"	"8"	"3"	"4"	"487"	"0"	"487"	"0"
"33"	"32"	"8"	"207"	"226"	"9"	"1"	"2"	"2"	"3"	"1"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"3"	"5"	"474"	"0"	"474"	"0"
"34"	"33"	"1"	"39"	"328"	"35"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"409"	"0"	"409"	"0"
"35"	"34"	"17"	"176"	"328"	"38"	"4"	"2"	"2"	"0"	"1"	"4"	"2"	"3"	"4"	"6"	"5"	"10"	"0"	"2"	"604"	"0"	"604"	"0"
"36"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"37"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"38"	"35"	"9"	"92"	"256"	"91"	"5"	"3"	"0"	"2"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"470"	"0"	"470"	"0"
"39"	"36"	"9"	"85"	"235"	"13"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"1"	"352"	"0"	"352"	"0"
"40"	"37"	"4"	"39"	"215"	"138"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"1"	"2"	"1"	"1"	"5"	"1"	"0"	"415"	"0"	"415"	"0"
"41"	"38"	"5"	"250"	"139"	"10"	"1"	"1"	"1"	"2"	"2"	"3"	"1"	"0"	"4"	"6"	"10"	"66"	"4"	"11"	"516"	"0"	"516"	"0"
"42"	"39"	"9"	"414"	"36"	"22"	"0"	"1"	"0"	"1"	"4"	"4"	"1"	"0"	"4"	"1"	"13"	"9"	"0"	"2"	"521"	"0"	"521"	"0"
"43"	"40"	"0"	"78"	"157"	"5"	"0"	"1"	"5"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"253"	"0"	"253"	"0"
"44"	"41"	"14"	"7"	"177"	"220"	"7"	"0"	"4"	"1"	"5"	"0"	"1"	"3"	"5"	"4"	"0"	"12"	"3"	"0"	"463"	"0"	"463"	"0"
"45"	"42"	"16"	"7"	"327"	"320"	"10"	"4"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"4"	"10"	"22"	"733"	"0"	"733"	"0"
"46"	"43"	"14"	"55"	"310"	"141"	"5"	"2"	"3"	"1"	"7"	"1"	"6"	"2"	"3"	"8"	"1"	"17"	"3"	"7"	"586"	"0"	"586"	"0"
"47"	"44"	"35"	"7"	"155"	"51"	"3"	"7"	"3"	"0"	"0"	"3"	"0"	"2"	"1"	"4"	"1"	"8"	"4"	"3"	"287"	"0"	"287"	"0"
"48"	"45"	"1"	"4"	"104"	"265"	"6"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"3"	"4"	"0"	"2"	"401"	"0"	"401"	"0"
"49"	"46"	"2"	"145"	"50"	"182"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"3"	"1"	"0"	"391"	"0"	"391"	"0"
"50"	"47"	"4"	"181"	"80"	"125"	"9"	"4"	"2"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"8"	"0"	"4"	"424"	"0"	"424"	"0"
"51"	"48"	"11"	"92"	"290"	"116"	"5"	"4"	"6"	"0"	"3"	"1"	"2"	"2"	"3"	"8"	"2"	"13"	"1"	"6"	"565"	"0"	"565"	"0"
"52"	"49"	"22"	"61"	"347"	"78"	"3"	"4"	"3"	"1"	"3"	"1"	"2"	"5"	"2"	"4"	"3"	"6"	"3"	"4"	"552"	"0"	"552"	"0"
"53"	"50"	"17"	"79"	"26"	"101"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"1"	"4"	"1"	"0"	"8"	"20"	"10"	"276"	"0"	"276"	"0"
"54"	"51"	"3"	"19"	"232"	"69"	"4"	"3"	"0"	"1"	"2"	"2"	"1"	"3"	"3"	"35"	"9"	"9"	"2"	"4"	"401"	"0"	"401"	"0"
"55"	"52"	"2"	"31"	"408"	"154"	"1"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"3"	"11"	"19"	"638"	"0"	"638"	"0"
"56"	"53"	"2"	"13"	"358"	"18"	"1"	"5"	"8"	"0"	"1"	"1"	"2"	"2"	"1"	"3"	"0"	"4"	"0"	"0"	"419"	"0"	"419"	"0"
"57"	"54"	"2"	"26"	"321"	"24"	"1"	"4"	"5"	"0"	"1"	"1"	"4"	"3"	"3"	"7"	"5"	"9"	"1"	"2"	"419"	"0"	"419"	"0"
"58"	"55"	"37"	"18"	"338"	"38"	"2"	"0"	"13"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"5"	"4"	"463"	"0"	"463"	"0"
"59"	"56"	"9"	"80"	"380"	"39"	"0"	"2"	"8"	"0"	"2"	"3"	"0"	"2"	"3"	"9"	"2"	"7"	"1"	"3"	"550"	"0"	"550"	"0"
"60"	"57"	"8"	"160"	"91"	"30"	"1"	"4"	"0"	"1"	"4"	"1"	"2"	"0"	"0"	"2"	"1"	"8"	"0"	"2"	"315"	"0"	"315"	"0"
"61"	"58"	"7"	"45"	"187"	"11"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"2"	"0"	"3"	"0"	"1"	"265"	"0"	"265"	"0"
"62"	"59"	"2"	"35"	"248"	"19"	"1"	"5"	"3"	"0"	"2"	"4"	"1"	"2"	"2"	"3"	"3"	"4"	"1"	"1"	"336"	"0"	"336"	"0"
"63"	"60"	"13"	"447"	"150"	"24"	"1"	"0"	"2"	"1"	"3"	"1"	"1"	"2"	"1"	"7"	"10"	"3"	"2"	"7"	"675"	"0"	"675"	"0"
"64"	"61"	"13"	"424"	"53"	"10"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"4"	"1"	"1"	"5"	"520"	"0"	"520"	"0"
"65"	"62"	"3"	"21"	"289"	"68"	"2"	"0"	"4"	"0"	"0"	"0"	"2"	"1"	"3"	"5"	"3"	"9"	"0"	"3"	"413"	"0"	"413"	"0"
"66"	"63"	"2"	"6"	"127"	"255"	"7"	"2"	"1"	"0"	"3"	"1"	"0"	"0"	"2"	"1"	"4"	"4"	"0"	"2"	"417"	"0"	"417"	"0"
"67"	"64"	"6"	"374"	"79"	"71"	"2"	"1"	"2"	"2"	"5"	"3"	"1"	"3"	"3"	"4"	"5"	"20"	"5"	"4"	"590"	"0"	"590"	"0"
"68"	"65"	"5"	"74"	"308"	"136"	"5"	"2"	"0"	"5"	"3"	"6"	"4"	"2"	"3"	"4"	"1"	"13"	"0"	"4"	"575"	"0"	"575"	"0"
"69"	"66"	"4"	"403"	"10"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"427"	"0"	"427"	"0"
"70"	"67"	"2"	"140"	"256"	"43"	"3"	"0"	"1"	"2"	"4"	"1"	"3"	"0"	"19"	"7"	"5"	"22"	"0"	"2"	"510"	"0"	"510"	"0"
"71"	"68"	"3"	"77"	"68"	"212"	"5"	"0"	"11"	"1"	"2"	"0"	"1"	"1"	"2"	"1"	"3"	"4"	"1"	"1"	"393"	"0"	"393"	"0"
"72"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"73"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"74"	"69"	"4"	"34"	"157"	"191"	"4"	"1"	"1"	"2"	"4"	"0"	"2"	"3"	"4"	"1"	"3"	"6"	"0"	"0"	"417"	"0"	"417"	"0"
"75"	"70"	"2"	"2"	"322"	"18"	"4"	"1"	"2"	"2"	"2"	"3"	"1"	"1"	"1"	"11"	"3"	"11"	"2"	"6"	"394"	"0"	"394"	"0"
"76"	"71"	"1"	"105"	"266"	"59"	"5"	"5"	"4"	"0"	"1"	"1"	"3"	"3"	"4"	"6"	"5"	"25"	"3"	"3"	"499"	"0"	"499"	"0"
"77"	"72"	"1"	"40"	"155"	"11"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"217"	"0"	"217"	"0"
"78"	"73"	"12"	"45"	"252"	"39"	"0"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"4"	"9"	"375"	"0"	"375"	"0"
"79"	"74"	"14"	"51"	"342"	"121"	"0"	"7"	"20"	"0"	"10"	"7"	"3"	"0"	"7"	"6"	"18"	"28"	"3"	"9"	"646"	"0"	"646"	"0"
"80"	"75"	"3"	"19"	"263"	"59"	"2"	"0"	"3"	"1"	"1"	"0"	"3"	"1"	"2"	"4"	"4"	"11"	"1"	"10"	"387"	"0"	"387"	"0"
"81"	"76"	"4"	"32"	"96"	"272"	"11"	"5"	"4"	"0"	"5"	"1"	"3"	"0"	"1"	"2"	"3"	"9"	"1"	"1"	"450"	"0"	"450"	"0"
"82"	"77"	"5"	"13"	"7"	"382"	"10"	"3"	"6"	"2"	"2"	"5"	"5"	"8"	"14"	"4"	"4"	"11"	"8"	"13"	"502"	"0"	"502"	"0"
"83"	"78"	"12"	"13"	"32"	"369"	"18"	"6"	"5"	"2"	"2"	"1"	"5"	"7"	"8"	"5"	"1"	"19"	"0"	"0"	"505"	"0"	"505"	"0"
"84"	"79"	"7"	"81"	"297"	"59"	"1"	"1"	"3"	"0"	"2"	"1"	"0"	"1"	"7"	"3"	"1"	"1"	"2"	"3"	"470"	"0"	"470"	"0"
"85"	"80"	"5"	"104"	"67"	"106"	"4"	"2"	"13"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"4"	"8"	"0"	"0"	"320"	"0"	"320"	"0"
"86"	"81"	"3"	"146"	"58"	"52"	"0"	"0"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"274"	"0"	"274"	"0"
"87"	"82"	"1"	"31"	"69"	"24"	"1"	"0"	"22"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"150"	"0"	"150"	"0"
"88"	"83"	"6"	"66"	"121"	"93"	"1"	"1"	"36"	"1"	"1"	"1"	"0"	"0"	"2"	"13"	"3"	"6"	"0"	"0"	"351"	"0"	"351"	"0"
"89"	"84"	"45"	"8"	"197"	"83"	"5"	"3"	"2"	"0"	"0"	"3"	"1"	"0"	"4"	"1"	"3"	"12"	"4"	"7"	"378"	"0"	"378"	"0"
"90"	"85"	"6"	"26"	"291"	"29"	"2"	"2"	"1"	"2"	"1"	"0"	"4"	"1"	"2"	"2"	"2"	"6"	"1"	"1"	"379"	"0"	"379"	"0"
"91"	"86"	"13"	"62"	"146"	"124"	"4"	"4"	"21"	"3"	"4"	"0"	"1"	"1"	"2"	"7"	"3"	"15"	"0"	"1"	"411"	"0"	"411"	"0"
"92"	"87"	"5"	"57"	"116"	"191"	"9"	"1"	"0"	"1"	"4"	"1"	"1"	"6"	"2"	"2"	"10"	"27"	"1"	"3"	"437"	"0"	"437"	"0"
"93"	"88"	"8"	"201"	"124"	"40"	"1"	"2"	"20"	"1"	"5"	"4"	"4"	"3"	"7"	"7"	"12"	"18"	"4"	"1"	"462"	"0"	"462"	"0"
"94"	"89"	"2"	"153"	"219"	"44"	"1"	"2"	"14"	"1"	"1"	"1"	"3"	"4"	"1"	"6"	"6"	"9"	"0"	"1"	"468"	"0"	"468"	"0"
"95"	"90"	"6"	"105"	"224"	"37"	"0"	"2"	"12"	"1"	"5"	"4"	"3"	"5"	"2"	"4"	"9"	"10"	"5"	"8"	"442"	"0"	"442"	"0"
"96"	"91"	"14"	"76"	"243"	"169"	"1"	"4"	"4"	"1"	"6"	"1"	"3"	"1"	"5"	"6"	"1"	"3"	"3"	"4"	"545"	"0"	"545"	"0"
"97"	"92"	"6"	"40"	"125"	"143"	"4"	"2"	"11"	"1"	"3"	"1"	"1"	"1"	"3"	"3"	"2"	"8"	"0"	"5"	"359"	"0"	"359"	"0"
"98"	"93"	"7"	"76"	"237"	"126"	"3"	"3"	"7"	"0"	"2"	"2"	"5"	"1"	"2"	"4"	"6"	"31"	"3"	"2"	"517"	"0"	"517"	"0"
"99"	"94"	"7"	"102"	"160"	"182"	"2"	"4"	"0"	"1"	"0"	"0"	"2"	"2"	"2"	"2"	"2"	"6"	"2"	"1"	"477"	"0"	"477"	"0"
"100"	"95"	"3"	"110"	"359"	"8"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"490"	"0"	"490"	"0"
"101"	"96"	"2"	"57"	"167"	"241"	"2"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"3"	"2"	"8"	"0"	"0"	"489"	"0"	"489"	"0"
"102"	"97"	"28"	"222"	"142"	"85"	"4"	"2"	"5"	"1"	"7"	"0"	"1"	"0"	"4"	"1"	"1"	"11"	"1"	"1"	"516"	"0"	"516"	"0"
"103"	"98"	"2"	"41"	"279"	"25"	"0"	"4"	"7"	"0"	"4"	"6"	"2"	"3"	"2"	"7"	"5"	"26"	"1"	"5"	"419"	"0"	"419"	"0"
"104"	"99"	"43"	"127"	"230"	"220"	"7"	"2"	"6"	"1"	"4"	"5"	"6"	"8"	"7"	"4"	"15"	"19"	"2"	"15"	"721"	"0"	"721"	"0"
"105"	"100"	"22"	"18"	"224"	"99"	"4"	"2"	"2"	"2"	"2"	"2"	"0"	"4"	"2"	"7"	"3"	"7"	"2"	"0"	"402"	"0"	"402"	"0"
"106"	"101"	"14"	"27"	"323"	"116"	"4"	"3"	"25"	"3"	"6"	"2"	"1"	"2"	"2"	"3"	"4"	"10"	"2"	"2"	"549"	"0"	"549"	"0"
"107"	"102"	"2"	"14"	"390"	"51"	"2"	"3"	"6"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"8"	"2"	"2"	"486"	"0"	"486"	"0"
"108"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"109"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"110"	"103"	"4"	"89"	"172"	"5"	"0"	"7"	"2"	"0"	"1"	"0"	"0"	"5"	"4"	"3"	"1"	"8"	"0"	"1"	"302"	"0"	"302"	"0"
"111"	"104"	"2"	"47"	"306"	"2"	"2"	"7"	"1"	"1"	"1"	"2"	"0"	"6"	"3"	"4"	"3"	"5"	"2"	"2"	"396"	"0"	"396"	"0"
"112"	"105"	"18"	"168"	"209"	"9"	"0"	"3"	"2"	"3"	"3"	"2"	"1"	"2"	"2"	"7"	"8"	"10"	"0"	"4"	"451"	"0"	"451"	"0"
"113"	"106"	"77"	"143"	"153"	"13"	"3"	"3"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"3"	"5"	"6"	"0"	"6"	"422"	"0"	"422"	"0"
"114"	"107"	"13"	"95"	"122"	"232"	"5"	"4"	"2"	"0"	"0"	"2"	"2"	"3"	"1"	"1"	"0"	"12"	"8"	"3"	"505"	"0"	"505"	"0"
"115"	"108"	"15"	"44"	"311"	"11"	"2"	"4"	"1"	"2"	"1"	"1"	"2"	"0"	"3"	"10"	"4"	"15"	"4"	"6"	"436"	"0"	"436"	"0"
"116"	"109"	"1"	"42"	"225"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"9"	"1"	"2"	"290"	"0"	"290"	"0"
"117"	"110"	"0"	"31"	"235"	"40"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"316"	"0"	"316"	"0"
"118"	"111"	"55"	"14"	"186"	"94"	"3"	"2"	"4"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"4"	"2"	"0"	"369"	"0"	"369"	"0"
"119"	"112"	"1"	"70"	"290"	"9"	"0"	"1"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"381"	"0"	"381"	"0"
"120"	"113"	"0"	"107"	"152"	"4"	"0"	"1"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"274"	"0"	"274"	"0"
"121"	"114"	"3"	"20"	"131"	"34"	"0"	"1"	"10"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"2"	"1"	"209"	"0"	"209"	"0"
"122"	"115"	"0"	"20"	"343"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"374"	"0"	"374"	"0"
"123"	"116"	"1"	"18"	"207"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"233"	"0"	"233"	"0"
"124"	"117"	"1"	"27"	"428"	"6"	"3"	"5"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"7"	"0"	"0"	"483"	"0"	"483"	"0"
"125"	"118"	"2"	"37"	"124"	"14"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"5"	"5"	"7"	"206"	"0"	"206"	"0"
"126"	"119"	"9"	"99"	"177"	"140"	"7"	"3"	"18"	"0"	"2"	"1"	"2"	"3"	"3"	"2"	"3"	"12"	"1"	"2"	"484"	"0"	"484"	"0"
"127"	"120"	"2"	"29"	"366"	"18"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"425"	"0"	"425"	"0"
"128"	"121"	"11"	"14"	"417"	"11"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"7"	"1"	"4"	"0"	"0"	"474"	"0"	"474"	"0"
"129"	"122"	"21"	"36"	"210"	"10"	"1"	"10"	"0"	"1"	"0"	"0"	"2"	"4"	"2"	"5"	"4"	"8"	"1"	"4"	"319"	"0"	"319"	"0"
"130"	"123"	"21"	"121"	"145"	"26"	"0"	"5"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"4"	"334"	"0"	"334"	"0"
"131"	"124"	"1"	"19"	"395"	"31"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"450"	"0"	"450"	"0"
"132"	"125"	"2"	"87"	"231"	"3"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"2"	"3"	"6"	"2"	"346"	"0"	"346"	"0"
"133"	"126"	"17"	"12"	"193"	"20"	"2"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"4"	"2"	"6"	"1"	"1"	"267"	"0"	"267"	"0"
