"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"Total.Valid.Votes"
"11"	"10"	"155"	"4"	"1"	"35"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"6"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"4"	"216"
"12"	"11"	"168"	"5"	"6"	"17"	"5"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"7"	"6"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"6"	"232"
"13"	"12"	"8"	"0"	"1"	"155"	"2"	"3"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"0"	"0"	"1"	"183"
"14"	"13"	"164"	"1"	"5"	"61"	"21"	"1"	"2"	"1"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"5"	"6"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"5"	"292"
"15"	"14"	"132"	"29"	"2"	"99"	"8"	"2"	"2"	"1"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"7"	"5"	"1"	"0"	"3"	"0"	"2"	"0"	"1"	"2"	"303"
"16"	"15"	"250"	"9"	"6"	"122"	"20"	"4"	"3"	"0"	"1"	"1"	"3"	"10"	"11"	"3"	"4"	"9"	"19"	"6"	"7"	"13"	"4"	"2"	"1"	"1"	"5"	"514"
"17"	"16"	"118"	"6"	"1"	"18"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"155"
"18"	"17"	"53"	"1"	"3"	"194"	"10"	"3"	"5"	"1"	"2"	"2"	"5"	"13"	"7"	"3"	"2"	"18"	"7"	"1"	"2"	"5"	"4"	"6"	"4"	"6"	"8"	"365"
"19"	"18"	"57"	"2"	"5"	"106"	"3"	"2"	"4"	"0"	"2"	"1"	"0"	"8"	"4"	"1"	"0"	"2"	"8"	"1"	"5"	"10"	"4"	"3"	"3"	"1"	"3"	"235"
"20"	"19"	"209"	"3"	"3"	"71"	"3"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"11"	"9"	"18"	"4"	"3"	"5"	"2"	"1"	"0"	"1"	"5"	"356"
"21"	"20"	"112"	"4"	"2"	"39"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"2"	"5"	"3"	"1"	"0"	"1"	"0"	"0"	"184"
"22"	"21"	"196"	"4"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"13"	"1"	"1"	"2"	"2"	"0"	"1"	"0"	"4"	"240"
"23"	"22"	"168"	"2"	"3"	"100"	"9"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"8"	"8"	"22"	"7"	"3"	"2"	"1"	"0"	"2"	"2"	"1"	"9"	"357"
"24"	"23"	"154"	"17"	"1"	"46"	"11"	"1"	"1"	"1"	"2"	"1"	"0"	"2"	"2"	"0"	"4"	"9"	"11"	"3"	"1"	"4"	"4"	"2"	"1"	"1"	"9"	"288"
"25"	"24"	"221"	"1"	"3"	"18"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"6"	"6"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"271"
"26"	"25"	"155"	"1"	"7"	"65"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"4"	"1"	"13"	"7"	"0"	"1"	"5"	"0"	"0"	"0"	"2"	"7"	"276"
"27"	"26"	"199"	"0"	"6"	"86"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"5"	"2"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"3"	"316"
"28"	"27"	"43"	"2"	"0"	"62"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"11"	"5"	"0"	"0"	"7"	"5"	"2"	"1"	"3"	"0"	"0"	"1"	"0"	"3"	"153"
"29"	"28"	"274"	"1"	"2"	"28"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"5"	"3"	"3"	"8"	"12"	"16"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"6"	"368"
"30"	"29"	"309"	"2"	"15"	"58"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"3"	"8"	"7"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"420"
"31"	"30"	"206"	"4"	"1"	"80"	"4"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"3"	"2"	"3"	"4"	"4"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"322"
"32"	"31"	"188"	"3"	"0"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"7"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"239"
"33"	"32"	"204"	"4"	"8"	"32"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"13"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"279"
"34"	"33"	"83"	"10"	"32"	"80"	"6"	"4"	"0"	"1"	"1"	"2"	"2"	"0"	"3"	"31"	"2"	"8"	"13"	"0"	"5"	"3"	"0"	"2"	"1"	"0"	"9"	"298"
"35"	"34"	"202"	"0"	"38"	"33"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"6"	"8"	"0"	"3"	"6"	"1"	"0"	"0"	"2"	"8"	"311"
"36"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"37"	"36"	"41"	"12"	"4"	"65"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"2"	"0"	"2"	"5"	"3"	"4"	"1"	"0"	"2"	"155"
"38"	"37"	"163"	"35"	"2"	"12"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"9"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"231"
"39"	"38"	"146"	"2"	"3"	"111"	"4"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"2"	"8"	"2"	"4"	"3"	"3"	"4"	"0"	"0"	"8"	"309"
"40"	"39"	"180"	"3"	"2"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"4"	"4"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"11"	"221"
"41"	"40"	"66"	"3"	"2"	"67"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"4"	"158"
"42"	"41"	"120"	"0"	"2"	"21"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"156"
"43"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"44"	""	"Kaushalendra Kumar"	"Dev Kishore Rai"	"Ramswaroop Prasad"	"Satish Kumar"	"Anil Singh"	"Amar Kant Sah"	"Ujjwal Kant Hunkar"	"Devendra Pratap"	"Priyaranjan Kumar"	"Ranjeet Kumar"	"Rekha Kumari"	"Vijay Kumar"	"Vinod Kumar Patel"	"Shashi Yadav"	"Saudagar Ram"	"Haricharan Prasad"	"Arun Kumar"	"Kapil Dev Singh"	"Kumar Rajesh"	"Kaushal Kumar Kaushalendra Sinha"	"Chandramani Kumar ''Mani''"	"Jitendra Kumar"	"Naresh Paswan"	"Santosh Kumar"	"Saryug Prasad Sahasth"	""
"45"	"42"	"102"	"58"	"3"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"9"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"195"
"46"	"43"	"138"	"1"	"8"	"14"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"3"	"3"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"2"	"183"
"47"	"44"	"140"	"4"	"3"	"59"	"6"	"0"	"4"	"1"	"1"	"0"	"1"	"17"	"1"	"2"	"2"	"6"	"5"	"0"	"1"	"4"	"1"	"0"	"2"	"1"	"7"	"268"
"48"	"45"	"109"	"8"	"2"	"56"	"5"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"190"
"49"	"46"	"139"	"2"	"2"	"35"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"
"50"	"47"	"143"	"3"	"6"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"2"	"0"	"5"	"6"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"206"
"51"	"48"	"235"	"4"	"9"	"53"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"5"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"2"	"325"
"52"	"49"	"94"	"0"	"23"	"54"	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"6"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"193"
"53"	"50"	"262"	"21"	"22"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"4"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"3"	"343"
"54"	"51"	"136"	"1"	"2"	"34"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"15"	"6"	"2"	"5"	"2"	"1"	"0"	"1"	"5"	"220"
"55"	"52"	"131"	"0"	"2"	"7"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"157"
"56"	"53"	"120"	"3"	"8"	"58"	"7"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"1"	"10"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"229"
"57"	"54"	"150"	"1"	"1"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"174"
"58"	"55"	"9"	"0"	"3"	"43"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"35"	"1"	"1"	"1"	"2"	"4"	"1"	"3"	"0"	"0"	"4"	"115"
"59"	"56"	"82"	"1"	"15"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"
"60"	"57"	"150"	"2"	"8"	"79"	"4"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"3"	"4"	"2"	"10"	"1"	"0"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"281"
"61"	"58"	"126"	"0"	"13"	"22"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"172"
"62"	"59"	"53"	"1"	"2"	"23"	"2"	"4"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"6"	"6"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"109"
"63"	"60"	"95"	"3"	"3"	"79"	"8"	"2"	"1"	"0"	"0"	"1"	"0"	"38"	"2"	"1"	"3"	"0"	"9"	"2"	"5"	"5"	"4"	"4"	"2"	"4"	"12"	"283"
"64"	"61"	"125"	"0"	"3"	"28"	"3"	"6"	"1"	"2"	"2"	"0"	"0"	"8"	"0"	"7"	"0"	"8"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"204"
"65"	"62"	"367"	"1"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"405"
"66"	"63"	"188"	"2"	"4"	"27"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"2"	"7"	"3"	"2"	"2"	"2"	"2"	"0"	"0"	"1"	"1"	"278"
"67"	"64"	"158"	"2"	"3"	"14"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"197"
"68"	"65"	"125"	"2"	"10"	"64"	"6"	"3"	"1"	"1"	"0"	"0"	"3"	"1"	"2"	"24"	"4"	"14"	"9"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"4"	"280"
"69"	"66"	"93"	"1"	"0"	"51"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"7"	"3"	"4"	"12"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"188"
"70"	"67"	"164"	"1"	"4"	"125"	"7"	"4"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"2"	"8"	"4"	"1"	"3"	"2"	"2"	"0"	"1"	"1"	"4"	"342"
"71"	"68"	"101"	"1"	"5"	"67"	"7"	"4"	"1"	"0"	"1"	"2"	"3"	"18"	"0"	"13"	"4"	"8"	"3"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"2"	"246"
"72"	"69"	"240"	"2"	"0"	"43"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"5"	"3"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"314"
"73"	"70"	"292"	"2"	"5"	"7"	"4"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"2"	"3"	"1"	"15"	"11"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"7"	"362"
"74"	"71"	"188"	"2"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"236"
"75"	"72"	"107"	"3"	"3"	"122"	"3"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"2"	"1"	"10"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"263"
"76"	"73"	"151"	"6"	"4"	"74"	"7"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"2"	"6"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"264"
"77"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"78"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"79"	"76"	"76"	"3"	"2"	"81"	"4"	"8"	"2"	"2"	"2"	"0"	"2"	"22"	"13"	"4"	"5"	"18"	"7"	"1"	"1"	"3"	"1"	"0"	"4"	"1"	"3"	"265"
"80"	"77"	"26"	"0"	"1"	"75"	"3"	"6"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"3"	"3"	"0"	"3"	"0"	"3"	"2"	"131"
"81"	"78"	"45"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"53"
"82"	"79"	"90"	"4"	"12"	"42"	"6"	"2"	"2"	"2"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"18"	"4"	"2"	"3"	"8"	"2"	"1"	"0"	"1"	"4"	"211"
"83"	"80"	"93"	"2"	"2"	"54"	"7"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"186"
"84"	"81"	"128"	"26"	"5"	"27"	"6"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"9"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"6"	"224"
"85"	"82"	"37"	"1"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"
"86"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"87"	""	"Kaushalendra Kumar"	"Dev Kishore Rai"	"Ramswaroop Prasad"	"Satish Kumar"	"Anil Singh"	"Amar Kant Sah"	"Ujjwal Kant Hunkar"	"Devendra Pratap"	"Priyaranjan Kumar"	"Ranjeet Kumar"	"Rekha Kumari"	"Vijay Kumar"	"Vinod Kumar Patel"	"Shashi Yadav"	"Saudagar Ram"	"Haricharan Prasad"	"Arun Kumar"	"Kapil Dev Singh"	"Kumar Rajesh"	"Kaushal Kumar Kaushalendra Sinha"	"Chandramani Kumar ''Mani''"	"Jitendra Kumar"	"Naresh Paswan"	"Santosh Kumar"	"Saryug Prasad Sahasth"	""
"88"	"83"	"70"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"
"89"	"84"	"194"	"3"	"1"	"26"	"1"	"4"	"0"	"0"	"0"	"0"	"2"	"3"	"2"	"1"	"0"	"6"	"4"	"3"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"256"
"90"	"85"	"114"	"12"	"2"	"53"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"6"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"201"
"91"	"86"	"13"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"20"
"92"	"87"	"167"	"27"	"13"	"67"	"2"	"3"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"7"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"300"
"93"	"88"	"231"	"2"	"2"	"141"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"393"
"94"	"89"	"213"	"2"	"13"	"66"	"9"	"9"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"8"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"3"	"338"
"95"	"90"	"237"	"5"	"10"	"72"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"4"	"2"	"13"	"0"	"3"	"2"	"2"	"0"	"1"	"1"	"3"	"364"
"96"	"91"	"85"	"6"	"14"	"29"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"5"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"153"
"97"	"92"	"268"	"4"	"14"	"28"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"2"	"4"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"339"
"98"	"93"	"206"	"2"	"24"	"18"	"6"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"6"	"14"	"2"	"2"	"6"	"1"	"1"	"0"	"0"	"2"	"298"
"99"	"94"	"113"	"4"	"8"	"42"	"6"	"3"	"2"	"7"	"4"	"4"	"1"	"1"	"2"	"13"	"3"	"11"	"7"	"1"	"3"	"2"	"2"	"1"	"2"	"2"	"23"	"267"
"100"	"95"	"232"	"2"	"24"	"91"	"8"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"5"	"2"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"6"	"383"
"101"	"96"	"102"	"2"	"1"	"39"	"5"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"5"	"0"	"3"	"15"	"0"	"3"	"1"	"0"	"0"	"1"	"2"	"3"	"190"
"102"	"97"	"78"	"2"	"4"	"68"	"3"	"5"	"1"	"1"	"0"	"4"	"6"	"4"	"5"	"2"	"3"	"16"	"6"	"2"	"3"	"2"	"3"	"3"	"1"	"0"	"10"	"232"
"103"	"98"	"51"	"1"	"2"	"23"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"5"	"2"	"1"	"4"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"102"
"104"	"99"	"155"	"0"	"23"	"166"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"0"	"1"	"0"	"364"
"105"	"100"	"98"	"17"	"13"	"36"	"10"	"0"	"0"	"2"	"2"	"3"	"2"	"3"	"4"	"6"	"1"	"21"	"3"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"225"
"106"	"101"	"308"	"2"	"14"	"56"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"6"	"1"	"0"	"12"	"5"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"6"	"426"
"107"	"102"	"114"	"2"	"1"	"131"	"6"	"2"	"0"	"0"	"0"	"0"	"4"	"1"	"4"	"2"	"3"	"6"	"3"	"2"	"2"	"3"	"3"	"2"	"1"	"3"	"5"	"300"
"108"	"103"	"129"	"0"	"0"	"50"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"9"	"0"	"2"	"8"	"2"	"1"	"0"	"0"	"0"	"212"
"109"	"104"	"96"	"2"	"7"	"60"	"5"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"10"	"4"	"0"	"8"	"6"	"1"	"3"	"3"	"3"	"0"	"1"	"1"	"3"	"219"
"110"	"105"	"68"	"1"	"14"	"65"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"160"
"111"	"106"	"150"	"4"	"0"	"9"	"0"	"2"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"9"	"11"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"12"	"215"
"112"	"107"	"123"	"4"	"1"	"83"	"4"	"4"	"0"	"0"	"1"	"1"	"2"	"1"	"3"	"2"	"0"	"12"	"7"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"256"
"113"	"108"	"218"	"1"	"3"	"67"	"0"	"4"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"
"114"	"109"	"112"	"9"	"15"	"166"	"6"	"2"	"3"	"1"	"2"	"3"	"1"	"4"	"3"	"2"	"3"	"5"	"13"	"0"	"0"	"3"	"0"	"1"	"2"	"1"	"4"	"361"
"115"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"116"	"111"	"153"	"4"	"9"	"60"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"1"	"3"	"13"	"9"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"6"	"279"
