"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"37"	""	"ROUND- 2"	"290"	"1068"	"377"	"906"	"195"	"113"	"46"	"61"	"128"	"152"	"499"	"445"	"84"	"76"	"81"	"145"	"1185"	"84"	"48"	"50"	"116"	"6149"	"0"	"6149"	"0"
"38"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"43"	"1"	"29"	"42"	"109"	"8"	"20"	"4"	"22"	"5"	"2"	"5"	"0"	"33"	"7"	"3"	"3"	"5"	"5"	"107"	"10"	"3"	"4"	"7"	"404"	"0"	"404"	"0"
"44"	"2"	"30"	"7"	"17"	"1"	"2"	"2"	"9"	"4"	"2"	"4"	"4"	"104"	"7"	"0"	"2"	"2"	"6"	"98"	"1"	"4"	"0"	"4"	"280"	"0"	"280"	"0"
"45"	"3"	"31"	"13"	"51"	"4"	"4"	"3"	"4"	"1"	"2"	"1"	"2"	"41"	"27"	"7"	"2"	"4"	"11"	"109"	"16"	"5"	"3"	"16"	"326"	"0"	"326"	"0"
"46"	"4"	"32"	"1"	"23"	"10"	"22"	"4"	"4"	"1"	"1"	"2"	"1"	"8"	"4"	"3"	"4"	"2"	"5"	"67"	"8"	"3"	"3"	"10"	"186"	"0"	"186"	"0"
"47"	"5"	"33"	"14"	"108"	"2"	"23"	"4"	"0"	"10"	"0"	"4"	"7"	"81"	"0"	"2"	"0"	"1"	"1"	"24"	"7"	"0"	"2"	"3"	"293"	"0"	"293"	"0"
"48"	"6"	"34"	"10"	"114"	"37"	"37"	"6"	"6"	"6"	"3"	"0"	"4"	"64"	"4"	"3"	"2"	"4"	"4"	"36"	"3"	"1"	"1"	"8"	"353"	"0"	"353"	"0"
"49"	"7"	"35"	"20"	"14"	"55"	"42"	"14"	"1"	"4"	"0"	"0"	"1"	"1"	"76"	"1"	"0"	"1"	"4"	"97"	"7"	"3"	"2"	"3"	"346"	"0"	"346"	"0"
"50"	"8"	"36"	"24"	"170"	"9"	"49"	"15"	"4"	"1"	"2"	"3"	"11"	"42"	"8"	"4"	"3"	"1"	"13"	"24"	"4"	"0"	"2"	"9"	"398"	"0"	"398"	"0"
"51"	"9"	"37"	"12"	"63"	"31"	"28"	"14"	"0"	"2"	"3"	"0"	"1"	"13"	"6"	"10"	"4"	"10"	"14"	"1"	"0"	"0"	"0"	"1"	"213"	"0"	"213"	"0"
"52"	"10"	"38"	"15"	"79"	"8"	"37"	"4"	"1"	"1"	"1"	"0"	"3"	"1"	"38"	"7"	"6"	"5"	"5"	"8"	"6"	"2"	"2"	"3"	"232"	"0"	"232"	"0"
"53"	"11"	"39"	"1"	"15"	"7"	"17"	"0"	"0"	"0"	"0"	"4"	"1"	"41"	"50"	"2"	"9"	"2"	"0"	"3"	"2"	"0"	"0"	"2"	"156"	"0"	"156"	"0"
"54"	"12"	"40"	"4"	"31"	"7"	"92"	"10"	"1"	"1"	"2"	"2"	"4"	"64"	"6"	"4"	"1"	"5"	"6"	"20"	"2"	"1"	"2"	"13"	"278"	"0"	"278"	"0"
"55"	"13"	"41"	"15"	"14"	"61"	"15"	"9"	"5"	"4"	"5"	"7"	"8"	"49"	"90"	"5"	"7"	"6"	"9"	"60"	"8"	"3"	"2"	"3"	"385"	"0"	"385"	"0"
"56"	"14"	"42"	"6"	"36"	"26"	"28"	"2"	"4"	"3"	"1"	"2"	"2"	"1"	"25"	"4"	"1"	"5"	"15"	"117"	"17"	"2"	"5"	"7"	"309"	"0"	"309"	"0"
"57"	""	"ROUND- 3"	"184"	"844"	"266"	"416"	"91"	"61"	"43"	"24"	"34"	"49"	"543"	"348"	"55"	"44"	"53"	"98"	"771"	"91"	"27"	"28"	"89"	"4159"	"0"	"4159"	"0"
"58"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"63"	"1"	"43"	"19"	"105"	"19"	"9"	"7"	"9"	"1"	"1"	"1"	"5"	"55"	"14"	"10"	"5"	"7"	"10"	"148"	"8"	"6"	"2"	"10"	"451"	"0"	"451"	"0"
"64"	"2"	"44"	"19"	"86"	"57"	"62"	"18"	"7"	"8"	"4"	"2"	"4"	"32"	"8"	"6"	"3"	"1"	"11"	"34"	"5"	"1"	"2"	"6"	"376"	"0"	"376"	"0"
"65"	"3"	"45"	"10"	"129"	"25"	"82"	"35"	"2"	"2"	"0"	"0"	"4"	"22"	"3"	"3"	"1"	"1"	"3"	"24"	"6"	"0"	"8"	"5"	"365"	"0"	"365"	"0"
"66"	"4"	"46"	"9"	"247"	"11"	"35"	"10"	"4"	"0"	"2"	"1"	"0"	"2"	"3"	"0"	"1"	"0"	"3"	"26"	"2"	"1"	"5"	"4"	"366"	"0"	"366"	"0"
"67"	"5"	"47"	"12"	"130"	"32"	"75"	"12"	"4"	"1"	"2"	"4"	"3"	"2"	"3"	"2"	"3"	"2"	"6"	"37"	"1"	"1"	"3"	"4"	"339"	"0"	"339"	"0"
"68"	"6"	"48"	"4"	"188"	"16"	"15"	"15"	"11"	"7"	"0"	"3"	"1"	"4"	"2"	"0"	"2"	"0"	"4"	"69"	"3"	"0"	"0"	"0"	"344"	"0"	"344"	"0"
"69"	"7"	"49"	"14"	"274"	"120"	"75"	"12"	"3"	"1"	"2"	"3"	"5"	"2"	"20"	"3"	"4"	"1"	"3"	"10"	"1"	"0"	"0"	"2"	"555"	"0"	"555"	"0"
"70"	"8"	"50"	"5"	"67"	"3"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"13"	"4"	"5"	"2"	"4"	"8"	"1"	"0"	"0"	"0"	"123"	"0"	"123"	"0"
"71"	"9"	"51"	"2"	"281"	"88"	"67"	"27"	"3"	"4"	"3"	"1"	"3"	"6"	"30"	"1"	"5"	"3"	"4"	"19"	"3"	"0"	"3"	"2"	"555"	"0"	"555"	"0"
"72"	"10"	"52"	"4"	"186"	"16"	"7"	"8"	"2"	"1"	"1"	"0"	"1"	"1"	"7"	"0"	"2"	"2"	"2"	"29"	"3"	"0"	"3"	"6"	"281"	"0"	"281"	"0"
"73"	"11"	"53"	"10"	"232"	"10"	"24"	"11"	"2"	"1"	"1"	"0"	"1"	"1"	"8"	"2"	"5"	"3"	"3"	"26"	"1"	"1"	"1"	"1"	"344"	"0"	"344"	"0"
"74"	"12"	"54"	"7"	"116"	"132"	"93"	"13"	"0"	"1"	"3"	"1"	"10"	"1"	"4"	"2"	"3"	"6"	"1"	"15"	"2"	"1"	"2"	"4"	"417"	"0"	"417"	"0"
"75"	"13"	"55"	"16"	"299"	"57"	"17"	"16"	"2"	"1"	"2"	"3"	"1"	"0"	"5"	"0"	"5"	"1"	"1"	"3"	"0"	"0"	"0"	"2"	"431"	"0"	"431"	"0"
"76"	"14"	"56"	"17"	"223"	"94"	"14"	"8"	"1"	"11"	"0"	"0"	"0"	"1"	"7"	"3"	"3"	"5"	"2"	"7"	"2"	"6"	"5"	"1"	"410"	"0"	"410"	"0"
"77"	""	"ROUND- 4"	"148"	"2563"	"680"	"581"	"195"	"51"	"39"	"21"	"19"	"38"	"130"	"127"	"36"	"47"	"34"	"57"	"455"	"38"	"17"	"34"	"47"	"5357"	"0"	"5357"	"0"
"78"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"83"	"1"	"57"	"2"	"245"	"17"	"9"	"9"	"8"	"1"	"1"	"8"	"6"	"1"	"2"	"1"	"0"	"2"	"2"	"30"	"7"	"1"	"0"	"3"	"355"	"0"	"355"	"0"
"84"	"2"	"58"	"5"	"257"	"21"	"13"	"5"	"1"	"0"	"1"	"2"	"0"	"1"	"20"	"3"	"2"	"0"	"2"	"17"	"3"	"0"	"0"	"1"	"354"	"0"	"354"	"0"
"85"	"3"	"59"	"16"	"74"	"188"	"19"	"9"	"7"	"2"	"4"	"4"	"2"	"1"	"30"	"4"	"9"	"7"	"3"	"144"	"9"	"12"	"8"	"3"	"555"	"0"	"555"	"0"
"86"	"4"	"60"	"7"	"77"	"133"	"38"	"8"	"5"	"1"	"3"	"2"	"5"	"3"	"10"	"6"	"5"	"2"	"2"	"17"	"4"	"6"	"3"	"7"	"344"	"0"	"344"	"0"
"87"	"5"	"61"	"12"	"112"	"118"	"23"	"4"	"6"	"0"	"2"	"2"	"5"	"1"	"2"	"3"	"2"	"2"	"3"	"17"	"0"	"2"	"2"	"0"	"318"	"0"	"318"	"0"
"88"	"6"	"62"	"15"	"92"	"73"	"69"	"17"	"13"	"2"	"7"	"6"	"4"	"2"	"10"	"5"	"10"	"9"	"18"	"149"	"4"	"2"	"2"	"5"	"514"	"0"	"514"	"0"
"89"	"7"	"63"	"10"	"36"	"15"	"136"	"38"	"1"	"2"	"3"	"2"	"21"	"1"	"79"	"10"	"5"	"4"	"7"	"2"	"1"	"0"	"3"	"4"	"380"	"0"	"380"	"0"
"90"	"8"	"64"	"9"	"139"	"2"	"101"	"20"	"0"	"1"	"0"	"0"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"38"	"1"	"0"	"0"	"3"	"324"	"0"	"324"	"0"
"91"	"9"	"65"	"1"	"29"	"1"	"514"	"23"	"1"	"0"	"0"	"1"	"21"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"607"	"0"	"607"	"0"
"92"	"10"	"66"	"0"	"24"	"4"	"378"	"3"	"1"	"0"	"0"	"0"	"4"	"9"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"429"	"0"	"429"	"0"
"93"	"11"	"67"	"17"	"98"	"3"	"16"	"11"	"23"	"14"	"13"	"4"	"14"	"8"	"72"	"17"	"17"	"5"	"21"	"66"	"14"	"0"	"3"	"13"	"449"	"0"	"449"	"0"
"94"	"12"	"68"	"2"	"61"	"16"	"42"	"5"	"1"	"21"	"6"	"2"	"5"	"2"	"32"	"3"	"7"	"8"	"6"	"2"	"1"	"3"	"1"	"2"	"228"	"0"	"228"	"0"
"95"	"13"	"69"	"15"	"44"	"2"	"215"	"47"	"7"	"6"	"7"	"0"	"12"	"1"	"16"	"17"	"2"	"5"	"11"	"79"	"4"	"1"	"1"	"7"	"499"	"0"	"499"	"0"
"96"	"14"	"70"	"3"	"119"	"42"	"93"	"15"	"1"	"0"	"0"	"0"	"12"	"0"	"1"	"3"	"2"	"0"	"2"	"0"	"0"	"5"	"0"	"0"	"298"	"0"	"298"	"0"
"97"	""	"ROUND- 5"	"114"	"1407"	"635"	"1666"	"214"	"75"	"50"	"47"	"33"	"117"	"40"	"277"	"73"	"62"	"45"	"77"	"562"	"49"	"32"	"27"	"52"	"5654"	"0"	"5654"	"0"
"98"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"103"	"1"	"71"	"20"	"91"	"21"	"84"	"6"	"9"	"3"	"3"	"1"	"45"	"46"	"4"	"2"	"1"	"0"	"4"	"17"	"4"	"2"	"1"	"10"	"374"	"0"	"374"	"0"
"104"	"2"	"72"	"8"	"72"	"8"	"24"	"90"	"1"	"1"	"1"	"1"	"2"	"0"	"2"	"3"	"1"	"8"	"8"	"8"	"2"	"0"	"0"	"2"	"242"	"0"	"242"	"0"
"105"	"3"	"73"	"2"	"145"	"84"	"103"	"18"	"1"	"0"	"3"	"4"	"22"	"2"	"12"	"2"	"3"	"3"	"3"	"6"	"0"	"0"	"2"	"5"	"420"	"0"	"420"	"0"
"106"	"4"	"74"	"1"	"97"	"1"	"234"	"173"	"1"	"1"	"4"	"0"	"8"	"0"	"11"	"2"	"1"	"0"	"1"	"14"	"1"	"1"	"4"	"11"	"566"	"0"	"566"	"0"
"107"	"5"	"75"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"108"	"6"	"76"	"9"	"9"	"3"	"8"	"4"	"6"	"2"	"1"	"0"	"3"	"2"	"19"	"0"	"1"	"5"	"7"	"112"	"6"	"3"	"0"	"13"	"213"	"0"	"213"	"0"
"109"	"7"	"77"	"10"	"85"	"4"	"16"	"2"	"5"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"5"	"6"	"39"	"10"	"4"	"11"	"28"	"243"	"0"	"243"	"0"
"110"	"8"	"78"	"21"	"19"	"9"	"14"	"5"	"8"	"0"	"5"	"16"	"2"	"2"	"43"	"5"	"6"	"2"	"1"	"4"	"1"	"0"	"1"	"4"	"168"	"0"	"168"	"0"
"111"	"9"	"79"	"9"	"122"	"36"	"195"	"111"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"2"	"2"	"0"	"4"	"0"	"0"	"1"	"0"	"490"	"0"	"490"	"0"
"112"	"10"	"80"	"3"	"116"	"2"	"110"	"95"	"3"	"2"	"0"	"1"	"25"	"3"	"1"	"1"	"0"	"0"	"2"	"20"	"0"	"1"	"0"	"2"	"387"	"0"	"387"	"0"
"113"	"11"	"81"	"10"	"48"	"1"	"61"	"66"	"3"	"5"	"4"	"1"	"28"	"6"	"19"	"15"	"4"	"9"	"10"	"20"	"4"	"2"	"6"	"9"	"331"	"0"	"331"	"0"
