state	region	District	VSno	Date	VSname	q1a	q1b	q1c	q1d	q1e	q1f	q1g	q1h	q1i	q1j	q1k	q2	q3	q4	q5a1	q5b1	q5c1	q5d1	q5e1	q5a2	q5b2	q5c2	q5d2	q5e2	c1	c2	c3	c4	c5	c6	c6b	c7	c8	c9	c10	c11a	c11b	c11c	c11d	c11e	c11f	c11g	c11h	c11i	c11j	c12	c13	c14	c15	c16	c17	c18
Bihar	MAGADH	Bhagalpur	154	10.5.2010  10:23:31 AM	Pirpainti (SC) 	1	2	2	1	1	1	2	2	2	2	2	1	11	0	6	6	4	6	4	4	4	4	5	3	1	46	5	6	4	1	st	7	7	7	7	5	6	3	5	3	0	6	4	5	0	2	1	2	1		6	1
Bihar	PATNA	PATNA	184	10.5.2010  9:20:03 AM	Patna Sahib 	1	1	1	1	1	1	1	1	1	1	1	4	11	4	10	10	10	10	9	0	0	0	0	1	1	48	5	6	5	3	Kurmi 	2	2	2	2	5	5	5	1	3	10	10	0	5	9	1	0	2	8	99	3	1
Bihar	BHOJPUR	PURVI CHAMPARAN 	19	10.5.2010  4:37:43 PM	Motihari 	1	1	1	1	1	1	1		1	1	1	4	11	0	10	10	10	10	10	0	1				1	21	4	8	4	3	koiri		2		2	9	0	0		6	10	10	0	6	2	1	1	2	6		3	3
Bihar	MITHLANCHAL	ARARIA	49	10.4.2010  2:08:43 AM	Araria 	1	1	1	1	1	1	1	1	1	1	1	4	11	4	10		9	9		0	8	4	2		1	25	5	7	3	4	Brahmin	1		1		5	2	8	2	8	10	10	0	3		1	0	2	6	1	0	1
Bihar	PATNA	PATNA	187	10.5.2010  9:32:25 AM	Maner 	1	1	1	1	1	1	1	1	1	3	1	4	11	4	10	10	10	10	10		10	0	0	0	1	40	5	8	4	4	Brahmin	2	2	2		0	0	10	5	10	10	10	0	0	0	1	1	2	0	8	2	1
Bihar	MITHLANCHAL	SAMASTIPUR	133	10.5.2010  9:32:38 AM	Samastipur 	1	1	2	1	1	1	1	1	1	1	1	4	11	4	10	5	7	10	5	0	5	5	4	0	1	26	3	8	1	3	TELI	2	2	2	2	9	10		6	10	10	10	0	10	5	1	1	2	1	8	2	3
Bihar	PATNA	PATNA	187	10.5.2010  9:32:25 AM	Maner 	1	1	1	1	1	1	1	1	1	1	1	1	11	4	10	10	10		6	0	10	5		8	1	45	5	6	4	4	Bhumihar	2	2	2		5	7	5	3		9	9	5	4	3	1	1	2	0	8	3	1
Bihar	MITHLANCHAL	SAMASTIPUR	138	10.5.2010  9:41:23 AM	Bibhutipur 	1	1	3	3	3	3	3	3	3		1	3	19	5	0	10	4	9	10	10	0	5	10	5	2	20	0	2	1	1	paswan		5		4	4	10	5	4	2	4	5	10	0	2	3	0	4	1	8	4	3
Bihar	MITHLANCHAL	Bhojpur	49	10.4.2010  2:08:43 AM	Arrah	3	2	1	2	2	1	1	2	2	2	2	1	11	4	7	10	8	8	6	3	8	8	5	7	1	30	3	7	2	3	Kurmi 		2	2	6	7	6	8	8	10	8	8	5		9	1	1	2	1	8	2	3
Bihar	MITHLANCHAL	ARARIA	49	10.4.2010  2:08:43 AM	Araria 	1	1	2	1	1	1	1	2	1	1	1	4	11	5	9	2	10	10	7	0	7	0	0	0	1	30	4	7	3	4	Brahmin	1	1	1	1	7	10	8	7	5	10	10	10	5	5	1	1	2	3	12	3	1
Bihar	#N/A	PATNA		#N/A	<--Select-->	1	1	2	1	1	1	1	1	1	1	2	4	11	4	10	8				0	6				1	35	6	7	3	3	ni	2	2			5	3	5	5	6	9	10		9	10	2	0	1	0	8	0	1
Bihar	MITHLANCHAL	KATIHAR 	67	10.5.2010  10:36:18 AM	Manihari (ST) 	2	1	1	1	1	1	1	1	1	1	1	2	0	3	2	0	10	0	10	8	10	10	0	10	1	32	5	1	1	3	Yadav	2	4	2	6	10	10	5	10	10	7	6	8	0	0	1	1	2	5	9	4	3
Bihar	MITHLANCHAL	VAISHALI 	127	10.5.2010  10:57:02 AM	Raja Pakar (SC) 	1	2	1	3	1	1	1	3	1	3	1	1	11	3	10	4	8	10	6	6	8	10	10	8	1	35	5	8	3	3	kumhar	4		2		6	6	4	6	4	8	8	9	2	10	1	3	2	0	3	3	3
Bihar	MAGADH	BHAGALPUR 	157	10.5.2010  9:50:43 AM	Sultanganj 	3	2	3	3	1	2	3	3	3		1	1	0	1	2	0				5	6	7	7		1	40	5	7	5	3	thakur ,nai	2		6	7	8	10	0	10	2	4	4	4	10	8	1	1	2	4	99	6	2
Bihar	MAGADH	JAMUI 	241	10.5.2010  9:50:49 AM	Jamui 	1	2	2	1	2	1	1	2	2	2	1	0	12	1	10	5	10	10	10	0	5	10	0	10	1	25	3	7	1	5	Muslim	2	2		2	5	5	0	5	0	5	5	5	5	5	2	1	2	0		3	1
Bihar	MAGADH	KHAGARIA	151	10.5.2010  9:52:26 AM	Parbatta 	1	1	1	1	1	1	1	1	1	1	1	4	11	4	10	10	10	10	0	0	10	0	0	0	1	42	4	8	5	3	BANIYA	2	2	2	2	5	7	2	5	10	10	10	5	10	10	1	1	1	2	3	2	3
Bihar	MITHLANCHAL	MADHUBANI 	39	10.5.2010  9:52:38 AM	Phulparas 	1	1	1	1	2	1	1	1	3	1	1	4	11	4	10	10	10	10	10	0	0	0	0	0	1	25	2	1	1	1	chamar	2	2	2	2	10	5	4	6	3	9	10	2	1	7	1	1	2	6	4	3	3
Bihar	MAGADH	GAYA	230	10.4.2010  1:21:41 PM	Gaya Town 	1	2	2	1	2	1	3	3	1	3	1	4	11	4	10	10	10	10	8	1	1		2	2	1	43	7	7	4	4	KAYASTHYA	1	1	1	1	5	7		7		8	8	8	3	8	1	1	2	0	3	3	1
Bihar	MITHLANCHAL	MUZAFFARPUR 	88	10.4.2010  10:54:43 AM	Gaighat 	1	3	3	3	1	3	3	2	1	3	2	1	12	1	5	5	0	0	0	10	10	10	10	10	1	22	3	8	4	3	Yadav	4	4	5	4	5	5	5	10	5	5	5	5	0	10	3	1	4	5		4	3
Bihar	MITHLANCHAL	Madhepura 	71	10.4.2010  12:40:16 PM	Bihariganj 	1	2	1	1	1	1	1	1	1	1	1	4	11	4	6	3	5	6	5	4	5	4	3	3	1	40	4	6	3	3	Kalwar	2				6	6	5	5	7	6	8	3	4	3	1	1	2	0	3	7	1
Bihar	MAGADH	MUNGER	166	10.5.2010  11:40:33 AM	Jamalpur 	1	1	3	1	1	1	2		1	1	1	0	11	4	8	4	5	8	4	6	8	9	6	8	1	38	6	6	5	3	Kurmi 	2	2	2	2	7	9	8	5	6	8	10	7	4	6	1	1	2	1	14	1	3
Bihar	BHOJPUR	PASCHIM CHAMPARAN 	3	10.4.2010  11:06:16 AM	Narkatiaganj 	1	1	2	1	1	1	1	1	1	1	1	4	11	4	9	8	0	0	0	1	7	0	0	0	1	32	5	8	5	4	Kalwar	2	2	1	2	5	9	7	3	3	8	9	5	2	4	1	1	2	8	9	2	1
Bihar	PATNA	PATNA	178	10.4.2010  10:29:55 AM	Mokama 	3	3	3	3	3	1	3	1	3	3	2	1	12	7	6	8	6	4	0	6	8	8	7	7	1	28	5	1	3	1	paswan	2	5	4	4	5	6	6	6	8	4	7	6	5	0	2	0	1	1	14	4	3
Bihar	MAGADH	BANKA	161	10.4.2010  12:14:57 PM	Banka 	1	1	2	1	1	1	1	1	1	1	1	4	14	4	10	0	10	10	10	0	10	0	0	0	1	25	4	3	5	3	BANIYA	2	2	7		10	10	0	0	10	10	10	0		0	1	0	2	0		2	3
Bihar	MAGADH	BHAGALPUR 	158	10.4.2010  11:10:49 AM	Nathnagar 	1	1	1	1	3	1	1	1	1	3	1	4	11	7	8	2	1	8	2	9	5	5	8	9	1	23	3	3	1	3	Yadav	2	2	4	2	3	4	3	2	3	2	8	2	2	4	1	1	2	1	4	1	3
Bihar	MITHLANCHAL	SAMASTIPUR	133	10.5.2010  9:32:38 AM	Samastipur 	1	2	3	1	2	1	3	3	3	2	1	4	11	5	7		4	8		4	9	8	3		1	19	4	1	0	4	marwari	2	2	2		10	3				7	7	5	2	2	2	0	1	3	3	1	1
Bihar	PATNA	PATNA	186	10.4.2010  12:02:53 PM	Danapur 	1	1	2	1	1	1	1	2	1	2	1	4	11	4	7	5	7	8	7	5	6	6	6	6	1	22	4	1	4	4	Brahmin	1		1	1	6	5	5	5	4	7	8	6	7	6	1	1	2	1	1	2	1
Bihar	BHOJPUR	PURVI CHAMPARAN 	20	10.4.2010  12:00:48 PM	Chiraia 	1	1	1	1	1	1	1	1	1	1	1	2	12	0	5	5	5	5	2	0	0	0	0	1	1	30	3	8	4	4	Brahmin	1	6	1	6	5	5	2	5	5	5	5	0	3	5	1	1	2	0		1	3
Bihar	BHOJPUR	PURVI CHAMPARAN 	13	10.4.2010  12:32:21 PM	Harsidhi (SC) 	1	1	1	1	1	1	1	1	1	1	1	5	11	4	9	6	5	8	5	3	4	4	2	5	1	19	4	7	2	4	RAJPOOT	2	2	5	1	9	8	6	7	7	8	9	4	9	7	1	1	2	1	3	2	3
Bihar	MAGADH	BHAGALPUR 	154	10.5.2010  10:23:31 AM	Pirpainti (SC) 	1	3	1	3	1	1	3	1	1	3	1	1	12	1	8	9	7	5	8	9	10	6	8	6	1	36	4	7	1	1	st	4		4		10	10	5	10	0	0	0	0	2	10	3	2	4	1	14	0	2
Bihar	MITHLANCHAL	MUZAFFARPUR 	94	10.4.2010  11:56:48 AM	Muzaffarpur 	1	1	2	2	1	1	3	1	1	2	1	2	17	0	7	3	4	6	0	0	4	4	3	4	1	40	7	6	7	4	Bhumihar	6	6	6	6	8	8	7	9	4	4	4	0	0	4	2	2	2	5	99	1	1
Bihar	MAGADH	GAYA	232	10.4.2010  12:02:49 PM	Belaganj 	1	2	1	3	1	1	2	2	2	1	1	4	11	4	9	7	7	7	6	7	9	7	7	8	1	28	3	6	4	4	RAJPOOT		4		1	8	7	8	9	8	8	8	6	8	10	1	1	2	0	14	7	1
Bihar	MITHLANCHAL	Sitamarhi 	28	10.4.2010  1:15:33 PM	Sitamarhi 	1	3	3	3	3	3	3	3	1	3	1	1	12	1	0	0	5	2	5	10	10	8	10	5	1	52	3	3	1	3	Rai 	4	5	4	5	5	10	5	10	5	6	7	8	0	0	2	0	3	0	8	1	3
Bihar	BHOJPUR	GOPALGANJ 	104	10.4.2010  11:25:34 AM	Hathua 	1		2	1	1	1	2		1	1	1	0	11	0	6	6	6	6	0	5	6	5	6	0	1	20	5	1	2	3	MADHESIYA		2				5		6	6	5	6			4	1	1	2	6	1	3	3
Bihar	MITHLANCHAL	SAMASTIPUR	132	10.4.2010  11:26:55 AM	<--Select-->	1	1	3	2	1	1	1	1	1	1	1	6	19	1	7	10	10	1	1	5	10	2	1	2	1	32	4	4	2	4	Bhumihar	5	6	5	6	2	1	2	1	10	2	10	10	7	0	1	3	4	--	--	--	--
Bihar	MITHLANCHAL	ARARIA	47	10.4.2010  1:03:43 PM	Raniganj (SC) 	2	2	2	2	2	1	2	2	2	2	1	1	0	5	10	10	3	10	3	0	0	0	0	10	1	32	2	3	1	5	Muslim	2		1		10	10	0	10	4	8	10	0	7		2	0	1	1	3	1	3
Bihar	#N/A	PATNA		#N/A	<--Select-->	1	1	1	1	1	1	1	3	2	1	1	2	11	7	10		10	7	4		8			6	1	31	5	1	3	3	Yadav	4	2	4	2	4	8				5	8	4	10	6	1	0	2	0	3	3	3
Bihar	MITHLANCHAL	VAISHALI 	129	10.4.2010  11:33:22 AM	Mahnar 	1	3	3	1	1	1	1	1	1		1	4	11	4	8	5	8	8		2	5	2	2		1	50	4	3	1	4	Bhumihar	5	2	5		8	8		8	8	8	8	2	5	2	1	0	1	6	9	6	3
Bihar	MAGADH	NAWADA 	238	10.4.2010  12:02:55 PM	Gobindpur 	1	2	1	1	2	1	3	1	2	3	1	2	11	5	10	9	8	8	5	5	6	7	6	4	1	33	4	3	2	3	nai 	4	2	4	2	9	10	8	8	9	9	8	7	7	8	1	1	2	0	4	7	3
Bihar	MAGADH	BANKA	159	10.4.2010  12:39:04 PM	Amarpur 	1	1	1	1	1	1	1	1	1	1	1	1	11	5	7	8	7	0	6	0	3	2	3	0	1	28	7	1	3	3	Kurmi 	2	2	1	7	3	7	8	3	6	7	7	0	5	7	1	1	2	0	14	3	1
Bihar	BHOJPUR	SARAN	118	10.5.2010  9:24:58 AM	Chapra 	1	1	2	1	1	1	1	1	1	2	1	6	18	5	7	9	10	0	10	3	5	7	0	10	1	39	5	6	4	4	RAJPOOT	1		1		8	9	7	6	7	8	7	5	4	0	2	0	2	0	9	7	1
Bihar	MAGADH	KHAGARIA	149	10.4.2010  12:55:44 PM	Khagaria 	1	1	1	1	1	1	1	1	1	3	1	4	11	1	10	8	10	10	8	0	3	4	4	3	1	46	3	7	4	4	RAJPOOT	2	2	2		8	8	6	10	0	10	10	4	10	0	2	0	2	6	4	1	1
Bihar	MAGADH	KHAGARIA	149	10.4.2010  12:55:44 PM	Khagaria 	1	1	1	1	1	1	1	1	1	3	1	4	11	1	10	8	10	10	8	0	3	4	4	3	1	46	3	7	4	4	RAJPOOT	2	2	2		8	8	6	10	0	10	10	4	10	0	2	0	2	6	4	1	1
Bihar	MITHLANCHAL	SITAMARHI 	30	10.4.2010  1:19:47 PM	Belsand 	1	1	1	1	1	2	2	3	1	1	1	4	11	4	8	5	10		5	0	4	6		3	1	46	6	7	4	3	Rauniyar	2	2	1	1	8	10	10	6	8	8	10	3	10	6	1	1	2	3	9	0	2
Bihar	MAGADH	GAYA	229	10.4.2010  11:47:02 AM	Bodh Gaya (SC) 	1	1	1	1	1	1	1	1	2	3	1	1	11	0	8		9			6		7			1	34	2	3	2	3	kumhar	2		1								5	4	6	4	1	1	4	0	3	7	3
Bihar	BHOJPUR	BHOJPUR	194	10.4.2010  11:50:16 AM	Arrah 	1	2	1	1	1	1	1	1	1	1	1	5	11	4	7	6	6	4	7	1	6	5	0	5	1	30	5	6	4	4	RAJPOOT	1	1		1	6	8	8	5	6	8	9	4	8	8	1	1	2	8	3	6	1
Bihar	BHOJPUR	ROHTAS 	209	10.4.2010  11:50:33 AM	Kargahar 	1	3	1	1	1	1	1	1		1	1	1	11	5	10	8	10	10	10	8	10		0	0	1	60	3	3	2	4	Brahmin	2	2	2	2	10	9	0	9	8	0	10	0	8	10	1	1	2	0	3	3	3
Bihar	PATNA	NALANDA 	171	10.4.2010  11:50:36 AM	Asthawan 	1	1	1	1	1	1	1	1	1	1	1	4	11	4	10	10	10	10	10	0	5	0	0	1	1	46	4	3	0	3	chorshiya	2	2	2	2	5	2		1	5	10	10	0	5	10	1	0	2	0		0	3
Bihar	BHOJPUR	BUXAR 	202	10.4.2010  11:53:54 AM	Rajpur (SC) 	1	1	1	1	3	1	1	3	1	3	1	1	11	1	10	10	10	10	5	10	0	8	10	5	1	32	4	7	2	1	chamar	1	6	1	1						4	10	10			1	1	2	9	9	2	3
Bihar	BHOJPUR	SIWAN	109	10.4.2010  11:54:59 AM	Daraundha 	1	1	1	3	1	1	1	1	1	1	1	0	11	4	10	6	10	8	6	0	6	3	4	5	1	24	5	7	5	4	Brahmin	2	2		6	9	10	4	10		10	10	0	4	4	1	1	2	0	3	3	3
Bihar	BHOJPUR	ROHTAS 	207	10.4.2010  11:55:04 AM	Chenari (SC) 	1	2	2	1	1	1	2	2	1	1	1	4	11	5	7	4	8	7	7	2	6	4	4	4	1	45	5	8	3	3	kahar	2	2	6	6	6	7		8	5	8	8	4	7	8	1	0	2	2	3	6	3
Bihar	MITHLANCHAL	BEGUSARAI 	145	10.4.2010  2:19:23 PM	Sahebpur Kamal 	1	1	3	1	1	1	3	1	1	1	1	2	11	4	7	7	7	8	7	5	7	8	8	7	1	28	5	8	4	3	kumhar	2	2	1	1	8	8	7	8	7	8	8	5	5	5	2	0	2	9		3	3
Bihar	BHOJPUR	ROHTAS 	211	10.4.2010  12:23:16 PM	Nokha 	1	3	1	1	1	1	1	3	3	1	1	3	11	3	5	3	3	6	3	5	7	7	4	7	1	32	4	8	2	3	sahab ji	2	5	2	5	6	4	0	5	0	7	6	6	0	7	1	1	4	6	99	4	1
Bihar	MITHLANCHAL	MUZAFFARPUR 	98	10.6.2010  11:13:44 AM	Sahebganj 	1	3	3	3	1	3	3	2	1	3	1	1	12	2	0	0	4	2	1	10	10	6	8	6	2	40	6	4	3	3	SHONAR	2	4	4	4	0	10	10	5	0	2	5	2	10	0	2	1	1	6		6	3
Bihar	BHOJPUR	saran	4	10.4.2010  1:12:28 PM	Baniapur	1	1	2	3	1	1	3	3	3	3	1	1	18	5	4	7	5	6	5	4	7	7	6	5	1	37	7	8	5	4	Brahmin	2	6	2	6	8	8	5	5	5	5	5	5	6	8	1	1	2	4		1	3
Bihar	BHOJPUR	ROHTAS 	207	10.4.2010  11:55:04 AM	Chenari (SC) 	1	1	3	3	1	1	1	3	3	3	1	1	15	1	7	6	5	3	8	5	8	7	3	8	1	42	3	9	2	1	chamar	3		6	6	10					5	8	5	8	5	3	0	4	1	9	0	3
Bihar	BHOJPUR	SIWAN	107	10.4.2010  2:16:18 PM	Darauli (SC) 	1	1	1	1	1	1	1	1	1	1	1	5	11	1	7	2	10	10	10	3	8	0	4	10	1	20	4	8	4	1	st		6		1	10	10	6	8	10	10	10	5	10	10	1	1	2	0	9	1	3
Bihar	MITHLANCHAL	SITAMARHI 	23	10.4.2010  12:07:22 PM	Riga 	1	1	1	1	1	1	1	1	1	1	1	4	11	4	5	4	5	5		3	6	4	5	5	1	55	2	8	2	4	RAJPOOT	6	6	6	6	8	8	4	8		8	5	5	4	5	1	0	2	0	14	1	3
Bihar	#N/A	PURNIA		#N/A	<--Select-->	1	2	1	1	1	1	1	1	1	1	1	0	11	5	10	10	10	10	10	5	5	5	5	8	1	18	4	1	5	3	HALVAI		1		2	10	8	8	10	10	10	10	5	8	8	1	1	2	0	8	3	3
Bihar	BHOJPUR	SIWAN	105	10.4.2010  12:09:42 PM	Siwan 	1	1	1	1	1	1	1	1	1		1	1	11	4	10	6	10	10	10	5	8	6	6	8	1	18	4	1	0	1	chamar		2		2	7	8		8	7	10	10	6	8	10	1	1	2	1	9	3	3
Bihar	MITHLANCHAL	VAISHALI 	129	10.4.2010  11:33:22 AM	Mahnar 	3	3	3	3	3	3	3	3	3	3	3	2	12	3	0	0		0	0	10	10		10	10	1	50	5	8	3	4	RAJPOOT	5	5	5	5	10	10	10	10	0	10	0	10	10	0	3	1	4	4	9	4	2
Bihar	BHOJPUR	BUXAR 	200	10.4.2010  12:13:24 PM	Buxar 	1	2	1	1	2	1	1	2	1	2	1	4	18	5	2	3	2	4	4	0	2	0	1	2	1	58	5	8	2	4	Brahmin	1		1	6	5	8	9	9	0	4	2	4	0	2	1	1	2	4	99	1	3
Bihar	BHOJPUR	GOPALGANJ 	101	10.4.2010  12:13:47 PM	Gopalganj 	1	1	2	3	1	1	1	1	1	3	1	4	14	4	10	5	10	10	10	5	5	5	5	5	1	24	5	8	4	3	BANIYA	1	6	1	2	0	5	5	10	0	10	10	3	0	7	1	1	2	6	9	3	2
Bihar	MAGADH	BHAGALPUR 	153	10.4.2010  2:56:40 PM	Gopalpur 	2	2	2	3	2	1	1	3	2	3	1	2	14	4	8	5	10	2	6	3	8	4	6	3	1	46	4	8	4	1	paswan	2	1	1	1	7	2	10	8	6	10	8	0	10	0	1	1	1	6	3	2	1
Bihar	MITHLANCHAL	DARBHANGA	80	10.4.2010  12:21:47 PM	Benipur 	1	2	2	1	1	1	3	2	1	1	1	0	0	0	7	10	10	10	10	3	8	7	8	8	1	61	5	8	4	4	Brahmin	1		1	1	9	9	8	9	8	5	7	6	8	8	1	1	3	0	9	6	3
Bihar	MAGADH	JAMUI 	240	10.4.2010  12:03:48 PM	Sikandra (SC) 	1	2	2	1	1	1	1	1		1	1	4	11	5	1										1	50	1	0	3	5	Muslim	2			2	1										2	0		1	8	3	3
Bihar	BHOJPUR	BHOJPUR	196	10.4.2010  12:25:00 PM	Tarari 	1	1	1	1	1	1	1	1	1	1	1	0	11	4	10	9	10	9	10	0	0	0	0	0	1	35	3	8	2	3	BANIYA	2	2	2	2	5	5	5	5	5	8	8	0	8	8	1	0	2	1	9	3	3
Bihar	MITHLANCHAL	VAISHALI 	129	10.4.2010  11:33:22 AM	Mahnar 	1	1	2	1	1	1	1	2	1	2	1	4	11	4	8	7	8	9	8	5	4	4	4	5	1	35	5	8	3	3	MALI	2	2	2	2	6	6	8	6	8	8	8	3	4	6	1	1	2	6	3	3	3
Bihar	MITHLANCHAL	VAISHALI 	123	10.4.2010  2:28:12 PM	Hajipur 	1	1	1	2	1	1	1	1	1	1	1	4	11	4	10	8	5	5	4	0	5	4	4	8	1	22	5	1	2	4	RAJPOOT	2	2	2	2	0	0	0	0	5	10	10	0	10	10	1	1	2	8	9	3	1
Bihar	#N/A	#N/A	#N/A	#N/A	#N/A	1	1	3	1	1	1	3	3	3	1	1	2	12	3	4	6	8	10	10	10	8	10	10	9	1	30	2	8	1	5	Muslim		4	4	4	0	4	4	6	5	10	7	8	10	10	1	1	2	0	9	3	1
Bihar	MITHLANCHAL	DARBHANGA	82	10.4.2010  5:57:58 PM	Darbhanga Rural 	1	2	1	3	1	1	2	2	3	3	2	1	17	5	7	5	3	5	5	5	5	9	8	5	1	33	7	8	4	3	Kewat	2	2	2	2	5	6	4	7	6	7	5	3	7	4	2	2	2	6	3	6	3
Bihar	BHOJPUR	PASCHIM CHAMPARAN 	8	10.4.2010  10:29:24 AM	Bettiah 	1	1	1	1	1	1	1	1	1	3	1	4	11	4	10	5	7	9	3	1	9	8	10	7	1	44	5	8	3	3	KUSWAHA	1	1	1	1	6	5	3	7	6	10	10	9	8	10	1	1	2	0	1	4	3
Bihar	MITHLANCHAL	MADHUBANI 	38	10.4.2010  1:04:37 PM	Jhanjharpur 	1	1	1	3	1	1	2	3	3	1	1	1	12	5	8	8	6	5	2	7	10	6	9	2	1	35	5	1	3	3	Yadav	2		7		10	10	0	0	0	5	0	5	8	9	2	1	4	5	99	4	3
Bihar	PATNA	NALANDA 	171	10.4.2010  11:50:36 AM	Asthawan 	1	2	1	1	2	1	3	1	1	3	1	4	11	4	10	7	8	0	8	8	9	10	10	9	1	33	5	6	3	1	paswan	2	2	2	2	9	10	8	9	8	10	10	8	5	3	1	1	2	6	9	1	2
