"40"	"22"	"421"	"98"	"10"	"4"	"2"	"1"	"4"	"3"	"9"	"552"	""	""	""
"41"	"23"	"181"	"204"	"18"	"5"	"2"	"5"	"12"	"8"	"23"	"458"	""	""	""
"42"	"24"	"167"	"351"	"14"	"6"	"5"	"7"	"32"	"26"	"29"	"637"	""	""	""
"43"	"25"	"136"	"259"	"10"	"2"	"1"	"1"	"5"	"8"	"4"	"426"	""	""	""
"44"	"26"	"120"	"57"	"9"	"0"	"1"	"0"	"1"	"3"	"3"	"194"	""	""	""
"45"	";ksx %&"	"4985"	"4894"	"481"	"117"	"74"	"102"	"301"	"162"	"420"	"11536"	""	""	""
"46"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"48"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"49"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"51"	"iwoZ i`\"V dk"	"4985"	"4894"	"481"	"117"	"74"	"102"	"301"	"162"	"420"	"11536"	""	""	""
"52"	"27"	"101"	"190"	"7"	"2"	"3"	"1"	"9"	"8"	"7"	"328"	""	""	""
"53"	"28"	"118"	"171"	"8"	"2"	"0"	"1"	"7"	"13"	"21"	"341"	""	""	""
"54"	"29"	"313"	"170"	"14"	"3"	"1"	"2"	"1"	"7"	"13"	"524"	""	""	""
"55"	"30"	"296"	"140"	"4"	"2"	"0"	"3"	"8"	"3"	"9"	"465"	""	""	""
"56"	"31"	"181"	"299"	"12"	"4"	"2"	"5"	"16"	"1"	"8"	"528"	""	""	""
"57"	"32"	"100"	"138"	"4"	"2"	"0"	"1"	"0"	"3"	"3"	"251"	""	""	""
"58"	"33"	"51"	"162"	"3"	"2"	"1"	"0"	"5"	"2"	"6"	"232"	""	""	""
"59"	"34"	"206"	"349"	"9"	"7"	"2"	"3"	"11"	"8"	"11"	"606"	""	""	""
"60"	"35"	"222"	"380"	"10"	"7"	"0"	"1"	"12"	"2"	"2"	"636"	""	""	""
"61"	"36"	"235"	"196"	"6"	"3"	"4"	"6"	"11"	"7"	"36"	"504"	""	""	""
"62"	"37"	"254"	"249"	"10"	"4"	"2"	"4"	"19"	"23"	"27"	"592"	""	""	""
"63"	"38"	"250"	"188"	"32"	"10"	"5"	"8"	"18"	"18"	"26"	"555"	""	""	""
"64"	"39"	"67"	"338"	"14"	"4"	"2"	"4"	"16"	"26"	"43"	"514"	""	""	""
"65"	"40"	"78"	"389"	"13"	"7"	"4"	"3"	"24"	"21"	"26"	"565"	""	""	""
"66"	";ksx %&"	"7457"	"8253"	"627"	"176"	"100"	"144"	"458"	"304"	"658"	"18177"	""	""	""
"67"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"69"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"70"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"71"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"72"	"iwoZ i`\"V dk"	"7457"	"8253"	"627"	"176"	"100"	"144"	"458"	"304"	"658"	"18177"	""	""	""
"73"	"41"	"167"	"128"	"6"	"4"	"3"	"3"	"7"	"12"	"33"	"363"	""	""	""
"74"	"42"	"83"	"419"	"11"	"2"	"5"	"2"	"25"	"9"	"25"	"581"	""	""	""
"75"	"43"	"166"	"151"	"10"	"1"	"4"	"1"	"5"	"8"	"17"	"363"	""	""	""
"76"	"43A"	"87"	"261"	"7"	"2"	"4"	"2"	"10"	"13"	"9"	"395"	""	""	""
"77"	"44"	"116"	"303"	"9"	"1"	"1"	"2"	"14"	"9"	"9"	"464"	""	""	""
"78"	"45"	"45"	"237"	"8"	"1"	"1"	"2"	"5"	"8"	"13"	"320"	""	""	""
"79"	"45A"	"75"	"151"	"9"	"0"	"4"	"7"	"16"	"17"	"45"	"324"	""	""	""
"80"	"46"	"249"	"170"	"12"	"4"	"3"	"1"	"14"	"13"	"33"	"499"	""	""	""
"81"	"47"	"19"	"276"	"19"	"2"	"2"	"4"	"11"	"12"	"24"	"369"	""	""	""
"82"	"48"	"61"	"279"	"6"	"2"	"3"	"1"	"19"	"12"	"17"	"400"	""	""	""
"83"	"48A"	"100"	"206"	"3"	"4"	"0"	"0"	"4"	"6"	"7"	"330"	""	""	""
"84"	"49"	"83"	"235"	"17"	"6"	"3"	"1"	"15"	"5"	"12"	"377"	""	""	""
"85"	"50"	"118"	"288"	"18"	"4"	"6"	"7"	"26"	"25"	"43"	"535"	""	""	""
"86"	"51"	"15"	"242"	"5"	"3"	"0"	"1"	"7"	"5"	"7"	"285"	""	""	""
"87"	";ksx %&"	"8841"	"11599"	"767"	"212"	"139"	"178"	"636"	"458"	"952"	"23782"	""	""	""
"88"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"90"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"91"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"93"	"iwoZ i`\"V dk"	"8841"	"11599"	"767"	"212"	"139"	"178"	"636"	"458"	"952"	"23782"	""	""	""
"94"	"52"	"124"	"157"	"10"	"2"	"4"	"5"	"7"	"12"	"21"	"342"	""	""	""
"95"	"53"	"21"	"613"	"19"	"2"	"0"	"0"	"14"	"9"	"18"	"696"	""	""	""
"96"	"54"	"57"	"315"	"14"	"1"	"2"	"2"	"17"	"21"	"28"	"457"	""	""	""
"97"	"55"	"84"	"350"	"9"	"1"	"3"	"4"	"19"	"7"	"17"	"494"	""	""	""
"98"	"56"	"78"	"302"	"5"	"6"	"1"	"6"	"24"	"16"	"37"	"475"	""	""	""
"99"	"57"	"63"	"401"	"17"	"5"	"0"	"3"	"11"	"22"	"25"	"547"	""	""	""
"100"	"58"	"98"	"270"	"7"	"2"	"3"	"5"	"8"	"10"	"7"	"410"	""	""	""
"101"	"59"	"354"	"87"	"11"	"2"	"0"	"1"	"3"	"4"	"4"	"466"	""	""	""
"102"	"60"	"70"	"243"	"7"	"1"	"0"	"2"	"12"	"4"	"10"	"349"	""	""	""
"103"	"61"	"79"	"291"	"12"	"5"	"4"	"0"	"8"	"1"	"5"	"405"	""	""	""
"104"	"62"	"155"	"259"	"5"	"2"	"0"	"0"	"2"	"3"	"16"	"442"	""	""	""
"105"	"63"	"76"	"320"	"8"	"3"	"2"	"2"	"4"	"7"	"9"	"431"	""	""	""
"106"	"64"	"59"	"215"	"39"	"6"	"4"	"10"	"8"	"5"	"7"	"353"	""	""	""
"107"	"65"	"131"	"260"	"7"	"7"	"1"	"3"	"20"	"14"	"29"	"472"	""	""	""
"108"	";ksx %&"	"10290"	"15682"	"937"	"257"	"163"	"221"	"793"	"593"	"1185"	"30121"	""	""	""
"109"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"111"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"112"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"113"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"114"	"iwoZ i`\"V dk"	"10290"	"15682"	"937"	"257"	"163"	"221"	"793"	"593"	"1185"	"30121"	""	""	""
"115"	"66"	"91"	"215"	"11"	"2"	"3"	"2"	"14"	"8"	"12"	"358"	""	""	""
"116"	"67"	"162"	"32"	"1"	"2"	"0"	"0"	"1"	"1"	"4"	"203"	""	""	""
"117"	"68"	"284"	"193"	"11"	"6"	"5"	"5"	"19"	"25"	"44"	"592"	""	""	""
"118"	"69"	"284"	"169"	"9"	"5"	"3"	"2"	"15"	"7"	"29"	"523"	""	""	""
"119"	"70"	"127"	"218"	"22"	"2"	"4"	"3"	"12"	"6"	"7"	"401"	""	""	""
"120"	"71"	"134"	"289"	"16"	"6"	"2"	"4"	"21"	"36"	"42"	"550"	""	""	""
"121"	"72"	"159"	"300"	"23"	"12"	"1"	"5"	"6"	"3"	"4"	"513"	""	""	""
"122"	"73"	"120"	"109"	"13"	"2"	"1"	"3"	"6"	"16"	"8"	"278"	""	""	""
"123"	"74"	"101"	"177"	"8"	"5"	"3"	"1"	"5"	"7"	"4"	"311"	""	""	""
"124"	"75"	"165"	"299"	"4"	"7"	"3"	"4"	"16"	"15"	"21"	"534"	""	""	""
"125"	"76"	"92"	"140"	"11"	"0"	"1"	"2"	"2"	"10"	"7"	"265"	""	""	""
"126"	"77"	"153"	"186"	"23"	"41"	"13"	"7"	"28"	"22"	"21"	"494"	""	""	""
"127"	"78"	"118"	"97"	"7"	"25"	"2"	"5"	"10"	"12"	"33"	"309"	""	""	""
"128"	"79"	"307"	"180"	"12"	"6"	"6"	"3"	"8"	"25"	"29"	"576"	""	""	""
"129"	";ksx %&"	"12587"	"18286"	"1108"	"378"	"210"	"267"	"956"	"786"	"1450"	"36028"	""	""	""
"130"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"132"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"133"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"134"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"135"	"iwoZ i`\"V dk"	"12587"	"18286"	"1108"	"378"	"210"	"267"	"956"	"786"	"1450"	"36028"	""	""	""
"136"	"80"	"64"	"35"	"7"	"1"	"0"	"2"	"0"	"3"	"11"	"123"	""	""	""
"137"	"81"	"174"	"84"	"6"	"2"	"0"	"0"	"1"	"1"	"0"	"268"	""	""	""
"138"	"82"	"126"	"149"	"5"	"0"	"1"	"0"	"3"	"2"	"3"	"289"	""	""	""
"139"	"83"	"75"	"330"	"10"	"1"	"4"	"3"	"7"	"8"	"6"	"444"	""	""	""
"140"	"84"	"103"	"196"	"2"	"2"	"1"	"2"	"7"	"6"	"8"	"327"	""	""	""
"141"	"85"	"169"	"374"	"7"	"4"	"3"	"2"	"19"	"16"	"11"	"605"	""	""	""
"142"	"86"	"228"	"396"	"8"	"2"	"1"	"2"	"10"	"4"	"4"	"655"	""	""	""
"143"	"87"	"201"	"221"	"2"	"2"	"2"	"0"	"11"	"8"	"8"	"455"	""	""	""
"144"	"88"	"80"	"325"	"9"	"0"	"3"	"1"	"9"	"4"	"2"	"433"	""	""	""
"145"	"89"	"76"	"212"	"1"	"2"	"0"	"0"	"11"	"12"	"8"	"322"	""	""	""
"146"	"90"	"72"	"411"	"6"	"4"	"3"	"2"	"16"	"1"	"6"	"521"	""	""	""
"147"	"91"	"134"	"235"	"8"	"0"	"1"	"0"	"4"	"4"	"6"	"392"	""	""	""
"148"	"92"	"286"	"305"	"8"	"1"	"5"	"5"	"12"	"14"	"13"	"649"	""	""	""
"149"	"93"	"85"	"177"	"5"	"0"	"2"	"0"	"10"	"6"	"6"	"291"	""	""	""
"150"	";ksx %&"	"14460"	"21736"	"1192"	"399"	"236"	"286"	"1076"	"875"	"1542"	"41802"	""	""	""
"151"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"153"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"154"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"155"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"156"	"iwoZ i`\"V dk"	"14460"	"21736"	"1192"	"399"	"236"	"286"	"1076"	"875"	"1542"	"41802"	""	""	""
"157"	"94"	"88"	"177"	"2"	"4"	"1"	"2"	"11"	"13"	"19"	"317"	""	""	""
"158"	"95"	"176"	"242"	"11"	"5"	"9"	"6"	"35"	"29"	"43"	"556"	""	""	""
"159"	"96"	"195"	"240"	"9"	"3"	"3"	"1"	"20"	"11"	"18"	"500"	""	""	""
"160"	"97"	"195"	"162"	"12"	"10"	"2"	"2"	"8"	"18"	"33"	"442"	""	""	""
"161"	"98"	"86"	"192"	"15"	"6"	"5"	"3"	"17"	"14"	"28"	"366"	""	""	""
"162"	"99"	"126"	"221"	"26"	"3"	"6"	"2"	"14"	"5"	"28"	"431"	""	""	""
"163"	"100"	"95"	"229"	"8"	"0"	"4"	"4"	"19"	"17"	"31"	"407"	""	""	""
"164"	"101"	"96"	"175"	"8"	"2"	"4"	"2"	"10"	"20"	"39"	"356"	""	""	""
"165"	"102"	"65"	"268"	"9"	"4"	"4"	"3"	"9"	"5"	"12"	"379"	""	""	""
"166"	"103"	"98"	"244"	"26"	"4"	"3"	"3"	"14"	"15"	"27"	"434"	""	""	""
"167"	"104"	"142"	"167"	"37"	"4"	"9"	"6"	"11"	"17"	"40"	"433"	""	""	""
"168"	"105"	"323"	"189"	"15"	"6"	"7"	"2"	"11"	"4"	"7"	"564"	""	""	""
"169"	"106"	"81"	"299"	"11"	"3"	"4"	"0"	"13"	"5"	"4"	"420"	""	""	""
"170"	"107"	"129"	"159"	"7"	"11"	"2"	"0"	"5"	"5"	"9"	"327"	""	""	""
"171"	";ksx %&"	"16355"	"24700"	"1388"	"464"	"299"	"322"	"1273"	"1053"	"1880"	"47734"	""	""	""
"172"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"174"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"175"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"176"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"177"	"iwoZ i`\"V dk"	"16355"	"24700"	"1388"	"464"	"299"	"322"	"1273"	"1053"	"1880"	"47734"	""	""	""
"178"	"108"	"69"	"135"	"13"	"8"	"2"	"5"	"11"	"5"	"16"	"264"	""	""	""
"179"	"109"	"86"	"207"	"12"	"2"	"2"	"0"	"7"	"2"	"0"	"318"	""	""	""
"180"	"110"	"238"	"91"	"21"	"8"	"5"	"8"	"7"	"7"	"29"	"414"	""	""	""
"181"	"111"	"248"	"130"	"5"	"2"	"3"	"2"	"4"	"7"	"36"	"437"	""	""	""
"182"	"112"	"111"	"222"	"8"	"0"	"0"	"1"	"8"	"7"	"8"	"365"	""	""	""
"183"	"113"	"374"	"39"	"3"	"1"	"0"	"0"	"2"	"2"	"14"	"435"	""	""	""
"184"	"114"	"336"	"49"	"3"	"5"	"2"	"2"	"1"	"0"	"14"	"412"	""	""	""
"185"	"115"	"140"	"174"	"12"	"5"	"0"	"4"	"18"	"7"	"22"	"382"	""	""	""
"186"	"116"	"42"	"217"	"10"	"10"	"4"	"3"	"16"	"10"	"4"	"316"	""	""	""
"187"	"117"	"79"	"421"	"25"	"5"	"1"	"2"	"23"	"24"	"25"	"605"	""	""	""
"188"	"118"	"172"	"288"	"7"	"8"	"4"	"3"	"12"	"12"	"16"	"522"	""	""	""
"189"	"119"	"263"	"133"	"10"	"14"	"1"	"2"	"8"	"4"	"8"	"443"	""	""	""
"190"	"120"	"106"	"265"	"11"	"4"	"2"	"3"	"13"	"6"	"26"	"436"	""	""	""
"191"	"121"	"241"	"233"	"11"	"1"	"5"	"2"	"19"	"17"	"17"	"546"	""	""	""
"192"	";ksx %&"	"18860"	"27304"	"1539"	"537"	"330"	"359"	"1422"	"1163"	"2115"	"53629"	""	""	""
"193"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"195"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"196"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"197"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"198"	"iwoZ i`\"V dk"	"18860"	"27304"	"1539"	"537"	"330"	"359"	"1422"	"1163"	"2115"	"53629"	""	""	""
"199"	"122"	"109"	"453"	"16"	"4"	"5"	"6"	"20"	"8"	"5"	"626"	""	""	""
"200"	"123"	"91"	"264"	"7"	"0"	"1"	"0"	"13"	"5"	"12"	"393"	""	""	""
"201"	"124"	"50"	"283"	"16"	"3"	"4"	"2"	"21"	"36"	"25"	"440"	""	""	""
"202"	"125"	"132"	"201"	"3"	"1"	"3"	"4"	"11"	"3"	"10"	"368"	""	""	""
"203"	"126"	"70"	"266"	"12"	"3"	"2"	"4"	"12"	"10"	"5"	"384"	""	""	""
"204"	"127"	"199"	"227"	"13"	"5"	"1"	"3"	"23"	"9"	"15"	"495"	""	""	""
"205"	"128"	"20"	"280"	"5"	"3"	"0"	"1"	"8"	"4"	"3"	"324"	""	""	""
"206"	"128A"	"108"	"185"	"13"	"3"	"3"	"1"	"4"	"0"	"3"	"320"	""	""	""
"207"	"129"	"117"	"211"	"9"	"3"	"2"	"3"	"8"	"6"	"6"	"365"	""	""	""
"208"	"130"	"157"	"117"	"6"	"3"	"3"	"4"	"4"	"2"	"8"	"304"	""	""	""
"209"	"131"	"176"	"238"	"7"	"3"	"4"	"4"	"12"	"19"	"21"	"484"	""	""	""
"210"	"132"	"170"	"162"	"17"	"1"	"4"	"1"	"8"	"7"	"25"	"395"	""	""	""
