"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Name of the Assembly Constituency : - 92-Hayaghat"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"23"	"16"	"12"	"195"	"1"	"1"	"10"	"215"	"6"	"16"	"8"	"452"	"-"	"452"	""
"24"	"17"	"12A"	"75"	"3"	"4"	"6"	"142"	"3"	"15"	"10"	"258"	"-"	"258"	""
"25"	"18"	"13"	"120"	"5"	"9"	"12"	"263"	"17"	"19"	"17"	"462"	"-"	"462"	""
"26"	"19"	"14"	"209"	"1"	"20"	"27"	"362"	"18"	"14"	"7"	"658"	"-"	"658"	""
"27"	"20"	"15"	"14"	"3"	"43"	"8"	"177"	"6"	"6"	"7"	"264"	"-"	"264"	""
"28"	"21"	"16"	"260"	"6"	"18"	"23"	"142"	"20"	"14"	"15"	"498"	"-"	"498"	""
"29"	"22"	"16A"	"61"	"4"	"2"	"3"	"42"	"5"	"2"	"11"	"130"	"-"	"130"	""
"30"	"23"	"17"	"30"	"7"	"17"	"120"	"62"	"25"	"60"	"16"	"337"	"-"	"337"	""
"31"	"24"	"18"	"331"	"8"	"40"	"8"	"183"	"2"	"25"	"6"	"603"	"-"	"603"	""
"32"	"25"	"19"	"417"	"13"	"52"	"7"	"60"	"10"	"76"	"13"	"648"	"-"	"648"	""
"33"	"26"	"20"	"497"	"5"	"3"	"6"	"56"	"4"	"20"	"14"	"605"	"-"	"605"	""
"34"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"35"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"37"	"27"	"21"	"381"	"3"	"36"	"3"	"20"	"5"	"42"	"10"	"500"	"-"	"500"	""
"38"	"28"	"22"	"58"	"7"	"140"	"14"	"189"	"9"	"6"	"19"	"442"	"-"	"442"	""
"39"	"29"	"23"	"36"	"3"	"5"	"10"	"275"	"12"	"5"	"28"	"374"	"-"	"374"	""
"40"	"30"	"24"	"140"	"3"	"13"	"8"	"183"	"13"	"60"	"14"	"434"	"-"	"434"	""
"41"	"31"	"25"	"85"	"7"	"69"	"9"	"178"	"11"	"168"	"16"	"543"	"-"	"543"	""
"42"	"32"	"25A"	"6"	"2"	"1"	"1"	"30"	"2"	"20"	"6"	"68"	"-"	"68"	""
"43"	"33"	"26"	"76"	"15"	"115"	"42"	"111"	"24"	"70"	"28"	"481"	"-"	"481"	""
"44"	"34"	"27"	"61"	"12"	"91"	"36"	"157"	"12"	"72"	"17"	"458"	"-"	"458"	""
"45"	"35"	"28"	"37"	"4"	"63"	"19"	"193"	"7"	"10"	"5"	"338"	"-"	"338"	""
"46"	"36"	"29"	"85"	"12"	"6"	"5"	"152"	"22"	"185"	"31"	"498"	"-"	"498"	""
"47"	"37"	"30"	"130"	"13"	"65"	"13"	"89"	"20"	"214"	"20"	"564"	"-"	"564"	""
"48"	"38"	"31"	"13"	"10"	"207"	"39"	"10"	"16"	"3"	"21"	"319"	"-"	"319"	""
"49"	"39"	"32"	"118"	"10"	"12"	"3"	"134"	"13"	"291"	"16"	"597"	"-"	"597"	""
"50"	"40"	"33"	"126"	"10"	"26"	"5"	"127"	"27"	"229"	"16"	"566"	"-"	"566"	""
"51"	"41"	"34"	"59"	"13"	"77"	"35"	"74"	"11"	"165"	"15"	"449"	"-"	"449"	""
"52"	"42"	"35"	"165"	"5"	"71"	"9"	"186"	"13"	"66"	"20"	"535"	"-"	"535"	""
"53"	"43"	"36"	"194"	"4"	"0"	"3"	"53"	"8"	"2"	"5"	"269"	"-"	"269"	""
"54"	"44"	"36A"	"327"	"1"	"3"	"0"	"5"	"1"	"1"	"3"	"341"	"-"	"341"	""
"55"	"45"	"37"	"178"	"4"	"28"	"8"	"100"	"11"	"6"	"14"	"349"	"-"	"349"	""
"56"	"46"	"38"	"109"	"8"	"95"	"39"	"98"	"12"	"29"	"20"	"410"	"-"	"410"	""
"57"	"47"	"39"	"359"	"1"	"3"	"0"	"42"	"9"	"6"	"14"	"434"	"-"	"434"	""
"58"	"48"	"40"	"108"	"13"	"52"	"14"	"190"	"10"	"51"	"25"	"463"	"-"	"463"	""
"59"	"49"	"41"	"23"	"5"	"147"	"22"	"238"	"27"	"21"	"27"	"510"	"-"	"510"	""
"60"	"50"	"42"	"300"	"11"	"28"	"18"	"110"	"21"	"18"	"23"	"529"	"-"	"529"	""
"61"	"51"	"43"	"53"	"7"	"150"	"21"	"192"	"14"	"10"	"13"	"460"	"-"	"460"	""
"62"	"52"	"43A"	"35"	"1"	"40"	"6"	"94"	"8"	"10"	"11"	"205"	"-"	"205"	""
"63"	"53"	"44"	"55"	"6"	"38"	"13"	"149"	"24"	"139"	"14"	"438"	"-"	"438"	""
"64"	"54"	"45"	"75"	"6"	"21"	"15"	"302"	"20"	"92"	"28"	"559"	"-"	"559"	""
"65"	"55"	"46"	"171"	"9"	"7"	"7"	"58"	"20"	"341"	"26"	"639"	"-"	"639"	""
"66"	"56"	"47"	"89"	"15"	"108"	"11"	"65"	"28"	"237"	"25"	"578"	"-"	"578"	""
"67"	"57"	"47A"	"3"	"2"	"3"	"0"	"13"	"3"	"52"	"1"	"77"	"-"	"77"	""
"68"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"69"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"71"	"58"	"48"	"53"	"8"	"53"	"13"	"236"	"16"	"194"	"20"	"593"	"-"	"593"	""
"72"	"59"	"49"	"46"	"4"	"204"	"15"	"45"	"11"	"31"	"8"	"364"	"-"	"364"	""
"73"	"60"	"50"	"107"	"8"	"35"	"2"	"90"	"12"	"60"	"9"	"323"	"-"	"323"	""
"74"	"61"	"51"	"134"	"7"	"81"	"8"	"168"	"18"	"103"	"16"	"535"	"-"	"535"	""
"75"	"62"	"51A"	"91"	"4"	"128"	"8"	"47"	"6"	"24"	"6"	"314"	"-"	"314"	""
"76"	"63"	"52"	"41"	"4"	"310"	"15"	"27"	"5"	"11"	"13"	"426"	"-"	"426"	""
"77"	"64"	"53"	"42"	"6"	"269"	"51"	"18"	"17"	"30"	"30"	"463"	"-"	"463"	""
"78"	"65"	"54"	"22"	"7"	"90"	"24"	"199"	"4"	"3"	"3"	"352"	"-"	"352"	""
"79"	"66"	"55"	"54"	"7"	"57"	"23"	"300"	"6"	"11"	"18"	"476"	"-"	"476"	""
"80"	"67"	"56"	"89"	"5"	"75"	"20"	"419"	"19"	"9"	"26"	"662"	"-"	"662"	""
"81"	"68"	"57"	"50"	"4"	"81"	"7"	"272"	"8"	"6"	"7"	"435"	"-"	"435"	""
"82"	"69"	"58"	"113"	"12"	"59"	"9"	"260"	"12"	"76"	"19"	"560"	"-"	"560"	""
"83"	"70"	"59"	"90"	"7"	"24"	"19"	"338"	"14"	"79"	"12"	"583"	"-"	"583"	""
"84"	"71"	"60"	"38"	"6"	"5"	"14"	"330"	"21"	"129"	"36"	"579"	"-"	"579"	""
"85"	"72"	"61"	"27"	"6"	"12"	"10"	"371"	"8"	"4"	"12"	"450"	"-"	"450"	""
"86"	"73"	"62"	"20"	"2"	"5"	"10"	"303"	"20"	"10"	"21"	"391"	"-"	"391"	""
"87"	"74"	"63"	"51"	"6"	"5"	"10"	"370"	"21"	"61"	"22"	"546"	"-"	"546"	""
"88"	"75"	"64"	"37"	"6"	"38"	"9"	"26"	"12"	"192"	"13"	"333"	"-"	"333"	""
"89"	"76"	"65"	"49"	"13"	"5"	"6"	"24"	"11"	"385"	"14"	"507"	"-"	"507"	""
"90"	"77"	"66"	"29"	"3"	"5"	"3"	"111"	"17"	"331"	"44"	"543"	"-"	"543"	""
"91"	"78"	"67"	"23"	"9"	"0"	"12"	"44"	"8"	"249"	"6"	"351"	"-"	"351"	""
"92"	"79"	"68"	"18"	"5"	"34"	"86"	"80"	"22"	"35"	"33"	"313"	"-"	"313"	""
"93"	"80"	"69"	"9"	"6"	"35"	"37"	"16"	"24"	"71"	"17"	"215"	"-"	"215"	""
"94"	"81"	"70"	"27"	"8"	"44"	"4"	"20"	"7"	"207"	"5"	"322"	"-"	"322"	""
"95"	"82"	"71"	"304"	"4"	"6"	"3"	"55"	"7"	"37"	"8"	"424"	"-"	"424"	""
"96"	"83"	"72"	"217"	"10"	"3"	"32"	"79"	"16"	"99"	"19"	"475"	"-"	"475"	""
"97"	"84"	"73"	"31"	"6"	"6"	"68"	"20"	"10"	"171"	"7"	"319"	"-"	"319"	""
"98"	"85"	"74"	"51"	"5"	"19"	"8"	"210"	"10"	"178"	"6"	"487"	"-"	"487"	""
"99"	"86"	"75"	"51"	"7"	"23"	"14"	"126"	"14"	"185"	"16"	"436"	"-"	"436"	""
"100"	"87"	"76"	"227"	"10"	"49"	"48"	"60"	"10"	"21"	"17"	"442"	"-"	"442"	""
"101"	"88"	"77"	"4"	"0"	"24"	"1"	"170"	"8"	"1"	"5"	"213"	"-"	"213"	""
"102"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"103"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"105"	"89"	"78"	"20"	"6"	"153"	"12"	"173"	"10"	"6"	"9"	"389"	"-"	"389"	""
"106"	"90"	"79"	"21"	"7"	"10"	"17"	"262"	"14"	"20"	"16"	"367"	"-"	"367"	""
"107"	"91"	"80"	"22"	"4"	"119"	"22"	"238"	"6"	"6"	"8"	"425"	"-"	"425"	""
"108"	"92"	"81"	"10"	"1"	"119"	"12"	"139"	"4"	"3"	"2"	"290"	"-"	"290"	""
"109"	"93"	"81"	"3"	"2"	"34"	"1"	"107"	"3"	"3"	"5"	"158"	"-"	"158"	""
"110"	"94"	"82"	"7"	"3"	"221"	"7"	"49"	"6"	"4"	"3"	"300"	"-"	"300"	""
"111"	"95"	"82A"	"11"	"4"	"133"	"9"	"123"	"9"	"12"	"4"	"305"	"-"	"305"	""
"112"	"96"	"83"	"51"	"5"	"7"	"4"	"10"	"2"	"128"	"8"	"215"	"-"	"215"	""
"113"	"97"	"84"	"31"	"8"	"25"	"5"	"226"	"11"	"163"	"9"	"478"	"-"	"478"	""
"114"	"98"	"85"	"63"	"7"	"18"	"16"	"331"	"19"	"93"	"21"	"568"	"-"	"568"	""
"115"	"99"	"86"	"58"	"5"	"34"	"10"	"228"	"19"	"176"	"21"	"551"	"-"	"551"	""
"116"	"100"	"87"	"35"	"3"	"25"	"11"	"278"	"10"	"9"	"4"	"375"	"-"	"375"	""
"117"	"101"	"88"	"72"	"2"	"76"	"4"	"147"	"6"	"57"	"10"	"374"	"-"	"374"	""
"118"	"102"	"88A"	"27"	"3"	"26"	"3"	"62"	"0"	"9"	"2"	"132"	"-"	"132"	""
"119"	"103"	"89"	"61"	"2"	"27"	"39"	"160"	"16"	"73"	"31"	"409"	"-"	"409"	""
"120"	"104"	"89A"	"12"	"3"	"58"	"44"	"73"	"1"	"16"	"1"	"208"	"-"	"208"	""
"121"	"105"	"90"	"7"	"5"	"129"	"38"	"141"	"14"	"14"	"10"	"358"	"-"	"358"	""
"122"	"106"	"90A"	"34"	"1"	"44"	"7"	"90"	"3"	"24"	"21"	"224"	"-"	"224"	""
"123"	"107"	"91"	"151"	"11"	"55"	"19"	"74"	"16"	"27"	"25"	"378"	"-"	"378"	""
"124"	"108"	"91A"	"152"	"24"	"8"	"6"	"50"	"5"	"26"	"12"	"283"	"-"	"283"	""
"125"	"109"	"92"	"16"	"5"	"106"	"26"	"18"	"9"	"108"	"10"	"298"	"-"	"298"	""
"126"	"110"	"93"	"242"	"3"	"91"	"14"	"57"	"8"	"11"	"9"	"435"	"-"	"435"	""
"127"	"111"	"94"	"34"	"5"	"233"	"11"	"138"	"7"	"38"	"9"	"475"	"-"	"475"	""
"128"	"112"	"95"	"14"	"5"	"243"	"13"	"129"	"7"	"4"	"9"	"424"	"-"	"424"	""
"129"	"113"	"96"	"24"	"11"	"214"	"11"	"115"	"10"	"8"	"9"	"402"	"-"	"402"	""
"130"	"114"	"96A"	"99"	"6"	"79"	"7"	"102"	"9"	"4"	"3"	"309"	"-"	"309"	""
"131"	"115"	"97"	"21"	"1"	"23"	"29"	"217"	"8"	"7"	"10"	"316"	"-"	"316"	""
"132"	"116"	"98"	"244"	"6"	"48"	"9"	"230"	"9"	"10"	"8"	"564"	"-"	"564"	""
"133"	"117"	"99"	"375"	"4"	"27"	"3"	"85"	"5"	"1"	"8"	"508"	"-"	"508"	""
"134"	"118"	"100"	"104"	"49"	"145"	"14"	"167"	"18"	"9"	"16"	"522"	"-"	"522"	""
"135"	"119"	"101"	"118"	"2"	"32"	"6"	"58"	"6"	"1"	"8"	"231"	"-"	"231"	""
"136"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"137"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"138"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"139"	"120"	"102"	"266"	"2"	"12"	"3"	"71"	"12"	"8"	"19"	"393"	"-"	"393"	""
"140"	"121"	"102A"	"158"	"4"	"22"	"2"	"48"	"9"	"2"	"13"	"258"	"-"	"258"	""
"141"	"122"	"103"	"216"	"4"	"11"	"26"	"72"	"10"	"21"	"13"	"373"	"-"	"373"	""
"142"	"123"	"103A"	"149"	"4"	"20"	"18"	"37"	"5"	"7"	"3"	"243"	"-"	"243"	""
"143"	"124"	"104"	"141"	"1"	"7"	"12"	"58"	"10"	"84"	"18"	"331"	"-"	"331"	""
"144"	"125"	"104A"	"97"	"5"	"60"	"22"	"103"	"5"	"12"	"8"	"312"	"-"	"312"	""
"145"	"126"	"105"	"115"	"8"	"124"	"22"	"72"	"14"	"13"	"16"	"384"	"-"	"384"	""
"146"	"127"	"105A"	"215"	"6"	"22"	"7"	"24"	"7"	"8"	"6"	"295"	"-"	"295"	""
"147"	"128"	"106"	"353"	"1"	"5"	"0"	"30"	"3"	"2"	"7"	"401"	"-"	"401"	""
"148"	"129"	"106A"	"89"	"2"	"24"	"20"	"116"	"6"	"11"	"3"	"271"	"-"	"271"	""
"149"	"130"	"107"	"158"	"6"	"41"	"7"	"117"	"5"	"4"	"22"	"360"	"-"	"360"	""
"150"	"131"	"107A"	"153"	"3"	"52"	"27"	"51"	"5"	"5"	"6"	"302"	"-"	"302"	""
"151"	"132"	"108"	"261"	"5"	"2"	"1"	"28"	"3"	"12"	"3"	"315"	"-"	"315"	""
"152"	"133"	"109"	"297"	"6"	"5"	"6"	"31"	"5"	"4"	"18"	"372"	"-"	"372"	""
"153"	"134"	"110"	"73"	"6"	"108"	"20"	"83"	"9"	"13"	"20"	"332"	"-"	"332"	""
"154"	"135"	"111"	"90"	"4"	"77"	"16"	"247"	"7"	"44"	"9"	"494"	"-"	"494"	""
"155"	"136"	"112"	"154"	"6"	"44"	"7"	"130"	"5"	"17"	"6"	"369"	"-"	"369"	""
"156"	"137"	"113"	"41"	"11"	"20"	"67"	"264"	"20"	"123"	"15"	"561"	"-"	"561"	""
"157"	"138"	"114"	"67"	"4"	"102"	"17"	"215"	"23"	"34"	"26"	"488"	"-"	"488"	""
"158"	"139"	"115"	"175"	"8"	"8"	"2"	"52"	"9"	"61"	"12"	"327"	"-"	"327"	""
"159"	"140"	"115A"	"144"	"6"	"25"	"4"	"72"	"7"	"21"	"4"	"283"	"-"	"283"	""
"160"	"141"	"116"	"416"	"5"	"6"	"14"	"33"	"4"	"2"	"8"	"488"	"-"	"488"	""
"161"	"142"	"117"	"187"	"3"	"43"	"37"	"60"	"16"	"15"	"29"	"390"	"-"	"390"	""
"162"	"143"	"118"	"100"	"6"	"72"	"8"	"34"	"14"	"134"	"28"	"396"	"-"	"396"	""
"163"	"144"	"119"	"289"	"2"	"38"	"6"	"20"	"10"	"34"	"25"	"424"	"-"	"424"	""
"164"	"145"	"120"	"44"	"0"	"16"	"8"	"258"	"16"	"24"	"12"	"378"	"-"	"378"	""
"165"	"146"	"121"	"119"	"9"	"116"	"17"	"103"	"20"	"77"	"24"	"485"	"-"	"485"	""
"166"	"147"	"122"	"82"	"1"	"18"	"9"	"167"	"18"	"61"	"32"	"388"	"-"	"388"	""
"167"	"148"	"123"	"155"	"11"	"21"	"5"	"33"	"17"	"237"	"20"	"499"	"-"	"499"	""
"168"	"149"	"124"	"573"	"4"	"4"	"2"	"16"	"4"	"2"	"12"	"617"	"-"	"617"	""
"169"	"150"	"125"	"429"	"8"	"6"	"7"	"42"	"11"	"8"	"19"	"530"	"-"	"530"	""
"170"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"171"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"173"	"151"	"126"	"480"	"5"	"9"	"7"	"72"	"7"	"3"	"15"	"598"	"-"	"598"	""
"174"	"152"	"127"	"28"	"4"	"17"	"67"	"128"	"14"	"39"	"18"	"315"	"-"	"315"	""
"175"	"153"	"127A"	"22"	"10"	"12"	"3"	"66"	"5"	"204"	"8"	"330"	"-"	"330"	""
"176"	"154"	"128"	"79"	"8"	"36"	"24"	"323"	"27"	"127"	"19"	"643"	"-"	"643"	""
"177"	"155"	"129"	"46"	"6"	"190"	"23"	"183"	"17"	"88"	"40"	"593"	"-"	"593"	""
"178"	"156"	"130"	"66"	"4"	"96"	"14"	"144"	"19"	"84"	"23"	"450"	"-"	"450"	""
"179"	"157"	"131"	"140"	"7"	"41"	"1"	"87"	"19"	"212"	"17"	"524"	"-"	"524"	""
"180"	"158"	"132"	"81"	"6"	"62"	"13"	"66"	"10"	"140"	"25"	"403"	"-"	"403"	""
"181"	"159"	"133"	"44"	"5"	"19"	"4"	"71"	"11"	"245"	"14"	"413"	"-"	"413"	""
"182"	"160"	"134"	"88"	"15"	"81"	"5"	"105"	"18"	"155"	"15"	"482"	"-"	"482"	""
"183"	"161"	"135"	"262"	"15"	"6"	"10"	"141"	"14"	"19"	"16"	"483"	"-"	"483"	""
"184"	"162"	"136"	"369"	"15"	"36"	"12"	"160"	"13"	"20"	"28"	"653"	"-"	"653"	""
"185"	"163"	"137"	"31"	"8"	"21"	"11"	"314"	"15"	"144"	"14"	"558"	"-"	"558"	""
"186"	"164"	"138"	"35"	"11"	"20"	"6"	"56"	"19"	"206"	"19"	"372"	"-"	"372"	""
"187"	"165"	"139"	"36"	"9"	"236"	"15"	"242"	"17"	"94"	"17"	"666"	"-"	"666"	""
"188"	"166"	"140"	"11"	"1"	"47"	"5"	"212"	"4"	"1"	"1"	"282"	"-"	"282"	""
"189"	"167"	"140A"	"7"	"3"	"107"	"1"	"71"	"6"	"5"	"7"	"207"	"-"	"207"	""
"190"	"168"	"141"	"16"	"1"	"105"	"11"	"126"	"10"	"5"	"10"	"284"	"-"	"284"	""
"191"	"169"	"141A"	"12"	"1"	"114"	"4"	"131"	"4"	"2"	"7"	"275"	"-"	"275"	""
"192"	"170"	"142"	"50"	"10"	"51"	"15"	"100"	"34"	"195"	"39"	"494"	"-"	"494"	""
"193"	"171"	"142A"	"24"	"6"	"63"	"5"	"90"	"10"	"47"	"7"	"252"	"-"	"252"	""
"194"	"172"	"143"	"113"	"7"	"26"	"7"	"125"	"18"	"98"	"18"	"412"	"-"	"412"	""
"195"	"173"	"144"	"169"	"10"	"22"	"12"	"153"	"27"	"107"	"26"	"526"	"-"	"526"	""
"196"	"174"	"145"	"31"	"2"	"201"	"8"	"75"	"6"	"45"	"13"	"381"	"-"	"381"	""
"197"	"175"	"146"	"56"	"10"	"124"	"18"	"114"	"31"	"172"	"25"	"550"	"-"	"550"	""
"198"	"176"	"147"	"152"	"7"	"28"	"5"	"114"	"6"	"8"	"9"	"329"	"-"	"329"	""
"199"	"177"	"148"	"246"	"3"	"32"	"1"	"47"	"6"	"5"	"6"	"346"	"-"	"346"	""
"200"	"178"	"149"	"258"	"9"	"43"	"72"	"89"	"9"	"20"	"22"	"522"	"-"	"522"	""
"201"	"179"	"150"	"151"	"9"	"38"	"9"	"51"	"18"	"120"	"17"	"413"	"-"	"413"	""
"202"	"180"	"151"	"70"	"12"	"73"	"14"	"43"	"15"	"96"	"14"	"337"	"-"	"337"	""
"203"	"181"	"152"	"87"	"13"	"31"	"15"	"116"	"26"	"196"	"23"	"507"	"-"	"507"	""
"204"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"205"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"206"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"207"	"182"	"153"	"169"	"20"	"27"	"11"	"168"	"15"	"141"	"22"	"573"	"-"	"573"	""
"208"	"183"	"154"	"130"	"4"	"27"	"2"	"75"	"13"	"187"	"21"	"459"	"-"	"459"	""
"209"	"184"	"155"	"100"	"4"	"10"	"5"	"76"	"16"	"138"	"24"	"373"	"-"	"373"	""
"210"	"185"	"156"	"158"	"13"	"94"	"28"	"200"	"25"	"60"	"14"	"592"	"-"	"592"	""
"211"	"186"	"157"	"449"	"8"	"24"	"10"	"66"	"12"	"10"	"8"	"587"	"-"	"587"	""
"212"	"187"	"158"	"431"	"11"	"34"	"7"	"12"	"8"	"10"	"14"	"527"	"-"	"527"	""
"213"	"188"	"159"	"114"	"18"	"273"	"49"	"110"	"31"	"26"	"38"	"659"	"-"	"659"	""
"214"	"189"	"160"	"28"	"7"	"30"	"7"	"259"	"11"	"19"	"7"	"368"	"-"	"368"	""
"215"	"190"	"161"	"68"	"5"	"66"	"7"	"71"	"23"	"97"	"18"	"355"	"-"	"355"	""
"216"	"191"	"162"	"57"	"8"	"10"	"5"	"182"	"20"	"138"	"32"	"452"	"-"	"452"	""
"217"	"192"	"163"	"23"	"2"	"3"	"11"	"163"	"10"	"6"	"9"	"227"	"-"	"227"	""
"218"	"193"	"164"	"65"	"8"	"21"	"6"	"87"	"22"	"174"	"34"	"417"	"-"	"417"	""
