"Sl.No..of.Polling"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"15"	"12"	"iqLrdky; Hkou] eqjkjiqj"	"27"	"16"	"156"	"16"	"118"	"9"	"342"	""	"342"	""
"16"	"12d"	"iqLrdky; Hkou eqjkjiqj & pyUr ernku dsUnz]"	"11"	"11"	"28"	"1"	"119"	"7"	"177"	""	"177"	""
"17"	"Total No. of votes recorded at Polling Stations"	""	"179"	"86"	"3576"	"133"	"940"	"95"	"5009"	""	"5009"	""
"18"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"19"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"20"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"23"	"13"	"mPp fo|ky;] dVkjh ¼Ikf'pe Hkkx½"	"7"	"0"	"269"	"5"	"3"	"3"	"287"	""	"287"	""
"24"	"13d"	"mPp fo|ky;] dVkjh ¼iwohZ Hkkx½"	"24"	"1"	"131"	"15"	"25"	"16"	"212"	""	"212"	""
"25"	"14"	"e/; fo|ky;] dVkjh"	"14"	"4"	"344"	"7"	"0"	"7"	"376"	""	"376"	""
"26"	"15"	"izkFkfed fo|ky; pkaM+s ¼iwohZ Hkkx½"	"13"	"3"	"329"	"10"	"6"	"0"	"361"	""	"361"	""
"27"	"16"	"izkFkfed fo|ky; pkaM+s ¼i0 Hkkx½"	"32"	"2"	"159"	"15"	"65"	"17"	"290"	""	"290"	""
"28"	"17"	"e/; fo|ky; vofxy ¼nf{k.k Hkkx½"	"51"	"8"	"224"	"7"	"8"	"4"	"302"	""	"302"	""
"29"	"17d"	"e/; fo|ky; vofxy ¼mÙkj Hkkx½"	"48"	"3"	"212"	"6"	"6"	"8"	"283"	""	"283"	""
"30"	"18"	"izkFkfed fo|ky; iqjSuk ¼iw0 Hkkx½"	"224"	"1"	"60"	"8"	"12"	"1"	"306"	""	"306"	""
"31"	"19"	"izkFkfed fo|ky; iqjSuk ¼i0 Hkkx½"	"181"	"8"	"60"	"8"	"14"	"2"	"273"	""	"273"	""
"32"	"20"	"izkFkfed fo|ky;] [kksjeiqj"	"239"	"3"	"47"	"5"	"20"	"1"	"315"	""	"315"	""
"33"	"21"	"mPp fo|ky;] ipuk ¼mÙkj Hkkx½"	"98"	"9"	"179"	"15"	"38"	"18"	"357"	""	"357"	""
"34"	"21d"	"mPp fo|ky;] ipuk ¼nf{k.k Hkkx½"	"24"	"8"	"84"	"2"	"93"	"2"	"213"	""	"213"	""
"35"	"22"	"e/; fo|ky;] ipuk"	"65"	"12"	"314"	"16"	"27"	"20"	"454"	""	"454"	""
"36"	"23"	"izkFkfed fo|ky; o:bZ"	"464"	"10"	"48"	"4"	"4"	"11"	"541"	""	"541"	""
"37"	"Total No. of votes recorded at Polling Stations"	""	"1484"	"72"	"2460"	"123"	"321"	"110"	"4570"	""	"4570"	""
"38"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"39"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"43"	"24"	"izkFkfed fo|ky;] uhjiqj"	"57"	"5"	"50"	"3"	"7"	"3"	"125"	""	"125"	""
"44"	"25"	"e/; fo|ky;] dSFkok¡ ¼iw0 Hkkx½"	"22"	"4"	"370"	"5"	"4"	"5"	"410"	""	"410"	""
"45"	"26"	"e/; fo|ky;] dSFkok¡ ¼i0 Hkkx½"	"25"	"4"	"484"	"14"	"7"	"15"	"549"	""	"549"	""
"46"	"27"	"izkFkfed fo|ky;] ekuiqj"	"347"	"1"	"51"	"4"	"2"	"4"	"409"	""	"409"	""
"47"	"28"	"e/; fo|ky; ojek u;k Hkou"	"21"	"2"	"508"	"7"	"2"	"9"	"549"	""	"549"	""
"48"	"29"	"izkFkfed fo|ky; efu;aMk"	"54"	"10"	"219"	"18"	"45"	"16"	"362"	""	"362"	""
"49"	"30"	"izkFkfed fo|ky; iSxEcjiqj"	"29"	"7"	"102"	"3"	"131"	"3"	"275"	""	"275"	""
"50"	"31"	"mPp fo|ky; xxjh ¼iwohZ Hkkx½"	"13"	"13"	"112"	"2"	"99"	"7"	"246"	""	"246"	""
"51"	"31d"	"mPp fo|ky; xxjh ¼i0 Hkkx½"	"16"	"11"	"26"	"4"	"246"	"9"	"312"	""	"312"	""
"52"	"32"	"izkFkfed fo|ky; glkSaM+h ¼nk;ka Hkkx½"	"2"	"0"	"277"	"1"	"0"	"1"	"281"	""	"281"	""
"53"	"32d"	"izkFkfed fo|ky; glkSaM+h ¼ok;ka Hkkx½"	"18"	"2"	"92"	"8"	"62"	"9"	"191"	""	"191"	""
"54"	"33"	"izkFkfed fo|ky;] xqUgslk ¼ok;ka Hkkx½"	"11"	"4"	"380"	"4"	"34"	"2"	"435"	""	"435"	""
"55"	"33d"	"izkFkfed fo|ky;] xqUgslk ¼nk;ka Hkkx½"	"3"	"0"	"288"	"2"	"4"	"0"	"297"	""	"297"	""
"56"	"34"	"izkFkfed fo|ky; fi.M"	"13"	"5"	"141"	"12"	"91"	"11"	"273"	""	"273"	""
"57"	"Total No. of votes recorded at Polling Stations"	""	"631"	"68"	"3100"	"87"	"734"	"94"	"4714"	""	"4714"	""
"58"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"59"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"63"	"35"	"izkFkfed fo|ky; teqvkjk iFkjSVk"	"112"	"5"	"152"	"10"	"65"	"7"	"351"	""	"351"	""
"64"	"36"	"izkFkfed fo|ky; pf<+gkjh"	"98"	"3"	"97"	"1"	"1"	"2"	"202"	""	"202"	""
"65"	"37"	"fujh{k.k Hkou 'ks[kiqjk"	"159"	"12"	"197"	"15"	"158"	"14"	"555"	""	"555"	""
"66"	"38"	"izkFkfed fo|ky; dVuhdksy"	"74"	"5"	"88"	"3"	"9"	"7"	"186"	""	"186"	""
"67"	"39"	"izk0 fo0 fxjhfgUMk ¼m0 Hkkx½"	"137"	"13"	"112"	"2"	"64"	"13"	"341"	""	"341"	""
"68"	"40"	"izk0 fo0 fxjhfgUMk ¼n0 Hkkx½"	"98"	"5"	"160"	"5"	"40"	"7"	"315"	""	"315"	""
"69"	"40d"	"izk0 fo0 fxjhfgUMk pyUr ernku dsUnz"	"61"	"7"	"158"	"0"	"44"	"2"	"272"	""	"272"	""
"70"	"41"	"izkFkfed fo|ky; bUnk; ¼m0 Hkkx½"	"47"	"12"	"160"	"9"	"116"	"5"	"349"	""	"349"	""
"71"	"41d"	"izkFkfed fo|ky; bUnk; ¼n0 Hkkx½"	"35"	"7"	"76"	"1"	"169"	"7"	"295"	""	"295"	""
"72"	"42"	"izkFkfed fo|ky; ednqeiqj ¼iw0 Hkkx½"	"22"	"4"	"114"	"5"	"37"	"9"	"191"	""	"191"	""
"73"	"43"	"izkFkfed fo|ky; ednqeiqj ¼i0 Hkkx½"	"30"	"5"	"171"	"1"	"16"	"4"	"227"	""	"227"	""
"74"	"43d"	"izkFkfed fo|ky; ednqeiqj & pyUr ernku dsUnz"	"13"	"0"	"82"	"1"	"16"	"0"	"112"	""	"112"	""
"75"	"44"	"jftLVªh vkWfQl] 'ks[kiqjk ¼m0 Hkkx½"	"16"	"1"	"314"	"7"	"94"	"16"	"448"	""	"448"	""
"76"	"44d"	"jftLVªh vkWfQl] 'ks[kiqjk ¼n0 Hkkx½"	"15"	"2"	"214"	"2"	"98"	"2"	"333"	""	"333"	""
"77"	"Total No. of votes recorded at Polling Stations"	""	"917"	"81"	"2095"	"62"	"927"	"95"	"4177"	""	"4177"	""
"78"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"79"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl No. of"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid"	"No. of Rejected"	"Total"	"No. of Tendered"
"81"	""	""	"Bijay Kumar"	"Shivnandan"	"Sunila"	"Kiran"	"Rinku"	"Shankar"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"83"	"45"	"izkFkfed fo|ky; tekyiqj ¼iw0 Hkkx½"	"19"	"15"	"227"	"10"	"162"	"5"	"438"	""	"438"	""
"84"	"46"	"izkFkfed fo|ky; tekyiqj ¼i0 Hkkx½"	"16"	"10"	"250"	"9"	"107"	"10"	"402"	""	"402"	""
"85"	"46d"	"izkFkfed fo|ky; tekyiqj ¼pyUr ernku dsUnz½ Fkkuk
ua0 176] [ksljk ua0 1900"	"2"	"0"	"63"	"0"	"70"	"1"	"136"	""	"136"	""
"86"	"47"	"mnwZ iqLrdky; Hkou vfg;kiqj ¼m0 Hkkx½"	"30"	"1"	"282"	"13"	"25"	"14"	"365"	""	"365"	""
"87"	"48"	"mnwZ iqLrdky; Hkou vfg;kiqj ¼n0 Hkkx½"	"24"	"1"	"100"	"1"	"7"	"1"	"134"	""	"134"	""
"88"	"48d"	"mnwZ iqLrdky; Hkou vfg;kiqj ¼e/; Hkkx½"	"5"	"1"	"77"	"3"	"0"	"1"	"87"	""	"87"	""
"89"	"49"	"Mh0 ,e0 m0 fo0] 'ks[kiqjk ¼n0 Hkkx½"	"13"	"7"	"322"	"6"	"5"	"12"	"365"	""	"365"	""
"90"	"50"	"eqjkjdk m0 fo0] 'ks[kiqjk ¼i0 Hkkx½"	"43"	"7"	"217"	"3"	"15"	"6"	"291"	""	"291"	""
"91"	"50d"	"eqjkjdk m0 fo0] 'ks[kiqjk ¼iw0 Hkkx½"	"104"	"7"	"222"	"4"	"15"	"7"	"359"	""	"359"	""
"92"	"51"	"ekM+okM+h /keZ'kkyk] 'ks[kiqjk"	"123"	"3"	"205"	"12"	"7"	"8"	"358"	""	"358"	""
"93"	"52"	"izkFkfed fo|ky;] deklh ¼n0 Hkkx½"	"9"	"4"	"77"	"3"	"101"	"8"	"202"	""	"202"	""
"94"	"52d"	"izkFkfed fo|ky;] deklh ¼m0 Hkkx½"	"33"	"6"	"73"	"4"	"114"	"25"	"255"	""	"255"	""
"95"	"53"	"enjlk cM+h njxkg ¼iw0 Hkkx½"	"64"	"4"	"295"	"10"	"44"	"11"	"428"	""	"428"	""
"96"	"54"	"enjlk cM+h njxkg ¼i0 Hkkx½"	"93"	"6"	"260"	"8"	"36"	"12"	"415"	""	"415"	""
"97"	"Total No. of votes recorded at Polling Stations"	""	"578"	"72"	"2670"	"86"	"708"	"121"	"4235"	""	"4235"	""
"98"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"99"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"103"	"55"	"izkFkfed fo|ky; cM+h laxr njxkg ij"	"59"	"3"	"264"	"6"	"8"	"6"	"346"	""	"346"	""
"104"	"56"	"izkFkfed fo|ky; ,dlkjh ¼m0 Hkkx½"	"92"	"4"	"101"	"9"	"118"	"14"	"338"	""	"338"	""
"105"	"56d"	"izkFkfed fo|ky; ,dlkjh ¼n0 Hkkx½"	"67"	"0"	"41"	"2"	"5"	"1"	"116"	""	"116"	""
"106"	"57"	"izkFkfed fo|ky; ,dlkjh ch?kk"	"317"	"7"	"57"	"6"	"40"	"10"	"437"	""	"437"	""
"107"	"58"	"izkFkfed fo|ky; rjNk"	"31"	"7"	"373"	"14"	"188"	"12"	"625"	""	"625"	""
"108"	"59"	"izkFkfed fo|ky; [kkaM+ ij ¼iw0 Hkkx½"	"18"	"4"	"51"	"12"	"373"	"16"	"474"	""	"474"	""
"109"	"60"	"izkFkfed fo|ky; [kkaM+ ij ¼i0 Hkkx½"	"46"	"16"	"131"	"15"	"445"	"25"	"678"	""	"678"	""
"110"	"61"	"izkFkfed fo|ky; gluxat"	"41"	"13"	"123"	"5"	"113"	"6"	"301"	""	"301"	""
"111"	"62"	"gfjtu lk0 Hkou egknso uxj"	"109"	"7"	"135"	"8"	"12"	"16"	"287"	""	"287"	""
"112"	"62d"	"gfjtu lk0 Hkou egknso uxj & pyUr ernku dsUnz"	"162"	"10"	"132"	"8"	"14"	"12"	"338"	""	"338"	""
"113"	"63"	"gfjtu lk0 Hkou pdnhoku ¼nk;k Hkkx½"	"84"	"10"	"365"	"15"	"17"	"5"	"496"	""	"496"	""
"114"	"64"	"gfjtu lk0 Hkou pdnhoku ¼ok;k¡ Hkkx½"	"107"	"7"	"132"	"2"	"5"	"21"	"274"	""	"274"	""
"115"	"65"	"gfjtu izkFkfed fo|ky;] dVjk pyUr ernku dsUnz"	"42"	"12"	"293"	"7"	"74"	"11"	"439"	""	"439"	""
"116"	"65d"	"gfjtu izkFkfed fo|ky;] dVjk ¼fu0 Hkk0½"	"23"	"4"	"201"	"7"	"66"	"0"	"301"	""	"301"	""
"117"	"Total No. of votes recorded at Polling Stations"	""	"1198"	"104"	"2399"	"116"	"1478"	"155"	"5450"	""	"5450"	""
"118"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"119"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"122"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"123"	"66"	"izkFkfed fo|ky;] csyNh vuqlwfpr tkfr Vksyk"	"38"	"24"	"231"	"7"	"69"	"12"	"381"	""	"381"	""
"124"	"67"	"vkaxuokM+h dsUnz] csyNh"	"97"	"8"	"262"	"13"	"31"	"23"	"434"	""	"434"	""
"125"	"68"	"izkFkfed fo|ky; Hkou] HkkstMhg ¼m0 Hkkx½"	"41"	"9"	"94"	"3"	"149"	"13"	"309"	""	"309"	""
"126"	"68d"	"izkFkfed fo|ky; Hkou] HkkstMhg ¼n0 Hkkx½"	"59"	"18"	"108"	"19"	"145"	"21"	"370"	""	"370"	""
"127"	"69"	"izkFkfed fo|ky;] eudkSy"	"22"	"13"	"39"	"19"	"425"	"26"	"544"	""	"544"	""
"128"	"70"	"mRØfer e/; fo|ky;] luS;k"	"24"	"5"	"172"	"8"	"185"	"17"	"411"	""	"411"	""
"129"	"71"	"vuwlfpr tkfr leqnkf;d Hkou] luS;k"	"34"	"18"	"114"	"12"	"233"	"18"	"429"	""	"429"	""
"130"	"72"	"e/; fo|ky;] gqlSukckn"	"40"	"29"	"81"	"10"	"317"	"40"	"517"	""	"517"	""
"131"	"73"	"lkoZtfud iqLrdky;] gqlSukckn"	"66"	"10"	"136"	"4"	"175"	"19"	"410"	""	"410"	""
"132"	"74"	"jktLo rglhy dpgjh] gqlSukckn"	"103"	"8"	"147"	"14"	"97"	"16"	"385"	""	"385"	""
"133"	"75"	"e/; fo|ky;] uohuxj ddjkM+ ¼iw0 Hkou½"	"59"	"18"	"140"	"6"	"68"	"8"	"299"	""	"299"	""
"134"	"75d"	"e/; fo|ky;] uohuxj ddjkM+ ¼u;k Hkou½"	"43"	"6"	"142"	"4"	"27"	"7"	"229"	""	"229"	""
"135"	"76"	"e/; fo|ky;] uohuxj ddjkM+"	"34"	"3"	"153"	"5"	"16"	"11"	"222"	""	"222"	""
"136"	"77"	"izkFkfed fo|ky;] /kudkSy"	"23"	"10"	"24"	"4"	"123"	"9"	"193"	""	"193"	""
"137"	"Total No. of votes recorded at Polling Stations"	""	"683"	"179"	"1843"	"128"	"2060"	"240"	"5133"	""	"5133"	""
"138"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"139"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"143"	"77d"	"izkFkfed fo|ky;] /kudkSy & pyar ernku dsUnz"	"24"	"6"	"51"	"3"	"192"	"16"	"292"	""	"292"	""
"144"	"78"	"mPp fo|ky;] ,sQuh ¼m0 Hkkx½"	"72"	"5"	"22"	"5"	"74"	"7"	"185"	""	"185"	""
"145"	"78d"	"mPp fo|ky;] ,sQuh ¼n0 Hkkx½"	"55"	"4"	"65"	"7"	"56"	"5"	"192"	""	"192"	""
"146"	"79"	"iapk;r Hkou] ,sQuh"	"100"	"2"	"6"	"4"	"28"	"9"	"149"	""	"149"	""
"147"	"80"	"izkFkfed fo|ky;] deych?kk"	"6"	"2"	"64"	"2"	"107"	"6"	"187"	""	"187"	""
"148"	"80d"	"izkFkfed fo|ky;] deych?kk & pyar ernku dsUnz"	"50"	"15"	"71"	"12"	"103"	"25"	"276"	""	"276"	""
"149"	"81"	"izkFkfed fo|ky;] yVduk"	"149"	"9"	"27"	"12"	"94"	"19"	"310"	""	"310"	""
"150"	"82"	"e/; fo|ky; dlkj ¼n0 Hkkx½"	"15"	"36"	"20"	"3"	"173"	"13"	"260"	""	"260"	""
"151"	"82d"	"e/; fo|ky; dlkj ¼m0 Hkkx½"	"14"	"30"	"37"	"4"	"218"	"22"	"325"	""	"325"	""
"152"	"83"	"izkFkfed fo|ky;] csygkjh"	"13"	"5"	"53"	"6"	"131"	"21"	"229"	""	"229"	""
"153"	"84"	"dU;k mPp fo|ky;] dlkj ¼n0 Hkkx½"	"3"	"12"	"13"	"2"	"259"	"11"	"300"	""	"300"	""
"154"	"84d"	"dU;k mPp fo|ky;] dlkj ¼m0 Hkkx½"	"8"	"8"	"194"	"6"	"103"	"6"	"325"	""	"325"	""
"155"	"85"	"e/; fo|ky;] llcguk ¼n0 Hkkx½"	"6"	"13"	"4"	"4"	"237"	"9"	"273"	""	"273"	""
"156"	"85d"	"e/; fo|ky;] llcguk ¼m0 Hkkx½"	"22"	"41"	"14"	"15"	"256"	"25"	"373"	""	"373"	""
"157"	"Total No. of votes recorded at Polling Stations"	""	"537"	"188"	"641"	"85"	"2031"	"194"	"3676"	""	"3676"	""
"158"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"159"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"162"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"163"	"86"	"e/; fo|ky;] ?kqldqjh ¼iwohZ Hkkx½"	"18"	"6"	"103"	"6"	"175"	"13"	"321"	""	"321"	""
"164"	"87"	"e/; fo|ky;] ?kqldqjh ¼if'pe Hkkx½"	"12"	"6"	"133"	"7"	"74"	"11"	"243"	""	"243"	""
"165"	"88"	"izkFkfed fo|ky; o`Unkou ¼iw0 Hkkx½"	"21"	"26"	"15"	"9"	"239"	"32"	"342"	""	"342"	""
"166"	"88d"	"izkFkfed fo|ky; o`Unkou ¼i0 Hkkx½"	"10"	"17"	"29"	"5"	"203"	"19"	"283"	""	"283"	""
"167"	"89"	"izkFkfed fo|ky;] pk¡nh"	"53"	"17"	"29"	"7"	"506"	"15"	"627"	""	"627"	""
"168"	"90"	"izkFkfed fo|ky;] djdh"	"150"	"4"	"221"	"11"	"93"	"13"	"492"	""	"492"	""
"169"	"91"	"lkeqnkf;d Hkou] mljh"	"56"	"8"	"50"	"11"	"113"	"10"	"248"	""	"248"	""
"170"	"91d"	"lkeqnkf;d Hkou] mljh & pyar ernku dsUnz"	"46"	"4"	"25"	"9"	"110"	"17"	"211"	""	"211"	""
"171"	"92"	"izkFkfed fo|ky; Hkou] dekyiqj ¼jsmrk½"	"76"	"17"	"64"	"13"	"183"	"26"	"379"	""	"379"	""
"172"	"93"	"izkFkfed fo|ky;] vfj;jh"	"75"	"15"	"165"	"12"	"92"	"7"	"366"	""	"366"	""
"173"	"94"	"izkFkfed fo|ky;] Mygj"	"51"	"22"	"50"	"5"	"199"	"15"	"342"	""	"342"	""
"174"	"95"	"e/; fo|ky;] foeku"	"18"	"24"	"117"	"9"	"287"	"28"	"483"	""	"483"	""
"175"	"96"	"izkFkfed fo|ky;] jkeiqj ¼fgUnh½"	"67"	"4"	"101"	"11"	"50"	"5"	"238"	""	"238"	""
"176"	"96d"	"izkFkfed fo|ky;] jkeiqj ¼fgUnh½ & pyar ernku dsUnz"	"47"	"20"	"58"	"14"	"142"	"20"	"301"	""	"301"	""
"177"	"Total No. of votes recorded at Polling Stations"	""	"700"	"190"	"1160"	"129"	"2466"	"231"	"4876"	""	"4876"	""
"178"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"179"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"183"	"97"	"e/; fo|ky;] Mhgk"	"34"	"24"	"169"	"10"	"150"	"10"	"397"	""	"397"	""
"184"	"98"	"izkFkfed fo|ky;] Mhgk"	"13"	"13"	"57"	"7"	"170"	"8"	"268"	""	"268"	""
"185"	"99"	"iz[kaM dk;kZy; Hkou] vfj;jh"	"195"	"31"	"264"	"24"	"68"	"16"	"598"	""	"598"	""
"186"	"100"	"izkFkfed fo|ky;] cSdBiqj"	"37"	"11"	"88"	"10"	"313"	"9"	"468"	""	"468"	""
"187"	"101"	"izkFkfed fo|ky;] ,djka;"	"73"	"6"	"100"	"6"	"54"	"10"	"249"	""	"249"	""
"188"	"102"	"izkFkfed fo|ky;] bZVgjk"	"55"	"44"	"96"	"25"	"311"	"46"	"577"	""	"577"	""
"189"	"103"	"izkFkfed fo|ky;] taxyhch?kk"	"66"	"6"	"68"	"7"	"139"	"18"	"304"	""	"304"	""
"190"	"104"	"e/; fo|ky;] cjlk"	"78"	"21"	"366"	"7"	"26"	"20"	"518"	""	"518"	""
"191"	"105"	"izkFkfed fo|ky;] lqedk"	"14"	"5"	"6"	"3"	"203"	"12"	"243"	""	"243"	""
"192"	"106"	"izkFkfed fo|ky;] pksjoj"	"92"	"34"	"77"	"15"	"160"	"23"	"401"	""	"401"	""
