"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....78.Madhubani"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"72"	""	"46&d"	"11"	"14"	"137"	"54"	"4"	"3"	"7"	"4"	"11"	"245"	""	"245"	"0"
"73"	""	"47"	"8"	"104"	"157"	"69"	"8"	"6"	"15"	"13"	"27"	"407"	""	"407"	"0"
"74"	""	"48"	"16"	"44"	"114"	"114"	"7"	"10"	"16"	"12"	"25"	"358"	""	"358"	"0"
"75"	""	"Total"	"182"	"1461"	"1207"	"1551"	"122"	"115"	"145"	"140"	"212"	"5135"	""	"5135"	"0"
"76"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"78"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"80"	"Round - 5"	"49"	"14"	"209"	"30"	"72"	"4"	"4"	"4"	"6"	"5"	"348"	""	"348"	"0"
"81"	""	"50"	"11"	"230"	"68"	"264"	"14"	"12"	"15"	"15"	"27"	"656"	""	"656"	"0"
"82"	""	"51"	"9"	"36"	"23"	"230"	"15"	"10"	"9"	"5"	"23"	"360"	""	"360"	"0"
"83"	""	"52"	"19"	"264"	"54"	"90"	"5"	"2"	"4"	"8"	"11"	"457"	""	"457"	"0"
"84"	""	"53"	"2"	"28"	"28"	"256"	"12"	"2"	"4"	"6"	"12"	"350"	""	"350"	"0"
"85"	""	"53 A"	"10"	"54"	"40"	"198"	"6"	"6"	"5"	"6"	"11"	"336"	""	"336"	"0"
"86"	""	"54"	"10"	"63"	"214"	"229"	"19"	"11"	"12"	"10"	"39"	"607"	""	"607"	"0"
"87"	""	"55"	"11"	"94"	"90"	"164"	"11"	"15"	"8"	"7"	"50"	"450"	""	"450"	"0"
"88"	""	"56"	"16"	"236"	"23"	"88"	"10"	"8"	"9"	"21"	"31"	"442"	""	"442"	"0"
"89"	""	"57"	"13"	"242"	"44"	"7"	"1"	"5"	"3"	"16"	"19"	"350"	""	"350"	"0"
"90"	""	"58"	"14"	"599"	"28"	"4"	"0"	"1"	"4"	"7"	"14"	"671"	""	"671"	"0"
"91"	""	"59"	"10"	"228"	"112"	"61"	"4"	"5"	"6"	"3"	"9"	"438"	""	"438"	"0"
"92"	""	"60"	"12"	"172"	"52"	"155"	"5"	"12"	"8"	"18"	"28"	"462"	""	"462"	"0"
"93"	""	"60 A"	"9"	"96"	"29"	"170"	"9"	"16"	"9"	"12"	"17"	"367"	""	"367"	"0"
"94"	""	"Total"	"160"	"2551"	"835"	"1988"	"115"	"109"	"100"	"140"	"296"	"6294"	""	"6294"	"0"
"95"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"97"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"99"	"Round - 6"	"61"	"13"	"98"	"78"	"232"	"10"	"11"	"7"	"14"	"30"	"493"	""	"493"	"0"
"100"	""	"62"	"29"	"381"	"61"	"108"	"7"	"5"	"16"	"13"	"28"	"648"	""	"648"	"0"
"101"	""	"63"	"15"	"19"	"268"	"258"	"10"	"7"	"11"	"20"	"34"	"642"	""	"642"	"0"
"102"	""	"64"	"14"	"110"	"185"	"81"	"14"	"16"	"27"	"19"	"39"	"505"	""	"505"	"0"
"103"	""	"65"	"17"	"65"	"51"	"290"	"10"	"11"	"19"	"18"	"45"	"526"	""	"526"	"0"
"104"	""	"66"	"33"	"45"	"156"	"243"	"14"	"10"	"19"	"10"	"25"	"555"	""	"555"	"0"
"105"	""	"67"	"11"	"23"	"163"	"218"	"8"	"17"	"16"	"10"	"28"	"494"	""	"494"	"0"
"106"	""	"68"	"17"	"82"	"122"	"74"	"11"	"13"	"13"	"19"	"31"	"382"	""	"382"	"0"
"107"	""	"69"	"15"	"184"	"75"	"227"	"12"	"11"	"19"	"19"	"47"	"609"	""	"609"	"0"
"108"	""	"70"	"6"	"263"	"61"	"83"	"12"	"0"	"4"	"6"	"13"	"448"	""	"448"	"0"
"109"	""	"71"	"6"	"112"	"43"	"153"	"10"	"3"	"6"	"0"	"4"	"337"	""	"337"	"0"
"110"	""	"71 A"	"10"	"20"	"43"	"236"	"2"	"2"	"1"	"7"	"10"	"331"	""	"331"	"0"
"111"	""	"72"	"15"	"139"	"144"	"70"	"12"	"7"	"16"	"10"	"17"	"430"	""	"430"	"0"
"112"	""	"73"	"7"	"148"	"168"	"180"	"6"	"11"	"7"	"9"	"13"	"549"	""	"549"	"0"
"113"	""	"Total"	"208"	"1689"	"1618"	"2453"	"138"	"124"	"181"	"174"	"364"	"6949"	""	"6949"	"0"
"114"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"116"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"118"	"Round - 7"	"74"	"4"	"20"	"157"	"142"	"7"	"9"	"3"	"3"	"21"	"366"	""	"366"	"0"
"119"	""	"75"	"6"	"24"	"169"	"181"	"4"	"6"	"14"	"11"	"24"	"439"	""	"439"	"0"
"120"	""	"75 A"	"6"	"14"	"120"	"160"	"3"	"2"	"4"	"3"	"5"	"317"	""	"317"	"0"
"121"	""	"76"	"13"	"172"	"84"	"266"	"5"	"3"	"4"	"3"	"9"	"559"	""	"559"	"0"
"122"	""	"77"	"8"	"6"	"70"	"180"	"2"	"2"	"2"	"0"	"4"	"274"	""	"274"	"0"
"123"	""	"78"	"4"	"126"	"148"	"277"	"6"	"11"	"5"	"2"	"10"	"589"	""	"589"	"0"
"124"	""	"79"	"24"	"181"	"73"	"232"	"8"	"3"	"5"	"4"	"12"	"542"	""	"542"	"0"
"125"	""	"80"	"3"	"29"	"189"	"203"	"5"	"0"	"1"	"3"	"3"	"436"	""	"436"	"0"
"126"	""	"81"	"2"	"97"	"88"	"221"	"2"	"3"	"4"	"2"	"3"	"422"	""	"422"	"0"
"127"	""	"82"	"3"	"6"	"108"	"252"	"5"	"8"	"3"	"3"	"6"	"394"	""	"394"	"0"
"128"	""	"82 A"	"11"	"10"	"109"	"211"	"5"	"1"	"1"	"4"	"20"	"372"	""	"372"	"0"
"129"	""	"83"	"0"	"13"	"71"	"325"	"4"	"1"	"3"	"2"	"5"	"424"	""	"424"	"0"
"130"	""	"84"	"5"	"245"	"49"	"81"	"1"	"0"	"1"	"2"	"0"	"384"	""	"384"	"0"
"131"	""	"85"	"6"	"272"	"67"	"109"	"6"	"5"	"3"	"5"	"8"	"481"	""	"481"	"0"
"132"	""	"Total"	"95"	"1215"	"1502"	"2840"	"63"	"54"	"53"	"47"	"130"	"5999"	""	"5999"	"0"
"133"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"135"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"137"	"Round - 8"	"86"	"7"	"67"	"189"	"209"	"3"	"2"	"3"	"8"	"7"	"495"	""	"495"	"0"
"138"	""	"87"	"9"	"12"	"401"	"214"	"10"	"3"	"5"	"3"	"20"	"677"	""	"677"	"0"
"139"	""	"88"	"0"	"109"	"188"	"208"	"4"	"12"	"6"	"8"	"12"	"547"	""	"547"	"0"
"140"	""	"89"	"12"	"179"	"259"	"117"	"4"	"2"	"6"	"3"	"28"	"610"	""	"610"	"0"
"141"	""	"90"	"9"	"57"	"204"	"168"	"5"	"5"	"7"	"6"	"24"	"485"	""	"485"	"0"
"142"	""	"90 A"	"4"	"18"	"181"	"149"	"6"	"2"	"8"	"7"	"12"	"387"	""	"387"	"0"
"143"	""	"91"	"7"	"4"	"322"	"111"	"0"	"5"	"6"	"6"	"28"	"489"	""	"489"	"0"
"144"	""	"91 A"	"3"	"16"	"83"	"147"	"1"	"2"	"3"	"2"	"7"	"264"	""	"264"	"0"
"145"	""	"92"	"3"	"8"	"180"	"96"	"4"	"0"	"4"	"6"	"7"	"308"	""	"308"	"0"
"146"	""	"92 A"	"6"	"4"	"130"	"119"	"2"	"3"	"1"	"3"	"5"	"273"	""	"273"	"0"
"147"	""	"93"	"7"	"50"	"92"	"314"	"11"	"8"	"5"	"8"	"11"	"506"	""	"506"	"0"
"148"	""	"94"	"6"	"25"	"97"	"137"	"4"	"0"	"5"	"4"	"8"	"286"	""	"286"	"0"
"149"	""	"95"	"6"	"12"	"122"	"184"	"4"	"7"	"2"	"2"	"4"	"343"	""	"343"	"0"
"150"	""	"95 A"	"4"	"51"	"175"	"117"	"5"	"5"	"4"	"5"	"8"	"374"	""	"374"	"0"
"151"	""	"Total"	"83"	"612"	"2623"	"2290"	"63"	"56"	"65"	"71"	"181"	"6044"	""	"6044"	"0"
"152"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"154"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"156"	"Round - 9"	"96"	"4"	"22"	"17"	"140"	"1"	"13"	"0"	"0"	"1"	"198"	""	"198"	"0"
"157"	""	"97"	"1"	"21"	"71"	"224"	"4"	"8"	"0"	"1"	"3"	"333"	""	"333"	"0"
"158"	""	"98"	"6"	"69"	"140"	"228"	"3"	"5"	"3"	"3"	"4"	"461"	""	"461"	"0"
"159"	""	"99"	"0"	"22"	"50"	"262"	"1"	"1"	"2"	"1"	"0"	"339"	""	"339"	"0"
"160"	""	"100"	"1"	"7"	"43"	"171"	"1"	"0"	"0"	"1"	"2"	"226"	""	"226"	"0"
"161"	""	"100 A"	"2"	"91"	"13"	"131"	"0"	"2"	"1"	"0"	"1"	"241"	""	"241"	"0"
"162"	""	"101"	"0"	"27"	"19"	"173"	"2"	"0"	"0"	"0"	"0"	"221"	""	"221"	"0"
"163"	""	"102"	"15"	"285"	"27"	"249"	"8"	"1"	"1"	"1"	"2"	"589"	""	"589"	"0"
"164"	""	"103"	"6"	"199"	"38"	"210"	"8"	"8"	"5"	"4"	"17"	"495"	""	"495"	"0"
"165"	""	"104"	"7"	"180"	"66"	"187"	"7"	"3"	"5"	"4"	"13"	"472"	""	"472"	"0"
"166"	""	"105"	"4"	"308"	"19"	"10"	"0"	"1"	"1"	"4"	"5"	"352"	""	"352"	"0"
"167"	""	"106"	"13"	"531"	"38"	"3"	"1"	"2"	"3"	"7"	"4"	"602"	""	"602"	"0"
"168"	""	"107"	"1"	"301"	"24"	"3"	"2"	"0"	"0"	"0"	"12"	"343"	""	"343"	"0"
"169"	""	"108"	"7"	"529"	"40"	"71"	"1"	"1"	"0"	"0"	"7"	"656"	""	"656"	"0"
"170"	""	"Total"	"67"	"2592"	"605"	"2062"	"39"	"45"	"21"	"26"	"71"	"5528"	""	"5528"	"0"
"171"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"173"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"175"	"Round - 10"	"109"	"7"	"103"	"34"	"379"	"7"	"6"	"2"	"3"	"4"	"545"	""	"545"	"0"
"176"	""	"110"	"5"	"11"	"48"	"232"	"6"	"5"	"2"	"2"	"3"	"314"	""	"314"	"0"
"177"	""	"111"	"4"	"85"	"60"	"252"	"6"	"5"	"0"	"3"	"6"	"421"	""	"421"	"0"
"178"	""	"111 A"	"10"	"127"	"8"	"225"	"2"	"3"	"6"	"5"	"3"	"389"	""	"389"	"0"
"179"	""	"112"	"7"	"368"	"45"	"132"	"3"	"3"	"7"	"5"	"11"	"581"	""	"581"	"0"
"180"	""	"113"	"19"	"254"	"29"	"150"	"7"	"3"	"1"	"3"	"6"	"472"	""	"472"	"0"
"181"	""	"114"	"3"	"364"	"54"	"79"	"5"	"0"	"4"	"2"	"4"	"515"	""	"515"	"0"
"182"	""	"115"	"6"	"297"	"35"	"59"	"1"	"3"	"1"	"2"	"4"	"408"	""	"408"	"0"
"183"	""	"115 A"	"7"	"179"	"53"	"133"	"6"	"3"	"3"	"1"	"9"	"394"	""	"394"	"0"
"184"	""	"116"	"5"	"141"	"76"	"177"	"16"	"0"	"1"	"5"	"5"	"426"	""	"426"	"0"
"185"	""	"116 A"	"3"	"56"	"21"	"286"	"9"	"5"	"1"	"4"	"5"	"390"	""	"390"	"0"
"186"	""	"117"	"19"	"155"	"28"	"135"	"4"	"4"	"1"	"4"	"6"	"356"	""	"356"	"0"
"187"	""	"117 A"	"5"	"49"	"38"	"255"	"13"	"8"	"5"	"6"	"18"	"397"	""	"397"	"0"
"188"	""	"118"	"14"	"331"	"101"	"133"	"9"	"6"	"8"	"4"	"6"	"612"	""	"612"	"0"
"189"	""	"Total"	"114"	"2520"	"630"	"2627"	"94"	"54"	"42"	"49"	"90"	"6220"	""	"6220"	"0"
"190"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"192"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"194"	"Round - 11"	"119"	"11"	"17"	"191"	"250"	"18"	"8"	"12"	"17"	"13"	"537"	""	"537"	"0"
"195"	""	"120"	"7"	"154"	"109"	"173"	"13"	"8"	"9"	"19"	"10"	"502"	""	"502"	"0"
"196"	""	"121"	"19"	"64"	"184"	"151"	"8"	"8"	"11"	"7"	"18"	"470"	""	"470"	"0"
"197"	""	"122"	"21"	"46"	"116"	"190"	"10"	"4"	"19"	"9"	"9"	"424"	""	"424"	"0"
"198"	""	"123"	"15"	"23"	"186"	"164"	"12"	"7"	"16"	"7"	"24"	"454"	""	"454"	"0"
"199"	""	"124"	"8"	"2"	"92"	"117"	"9"	"3"	"4"	"5"	"8"	"248"	""	"248"	"0"
"200"	""	"125"	"12"	"165"	"63"	"173"	"8"	"5"	"9"	"8"	"5"	"448"	""	"448"	"0"
