"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"58"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"60"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"61"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"63"	"1"	"27"	"369"	"101"	"22"	"19"	"1"	"0"	"1"	"513"	"0"	"513"	"0"
"64"	"2"	"28"	"228"	"108"	"4"	"15"	"8"	"2"	"18"	"383"	"0"	"383"	"0"
"65"	"3"	"29"	"316"	"87"	"6"	"18"	"5"	"1"	"11"	"444"	"0"	"444"	"0"
"66"	"4"	"30"	"284"	"10"	"0"	"12"	"0"	"0"	"0"	"306"	"0"	"306"	"0"
"67"	"5"	"31"	"361"	"51"	"2"	"7"	"2"	"0"	"8"	"431"	"0"	"431"	"0"
"68"	"6"	"32R"	"204"	"90"	"2"	"21"	"2"	"1"	"1"	"321"	"0"	"321"	"0"
"69"	"7"	"33"	"464"	"33"	"2"	"7"	"3"	"5"	"7"	"521"	"0"	"521"	"0"
"70"	"8"	"34"	"390"	"89"	"13"	"5"	"4"	"2"	"8"	"511"	"0"	"511"	"0"
"71"	"9"	"35"	"136"	"62"	"5"	"10"	"6"	"1"	"6"	"226"	"0"	"226"	"0"
"72"	"10"	"36"	"379"	"32"	"1"	"1"	"2"	"0"	"0"	"415"	"0"	"415"	"0"
"73"	"11"	"37"	"143"	"34"	"5"	"58"	"1"	"2"	"9"	"252"	"0"	"252"	"0"
"74"	"12"	"38"	"172"	"102"	"4"	"54"	"2"	"2"	"11"	"347"	"0"	"347"	"0"
"75"	"13"	"39"	"489"	"51"	"8"	"34"	"5"	"6"	"8"	"601"	"0"	"601"	"0"
"76"	"14"	"40"	"345"	"29"	"2"	"8"	"4"	"3"	"4"	"395"	"0"	"395"	"0"
"77"	"Total Votes Polled"	""	"4280"	"879"	"76"	"269"	"45"	"25"	"92"	"5666"	"0"	"5666"	"0"
"78"	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"87"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"89"	"1"	"41"	"243"	"115"	"2"	"20"	"0"	"2"	"6"	"388"	"0"	"388"	"0"
"90"	"2"	"41A"	"109"	"57"	"0"	"5"	"0"	"1"	"0"	"172"	"0"	"172"	"0"
"91"	"3"	"42"	"127"	"90"	"15"	"32"	"9"	"8"	"16"	"297"	"0"	"297"	"0"
"92"	"4"	"42A"	"245"	"52"	"2"	"6"	"0"	"0"	"0"	"305"	"0"	"305"	"0"
"93"	"5"	"43"	"55"	"306"	"7"	"23"	"4"	"6"	"6"	"407"	"0"	"407"	"0"
"94"	"6"	"43A"	"56"	"146"	"5"	"10"	"2"	"4"	"4"	"227"	"0"	"227"	"0"
"95"	"7"	"44"	"207"	"57"	"6"	"8"	"2"	"1"	"26"	"307"	"0"	"307"	"0"
"96"	"8"	"44A"	"147"	"65"	"7"	"19"	"11"	"8"	"23"	"280"	"0"	"280"	"0"
"97"	"9"	"45"	"341"	"122"	"8"	"28"	"5"	"3"	"16"	"523"	"0"	"523"	"0"
"98"	"10"	"46"	"106"	"174"	"4"	"11"	"1"	"2"	"2"	"300"	"0"	"300"	"0"
"99"	"11"	"47"	"163"	"104"	"2"	"7"	"1"	"3"	"4"	"284"	"0"	"284"	"0"
"100"	"12"	"48"	"42"	"96"	"12"	"16"	"6"	"3"	"6"	"181"	"0"	"181"	"0"
"101"	"13"	"48A"	"139"	"106"	"3"	"6"	"1"	"0"	"2"	"257"	"0"	"257"	"0"
"102"	"14"	"49"	"215"	"133"	"18"	"21"	"10"	"16"	"24"	"437"	"0"	"437"	"0"
"103"	"Total Votes Polled"	""	"2195"	"1623"	"91"	"212"	"52"	"57"	"135"	"4365"	"0"	"4365"	"0"
"104"	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"113"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"115"	"1"	"50"	"138"	"175"	"6"	"19"	"9"	"17"	"17"	"381"	"0"	"381"	"0"
"116"	"2"	"51"	"267"	"150"	"18"	"8"	"7"	"2"	"8"	"460"	"0"	"460"	"0"
"117"	"3"	"52"	"285"	"106"	"9"	"12"	"3"	"5"	"8"	"428"	"0"	"428"	"0"
"118"	"4"	"53"	"136"	"137"	"19"	"41"	"8"	"8"	"15"	"364"	"0"	"364"	"0"
"119"	"5"	"54"	"151"	"45"	"1"	"50"	"7"	"0"	"17"	"271"	"0"	"271"	"0"
"120"	"6"	"55"	"222"	"95"	"4"	"28"	"3"	"1"	"3"	"356"	"0"	"356"	"0"
"121"	"7"	"56"	"109"	"44"	"3"	"72"	"4"	"3"	"7"	"242"	"0"	"242"	"0"
"122"	"8"	"56A"	"153"	"42"	"4"	"54"	"2"	"5"	"12"	"272"	"0"	"272"	"0"
"123"	"9"	"57"	"210"	"46"	"3"	"51"	"1"	"1"	"8"	"320"	"0"	"320"	"0"
"124"	"10"	"58R"	"241"	"167"	"6"	"17"	"2"	"3"	"0"	"436"	"0"	"436"	"0"
"125"	"11"	"58A"	"191"	"108"	"3"	"12"	"0"	"1"	"0"	"315"	"0"	"315"	"0"
"126"	"12"	"59"	"340"	"104"	"5"	"29"	"0"	"2"	"5"	"485"	"0"	"485"	"0"
"127"	"13"	"60"	"230"	"142"	"19"	"35"	"7"	"0"	"9"	"442"	"0"	"442"	"0"
"128"	"14"	"61"	"170"	"222"	"13"	"25"	"5"	"6"	"11"	"452"	"0"	"452"	"0"
"129"	"Total Votes Polled"	""	"2843"	"1583"	"113"	"453"	"58"	"54"	"120"	"5224"	"0"	"5224"	"0"
"130"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"138"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"139"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"141"	"1"	"62"	"269"	"82"	"5"	"2"	"0"	"2"	"7"	"367"	"0"	"367"	"0"
"142"	"2"	"63"	"272"	"152"	"29"	"29"	"5"	"10"	"19"	"516"	"0"	"516"	"0"
"143"	"3"	"64"	"112"	"176"	"14"	"24"	"8"	"7"	"16"	"357"	"0"	"357"	"0"
"144"	"4"	"65"	"206"	"178"	"19"	"40"	"10"	"19"	"10"	"482"	"0"	"482"	"0"
"145"	"5"	"66"	"275"	"138"	"9"	"24"	"10"	"11"	"20"	"487"	"0"	"487"	"0"
"146"	"6"	"67"	"192"	"110"	"2"	"15"	"5"	"7"	"10"	"341"	"0"	"341"	"0"
"147"	"7"	"68"	"165"	"109"	"7"	"29"	"3"	"5"	"14"	"332"	"0"	"332"	"0"
"148"	"8"	"69"	"75"	"144"	"8"	"13"	"5"	"6"	"10"	"261"	"0"	"261"	"0"
"149"	"9"	"70"	"129"	"104"	"2"	"10"	"2"	"3"	"6"	"256"	"0"	"256"	"0"
"150"	"10"	"71"	"226"	"99"	"7"	"7"	"3"	"4"	"5"	"351"	"0"	"351"	"0"
"151"	"11"	"72"	"243"	"184"	"6"	"20"	"3"	"18"	"13"	"487"	"0"	"487"	"0"
"152"	"12"	"73"	"260"	"129"	"7"	"19"	"4"	"12"	"19"	"450"	"0"	"450"	"0"
"153"	"13"	"74"	"48"	"275"	"11"	"7"	"2"	"1"	"1"	"345"	"0"	"345"	"0"
"154"	"14"	"75"	"147"	"125"	"7"	"15"	"3"	"3"	"12"	"312"	"0"	"312"	"0"
"155"	"Total Votes Polled"	""	"2619"	"2005"	"133"	"254"	"63"	"108"	"162"	"5344"	"0"	"5344"	"0"
"156"	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"165"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"166"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"168"	"1"	"76"	"247"	"71"	"7"	"14"	"6"	"3"	"9"	"357"	"0"	"357"	"0"
"169"	"2"	"77"	"346"	"48"	"5"	"7"	"2"	"3"	"7"	"418"	"0"	"418"	"0"
"170"	"3"	"78"	"236"	"177"	"1"	"6"	"3"	"2"	"10"	"435"	"0"	"435"	"0"
"171"	"4"	"79"	"106"	"32"	"4"	"73"	"8"	"14"	"18"	"255"	"0"	"255"	"0"
"172"	"5"	"80"	"128"	"280"	"17"	"31"	"3"	"14"	"15"	"488"	"0"	"488"	"0"
"173"	"6"	"81"	"80"	"171"	"8"	"12"	"0"	"1"	"9"	"281"	"0"	"281"	"0"
"174"	"7"	"82"	"207"	"110"	"10"	"19"	"7"	"3"	"2"	"358"	"0"	"358"	"0"
"175"	"8"	"83"	"279"	"171"	"0"	"1"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"176"	"9"	"83A"	"150"	"142"	"2"	"7"	"0"	"0"	"0"	"301"	"0"	"301"	"0"
"177"	"10"	"84"	"215"	"152"	"8"	"12"	"5"	"1"	"8"	"401"	"0"	"401"	"0"
"178"	"11"	"85"	"182"	"170"	"10"	"179"	"1"	"8"	"18"	"568"	"0"	"568"	"0"
"179"	"12"	"86"	"291"	"72"	"4"	"17"	"5"	"6"	"8"	"403"	"0"	"403"	"0"
"180"	"13"	"87"	"297"	"94"	"5"	"23"	"2"	"0"	"0"	"421"	"0"	"421"	"0"
"181"	"14"	"87A"	"210"	"150"	"8"	"11"	"1"	"0"	"3"	"383"	"0"	"383"	"0"
"182"	"Total Votes Polled"	""	"2974"	"1840"	"89"	"412"	"43"	"55"	"107"	"5520"	"0"	"5520"	"0"
"183"	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"192"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"193"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"194"	"1"	"88"	"125"	"69"	"8"	"15"	"6"	"4"	"12"	"239"	"0"	"239"	"0"
"195"	"2"	"89"	"187"	"80"	"5"	"11"	"2"	"1"	"5"	"291"	"0"	"291"	"0"
"196"	"3"	"90"	"88"	"63"	"0"	"6"	"1"	"0"	"2"	"160"	"0"	"160"	"0"
"197"	"4"	"91"	"245"	"116"	"7"	"14"	"5"	"4"	"8"	"399"	"0"	"399"	"0"
"198"	"5"	"92"	"97"	"87"	"9"	"12"	"1"	"2"	"5"	"213"	"0"	"213"	"0"
"199"	"6"	"93"	"162"	"111"	"5"	"9"	"3"	"6"	"31"	"327"	"0"	"327"	"0"
"200"	"7"	"94"	"228"	"204"	"7"	"8"	"0"	"3"	"11"	"461"	"0"	"461"	"0"
"201"	"8"	"95"	"207"	"132"	"4"	"8"	"3"	"0"	"1"	"355"	"0"	"355"	"0"
"202"	"9"	"96"	"162"	"105"	"6"	"43"	"9"	"12"	"12"	"349"	"0"	"349"	"0"
"203"	"10"	"97"	"296"	"129"	"6"	"28"	"2"	"5"	"14"	"480"	"0"	"480"	"0"
"204"	"11"	"98"	"215"	"148"	"8"	"26"	"1"	"9"	"18"	"425"	"0"	"425"	"0"
"205"	"12"	"99"	"182"	"45"	"1"	"8"	"2"	"3"	"6"	"247"	"0"	"247"	"0"
"206"	"13"	"100"	"274"	"94"	"4"	"16"	"1"	"3"	"1"	"393"	"0"	"393"	"0"
"207"	"14"	"100A"	"282"	"23"	"1"	"19"	"2"	"3"	"9"	"339"	"0"	"339"	"0"
"208"	"Total Votes Polled"	""	"2750"	"1406"	"71"	"223"	"38"	"55"	"135"	"4678"	"0"	"4678"	"0"
"209"	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"217"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"218"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"219"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"220"	"1"	"101"	"227"	"123"	"17"	"28"	"9"	"8"	"16"	"428"	"0"	"428"	"0"
"221"	"2"	"102"	"122"	"110"	"11"	"18"	"0"	"1"	"3"	"265"	"0"	"265"	"0"
"222"	"3"	"102A"	"225"	"91"	"3"	"6"	"0"	"1"	"2"	"328"	"0"	"328"	"0"
"223"	"4"	"103"	"281"	"118"	"2"	"6"	"1"	"2"	"4"	"414"	"0"	"414"	"0"
"224"	"5"	"103A"	"148"	"59"	"7"	"8"	"2"	"3"	"6"	"233"	"0"	"233"	"0"
"225"	"6"	"104"	"161"	"127"	"5"	"9"	"5"	"2"	"3"	"312"	"0"	"312"	"0"
"226"	"7"	"105"	"150"	"145"	"9"	"7"	"6"	"10"	"10"	"337"	"0"	"337"	"0"
"227"	"8"	"105A"	"172"	"105"	"3"	"14"	"5"	"2"	"3"	"304"	"0"	"304"	"0"
"228"	"9"	"106"	"314"	"160"	"12"	"12"	"0"	"0"	"5"	"503"	"0"	"503"	"0"
"229"	"10"	"107"	"204"	"43"	"1"	"8"	"0"	"1"	"6"	"263"	"0"	"263"	"0"
"230"	"11"	"107A"	"208"	"49"	"1"	"15"	"1"	"0"	"3"	"277"	"0"	"277"	"0"
"231"	"12"	"108"	"210"	"110"	"25"	"76"	"3"	"4"	"9"	"437"	"0"	"437"	"0"
"232"	"13"	"109"	"355"	"91"	"2"	"9"	"1"	"4"	"6"	"468"	"0"	"468"	"0"
"233"	"14"	"109A"	"310"	"106"	"3"	"9"	"2"	"1"	"5"	"436"	"0"	"436"	"0"
"234"	"Total Votes Polled"	""	"3087"	"1437"	"101"	"225"	"35"	"39"	"81"	"5005"	"0"	"5005"	"0"
"235"	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
