"Total.No..of.Electors.in.Assembly.Constituency...195687"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"39"	"20"	"145"	"20"	"304"	"10"	"4"	"9"	"5"	"32"	"4"	"10"	"543"	"0"	"543"	"0"	""
"40"	"21"	"333"	"34"	"231"	"11"	"6"	"5"	"7"	"25"	"10"	"9"	"671"	"0"	"671"	"0"	""
"41"	"22"	"120"	"12"	"161"	"6"	"2"	"2"	"12"	"22"	"5"	"10"	"352"	"0"	"352"	"0"	""
"42"	"23"	"137"	"158"	"52"	"5"	"1"	"4"	"3"	"2"	"7"	"12"	"381"	"0"	"381"	"0"	""
"43"	"Total"	"1753"	"658"	"2569"	"105"	"39"	"217"	"94"	"269"	"69"	"122"	"5895"	"0"	"5895"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"51"	"24"	"169"	"49"	"131"	"40"	"4"	"6"	"5"	"19"	"3"	"8"	"434"	"0"	"434"	"0"	""
"52"	"25"	"269"	"45"	"218"	"65"	"4"	"5"	"8"	"8"	"7"	"3"	"632"	"0"	"632"	"0"	""
"53"	"26"	"100"	"5"	"276"	"10"	"2"	"0"	"8"	"9"	"4"	"4"	"418"	"0"	"418"	"0"	""
"54"	"27"	"129"	"5"	"314"	"13"	"0"	"7"	"2"	"24"	"3"	"3"	"500"	"0"	"500"	"0"	""
"55"	"28"	"250"	"28"	"205"	"13"	"3"	"1"	"7"	"10"	"1"	"8"	"526"	"0"	"526"	"0"	""
"56"	"29"	"116"	"83"	"221"	"8"	"9"	"1"	"5"	"16"	"3"	"7"	"469"	"0"	"469"	"0"	""
"57"	"30"	"155"	"12"	"396"	"12"	"2"	"4"	"6"	"15"	"0"	"3"	"605"	"0"	"605"	"0"	""
"58"	"31"	"268"	"18"	"137"	"11"	"1"	"46"	"9"	"13"	"4"	"7"	"514"	"0"	"514"	"0"	""
"59"	"32"	"124"	"4"	"99"	"4"	"2"	"0"	"3"	"16"	"2"	"8"	"262"	"0"	"262"	"0"	""
"60"	"32A"	"95"	"6"	"204"	"10"	"2"	"5"	"6"	"37"	"5"	"16"	"386"	"0"	"386"	"0"	""
"61"	"33"	"73"	"8"	"193"	"10"	"3"	"8"	"10"	"24"	"6"	"8"	"343"	"0"	"343"	"0"	""
"62"	"34"	"29"	"5"	"237"	"7"	"2"	"5"	"5"	"16"	"4"	"5"	"315"	"0"	"315"	"0"	""
"63"	"35"	"14"	"12"	"169"	"52"	"2"	"1"	"0"	"14"	"2"	"3"	"269"	"0"	"269"	"0"	""
"64"	"36"	"128"	"16"	"165"	"185"	"5"	"2"	"3"	"19"	"7"	"17"	"547"	"0"	"547"	"0"	""
"65"	"Total"	"1919"	"296"	"2965"	"440"	"41"	"91"	"77"	"240"	"51"	"100"	"6220"	"0"	"6220"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"73"	"37"	"32"	"85"	"102"	"134"	"8"	"8"	"6"	"16"	"5"	"15"	"411"	"0"	"411"	"0"	""
"74"	"37A"	"41"	"9"	"124"	"138"	"6"	"1"	"5"	"19"	"1"	"1"	"345"	"0"	"345"	"0"	""
"75"	"38"	"177"	"2"	"52"	"90"	"3"	"6"	"1"	"7"	"8"	"4"	"350"	"0"	"350"	"0"	""
"76"	"39"	"90"	"5"	"191"	"25"	"3"	"1"	"7"	"12"	"1"	"3"	"338"	"0"	"338"	"0"	""
"77"	"40"	"97"	"23"	"221"	"30"	"2"	"4"	"1"	"5"	"5"	"1"	"389"	"0"	"389"	"0"	""
"78"	"41"	"271"	"52"	"121"	"34"	"4"	"7"	"4"	"10"	"5"	"10"	"518"	"0"	"518"	"0"	""
"79"	"42"	"108"	"57"	"268"	"20"	"6"	"5"	"19"	"32"	"5"	"14"	"534"	"0"	"534"	"0"	""
"80"	"43"	"191"	"90"	"260"	"19"	"1"	"5"	"8"	"28"	"1"	"5"	"608"	"0"	"608"	"0"	""
"81"	"44"	"104"	"8"	"133"	"131"	"2"	"3"	"7"	"9"	"8"	"11"	"416"	"0"	"416"	"0"	""
"82"	"44A"	"79"	"6"	"128"	"56"	"2"	"1"	"8"	"13"	"2"	"4"	"299"	"0"	"299"	"0"	""
"83"	"45"	"318"	"32"	"35"	"22"	"3"	"2"	"4"	"1"	"5"	"3"	"425"	"0"	"425"	"0"	""
"84"	"46"	"126"	"34"	"339"	"44"	"3"	"9"	"12"	"45"	"6"	"17"	"635"	"0"	"635"	"0"	""
"85"	"47"	"28"	"92"	"171"	"6"	"0"	"4"	"4"	"13"	"4"	"8"	"330"	"0"	"330"	"0"	""
"86"	"48"	"93"	"214"	"130"	"10"	"12"	"6"	"6"	"20"	"12"	"23"	"526"	"0"	"526"	"0"	""
"87"	"Total"	"1755"	"709"	"2275"	"759"	"55"	"62"	"92"	"230"	"68"	"119"	"6124"	"0"	"6124"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"95"	"49"	"33"	"175"	"170"	"12"	"0"	"0"	"0"	"12"	"6"	"5"	"413"	"0"	"413"	"0"	""
"96"	"49A"	"77"	"63"	"246"	"15"	"3"	"0"	"3"	"9"	"4"	"4"	"424"	"0"	"424"	"0"	""
"97"	"50"	"103"	"14"	"173"	"28"	"1"	"4"	"2"	"21"	"6"	"3"	"355"	"0"	"355"	"0"	""
"98"	"50A"	"80"	"38"	"86"	"48"	"5"	"5"	"4"	"10"	"11"	"6"	"293"	"0"	"293"	"0"	""
"99"	"51"	"103"	"45"	"112"	"39"	"3"	"25"	"2"	"5"	"5"	"3"	"342"	"0"	"342"	"0"	""
"100"	"51A"	"109"	"17"	"85"	"38"	"9"	"26"	"2"	"9"	"1"	"4"	"300"	"0"	"300"	"0"	""
"101"	"52"	"521"	"29"	"91"	"14"	"2"	"11"	"5"	"16"	"6"	"14"	"709"	"0"	"709"	"0"	""
"102"	"53"	"101"	"98"	"140"	"3"	"2"	"3"	"5"	"15"	"4"	"3"	"374"	"0"	"374"	"0"	""
"103"	"54"	"303"	"118"	"47"	"3"	"2"	"3"	"0"	"3"	"1"	"1"	"481"	"0"	"481"	"0"	""
"104"	"55"	"41"	"32"	"415"	"5"	"6"	"4"	"7"	"14"	"1"	"3"	"528"	"0"	"528"	"0"	""
"105"	"56"	"85"	"138"	"183"	"122"	"10"	"7"	"14"	"19"	"6"	"6"	"590"	"0"	"590"	"0"	""
"106"	"57"	"195"	"99"	"248"	"22"	"5"	"4"	"3"	"17"	"6"	"16"	"615"	"0"	"615"	"0"	""
"107"	"58"	"48"	"176"	"89"	"2"	"1"	"0"	"1"	"10"	"6"	"4"	"337"	"0"	"337"	"0"	""
"108"	"59"	"122"	"204"	"21"	"5"	"0"	"3"	"0"	"3"	"5"	"8"	"371"	"0"	"371"	"0"	""
"109"	"Total"	"1921"	"1246"	"2106"	"356"	"49"	"95"	"48"	"163"	"68"	"80"	"6132"	"0"	"6132"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"117"	"60"	"137"	"109"	"48"	"2"	"5"	"5"	"7"	"6"	"11"	"20"	"350"	"0"	"350"	"0"	""
"118"	"60A"	"152"	"31"	"105"	"11"	"2"	"3"	"4"	"19"	"6"	"12"	"345"	"0"	"345"	"0"	""
"119"	"61"	"206"	"51"	"242"	"11"	"0"	"4"	"3"	"8"	"0"	"0"	"525"	"0"	"525"	"0"	""
"120"	"62"	"98"	"111"	"306"	"8"	"3"	"2"	"3"	"8"	"2"	"4"	"545"	"0"	"545"	"0"	""
"121"	"63"	"59"	"26"	"314"	"6"	"3"	"2"	"4"	"21"	"1"	"6"	"442"	"0"	"442"	"0"	""
"122"	"64"	"202"	"54"	"263"	"6"	"4"	"4"	"10"	"28"	"5"	"9"	"585"	"0"	"585"	"0"	""
"123"	"65"	"153"	"64"	"250"	"5"	"6"	"5"	"11"	"8"	"4"	"11"	"517"	"0"	"517"	"0"	""
"124"	"66"	"96"	"12"	"225"	"9"	"8"	"10"	"8"	"17"	"3"	"6"	"394"	"0"	"394"	"0"	""
"125"	"67"	"132"	"12"	"170"	"6"	"3"	"5"	"5"	"13"	"5"	"2"	"353"	"0"	"353"	"0"	""
"126"	"68"	"101"	"11"	"255"	"9"	"5"	"3"	"5"	"13"	"4"	"9"	"415"	"0"	"415"	"0"	""
"127"	"69"	"35"	"1"	"28"	"2"	"1"	"1"	"2"	"10"	"4"	"6"	"90"	"0"	"90"	"0"	""
"128"	"70"	"11"	"2"	"22"	"3"	"0"	"0"	"2"	"4"	"3"	"3"	"50"	"0"	"50"	"0"	""
"129"	"71"	"109"	"7"	"22"	"0"	"4"	"3"	"6"	"7"	"8"	"42"	"208"	"0"	"208"	"0"	""
"130"	"72"	"108"	"9"	"9"	"1"	"2"	"1"	"2"	"2"	"3"	"11"	"148"	"0"	"148"	"0"	""
"131"	"Total"	"1599"	"500"	"2259"	"79"	"46"	"48"	"72"	"164"	"59"	"141"	"4967"	"0"	"4967"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"139"	"73"	"96"	"8"	"39"	"6"	"2"	"4"	"8"	"17"	"7"	"27"	"214"	"0"	"214"	"0"	""
"140"	"74"	"195"	"13"	"31"	"1"	"8"	"1"	"2"	"9"	"4"	"3"	"267"	"0"	"267"	"0"	""
"141"	"75"	"127"	"6"	"4"	"4"	"2"	"3"	"1"	"0"	"2"	"8"	"157"	"0"	"157"	"0"	""
"142"	"76"	"107"	"5"	"18"	"3"	"0"	"0"	"2"	"2"	"1"	"0"	"138"	"0"	"138"	"0"	""
"143"	"77"	"73"	"10"	"9"	"2"	"1"	"0"	"2"	"2"	"1"	"3"	"103"	"0"	"103"	"0"	""
"144"	"78"	"232"	"43"	"123"	"22"	"8"	"5"	"11"	"25"	"5"	"29"	"503"	"0"	"503"	"0"	""
"145"	"79"	"255"	"67"	"67"	"46"	"5"	"0"	"6"	"12"	"1"	"2"	"461"	"0"	"461"	"0"	""
"146"	"80"	"171"	"23"	"133"	"52"	"2"	"4"	"3"	"17"	"3"	"2"	"410"	"0"	"410"	"0"	""
"147"	"81"	"106"	"7"	"76"	"6"	"2"	"4"	"2"	"4"	"1"	"4"	"212"	"0"	"212"	"0"	""
"148"	"82"	"156"	"54"	"203"	"13"	"5"	"4"	"11"	"20"	"3"	"11"	"480"	"0"	"480"	"0"	""
"149"	"83"	"197"	"38"	"32"	"13"	"3"	"5"	"1"	"2"	"1"	"6"	"298"	"0"	"298"	"0"	""
"150"	"84"	"158"	"46"	"83"	"7"	"4"	"4"	"3"	"10"	"4"	"8"	"327"	"0"	"327"	"0"	""
"151"	"85"	"182"	"29"	"74"	"10"	"4"	"4"	"2"	"11"	"4"	"9"	"329"	"0"	"329"	"0"	""
"152"	"86"	"157"	"94"	"34"	"13"	"1"	"3"	"4"	"5"	"2"	"4"	"317"	"0"	"317"	"0"	""
"153"	"Total"	"2212"	"443"	"926"	"198"	"47"	"41"	"58"	"136"	"39"	"116"	"4216"	"0"	"4216"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"161"	"87"	"137"	"7"	"25"	"4"	"2"	"2"	"1"	"1"	"0"	"1"	"180"	"0"	"180"	"0"	""
"162"	"88"	"263"	"20"	"76"	"9"	"5"	"7"	"7"	"9"	"3"	"13"	"412"	"0"	"412"	"0"	""
"163"	"89"	"361"	"150"	"124"	"10"	"2"	"7"	"5"	"5"	"0"	"6"	"670"	"0"	"670"	"0"	""
"164"	"90"	"277"	"67"	"89"	"3"	"4"	"3"	"5"	"10"	"3"	"15"	"476"	"0"	"476"	"0"	""
"165"	"91"	"199"	"76"	"90"	"3"	"0"	"1"	"2"	"6"	"6"	"11"	"394"	"0"	"394"	"0"	""
"166"	"92"	"231"	"35"	"169"	"12"	"5"	"12"	"12"	"40"	"10"	"41"	"567"	"0"	"567"	"0"	""
"167"	"93"	"127"	"110"	"218"	"7"	"1"	"1"	"8"	"16"	"6"	"9"	"503"	"0"	"503"	"0"	""
"168"	"94"	"47"	"32"	"98"	"113"	"1"	"2"	"3"	"13"	"8"	"6"	"323"	"0"	"323"	"0"	""
"169"	"95"	"241"	"20"	"119"	"17"	"1"	"3"	"4"	"12"	"3"	"13"	"433"	"0"	"433"	"0"	""
"170"	"96"	"140"	"6"	"31"	"148"	"8"	"8"	"8"	"6"	"2"	"6"	"363"	"0"	"363"	"0"	""
"171"	"97"	"55"	"94"	"224"	"16"	"2"	"1"	"1"	"5"	"1"	"1"	"400"	"0"	"400"	"0"	""
"172"	"97A"	"138"	"27"	"96"	"24"	"2"	"3"	"2"	"14"	"5"	"8"	"319"	"0"	"319"	"0"	""
"173"	"98"	"133"	"55"	"406"	"26"	"4"	"5"	"24"	"38"	"9"	"22"	"722"	"0"	"722"	"0"	""
"174"	"99"	"45"	"50"	"504"	"16"	"2"	"2"	"8"	"39"	"17"	"9"	"692"	"0"	"692"	"0"	""
"175"	"Total"	"2394"	"749"	"2269"	"408"	"39"	"57"	"90"	"214"	"73"	"161"	"6454"	"0"	"6454"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"183"	"100"	"297"	"35"	"267"	"31"	"5"	"3"	"8"	"33"	"12"	"23"	"714"	"0"	"714"	"0"	""
"184"	"101"	"205"	"270"	"130"	"8"	"1"	"2"	"1"	"13"	"4"	"5"	"639"	"0"	"639"	"0"	""
"185"	"102"	"280"	"55"	"109"	"28"	"1"	"5"	"9"	"28"	"5"	"10"	"530"	"0"	"530"	"0"	""
"186"	"103"	"145"	"170"	"196"	"8"	"2"	"5"	"5"	"24"	"7"	"21"	"583"	"0"	"583"	"0"	""
"187"	"104"	"56"	"14"	"298"	"45"	"4"	"7"	"15"	"35"	"9"	"16"	"499"	"0"	"499"	"0"	""
"188"	"105"	"155"	"76"	"197"	"11"	"4"	"7"	"10"	"22"	"8"	"16"	"506"	"0"	"506"	"0"	""
"189"	"106"	"38"	"72"	"347"	"52"	"3"	"3"	"7"	"25"	"7"	"13"	"567"	"0"	"567"	"0"	""
"190"	"107"	"149"	"61"	"98"	"8"	"1"	"13"	"11"	"13"	"5"	"12"	"371"	"0"	"371"	"0"	""
"191"	"108"	"199"	"32"	"115"	"18"	"1"	"2"	"6"	"8"	"5"	"6"	"392"	"0"	"392"	"0"	""
"192"	"109"	"156"	"101"	"86"	"11"	"5"	"4"	"9"	"11"	"8"	"10"	"401"	"0"	"401"	"0"	""
"193"	"109A"	"118"	"12"	"115"	"16"	"7"	"6"	"9"	"23"	"5"	"8"	"319"	"0"	"319"	"0"	""
"194"	"110"	"189"	"24"	"159"	"91"	"4"	"2"	"6"	"16"	"1"	"2"	"494"	"0"	"494"	"0"	""
"195"	"111"	"128"	"66"	"104"	"10"	"5"	"1"	"9"	"23"	"6"	"9"	"361"	"0"	"361"	"0"	""
