"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"60"	"30"	"9"	"265"	"19"	"6"	"8"	"252"	"18"	"577"	""	"577"	""
"61"	"31"	"5"	"11"	"12"	"10"	"19"	"723"	"24"	"804"	""	"804"	""
"62"	"32"	"8"	"171"	"114"	"20"	"13"	"284"	"10"	"620"	""	"620"	""
"63"	"33"	"7"	"9"	"238"	"26"	"4"	"64"	"6"	"354"	""	"354"	""
"64"	"33A"	"22"	"182"	"55"	"22"	"13"	"193"	"23"	"510"	""	"510"	""
"65"	"34"	"17"	"86"	"32"	"21"	"18"	"441"	"48"	"663"	""	"663"	""
"66"	"35"	"9"	"176"	"55"	"18"	"22"	"227"	"13"	"520"	""	"520"	""
"67"	"35A"	"10"	"84"	"67"	"17"	"17"	"201"	"19"	"415"	""	"415"	""
"68"	"36"	"13"	"464"	"63"	"9"	"3"	"99"	"7"	"658"	""	"658"	""
"69"	"37"	"7"	"280"	"7"	"6"	"7"	"159"	"3"	"469"	""	"469"	""
"70"	"Current Round Total"	"153"	"3043"	"794"	"200"	"167"	"3661"	"227"	"8245"	"0"	"8245"	"0"
"71"	"Previous Round Total"	"323"	"5230"	"3204"	"719"	"780"	"5624"	"445"	"16325"	"0"	"16325"	"0"
"72"	"TOTAL"	"476"	"8273"	"3998"	"919"	"947"	"9285"	"672"	"24570"	"0"	"24570"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"81"	"38"	"9"	"88"	"16"	"6"	"10"	"373"	"13"	"515"	""	"515"	""
"82"	"38A"	"8"	"245"	"17"	"13"	"7"	"169"	"4"	"463"	""	"463"	""
"83"	"39"	"1"	"90"	"10"	"9"	"16"	"221"	"13"	"360"	""	"360"	""
"84"	"40"	"8"	"55"	"84"	"19"	"12"	"187"	"56"	"421"	""	"421"	""
"85"	"40A"	"9"	"10"	"63"	"11"	"10"	"170"	"80"	"353"	""	"353"	""
"86"	"41"	"19"	"58"	"218"	"38"	"15"	"189"	"32"	"569"	""	"569"	""
"87"	"42"	"16"	"114"	"131"	"24"	"24"	"134"	"15"	"458"	""	"458"	""
"88"	"43"	"7"	"205"	"68"	"20"	"18"	"156"	"6"	"480"	""	"480"	""
"89"	"44"	"21"	"204"	"49"	"30"	"6"	"9"	"2"	"321"	""	"321"	""
"90"	"45"	"11"	"30"	"34"	"7"	"11"	"304"	"9"	"406"	""	"406"	""
"91"	"46"	"16"	"125"	"29"	"15"	"20"	"490"	"22"	"717"	""	"717"	""
"92"	"47"	"9"	"318"	"17"	"15"	"14"	"223"	"23"	"619"	""	"619"	""
"93"	"48"	"19"	"236"	"66"	"29"	"21"	"237"	"20"	"628"	""	"628"	""
"94"	"49"	"13"	"160"	"8"	"9"	"15"	"329"	"10"	"544"	""	"544"	""
"95"	"Current Round Total"	"166"	"1938"	"810"	"245"	"199"	"3191"	"305"	"6854"	"0"	"6854"	"0"
"96"	"Previous Round Total"	"476"	"8273"	"3998"	"919"	"947"	"9285"	"672"	"24570"	"0"	"24570"	"0"
"97"	"TOTAL"	"642"	"10211"	"4808"	"1164"	"1146"	"12476"	"977"	"31424"	"0"	"31424"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"106"	"50"	"11"	"110"	"35"	"19"	"15"	"299"	"6"	"495"	""	"495"	""
"107"	"51"	"16"	"184"	"119"	"18"	"12"	"342"	"9"	"700"	""	"700"	""
"108"	"52"	"19"	"126"	"79"	"26"	"17"	"425"	"21"	"713"	""	"713"	""
"109"	"53"	"13"	"45"	"72"	"15"	"13"	"341"	"12"	"511"	""	"511"	""
"110"	"54"	"10"	"145"	"24"	"10"	"22"	"359"	"13"	"583"	""	"583"	""
"111"	"54A"	"7"	"101"	"6"	"5"	"5"	"147"	"8"	"279"	""	"279"	""
"112"	"55"	"3"	"110"	"18"	"6"	"9"	"197"	"9"	"352"	""	"352"	""
"113"	"56"	"7"	"137"	"72"	"17"	"23"	"332"	"10"	"598"	""	"598"	""
"114"	"56A"	"3"	"36"	"76"	"4"	"5"	"123"	"7"	"254"	""	"254"	""
"115"	"57"	"22"	"115"	"200"	"13"	"5"	"153"	"6"	"514"	""	"514"	""
"116"	"58"	"6"	"146"	"65"	"18"	"14"	"351"	"19"	"619"	""	"619"	""
"117"	"59"	"12"	"212"	"68"	"23"	"9"	"140"	"45"	"509"	""	"509"	""
"118"	"59A"	"7"	"129"	"13"	"7"	"1"	"44"	"2"	"203"	""	"203"	""
"119"	"60"	"16"	"235"	"10"	"20"	"7"	"257"	"14"	"559"	""	"559"	""
"120"	"Current Round Total"	"152"	"1831"	"857"	"201"	"157"	"3510"	"181"	"6889"	"0"	"6889"	"0"
"121"	"Previous Round Total"	"642"	"10211"	"4808"	"1164"	"1146"	"12476"	"977"	"31424"	"0"	"31424"	"0"
"122"	"TOTAL"	"794"	"12042"	"5665"	"1365"	"1303"	"15986"	"1158"	"38313"	"0"	"38313"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"131"	"61"	"7"	"96"	"3"	"6"	"13"	"221"	"10"	"356"	""	"356"	""
"132"	"61A"	"16"	"468"	"14"	"15"	"3"	"46"	"8"	"570"	""	"570"	""
"133"	"62"	"9"	"131"	"48"	"4"	"4"	"180"	"15"	"391"	""	"391"	""
"134"	"62A"	"6"	"77"	"6"	"4"	"14"	"307"	"27"	"441"	""	"441"	""
"135"	"63"	"19"	"347"	"10"	"18"	"5"	"75"	"10"	"484"	""	"484"	""
"136"	"64"	"12"	"200"	"149"	"54"	"29"	"33"	"38"	"515"	""	"515"	""
"137"	"64A"	"4"	"32"	"107"	"24"	"6"	"24"	"2"	"199"	""	"199"	""
"138"	"65"	"22"	"366"	"97"	"26"	"12"	"127"	"13"	"663"	""	"663"	""
"139"	"65A"	"5"	"38"	"47"	"12"	"4"	"164"	"3"	"273"	""	"273"	""
"140"	"66"	"14"	"365"	"78"	"21"	"15"	"173"	"20"	"686"	""	"686"	""
"141"	"67"	"21"	"194"	"88"	"30"	"19"	"222"	"12"	"586"	""	"586"	""
"142"	"67A"	"9"	"87"	"10"	"12"	"4"	"134"	"8"	"264"	""	"264"	""
"143"	"68"	"27"	"216"	"17"	"17"	"9"	"212"	"19"	"517"	""	"517"	""
"144"	"69"	"22"	"252"	"218"	"21"	"4"	"49"	"9"	"575"	""	"575"	""
"145"	"Current Round Total"	"193"	"2869"	"892"	"264"	"141"	"1967"	"194"	"6520"	"0"	"6520"	"0"
"146"	"Previous Round Total"	"794"	"12042"	"5665"	"1365"	"1303"	"15986"	"1158"	"38313"	"0"	"38313"	"0"
"147"	"TOTAL"	"987"	"14911"	"6557"	"1629"	"1444"	"17953"	"1352"	"44833"	"0"	"44833"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"156"	"70"	"3"	"199"	"54"	"11"	"9"	"237"	"8"	"521"	""	"521"	""
"157"	"71"	"16"	"80"	"245"	"55"	"16"	"166"	"16"	"594"	""	"594"	""
"158"	"71A"	"11"	"35"	"47"	"29"	"10"	"139"	"21"	"292"	""	"292"	""
"159"	"72"	"20"	"291"	"140"	"20"	"6"	"124"	"20"	"621"	""	"621"	""
"160"	"73"	"24"	"400"	"122"	"22"	"7"	"223"	"15"	"813"	""	"813"	""
"161"	"74"	"28"	"517"	"61"	"34"	"21"	"170"	"21"	"852"	""	"852"	""
"162"	"75"	"24"	"253"	"128"	"30"	"16"	"237"	"13"	"701"	""	"701"	""
"163"	"76"	"16"	"142"	"70"	"29"	"9"	"148"	"14"	"428"	""	"428"	""
"164"	"77"	"12"	"452"	"61"	"20"	"7"	"177"	"16"	"745"	""	"745"	""
"165"	"78"	"10"	"162"	"77"	"15"	"6"	"26"	"25"	"321"	""	"321"	""
"166"	"79"	"2"	"34"	"83"	"5"	"2"	"6"	"4"	"136"	""	"136"	""
"167"	"80"	"7"	"45"	"236"	"23"	"14"	"12"	"18"	"355"	""	"355"	""
"168"	"81"	"19"	"37"	"292"	"34"	"12"	"39"	"31"	"464"	""	"464"	""
"169"	"82"	"13"	"146"	"44"	"16"	"9"	"59"	"78"	"365"	""	"365"	""
"170"	"Current Round Total"	"205"	"2793"	"1660"	"343"	"144"	"1763"	"300"	"7208"	"0"	"7208"	"0"
"171"	"Previous Round Total"	"987"	"14911"	"6557"	"1629"	"1444"	"17953"	"1352"	"44833"	"0"	"44833"	"0"
"172"	"TOTAL"	"1192"	"17704"	"8217"	"1972"	"1588"	"19716"	"1652"	"52041"	"0"	"52041"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"181"	"83"	"22"	"282"	"43"	"33"	"10"	"190"	"16"	"596"	""	"596"	""
"182"	"83A"	"6"	"62"	"13"	"7"	"1"	"60"	"5"	"154"	""	"154"	""
"183"	"84"	"20"	"9"	"335"	"46"	"11"	"8"	"79"	"508"	""	"508"	""
"184"	"85"	"16"	"58"	"196"	"20"	"7"	"17"	"210"	"524"	""	"524"	""
"185"	"86"	"13"	"153"	"47"	"57"	"6"	"61"	"6"	"343"	""	"343"	""
"186"	"87"	"3"	"211"	"9"	"23"	"4"	"128"	"5"	"383"	""	"383"	""
"187"	"88"	"22"	"286"	"33"	"22"	"12"	"87"	"16"	"478"	""	"478"	""
"188"	"88A"	"11"	"203"	"10"	"11"	"4"	"23"	"11"	"273"	""	"273"	""
"189"	"89"	"20"	"242"	"112"	"36"	"9"	"72"	"13"	"504"	""	"504"	""
"190"	"90"	"15"	"23"	"267"	"46"	"11"	"75"	"27"	"464"	""	"464"	""
"191"	"91"	"22"	"228"	"128"	"21"	"9"	"88"	"13"	"509"	""	"509"	""
"192"	"92"	"10"	"146"	"27"	"9"	"11"	"279"	"12"	"494"	""	"494"	""
"193"	"93"	"17"	"201"	"62"	"34"	"11"	"298"	"11"	"634"	""	"634"	""
"194"	"94"	"18"	"506"	"47"	"34"	"12"	"116"	"11"	"744"	""	"744"	""
"195"	"Current Round Total"	"215"	"2610"	"1329"	"399"	"118"	"1502"	"435"	"6608"	"0"	"6608"	"0"
"196"	"Previous Round Total"	"1192"	"17704"	"8217"	"1972"	"1588"	"19716"	"1652"	"52041"	"0"	"52041"	"0"
"197"	"TOTAL"	"1407"	"20314"	"9546"	"2371"	"1706"	"21218"	"2087"	"58649"	"0"	"58649"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"206"	"95"	"42"	"19"	"158"	"31"	"8"	"63"	"402"	"723"	""	"723"	""
"207"	"96"	"23"	"237"	"102"	"24"	"3"	"23"	"47"	"459"	""	"459"	""
"208"	"97"	"14"	"152"	"134"	"28"	"11"	"161"	"99"	"599"	""	"599"	""
"209"	"98"	"20"	"7"	"78"	"5"	"9"	"12"	"341"	"472"	""	"472"	""
"210"	"98A"	"8"	"1"	"36"	"22"	"3"	"22"	"95"	"187"	""	"187"	""
"211"	"99"	"36"	"35"	"203"	"32"	"9"	"8"	"303"	"626"	""	"626"	""
"212"	"100"	"17"	"42"	"213"	"42"	"8"	"9"	"122"	"453"	""	"453"	""
"213"	"101"	"10"	"164"	"19"	"6"	"3"	"4"	"3"	"209"	""	"209"	""
"214"	"102"	"17"	"2"	"66"	"7"	"0"	"9"	"81"	"182"	""	"182"	""
"215"	"103"	"25"	"4"	"111"	"13"	"8"	"9"	"242"	"412"	""	"412"	""
"216"	"103A"	"10"	"1"	"121"	"21"	"4"	"6"	"34"	"197"	""	"197"	""
"217"	"104"	"8"	"11"	"432"	"32"	"10"	"3"	"19"	"515"	""	"515"	""
"218"	"105"	"15"	"269"	"30"	"22"	"8"	"28"	"68"	"440"	""	"440"	""
"219"	"105A"	"12"	"46"	"16"	"6"	"4"	"17"	"104"	"205"	""	"205"	""
"220"	"Current Round Total"	"257"	"990"	"1719"	"291"	"88"	"374"	"1960"	"5679"	"0"	"5679"	"0"
"221"	"Previous Round Total"	"1407"	"20314"	"9546"	"2371"	"1706"	"21218"	"2087"	"58649"	"0"	"58649"	"0"
"222"	"TOTAL"	"1664"	"21304"	"11265"	"2662"	"1794"	"21592"	"4047"	"64328"	"0"	"64328"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"231"	"106"	"31"	"10"	"21"	"11"	"5"	"12"	"423"	"513"	""	"513"	""
"232"	"107"	"15"	"152"	"333"	"57"	"19"	"30"	"32"	"638"	""	"638"	""
"233"	"108"	"16"	"55"	"283"	"29"	"6"	"8"	"22"	"419"	""	"419"	""
"234"	"109"	"25"	"21"	"445"	"51"	"15"	"20"	"115"	"692"	""	"692"	""
"235"	"110"	"25"	"116"	"283"	"29"	"11"	"23"	"26"	"513"	""	"513"	""
"236"	"110A"	"13"	"131"	"65"	"14"	"4"	"2"	"11"	"240"	""	"240"	""
"237"	"111"	"12"	"7"	"388"	"56"	"20"	"12"	"61"	"556"	""	"556"	""
"238"	"112"	"11"	"49"	"453"	"66"	"15"	"15"	"56"	"665"	""	"665"	""
"239"	"113"	"3"	"43"	"294"	"31"	"6"	"6"	"59"	"442"	""	"442"	""
"240"	"113A"	"3"	"4"	"148"	"11"	"0"	"7"	"48"	"221"	""	"221"	""
"241"	"114"	"11"	"97"	"306"	"55"	"6"	"19"	"87"	"581"	""	"581"	""
"242"	"115"	"16"	"148"	"194"	"39"	"11"	"15"	"173"	"596"	""	"596"	""
"243"	"116"	"21"	"243"	"169"	"20"	"9"	"11"	"63"	"536"	""	"536"	""
"244"	"117"	"16"	"320"	"37"	"15"	"5"	"45"	"9"	"447"	""	"447"	""
"245"	"Current Round Total"	"218"	"1396"	"3419"	"484"	"132"	"225"	"1185"	"7059"	"0"	"7059"	"0"
"246"	"Previous Round Total"	"1664"	"21304"	"11265"	"2662"	"1794"	"21592"	"4047"	"64328"	"0"	"64328"	"0"
"247"	"TOTAL"	"1882"	"22700"	"14684"	"3146"	"1926"	"21817"	"5232"	"71387"	"0"	"71387"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
