"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"21"	"16A"	"64"	"43"	"6"	"7"	"110"	"15"	"59"	"12"	"14"	"5"	"20"	"6"	"26"	"387"	"0"	"387"	""
"22"	"17"	"14"	"19"	"4"	"1"	"257"	"5"	"42"	"15"	"11"	"3"	"31"	"6"	"17"	"425"	"0"	"425"	""
"23"	"18"	"204"	"98"	"11"	"5"	"63"	"6"	"15"	"19"	"17"	"14"	"23"	"14"	"108"	"597"	"0"	"597"	""
"24"	"19"	"189"	"171"	"13"	"7"	"63"	"6"	"38"	"11"	"5"	"3"	"23"	"12"	"69"	"610"	"0"	"610"	""
"25"	"20"	"163"	"239"	"22"	"6"	"38"	"4"	"14"	"8"	"7"	"41"	"29"	"5"	"47"	"623"	"0"	"623"	""
"26"	"21"	"46"	"111"	"10"	"2"	"173"	"10"	"10"	"15"	"8"	"11"	"53"	"20"	"166"	"635"	"0"	"635"	""
"27"	"22"	"68"	"300"	"19"	"5"	"56"	"12"	"17"	"24"	"10"	"13"	"26"	"7"	"71"	"628"	"0"	"628"	""
"28"	"23"	"51"	"60"	"6"	"4"	"130"	"15"	"12"	"6"	"11"	"10"	"37"	"13"	"35"	"390"	"0"	"390"	""
"29"	"23A"	"29"	"25"	"6"	"2"	"137"	"10"	"2"	"5"	"2"	"5"	"27"	"5"	"10"	"265"	"0"	"265"	""
"30"	"24"	"24"	"206"	"6"	"4"	"99"	"7"	"8"	"0"	"1"	"5"	"11"	"4"	"7"	"382"	"0"	"382"	""
"31"	"25"	"9"	"236"	"8"	"4"	"1"	"6"	"3"	"6"	"1"	"1"	"0"	"4"	"34"	"313"	"0"	"313"	""
"32"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"33"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"34"	"26"	"31"	"105"	"11"	"1"	"160"	"5"	"42"	"6"	"7"	"2"	"37"	"5"	"13"	"425"	"0"	"425"	""
"35"	"27"	"6"	"247"	"7"	"2"	"29"	"3"	"30"	"4"	"0"	"1"	"4"	"2"	"3"	"338"	"0"	"338"	""
"36"	"28"	"30"	"349"	"26"	"3"	"19"	"5"	"140"	"7"	"5"	"3"	"14"	"4"	"9"	"614"	"0"	"614"	""
"37"	"29"	"19"	"71"	"9"	"9"	"131"	"7"	"3"	"1"	"2"	"4"	"17"	"4"	"9"	"286"	"0"	"286"	""
"38"	"30"	"20"	"13"	"4"	"2"	"152"	"2"	"5"	"1"	"2"	"0"	"17"	"2"	"14"	"234"	"0"	"234"	""
"39"	"31"	"17"	"52"	"10"	"8"	"269"	"9"	"3"	"5"	"6"	"4"	"28"	"3"	"9"	"423"	"0"	"423"	""
"40"	"32"	"5"	"30"	"7"	"1"	"136"	"6"	"1"	"2"	"4"	"3"	"14"	"0"	"4"	"213"	"0"	"213"	""
"41"	"33"	"31"	"243"	"13"	"8"	"93"	"10"	"3"	"5"	"1"	"6"	"19"	"10"	"8"	"450"	"0"	"450"	""
"42"	"34"	"31"	"350"	"18"	"5"	"173"	"16"	"4"	"2"	"3"	"6"	"20"	"5"	"9"	"642"	"0"	"642"	""
"43"	"35"	"30"	"56"	"6"	"10"	"238"	"7"	"7"	"2"	"8"	"8"	"55"	"9"	"14"	"450"	"0"	"450"	""
"44"	"36"	"26"	"311"	"25"	"5"	"21"	"9"	"3"	"0"	"3"	"7"	"4"	"6"	"13"	"433"	"0"	"433"	""
"45"	"37"	"43"	"85"	"6"	"2"	"122"	"4"	"1"	"1"	"3"	"5"	"24"	"2"	"3"	"301"	"0"	"301"	""
"46"	"38"	"54"	"68"	"4"	"3"	"139"	"5"	"4"	"7"	"7"	"4"	"32"	"8"	"16"	"351"	"0"	"351"	""
"47"	"39"	"20"	"369"	"19"	"5"	"36"	"8"	"12"	"4"	"3"	"10"	"8"	"9"	"2"	"505"	"0"	"505"	""
"48"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"49"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"50"	"40"	"27"	"287"	"23"	"4"	"23"	"4"	"12"	"3"	"4"	"4"	"6"	"3"	"8"	"408"	"0"	"408"	""
"51"	"41"	"18"	"407"	"26"	"3"	"3"	"9"	"48"	"7"	"1"	"3"	"1"	"4"	"18"	"548"	"0"	"548"	""
"52"	"41A"	"19"	"349"	"13"	"6"	"3"	"3"	"42"	"6"	"0"	"5"	"0"	"2"	"2"	"450"	"0"	"450"	""
"53"	"42"	"18"	"423"	"17"	"4"	"12"	"16"	"94"	"1"	"5"	"13"	"21"	"23"	"23"	"670"	"0"	"670"	""
"54"	"43"	"25"	"398"	"27"	"9"	"3"	"12"	"35"	"5"	"2"	"10"	"4"	"13"	"15"	"558"	"0"	"558"	""
"55"	"44"	"34"	"706"	"32"	"2"	"14"	"9"	"21"	"4"	"2"	"7"	"7"	"17"	"16"	"871"	"0"	"871"	""
"56"	"45"	"5"	"161"	"7"	"3"	"96"	"4"	"2"	"4"	"6"	"2"	"16"	"2"	"17"	"325"	"0"	"325"	""
"57"	"46"	"5"	"4"	"1"	"4"	"244"	"9"	"3"	"2"	"13"	"6"	"34"	"5"	"12"	"342"	"0"	"342"	""
"58"	"47"	"43"	"251"	"14"	"12"	"134"	"16"	"9"	"11"	"11"	"6"	"32"	"10"	"12"	"561"	"0"	"561"	""
"59"	"48"	"31"	"104"	"4"	"2"	"94"	"6"	"3"	"3"	"9"	"14"	"16"	"9"	"21"	"316"	"0"	"316"	""
"60"	"49"	"24"	"381"	"12"	"8"	"0"	"5"	"9"	"4"	"2"	"2"	"7"	"5"	"7"	"466"	"0"	"466"	""
"61"	"50"	"38"	"608"	"43"	"8"	"25"	"15"	"12"	"1"	"6"	"5"	"12"	"11"	"27"	"811"	"0"	"811"	""
"62"	"51"	"19"	"317"	"10"	"2"	"28"	"3"	"2"	"2"	"2"	"5"	"7"	"6"	"9"	"412"	"0"	"412"	""
"63"	"52"	"15"	"194"	"10"	"3"	"146"	"4"	"1"	"6"	"10"	"4"	"29"	"8"	"22"	"452"	"0"	"452"	""
"64"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"65"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"66"	"53"	"14"	"232"	"11"	"3"	"86"	"3"	"2"	"4"	"2"	"7"	"15"	"1"	"85"	"465"	"0"	"465"	""
"67"	"54"	"19"	"413"	"25"	"6"	"29"	"5"	"26"	"6"	"2"	"2"	"5"	"3"	"48"	"589"	"0"	"589"	""
"68"	"55"	"26"	"110"	"11"	"2"	"201"	"3"	"8"	"8"	"2"	"0"	"7"	"3"	"41"	"422"	"0"	"422"	""
"69"	"56"	"21"	"208"	"14"	"8"	"129"	"6"	"6"	"11"	"15"	"31"	"31"	"9"	"54"	"543"	"0"	"543"	""
"70"	"57"	"42"	"322"	"20"	"10"	"146"	"7"	"12"	"9"	"10"	"9"	"29"	"13"	"17"	"646"	"0"	"646"	""
"71"	"58"	"49"	"363"	"22"	"4"	"105"	"8"	"4"	"3"	"4"	"7"	"14"	"8"	"40"	"631"	"0"	"631"	""
"72"	"59"	"36"	"232"	"13"	"6"	"97"	"6"	"5"	"4"	"4"	"6"	"14"	"6"	"15"	"444"	"0"	"444"	""
"73"	"60"	"21"	"129"	"3"	"3"	"60"	"0"	"2"	"3"	"0"	"3"	"4"	"1"	"17"	"246"	"0"	"246"	""
"74"	"61"	"32"	"191"	"16"	"2"	"95"	"9"	"2"	"9"	"5"	"17"	"13"	"6"	"61"	"458"	"0"	"458"	""
"75"	"61A"	"19"	"67"	"7"	"3"	"74"	"6"	"30"	"8"	"4"	"6"	"11"	"8"	"55"	"298"	"0"	"298"	""
"76"	"62"	"19"	"299"	"16"	"4"	"65"	"4"	"4"	"4"	"4"	"16"	"12"	"10"	"30"	"487"	"0"	"487"	""
"77"	"62A"	"27"	"260"	"24"	"3"	"13"	"3"	"7"	"5"	"3"	"4"	"4"	"3"	"23"	"379"	"0"	"379"	""
"78"	"63"	"26"	"430"	"19"	"1"	"87"	"5"	"2"	"9"	"1"	"9"	"13"	"6"	"99"	"707"	"0"	"707"	""
"79"	"64"	"47"	"523"	"39"	"4"	"97"	"10"	"9"	"12"	"3"	"49"	"14"	"14"	"89"	"910"	"0"	"910"	""
"80"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"81"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"82"	"65"	"22"	"315"	"13"	"8"	"167"	"5"	"3"	"4"	"7"	"8"	"14"	"2"	"12"	"580"	"0"	"580"	""
"83"	"66"	"100"	"108"	"5"	"3"	"102"	"5"	"0"	"7"	"1"	"2"	"25"	"6"	"24"	"388"	"0"	"388"	""
"84"	"67"	"184"	"105"	"7"	"2"	"123"	"5"	"1"	"2"	"5"	"5"	"22"	"6"	"13"	"480"	"0"	"480"	""
"85"	"68"	"211"	"184"	"12"	"5"	"115"	"7"	"3"	"6"	"6"	"10"	"25"	"17"	"43"	"644"	"0"	"644"	""
"86"	"69"	"20"	"63"	"11"	"12"	"301"	"3"	"12"	"14"	"13"	"5"	"33"	"4"	"24"	"515"	"0"	"515"	""
"87"	"69A"	"18"	"65"	"18"	"3"	"105"	"3"	"2"	"6"	"8"	"7"	"19"	"11"	"36"	"301"	"0"	"301"	""
"88"	"70"	"36"	"512"	"26"	"4"	"21"	"10"	"5"	"2"	"4"	"12"	"8"	"9"	"12"	"661"	"0"	"661"	""
"89"	"71"	"45"	"352"	"15"	"4"	"60"	"8"	"7"	"4"	"6"	"1"	"12"	"17"	"14"	"545"	"0"	"545"	""
"90"	"72"	"61"	"425"	"44"	"8"	"164"	"10"	"11"	"11"	"9"	"8"	"33"	"30"	"45"	"859"	"0"	"859"	""
"91"	"73"	"25"	"372"	"27"	"8"	"124"	"2"	"6"	"5"	"2"	"15"	"14"	"2"	"7"	"609"	"0"	"609"	""
"92"	"74"	"46"	"465"	"21"	"7"	"86"	"15"	"34"	"5"	"8"	"23"	"17"	"21"	"34"	"782"	"0"	"782"	""
"93"	"75"	"44"	"260"	"20"	"9"	"174"	"7"	"11"	"3"	"1"	"13"	"23"	"3"	"10"	"578"	"0"	"578"	""
"94"	"76"	"82"	"173"	"15"	"10"	"87"	"14"	"5"	"7"	"2"	"4"	"15"	"6"	"3"	"423"	"0"	"423"	""
"95"	"77"	"22"	"15"	"4"	"4"	"164"	"5"	"6"	"4"	"20"	"4"	"12"	"14"	"23"	"297"	"0"	"297"	""
"96"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"97"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"98"	"78"	"86"	"180"	"17"	"3"	"152"	"8"	"4"	"6"	"8"	"2"	"23"	"7"	"38"	"534"	"0"	"534"	""
"99"	"79"	"22"	"291"	"18"	"5"	"208"	"11"	"22"	"8"	"12"	"4"	"27"	"8"	"26"	"662"	"0"	"662"	""
"100"	"80"	"23"	"357"	"19"	"7"	"92"	"11"	"81"	"15"	"8"	"9"	"23"	"16"	"58"	"719"	"0"	"719"	""
"101"	"81"	"24"	"347"	"9"	"2"	"142"	"6"	"9"	"10"	"7"	"12"	"19"	"11"	"63"	"661"	"0"	"661"	""
"102"	"82"	"21"	"29"	"8"	"7"	"202"	"1"	"6"	"29"	"11"	"3"	"43"	"12"	"333"	"705"	"0"	"705"	""
"103"	"83"	"30"	"257"	"15"	"1"	"25"	"6"	"6"	"35"	"2"	"0"	"9"	"0"	"91"	"477"	"0"	"477"	""
"104"	"84"	"34"	"143"	"15"	"11"	"212"	"17"	"9"	"19"	"9"	"15"	"25"	"15"	"158"	"682"	"0"	"682"	""
"105"	"85"	"21"	"60"	"27"	"3"	"139"	"13"	"9"	"35"	"9"	"19"	"52"	"10"	"227"	"624"	"0"	"624"	""
"106"	"86"	"11"	"111"	"10"	"13"	"34"	"1"	"7"	"13"	"6"	"12"	"11"	"8"	"124"	"361"	"0"	"361"	""
"107"	"87"	"58"	"162"	"11"	"5"	"178"	"10"	"7"	"6"	"4"	"6"	"31"	"8"	"10"	"496"	"0"	"496"	""
"108"	"87A"	"8"	"310"	"5"	"6"	"5"	"6"	"5"	"0"	"0"	"1"	"1"	"8"	"5"	"360"	"0"	"360"	""
"109"	"88"	"35"	"74"	"8"	"12"	"187"	"7"	"6"	"8"	"10"	"7"	"36"	"5"	"9"	"404"	"0"	"404"	""
"110"	"89"	"25"	"1"	"0"	"0"	"97"	"1"	"1"	"1"	"1"	"3"	"10"	"3"	"11"	"154"	"0"	"154"	""
"111"	"90"	"72"	"219"	"18"	"8"	"116"	"10"	"12"	"8"	"10"	"3"	"22"	"8"	"7"	"513"	"0"	"513"	""
"112"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"113"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"114"	"91"	"65"	"144"	"10"	"1"	"88"	"7"	"1"	"3"	"4"	"14"	"16"	"5"	"27"	"385"	"0"	"385"	""
"115"	"91A"	"31"	"152"	"11"	"5"	"117"	"12"	"4"	"3"	"9"	"5"	"29"	"14"	"23"	"415"	"0"	"415"	""
"116"	"92"	"43"	"399"	"29"	"3"	"4"	"10"	"19"	"1"	"3"	"5"	"5"	"3"	"15"	"539"	"0"	"539"	""
"117"	"93"	"115"	"88"	"22"	"1"	"85"	"7"	"12"	"1"	"3"	"4"	"17"	"10"	"20"	"385"	"0"	"385"	""
"118"	"94"	"72"	"200"	"23"	"5"	"39"	"6"	"3"	"0"	"2"	"0"	"10"	"3"	"10"	"373"	"0"	"373"	""
"119"	"94A"	"97"	"97"	"14"	"1"	"58"	"3"	"1"	"4"	"3"	"3"	"10"	"3"	"17"	"311"	"0"	"311"	""
"120"	"95"	"47"	"138"	"9"	"3"	"36"	"4"	"4"	"6"	"1"	"5"	"9"	"6"	"25"	"293"	"0"	"293"	""
"121"	"95A"	"105"	"85"	"3"	"7"	"197"	"8"	"1"	"3"	"5"	"2"	"26"	"3"	"10"	"455"	"0"	"455"	""
"122"	"96"	"82"	"90"	"13"	"1"	"77"	"3"	"3"	"6"	"4"	"4"	"20"	"6"	"5"	"314"	"0"	"314"	""
"123"	"96A"	"72"	"4"	"3"	"4"	"129"	"2"	"0"	"4"	"4"	"3"	"17"	"6"	"19"	"267"	"0"	"267"	""
"124"	"97"	"251"	"36"	"4"	"4"	"27"	"7"	"1"	"5"	"1"	"3"	"9"	"3"	"3"	"354"	"0"	"354"	""
"125"	"97A"	"258"	"47"	"4"	"4"	"13"	"5"	"1"	"8"	"2"	"2"	"1"	"4"	"15"	"364"	"0"	"364"	""
"126"	"98"	"470"	"118"	"6"	"5"	"23"	"4"	"3"	"3"	"1"	"2"	"3"	"1"	"4"	"643"	"0"	"643"	""
"127"	"99"	"128"	"112"	"16"	"3"	"110"	"10"	"5"	"5"	"5"	"3"	"20"	"0"	"6"	"423"	"0"	"423"	""
"128"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"129"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"130"	"100"	"39"	"48"	"8"	"5"	"247"	"10"	"8"	"6"	"10"	"5"	"40"	"10"	"10"	"446"	"0"	"446"	""
"131"	"101"	"145"	"360"	"20"	"10"	"99"	"13"	"14"	"7"	"0"	"2"	"9"	"1"	"22"	"702"	"0"	"702"	""
"132"	"102"	"29"	"371"	"29"	"6"	"30"	"9"	"3"	"5"	"3"	"6"	"4"	"11"	"6"	"512"	"0"	"512"	""
"133"	"103"	"57"	"268"	"25"	"5"	"94"	"10"	"8"	"6"	"4"	"77"	"16"	"9"	"19"	"598"	"0"	"598"	""
"134"	"104"	"25"	"439"	"57"	"7"	"61"	"10"	"8"	"5"	"4"	"45"	"12"	"15"	"21"	"709"	"0"	"709"	""
"135"	"105"	"48"	"178"	"11"	"13"	"265"	"6"	"5"	"5"	"7"	"3"	"39"	"12"	"15"	"607"	"0"	"607"	""
"136"	"106"	"97"	"187"	"12"	"8"	"172"	"10"	"5"	"3"	"0"	"4"	"35"	"8"	"13"	"554"	"0"	"554"	""
"137"	"107"	"25"	"87"	"2"	"3"	"200"	"6"	"3"	"4"	"6"	"3"	"18"	"3"	"5"	"365"	"0"	"365"	""
"138"	"107A"	"31"	"18"	"4"	"3"	"150"	"3"	"16"	"4"	"10"	"4"	"20"	"7"	"23"	"293"	"0"	"293"	""
"139"	"108"	"289"	"66"	"13"	"9"	"228"	"7"	"5"	"6"	"7"	"7"	"38"	"14"	"12"	"701"	"0"	"701"	""
"140"	"109"	"39"	"93"	"8"	"1"	"245"	"7"	"5"	"10"	"3"	"3"	"39"	"5"	"21"	"479"	"0"	"479"	""
"141"	"110"	"34"	"277"	"17"	"26"	"128"	"5"	"10"	"5"	"8"	"2"	"10"	"6"	"11"	"539"	"0"	"539"	""
"142"	"111"	"12"	"12"	"13"	"5"	"231"	"4"	"5"	"7"	"3"	"3"	"27"	"5"	"17"	"344"	"0"	"344"	""
"143"	"112"	"23"	"291"	"11"	"7"	"219"	"4"	"28"	"7"	"9"	"5"	"26"	"13"	"27"	"670"	"0"	"670"	""
"144"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"145"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"146"	"113"	"8"	"380"	"13"	"4"	"24"	"4"	"7"	"2"	"2"	"3"	"3"	"2"	"5"	"457"	"0"	"457"	""
"147"	"114"	"18"	"249"	"14"	"11"	"175"	"8"	"16"	"5"	"6"	"8"	"36"	"12"	"22"	"580"	"0"	"580"	""
"148"	"114A"	"17"	"259"	"11"	"2"	"13"	"1"	"53"	"0"	"0"	"0"	"3"	"0"	"4"	"363"	"0"	"363"	""
"149"	"115"	"26"	"436"	"13"	"3"	"32"	"7"	"14"	"0"	"0"	"0"	"2"	"0"	"7"	"540"	"0"	"540"	""
"150"	"116"	"13"	"220"	"12"	"0"	"213"	"9"	"18"	"1"	"5"	"2"	"19"	"5"	"27"	"544"	"0"	"544"	""
"151"	"117"	"16"	"204"	"20"	"34"	"128"	"21"	"48"	"17"	"8"	"10"	"25"	"8"	"4"	"543"	"0"	"543"	""
"152"	"118"	"53"	"73"	"19"	"16"	"279"	"10"	"2"	"9"	"7"	"6"	"50"	"11"	"24"	"559"	"0"	"559"	""
"153"	"119"	"73"	"386"	"17"	"5"	"62"	"13"	"33"	"9"	"3"	"7"	"17"	"8"	"33"	"666"	"0"	"666"	""
"154"	"120"	"12"	"436"	"12"	"1"	"25"	"6"	"80"	"5"	"3"	"3"	"3"	"15"	"11"	"612"	"0"	"612"	""
"155"	"121"	"10"	"278"	"9"	"1"	"35"	"8"	"181"	"8"	"7"	"5"	"7"	"5"	"14"	"568"	"0"	"568"	""
"156"	"122"	"53"	"85"	"9"	"1"	"175"	"6"	"2"	"7"	"1"	"2"	"20"	"6"	"27"	"394"	"0"	"394"	""
"157"	"122A"	"16"	"55"	"11"	"5"	"210"	"11"	"10"	"6"	"11"	"4"	"29"	"13"	"22"	"403"	"0"	"403"	""
"158"	"123"	"24"	"103"	"128"	"11"	"111"	"7"	"12"	"10"	"10"	"4"	"24"	"14"	"103"	"561"	"0"	"561"	""
"159"	"124"	"16"	"72"	"11"	"3"	"250"	"12"	"5"	"3"	"10"	"5"	"32"	"9"	"11"	"439"	"0"	"439"	""
