"Total.No..of.electors.in.Assembly.constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"15"	"8"	"6"	"28"	"198"	"284"	"41"	"8"	"5"	"6"	"4"	"4"	"2"	"1"	"2"	"12"	"595"	"-"	"595"	""
"16"	"9"	"6A"	"12"	"103"	"90"	"24"	"2"	"1"	"3"	"5"	"3"	"4"	"2"	"2"	"7"	"258"	"-"	"258"	""
"17"	"10"	"7"	"7"	"144"	"73"	"28"	"6"	"1"	"8"	"2"	"7"	"9"	"3"	"7"	"6"	"301"	"-"	"301"	""
"18"	"11"	"8"	"12"	"94"	"134"	"58"	"2"	"1"	"4"	"4"	"8"	"3"	"3"	"1"	"4"	"328"	"-"	"328"	""
"19"	"12"	"9"	"6"	"8"	"211"	"82"	"0"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"318"	"-"	"318"	""
"20"	"13"	"9A"	"16"	"145"	"41"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"214"	"-"	"214"	""
"21"	"14"	"10"	"8"	"48"	"325"	"135"	"6"	"6"	"4"	"1"	"7"	"7"	"5"	"5"	"22"	"579"	"-"	"579"	""
"22"	"15"	"11"	"6"	"113"	"164"	"96"	"6"	"1"	"5"	"2"	"9"	"3"	"4"	"3"	"8"	"420"	"-"	"420"	""
"23"	"16"	"11A"	"7"	"150"	"25"	"10"	"3"	"0"	"2"	"2"	"2"	"1"	"0"	"2"	"2"	"206"	"-"	"206"	""
"24"	"17"	"12"	"19"	"257"	"93"	"12"	"2"	"3"	"4"	"2"	"2"	"1"	"3"	"7"	"8"	"413"	"-"	"413"	""
"25"	"18"	"12A"	"2"	"48"	"93"	"20"	"6"	"1"	"6"	"5"	"4"	"2"	"2"	"2"	"3"	"194"	"-"	"194"	""
"26"	"19"	"13"	"7"	"106"	"190"	"25"	"3"	"3"	"6"	"1"	"5"	"4"	"5"	"4"	"18"	"377"	"-"	"377"	""
"27"	"20"	"13A"	"8"	"89"	"66"	"14"	"4"	"3"	"1"	"0"	"2"	"2"	"2"	"3"	"3"	"197"	"-"	"197"	""
"28"	"21"	"14"	"22"	"61"	"177"	"57"	"4"	"2"	"3"	"3"	"10"	"7"	"7"	"3"	"9"	"365"	"-"	"365"	""
"29"	"22"	"14A"	"8"	"99"	"27"	"32"	"2"	"3"	"6"	"4"	"8"	"11"	"7"	"17"	"31"	"255"	"-"	"255"	""
"30"	"23"	"15"	"22"	"147"	"74"	"129"	"7"	"1"	"7"	"5"	"25"	"4"	"3"	"2"	"6"	"432"	"-"	"432"	""
"31"	"24"	"15A"	"3"	"33"	"177"	"15"	"3"	"0"	"3"	"1"	"8"	"5"	"9"	"2"	"13"	"272"	"-"	"272"	""
"32"	"25"	"16"	"34"	"28"	"178"	"143"	"13"	"1"	"4"	"9"	"22"	"3"	"1"	"0"	"14"	"450"	"-"	"450"	""
"33"	"26"	"17"	"5"	"9"	"152"	"70"	"4"	"2"	"0"	"0"	"9"	"0"	"4"	"3"	"27"	"285"	"-"	"285"	""
"34"	"27"	"18"	"6"	"37"	"103"	"69"	"5"	"1"	"1"	"0"	"10"	"4"	"2"	"3"	"5"	"246"	"-"	"246"	""
"35"	"28"	"19"	"8"	"27"	"172"	"124"	"9"	"3"	"4"	"3"	"16"	"9"	"1"	"1"	"6"	"383"	"-"	"383"	""
"36"	"29"	"20"	"20"	"191"	"35"	"91"	"9"	"6"	"7"	"5"	"24"	"6"	"3"	"11"	"5"	"413"	"-"	"413"	""
"37"	"30"	"21"	"13"	"223"	"103"	"22"	"4"	"2"	"5"	"2"	"6"	"3"	"15"	"18"	"22"	"438"	"-"	"438"	""
"38"	"31"	"21A"	"6"	"106"	"131"	"7"	"1"	"2"	"1"	"0"	"1"	"1"	"1"	"3"	"2"	"262"	"-"	"262"	""
"39"	"32"	"22"	"32"	"78"	"238"	"197"	"13"	"6"	"6"	"10"	"26"	"19"	"8"	"5"	"21"	"659"	"-"	"659"	""
"40"	"33"	"23"	"8"	"316"	"79"	"6"	"2"	"1"	"6"	"2"	"1"	"3"	"3"	"11"	"17"	"455"	"-"	"455"	""
"41"	"34"	"24"	"8"	"54"	"206"	"157"	"4"	"2"	"3"	"1"	"9"	"7"	"2"	"3"	"20"	"476"	"-"	"476"	""
"42"	"35"	"25"	"14"	"11"	"138"	"74"	"8"	"2"	"5"	"3"	"8"	"8"	"7"	"3"	"13"	"294"	"-"	"294"	""
"43"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"44"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"46"	"36"	"25A"	"7"	"5"	"60"	"122"	"7"	"2"	"0"	"1"	"4"	"4"	"5"	"1"	"5"	"223"	"-"	"223"	""
"47"	"37"	"26"	"5"	"81"	"146"	"161"	"7"	"1"	"5"	"7"	"6"	"8"	"5"	"15"	"19"	"466"	"-"	"466"	""
"48"	"38"	"27"	"8"	"128"	"190"	"34"	"5"	"3"	"5"	"3"	"8"	"2"	"6"	"7"	"8"	"407"	"-"	"407"	""
"49"	"39"	"27A"	"13"	"3"	"159"	"26"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"214"	"-"	"214"	""
"50"	"40"	"28"	"15"	"23"	"65"	"263"	"16"	"3"	"5"	"9"	"45"	"21"	"6"	"7"	"32"	"510"	"-"	"510"	""
"51"	"41"	"29"	"5"	"93"	"125"	"49"	"5"	"2"	"3"	"4"	"9"	"8"	"2"	"8"	"16"	"329"	"-"	"329"	""
"52"	"42"	"29A"	"3"	"114"	"40"	"7"	"1"	"0"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"172"	"-"	"172"	""
"53"	"43"	"30"	"6"	"89"	"76"	"87"	"4"	"3"	"2"	"8"	"13"	"5"	"4"	"7"	"14"	"318"	"-"	"318"	""
"54"	"44"	"31"	"12"	"282"	"103"	"22"	"4"	"3"	"3"	"3"	"0"	"6"	"4"	"8"	"10"	"460"	"-"	"460"	""
"55"	"45"	"32"	"1"	"186"	"66"	"6"	"3"	"3"	"2"	"1"	"3"	"5"	"2"	"4"	"14"	"296"	"-"	"296"	""
"56"	"46"	"33"	"10"	"257"	"155"	"17"	"5"	"3"	"3"	"6"	"4"	"4"	"13"	"8"	"12"	"497"	"-"	"497"	""
"57"	"47"	"34"	"3"	"4"	"177"	"80"	"1"	"1"	"2"	"2"	"2"	"6"	"6"	"1"	"6"	"291"	"-"	"291"	""
"58"	"48"	"34A"	"13"	"5"	"217"	"88"	"4"	"2"	"1"	"2"	"4"	"3"	"10"	"2"	"12"	"363"	"-"	"363"	""
"59"	"49"	"35"	"5"	"3"	"146"	"67"	"2"	"1"	"1"	"3"	"5"	"3"	"13"	"3"	"11"	"263"	"-"	"263"	""
"60"	"50"	"36"	"11"	"3"	"86"	"134"	"4"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"244"	"-"	"244"	""
"61"	"51"	"37"	"8"	"4"	"126"	"99"	"6"	"0"	"1"	"1"	"2"	"6"	"3"	"0"	"1"	"257"	"-"	"257"	""
"62"	"52"	"38"	"27"	"82"	"427"	"32"	"6"	"5"	"8"	"5"	"10"	"4"	"9"	"4"	"12"	"631"	"-"	"631"	""
"63"	"53"	"39"	"16"	"51"	"194"	"122"	"11"	"3"	"9"	"6"	"6"	"5"	"5"	"2"	"3"	"433"	"-"	"433"	""
"64"	"54"	"39A"	"7"	"54"	"155"	"19"	"3"	"5"	"3"	"2"	"3"	"1"	"3"	"1"	"3"	"259"	"-"	"259"	""
"65"	"55"	"40"	"9"	"174"	"151"	"42"	"2"	"0"	"7"	"3"	"12"	"5"	"6"	"3"	"20"	"434"	"-"	"434"	""
"66"	"56"	"40A"	"10"	"56"	"120"	"34"	"2"	"2"	"2"	"2"	"6"	"2"	"2"	"2"	"10"	"250"	"-"	"250"	""
"67"	"57"	"41"	"10"	"4"	"152"	"158"	"8"	"0"	"2"	"4"	"12"	"6"	"3"	"3"	"20"	"382"	"-"	"382"	""
"68"	"58"	"42"	"3"	"3"	"33"	"202"	"9"	"1"	"1"	"4"	"12"	"10"	"1"	"1"	"5"	"285"	"-"	"285"	""
"69"	"59"	"42A"	"7"	"74"	"51"	"93"	"9"	"3"	"0"	"1"	"7"	"1"	"1"	"3"	"4"	"254"	"-"	"254"	""
"70"	"60"	"43"	"11"	"51"	"77"	"119"	"5"	"2"	"3"	"5"	"4"	"11"	"2"	"6"	"17"	"313"	"-"	"313"	""
"71"	"61"	"44"	"10"	"82"	"206"	"35"	"4"	"0"	"2"	"6"	"11"	"4"	"4"	"10"	"21"	"395"	"-"	"395"	""
"72"	"62"	"45"	"13"	"18"	"434"	"33"	"9"	"2"	"7"	"6"	"2"	"3"	"12"	"1"	"18"	"558"	"-"	"558"	""
"73"	"63"	"46"	"7"	"9"	"58"	"273"	"8"	"0"	"7"	"4"	"22"	"26"	"5"	"5"	"19"	"443"	"-"	"443"	""
"74"	"64"	"47"	"10"	"36"	"125"	"97"	"4"	"5"	"4"	"3"	"15"	"3"	"1"	"3"	"7"	"313"	"-"	"313"	""
"75"	"65"	"47A"	"7"	"62"	"237"	"15"	"1"	"1"	"0"	"1"	"8"	"3"	"5"	"6"	"13"	"359"	"-"	"359"	""
"76"	"66"	"48"	"13"	"45"	"247"	"58"	"4"	"8"	"6"	"9"	"23"	"11"	"15"	"8"	"29"	"476"	"-"	"476"	""
"77"	"67"	"48A"	"9"	"68"	"108"	"79"	"6"	"2"	"1"	"2"	"11"	"5"	"4"	"2"	"4"	"301"	"-"	"301"	""
"78"	"68"	"49"	"23"	"7"	"114"	"161"	"9"	"2"	"3"	"1"	"10"	"4"	"9"	"5"	"14"	"362"	"-"	"362"	""
"79"	"69"	"49A"	"7"	"51"	"111"	"60"	"5"	"3"	"2"	"0"	"4"	"3"	"5"	"8"	"19"	"278"	"-"	"278"	""
"80"	"70"	"50"	"14"	"75"	"69"	"202"	"9"	"7"	"4"	"2"	"16"	"10"	"1"	"3"	"9"	"421"	"-"	"421"	""
"81"	"71"	"50A"	"13"	"75"	"104"	"79"	"9"	"3"	"2"	"0"	"11"	"6"	"1"	"3"	"7"	"313"	"-"	"313"	""
"82"	"72"	"51"	"24"	"106"	"158"	"128"	"7"	"3"	"5"	"5"	"18"	"12"	"5"	"10"	"29"	"510"	"-"	"510"	""
"83"	"73"	"51A"	"16"	"47"	"57"	"50"	"6"	"4"	"5"	"2"	"9"	"9"	"5"	"8"	"11"	"229"	"-"	"229"	""
"84"	"74"	"52"	"32"	"180"	"100"	"126"	"5"	"3"	"3"	"1"	"14"	"3"	"5"	"3"	"9"	"484"	"-"	"484"	""
"85"	"75"	"53"	"102"	"82"	"29"	"165"	"11"	"3"	"2"	"3"	"16"	"8"	"2"	"7"	"15"	"445"	"-"	"445"	""
"86"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"87"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"89"	"76"	"54"	"18"	"18"	"227"	"82"	"5"	"4"	"2"	"2"	"9"	"10"	"17"	"2"	"17"	"413"	"-"	"413"	""
"90"	"77"	"55"	"31"	"35"	"231"	"120"	"4"	"5"	"1"	"2"	"12"	"10"	"5"	"4"	"17"	"477"	"-"	"477"	""
"91"	"78"	"56"	"8"	"195"	"67"	"17"	"3"	"0"	"2"	"0"	"4"	"3"	"5"	"4"	"10"	"318"	"-"	"318"	""
"92"	"79"	"57"	"13"	"246"	"34"	"20"	"0"	"2"	"1"	"2"	"1"	"3"	"2"	"4"	"4"	"332"	"-"	"332"	""
"93"	"80"	"58"	"9"	"285"	"59"	"29"	"2"	"1"	"3"	"1"	"2"	"2"	"3"	"3"	"4"	"403"	"-"	"403"	""
"94"	"81"	"59"	"17"	"6"	"135"	"345"	"20"	"6"	"7"	"5"	"29"	"12"	"6"	"8"	"31"	"627"	"-"	"627"	""
"95"	"82"	"60"	"23"	"98"	"284"	"33"	"7"	"1"	"2"	"1"	"6"	"2"	"5"	"7"	"22"	"491"	"-"	"491"	""
"96"	"83"	"60A"	"10"	"21"	"176"	"39"	"3"	"1"	"0"	"3"	"2"	"0"	"2"	"1"	"3"	"261"	"-"	"261"	""
"97"	"84"	"61"	"11"	"223"	"147"	"27"	"3"	"2"	"4"	"4"	"5"	"9"	"4"	"15"	"18"	"472"	"-"	"472"	""
"98"	"85"	"62"	"11"	"32"	"255"	"73"	"5"	"3"	"2"	"3"	"7"	"8"	"4"	"4"	"14"	"421"	"-"	"421"	""
"99"	"86"	"63"	"4"	"288"	"69"	"6"	"2"	"3"	"4"	"1"	"1"	"4"	"3"	"11"	"4"	"400"	"-"	"400"	""
"100"	"87"	"63A"	"4"	"182"	"12"	"2"	"1"	"2"	"0"	"0"	"2"	"1"	"3"	"1"	"2"	"212"	"-"	"212"	""
"101"	"88"	"64"	"9"	"74"	"288"	"23"	"5"	"4"	"1"	"1"	"3"	"5"	"4"	"3"	"9"	"429"	"-"	"429"	""
"102"	"89"	"64A"	"7"	"98"	"138"	"13"	"4"	"1"	"3"	"3"	"2"	"0"	"2"	"5"	"11"	"287"	"-"	"287"	""
"103"	"90"	"65"	"7"	"7"	"110"	"54"	"4"	"1"	"0"	"1"	"6"	"2"	"3"	"2"	"6"	"203"	"-"	"203"	""
"104"	"91"	"66"	"8"	"146"	"71"	"4"	"0"	"2"	"1"	"1"	"3"	"3"	"1"	"7"	"5"	"252"	"-"	"252"	""
"105"	"92"	"67"	"18"	"169"	"178"	"24"	"4"	"1"	"4"	"2"	"2"	"5"	"5"	"6"	"13"	"431"	"-"	"431"	""
"106"	"93"	"68"	"20"	"229"	"200"	"69"	"4"	"6"	"5"	"6"	"11"	"7"	"2"	"8"	"14"	"581"	"-"	"581"	""
"107"	"94"	"69"	"22"	"159"	"296"	"14"	"8"	"1"	"2"	"0"	"0"	"4"	"3"	"4"	"18"	"531"	"-"	"531"	""
"108"	"95"	"70"	"14"	"157"	"211"	"24"	"4"	"2"	"12"	"7"	"5"	"6"	"5"	"6"	"7"	"460"	"-"	"460"	""
"109"	"96"	"70A"	"10"	"117"	"60"	"4"	"4"	"1"	"1"	"2"	"5"	"7"	"6"	"12"	"17"	"246"	"-"	"246"	""
"110"	"97"	"71"	"22"	"266"	"266"	"36"	"8"	"7"	"4"	"8"	"10"	"8"	"10"	"15"	"28"	"688"	"-"	"688"	""
"111"	"98"	"72"	"15"	"98"	"340"	"49"	"7"	"6"	"7"	"5"	"5"	"3"	"7"	"2"	"9"	"553"	"-"	"553"	""
"112"	"99"	"72A"	"8"	"107"	"189"	"17"	"3"	"3"	"2"	"2"	"2"	"1"	"1"	"0"	"4"	"339"	"-"	"339"	""
"113"	"100"	"73"	"9"	"270"	"153"	"10"	"0"	"1"	"2"	"0"	"1"	"2"	"1"	"4"	"12"	"465"	"-"	"465"	""
"114"	"101"	"73A"	"10"	"227"	"21"	"9"	"1"	"1"	"2"	"0"	"1"	"2"	"2"	"9"	"8"	"293"	"-"	"293"	""
"115"	"102"	"74"	"14"	"188"	"252"	"23"	"5"	"8"	"2"	"4"	"3"	"8"	"15"	"7"	"26"	"555"	"-"	"555"	""
"116"	"103"	"75"	"32"	"253"	"50"	"4"	"2"	"1"	"3"	"5"	"1"	"7"	"9"	"24"	"47"	"438"	"-"	"438"	""
"117"	"104"	"75A"	"21"	"101"	"91"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"3"	"3"	"8"	"237"	"-"	"237"	""
"118"	"105"	"76"	"12"	"161"	"92"	"11"	"1"	"3"	"1"	"0"	"3"	"1"	"3"	"10"	"4"	"302"	"-"	"302"	""
"119"	"106"	"76A"	"12"	"27"	"158"	"23"	"2"	"2"	"2"	"4"	"5"	"1"	"2"	"1"	"4"	"243"	"-"	"243"	""
"120"	"107"	"77"	"19"	"132"	"107"	"14"	"5"	"2"	"6"	"1"	"1"	"5"	"6"	"11"	"10"	"319"	"-"	"319"	""
"121"	"108"	"78"	"17"	"300"	"106"	"5"	"2"	"1"	"6"	"2"	"2"	"3"	"2"	"9"	"7"	"462"	"-"	"462"	""
"122"	"109"	"79"	"29"	"240"	"183"	"26"	"5"	"5"	"5"	"1"	"1"	"5"	"2"	"8"	"14"	"524"	"-"	"524"	""
"123"	"110"	"80"	"54"	"46"	"314"	"19"	"8"	"3"	"6"	"4"	"6"	"6"	"11"	"6"	"32"	"515"	"-"	"515"	""
"124"	"111"	"80A"	"16"	"32"	"186"	"45"	"3"	"4"	"4"	"2"	"1"	"0"	"2"	"2"	"1"	"298"	"-"	"298"	""
"125"	"112"	"81"	"5"	"40"	"137"	"24"	"2"	"2"	"7"	"2"	"0"	"3"	"5"	"4"	"8"	"239"	"-"	"239"	""
"126"	"113"	"82"	"18"	"200"	"165"	"14"	"3"	"4"	"6"	"1"	"1"	"4"	"2"	"1"	"5"	"424"	"-"	"424"	""
"127"	"114"	"83"	"22"	"113"	"239"	"62"	"7"	"5"	"3"	"9"	"10"	"11"	"23"	"13"	"32"	"549"	"-"	"549"	""
"128"	"115"	"84"	"21"	"255"	"120"	"15"	"3"	"1"	"4"	"2"	"6"	"2"	"7"	"9"	"22"	"467"	"-"	"467"	""
"129"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"130"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"132"	"116"	"85"	"13"	"84"	"206"	"27"	"5"	"4"	"5"	"3"	"10"	"6"	"27"	"11"	"28"	"429"	"-"	"429"	""
"133"	"117"	"86"	"7"	"209"	"56"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"7"	"291"	"-"	"291"	""
"134"	"118"	"87"	"8"	"185"	"108"	"10"	"1"	"0"	"0"	"1"	"0"	"3"	"10"	"2"	"12"	"340"	"-"	"340"	""
"135"	"119"	"88"	"11"	"106"	"177"	"15"	"4"	"3"	"3"	"5"	"4"	"1"	"0"	"1"	"3"	"333"	"-"	"333"	""
"136"	"120"	"89"	"12"	"180"	"116"	"108"	"15"	"0"	"6"	"2"	"14"	"9"	"5"	"4"	"33"	"504"	"-"	"504"	""
"137"	"121"	"90"	"10"	"149"	"231"	"30"	"2"	"1"	"2"	"5"	"6"	"4"	"4"	"2"	"11"	"457"	"-"	"457"	""
"138"	"122"	"91"	"11"	"157"	"115"	"62"	"3"	"2"	"8"	"3"	"24"	"18"	"12"	"13"	"28"	"456"	"-"	"456"	""
"139"	"123"	"92"	"15"	"214"	"273"	"40"	"9"	"5"	"1"	"0"	"12"	"5"	"3"	"5"	"11"	"593"	"-"	"593"	""
"140"	"124"	"93"	"25"	"105"	"231"	"57"	"8"	"1"	"8"	"3"	"17"	"8"	"5"	"2"	"14"	"484"	"-"	"484"	""
"141"	"125"	"94"	"21"	"332"	"99"	"11"	"5"	"0"	"3"	"7"	"9"	"7"	"3"	"7"	"23"	"527"	"-"	"527"	""
"142"	"126"	"95"	"30"	"375"	"51"	"3"	"4"	"6"	"3"	"2"	"3"	"4"	"2"	"6"	"26"	"515"	"-"	"515"	""
"143"	"127"	"96"	"16"	"55"	"336"	"15"	"5"	"14"	"2"	"2"	"4"	"1"	"2"	"2"	"6"	"460"	"-"	"460"	""
"144"	"128"	"96A"	"8"	"143"	"77"	"6"	"2"	"1"	"2"	"0"	"1"	"2"	"1"	"5"	"5"	"253"	"-"	"253"	""
"145"	"129"	"97"	"23"	"30"	"600"	"41"	"7"	"4"	"3"	"2"	"4"	"0"	"2"	"3"	"6"	"725"	"-"	"725"	""
"146"	"130"	"98"	"10"	"345"	"104"	"15"	"4"	"3"	"2"	"2"	"4"	"9"	"11"	"27"	"27"	"563"	"-"	"563"	""
"147"	"131"	"99"	"19"	"299"	"147"	"43"	"7"	"3"	"3"	"12"	"1"	"14"	"9"	"19"	"36"	"612"	"-"	"612"	""
"148"	"132"	"100"	"26"	"358"	"153"	"11"	"2"	"2"	"3"	"3"	"4"	"2"	"1"	"8"	"12"	"585"	"-"	"585"	""
"149"	"133"	"101"	"21"	"281"	"71"	"11"	"3"	"4"	"5"	"5"	"5"	"9"	"10"	"30"	"36"	"491"	"-"	"491"	""
"150"	"134"	"102"	"18"	"135"	"121"	"56"	"2"	"2"	"8"	"3"	"17"	"8"	"14"	"18"	"30"	"432"	"-"	"432"	""
"151"	"135"	"103"	"5"	"133"	"34"	"4"	"0"	"2"	"2"	"0"	"1"	"3"	"1"	"8"	"24"	"217"	"-"	"217"	""
"152"	"136"	"103A"	"12"	"266"	"24"	"5"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"4"	"13"	"332"	"-"	"332"	""
"153"	"137"	"104"	"11"	"120"	"174"	"18"	"6"	"2"	"6"	"1"	"0"	"2"	"5"	"16"	"16"	"377"	"-"	"377"	""
"154"	"138"	"104A"	"8"	"121"	"88"	"19"	"2"	"2"	"2"	"2"	"2"	"5"	"6"	"1"	"12"	"270"	"-"	"270"	""
"155"	"139"	"105"	"6"	"211"	"33"	"4"	"2"	"2"	"2"	"0"	"1"	"0"	"0"	"5"	"14"	"280"	"-"	"280"	""
"156"	"140"	"106"	"25"	"350"	"53"	"9"	"3"	"2"	"6"	"2"	"0"	"3"	"3"	"6"	"9"	"471"	"-"	"471"	""
"157"	"141"	"107"	"18"	"179"	"173"	"16"	"11"	"4"	"6"	"2"	"2"	"2"	"0"	"5"	"11"	"429"	"-"	"429"	""
"158"	"142"	"107A"	"6"	"112"	"51"	"6"	"2"	"3"	"2"	"0"	"1"	"4"	"7"	"8"	"12"	"214"	"-"	"214"	""
"159"	"143"	"108"	"20"	"148"	"150"	"17"	"2"	"5"	"5"	"1"	"2"	"5"	"8"	"13"	"21"	"397"	"-"	"397"	""
"160"	"144"	"108A"	"6"	"98"	"88"	"5"	"1"	"0"	"2"	"0"	"0"	"5"	"5"	"4"	"3"	"217"	"-"	"217"	""
"161"	"145"	"109"	"18"	"401"	"53"	"12"	"2"	"2"	"3"	"4"	"3"	"3"	"7"	"8"	"15"	"531"	"-"	"531"	""
"162"	"146"	"109A"	"8"	"138"	"19"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"5"	"2"	"178"	"-"	"178"	""
"163"	"147"	"110"	"23"	"405"	"56"	"6"	"3"	"0"	"2"	"2"	"3"	"3"	"1"	"14"	"31"	"549"	"-"	"549"	""
"164"	"148"	"111"	"19"	"311"	"173"	"10"	"3"	"1"	"4"	"4"	"2"	"4"	"4"	"5"	"23"	"563"	"-"	"563"	""
"165"	"149"	"112"	"14"	"145"	"208"	"28"	"2"	"2"	"2"	"0"	"2"	"3"	"2"	"5"	"2"	"415"	"-"	"415"	""
"166"	"150"	"113"	"6"	"6"	"170"	"241"	"7"	"3"	"3"	"3"	"13"	"6"	"5"	"3"	"10"	"476"	"-"	"476"	""
"167"	"151"	"114"	"7"	"21"	"129"	"150"	"15"	"4"	"0"	"6"	"16"	"11"	"5"	"4"	"17"	"385"	"-"	"385"	""
"168"	"152"	"115"	"20"	"82"	"264"	"30"	"6"	"6"	"9"	"9"	"2"	"7"	"5"	"3"	"9"	"452"	"-"	"452"	""
"169"	"153"	"115A"	"9"	"86"	"44"	"12"	"1"	"3"	"7"	"4"	"1"	"5"	"8"	"5"	"6"	"191"	"-"	"191"	""
