"X."	"X..1"	"X..2"	"X..3"	"X018.KESARIYA"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"16"	"11"	"A"	"538"	"2"	"14"	"71"	"9"	"141"	"17"	"5"	"5"	"4"	"5"	"2"	"2"	"7"	"282"
"17"	"12"	""	"859"	"2"	"13"	"141"	"70"	"115"	"49"	"12"	"9"	"2"	"5"	"8"	"2"	"6"	"432"
"18"	"13"	""	"1127"	"2"	"11"	"171"	"121"	"99"	"13"	"13"	"13"	"5"	"7"	"11"	"9"	"12"	"485"
"19"	"14"	""	"732"	"2"	"6"	"12"	"56"	"148"	"70"	"3"	"11"	"5"	"8"	"5"	"3"	"10"	"337"
"20"	"15"	""	"1329"	"2"	"29"	"24"	"131"	"131"	"59"	"4"	"1"	"1"	"6"	"6"	"9"	"7"	"408"
"21"	"16"	""	"1301"	"2"	"8"	"76"	"34"	"254"	"21"	"4"	"9"	"4"	"6"	"8"	"8"	"12"	"444"
"22"	"17"	""	"776"	"2"	"5"	"176"	"97"	"119"	"28"	"2"	"4"	"3"	"1"	"4"	"7"	"15"	"461"
"23"	"18"	""	"475"	"2"	"13"	"90"	"6"	"97"	"17"	"0"	"1"	"1"	"0"	"6"	"1"	"1"	"233"
"24"	"19"	""	"1248"	"3"	"24"	"257"	"44"	"125"	"24"	"7"	"13"	"1"	"3"	"17"	"9"	"16"	"540"
"25"	"20"	""	"1381"	"3"	"54"	"238"	"20"	"198"	"25"	"16"	"23"	"5"	"6"	"22"	"11"	"12"	"630"
"26"	"21"	""	"1175"	"3"	"8"	"150"	"69"	"332"	"11"	"3"	"2"	"2"	"4"	"5"	"3"	"3"	"592"
"27"	"22"	""	"1262"	"3"	"7"	"300"	"126"	"92"	"5"	"2"	"3"	"1"	"1"	"5"	"2"	"4"	"548"
"28"	"23"	""	"836"	"3"	"0"	"19"	"37"	"389"	"5"	"1"	"0"	"2"	"2"	"0"	"5"	"1"	"461"
"29"	"24"	""	"970"	"3"	"9"	"94"	"53"	"271"	"15"	"8"	"11"	"6"	"9"	"7"	"12"	"38"	"533"
"30"	"25"	""	"1326"	"3"	"24"	"59"	"38"	"411"	"13"	"3"	"6"	"5"	"4"	"5"	"9"	"6"	"583"
"31"	"26"	""	"928"	"3"	"5"	"141"	"13"	"241"	"5"	"0"	"5"	"0"	"2"	"0"	"5"	"4"	"421"
"32"	"27"	""	"963"	"3"	"10"	"52"	"96"	"170"	"39"	"4"	"4"	"7"	"6"	"18"	"9"	"11"	"426"
"33"	"28"	""	"1096"	"3"	"68"	"281"	"23"	"65"	"8"	"6"	"26"	"3"	"4"	"11"	"7"	"7"	"509"
"34"	"29"	""	"987"	"4"	"7"	"132"	"22"	"138"	"6"	"6"	"13"	"1"	"9"	"11"	"21"	"10"	"376"
"35"	"30"	""	"695"	"4"	"9"	"23"	"36"	"201"	"6"	"3"	"3"	"3"	"2"	"1"	"5"	"9"	"301"
"36"	"31"	""	"1152"	"4"	"32"	"185"	"26"	"168"	"16"	"4"	"8"	"3"	"8"	"16"	"14"	"18"	"498"
"37"	"32"	""	"1097"	"4"	"60"	"280"	"20"	"70"	"24"	"4"	"8"	"7"	"0"	"2"	"7"	"2"	"484"
"38"	"33"	""	"935"	"4"	"5"	"125"	"16"	"327"	"9"	"1"	"2"	"4"	"2"	"4"	"42"	"5"	"542"
"39"	"34"	""	"1063"	"4"	"57"	"179"	"27"	"167"	"16"	"6"	"10"	"4"	"5"	"19"	"7"	"15"	"512"
"40"	"35"	""	"938"	"4"	"88"	"58"	"7"	"213"	"40"	"3"	"8"	"0"	"2"	"4"	"0"	"1"	"424"
"41"	"36"	""	"739"	"4"	"24"	"43"	"17"	"193"	"15"	"1"	"4"	"4"	"1"	"2"	"1"	"1"	"306"
"42"	"37"	"A"	"652"	"4"	"28"	"111"	"33"	"59"	"17"	"6"	"0"	"5"	"1"	"4"	"4"	"6"	"274"
"43"	"37"	""	"873"	"4"	"12"	"197"	"52"	"29"	"3"	"1"	"2"	"4"	"3"	"8"	"2"	"9"	"322"
"44"	"38"	""	"936"	"5"	"36"	"126"	"116"	"95"	"12"	"10"	"6"	"4"	"6"	"9"	"8"	"15"	"443"
"45"	"39"	""	"906"	"5"	"33"	"193"	"5"	"168"	"11"	"5"	"11"	"3"	"2"	"9"	"4"	"13"	"457"
"46"	"40"	""	"1187"	"5"	"36"	"140"	"16"	"238"	"72"	"9"	"11"	"7"	"9"	"6"	"8"	"13"	"565"
"47"	"41"	""	"1310"	"5"	"22"	"196"	"75"	"215"	"32"	"3"	"8"	"6"	"9"	"12"	"11"	"11"	"600"
"48"	"42"	""	"1105"	"5"	"19"	"86"	"134"	"102"	"43"	"3"	"3"	"3"	"4"	"4"	"4"	"9"	"414"
"49"	"43"	"A"	"645"	"5"	"28"	"65"	"5"	"88"	"17"	"0"	"2"	"0"	"0"	"50"	"4"	"2"	"261"
"50"	"43"	""	"899"	"5"	"31"	"128"	"9"	"101"	"27"	"10"	"9"	"3"	"3"	"33"	"9"	"20"	"383"
"51"	"44"	"A"	"613"	"5"	"23"	"85"	"8"	"91
1"	"of 5 16"	"4"	"12"	"2"	"6"	"9"	"10"	"8"	"274"
"52"	"44"	""	"903"	"5"	"92"	"136"	"16"	"52"	"19"	"4"	"11"	"5"	"5"	"72"	"5"	"10"	"427"
"53"	""	""	""	""	"018-KESARIYA"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"57"	"45"	""	"921"	"5"	"27"	"53"	"19"	"96"	"72"	"2"	"6"	"6"	"8"	"83"	"26"	"30"	"428"
"58"	"46"	""	"676"	"6"	"74"	"21"	"4"	"149"	"3"	"1"	"2"	"4"	"1"	"17"	"8"	"6"	"290"
"59"	"47"	""	"1045"	"6"	"19"	"113"	"16"	"233"	"6"	"9"	"8"	"9"	"7"	"8"	"8"	"29"	"465"
"60"	"48"	""	"697"	"6"	"4"	"120"	"69"	"72"	"6"	"0"	"5"	"0"	"4"	"6"	"5"	"7"	"298"
"61"	"49"	"A"	"614"	"6"	"8"	"117"	"20"	"99"	"4"	"3"	"2"	"0"	"0"	"2"	"1"	"0"	"256"
"62"	"49"	""	"957"	"6"	"5"	"62"	"25"	"245"	"17"	"6"	"10"	"4"	"9"	"13"	"6"	"16"	"418"
"63"	"50"	""	"1138"	"6"	"11"	"206"	"6"	"237"	"3"	"1"	"0"	"1"	"1"	"5"	"6"	"2"	"479"
"64"	"51"	""	"1194"	"6"	"11"	"389"	"27"	"102"	"11"	"5"	"7"	"2"	"2"	"13"	"4"	"5"	"578"
"65"	"52"	""	"1310"	"6"	"13"	"172"	"33"	"271"	"18"	"4"	"10"	"6"	"6"	"12"	"11"	"23"	"579"
"66"	"53"	""	"879"	"6"	"5"	"128"	"27"	"224"	"4"	"0"	"2"	"0"	"0"	"6"	"1"	"5"	"402"
"67"	"54"	""	"949"	"6"	"7"	"91"	"4"	"243"	"7"	"6"	"3"	"2"	"1"	"3"	"1"	"7"	"375"
"68"	"54"	"A"	"539"	"7"	"6"	"40"	"8"	"198"	"11"	"4"	"5"	"0"	"4"	"2"	"1"	"2"	"281"
"69"	"55"	""	"711"	"7"	"10"	"79"	"9"	"185"	"8"	"5"	"3"	"1"	"10"	"4"	"4"	"8"	"326"
"70"	"56"	""	"1039"	"7"	"20"	"172"	"28"	"179"	"6"	"4"	"7"	"4"	"1"	"8"	"4"	"6"	"439"
"71"	"57"	""	"898"	"7"	"9"	"133"	"34"	"72"	"5"	"4"	"9"	"8"	"5"	"8"	"10"	"7"	"304"
"72"	"58"	""	"886"	"7"	"35"	"35"	"9"	"217"	"7"	"3"	"3"	"3"	"9"	"8"	"12"	"16"	"357"
"73"	"58"	"A"	"539"	"7"	"27"	"43"	"16"	"113"	"15"	"6"	"4"	"1"	"6"	"11"	"10"	"20"	"272"
"74"	"59"	""	"917"	"7"	"19"	"97"	"12"	"174"	"19"	"3"	"5"	"1"	"3"	"2"	"1"	"3"	"339"
"75"	"60"	""	"1397"	"7"	"20"	"104"	"26"	"292"	"29"	"8"	"5"	"6"	"7"	"3"	"9"	"7"	"516"
"76"	"61"	""	"1164"	"7"	"8"	"171"	"8"	"200"	"12"	"2"	"5"	"4"	"3"	"10"	"4"	"5"	"432"
"77"	"62"	""	"398"	"7"	"16"	"73"	"15"	"68"	"2"	"1"	"5"	"2"	"8"	"6"	"3"	"7"	"206"
"78"	"63"	""	"451"	"8"	"6"	"90"	"1"	"153"	"5"	"1"	"1"	"2"	"4"	"6"	"3"	"12"	"284"
"79"	"64"	""	"743"	"8"	"2"	"268"	"11"	"56"	"5"	"2"	"7"	"4"	"9"	"6"	"9"	"17"	"396"
"80"	"64"	"A"	"701"	"8"	"11"	"158"	"7"	"124"	"6"	"2"	"7"	"1"	"3"	"2"	"3"	"4"	"328"
"81"	"65"	""	"911"	"8"	"7"	"382"	"49"	"35"	"0"	"3"	"1"	"0"	"0"	"3"	"1"	"1"	"482"
"82"	"66"	""	"1099"	"8"	"6"	"370"	"29"	"80"	"3"	"1"	"4"	"2"	"0"	"1"	"1"	"6"	"503"
"83"	"67"	""	"1000"	"8"	"12"	"398"	"5"	"57"	"6"	"6"	"12"	"5"	"4"	"6"	"2"	"3"	"516"
"84"	"68"	""	"729"	"8"	"8"	"79"	"9"	"189"	"10"	"5"	"3"	"7"	"12"	"12"	"12"	"13"	"359"
"85"	"69"	""	"918"	"8"	"15"	"110"	"12"	"169"	"13"	"8"	"11"	"7"	"2"	"6"	"7"	"22"	"382"
"86"	"70"	""	"964"	"8"	"5"	"34"	"12"	"214"	"11"	"3"	"2"	"0"	"2"	"3"	"1"	"6"	"293"
"87"	"71"	""	"729"	"8"	"8"	"39"	"16"	"108"	"3"	"5"	"1"	"2"	"2"	"3"	"2"	"5"	"194"
"88"	"72"	""	"814"	"9"	"7"	"43"	"6"	"280"	"4"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"347"
"89"	"72"	"A"	"631"	"9"	"2"	"79"	"2"	"81"	"2"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"175"
"90"	"73"	""	"1117"	"9"	"17"	"201"	"9"	"230"	"11"	"2"	"3"	"2"	"3"	"4"	"2"	"3"	"487"
"91"	"74"	""	"821"	"9"	"30"	"107"	"12"	"174"	"5"	"2"	"3"	"2"	"3"	"1"	"1"	"0"	"340"
"92"	"75"	""	"730"	"9"	"0"	"128"	"3"	"47"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"0"	"184"
"93"	"76"	""	"381"	"9"	"5"	"43"	"4"	"109"	"7"	"4"	"1"	"3"	"2"	"1"	"6"	"5"	"190"
"94"	"77"	""	"880"	"9"	"7"	"150"	"8"	"140"	"7"	"4"	"7"	"3"	"1"	"8"	"6"	"5"	"346"
"95"	"77"	"A"	"673"	"9"	"8"	"114"	"11"	"115"	"7"	"1"	"6"	"2"	"3"	"5"	"5"	"0"	"277"
"96"	"78"	"A"	"679"	"9"	"4"	"122"	"5"	"78"	"2"	"4"	"0"	"0"	"2"	"4"	"2"	"0"	"223"
"97"	"78"	""	"812"	"9"	"39"	"88"	"13"	"250"	"6"	"0"	"7"	"2"	"3"	"12"	"6"	"6"	"432"
"98"	"79"	""	"1286"	"10"	"11"	"162"	"90"	"232"	"19"	"7"	"10"	"4"	"7"	"7"	"9"	"15"	"573"
"99"	"80"	""	"890"	"10"	"1"	"107"	"8"	"246"	"7"	"10"	"8"	"3"	"2"	"30"	"9"	"9"	"440"
"100"	"80"	"A"	"669"	"10"	"10"	"33"	"8"	"332"	"16"	"3"	"4"	"0"	"2"	"2"	"2"	"3"	"415"
"101"	"81"	""	"730"	"10"	"10"	"181"	"12"	"65"	"2"	"2"	"4"	"3"	"2"	"0"	"6"	"2"	"289"
"102"	"82"	""	"1090"	"10"	"34"	"176"	"11"	"160"	"13"	"9"	"22"	"9"	"11"	"8"	"21"	"26"	"500"
"103"	"83"	""	"1273"	"10"	"34"	"173"	"7"	"182"	"8"	"3"	"3"	"5"	"8"	"6"	"15"	"10"	"454"
"104"	"84"	""	"1353"	"10"	"18"	"211"	"24"	"172
5"	"of 5 21"	"6"	"10"	"2"	"6"	"22"	"11"	"17"	"523"
"105"	"85"	""	"1002"	"10"	"12"	"46"	"26"	"222"	"65"	"10"	"7"	"2"	"10"	"2"	"8"	"15"	"425"
"106"	""	""	""	""	"018-KESARIYA"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"110"	"86"	""	"988"	"10"	"27"	"149"	"8"	"138"	"13"	"5"	"15"	"6"	"4"	"13"	"13"	"20"	"411"
"111"	"87"	""	"1035"	"10"	"9"	"157"	"34"	"102"	"9"	"3"	"8"	"6"	"7"	"16"	"5"	"6"	"362"
"112"	"88"	""	"969"	"11"	"6"	"140"	"24"	"148"	"8"	"4"	"16"	"2"	"3"	"11"	"21"	"28"	"411"
"113"	"89"	""	"910"	"11"	"14"	"122"	"95"	"115"	"14"	"7"	"9"	"6"	"5"	"13"	"2"	"2"	"404"
"114"	"90"	""	"677"	"11"	"4"	"172"	"43"	"65"	"8"	"0"	"3"	"4"	"4"	"4"	"7"	"11"	"325"
"115"	"91"	""	"866"	"11"	"17"	"158"	"14"	"114"	"14"	"8"	"4"	"3"	"4"	"11"	"8"	"6"	"361"
"116"	"92"	""	"923"	"11"	"10"	"224"	"21"	"59"	"2"	"5"	"8"	"5"	"4"	"18"	"9"	"15"	"380"
"117"	"93"	""	"734"	"11"	"8"	"118"	"36"	"107"	"11"	"1"	"6"	"1"	"1"	"6"	"4"	"10"	"309"
"118"	"94"	""	"1237"	"11"	"13"	"254"	"15"	"77"	"12"	"3"	"4"	"2"	"4"	"47"	"7"	"13"	"451"
"119"	"95"	""	"865"	"11"	"13"	"155"	"10"	"99"	"75"	"10"	"14"	"8"	"6"	"22"	"5"	"21"	"438"
"120"	"96"	""	"1062"	"11"	"17"	"133"	"7"	"162"	"69"	"6"	"11"	"2"	"6"	"3"	"5"	"5"	"426"
"121"	"97"	""	"912"	"11"	"2"	"171"	"5"	"136"	"12"	"3"	"1"	"1"	"0"	"3"	"3"	"3"	"340"
"122"	"98"	""	"1008"	"12"	"33"	"154"	"31"	"194"	"14"	"7"	"11"	"3"	"6"	"9"	"6"	"11"	"479"
"123"	"99"	""	"1255"	"12"	"25"	"205"	"6"	"259"	"16"	"8"	"10"	"3"	"7"	"12"	"9"	"19"	"579"
"124"	"100"	""	"784"	"12"	"12"	"252"	"5"	"91"	"7"	"7"	"16"	"5"	"3"	"9"	"7"	"10"	"424"
"125"	"100"	"A"	"526"	"12"	"3"	"163"	"9"	"91"	"7"	"3"	"3"	"2"	"5"	"3"	"11"	"8"	"308"
"126"	"101"	"A"	"594"	"12"	"13"	"230"	"2"	"58"	"4"	"2"	"6"	"2"	"1"	"4"	"3"	"4"	"329"
"127"	"101"	""	"861"	"12"	"7"	"42"	"6"	"296"	"15"	"6"	"3"	"4"	"9"	"7"	"5"	"13"	"413"
"128"	"102"	""	"1262"	"12"	"16"	"345"	"11"	"143"	"13"	"7"	"24"	"8"	"11"	"34"	"13"	"25"	"650"
"129"	"103"	""	"1071"	"12"	"7"	"130"	"6"	"240"	"12"	"1"	"12"	"1"	"3"	"8"	"13"	"11"	"444"
"130"	"104"	""	"952"	"12"	"7"	"159"	"8"	"95"	"9"	"3"	"18"	"9"	"6"	"14"	"16"	"33"	"377"
"131"	"105"	""	"953"	"12"	"28"	"187"	"20"	"76"	"11"	"4"	"8"	"4"	"6"	"12"	"9"	"6"	"371"
"132"	"106"	""	"777"	"13"	"18"	"156"	"3"	"43"	"15"	"1"	"4"	"6"	"3"	"3"	"8"	"8"	"268"
"133"	"107"	""	"985"	"13"	"19"	"251"	"6"	"33"	"5"	"0"	"5"	"1"	"6"	"8"	"3"	"5"	"342"
"134"	"108"	""	"1330"	"13"	"58"	"192"	"14"	"204"	"7"	"2"	"3"	"2"	"3"	"6"	"6"	"6"	"503"
"135"	"109"	""	"942"	"13"	"11"	"125"	"5"	"228"	"6"	"1"	"7"	"3"	"4"	"7"	"1"	"4"	"402"
"136"	"110"	""	"997"	"13"	"23"	"159"	"36"	"45"	"9"	"4"	"19"	"9"	"11"	"13"	"5"	"10"	"343"
"137"	"111"	""	"1339"	"13"	"10"	"361"	"15"	"92"	"9"	"5"	"8"	"1"	"5"	"15"	"7"	"7"	"535"
"138"	"112"	""	"1063"	"13"	"17"	"217"	"11"	"164"	"11"	"4"	"21"	"4"	"2"	"8"	"7"	"9"	"475"
"139"	"113"	""	"1131"	"13"	"61"	"218"	"6"	"67"	"8"	"2"	"4"	"1"	"0"	"9"	"6"	"7"	"389"
"140"	"114"	""	"1178"	"13"	"70"	"240"	"17"	"156"	"6"	"4"	"7"	"0"	"3"	"19"	"17"	"16"	"555"
"141"	"115"	""	"1373"	"13"	"69"	"274"	"71"	"150"	"12"	"6"	"10"	"0"	"0"	"7"	"7"	"2"	"608"
"142"	"116"	""	"1171"	"14"	"74"	"152"	"11"	"222"	"13"	"1"	"12"	"3"	"6"	"7"	"23"	"9"	"533"
"143"	"117"	""	"1323"	"14"	"22"	"199"	"85"	"141"	"24"	"9"	"16"	"6"	"7"	"18"	"8"	"3"	"538"
"144"	"118"	""	"1005"	"14"	"4"	"87"	"7"	"213"	"6"	"2"	"5"	"5"	"3"	"3"	"5"	"31"	"371"
"145"	"119"	""	"1234"	"14"	"23"	"68"	"18"	"279"	"9"	"1"	"9"	"3"	"4"	"9"	"3"	"11"	"437"
"146"	"120"	""	"1232"	"14"	"22"	"114"	"64"	"206"	"10"	"11"	"5"	"5"	"2"	"12"	"9"	"9"	"469"
"147"	"121"	""	"856"	"14"	"5"	"84"	"5"	"145"	"4"	"1"	"2"	"2"	"1"	"5"	"12"	"6"	"272"
"148"	"122"	""	"843"	"14"	"14"	"133"	"24"	"110"	"7"	"4"	"19"	"9"	"2"	"12"	"5"	"18"	"357"
"149"	"123"	""	"1230"	"14"	"10"	"112"	"27"	"256"	"13"	"4"	"4"	"5"	"1"	"22"	"11"	"19"	"484"
"150"	"124"	""	"708"	"14"	"13"	"109"	"17"	"84"	"15"	"6"	"6"	"1"	"3"	"11"	"8"	"9"	"282"
"151"	"125"	""	"1060"	"14"	"9"	"60"	"6"	"262"	"17"	"6"	"2"	"11"	"5"	"8"	"10"	"38"	"434"
"152"	"126"	""	"832"	"15"	"17"	"162"	"20"	"166"	"11"	"8"	"4"	"3"	"2"	"7"	"7"	"7"	"414"
"153"	"127"	""	"1308"	"15"	"5"	"207"	"16"	"174"	"9"	"5"	"8"	"1"	"3"	"12"	"3"	"6"	"449"
"154"	"128"	""	"1095"	"15"	"2"	"142"	"25"	"170"	"8"	"2"	"5"	"0"	"0"	"12"	"2"	"1"	"369"
"155"	"129"	""	"1062"	"15"	"8"	"206"	"4"	"213"	"6"	"3"	"8"	"3"	"4"	"5"	"1"	"3"	"464"
"156"	"130"	""	"1280"	"15"	"15"	"206"	"11"	"175"	"15"	"6"	"9"	"7"	"11"	"10"	"6"	"8"	"479"
"157"	"131"	""	"1224"	"15"	"19"	"78"	"53"	"253
0"	"of 5 16"	"4"	"4"	"4"	"11"	"23"	"6"	"16"	"484"
"158"	"132"	""	"783"	"15"	"17"	"24"	"12"	"141"	"10"	"4"	"4"	"4"	"3"	"5"	"1"	"12"	"237"
"159"	""	""	""	""	"018-KESARIYA"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"162"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"163"	"133"	""	"415"	"15"	"4"	"24"	"8"	"110"	"16"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"170"
"164"	"134"	""	"767"	"15"	"20"	"110"	"10"	"183"	"6"	"3"	"4"	"4"	"4"	"7"	"5"	"6"	"362"
"165"	"135"	""	"803"	"15"	"15"	"174"	"17"	"131"	"9"	"4"	"8"	"4"	"2"	"9"	"3"	"9"	"385"
"166"	"136"	""	"1028"	"16"	"10"	"244"	"62"	"136"	"7"	"3"	"13"	"5"	"2"	"3"	"2"	"7"	"494"
"167"	"137"	""	"750"	"16"	"5"	"99"	"81"	"194"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"386"
"168"	"138"	""	"831"	"16"	"104"	"93"	"60"	"66"	"9"	"1"	"2"	"1"	"6"	"21"	"3"	"8"	"374"
"169"	"139"	""	"748"	"16"	"0"	"86"	"36"	"45"	"45"	"0"	"3"	"0"	"0"	"7"	"3"	"2"	"227"
"170"	"140"	""	"826"	"16"	"16"	"187"	"25"	"56"	"14"	"9"	"16"	"3"	"3"	"13"	"9"	"8"	"359"
"171"	"141"	""	"857"	"16"	"11"	"80"	"31"	"169"	"38"	"2"	"12"	"5"	"4"	"9"	"2"	"3"	"366"
"172"	"142"	""	"709"	"16"	"16"	"148"	"64"	"39"	"13"	"2"	"13"	"3"	"2"	"6"	"3"	"5"	"314"
"173"	"143"	""	"1196"	"16"	"18"	"193"	"45"	"122"	"32"	"8"	"25"	"8"	"12"	"17"	"16"	"9"	"505"
"174"	"144"	""	"837"	"16"	"12"	"197"	"51"	"24"	"1"	"2"	"8"	"1"	"5"	"24"	"3"	"9"	"337"
"175"	"144"	"A"	"636"	"16"	"3"	"191"	"45"	"72"	"5"	"2"	"8"	"2"	"2"	"14"	"10"	"10"	"364"
"176"	"145"	""	"1334"	"17"	"27"	"202"	"125"	"149"	"18"	"2"	"7"	"6"	"11"	"33"	"16"	"35"	"631"
"177"	"146"	""	"877"	"17"	"36"	"161"	"37"	"117"	"5"	"4"	"4"	"1"	"1"	"3"	"1"	"3"	"373"
"178"	"146"	"A"	"641"	"17"	"7"	"124"	"17"	"113"	"2"	"2"	"6"	"1"	"3"	"9"	"3"	"6"	"293"
"179"	"147"	""	"1271"	"17"	"28"	"144"	"58"	"271"	"27"	"3"	"15"	"5"	"6"	"15"	"8"	"13"	"593"
"180"	"148"	""	"993"	"17"	"12"	"162"	"53"	"154"	"12"	"4"	"3"	"5"	"2"	"13"	"6"	"11"	"437"
"181"	"149"	""	"1103"	"17"	"8"	"377"	"15"	"140"	"9"	"20"	"8"	"2"	"4"	"8"	"7"	"9"	"607"
"182"	"150"	""	"1054"	"17"	"31"	"142"	"70"	"170"	"35"	"7"	"11"	"4"	"6"	"13"	"0"	"9"	"498"
"183"	"151"	""	"1352"	"17"	"18"	"288"	"27"	"137"	"21"	"4"	"16"	"4"	"6"	"17"	"7"	"10"	"555"
"184"	"152"	""	"859"	"17"	"11"	"159"	"18"	"104"	"16"	"7"	"15"	"5"	"6"	"20"	"24"	"12"	"397"
