"X."	"X..1"	"X..2"	"X019.HARSIDHI"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"26"	"14"	"A"	"643"	"3"	"114"	"14"	"107"	"369"	"19"	"12"	"26"	"661"
"27"	"14"	""	"971"	"3"	"54"	"7"	"13"	"270"	"20"	"8"	"26"	"398"
"28"	"15"	"A"	"326"	"3"	"136"	"14"	"66"	"295"	"21"	"16"	"30"	"578"
"29"	"15"	""	"1091"	"3"	"27"	"0"	"65"	"94"	"11"	"5"	"11"	"213"
"30"	"16"	""	"959"	"3"	"268"	"15"	"269"	"20"	"5"	"9"	"10"	"596"
"31"	"16"	"A"	"630"	"3"	"202"	"5"	"90"	"27"	"4"	"4"	"5"	"337"
"32"	"17"	""	"994"	"3"	"274"	"9"	"105"	"100"	"7"	"10"	"23"	"528"
"33"	"17"	"A"	"585"	"3"	"65"	"9"	"130"	"106"	"5"	"2"	"14"	"331"
"34"	"18"	""	"1044"	"4"	"296"	"9"	"146"	"6"	"13"	"5"	"5"	"480"
"35"	"18"	"A"	"618"	"4"	"270"	"5"	"143"	"8"	"5"	"5"	"7"	"443"
"36"	"19"	""	"1020"	"4"	"120"	"28"	"179"	"119"	"16"	"20"	"27"	"509"
"37"	"20"	""	"876"	"4"	"109"	"11"	"231"	"46"	"8"	"11"	"18"	"434"
"38"	"21"	"A"	"641"	"4"	"250"	"14"	"238"	"68"	"15"	"13"	"18"	"616"
"39"	"21"	""	"1034"	"4"	"53"	"7"	"226"	"40"	"11"	"1"	"16"	"354"
"40"	"22"	""	"1306"	"4"	"180"	"28"	"350"	"45"	"5"	"6"	"25"	"639"
"41"	"23"	"A"	"654"	"4"	"119"	"11"	"319"	"49"	"14"	"12"	"22"	"546"
"42"	"23"	""	"1030"	"4"	"39"	"14"	"178"	"71"	"29"	"7"	"29"	"367"
"43"	"24"	""	"1118"	"4"	"127"	"13"	"255"	"20"	"35"	"16"	"23"	"489"
"44"	"25"	""	"1378"	"5"	"131"	"16"	"186"	"41"	"116"	"19"	"32"	"541"
"45"	"26"	""	"962"	"5"	"72"	"23"	"228"	"49"	"70"	"12"	"22"	"476"
"46"	"27"	"A"	"636"	"5"	"187"	"98"	"128"	"13"	"16"	"15"	"20"	"477"
"47"	"27"	""	"958"	"5"	"91"	"75"	"71"	"11"	"4"	"7"	"9"	"268"
"48"	"28"	""	"1168"	"5"	"196"	"12"	"236"	"56"	"12"	"31"	"44"	"587"
"49"	""	""	""	"019-HARSIDHI"	""	""	""	""	""	""	""	""
"50"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""
"51"	"Booth No."	"Ext."	"Voters"	"Round"	"AWADHESH PD. KUSHWAHA"	"KALIM AKHTER"	"MAHESHWAR SINGH"	"HARI SHANKAR PD. SINGH"	"AZAD LALAN PRASAD"	"WACHCHA SHAH"	"SHYAM KUMAR PRASAD"	"Total"
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"53"	"29"	""	"1278"	"5"	"119"	"23"	"312"	"42"	"65"	"12"	"24"	"597"
"54"	"30"	""	"1228"	"5"	"258"	"8"	"155"	"109"	"48"	"28"	"30"	"636"
"55"	"31"	""	"1308"	"5"	"113"	"21"	"80"	"221"	"58"	"29"	"62"	"584"
"56"	"32"	""	"1053"	"5"	"89"	"60"	"160"	"51"	"12"	"7"	"22"	"401"
"57"	"32"	"A"	"394"	"5"	"61"	"23"	"36"	"23"	"13"	"5"	"11"	"172"
"58"	"33"	""	"1093"	"6"	"128"	"20"	"233"	"46"	"30"	"9"	"35"	"501"
"59"	"33"	"A"	"415"	"6"	"60"	"17"	"56"	"13"	"4"	"3"	"13"	"166"
"60"	"34"	""	"1150"	"6"	"223"	"18"	"206"	"28"	"31"	"13"	"13"	"532"
"61"	"35"	"A"	"526"	"6"	"111"	"8"	"287"	"18"	"42"	"7"	"27"	"500"
"62"	"35"	""	"918"	"6"	"99"	"10"	"141"	"1"	"16"	"3"	"13"	"283"
"63"	"36"	""	"1239"	"6"	"211"	"20"	"237"	"31"	"8"	"18"	"31"	"556"
"64"	"37"	""	"1149"	"6"	"155"	"17"	"390"	"25"	"11"	"20"	"45"	"663"
"65"	"38"	""	"884"	"6"	"96"	"18"	"229"	"19"	"6"	"8"	"25"	"401"
"66"	"38"	"A"	"724"	"6"	"123"	"56"	"105"	"14"	"4"	"3"	"4"	"309"
"67"	"39"	""	"1324"	"6"	"170"	"7"	"280"	"94"	"8"	"10"	"23"	"592"
"68"	"40"	""	"1326"	"7"	"135"	"13"	"142"	"173"	"21"	"14"	"19"	"517"
"69"	"41"	"A"	"598"	"7"	"136"	"15"	"35"	"151"	"14"	"20"	"35"	"406"
"70"	"41"	""	"983"	"7"	"65"	"4"	"6"	"139"	"14"	"5"	"10"	"243"
"71"	"42"	""	"1036"	"7"	"193"	"22"	"55"	"59"	"18"	"4"	"6"	"357"
"72"	"42"	"A"	"482"	"7"	"76"	"10"	"45"	"100"	"9"	"6"	"12"	"258"
"73"	"43"	""	"903"	"7"	"127"	"34"	"187"	"33"	"25"	"15"	"34"	"455"
"74"	"43"	"A"	"773"	"7"	"78"	"23"	"114"	"15"	"3"	"8"	"21"	"262"
"75"	"44"	""	"1016"	"7"	"86"	"23"	"235"	"67"	"10"	"11"	"19"	"451"
"76"	"44"	"A"	"466"	"7"	"90"	"7"	"67"	"39"	"10"	"4"	"9"	"226"
"77"	"45"	"A"	"386"	"7"	"97"	"20"	"318"	"31"	"27"	"9"	"23"	"525"
"78"	"45"	""	"1026"	"8"	"21"	"2"	"79"	"26"	"17"	"1"	"6"	"152"
"79"	"46"	""	"782"	"8"	"94"	"63"	"128"	"46"	"29"	"8"	"23"	"391"
"80"	"47"	""	"1221"	"8"	"85"	"91"	"208"	"70"	"10"	"11"	"22"	"497"
"81"	"48"	""	"1053"	"8"	"27"	"271"	"70"	"45"	"2"	"0"	"7"	"422"
"82"	"48"	"A"	"409"	"8"	"6"	"106"	"1"	"46"	"2"	"1"	"0"	"162"
"83"	"49"	""	"1026"	"8"	"64"	"14"	"258"	"146"	"12"	"10"	"26"	"530"
"84"	"49"	"A"	"457"	"8"	"27"	"2"	"79"	"25"	"18"	"6"	"10"	"167"
"85"	"50"	""	"952"	"8"	"46"	"10"	"295"	"47"	"9"	"8"	"23"	"438"
"86"	"50"	"A"	"476"	"8"	"35"	"9"	"138"	"21"	"3"	"0"	"5"	"211"
"87"	"51"	""	"964"	"8"	"116"	"9"	"178"	"22"	"5"	"11"	"15"	"356"
"88"	"52"	""	"1048"	"9"	"169"	"4"	"134"	"73"	"15"	"17"	"20"	"432"
"89"	"53"	""	"951"	"9"	"201"	"23"	"175"	"43"	"11"	"7"	"22"	"482"
"90"	"53"	"A"	"648"	"9"	"92"	"4"	"148"	"24"	"14"	"10"	"21"	"313"
"91"	"54"	""	"1029"	"9"	"105"	"8"	"371"	"12"	"28"	"8"	"20"	"552"
"92"	"54"	"A"	"457"	"9"	"36"	"2"	"159"	"25"	"2"	"4"	"5"	"233"
"93"	"55"	""	"700"	"9"	"167"	"14"	"90"	"85"	"6"	"7"	"19"	"388"
"94"	"56"	""	"1396"	"9"	"276"	"13"	"216"	"54"	"7"	"10"	"35"	"611"
"95"	"57"	""	"939"	"9"	"266"	"12"	"250"	"9"	"4"	"6"	"6"	"553"
"96"	"58"	""	"1036"	"9"	"292"	"14"	"172"	"18"	"11"	"29"	"43"	"579"
"97"	"59"	""	"618"	"9"	"181"	"7"	"134"	"5"	"2"	"8"	"9"	"346"
"98"	""	""	""	"019-HARSIDHI"	""	""	""	""	""	""	""	""
"99"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""
"100"	"Booth No."	"Ext."	"Voters"	"Round"	"AWADHESH PD. KUSHWAHA"	"KALIM AKHTER"	"MAHESHWAR SINGH"	"HARI SHANKAR PD. SINGH"	"AZAD LALAN PRASAD"	"WACHCHA SHAH"	"SHYAM KUMAR PRASAD"	"Total"
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"102"	"60"	""	"1047"	"10"	"235"	"9"	"331"	"20"	"7"	"3"	"26"	"631"
"103"	"61"	""	"423"	"10"	"160"	"4"	"70"	"40"	"0"	"2"	"8"	"284"
"104"	"62"	""	"829"	"10"	"155"	"2"	"189"	"121"	"8"	"5"	"18"	"498"
"105"	"63"	""	"933"	"10"	"51"	"15"	"158"	"180"	"12"	"8"	"28"	"452"
"106"	"64"	""	"972"	"10"	"105"	"13"	"285"	"93"	"15"	"17"	"44"	"572"
"107"	"64"	"A"	"574"	"10"	"133"	"3"	"93"	"51"	"5"	"7"	"12"	"304"
"108"	"65"	""	"1215"	"10"	"162"	"15"	"347"	"122"	"9"	"7"	"40"	"702"
"109"	"66"	""	"749"	"10"	"230"	"11"	"98"	"101"	"6"	"11"	"27"	"484"
"110"	"67"	""	"642"	"10"	"56"	"2"	"75"	"48"	"2"	""	"7"	"190"
"111"	"68"	""	"1194"	"10"	"84"	"23"	"170"	"79"	"10"	"7"	"12"	"385"
"112"	"69"	""	"902"	"11"	"138"	"11"	"140"	"78"	"5"	"3"	"7"	"382"
"113"	"70"	""	"1027"	"11"	"113"	"12"	"103"	"123"	"11"	"16"	"22"	"400"
"114"	"71"	""	"999"	"11"	"150"	"12"	"119"	"85"	"6"	"4"	"10"	"386"
"115"	"72"	""	"1239"	"11"	"169"	"18"	"130"	"223"	"25"	"10"	"27"	"602"
"116"	"73"	""	"808"	"11"	"134"	"11"	"104"	"91"	"30"	"9"	"22"	"401"
"117"	"74"	""	"833"	"11"	"176"	"11"	"169"	"79"	"12"	"15"	"15"	"477"
"118"	"75"	""	"724"	"11"	"64"	"25"	"140"	"104"	"1"	"11"	"14"	"359"
"119"	"76"	""	"1071"	"11"	"218"	"8"	"127"	"70"	"7"	"17"	"37"	"484"
"120"	"77"	""	"1083"	"11"	"126"	"14"	"235"	"87"	"15"	"10"	"21"	"508"
"121"	"78"	"A"	"533"	"11"	"112"	"11"	"249"	"50"	"30"	"6"	"23"	"481"
"122"	"78"	""	"925"	"12"	"85"	"3"	"121"	"27"	"4"	"4"	"7"	"251"
"123"	"79"	""	"1380"	"12"	"99"	"14"	"388"	"94"	"15"	"4"	"23"	"637"
"124"	"80"	""	"1170"	"12"	"207"	"17"	"305"	"50"	"4"	"8"	"20"	"611"
"125"	"81"	""	"879"	"12"	"214"	"7"	"146"	"41"	"12"	"13"	"16"	"449"
"126"	"82"	""	"890"	"12"	"261"	"6"	"174"	"20"	"12"	"17"	"25"	"515"
"127"	"83"	""	"960"	"12"	"171"	"5"	"90"	"110"	"17"	"12"	"10"	"415"
"128"	"84"	""	"1321"	"12"	"173"	"12"	"209"	"212"	"30"	"16"	"31"	"683"
"129"	"85"	""	"1246"	"12"	"254"	"10"	"119"	"172"	"16"	"23"	"33"	"627"
"130"	"86"	""	"764"	"12"	"324"	"11"	"45"	"28"	"15"	"11"	"13"	"447"
"131"	"87"	""	"850"	"12"	"78"	"11"	"160"	"83"	"10"	"12"	"12"	"366"
"132"	"88"	""	"948"	"13"	"229"	"9"	"190"	"19"	"8"	"18"	"35"	"508"
"133"	"89"	""	"957"	"13"	"334"	"8"	"130"	"8"	"8"	"11"	"27"	"526"
"134"	"90"	""	"1122"	"13"	"241"	"12"	"271"	"9"	"5"	"8"	"25"	"571"
"135"	"91"	""	"921"	"13"	"156"	"13"	"197"	"36"	"25"	"23"	"42"	"492"
"136"	"92"	""	"1398"	"13"	"299"	"4"	"224"	"70"	"15"	"26"	"28"	"666"
"137"	"93"	""	"1114"	"13"	"218"	"10"	"317"	"17"	"19"	"19"	"51"	"651"
"138"	"94"	""	"1218"	"13"	"204"	"24"	"341"	"78"	"7"	"9"	"27"	"690"
"139"	"95"	"A"	"797"	"13"	"170"	"18"	"230"	"75"	"14"	"8"	"17"	"532"
"140"	"95"	""	"942"	"13"	"45"	"4"	"167"	"59"	"6"	"5"	"6"	"292"
"141"	"96"	""	"740"	"13"	"151"	"5"	"162"	"11"	"1"	"1"	"4"	"335"
"142"	"97"	"A"	"487"	"14"	"137"	"23"	"268"	"13"	"8"	"12"	"21"	"482"
"143"	"97"	""	"921"	"14"	"124"	"10"	"53"	"15"	"28"	"9"	"8"	"247"
"144"	"98"	""	"688"	"14"	"260"	"5"	"101"	"12"	"5"	"6"	"14"	"403"
"145"	"99"	""	"1304"	"14"	"261"	"6"	"350"	"24"	"4"	"10"	"16"	"671"
"146"	"100"	""	"1009"	"14"	"238"	"15"	"295"	"16"	"11"	"9"	"20"	"604"
"147"	""	""	""	"019-HARSIDHI"	""	""	""	""	""	""	""	""
"148"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""
"149"	"Booth No."	"Ext."	"Voters"	"Round"	"AWADHESH PD. KUSHWAHA"	"KALIM AKHTER"	"MAHESHWAR SINGH"	"HARI SHANKAR PD. SINGH"	"AZAD LALAN PRASAD"	"WACHCHA SHAH"	"SHYAM KUMAR PRASAD"	"Total"
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"151"	"100"	"A"	"517"	"14"	"198"	"2"	"114"	"1"	"2"	"2"	"7"	"326"
"152"	"101"	""	"876"	"14"	"60"	"9"	"324"	"15"	"8"	"6"	"18"	"440"
"153"	"102"	""	"669"	"14"	"116"	"9"	"232"	"26"	"5"	"11"	"23"	"422"
"154"	"103"	""	"827"	"14"	"111"	"9"	"231"	"40"	"8"	"8"	"30"	"437"
"155"	"104"	""	"1143"	"14"	"305"	"14"	"150"	"22"	"6"	"23"	"19"	"539"
"156"	"105"	""	"993"	"15"	"270"	"19"	"206"	"13"	"6"	"14"	"15"	"543"
"157"	"106"	""	"897"	"15"	"202"	"11"	"111"	"64"	"13"	"18"	"28"	"447"
"158"	"107"	""	"840"	"15"	"335"	"9"	"100"	"43"	"6"	"9"	"16"	"518"
"159"	"108"	""	"1203"	"15"	"371"	"19"	"106"	"23"	"8"	"17"	"34"	"578"
"160"	"109"	""	"730"	"15"	"152"	"9"	"177"	"13"	"6"	"6"	"21"	"384"
"161"	"110"	""	"916"	"15"	"309"	"9"	"139"	"7"	"3"	"12"	"18"	"497"
"162"	"111"	""	"738"	"15"	"134"	"4"	"167"	"18"	"9"	"3"	"8"	"343"
"163"	"112"	""	"993"	"15"	"514"	"8"	"36"	"2"	"2"	"12"	"20"	"594"
"164"	"113"	""	"976"	"15"	"643"	"2"	"12"	"3"	"2"	"6"	"3"	"671"
"165"	"114"	""	"1143"	"15"	"466"	"5"	"111"	"7"	"7"	"12"	"15"	"623"
"166"	"115"	""	"841"	"16"	"352"	"9"	"199"	"9"	"5"	"13"	"12"	"599"
"167"	"116"	""	"1032"	"16"	"373"	"12"	"191"	"15"	"5"	"9"	"12"	"617"
"168"	"117"	""	"830"	"16"	"209"	"9"	"131"	"33"	"7"	"8"	"7"	"404"
"169"	"118"	""	"953"	"16"	"321"	"4"	"130"	"26"	"2"	"8"	"12"	"503"
"170"	"119"	""	"1289"	"16"	"172"	"17"	"305"	"111"	"20"	"13"	"23"	"661"
"171"	"120"	"A"	"593"	"16"	"319"	"12"	"62"	"61"	"5"	"8"	"14"	"481"
"172"	"120"	""	"900"	"16"	"201"	"5"	"110"	"13"	"8"	"7"	"17"	"361"
"173"	"121"	""	"1036"	"16"	"303"	"7"	"249"	"11"	"6"	"8"	"21"	"605"
"174"	"121"	"A"	"484"	"16"	"64"	"4"	"111"	"13"	"3"	"1"	"10"	"206"
"175"	"122"	""	"1231"	"16"	"254"	"13"	"345"	"15"	"7"	"17"	"33"	"684"
"176"	"123"	""	"1171"	"17"	"201"	"15"	"252"	"143"	"22"	"12"	"27"	"672"
"177"	"124"	""	"1047"	"17"	"248"	"10"	"271"	"32"	"4"	"8"	"16"	"589"
"178"	"125"	""	"937"	"17"	"194"	"13"	"226"	"64"	"12"	"2"	"11"	"522"
"179"	"126"	""	"973"	"17"	"327"	"5"	"224"	"9"	"6"	"14"	"24"	"609"
"180"	"127"	""	"1155"	"17"	"373"	"10"	"129"	"52"	"8"	"18"	"27"	"617"
"181"	"128"	""	"1032"	"17"	"76"	"11"	"236"	"100"	"10"	"18"	"34"	"485"
"182"	"129"	""	"812"	"17"	"286"	"7"	"150"	"22"	"16"	"17"	"15"	"513"
"183"	"130"	""	"665"	"17"	"22"	"7"	"221"	"49"	"10"	"4"	"15"	"328"
"184"	"131"	""	"768"	"17"	"56"	"10"	"224"	"24"	"7"	"6"	"12"	"339"
"185"	"132"	""	"782"	"17"	"26"	"8"	"313"	"13"	"12"	"13"	"33"	"418"
"186"	"133"	""	"883"	"18"	"24"	"6"	"302"	"20"	"11"	"7"	"25"	"395"
"187"	"134"	""	"1110"	"18"	"276"	"12"	"260"	"28"	"9"	"8"	"25"	"618"
"188"	"135"	""	"1284"	"18"	"263"	"12"	"348"	"16"	"8"	"13"	"25"	"685"
"189"	"136"	""	"1218"	"18"	"90"	"12"	"360"	"44"	"19"	"17"	"25"	"567"
"190"	"137"	""	"1036"	"18"	"62"	"13"	"255"	"75"	"8"	"14"	"18"	"445"
"191"	"138"	""	"964"	"18"	"65"	"5"	"263"	"154"	"14"	"2"	"23"	"526"
"192"	"139"	""	"462"	"18"	"112"	"2"	"83"	"39"	"5"	"1"	"12"	"254"
"193"	"140"	"A"	"550"	"18"	"349"	"8"	"96"	"22"	"12"	"16"	"23"	"526"
"194"	"140"	""	"973"	"18"	"112"	"2"	"39"	"21"	"5"	"5"	"5"	"189"
"195"	"141"	"A"	"717"	"18"	"138"	"10"	"214"	"80"	"6"	"6"	"13"	"467"
"196"	""	""	""	"019-HARSIDHI"	""	""	""	""	""	""	""	""
"197"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""
"198"	"Booth No."	"Ext."	"Voters"	"Round"	"AWADHESH PD. KUSHWAHA"	"KALIM AKHTER"	"MAHESHWAR SINGH"	"HARI SHANKAR PD. SINGH"	"AZAD LALAN PRASAD"	"WACHCHA SHAH"	"SHYAM KUMAR PRASAD"	"Total"
"199"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"200"	"141"	""	"995"	"19"	"119"	"1"	"39"	"62"	"3"	"3"	"0"	"227"
"201"	"142"	""	"1059"	"19"	"262"	"14"	"115"	"52"	"2"	"8"	"17"	"470"
"202"	"143"	""	"835"	"19"	"105"	"12"	"127"	"107"	"13"	"8"	"34"	"406"
"203"	"144"	""	"1078"	"19"	"130"	"6"	"214"	"59"	"13"	"5"	"19"	"446"
"204"	"145"	""	"1085"	"19"	"192"	"10"	"85"	"105"	"5"	"19"	"16"	"432"
"205"	"146"	""	"1141"	"19"	"136"	"5"	"147"	"93"	"11"	"11"	"9"	"412"
"206"	"147"	""	"1206"	"19"	"119"	"14"	"197"	"151"	"12"	"11"	"24"	"528"
"207"	"148"	""	"939"	"19"	"16"	"7"	"235"	"41"	"12"	"6"	"16"	"333"
"208"	"149"	""	"747"	"19"	"125"	"1"	"126"	"64"	"8"	"13"	"16"	"353"
"209"	"150"	""	"1284"	"19"	"119"	"8"	"177"	"257"	"23"	"13"	"38"	"635"
"210"	"151"	""	"1168"	"20"	"152"	"20"	"250"	"79"	"4"	"11"	"17"	"533"
"211"	"152"	""	"506"	"20"	"105"	"6"	"103"	"30"	"5"	"0"	"8"	"257"
"212"	"153"	""	"1281"	"20"	"242"	"9"	"132"	"188"	"13"	"13"	"16"	"613"
"213"	"154"	""	"1094"	"20"	"270"	"17"	"126"	"31"	"17"	"20"	"25"	"506"
"214"	"155"	"A"	"643"	"20"	"203"	"15"	"97"	"16"	"10"	"14"	"22"	"377"
"215"	"155"	""	"969"	"20"	"74"	"3"	"124"	"6"	"8"	"7"	"23"	"245"
"216"	"156"	""	"900"	"20"	"125"	"14"	"212"	"65"	"6"	"3"	"12"	"437"
"217"	"156"	"A"	"801"	"20"	"50"	"10"	"71"	"147"	"13"	"8"	"6"	"305"
"218"	"157"	""	"1197"	"20"	"316"	"13"	"120"	"84"	"26"	"13"	"24"	"596"
"219"	"158"	""	"1309"	"20"	"227"	"51"	"158"	"162"	"16"	"17"	"33"	"664"
"220"	"159"	""	"1257"	"21"	"246"	"10"	"82"	"46"	"25"	"12"	"22"	"443"
"221"	"160"	""	"958"	"21"	"104"	"27"	"111"	"119"	"38"	"11"	"13"	"423"
"222"	"160"	"A"	"593"	"21"	"65"	"10"	"59"	"59"	"9"	"6"	"6"	"214"
"223"	"161"	""	"875"	"21"	"52"	"9"	"54"	"211"	"14"	"8"	"16"	"364"
"224"	"161"	"A"	"811"	"21"	"54"	"0"	"37"	"176"	"9"	"5"	"11"	"292"
"225"	"162"	""	"981"	"21"	"292"	"13"	"104"	"29"	"10"	"11"	"10"	"469"
"226"	"163"	""	"762"	"21"	"151"	"10"	"120"	"78"	"5"	"7"	"8"	"379"
"227"	"164"	""	"730"	"21"	"241"	"6"	"25"	"61"	"8"	"8"	"11"	"360"
"228"	"165"	"A"	"489"	"21"	"53"	"9"	"302"	"111"	"43"	"5"	"20"	"543"
"229"	"165"	""	"979"	"21"	"32"	"1"	"74"	"61"	"5"	"1"	"8"	"182"
"230"	"166"	""	"996"	"22"	"87"	"11"	"174"	"76"	"17"	"8"	"16"	"389"
"231"	"166"	"A"	"538"	"22"	"93"	"9"	"57"	"102"	"4"	"10"	"19"	"294"
"232"	"167"	""	"1124"	"22"	"105"	"6"	"225"	"146"	"10"	"10"	"28"	"530"
"233"	"Total"	""	""	""	"35703"	"3091"	"35811"	"13261"	"2673"	"2085"	"4141"	"96765"
