"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"56"	"42A"	"10"	"89"	"78"	"89"	"4"	"3"	"8"	"5"	""	"286"	"286"	"0"
"57"	"43"	"4"	"43"	"351"	"56"	"4"	"13"	"3"	"12"	""	"486"	"486"	"0"
"58"	"44"	"11"	"70"	"223"	"210"	"18"	"7"	"18"	"17"	""	"574"	"574"	"0"
"59"	"45"	"5"	"274"	"37"	"92"	"4"	"2"	"5"	"1"	""	"420"	"420"	"0"
"60"	"46"	"2"	"215"	"109"	"43"	"5"	"3"	"5"	"4"	""	"386"	"386"	"0"
"61"	"47"	"4"	"16"	"141"	"110"	"9"	"7"	"5"	"5"	""	"297"	"297"	"0"
"62"	"48"	"7"	"212"	"121"	"179"	"10"	"4"	"9"	"8"	"0"	"550"	"550"	"0"
"63"	"49"	"3"	"23"	"166"	"55"	"6"	"7"	"2"	"7"	"0"	"269"	"269"	"0"
"64"	"50"	"4"	"24"	"96"	"152"	"14"	"6"	"3"	"6"	"0"	"305"	"305"	"0"
"65"	"50A"	"4"	"38"	"68"	"124"	"5"	"4"	"6"	"4"	"0"	"253"	"253"	"0"
"66"	"51"	"4"	"78"	"214"	"65"	"3"	"5"	"5"	"9"	"0"	"383"	"383"	"0"
"67"	"52"	"4"	"71"	"201"	"50"	"6"	"3"	"3"	"8"	"0"	"346"	"346"	"0"
"68"	"53"	"3"	"125"	"15"	"59"	"5"	"1"	"4"	"11"	"0"	"223"	"223"	"0"
"69"	"54"	"7"	"24"	"137"	"229"	"23"	"9"	"11"	"16"	"0"	"456"	"456"	"0"
"70"	"55"	"13"	"434"	"28"	"11"	"2"	"4"	"4"	"7"	"0"	"503"	"503"	"0"
"71"	"56"	"14"	"506"	"23"	"32"	"8"	"1"	"8"	"3"	"0"	"595"	"595"	"0"
"72"	"57"	"7"	"8"	"369"	"76"	"5"	"6"	"4"	"5"	"0"	"480"	"480"	"0"
"73"	"58"	"9"	"13"	"333"	"140"	"9"	"4"	"4"	"5"	"0"	"517"	"517"	"0"
"74"	"59"	"8"	"17"	"251"	"105"	"7"	"4"	"7"	"13"	"0"	"412"	"412"	"0"
"75"	"60"	"7"	"38"	"287"	"46"	"6"	"7"	"5"	"6"	"0"	"402"	"402"	"0"
"76"	"60A"	"0"	"6"	"198"	"71"	"3"	"9"	"3"	"7"	"0"	"297"	"297"	"0"
"77"	"61"	"4"	"23"	"200"	"23"	"4"	"1"	"1"	"4"	"0"	"260"	"260"	"0"
"78"	"62"	"7"	"48"	"236"	"84"	"13"	"8"	"8"	"11"	"0"	"415"	"415"	"0"
"79"	"63"	"13"	"69"	"314"	"84"	"6"	"12"	"9"	"13"	"0"	"520"	"520"	"0"
"80"	"64"	"17"	"216"	"64"	"72"	"12"	"4"	"11"	"13"	"0"	"409"	"409"	"0"
"81"	"65"	"6"	"45"	"352"	"44"	"6"	"3"	"4"	"9"	"0"	"469"	"469"	"0"
"82"	"66"	"6"	"66"	"59"	"179"	"7"	"3"	"7"	"1"	"0"	"328"	"328"	"0"
"83"	"67"	"7"	"253"	"17"	"93"	"2"	"1"	"8"	"8"	"0"	"389"	"389"	"0"
"84"	"68"	"18"	"18"	"138"	"135"	"9"	"3"	"6"	"8"	"0"	"335"	"335"	"0"
"85"	"69"	"2"	"55"	"80"	"66"	"3"	"0"	"4"	"1"	"0"	"211"	"211"	"0"
"86"	"70"	"19"	"244"	"92"	"85"	"9"	"10"	"16"	"7"	"0"	"482"	"482"	"0"
"87"	"71"	"1"	"18"	"206"	"180"	"5"	"6"	"12"	"4"	"0"	"432"	"432"	"0"
"88"	"72"	"10"	"87"	"122"	"74"	"8"	"12"	"20"	"27"	"0"	"360"	"360"	"0"
"89"	"73"	"9"	"39"	"233"	"148"	"16"	"18"	"16"	"14"	"0"	"493"	"493"	"0"
"90"	"74"	"4"	"271"	"175"	"24"	"5"	"4"	"8"	"8"	"0"	"499"	"499"	"0"
"91"	"75"	"8"	"27"	"441"	"27"	"3"	"9"	"6"	"12"	"0"	"533"	"533"	"0"
"92"	"76"	"12"	"50"	"127"	"102"	"6"	"8"	"16"	"16"	"0"	"337"	"337"	"0"
"93"	"77"	"14"	"229"	"69"	"68"	"7"	"2"	"7"	"1"	"0"	"397"	"397"	"0"
"94"	"78"	"1"	"86"	"117"	"125"	"4"	"2"	"2"	"0"	"0"	"337"	"337"	"0"
"95"	"79"	"10"	"72"	"205"	"118"	"5"	"5"	"17"	"11"	"0"	"443"	"443"	"0"
"96"	"80"	"10"	"33"	"212"	"50"	"2"	"7"	"8"	"2"	"0"	"324"	"324"	"0"
"97"	"81"	"2"	"105"	"305"	"35"	"4"	"4"	"4"	"2"	"0"	"461"	"461"	"0"
"98"	"82"	"25"	"49"	"310"	"75"	"4"	"6"	"15"	"17"	"0"	"501"	"501"	"0"
"99"	"83"	"23"	"31"	"196"	"213"	"21"	"11"	"11"	"18"	"0"	"524"	"524"	"0"
"100"	"84"	"4"	"68"	"115"	"32"	"3"	"3"	"8"	"8"	"0"	"241"	"241"	"0"
"101"	"85"	"10"	"88"	"66"	"250"	"26"	"16"	"19"	"20"	"0"	"495"	"495"	"0"
"102"	"86"	"8"	"53"	"31"	"220"	"9"	"4"	"20"	"6"	"0"	"351"	"351"	"0"
"103"	"86A"	"11"	"74"	"33"	"169"	"10"	"2"	"19"	"14"	"0"	"332"	"332"	"0"
"104"	"87"	"14"	"141"	"154"	"69"	"7"	"7"	"13"	"8"	"0"	"413"	"413"	"0"
"105"	"87A"	"15"	"176"	"52"	"90"	"10"	"4"	"10"	"11"	"0"	"368"	"368"	"0"
"106"	"88"	"8"	"202"	"118"	"71"	"6"	"4"	"7"	"8"	"0"	"424"	"424"	"0"
"107"	"89"	"7"	"120"	"236"	"80"	"8"	"4"	"11"	"17"	"0"	"483"	"483"	"0"
"108"	"90"	"7"	"80"	"286"	"149"	"11"	"6"	"14"	"7"	"0"	"560"	"560"	"0"
"109"	"91"	"13"	"196"	"225"	"109"	"33"	"28"	"39"	"53"	"0"	"696"	"696"	"0"
"110"	"92"	"6"	"8"	"234"	"93"	"7"	"2"	"7"	"5"	"0"	"362"	"362"	"0"
"111"	"92A"	"6"	"15"	"301"	"74"	"2"	"3"	"4"	"3"	"0"	"408"	"408"	"0"
"112"	"93"	"8"	"138"	"207"	"139"	"8"	"5"	"11"	"6"	"0"	"522"	"522"	"0"
"113"	"94"	"5"	"89"	"318"	"80"	"8"	"3"	"7"	"10"	"0"	"520"	"520"	"0"
"114"	"95"	"4"	"12"	"110"	"127"	"3"	"1"	"4"	"1"	"0"	"262"	"262"	"0"
"115"	"96"	"6"	"85"	"268"	"43"	"4"	"6"	"9"	"5"	"0"	"426"	"426"	"0"
"116"	"97"	"11"	"118"	"93"	"68"	"6"	"8"	"13"	"13"	"0"	"330"	"330"	"0"
"117"	"97A"	"4"	"41"	"152"	"83"	"14"	"6"	"8"	"11"	"0"	"319"	"319"	"0"
"118"	"98"	"8"	"66"	"112"	"113"	"14"	"4"	"7"	"7"	""	"331"	"331"	"0"
"119"	"98A"	"9"	"139"	"64"	"109"	"9"	"9"	"6"	"9"	""	"354"	"354"	"0"
"120"	"99"	"5"	"102"	"135"	"33"	"5"	"2"	"3"	"3"	""	"288"	"288"	"0"
"121"	"99A"	"3"	"19"	"281"	"8"	"2"	"3"	"1"	"1"	""	"318"	"318"	"0"
"122"	"100"	"4"	"119"	"148"	"42"	"3"	"8"	"5"	"5"	""	"334"	"334"	"0"
"123"	"101"	"13"	"23"	"284"	"24"	"3"	"2"	"6"	"5"	""	"360"	"360"	"0"
"124"	"101A"	"3"	"23"	"248"	"67"	"8"	"5"	"3"	"4"	""	"361"	"361"	"0"
"125"	"102"	"6"	"20"	"344"	"16"	"2"	"5"	"0"	"0"	""	"393"	"393"	"0"
"126"	"102A"	"8"	"82"	"203"	"52"	"2"	"1"	"5"	"2"	""	"355"	"355"	"0"
"127"	"103"	"16"	"26"	"436"	"48"	"7"	"12"	"7"	"10"	""	"562"	"562"	"0"
"128"	"104"	"19"	"169"	"196"	"59"	"15"	"11"	"8"	"17"	""	"494"	"494"	"0"
"129"	"105"	"11"	"119"	"38"	"54"	"0"	"3"	"4"	"0"	""	"229"	"229"	"0"
"130"	"106"	"2"	"34"	"430"	"14"	"0"	"2"	"0"	"2"	""	"484"	"484"	"0"
"131"	"107"	"5"	"36"	"353"	"44"	"1"	"5"	"2"	"4"	""	"450"	"450"	"0"
"132"	"108"	"11"	"135"	"165"	"33"	"6"	"13"	"10"	"20"	"0"	"393"	"393"	"0"
"133"	"109"	"10"	"40"	"183"	"87"	"8"	"7"	"4"	"9"	"0"	"348"	"348"	"0"
"134"	"110"	"10"	"85"	"372"	"32"	"2"	"4"	"3"	"6"	"0"	"514"	"514"	"0"
"135"	"111"	"8"	"167"	"39"	"46"	"2"	"1"	"3"	"6"	"0"	"272"	"272"	"0"
"136"	"112"	"6"	"105"	"132"	"36"	"8"	"5"	"4"	"10"	"0"	"306"	"306"	"0"
"137"	"113"	"4"	"107"	"151"	"16"	"3"	"2"	"2"	"3"	"0"	"288"	"288"	"0"
"138"	"113A"	"4"	"140"	"174"	"24"	"5"	"6"	"9"	"6"	"0"	"368"	"368"	"0"
"139"	"114"	"3"	"102"	"410"	"21"	"2"	"1"	"3"	"0"	"0"	"542"	"542"	"0"
"140"	"115"	"12"	"162"	"102"	"68"	"7"	"2"	"7"	"13"	"0"	"373"	"373"	"0"
"141"	"116"	"4"	"86"	"255"	"68"	"4"	"4"	"5"	"4"	"0"	"430"	"430"	"0"
"142"	"117"	"2"	"82"	"12"	"46"	"6"	"2"	"0"	"1"	"0"	"151"	"151"	"0"
"143"	"118"	"24"	"184"	"73"	"80"	"16"	"13"	"15"	"11"	"0"	"416"	"416"	"0"
"144"	"119"	"14"	"320"	"88"	"53"	"15"	"4"	"11"	"6"	"0"	"511"	"511"	"0"
"145"	"120"	"9"	"89"	"222"	"27"	"1"	"12"	"6"	"7"	"0"	"373"	"373"	"0"
"146"	"120A"	"4"	"94"	"185"	"45"	"5"	"4"	"5"	"7"	"0"	"349"	"349"	"0"
"147"	"121"	"5"	"34"	"258"	"43"	"4"	"5"	"3"	"4"	"0"	"356"	"356"	"0"
"148"	"121A"	"7"	"118"	"164"	"76"	"13"	"11"	"18"	"18"	"0"	"425"	"425"	"0"
"149"	"122"	"8"	"23"	"224"	"48"	"8"	"6"	"6"	"8"	"0"	"331"	"331"	"0"
"150"	"122A"	"8"	"184"	"91"	"65"	"15"	"12"	"15"	"27"	"0"	"417"	"417"	"0"
"151"	"123"	"6"	"102"	"77"	"190"	"13"	"3"	"5"	"4"	"0"	"400"	"400"	"0"
"152"	"124"	"0"	"7"	"7"	"27"	"1"	"0"	"3"	"0"	"0"	"45"	"45"	"0"
"153"	"125"	"7"	"114"	"242"	"31"	"5"	"4"	"2"	"12"	"0"	"417"	"417"	"0"
"154"	"125A"	"5"	"135"	"124"	"34"	"4"	"3"	"7"	"12"	"0"	"324"	"324"	"0"
"155"	"126"	"11"	"216"	"217"	"69"	"6"	"2"	"4"	"3"	"0"	"528"	"528"	"0"
"156"	"127"	"8"	"179"	"141"	"49"	"1"	"3"	"7"	"6"	"0"	"394"	"394"	"0"
"157"	"127A"	"9"	"113"	"155"	"60"	"7"	"5"	"6"	"6"	"0"	"361"	"361"	"0"
"158"	"128"	"12"	"211"	"217"	"61"	"7"	"14"	"11"	"33"	"0"	"566"	"566"	"0"
"159"	"129"	"10"	"171"	"155"	"144"	"9"	"5"	"6"	"5"	"0"	"505"	"505"	"0"
"160"	"130"	"11"	"91"	"180"	"181"	"11"	"4"	"12"	"6"	"0"	"496"	"496"	"0"
"161"	"131"	"7"	"194"	"224"	"80"	"5"	"4"	"6"	"10"	"0"	"530"	"530"	"0"
"162"	"132"	"11"	"135"	"231"	"43"	"7"	"8"	"3"	"14"	"0"	"452"	"452"	"0"
"163"	"133"	"8"	"147"	"122"	"54"	"4"	"8"	"6"	"11"	"0"	"360"	"360"	"0"
"164"	"134"	"7"	"25"	"134"	"170"	"11"	"5"	"2"	"9"	"0"	"363"	"363"	"0"
"165"	"135"	"7"	"8"	"382"	"59"	"11"	"11"	"8"	"33"	"0"	"519"	"519"	"0"
"166"	"136"	"2"	"31"	"161"	"132"	"2"	"1"	"5"	"1"	"0"	"335"	"335"	"0"
"167"	"137"	"16"	"180"	"114"	"109"	"13"	"9"	"14"	"9"	"0"	"464"	"464"	"0"
"168"	"138"	"10"	"129"	"346"	"63"	"2"	"4"	"4"	"2"	"0"	"560"	"560"	"0"
"169"	"139"	"5"	"106"	"280"	"10"	"3"	"1"	"1"	"1"	"0"	"407"	"407"	"0"
"170"	"140"	"8"	"142"	"106"	"82"	"4"	"4"	"6"	"8"	"0"	"360"	"360"	"0"
"171"	"141"	"8"	"149"	"21"	"51"	"8"	"2"	"3"	"6"	"0"	"248"	"248"	"0"
"172"	"142"	"14"	"336"	"79"	"73"	"6"	"7"	"7"	"11"	"0"	"533"	"533"	"0"
"173"	"143"	"4"	"154"	"145"	"53"	"1"	"1"	"3"	"2"	"0"	"363"	"363"	"0"
"174"	"144"	"6"	"205"	"154"	"52"	"8"	"4"	"9"	"7"	"0"	"445"	"445"	"0"
"175"	"145"	"10"	"129"	"44"	"79"	"4"	"5"	"6"	"6"	"0"	"283"	"283"	"0"
"176"	"146"	"3"	"149"	"141"	"19"	"1"	"4"	"9"	"11"	"0"	"337"	"337"	"0"
"177"	"146A"	"3"	"50"	"173"	"41"	"0"	"0"	"4"	"11"	"0"	"282"	"282"	"0"
"178"	"147"	"6"	"130"	"121"	"135"	"9"	"8"	"10"	"9"	"0"	"428"	"428"	"0"
"179"	"148"	"12"	"104"	"10"	"120"	"6"	"6"	"11"	"4"	"0"	"273"	"273"	"0"
"180"	"149"	"11"	"185"	"11"	"77"	"5"	"0"	"5"	"12"	"0"	"306"	"306"	"0"
"181"	"150"	"11"	"435"	"56"	"10"	"1"	"2"	"4"	"4"	"0"	"523"	"523"	"0"
"182"	"151"	"11"	"79"	"12"	"57"	"7"	"5"	"10"	"15"	"0"	"196"	"196"	"0"
"183"	"152"	"10"	"239"	"67"	"45"	"6"	"4"	"7"	"4"	"0"	"382"	"382"	"0"
"184"	"153"	"15"	"230"	"24"	"13"	"1"	"3"	"8"	"4"	"0"	"298"	"298"	"0"
"185"	"154"	"8"	"342"	"34"	"18"	"3"	"0"	"1"	"1"	"0"	"407"	"407"	"0"
"186"	"155"	"15"	"113"	"410"	"38"	"7"	"12"	"10"	"10"	"0"	"615"	"615"	"0"
"187"	"156"	"9"	"4"	"0"	"26"	"4"	"2"	"2"	"3"	"0"	"50"	"50"	"0"
"188"	"157"	"8"	"86"	"310"	"18"	"2"	"3"	"4"	"7"	"0"	"438"	"438"	"0"
"189"	"158"	"4"	"134"	"153"	"11"	"0"	"4"	"2"	"2"	"0"	"310"	"310"	"0"
"190"	"159"	"7"	"90"	"58"	"5"	"0"	"3"	"1"	"1"	"0"	"165"	"165"	"0"
"191"	"160"	"12"	"305"	"104"	"26"	"7"	"6"	"15"	"15"	"0"	"490"	"490"	"0"
"192"	"161"	"7"	"23"	"338"	"38"	"5"	"8"	"6"	"9"	"0"	"434"	"434"	"0"
"193"	"161A"	"7"	"49"	"153"	"94"	"3"	"3"	"10"	"15"	"0"	"334"	"334"	"0"
"194"	"162"	"1"	"7"	"426"	"5"	"1"	"2"	"1"	"6"	"0"	"449"	"449"	"0"
"195"	"162A"	"5"	"17"	"334"	"17"	"0"	"3"	"1"	"0"	"0"	"377"	"377"	"0"
"196"	"163"	"5"	"207"	"21"	"1"	"1"	"1"	"12"	"10"	"0"	"258"	"258"	"0"
"197"	"164"	"29"	"413"	"102"	"22"	"10"	"5"	"7"	"8"	"0"	"596"	"596"	"0"
"198"	"165"	"25"	"458"	"36"	"25"	"6"	"6"	"10"	"9"	"0"	"575"	"575"	"0"
"199"	"166"	"14"	"265"	"83"	"13"	"5"	"5"	"8"	"5"	"0"	"398"	"398"	"0"
"200"	"166A"	"3"	"229"	"25"	"13"	"2"	"0"	"5"	"2"	"0"	"279"	"279"	"0"
"201"	"167"	"33"	"280"	"101"	"20"	"12"	"11"	"9"	"21"	"0"	"487"	"487"	"0"
"202"	"168"	"15"	"310"	"16"	"8"	"0"	"3"	"6"	"4"	"0"	"362"	"362"	"0"
"203"	"169"	"7"	"599"	"6"	"5"	"0"	"0"	"1"	"2"	"0"	"620"	"620"	"0"
"204"	"170"	"10"	"290"	"95"	"21"	"2"	"3"	"6"	"7"	"0"	"434"	"434"	"0"
"205"	"171"	"18"	"269"	"62"	"37"	"8"	"11"	"8"	"12"	"0"	"425"	"425"	"0"
"206"	"172"	"19"	"219"	"152"	"58"	"4"	"16"	"13"	"22"	"0"	"503"	"503"	"0"
"207"	"173"	"17"	"65"	"313"	"72"	"10"	"15"	"17"	"15"	"0"	"524"	"524"	"0"
"208"	"174"	"15"	"410"	"34"	"12"	"3"	"4"	"8"	"10"	"0"	"496"	"496"	"0"
"209"	"175"	"21"	"335"	"119"	"14"	"5"	"5"	"16"	"14"	"0"	"529"	"529"	"0"
"210"	"176"	"11"	"425"	"62"	"5"	"0"	"0"	"2"	"1"	"0"	"506"	"506"	"0"
"211"	"177"	"11"	"198"	"45"	"10"	"4"	"0"	"4"	"7"	"0"	"279"	"279"	"0"
"212"	"178"	"8"	"209"	"45"	"7"	"4"	"4"	"7"	"13"	"0"	"297"	"297"	"0"
"213"	"179"	"21"	"216"	"46"	"12"	"1"	"1"	"7"	"6"	"0"	"310"	"310"	"0"
"214"	"180"	"16"	"283"	"48"	"23"	"4"	"3"	"8"	"7"	"0"	"392"	"392"	"0"
"215"	"180A"	"21"	"175"	"39"	"5"	"0"	"4"	"6"	"10"	"0"	"260"	"260"	"0"
"216"	"181"	"19"	"228"	"41"	"14"	"4"	"3"	"7"	"6"	"0"	"322"	"322"	"0"
"217"	"182"	"10"	"47"	"231"	"5"	"0"	"6"	"3"	"9"	"0"	"311"	"311"	"0"
"218"	"183"	"4"	"376"	"13"	"8"	"2"	"1"	"0"	"0"	"0"	"404"	"404"	"0"
"219"	"184"	"0"	"420"	"14"	"15"	"0"	"0"	"1"	"1"	"0"	"451"	"451"	"0"
"220"	"185"	"6"	"320"	"48"	"5"	"7"	"5"	"1"	"5"	"0"	"397"	"397"	"0"
"221"	"185A"	"2"	"120"	"17"	"1"	"3"	"1"	"4"	"2"	"0"	"150"	"150"	"0"
"222"	"186"	"10"	"314"	"30"	"4"	"0"	"0"	"10"	"9"	"0"	"377"	"377"	"0"
"223"	"187"	"8"	"428"	"30"	"32"	"0"	"2"	"3"	"3"	"0"	"506"	"506"	"0"
"224"	"188"	"11"	"400"	"34"	"11"	"2"	"3"	"12"	"5"	"0"	"478"	"478"	"0"
"225"	"189"	"18"	"145"	"26"	"21"	"9"	"8"	"7"	"18"	"0"	"252"	"252"	"0"
"226"	"190"	"8"	"110"	"47"	"52"	"3"	"2"	"7"	"4"	"0"	"233"	"233"	"0"
"227"	"191"	"21"	"369"	"41"	"25"	"6"	"5"	"15"	"21"	"0"	"503"	"503"	"0"
"228"	"192"	"15"	"205"	"44"	"89"	"8"	"6"	"4"	"10"	"0"	"381"	"381"	"0"
"229"	"193"	"11"	"262"	"24"	"7"	"1"	"4"	"6"	"8"	"0"	"323"	"323"	"0"
"230"	"194"	"14"	"223"	"32"	"1"	"3"	"0"	"7"	"6"	"0"	"286"	"286"	"0"
"231"	"195"	"17"	"137"	"152"	"38"	"2"	"4"	"11"	"10"	"0"	"371"	"371"	"0"
"232"	"195A"	"11"	"86"	"129"	"13"	"1"	"5"	"6"	"12"	"0"	"263"	"263"	"0"
"233"	"196"	"9"	"305"	"18"	"51"	"2"	"0"	"2"	"4"	"0"	"391"	"391"	"0"
"234"	"197"	"7"	"246"	"34"	"68"	"1"	"2"	"5"	"8"	"0"	"371"	"371"	"0"
"235"	"198"	"19"	"219"	"24"	"95"	"9"	"5"	"4"	"13"	"0"	"388"	"388"	"0"
"236"	"199"	"10"	"309"	"121"	"48"	"8"	"7"	"17"	"18"	"0"	"538"	"538"	"0"
"237"	"200"	"4"	"195"	"99"	"39"	"1"	"2"	"5"	"8"	"0"	"353"	"353"	"0"
"238"	"201"	"9"	"184"	"136"	"54"	"6"	"8"	"18"	"16"	"0"	"431"	"431"	"0"
"239"	"202"	"10"	"177"	"201"	"44"	"14"	"11"	"8"	"13"	"0"	"478"	"478"	""
"240"	"203"	"17"	"161"	"220"	"95"	"8"	"7"	"6"	"3"	"0"	"517"	"517"	""
"241"	"204"	"5"	"154"	"98"	"25"	"13"	"5"	"4"	"8"	"0"	"312"	"312"	""
"242"	"205"	"7"	"216"	"110"	"26"	"1"	"2"	"8"	"1"	"0"	"371"	"371"	""
"243"	"206"	"13"	"178"	"135"	"69"	"6"	"5"	"16"	"21"	"0"	"443"	"443"	""
"244"	"207"	"11"	"104"	"138"	"137"	"8"	"7"	"11"	"27"	"0"	"443"	"443"	""
"245"	"208"	"14"	"174"	"170"	"78"	"10"	"14"	"19"	"25"	"0"	"504"	"504"	""
"246"	"209"	"19"	"305"	"206"	"87"	"7"	"1"	"8"	"5"	"0"	"638"	"638"	""
"247"	"210"	"10"	"45"	"9"	"25"	"2"	"1"	"3"	"5"	"0"	"100"	"100"	""
