"ernku.dsUnz.dh.ÿe.la."	"vH.fFkZ.ksa.ds.uke..oa.muds.i.k.esa.fn.s.x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy.fof.k..ekU..er"	"izfr.ksfir.erkas.dh.la..k"	"X.ksx"	"fufonr.erkas.dh.la..k"
"55"	"32d"	"26"	"21"	"10"	"6"	"4"	"2"	"69"	"0"	"69"	"0"
"56"	"33"	"398"	"30"	"41"	"3"	"5"	"14"	"491"	"0"	"491"	"0"
"57"	"34"	"235"	"33"	"53"	"9"	"7"	"35"	"372"	"0"	"372"	"0"
"58"	"35"	"151"	"88"	"6"	"4"	"2"	"4"	"255"	"0"	"255"	"0"
"59"	";ksx"	"3390"	"863"	"353"	"148"	"72"	"166"	"4992"	"0"	"4992"	"0"
"60"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"61"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"62"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"63"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"64"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"66"	"36"	"276"	"66"	"26"	"33"	"3"	"15"	"419"	"0"	"419"	"0"
"67"	"37"	"85"	"121"	"14"	"17"	"15"	"57"	"309"	"0"	"309"	"0"
"68"	"37d"	"48"	"56"	"18"	"29"	"6"	"9"	"166"	"0"	"166"	"0"
"69"	"38"	"264"	"49"	"50"	"30"	"8"	"19"	"420"	"0"	"420"	"0"
"70"	"39"	"222"	"78"	"33"	"21"	"4"	"19"	"377"	"0"	"377"	"0"
"71"	"40"	"139"	"131"	"65"	"5"	"8"	"29"	"377"	"0"	"377"	"0"
"72"	"41"	"85"	"101"	"35"	"12"	"19"	"32"	"284"	"0"	"284"	"0"
"73"	"42"	"95"	"53"	"11"	"5"	"2"	"6"	"172"	"0"	"172"	"0"
"74"	"43"	"370"	"6"	"29"	"34"	"13"	"15"	"467"	"0"	"467"	"0"
"75"	"44"	"161"	"92"	"140"	"31"	"11"	"8"	"443"	"0"	"443"	"0"
"76"	"44d"	"88"	"46"	"24"	"3"	"3"	"1"	"165"	"0"	"165"	"0"
"77"	"45"	"105"	"60"	"105"	"12"	"9"	"10"	"301"	"0"	"301"	"0"
"78"	"46"	"246"	"88"	"34"	"6"	"7"	"20"	"401"	"0"	"401"	"0"
"79"	"47"	"250"	"50"	"75"	"19"	"6"	"14"	"414"	"0"	"414"	"0"
"80"	";ksx"	"2434"	"997"	"659"	"257"	"114"	"254"	"4715"	"0"	"4715"	"0"
"81"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"82"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"83"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"84"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"85"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"87"	"47d"	"75"	"9"	"94"	"11"	"4"	"12"	"205"	"0"	"205"	"0"
"88"	"48"	"209"	"89"	"76"	"44"	"8"	"24"	"450"	"0"	"450"	"0"
"89"	"48d"	"67"	"15"	"44"	"6"	"5"	"6"	"143"	"0"	"143"	"0"
"90"	"49"	"81"	"15"	"40"	"35"	"2"	"3"	"176"	"0"	"176"	"0"
"91"	"50"	"185"	"94"	"61"	"17"	"8"	"11"	"376"	"0"	"376"	"0"
"92"	"50d"	"45"	"16"	"29"	"4"	"1"	"3"	"98"	"0"	"98"	"0"
"93"	"51"	"104"	"78"	"63"	"49"	"6"	"8"	"308"	"0"	"308"	"0"
"94"	"52"	"115"	"91"	"109"	"15"	"11"	"13"	"354"	"0"	"354"	"0"
"95"	"53"	"144"	"43"	"146"	"11"	"12"	"1"	"357"	"0"	"357"	"0"
"96"	"53d"	"129"	"13"	"3"	"1"	"3"	"7"	"156"	"0"	"156"	"0"
"97"	"54"	"170"	"68"	"61"	"12"	"7"	"10"	"328"	"0"	"328"	"0"
"98"	"55"	"319"	"81"	"3"	"2"	"4"	"3"	"412"	"0"	"412"	"0"
"99"	"55d"	"42"	"59"	"34"	"5"	"5"	"7"	"152"	"0"	"152"	"0"
"100"	"56"	"221"	"205"	"7"	"12"	"0"	"4"	"449"	"0"	"449"	"0"
"101"	";ksx"	"1906"	"876"	"770"	"224"	"76"	"112"	"3964"	"0"	"3964"	"0"
"102"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"103"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"104"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"105"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"106"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"108"	"57"	"260"	"163"	"27"	"13"	"8"	"19"	"490"	"0"	"490"	"0"
"109"	"58"	"134"	"27"	"141"	"25"	"9"	"15"	"351"	"0"	"351"	"0"
"110"	"59"	"94"	"106"	"5"	"2"	"1"	"4"	"212"	"0"	"212"	"0"
"111"	"60"	"103"	"38"	"361"	"35"	"6"	"12"	"555"	"0"	"555"	"0"
"112"	"61"	"258"	"51"	"38"	"10"	"9"	"21"	"387"	"0"	"387"	"0"
"113"	"62"	"179"	"77"	"166"	"28"	"14"	"42"	"506"	"0"	"506"	"0"
"114"	"62d"	"44"	"5"	"52"	"9"	"4"	"7"	"121"	"0"	"121"	"0"
"115"	"63"	"248"	"106"	"28"	"36"	"7"	"11"	"436"	"0"	"436"	"0"
"116"	"64"	"222"	"182"	"25"	"16"	"3"	"21"	"469"	"0"	"469"	"0"
"117"	"65"	"41"	"334"	"62"	"7"	"6"	"9"	"459"	"0"	"459"	"0"
"118"	"65d"	"30"	"85"	"9"	"4"	"3"	"7"	"138"	"0"	"138"	"0"
"119"	"66"	"98"	"56"	"219"	"30"	"11"	"16"	"430"	"0"	"430"	"0"
"120"	"67"	"112"	"126"	"56"	"7"	"7"	"14"	"322"	"0"	"322"	"0"
"121"	"68"	"57"	"119"	"169"	"17"	"14"	"14"	"390"	"0"	"390"	"0"
"122"	";ksx"	"1880"	"1475"	"1358"	"239"	"102"	"212"	"5266"	"0"	"5266"	"0"
"123"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"124"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"125"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"126"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"127"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"129"	"69"	"115"	"49"	"28"	"9"	"3"	"6"	"210"	"0"	"210"	"0"
"130"	"70"	"11"	"8"	"115"	"12"	"4"	"6"	"156"	"0"	"156"	"0"
"131"	"71"	"90"	"20"	"136"	"18"	"4"	"9"	"277"	"0"	"277"	"0"
"132"	"72"	"63"	"87"	"235"	"44"	"16"	"20"	"465"	"0"	"465"	"0"
"133"	"73"	"114"	"120"	"167"	"23"	"18"	"17"	"459"	"0"	"459"	"0"
"134"	"74"	"155"	"100"	"271"	"17"	"14"	"23"	"580"	"0"	"580"	"0"
"135"	"75"	"53"	"134"	"91"	"21"	"15"	"21"	"335"	"0"	"335"	"0"
"136"	"76"	"183"	"198"	"53"	"30"	"16"	"13"	"493"	"0"	"493"	"0"
"137"	"77"	"90"	"229"	"145"	"18"	"26"	"20"	"528"	"0"	"528"	"0"
"138"	"78"	"190"	"101"	"145"	"21"	"8"	"6"	"471"	"0"	"471"	"0"
"139"	"79"	"97"	"322"	"59"	"21"	"7"	"10"	"516"	"0"	"516"	"0"
"140"	"80"	"109"	"49"	"233"	"24"	"16"	"15"	"446"	"0"	"446"	"0"
"141"	"81"	"24"	"58"	"142"	"5"	"6"	"2"	"237"	"0"	"237"	"0"
"142"	"81d"	"157"	"56"	"96"	"13"	"4"	"14"	"340"	"0"	"340"	"0"
"143"	";ksx"	"1451"	"1531"	"1916"	"276"	"157"	"182"	"5513"	"0"	"5513"	"0"
"144"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"145"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"146"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"147"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"148"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"150"	"82"	"121"	"97"	"190"	"17"	"29"	"13"	"467"	"0"	"467"	"0"
"151"	"82d"	"79"	"40"	"33"	"2"	"1"	"0"	"155"	"0"	"155"	"0"
"152"	"83"	"172"	"131"	"152"	"13"	"9"	"12"	"489"	"0"	"489"	"0"
"153"	"84"	"204"	"181"	"16"	"2"	"8"	"20"	"431"	"0"	"431"	"0"
"154"	"85"	"275"	"133"	"15"	"15"	"5"	"8"	"451"	"0"	"451"	"0"
"155"	"86"	"245"	"143"	"4"	"24"	"9"	"15"	"440"	"0"	"440"	"0"
"156"	"87"	"181"	"78"	"4"	"7"	"3"	"4"	"277"	"0"	"277"	"0"
"157"	"88"	"225"	"200"	"48"	"8"	"8"	"8"	"497"	"0"	"497"	"0"
"158"	"89"	"127"	"30"	"97"	"20"	"18"	"26"	"318"	"0"	"318"	"0"
"159"	"89d"	"143"	"63"	"13"	"3"	"2"	"7"	"231"	"0"	"231"	"0"
"160"	"90"	"34"	"301"	"30"	"93"	"18"	"19"	"495"	"0"	"495"	"0"
"161"	"91"	"58"	"95"	"89"	"70"	"6"	"11"	"329"	"0"	"329"	"0"
"162"	"92"	"126"	"135"	"22"	"73"	"7"	"9"	"372"	"0"	"372"	"0"
"163"	"93"	"253"	"67"	"20"	"16"	"9"	"27"	"392"	"0"	"392"	"0"
"164"	";ksx"	"2243"	"1694"	"733"	"363"	"132"	"179"	"5344"	"0"	"5344"	"0"
"165"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"166"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"167"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"168"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"169"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"171"	"93d"	"79"	"42"	"8"	"11"	"5"	"20"	"165"	"0"	"165"	"0"
"172"	"94"	"118"	"122"	"62"	"21"	"2"	"2"	"327"	"0"	"327"	"0"
"173"	"95"	"121"	"40"	"159"	"22"	"11"	"14"	"367"	"0"	"367"	"0"
"174"	"96"	"195"	"76"	"40"	"29"	"30"	"15"	"385"	"0"	"385"	"0"
"175"	"97"	"31"	"186"	"185"	"30"	"9"	"31"	"472"	"0"	"472"	"0"
"176"	"98"	"118"	"88"	"296"	"50"	"18"	"12"	"582"	"0"	"582"	"0"
"177"	"99"	"85"	"32"	"266"	"23"	"17"	"15"	"438"	"0"	"438"	"0"
"178"	"100"	"147"	"262"	"114"	"23"	"27"	"24"	"597"	"0"	"597"	"0"
"179"	"101"	"91"	"22"	"106"	"10"	"6"	"17"	"252"	"0"	"252"	"0"
"180"	"102"	"69"	"145"	"194"	"61"	"31"	"36"	"536"	"0"	"536"	"0"
"181"	"103"	"52"	"308"	"21"	"52"	"7"	"6"	"446"	"0"	"446"	"0"
"182"	"104"	"199"	"215"	"25"	"24"	"20"	"13"	"496"	"0"	"496"	"0"
"183"	"105"	"146"	"283"	"32"	"64"	"10"	"18"	"553"	"0"	"553"	"0"
"184"	"106"	"39"	"141"	"69"	"20"	"9"	"22"	"300"	"0"	"300"	"0"
"185"	";ksx"	"1490"	"1962"	"1577"	"440"	"202"	"245"	"5916"	"0"	"5916"	"0"
"186"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"187"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"188"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"189"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"190"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"192"	"107"	"139"	"118"	"212"	"29"	"13"	"17"	"528"	"0"	"528"	"0"
"193"	"108"	"110"	"107"	"388"	"43"	"14"	"7"	"669"	"0"	"669"	"0"
"194"	"109"	"120"	"153"	"30"	"91"	"16"	"21"	"431"	"0"	"431"	"0"
"195"	"109d"	"64"	"83"	"72"	"4"	"7"	"11"	"241"	"0"	"241"	"0"
"196"	"110"	"45"	"169"	"100"	"32"	"13"	"12"	"371"	"0"	"371"	"0"
"197"	"111"	"113"	"67"	"13"	"24"	"46"	"5"	"268"	"0"	"268"	"0"
"198"	"112"	"138"	"180"	"53"	"80"	"37"	"21"	"509"	"0"	"509"	"0"
"199"	"113"	"88"	"71"	"11"	"23"	"23"	"6"	"222"	"0"	"222"	"0"
"200"	"114"	"142"	"52"	"163"	"43"	"12"	"10"	"422"	"0"	"422"	"0"
"201"	"115"	"113"	"222"	"33"	"5"	"4"	"4"	"381"	"0"	"381"	"0"
"202"	"116"	"93"	"378"	"15"	"4"	"5"	"7"	"502"	"0"	"502"	"0"
"203"	"117"	"112"	"208"	"142"	"16"	"13"	"12"	"503"	"0"	"503"	"0"
"204"	"118"	"78"	"159"	"165"	"113"	"16"	"9"	"540"	"0"	"540"	"0"
"205"	"119"	"75"	"204"	"147"	"22"	"16"	"25"	"489"	"0"	"489"	"0"
"206"	";ksx"	"1430"	"2171"	"1544"	"529"	"235"	"167"	"6076"	"0"	"6076"	"0"
"207"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"208"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"209"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"210"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"211"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"213"	"120"	"135"	"237"	"149"	"25"	"13"	"20"	"579"	"0"	"579"	"0"
"214"	"121"	"116"	"147"	"30"	"40"	"6"	"5"	"344"	"0"	"344"	"0"
"215"	"122"	"76"	"231"	"12"	"6"	"2"	"3"	"330"	"0"	"330"	"0"
"216"	"123"	"146"	"193"	"35"	"5"	"2"	"6"	"387"	"0"	"387"	"0"
"217"	"124"	"171"	"183"	"50"	"39"	"13"	"14"	"470"	"0"	"470"	"0"
"218"	"125"	"250"	"137"	"37"	"88"	"14"	"17"	"543"	"0"	"543"	"0"
"219"	"125d"	"19"	"72"	"41"	"47"	"6"	"6"	"191"	"0"	"191"	"0"
"220"	"126"	"251"	"137"	"95"	"14"	"26"	"13"	"536"	"0"	"536"	"0"
"221"	"127"	"215"	"66"	"57"	"15"	"5"	"9"	"367"	"0"	"367"	"0"
"222"	"128"	"280"	"115"	"70"	"23"	"17"	"29"	"534"	"0"	"534"	"0"
"223"	"129"	"106"	"62"	"185"	"78"	"16"	"35"	"482"	"0"	"482"	"0"
"224"	"130"	"232"	"34"	"86"	"14"	"17"	"15"	"398"	"0"	"398"	"0"
"225"	"131"	"136"	"14"	"131"	"38"	"11"	"25"	"355"	"0"	"355"	"0"
"226"	"131d"	"61"	"32"	"125"	"33"	"15"	"30"	"296"	"0"	"296"	"0"
"227"	";ksx"	"2194"	"1660"	"1103"	"465"	"163"	"227"	"5812"	"0"	"5812"	"0"
"228"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"229"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"230"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"231"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"232"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"234"	"132"	"283"	"117"	"54"	"35"	"22"	"41"	"552"	"0"	"552"	"0"
"235"	"133"	"61"	"172"	"10"	"22"	"2"	"7"	"274"	"0"	"274"	"0"
"236"	"134"	"71"	"82"	"16"	"90"	"15"	"9"	"283"	"0"	"283"	"0"
"237"	"135"	"71"	"125"	"71"	"47"	"36"	"37"	"387"	"0"	"387"	"0"
"238"	"135d"	"30"	"70"	"46"	"27"	"8"	"12"	"193"	"0"	"193"	"0"
"239"	"136"	"60"	"157"	"76"	"15"	"37"	"16"	"361"	"0"	"361"	"0"
"240"	"137"	"141"	"88"	"147"	"33"	"34"	"29"	"472"	"0"	"472"	"0"
"241"	"138"	"33"	"172"	"36"	"29"	"19"	"8"	"297"	"0"	"297"	"0"
"242"	"138d"	"13"	"97"	"23"	"21"	"1"	"13"	"168"	"0"	"168"	"0"
"243"	"139"	"42"	"93"	"48"	"73"	"10"	"8"	"274"	"0"	"274"	"0"
"244"	"140"	"52"	"103"	"58"	"38"	"26"	"11"	"288"	"0"	"288"	"0"
"245"	"141"	"81"	"142"	"15"	"98"	"45"	"25"	"406"	"0"	"406"	"0"
