"No..and.Name.of.Assembly.Constituency...........52..Vaishali"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"79"	"41"	"328"	"79"	"65"	"99"	"60"	"5"	"5"	"8"	"7"	"328"	"0"	"328"	"0"
"80"	"42"	"336"	"36"	"20"	"120"	"104"	"9"	"9"	"27"	"11"	"336"	"0"	"336"	"0"
"81"	"43"	"405"	"145"	"16"	"95"	"97"	"8"	"11"	"13"	"20"	"405"	"0"	"405"	"0"
"82"	"44"	"359"	"43"	"51"	"51"	"159"	"13"	"6"	"13"	"23"	"359"	"0"	"359"	"0"
"83"	"45"	"386"	"12"	"3"	"350"	"17"	"1"	"0"	"0"	"3"	"386"	"0"	"386"	"0"
"84"	"46"	"313"	"19"	"1"	"248"	"24"	"3"	"4"	"3"	"11"	"313"	"0"	"313"	"0"
"85"	"47"	"396"	"107"	"10"	"102"	"98"	"10"	"14"	"16"	"39"	"396"	"0"	"396"	"0"
"86"	"48"	"308"	"22"	"9"	"130"	"107"	"4"	"7"	"14"	"15"	"308"	"0"	"308"	"0"
"87"	"49"	"409"	"122"	"17"	"84"	"134"	"10"	"7"	"17"	"18"	"409"	"0"	"409"	"0"
"88"	"50"	"270"	"21"	"5"	"104"	"115"	"8"	"2"	"9"	"6"	"270"	"0"	"270"	"0"
"89"	"51"	"231"	"87"	"11"	"82"	"20"	"3"	"1"	"5"	"22"	"231"	"0"	"231"	"0"
"90"	"52"	"451"	"106"	"28"	"165"	"99"	"6"	"5"	"12"	"30"	"451"	"0"	"451"	"0"
"91"	"53"	"319"	"57"	"32"	"112"	"74"	"8"	"6"	"8"	"22"	"319"	"0"	"319"	"0"
"92"	"54"	"557"	"65"	"11"	"292"	"168"	"8"	"2"	"5"	"6"	"557"	"0"	"557"	"0"
"93"	"Grand Total"	"5068"	"921"	"279"	"2034"	"1276"	"96"	"79"	"150"	"233"	"5068"	"0"	"5068"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"101"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"102"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"103"	"55"	"265"	"27"	"6"	"133"	"77"	"3"	"5"	"3"	"11"	"265"	"0"	"265"	"0"
"104"	"56"	"217"	"22"	"9"	"108"	"39"	"4"	"11"	"7"	"17"	"217"	"0"	"217"	"0"
"105"	"57"	"383"	"45"	"4"	"65"	"241"	"6"	"3"	"8"	"11"	"383"	"0"	"383"	"0"
"106"	"58"	"245"	"64"	"10"	"102"	"24"	"9"	"3"	"13"	"20"	"245"	"0"	"245"	"0"
"107"	"59"	"365"	"49"	"46"	"114"	"97"	"6"	"10"	"12"	"31"	"365"	"0"	"365"	"0"
"108"	"60"	"355"	"25"	"2"	"115"	"182"	"5"	"2"	"14"	"10"	"355"	"0"	"355"	"0"
"109"	"61"	"457"	"135"	"20"	"148"	"83"	"12"	"8"	"10"	"41"	"457"	"0"	"457"	"0"
"110"	"62"	"232"	"42"	"9"	"109"	"44"	"5"	"3"	"5"	"15"	"232"	"0"	"232"	"0"
"111"	"63"	"314"	"50"	"15"	"141"	"82"	"2"	"4"	"5"	"15"	"314"	"0"	"314"	"0"
"112"	"64"	"354"	"64"	"10"	"163"	"87"	"6"	"5"	"11"	"8"	"354"	"0"	"354"	"0"
"113"	"65"	"348"	"85"	"4"	"82"	"152"	"4"	"4"	"5"	"12"	"348"	"0"	"348"	"0"
"114"	"65K"	"346"	"43"	"11"	"107"	"140"	"9"	"5"	"20"	"11"	"346"	"0"	"346"	"0"
"115"	"66"	"313"	"34"	"43"	"122"	"56"	"11"	"8"	"13"	"26"	"313"	"0"	"313"	"0"
"116"	"67"	"384"	"33"	"12"	"221"	"73"	"5"	"10"	"17"	"13"	"384"	"0"	"384"	"0"
"117"	"Grand Total"	"4578"	"718"	"201"	"1730"	"1377"	"87"	"81"	"143"	"241"	"4578"	"0"	"4578"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"125"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"126"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"127"	"68"	"451"	"121"	"31"	"209"	"63"	"6"	"5"	"6"	"10"	"451"	"0"	"451"	"0"
"128"	"69"	"303"	"24"	"7"	"120"	"131"	"3"	"4"	"7"	"7"	"303"	"0"	"303"	"0"
"129"	"70"	"304"	"9"	"3"	"78"	"204"	"4"	"1"	"1"	"4"	"304"	"0"	"304"	"0"
"130"	"71"	"501"	"61"	"33"	"198"	"127"	"15"	"12"	"19"	"36"	"501"	"0"	"501"	"0"
"131"	"72"	"347"	"93"	"119"	"46"	"53"	"7"	"3"	"10"	"16"	"347"	"0"	"347"	"0"
"132"	"73"	"557"	"25"	"128"	"244"	"102"	"12"	"5"	"13"	"28"	"557"	"0"	"557"	"0"
"133"	"74"	"334"	"103"	"80"	"61"	"44"	"5"	"4"	"15"	"22"	"334"	"0"	"334"	"0"
"134"	"75"	"453"	"13"	"24"	"243"	"125"	"4"	"16"	"14"	"14"	"453"	"0"	"453"	"0"
"135"	"76"	"391"	"44"	"5"	"113"	"193"	"13"	"2"	"10"	"11"	"391"	"0"	"391"	"0"
"136"	"77"	"365"	"11"	"17"	"164"	"143"	"7"	"6"	"9"	"8"	"365"	"0"	"365"	"0"
"137"	"78"	"375"	"40"	"14"	"203"	"44"	"18"	"12"	"12"	"32"	"375"	"0"	"375"	"0"
"138"	"79"	"519"	"26"	"15"	"318"	"114"	"13"	"10"	"11"	"12"	"519"	"0"	"519"	"0"
"139"	"80"	"513"	"25"	"2"	"30"	"405"	"22"	"3"	"13"	"13"	"513"	"0"	"513"	"0"
"140"	"81"	"517"	"40"	"12"	"22"	"387"	"18"	"3"	"20"	"15"	"517"	"0"	"517"	"0"
"141"	"Grand Total"	"5930"	"635"	"490"	"2049"	"2135"	"147"	"86"	"160"	"228"	"5930"	"0"	"5930"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"149"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"150"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"151"	"82"	"509"	"23"	"7"	"121"	"321"	"12"	"7"	"13"	"5"	"509"	"0"	"509"	"0"
"152"	"83"	"609"	"57"	"16"	"233"	"214"	"28"	"12"	"20"	"29"	"609"	"0"	"609"	"0"
"153"	"84"	"461"	"34"	"17"	"58"	"289"	"16"	"6"	"21"	"20"	"461"	"0"	"461"	"0"
"154"	"85"	"181"	"22"	"1"	"115"	"19"	"1"	"6"	"6"	"11"	"181"	"0"	"181"	"0"
"155"	"86"	"476"	"142"	"27"	"111"	"115"	"19"	"7"	"18"	"37"	"476"	"0"	"476"	"0"
"156"	"87"	"437"	"18"	"13"	"90"	"262"	"23"	"4"	"14"	"13"	"437"	"0"	"437"	"0"
"157"	"88"	"412"	"38"	"121"	"97"	"122"	"12"	"5"	"6"	"11"	"412"	"0"	"412"	"0"
"158"	"89"	"544"	"17"	"122"	"59"	"288"	"18"	"11"	"17"	"12"	"544"	"0"	"544"	"0"
"159"	"90"	"315"	"22"	"34"	"53"	"172"	"7"	"5"	"8"	"14"	"315"	"0"	"315"	"0"
"160"	"91"	"289"	"12"	"2"	"118"	"128"	"16"	"3"	"8"	"2"	"289"	"0"	"289"	"0"
"161"	"92"	"509"	"37"	"12"	"46"	"363"	"24"	"4"	"9"	"14"	"509"	"0"	"509"	"0"
"162"	"93"	"397"	"102"	"6"	"104"	"116"	"7"	"10"	"20"	"32"	"397"	"0"	"397"	"0"
"163"	"94"	"469"	"39"	"10"	"153"	"197"	"20"	"12"	"17"	"21"	"469"	"0"	"469"	"0"
"164"	"95"	"467"	"62"	"61"	"212"	"77"	"18"	"13"	"9"	"15"	"467"	"0"	"467"	"0"
"165"	"Grand Total"	"6075"	"625"	"449"	"1570"	"2683"	"221"	"105"	"186"	"236"	"6075"	"0"	"6075"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"173"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"174"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"175"	"96"	"404"	"49"	"6"	"129"	"162"	"14"	"8"	"16"	"20"	"404"	"0"	"404"	"0"
"176"	"97"	"360"	"25"	"13"	"142"	"138"	"4"	"11"	"21"	"6"	"360"	"0"	"360"	"0"
"177"	"98"	"350"	"12"	"5"	"52"	"216"	"41"	"6"	"13"	"5"	"350"	"0"	"350"	"0"
"178"	"99"	"383"	"7"	"19"	"97"	"234"	"6"	"8"	"9"	"3"	"383"	"0"	"383"	"0"
"179"	"99K"	"391"	"25"	"7"	"70"	"258"	"6"	"3"	"15"	"7"	"391"	"0"	"391"	"0"
"180"	"100"	"315"	"15"	"7"	"66"	"182"	"8"	"7"	"21"	"9"	"315"	"0"	"315"	"0"
"181"	"100K"	"356"	"14"	"21"	"21"	"270"	"13"	"2"	"12"	"3"	"356"	"0"	"356"	"0"
"182"	"101"	"410"	"43"	"7"	"55"	"236"	"16"	"8"	"21"	"24"	"410"	"0"	"410"	"0"
"183"	"102"	"359"	"72"	"3"	"105"	"143"	"8"	"5"	"10"	"13"	"359"	"0"	"359"	"0"
"184"	"103"	"487"	"69"	"6"	"289"	"80"	"10"	"8"	"12"	"13"	"487"	"0"	"487"	"0"
"185"	"104"	"457"	"14"	"1"	"382"	"36"	"3"	"5"	"5"	"11"	"457"	"0"	"457"	"0"
"186"	"104K"	"415"	"47"	"9"	"319"	"20"	"4"	"6"	"6"	"4"	"415"	"0"	"415"	"0"
"187"	"105"	"398"	"9"	"3"	"67"	"304"	"4"	"4"	"2"	"5"	"398"	"0"	"398"	"0"
"188"	"106"	"526"	"39"	"43"	"267"	"129"	"16"	"7"	"6"	"19"	"526"	"0"	"526"	"0"
"189"	"Grand Total"	"5611"	"440"	"150"	"2061"	"2408"	"153"	"88"	"169"	"142"	"5611"	"0"	"5611"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"197"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"198"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"199"	"107"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"200"	"108"	"366"	"37"	"78"	"69"	"115"	"8"	"16"	"20"	"23"	"366"	"0"	"366"	"0"
"201"	"108K"	"364"	"156"	"12"	"105"	"74"	"4"	"4"	"3"	"6"	"364"	"0"	"364"	"0"
"202"	"109"	"503"	"20"	"4"	"241"	"181"	"22"	"6"	"13"	"16"	"503"	"0"	"503"	"0"
"203"	"110"	"312"	"17"	"6"	"132"	"127"	"7"	"6"	"11"	"6"	"312"	"0"	"312"	"0"
"204"	"110K"	"287"	"31"	"12"	"60"	"163"	"6"	"0"	"7"	"8"	"287"	"0"	"287"	"0"
"205"	"111"	"481"	"21"	"30"	"40"	"338"	"22"	"7"	"15"	"8"	"481"	"0"	"481"	"0"
"206"	"112"	"648"	"21"	"11"	"86"	"492"	"17"	"5"	"12"	"4"	"648"	"0"	"648"	"0"
"207"	"113"	"598"	"39"	"26"	"313"	"172"	"21"	"11"	"9"	"7"	"598"	"0"	"598"	"0"
"208"	"114"	"550"	"22"	"10"	"111"	"324"	"19"	"12"	"23"	"29"	"550"	"0"	"550"	"0"
