"X138...KASBA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"42"	"29"	"134"	"11"	"251"	"101"	"27"	"10"	"16"	"23"	"15"	"23"	"611"
"43"	"30"	"135"	"11"	"5"	"239"	"16"	"8"	"12"	"2"	"5"	"3"	"436"
"44"	"31"	"108"	"13"	"85"	"201"	"11"	"6"	"17"	"9"	"10"	"17"	"477"
"45"	"32"	"256"	"17"	"117"	"164"	"23"	"5"	"17"	"7"	"8"	"16"	"630"
"46"	"33"	"195"	"8"	"152"	"97"	"8"	"0"	"13"	"3"	"1"	"12"	"489"
"47"	"34"	"370"	"13"	"28"	"145"	"42"	"10"	"10"	"8"	"5"	"10"	"641"
"48"	"35"	"33"	"4"	"180"	"306"	"11"	"8"	"23"	"9"	"6"	"16"	"596"
"49"	"36"	"63"	"10"	"272"	"102"	"4"	"5"	"14"	"19"	"3"	"34"	"526"
"50"	"37"	"357"	"7"	"23"	"74"	"30"	"2"	"7"	"8"	"4"	"9"	"521"
"51"	"38"	"12"	"2"	"36"	"116"	"6"	"6"	"12"	"5"	"4"	"7"	"206"
"52"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"53"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"54"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"56"	"39"	"311"	"8"	"110"	"71"	"7"	"6"	"6"	"7"	"5"	"12"	"543"
"57"	"40"	"172"	"8"	"223"	"184"	"14"	"17"	"36"	"21"	"8"	"45"	"728"
"58"	"41"	"24"	"10"	"152"	"331"	"22"	"14"	"36"	"17"	"14"	"21"	"641"
"59"	"42"	"178"	"9"	"243"	"79"	"14"	"7"	"11"	"10"	"3"	"12"	"566"
"60"	"43"	"20"	"6"	"170"	"343"	"6"	"3"	"18"	"6"	"3"	"10"	"585"
"61"	"43A"	"21"	"6"	"81"	"290"	"12"	"9"	"23"	"10"	"8"	"14"	"474"
"62"	"44"	"103"	"8"	"154"	"159"	"9"	"9"	"18"	"18"	"16"	"37"	"531"
"63"	"44A"	"33"	"14"	"182"	"58"	"11"	"6"	"12"	"13"	"18"	"53"	"400"
"64"	"45"	"35"	"3"	"240"	"65"	"7"	"6"	"6"	"9"	"15"	"28"	"414"
"65"	"45A"	"30"	"4"	"344"	"62"	"3"	"3"	"5"	"0"	"0"	"3"	"454"
"66"	"46"	"126"	"16"	"449"	"104"	"14"	"6"	"11"	"2"	"4"	"5"	"737"
"67"	"47"	"46"	"22"	"514"	"156"	"11"	"10"	"16"	"14"	"4"	"5"	"798"
"68"	"48"	"34"	"5"	"40"	"392"	"13"	"11"	"18"	"9"	"4"	"11"	"537"
"69"	"49"	"250"	"3"	"87"	"46"	"44"	"1"	"3"	"4"	"1"	"6"	"445"
"70"	"50"	"23"	"13"	"306"	"57"	"8"	"5"	"7"	"7"	"11"	"14"	"451"
"71"	"51"	"170"	"14"	"164"	"133"	"17"	"4"	"6"	"10"	"12"	"13"	"543"
"72"	"52"	"465"	"15"	"44"	"23"	"43"	"2"	"6"	"9"	"6"	"17"	"630"
"73"	"53"	"252"	"4"	"9"	"47"	"46"	"1"	"5"	"4"	"5"	"6"	"379"
"74"	"54"	"15"	"6"	"175"	"367"	"13"	"7"	"11"	"12"	"7"	"10"	"623"
"75"	"55"	"5"	"3"	"41"	"372"	"1"	"3"	"11"	"2"	"4"	"2"	"444"
"76"	"56"	"39"	"12"	"372"	"69"	"4"	"2"	"2"	"3"	"2"	"2"	"507"
"77"	"56A"	"233"	"4"	"277"	"45"	"4"	"5"	"9"	"4"	"2"	"12"	"595"
"78"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"79"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"80"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"82"	"57"	"43"	"11"	"142"	"163"	"9"	"7"	"18"	"8"	"7"	"13"	"421"
"83"	"57A"	"12"	"1"	"150"	"219"	"8"	"2"	"16"	"5"	"5"	"12"	"430"
"84"	"58"	"23"	"0"	"130"	"399"	"10"	"9"	"32"	"9"	"8"	"11"	"631"
"85"	"59"	"59"	"21"	"176"	"237"	"25"	"8"	"23"	"6"	"14"	"20"	"589"
"86"	"59A"	"43"	"6"	"134"	"243"	"28"	"8"	"28"	"14"	"13"	"20"	"537"
"87"	"60"	"223"	"41"	"84"	"133"	"16"	"10"	"20"	"21"	"13"	"37"	"598"
"88"	"61"	"283"	"14"	"40"	"234"	"25"	"10"	"15"	"12"	"6"	"36"	"675"
"89"	"62"	"316"	"5"	"18"	"128"	"44"	"5"	"19"	"8"	"9"	"25"	"577"
"90"	"63"	"13"	"26"	"174"	"84"	"13"	"9"	"17"	"14"	"11"	"19"	"380"
"91"	"64"	"91"	"8"	"403"	"80"	"17"	"11"	"9"	"16"	"7"	"33"	"675"
"92"	"65"	"320"	"24"	"190"	"46"	"14"	"4"	"5"	"8"	"6"	"13"	"630"
"93"	"66"	"7"	"4"	"453"	"21"	"2"	"5"	"1"	"2"	"3"	"10"	"508"
"94"	"67"	"344"	"7"	"20"	"79"	"27"	"3"	"4"	"5"	"2"	"7"	"498"
"95"	"68"	"212"	"5"	"18"	"119"	"11"	"8"	"11"	"3"	"8"	"12"	"407"
"96"	"69"	"120"	"10"	"514"	"46"	"9"	"13"	"2"	"11"	"6"	"8"	"739"
"97"	"70"	"63"	"4"	"265"	"76"	"221"	"19"	"2"	"9"	"7"	"20"	"686"
"98"	"71"	"318"	"15"	"35"	"28"	"27"	"1"	"1"	"5"	"0"	"1"	"431"
"99"	"71A"	"295"	"20"	"77"	"22"	"3"	"4"	"3"	"8"	"2"	"13"	"447"
"100"	"72"	"268"	"17"	"247"	"154"	"9"	"9"	"26"	"15"	"7"	"34"	"786"
"101"	"73"	"371"	"18"	"143"	"14"	"4"	"4"	"5"	"10"	"4"	"19"	"592"
"102"	"74"	"319"	"6"	"151"	"12"	"4"	"0"	"2"	"3"	"1"	"2"	"500"
"103"	"75"	"8"	"62"	"229"	"54"	"2"	"5"	"9"	"19"	"7"	"16"	"411"
"104"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"105"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"106"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"108"	"75A"	"15"	"60"	"225"	"39"	"3"	"5"	"12"	"41"	"8"	"13"	"421"
"109"	"76"	"25"	"8"	"513"	"30"	"3"	"46"	"6"	"8"	"6"	"11"	"656"
"110"	"77"	"17"	"0"	"374"	"71"	"5"	"5"	"8"	"7"	"6"	"9"	"502"
"111"	"77A"	"49"	"3"	"260"	"63"	"3"	"1"	"2"	"2"	"2"	"9"	"394"
"112"	"78"	"313"	"14"	"233"	"163"	"11"	"13"	"10"	"10"	"7"	"34"	"808"
"113"	"79"	"174"	"8"	"231"	"82"	"8"	"15"	"7"	"3"	"5"	"20"	"553"
"114"	"80"	"132"	"5"	"7"	"108"	"11"	"3"	"12"	"10"	"0"	"8"	"296"
"115"	"81"	"22"	"11"	"220"	"32"	"3"	"7"	"5"	"7"	"5"	"17"	"329"
"116"	"82"	"208"	"10"	"105"	"106"	"9"	"4"	"8"	"6"	"2"	"2"	"460"
"117"	"83"	"75"	"15"	"280"	"252"	"11"	"20"	"11"	"7"	"5"	"8"	"684"
"118"	"84"	"324"	"11"	"164"	"25"	"5"	"5"	"3"	"6"	"0"	"3"	"546"
"119"	"85"	"111"	"5"	"164"	"48"	"109"	"8"	"4"	"14"	"12"	"20"	"495"
"120"	"85A"	"159"	"10"	"146"	"54"	"27"	"11"	"6"	"5"	"4"	"13"	"435"
"121"	"86"	"66"	"8"	"319"	"118"	"6"	"12"	"11"	"10"	"4"	"27"	"581"
"122"	"87"	"57"	"4"	"337"	"111"	"5"	"8"	"9"	"4"	"3"	"10"	"548"
"123"	"88"	"25"	"6"	"529"	"31"	"6"	"26"	"6"	"27"	"7"	"29"	"692"
"124"	"89"	"142"	"56"	"412"	"61"	"12"	"31"	"19"	"20"	"11"	"39"	"803"
"125"	"90"	"245"	"4"	"68"	"57"	"9"	"5"	"3"	"8"	"3"	"4"	"406"
"126"	"91"	"231"	"7"	"225"	"25"	"22"	"2"	"3"	"4"	"3"	"4"	"526"
"127"	"92"	"222"	"5"	"167"	"38"	"8"	"3"	"3"	"5"	"1"	"7"	"459"
"128"	"93"	"103"	"7"	"123"	"132"	"16"	"3"	"5"	"5"	"2"	"21"	"417"
"129"	"93A"	"225"	"7"	"86"	"121"	"16"	"9"	"6"	"6"	"6"	"11"	"493"
"130"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"131"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"132"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"133"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"134"	"94"	"220"	"131"	"291"	"59"	"5"	"4"	"5"	"16"	"5"	"14"	"750"
"135"	"95"	"14"	"31"	"337"	"46"	"5"	"5"	"5"	"8"	"7"	"25"	"483"
"136"	"95A"	"239"	"15"	"157"	"37"	"7"	"5"	"5"	"6"	"7"	"18"	"496"
"137"	"96"	"303"	"16"	"125"	"33"	"3"	"8"	"3"	"3"	"5"	"11"	"510"
"138"	"96A"	"111"	"35"	"105"	"54"	"2"	"6"	"2"	"2"	"4"	"31"	"352"
"139"	"97"	"264"	"63"	"303"	"66"	"10"	"6"	"6"	"5"	"7"	"26"	"756"
"140"	"98"	"290"	"5"	"26"	"16"	"4"	"1"	"0"	"6"	"3"	"15"	"366"
"141"	"99"	"309"	"12"	"101"	"6"	"7"	"1"	"4"	"5"	"4"	"25"	"474"
"142"	"100"	"544"	"10"	"8"	"18"	"9"	"2"	"5"	"11"	"3"	"9"	"619"
"143"	"101"	"412"	"8"	"47"	"49"	"5"	"2"	"10"	"26"	"1"	"15"	"575"
"144"	"102"	"202"	"9"	"72"	"157"	"11"	"6"	"14"	"107"	"12"	"15"	"605"
"145"	"103"	"17"	"6"	"410"	"20"	"6"	"6"	"2"	"8"	"6"	"9"	"490"
"146"	"104"	"104"	"4"	"256"	"26"	"5"	"2"	"11"	"34"	"10"	"24"	"476"
"147"	"105"	"477"	"12"	"197"	"12"	"6"	"1"	"4"	"3"	"5"	"15"	"732"
"148"	"106"	"57"	"9"	"451"	"48"	"5"	"5"	"4"	"13"	"5"	"24"	"621"
"149"	"107"	"291"	"14"	"88"	"27"	"11"	"7"	"6"	"9"	"3"	"17"	"473"
"150"	"108"	"317"	"13"	"90"	"19"	"8"	"4"	"8"	"22"	"4"	"24"	"509"
"151"	"109"	"413"	"13"	"75"	"43"	"14"	"1"	"8"	"17"	"2"	"8"	"594"
"152"	"110"	"308"	"1"	"6"	"9"	"3"	"1"	"1"	"1"	"1"	"7"	"338"
"153"	"110A"	"321"	"3"	"0"	"5"	"5"	"0"	"7"	"3"	"3"	"3"	"350"
"154"	"111"	"225"	"5"	"196"	"7"	"1"	"0"	"4"	"8"	"8"	"7"	"461"
"155"	"111A"	"73"	"5"	"284"	"17"	"4"	"4"	"0"	"1"	"5"	"18"	"411"
"156"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"157"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"158"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"159"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"160"	"112"	"392"	"15"	"274"	"27"	"6"	"5"	"6"	"10"	"5"	"11"	"751"
"161"	"113"	"103"	"8"	"412"	"125"	"7"	"4"	"9"	"6"	"8"	"20"	"702"
"162"	"114"	"93"	"9"	"589"	"52"	"4"	"2"	"4"	"3"	"2"	"6"	"764"
"163"	"115"	"30"	"9"	"449"	"26"	"8"	"3"	"4"	"4"	"4"	"4"	"541"
"164"	"116"	"182"	"6"	"370"	"40"	"7"	"1"	"0"	"13"	"7"	"13"	"639"
"165"	"117"	"115"	"7"	"396"	"54"	"6"	"5"	"4"	"77"	"13"	"13"	"690"
"166"	"118"	"20"	"4"	"496"	"40"	"7"	"5"	"2"	"2"	"1"	"5"	"582"
"167"	"119"	"234"	"17"	"333"	"51"	"10"	"5"	"7"	"5"	"9"	"14"	"685"
"168"	"120"	"103"	"3"	"440"	"99"	"7"	"2"	"8"	"42"	"5"	"7"	"716"
"169"	"121"	"106"	"16"	"442"	"93"	"4"	"6"	"10"	"17"	"7"	"35"	"736"
"170"	"122"	"228"	"6"	"373"	"51"	"7"	"2"	"10"	"21"	"9"	"12"	"719"
"171"	"123"	"227"	"6"	"163"	"4"	"5"	"0"	"1"	"35"	"3"	"6"	"450"
"172"	"124"	"370"	"4"	"63"	"14"	"2"	"6"	"2"	"62"	"9"	"22"	"554"
"173"	"125"	"41"	"6"	"292"	"157"	"8"	"6"	"22"	"115"	"6"	"15"	"668"
"174"	"126"	"24"	"10"	"172"	"246"	"6"	"9"	"16"	"10"	"6"	"17"	"516"
"175"	"126A"	"18"	"9"	"186"	"233"	"6"	"8"	"13"	"19"	"2"	"1"	"495"
"176"	"127"	"185"	"11"	"310"	"110"	"26"	"2"	"10"	"13"	"12"	"17"	"696"
"177"	"128"	"25"	"7"	"325"	"35"	"3"	"6"	"2"	"5"	"1"	"2"	"411"
"178"	"129"	"392"	"13"	"7"	"2"	"13"	"4"	"0"	"4"	"2"	"9"	"446"
"179"	"130"	"326"	"11"	"48"	"6"	"3"	"7"	"3"	"3"	"0"	"13"	"420"
"180"	"131"	"443"	"17"	"62"	"20"	"7"	"6"	"5"	"3"	"4"	"10"	"577"
"181"	"132"	"300"	"10"	"121"	"10"	"9"	"5"	"1"	"4"	"4"	"14"	"478"
"182"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"183"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"184"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"185"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"186"	"133"	"184"	"11"	"212"	"102"	"3"	"3"	"10"	"8"	"9"	"10"	"552"
"187"	"134"	"138"	"3"	"279"	"293"	"14"	"13"	"22"	"11"	"13"	"23"	"809"
"188"	"135"	"12"	"12"	"382"	"122"	"9"	"6"	"12"	"7"	"4"	"13"	"579"
"189"	"136"	"11"	"9"	"740"	"36"	"5"	"7"	"2"	"9"	"4"	"3"	"826"
"190"	"137"	"447"	"13"	"78"	"7"	"9"	"2"	"7"	"4"	"4"	"7"	"578"
"191"	"138"	"298"	"7"	"192"	"26"	"5"	"3"	"7"	"7"	"3"	"22"	"570"
"192"	"139"	"185"	"16"	"334"	"36"	"9"	"3"	"2"	"3"	"2"	"4"	"594"
"193"	"140"	"227"	"12"	"423"	"66"	"7"	"7"	"7"	"10"	"2"	"7"	"768"
"194"	"141"	"290"	"8"	"280"	"32"	"6"	"4"	"1"	"8"	"2"	"17"	"648"
"195"	"142"	"488"	"12"	"142"	"13"	"3"	"2"	"2"	"6"	"3"	"15"	"686"
"196"	"143"	"140"	"3"	"9"	"224"	"10"	"9"	"12"	"7"	"1"	"9"	"424"
"197"	"143A"	"62"	"9"	"104"	"133"	"9"	"6"	"10"	"7"	"4"	"4"	"348"
"198"	"144"	"267"	"3"	"93"	"23"	"10"	"6"	"1"	"5"	"2"	"10"	"420"
"199"	"144A"	"226"	"12"	"93"	"28"	"2"	"2"	"8"	"4"	"2"	"4"	"381"
"200"	"145"	"108"	"4"	"136"	"161"	"11"	"2"	"9"	"1"	"1"	"3"	"436"
"201"	"146"	"467"	"12"	"108"	"31"	"1"	"3"	"1"	"3"	"1"	"6"	"633"
"202"	"147"	"386"	"5"	"4"	"8"	"1"	"2"	"0"	"0"	"1"	"7"	"414"
"203"	"147A"	"417"	"4"	"13"	"1"	"2"	"0"	"1"	"1"	"3"	"7"	"449"
"204"	"148"	"310"	"12"	"37"	"4"	"6"	"2"	"6"	"2"	"5"	"21"	"405"
"205"	"149"	"439"	"13"	"6"	"3"	"3"	"1"	"1"	"7"	"5"	"12"	"490"
"206"	"150"	"305"	"6"	"9"	"6"	"1"	"1"	"3"	"3"	"5"	"13"	"352"
"207"	"151"	"300"	"9"	"131"	"18"	"3"	"1"	"2"	"9"	"4"	"12"	"489"
"208"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"209"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"210"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"211"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"212"	"152"	"499"	"11"	"24"	"2"	"5"	"3"	"4"	"1"	"4"	"8"	"561"
"213"	"153"	"343"	"11"	"69"	"7"	"6"	"2"	"0"	"2"	"2"	"3"	"445"
"214"	"154"	"61"	"4"	"105"	"273"	"3"	"7"	"14"	"5"	"2"	"1"	"475"
"215"	"155"	"173"	"10"	"232"	"61"	"4"	"1"	"1"	"2"	"3"	"4"	"491"
"216"	"156"	"198"	"12"	"267"	"32"	"14"	"4"	"11"	"12"	"11"	"26"	"587"
"217"	"157"	"187"	"3"	"259"	"17"	"5"	"7"	"6"	"2"	"1"	"5"	"492"
"218"	"158"	"579"	"18"	"109"	"23"	"3"	"4"	"7"	"8"	"4"	"16"	"771"
"219"	"159"	"16"	"10"	"385"	"18"	"4"	"11"	"6"	"25"	"6"	"26"	"507"
"220"	"159A"	"42"	"7"	"272"	"91"	"7"	"30"	"7"	"5"	"1"	"7"	"469"
"221"	"160"	"8"	"3"	"434"	"46"	"7"	"11"	"6"	"12"	"5"	"11"	"543"
"222"	"160A"	"64"	"5"	"328"	"59"	"8"	"10"	"5"	"4"	"6"	"13"	"502"
"223"	"161"	"4"	"5"	"602"	"39"	"0"	"3"	"1"	"4"	"0"	"4"	"662"
"224"	"162"	"269"	"6"	"198"	"23"	"6"	"0"	"2"	"2"	"2"	"2"	"510"
"225"	"163"	"306"	"15"	"251"	"29"	"5"	"3"	"7"	"10"	"2"	"20"	"648"
"226"	"164"	"159"	"10"	"441"	"30"	"7"	"2"	"4"	"5"	"6"	"24"	"688"
"227"	"165"	"170"	"4"	"225"	"22"	"3"	"2"	"6"	"10"	"2"	"17"	"461"
"228"	"165A"	"59"	"3"	"329"	"17"	"2"	"5"	"1"	"3"	"1"	"6"	"426"
"229"	"166"	"148"	"6"	"468"	"33"	"8"	"5"	"4"	"4"	"1"	"3"	"680"
"230"	"167"	"222"	"9"	"222"	"37"	"3"	"1"	"3"	"5"	"1"	"11"	"514"
"231"	"168"	"122"	"6"	"109"	"4"	"2"	"13"	"0"	"1"	"0"	"2"	"259"
"232"	"169"	"465"	"9"	"60"	"12"	"16"	"2"	"4"	"6"	"5"	"12"	"591"
"233"	"170"	"62"	"11"	"247"	"155"	"5"	"2"	"5"	"9"	"2"	"3"	"501"
