"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"67"	"50"	"9"	"7"	"64"	"273"	"8"	"8"	"8"	"377"	"0"	"377"	"0"
"68"	"51"	"95"	"6"	"91"	"69"	"9"	"0"	"2"	"272"	"0"	"272"	"0"
"69"	"52"	"83"	"77"	"136"	"118"	"9"	"6"	"10"	"439"	"0"	"439"	"0"
"70"	"53"	"96"	"23"	"283"	"189"	"14"	"17"	"18"	"640"	"0"	"640"	"0"
"71"	"Total :"	"1021"	"545"	"2126"	"2069"	"135"	"142"	"160"	"6198"	"0"	"6198"	"0"
"72"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"74"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"75"	"54"	"49"	"9"	"214"	"126"	"14"	"4"	"5"	"421"	"0"	"421"	"0"
"76"	"54A"	"86"	"7"	"123"	"47"	"5"	"6"	"13"	"287"	"0"	"287"	"0"
"77"	"55"	"25"	"7"	"186"	"87"	"10"	"7"	"6"	"328"	"0"	"328"	"0"
"78"	"56"	"77"	"9"	"97"	"117"	"10"	"6"	"8"	"324"	"0"	"324"	"0"
"79"	"57"	"19"	"6"	"302"	"121"	"4"	"6"	"5"	"463"	"0"	"463"	"0"
"80"	"57A"	"31"	"2"	"173"	"151"	"3"	"3"	"1"	"364"	"0"	"364"	"0"
"81"	"58"	"35"	"19"	"113"	"179"	"14"	"17"	"22"	"399"	"0"	"399"	"0"
"82"	"59"	"6"	"2"	"84"	"225"	"9"	"4"	"11"	"341"	"0"	"341"	"0"
"83"	"60"	"19"	"4"	"94"	"140"	"6"	"4"	"3"	"270"	"0"	"270"	"0"
"84"	"61"	"7"	"15"	"125"	"46"	"2"	"5"	"7"	"207"	"0"	"207"	"0"
"85"	"62"	"15"	"3"	"139"	"142"	"11"	"10"	"5"	"325"	"0"	"325"	"0"
"86"	"63"	"40"	"4"	"187"	"244"	"7"	"7"	"6"	"495"	"0"	"495"	"0"
"87"	"64"	"53"	"9"	"116"	"285"	"6"	"8"	"8"	"485"	"0"	"485"	"0"
"88"	"65"	"10"	"16"	"94"	"139"	"9"	"7"	"15"	"290"	"0"	"290"	"0"
"89"	"Total :"	"472"	"112"	"2047"	"2049"	"110"	"94"	"115"	"4999"	"0"	"4999"	"0"
"90"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"92"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"93"	"66"	"49"	"25"	"197"	"139"	"4"	"6"	"8"	"428"	"0"	"428"	"0"
"94"	"67"	"123"	"34"	"163"	"118"	"15"	"5"	"8"	"466"	"0"	"466"	"0"
"95"	"68"	"101"	"27"	"171"	"139"	"19"	"15"	"13"	"485"	"0"	"485"	"0"
"96"	"69"	"38"	"6"	"315"	"239"	"12"	"18"	"13"	"641"	"0"	"641"	"0"
"97"	"70"	"19"	"0"	"236"	"130"	"8"	"10"	"13"	"416"	"0"	"416"	"0"
"98"	"71"	"14"	"6"	"253"	"44"	"10"	"12"	"16"	"355"	"0"	"355"	"0"
"99"	"71A"	"62"	"13"	"137"	"71"	"18"	"16"	"17"	"334"	"0"	"334"	"0"
"100"	"72"	"49"	"10"	"169"	"103"	"11"	"14"	"11"	"367"	"0"	"367"	"0"
"101"	"73"	"1"	"0"	"27"	"137"	"4"	"0"	"0"	"169"	"0"	"169"	"0"
"102"	"74"	"114"	"40"	"133"	"80"	"5"	"13"	"17"	"402"	"0"	"402"	"0"
"103"	"75"	"120"	"11"	"105"	"73"	"11"	"4"	"11"	"335"	"0"	"335"	"0"
"104"	"76"	"187"	"19"	"99"	"90"	"6"	"7"	"11"	"419"	"0"	"419"	"0"
"105"	"77"	"103"	"21"	"51"	"21"	"3"	"8"	"18"	"225"	"0"	"225"	"0"
"106"	"78"	"92"	"10"	"230"	"37"	"17"	"7"	"15"	"408"	"0"	"408"	"0"
"107"	"Total :"	"1072"	"222"	"2286"	"1421"	"143"	"135"	"171"	"5450"	"0"	"5450"	"0"
"108"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"110"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"111"	"79"	"98"	"66"	"93"	"33"	"6"	"7"	"1"	"304"	"0"	"304"	"0"
"112"	"80"	"74"	"34"	"109"	"106"	"8"	"9"	"11"	"351"	"0"	"351"	"0"
"113"	"81"	"99"	"10"	"83"	"179"	"10"	"10"	"17"	"408"	"0"	"408"	"0"
"114"	"82"	"45"	"34"	"51"	"272"	"19"	"11"	"12"	"444"	"0"	"444"	"0"
"115"	"83"	"49"	"13"	"203"	"84"	"15"	"18"	"27"	"409"	"0"	"409"	"0"
"116"	"84"	"18"	"4"	"219"	"30"	"8"	"15"	"3"	"297"	"0"	"297"	"0"
"117"	"85"	"38"	"23"	"105"	"111"	"17"	"21"	"26"	"341"	"0"	"341"	"0"
"118"	"86"	"45"	"43"	"125"	"217"	"12"	"21"	"27"	"490"	"0"	"490"	"0"
"119"	"87"	"36"	"61"	"256"	"145"	"30"	"22"	"48"	"598"	"0"	"598"	"0"
"120"	"88"	"50"	"80"	"307"	"31"	"10"	"26"	"11"	"515"	"0"	"515"	"0"
"121"	"89"	"26"	"32"	"188"	"144"	"7"	"16"	"11"	"424"	"0"	"424"	"0"
"122"	"90"	"38"	"10"	"288"	"159"	"13"	"17"	"21"	"546"	"0"	"546"	"0"
"123"	"91"	"42"	"55"	"157"	"93"	"12"	"8"	"11"	"378"	"0"	"378"	"0"
"124"	"92"	"18"	"7"	"203"	"182"	"21"	"16"	"20"	"467"	"0"	"467"	"0"
"125"	"Total :"	"676"	"472"	"2387"	"1786"	"188"	"217"	"246"	"5972"	"0"	"5972"	"0"
"126"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"128"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"129"	"93"	"132"	"17"	"224"	"48"	"5"	"10"	"12"	"448"	"0"	"448"	"0"
"130"	"94"	"157"	"19"	"172"	"72"	"5"	"12"	"7"	"444"	"0"	"444"	"0"
"131"	"95"	"190"	"14"	"104"	"85"	"6"	"17"	"19"	"435"	"0"	"435"	"0"
"132"	"96"	"9"	"34"	"111"	"151"	"11"	"3"	"6"	"325"	"0"	"325"	"0"
"133"	"96A"	"108"	"13"	"74"	"94"	"5"	"2"	"16"	"312"	"0"	"312"	"0"
"134"	"97"	"17"	"84"	"410"	"70"	"8"	"6"	"5"	"600"	"0"	"600"	"0"
"135"	"98"	"23"	"32"	"149"	"247"	"25"	"18"	"25"	"519"	"0"	"519"	"0"
"136"	"98A"	"5"	"0"	"123"	"25"	"8"	"9"	"9"	"179"	"0"	"179"	"0"
"137"	"99"	"29"	"3"	"4"	"241"	"10"	"3"	"2"	"292"	"0"	"292"	"0"
"138"	"100"	"39"	"9"	"214"	"94"	"7"	"11"	"9"	"383"	"0"	"383"	"0"
"139"	"101"	"22"	"10"	"354"	"49"	"2"	"30"	"9"	"476"	"0"	"476"	"0"
"140"	"102"	"28"	"38"	"92"	"183"	"17"	"6"	"14"	"378"	"0"	"378"	"0"
"141"	"103"	"25"	"5"	"232"	"250"	"15"	"12"	"11"	"550"	"0"	"550"	"0"
"142"	"104"	"10"	"18"	"185"	"13"	"5"	"4"	"5"	"240"	"0"	"240"	"0"
"143"	"Total :"	"794"	"296"	"2448"	"1622"	"129"	"143"	"149"	"5581"	"0"	"5581"	"0"
"144"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"146"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"147"	"105"	"27"	"90"	"162"	"70"	"7"	"16"	"12"	"384"	"0"	"384"	"0"
"148"	"106"	"19"	"58"	"99"	"92"	"7"	"4"	"8"	"287"	"0"	"287"	"0"
"149"	"106A"	"27"	"76"	"77"	"91"	"5"	"7"	"6"	"289"	"0"	"289"	"0"
"150"	"107"	"3"	"3"	"156"	"13"	"1"	"6"	"0"	"182"	"0"	"182"	"0"
"151"	"108"	"47"	"7"	"110"	"70"	"3"	"12"	"8"	"257"	"0"	"257"	"0"
"152"	"109"	"45"	"131"	"114"	"153"	"24"	"14"	"13"	"494"	"0"	"494"	"0"
"153"	"110"	"61"	"25"	"159"	"290"	"27"	"17"	"13"	"592"	"0"	"592"	"0"
"154"	"111"	"55"	"51"	"168"	"183"	"11"	"18"	"17"	"503"	"0"	"503"	"0"
"155"	"112"	"50"	"65"	"77"	"46"	"11"	"10"	"18"	"277"	"0"	"277"	"0"
"156"	"113"	"4"	"33"	"240"	"37"	"2"	"6"	"0"	"322"	"0"	"322"	"0"
"157"	"114"	"20"	"28"	"385"	"72"	"12"	"15"	"12"	"544"	"0"	"544"	"0"
"158"	"115"	"9"	"29"	"169"	"2"	"3"	"0"	"1"	"213"	"0"	"213"	"0"
"159"	"116"	"12"	"49"	"345"	"35"	"4"	"3"	"4"	"452"	"0"	"452"	"0"
"160"	"117"	"12"	"83"	"194"	"83"	"6"	"6"	"1"	"385"	"0"	"385"	"0"
"161"	"Total :"	"391"	"728"	"2455"	"1237"	"123"	"134"	"113"	"5181"	"0"	"5181"	"0"
