"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"29"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"1"	"13"	"95"	"10"	"88"	"7"	"3"	"3"	"2"	"9"	"3"	"3"	"223"	"0"	"223"	"0"
"42"	"2"	"14"	"238"	"22"	"137"	"9"	"7"	"3"	"0"	"1"	"3"	"2"	"422"	"0"	"422"	"0"
"43"	"3"	"15"	"23"	"8"	"361"	"20"	"6"	"2"	"8"	"8"	"1"	"7"	"444"	"0"	"444"	"0"
"44"	"4"	"16"	"130"	"19"	"294"	"11"	"8"	"2"	"4"	"17"	"6"	"19"	"510"	"0"	"510"	"0"
"45"	"5"	"17"	"77"	"16"	"278"	"5"	"1"	"0"	"1"	"5"	"5"	"5"	"393"	"0"	"393"	"0"
"46"	"6"	"17A"	"150"	"8"	"44"	"2"	"3"	"0"	"1"	"1"	"3"	"4"	"216"	"0"	"216"	"0"
"47"	"7"	"18"	"116"	"15"	"355"	"12"	"7"	"0"	"2"	"1"	"1"	"5"	"514"	"0"	"514"	"0"
"48"	"8"	"19"	"99"	"11"	"290"	"8"	"6"	"4"	"4"	"1"	"10"	"9"	"442"	"0"	"442"	"0"
"49"	"9"	"20"	"127"	"4"	"225"	"9"	"5"	"1"	"4"	"9"	"6"	"10"	"400"	"0"	"400"	"0"
"50"	"10"	"21"	"315"	"18"	"242"	"8"	"2"	"0"	"3"	"3"	"1"	"5"	"597"	"0"	"597"	"0"
"51"	"11"	"22"	"170"	"15"	"102"	"4"	"1"	"1"	"3"	"2"	"8"	"10"	"316"	"0"	"316"	"0"
"52"	"12"	"23"	"218"	"18"	"192"	"9"	"4"	"1"	"5"	"2"	"1"	"7"	"457"	"0"	"457"	"0"
"53"	"13"	"24"	"292"	"22"	"136"	"23"	"4"	"8"	"3"	"3"	"6"	"7"	"504"	"0"	"504"	"0"
"54"	"14"	"25"	"73"	"9"	"202"	"10"	"5"	"2"	"5"	"5"	"3"	"18"	"332"	"0"	"332"	"0"
"55"	"Total Votes Polled"	""	"2123"	"195"	"2946"	"137"	"62"	"27"	"45"	"67"	"57"	"111"	"5770"	"0"	"5770"	"0"
"56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"1"	"26"	"107"	"13"	"162"	"4"	"6"	"4"	"0"	"4"	"4"	"8"	"312"	"0"	"312"	"0"
"71"	"2"	"27"	"77"	"15"	"125"	"7"	"2"	"0"	"4"	"4"	"2"	"8"	"244"	"0"	"244"	"0"
"72"	"3"	"28"	"66"	"11"	"211"	"7"	"0"	"4"	"4"	"3"	"3"	"7"	"316"	"0"	"316"	"0"
"73"	"4"	"29"	"86"	"8"	"234"	"13"	"4"	"4"	"7"	"9"	"6"	"22"	"393"	"0"	"393"	"0"
"74"	"5"	"30"	"291"	"5"	"262"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"565"	"0"	"565"	"0"
"75"	"6"	"31"	"113"	"20"	"293"	"5"	"3"	"0"	"2"	"2"	"1"	"7"	"446"	"0"	"446"	"0"
"76"	"7"	"32"	"50"	"12"	"113"	"12"	"7"	"5"	"6"	"2"	"2"	"13"	"222"	"0"	"222"	"0"
"77"	"8"	"33"	"89"	"15"	"285"	"21"	"10"	"6"	"5"	"10"	"12"	"23"	"476"	"0"	"476"	"0"
"78"	"9"	"34"	"115"	"14"	"141"	"17"	"8"	"5"	"5"	"6"	"2"	"13"	"326"	"0"	"326"	"0"
"79"	"10"	"35"	"37"	"25"	"292"	"9"	"1"	"3"	"14"	"4"	"4"	"4"	"393"	"0"	"393"	"0"
"80"	"11"	"36"	"105"	"21"	"315"	"4"	"1"	"0"	"1"	"2"	"0"	"11"	"460"	"0"	"460"	"0"
"81"	"12"	"37"	"106"	"9"	"310"	"8"	"5"	"2"	"1"	"5"	"4"	"9"	"459"	"0"	"459"	"0"
"82"	"13"	"38"	"202"	"26"	"208"	"15"	"32"	"4"	"4"	"5"	"5"	"7"	"508"	"0"	"508"	"0"
"83"	"14"	"39"	"180"	"47"	"206"	"15"	"8"	"8"	"15"	"20"	"3"	"1"	"503"	"0"	"503"	"0"
"84"	"Total Votes Polled"	""	"1624"	"241"	"3157"	"139"	"87"	"46"	"68"	"77"	"49"	"135"	"5623"	"0"	"5623"	"0"
"85"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"97"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	"40"	"221"	"16"	"182"	"6"	"3"	"1"	"1"	"1"	"0"	"3"	"434"	"0"	"434"	"0"
"100"	"2"	"41"	"82"	"24"	"173"	"8"	"4"	"0"	"5"	"8"	"2"	"3"	"309"	"0"	"309"	"0"
"101"	"3"	"42"	"44"	"20"	"427"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"495"	"0"	"495"	"0"
"102"	"4"	"43"	"113"	"53"	"145"	"5"	"7"	"3"	"4"	"3"	"2"	"8"	"343"	"0"	"343"	"0"
"103"	"5"	"44"	"64"	"19"	"171"	"7"	"3"	"2"	"7"	"12"	"5"	"10"	"300"	"0"	"300"	"0"
"104"	"6"	"44A"	"105"	"65"	"113"	"11"	"5"	"3"	"4"	"2"	"2"	"8"	"318"	"0"	"318"	"0"
"105"	"7"	"45"	"85"	"12"	"357"	"8"	"1"	"3"	"2"	"4"	"2"	"4"	"478"	"0"	"478"	"0"
"106"	"8"	"46"	"148"	"10"	"321"	"6"	"4"	"2"	"2"	"4"	"15"	"4"	"516"	"0"	"516"	"0"
"107"	"9"	"47R"	"33"	"11"	"504"	"13"	"11"	"2"	"8"	"15"	"9"	"21"	"627"	"0"	"627"	"0"
"108"	"10"	"48"	"61"	"55"	"262"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"381"	"0"	"381"	"0"
"109"	"11"	"49"	"115"	"30"	"251"	"12"	"6"	"1"	"5"	"7"	"3"	"9"	"439"	"0"	"439"	"0"
"110"	"12"	"50"	"123"	"46"	"246"	"5"	"13"	"1"	"6"	"2"	"6"	"10"	"458"	"0"	"458"	"0"
"111"	"13"	"51"	"150"	"29"	"178"	"10"	"1"	"4"	"1"	"1"	"4"	"9"	"387"	"0"	"387"	"0"
"112"	"14"	"52"	"100"	"16"	"267"	"15"	"4"	"4"	"2"	"2"	"7"	"2"	"419"	"0"	"419"	"0"
"113"	"Total Votes Polled"	""	"1444"	"406"	"3597"	"108"	"62"	"27"	"47"	"61"	"60"	"92"	"5904"	"0"	"5904"	"0"
"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"127"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"1"	"53"	"213"	"4"	"121"	"4"	"7"	"2"	"1"	"2"	"0"	"0"	"354"	"0"	"354"	"0"
"129"	"2"	"54"	"176"	"8"	"124"	"4"	"8"	"0"	"4"	"3"	"2"	"11"	"340"	"0"	"340"	"0"
"130"	"3"	"55"	"170"	"17"	"27"	"2"	"2"	"0"	"0"	"1"	"4"	"2"	"225"	"0"	"225"	"0"
"131"	"4"	"55A"	"109"	"22"	"156"	"26"	"0"	"6"	"4"	"2"	"8"	"5"	"338"	"0"	"338"	"0"
"132"	"5"	"56"	"337"	"13"	"5"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"361"	"0"	"361"	"0"
"133"	"6"	"57"	"114"	"16"	"196"	"15"	"4"	"6"	"3"	"9"	"4"	"15"	"382"	"0"	"382"	"0"
"134"	"7"	"58"	"252"	"33"	"84"	"29"	"0"	"7"	"3"	"3"	"7"	"7"	"425"	"0"	"425"	"0"
"135"	"8"	"59"	"118"	"9"	"230"	"5"	"2"	"0"	"2"	"1"	"0"	"2"	"369"	"0"	"369"	"0"
"136"	"9"	"59A"	"96"	"6"	"163"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"274"	"0"	"274"	"0"
"137"	"10"	"60"	"170"	"12"	"280"	"16"	"4"	"2"	"5"	"3"	"8"	"6"	"506"	"0"	"506"	"0"
"138"	"11"	"60A"	"22"	"3"	"162"	"4"	"2"	"1"	"2"	"5"	"2"	"5"	"208"	"0"	"208"	"0"
"139"	"12"	"61"	"65"	"7"	"196"	"5"	"3"	"1"	"2"	"1"	"0"	"5"	"285"	"0"	"285"	"0"
"140"	"13"	"61A"	"172"	"9"	"180"	"6"	"2"	"5"	"6"	"9"	"7"	"4"	"400"	"0"	"400"	"0"
"141"	"14"	"62"	"80"	"21"	"187"	"6"	"6"	"2"	"2"	"12"	"7"	"24"	"347"	"0"	"347"	"0"
"142"	"Total Votes Polled"	""	"2094"	"180"	"2111"	"124"	"42"	"33"	"37"	"54"	"51"	"88"	"4814"	"0"	"4814"	"0"
"143"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	"63"	"120"	"55"	"272"	"17"	"2"	"0"	"3"	"2"	"3"	"4"	"478"	"0"	"478"	"0"
"158"	"2"	"64"	"244"	"9"	"84"	"3"	"0"	"0"	"1"	"1"	"0"	"5"	"347"	"0"	"347"	"0"
"159"	"3"	"65"	"171"	"7"	"187"	"32"	"3"	"11"	"10"	"8"	"5"	"7"	"441"	"0"	"441"	"0"
"160"	"4"	"66"	"123"	"13"	"225"	"14"	"5"	"1"	"4"	"8"	"3"	"6"	"402"	"0"	"402"	"0"
"161"	"5"	"67"	"101"	"29"	"105"	"7"	"6"	"4"	"4"	"4"	"3"	"8"	"271"	"0"	"271"	"0"
"162"	"6"	"68"	"227"	"41"	"192"	"20"	"17"	"6"	"13"	"16"	"9"	"7"	"548"	"0"	"548"	"0"
"163"	"7"	"69"	"55"	"14"	"208"	"9"	"3"	"1"	"1"	"1"	"6"	"5"	"303"	"0"	"303"	"0"
"164"	"8"	"69A"	"34"	"10"	"275"	"21"	"5"	"0"	"5"	"14"	"8"	"5"	"377"	"0"	"377"	"0"
"165"	"9"	"70"	"154"	"52"	"123"	"12"	"8"	"2"	"8"	"9"	"5"	"8"	"381"	"0"	"381"	"0"
"166"	"10"	"70A"	"118"	"14"	"70"	"85"	"8"	"6"	"3"	"7"	"0"	"4"	"315"	"0"	"315"	"0"
"167"	"11"	"71"	"220"	"66"	"40"	"2"	"6"	"3"	"7"	"12"	"8"	"13"	"377"	"0"	"377"	"0"
"168"	"12"	"72"	"127"	"29"	"137"	"17"	"4"	"6"	"5"	"4"	"4"	"5"	"338"	"0"	"338"	"0"
"169"	"13"	"73"	"15"	"116"	"14"	"2"	"2"	"1"	"2"	"0"	"6"	"1"	"159"	"0"	"159"	"0"
"170"	"14"	"73A"	"27"	"22"	"125"	"5"	"1"	"1"	"7"	"5"	"3"	"11"	"207"	"0"	"207"	"0"
"171"	"Total Votes Polled"	""	"1736"	"477"	"2057"	"246"	"70"	"42"	"73"	"91"	"63"	"89"	"4944"	"0"	"4944"	"0"
"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"1"	"74"	"139"	"28"	"209"	"15"	"6"	"3"	"4"	"3"	"2"	"2"	"411"	"0"	"411"	"0"
"187"	"2"	"75"	"96"	"41"	"79"	"4"	"7"	"0"	"2"	"1"	"7"	"8"	"245"	"0"	"245"	"0"
"188"	"3"	"75A"	"156"	"22"	"45"	"6"	"2"	"3"	"4"	"6"	"9"	"11"	"264"	"0"	"264"	"0"
"189"	"4"	"76"	"158"	"42"	"108"	"36"	"10"	"12"	"5"	"10"	"6"	"17"	"404"	"0"	"404"	"0"
"190"	"5"	"77"	"262"	"24"	"162"	"12"	"8"	"6"	"5"	"8"	"9"	"6"	"502"	"0"	"502"	"0"
"191"	"6"	"78"	"249"	"12"	"64"	"9"	"4"	"1"	"1"	"0"	"6"	"1"	"347"	"0"	"347"	"0"
"192"	"7"	"79"	"105"	"11"	"120"	"9"	"4"	"0"	"5"	"4"	"2"	"5"	"265"	"0"	"265"	"0"
"193"	"8"	"80"	"105"	"46"	"129"	"32"	"12"	"7"	"5"	"9"	"5"	"9"	"359"	"0"	"359"	"0"
"194"	"9"	"80A"	"83"	"8"	"77"	"7"	"2"	"2"	"0"	"3"	"2"	"3"	"187"	"0"	"187"	"0"
"195"	"10"	"81"	"82"	"39"	"144"	"43"	"6"	"7"	"4"	"13"	"4"	"10"	"352"	"0"	"352"	"0"
"196"	"11"	"82"	"148"	"43"	"165"	"8"	"7"	"4"	"4"	"14"	"3"	"15"	"411"	"0"	"411"	"0"
"197"	"12"	"83"	"242"	"12"	"110"	"3"	"1"	"1"	"3"	"4"	"1"	"5"	"382"	"0"	"382"	"0"
"198"	"13"	"83A"	"136"	"9"	"85"	"7"	"2"	"2"	"0"	"0"	"1"	"3"	"245"	"0"	"245"	"0"
"199"	"14"	"84"	"107"	"43"	"305"	"8"	"1"	"2"	"4"	"3"	"1"	"3"	"477"	"0"	"477"	"0"
"200"	"Total Votes Polled"	""	"2068"	"380"	"1802"	"199"	"72"	"50"	"46"	"78"	"58"	"98"	"4851"	"0"	"4851"	"0"
"201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
