"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"30"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"1"	"14"	"29"	"2"	"171"	"10"	"11"	"59"	"7"	"3"	"6"	"298"	"0"	"298"	"0"
"40"	"2"	"15"	"31"	"3"	"158"	"13"	"13"	"256"	"17"	"8"	"18"	"517"	"0"	"517"	"0"
"41"	"3"	"16"	"16"	"3"	"72"	"11"	"3"	"145"	"2"	"1"	"7"	"260"	"0"	"260"	"0"
"42"	"4"	"17"	"31"	"6"	"105"	"6"	"7"	"183"	"9"	"5"	"9"	"361"	"0"	"361"	"0"
"43"	"5"	"18"	"42"	"1"	"179"	"5"	"6"	"130"	"4"	"3"	"4"	"374"	"0"	"374"	"0"
"44"	"6"	"18A"	"60"	"8"	"139"	"3"	"5"	"117"	"1"	"5"	"6"	"344"	"0"	"344"	"0"
"45"	"7"	"19"	"20"	"6"	"236"	"14"	"8"	"160"	"6"	"2"	"10"	"462"	"0"	"462"	"0"
"46"	"8"	"20"	"13"	"1"	"94"	"11"	"7"	"241"	"8"	"2"	"8"	"385"	"0"	"385"	"0"
"47"	"9"	"21"	"14"	"5"	"267"	"13"	"11"	"308"	"19"	"7"	"5"	"649"	"0"	"649"	"0"
"48"	"10"	"22"	"16"	"1"	"20"	"0"	"3"	"62"	"1"	"0"	"1"	"104"	"0"	"104"	"0"
"49"	"11"	"22A"	"8"	"0"	"19"	"4"	"3"	"56"	"0"	"0"	"5"	"95"	"0"	"95"	"0"
"50"	"12"	"23"	"10"	"1"	"17"	"1"	"4"	"50"	"2"	"2"	"7"	"94"	"0"	"94"	"0"
"51"	"13"	"23A"	"4"	"0"	"60"	"3"	"1"	"70"	"3"	"1"	"2"	"144"	"0"	"144"	"0"
"52"	"14"	"24"	"4"	"2"	"54"	"2"	"4"	"62"	"3"	"0"	"3"	"134"	"0"	"134"	"0"
"53"	"Total Votes Polled"	""	"298"	"39"	"1591"	"96"	"86"	"1899"	"82"	"39"	"91"	"4221"	"0"	"4221"	"241-0"
"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"66"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"1"	"24A"	"13"	"5"	"79"	"6"	"3"	"90"	"2"	"3"	"2"	"203"	"0"	"203"	"0"
"68"	"2"	"25"	"27"	"6"	"208"	"18"	"9"	"181"	"16"	"13"	"38"	"516"	"0"	"516"	"0"
"69"	"3"	"26"	"69"	"12"	"166"	"15"	"15"	"107"	"12"	"5"	"12"	"413"	"0"	"413"	"0"
"70"	"4"	"27"	"9"	"1"	"150"	"10"	"6"	"108"	"9"	"4"	"20"	"317"	"0"	"317"	"0"
"71"	"5"	"28"	"14"	"11"	"191"	"28"	"18"	"279"	"23"	"7"	"15"	"586"	"0"	"586"	"0"
"72"	"6"	"29"	"12"	"1"	"159"	"10"	"8"	"202"	"16"	"4"	"16"	"428"	"0"	"428"	"0"
"73"	"7"	"30"	"36"	"2"	"72"	"4"	"1"	"235"	"2"	"1"	"6"	"359"	"0"	"359"	"0"
"74"	"8"	"31"	"24"	"0"	"29"	"4"	"10"	"326"	"3"	"1"	"4"	"401"	"0"	"401"	"0"
"75"	"9"	"32"	"20"	"3"	"137"	"10"	"7"	"225"	"5"	"2"	"8"	"417"	"0"	"417"	"0"
"76"	"10"	"33"	"48"	"12"	"140"	"27"	"11"	"248"	"10"	"1"	"5"	"502"	"0"	"502"	"0"
"77"	"11"	"34"	"70"	"9"	"24"	"7"	"8"	"224"	"7"	"5"	"8"	"362"	"0"	"362"	"0"
"78"	"12"	"35"	"40"	"2"	"64"	"2"	"4"	"447"	"3"	"1"	"7"	"570"	"0"	"570"	"0"
"79"	"13"	"36"	"43"	"6"	"104"	"8"	"3"	"274"	"8"	"5"	"5"	"456"	"0"	"456"	"0"
"80"	"14"	"37"	"120"	"7"	"59"	"13"	"14"	"202"	"17"	"8"	"30"	"470"	"0"	"470"	"0"
"81"	"Total Votes Polled"	""	"545"	"77"	"1582"	"162"	"117"	"3148"	"133"	"60"	"176"	"6000"	"0"	"6000"	"241-0"
"82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"93"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"1"	"38"	"24"	"0"	"13"	"0"	"0"	"563"	"1"	"0"	"0"	"601"	"0"	"601"	"0"
"96"	"2"	"39"	"61"	"11"	"135"	"13"	"7"	"130"	"5"	"8"	"17"	"387"	"0"	"387"	"0"
"97"	"3"	"40"	"37"	"11"	"101"	"17"	"19"	"198"	"19"	"9"	"18"	"429"	"0"	"429"	"0"
"98"	"4"	"41"	"21"	"1"	"103"	"9"	"9"	"48"	"4"	"2"	"4"	"201"	"0"	"201"	"0"
"99"	"5"	"42"	"85"	"5"	"54"	"14"	"9"	"70"	"5"	"2"	"15"	"259"	"0"	"259"	"0"
"100"	"6"	"43"	"49"	"4"	"93"	"12"	"9"	"242"	"14"	"9"	"18"	"450"	"0"	"450"	"0"
"101"	"7"	"44"	"23"	"3"	"86"	"5"	"6"	"157"	"7"	"5"	"12"	"304"	"0"	"304"	"0"
"102"	"8"	"45"	"13"	"2"	"80"	"8"	"10"	"189"	"7"	"3"	"5"	"317"	"0"	"317"	"0"
"103"	"9"	"46"	"11"	"3"	"52"	"9"	"5"	"298"	"8"	"3"	"11"	"400"	"0"	"400"	"0"
"104"	"10"	"46A"	"71"	"8"	"83"	"5"	"10"	"91"	"5"	"3"	"5"	"281"	"0"	"281"	"0"
"105"	"11"	"47"	"9"	"0"	"30"	"1"	"1"	"479"	"4"	"2"	"4"	"530"	"0"	"530"	"0"
"106"	"12"	"48"	"34"	"17"	"194"	"29"	"20"	"191"	"17"	"4"	"14"	"520"	"0"	"520"	"0"
"107"	"13"	"49"	"99"	"10"	"64"	"14"	"14"	"99"	"5"	"7"	"17"	"329"	"0"	"329"	"0"
"108"	"14"	"50"	"18"	"1"	"19"	"0"	"5"	"408"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"109"	"Total Votes Polled"	""	"555"	"76"	"1107"	"136"	"124"	"3163"	"101"	"57"	"140"	"5459"	"0"	"5459"	"241-0"
"110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"1"	"51"	"8"	"5"	"294"	"22"	"5"	"318"	"9"	"3"	"7"	"671"	"0"	"671"	"0"
"124"	"2"	"52"	"23"	"5"	"32"	"6"	"2"	"130"	"2"	"6"	"10"	"216"	"0"	"216"	"0"
"125"	"3"	"53"	"156"	"6"	"143"	"8"	"12"	"213"	"10"	"2"	"5"	"555"	"0"	"555"	"0"
"126"	"4"	"54"	"41"	"1"	"41"	"2"	"3"	"115"	"5"	"1"	"2"	"211"	"0"	"211"	"0"
"127"	"5"	"55"	"5"	"1"	"67"	"4"	"3"	"70"	"4"	"4"	"7"	"165"	"0"	"165"	"0"
"128"	"6"	"56"	"62"	"4"	"107"	"10"	"8"	"99"	"3"	"3"	"15"	"311"	"0"	"311"	"0"
"129"	"7"	"57"	"26"	"2"	"33"	"6"	"8"	"490"	"16"	"6"	"14"	"601"	"0"	"601"	"0"
"130"	"8"	"58"	"29"	"4"	"18"	"6"	"5"	"317"	"6"	"0"	"3"	"388"	"0"	"388"	"0"
"131"	"9"	"59"	"46"	"5"	"41"	"23"	"10"	"162"	"4"	"2"	"10"	"303"	"0"	"303"	"0"
"132"	"10"	"60"	"70"	"4"	"43"	"8"	"4"	"53"	"6"	"1"	"9"	"198"	"0"	"198"	"0"
"133"	"11"	"61"	"9"	"1"	"114"	"3"	"2"	"207"	"3"	"1"	"6"	"346"	"0"	"346"	"0"
"134"	"12"	"61A"	"26"	"1"	"129"	"5"	"7"	"205"	"10"	"3"	"6"	"392"	"0"	"392"	"0"
"135"	"13"	"62"	"65"	"0"	"212"	"9"	"13"	"82"	"4"	"2"	"7"	"394"	"0"	"394"	"0"
"136"	"14"	"63"	"36"	"1"	"59"	"6"	"4"	"207"	"6"	"2"	"10"	"331"	"0"	"331"	"0"
"137"	"Total Votes Polled"	""	"602"	"40"	"1333"	"118"	"86"	"2668"	"88"	"36"	"111"	"5082"	"0"	"5082"	"241-0"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"150"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"1"	"64"	"55"	"3"	"164"	"6"	"6"	"111"	"8"	"2"	"8"	"363"	"0"	"363"	"0"
"152"	"2"	"65"	"59"	"15"	"70"	"31"	"21"	"235"	"16"	"5"	"22"	"474"	"0"	"474"	"0"
"153"	"3"	"66"	"72"	"8"	"65"	"9"	"9"	"176"	"4"	"0"	"3"	"346"	"0"	"346"	"0"
"154"	"4"	"66A"	"50"	"6"	"32"	"10"	"8"	"209"	"7"	"2"	"4"	"328"	"0"	"328"	"0"
"155"	"5"	"67"	"78"	"2"	"103"	"4"	"10"	"114"	"7"	"4"	"12"	"334"	"0"	"334"	"0"
"156"	"6"	"68"	"98"	"7"	"41"	"7"	"6"	"129"	"5"	"2"	"9"	"304"	"0"	"304"	"0"
"157"	"7"	"68A"	"17"	"2"	"107"	"7"	"6"	"143"	"6"	"6"	"12"	"306"	"0"	"306"	"0"
"158"	"8"	"69"	"71"	"10"	"50"	"9"	"11"	"212"	"8"	"5"	"20"	"396"	"0"	"396"	"0"
"159"	"9"	"69A"	"77"	"15"	"92"	"12"	"5"	"175"	"8"	"1"	"2"	"387"	"0"	"387"	"0"
"160"	"10"	"70"	"19"	"3"	"163"	"16"	"8"	"195"	"11"	"3"	"4"	"422"	"0"	"422"	"0"
"161"	"11"	"71"	"37"	"3"	"28"	"2"	"8"	"452"	"4"	"7"	"7"	"548"	"0"	"548"	"0"
"162"	"12"	"72"	"28"	"9"	"99"	"16"	"7"	"198"	"8"	"4"	"6"	"375"	"0"	"375"	"0"
"163"	"13"	"73"	"29"	"9"	"157"	"7"	"8"	"197"	"9"	"7"	"4"	"427"	"0"	"427"	"0"
"164"	"14"	"74"	"76"	"33"	"71"	"3"	"10"	"122"	"5"	"2"	"5"	"327"	"0"	"327"	"0"
"165"	"Total Votes Polled"	""	"766"	"125"	"1242"	"139"	"123"	"2668"	"106"	"50"	"118"	"5337"	"0"	"5337"	"241-0"
"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"1"	"75"	"52"	"11"	"116"	"7"	"15"	"150"	"4"	"4"	"13"	"372"	"0"	"372"	"0"
"180"	"2"	"75A"	"32"	"2"	"32"	"9"	"6"	"136"	"4"	"2"	"4"	"227"	"0"	"227"	"0"
"181"	"3"	"76"	"51"	"12"	"40"	"11"	"12"	"237"	"14"	"8"	"11"	"396"	"0"	"396"	"0"
"182"	"4"	"77"	"70"	"8"	"145"	"14"	"11"	"127"	"5"	"7"	"7"	"394"	"0"	"394"	"0"
"183"	"5"	"78"	"45"	"48"	"212"	"14"	"12"	"124"	"12"	"8"	"26"	"501"	"0"	"501"	"0"
"184"	"6"	"79"	"34"	"7"	"89"	"17"	"7"	"128"	"17"	"5"	"4"	"308"	"0"	"308"	"0"
"185"	"7"	"80"	"16"	"4"	"189"	"20"	"21"	"65"	"10"	"7"	"12"	"344"	"0"	"344"	"0"
"186"	"8"	"81"	"114"	"6"	"71"	"3"	"5"	"97"	"3"	"1"	"3"	"303"	"0"	"303"	"0"
"187"	"9"	"81A"	"13"	"1"	"34"	"1"	"3"	"186"	"4"	"0"	"1"	"243"	"0"	"243"	"0"
"188"	"10"	"82"	"15"	"9"	"168"	"17"	"15"	"115"	"5"	"4"	"4"	"352"	"0"	"352"	"0"
"189"	"11"	"82A"	"10"	"4"	"52"	"6"	"1"	"39"	"5"	"1"	"3"	"121"	"0"	"121"	"0"
"190"	"12"	"83"	"24"	"1"	"58"	"3"	"8"	"210"	"1"	"0"	"10"	"315"	"0"	"315"	"0"
"191"	"13"	"84"	"59"	"15"	"83"	"10"	"10"	"111"	"7"	"3"	"6"	"304"	"0"	"304"	"0"
"192"	"14"	"85"	"9"	"3"	"88"	"7"	"8"	"112"	"6"	"6"	"15"	"254"	"0"	"254"	"0"
"193"	"Total Votes Polled"	""	"544"	"131"	"1377"	"139"	"134"	"1837"	"97"	"56"	"119"	"4434"	"0"	"4434"	"241-0"
"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"1"	"86"	"25"	"10"	"139"	"17"	"9"	"170"	"8"	"0"	"9"	"387"	"0"	"387"	"0"
"208"	"2"	"87"	"65"	"11"	"173"	"7"	"7"	"99"	"11"	"9"	"40"	"422"	"0"	"422"	"0"
"209"	"3"	"87A"	"23"	"1"	"35"	"3"	"2"	"40"	"1"	"1"	"4"	"110"	"0"	"110"	"0"
"210"	"4"	"88"	"79"	"6"	"122"	"13"	"16"	"239"	"13"	"8"	"11"	"507"	"0"	"507"	"0"
"211"	"5"	"89"	"138"	"9"	"40"	"7"	"12"	"186"	"11"	"8"	"19"	"430"	"0"	"430"	"0"
"212"	"6"	"90"	"5"	"1"	"15"	"1"	"3"	"90"	"1"	"1"	"3"	"120"	"0"	"120"	"0"
"213"	"7"	"91"	"22"	"5"	"53"	"14"	"20"	"239"	"16"	"5"	"7"	"381"	"0"	"381"	"0"
"214"	"8"	"92"	"32"	"5"	"50"	"3"	"7"	"97"	"6"	"7"	"6"	"213"	"0"	"213"	"0"
"215"	"9"	"93"	"19"	"25"	"132"	"9"	"4"	"114"	"6"	"1"	"4"	"314"	"0"	"314"	"0"
"216"	"10"	"94"	"22"	"16"	"125"	"8"	"9"	"99"	"9"	"2"	"5"	"295"	"0"	"295"	"0"
"217"	"11"	"95"	"55"	"13"	"96"	"12"	"10"	"216"	"5"	"5"	"11"	"423"	"0"	"423"	"0"
