"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	""	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"6"	""	""	""	""	""	""	"NAWAL KUMAR"	""	""	"PHOOL CHAND MANJHI"	""	"SHARMILA BHARTI"	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWAR
RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"7"	"29A"	""	""	""	"94"	""	""	""	"32"	""	""	"2"	""	""	""	""	"40"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"2"	""	""	""	"15"	""	""	""	"197"	""	""	""	"0"	""	""	""	""	"197"	""	""	""	""	""	""	""	""
"62"	"8"	"30"	""	""	""	"41"	""	""	""	"75"	""	""	"8"	""	""	""	""	"40"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"4"	""	""	""	"10"	""	""	""	"185"	""	""	""	"0"	""	""	""	""	"185"	""	""	""	""	""	""	""	""
"63"	"9"	"30A"	""	""	""	"99"	""	""	""	"33"	""	""	"9"	""	""	""	""	"33"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"18"	""	""	""	"12"	""	""	""	"217"	""	""	""	"0"	""	""	""	""	"217"	""	""	""	""	""	""	""	""
"64"	"10"	"31"	""	""	""	"9"	""	""	""	"92"	""	""	"16"	""	""	""	""	"83"	""	""	""	"11"	""	""	""	""	"10"	""	""	""	"10"	""	""	""	"13"	""	""	""	"13"	""	""	""	"257"	""	""	""	"0"	""	""	""	""	"257"	""	""	""	""	""	""	""	""
"65"	"11"	"32"	""	""	""	"71"	""	""	""	"12"	""	""	"5"	""	""	""	""	"182"	""	""	""	"9"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	"2"	""	""	""	"24"	""	""	""	"318"	""	""	""	"0"	""	""	""	""	"318"	""	""	""	""	""	""	""	""
"66"	"12"	"33"	""	""	""	"105"	""	""	""	"46"	""	""	"10"	""	""	""	""	"56"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	"5"	""	""	""	"22"	""	""	""	"272"	""	""	""	"0"	""	""	""	""	"272"	""	""	""	""	""	""	""	""
"67"	"13"	"34"	""	""	""	"102"	""	""	""	"67"	""	""	"7"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	""	"6"	""	""	""	"204"	""	""	""	"0"	""	""	""	""	"204"	""	""	""	""	""	""	""	""
"68"	"14"	"35"	""	""	""	"111"	""	""	""	"35"	""	""	"9"	""	""	""	""	"273"	""	""	""	"12"	""	""	""	""	"5"	""	""	""	"8"	""	""	""	"7"	""	""	""	"28"	""	""	""	"488"	""	""	""	"0"	""	""	""	""	"488"	""	""	""	""	""	""	""	""
"69"	"Total"	""	""	""	""	"1174"	""	""	""	"1121"	""	""	"116"	""	""	""	""	"938"	""	""	""	"61"	""	""	""	""	"77"	""	""	""	"100"	""	""	""	"85"	""	""	""	"205"	""	""	""	"3877"	""	""	""	"0"	""	""	""	""	"3877"	""	""	""	""	""	""	""	""
"70"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Table No"	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"74"	""	""	""	""	""	"NAWAL KUMAR"	""	""	""	"PHOOL CHAND MANJHI"	""	""	"SHARMILA BHARTI"	""	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"76"	"1"	"36"	""	""	""	"79"	""	""	""	"112"	""	""	"24"	""	""	""	""	"109"	""	""	""	"5"	""	""	""	""	"13"	""	""	""	"8"	""	""	""	"9"	""	""	""	"17"	""	""	""	"376"	""	""	""	"0"	""	""	""	""	"376"	""	""	""	""	""	""	""	""
"77"	"2"	"37"	""	""	""	"85"	""	""	""	"143"	""	""	"6"	""	""	""	""	"23"	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"16"	""	""	""	"9"	""	""	""	"25"	""	""	""	"315"	""	""	""	"0"	""	""	""	""	"315"	""	""	""	""	""	""	""	""
"78"	"3"	"38"	""	""	""	"108"	""	""	""	"157"	""	""	"24"	""	""	""	""	"133"	""	""	""	"15"	""	""	""	""	"14"	""	""	""	"20"	""	""	""	"4"	""	""	""	"28"	""	""	""	"503"	""	""	""	"0"	""	""	""	""	"503"	""	""	""	""	""	""	""	""
