"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"54"	"44"	"16"	"75"	"15"	"341"	"31"	"32"	"7"	"20"	"24"	"561"	""	"561"	""
"55"	"45"	"42"	"423"	"32"	"184"	"19"	"10"	"5"	"4"	"9"	"728"	""	"728"	""
"56"	"46"	"15"	"107"	"63"	"370"	"15"	"8"	"18"	"5"	"17"	"618"	""	"618"	""
"57"	"47"	"7"	"45"	"22"	"136"	"4"	"2"	"5"	"1"	"5"	"227"	""	"227"	""
"58"	"47A"	"9"	"4"	"18"	"291"	"7"	"22"	"1"	"2"	"15"	"369"	""	"369"	""
"59"	"48"	"13"	"7"	"28"	"280"	"10"	"2"	"7"	"7"	"5"	"359"	""	"359"	""
"60"	"48A"	"4"	"3"	"7"	"174"	"5"	"17"	"4"	"5"	"5"	"224"	""	"224"	""
"61"	"49"	"38"	"17"	"61"	"252"	"8"	"5"	"9"	"6"	"9"	"405"	""	"405"	""
"62"	"50"	"38"	"408"	"26"	"122"	"34"	"11"	"4"	"5"	"24"	"672"	""	"672"	""
"63"	"51"	"31"	"344"	"21"	"139"	"21"	"13"	"6"	"10"	"14"	"599"	""	"599"	""
"64"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"65"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"66"	"52"	"24"	"565"	"34"	"134"	"19"	"7"	"3"	"4"	"11"	"801"	""	"801"	""
"67"	"53"	"17"	"374"	"19"	"164"	"11"	"5"	"2"	"2"	"8"	"602"	""	"602"	""
"68"	"54"	"30"	"436"	"22"	"126"	"23"	"28"	"8"	"12"	"26"	"711"	""	"711"	""
"69"	"55"	"28"	"420"	"48"	"250"	"18"	"14"	"10"	"4"	"9"	"801"	""	"801"	""
"70"	"56"	"18"	"456"	"14"	"206"	"24"	"12"	"7"	"19"	"37"	"793"	""	"793"	""
"71"	"57"	"15"	"501"	"61"	"91"	"17"	"5"	"6"	"4"	"10"	"710"	""	"710"	""
"72"	"58"	"40"	"238"	"172"	"165"	"21"	"21"	"32"	"16"	"45"	"750"	""	"750"	""
"73"	"59"	"13"	"280"	"20"	"272"	"22"	"12"	"8"	"10"	"23"	"660"	""	"660"	""
"74"	"60"	"19"	"249"	"30"	"310"	"13"	"4"	"7"	"2"	"3"	"637"	""	"637"	""
"75"	"61"	"17"	"262"	"112"	"253"	"22"	"10"	"20"	"14"	"24"	"734"	""	"734"	""
"76"	"62"	"61"	"237"	"61"	"330"	"26"	"14"	"16"	"12"	"8"	"765"	""	"765"	""
"77"	"63"	"24"	"137"	"36"	"268"	"25"	"8"	"8"	"11"	"21"	"538"	""	"538"	""
"78"	"64"	"15"	"101"	"6"	"266"	"14"	"6"	"4"	"13"	"31"	"456"	""	"456"	""
"79"	"65"	"17"	"242"	"26"	"96"	"21"	"6"	"0"	"6"	"15"	"429"	""	"429"	""
"80"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"81"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"82"	"65A"	"23"	"233"	"20"	"127"	"15"	"3"	"5"	"16"	"15"	"457"	""	"457"	""
"83"	"66"	"24"	"267"	"16"	"138"	"9"	"8"	"4"	"4"	"16"	"486"	""	"486"	""
"84"	"66A"	"2"	"108"	"5"	"237"	"9"	"2"	"6"	"7"	"2"	"378"	""	"378"	""
"85"	"67"	"25"	"112"	"18"	"432"	"10"	"6"	"4"	"1"	"10"	"618"	""	"618"	""
"86"	"68"	"26"	"329"	"30"	"142"	"16"	"2"	"1"	"1"	"9"	"556"	""	"556"	""
"87"	"69"	"29"	"339"	"50"	"243"	"25"	"8"	"16"	"14"	"65"	"789"	""	"789"	""
"88"	"70"	"28"	"351"	"62"	"165"	"23"	"7"	"18"	"13"	"34"	"701"	""	"701"	""
"89"	"71"	"3"	"21"	"3"	"104"	"4"	"7"	"1"	"6"	"6"	"155"	""	"155"	""
"90"	"72"	"14"	"188"	"7"	"78"	"13"	"2"	"2"	"1"	"5"	"310"	""	"310"	""
"91"	"73"	"16"	"136"	"35"	"212"	"9"	"4"	"7"	"4"	"9"	"432"	""	"432"	""
"92"	"74"	"3"	"39"	"8"	"201"	"11"	"4"	"3"	"4"	"4"	"277"	""	"277"	""
"93"	"75"	"18"	"129"	"9"	"192"	"6"	"6"	"0"	"0"	"5"	"365"	""	"365"	""
"94"	"76"	"19"	"76"	"33"	"299"	"5"	"8"	"18"	"3"	"11"	"472"	""	"472"	""
"95"	"77"	"16"	"190"	"14"	"241"	"10"	"14"	"3"	"7"	"11"	"506"	""	"506"	""
"96"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"97"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"98"	"78"	"38"	"86"	"24"	"272"	"12"	"12"	"18"	"4"	"23"	"489"	""	"489"	""
"99"	"79"	"22"	"315"	"126"	"206"	"18"	"25"	"35"	"20"	"10"	"777"	""	"777"	""
"100"	"80"	"18"	"179"	"23"	"287"	"13"	"3"	"6"	"11"	"23"	"563"	""	"563"	""
"101"	"81"	"16"	"74"	"7"	"302"	"11"	"7"	"3"	"3"	"7"	"430"	""	"430"	""
"102"	"81A"	"20"	"99"	"18"	"175"	"8"	"9"	"1"	"5"	"7"	"342"	""	"342"	""
"103"	"82"	"10"	"199"	"42"	"149"	"9"	"9"	"8"	"9"	"10"	"445"	""	"445"	""
"104"	"83"	"17"	"176"	"101"	"174"	"20"	"13"	"17"	"17"	"25"	"560"	""	"560"	""
"105"	"84"	"3"	"191"	"11"	"219"	"5"	"2"	"3"	"0"	"1"	"435"	""	"435"	""
"106"	"85"	"8"	"68"	"10"	"405"	"16"	"9"	"4"	"1"	"12"	"533"	""	"533"	""
"107"	"86"	"21"	"178"	"113"	"157"	"7"	"4"	"19"	"6"	"7"	"512"	""	"512"	""
"108"	"87"	"3"	"97"	"26"	"223"	"6"	"4"	"3"	"1"	"1"	"364"	""	"364"	""
"109"	"88"	"21"	"464"	"29"	"188"	"10"	"4"	"3"	"6"	"7"	"732"	""	"732"	""
"110"	"89"	"18"	"297"	"27"	"196"	"18"	"5"	"3"	"2"	"9"	"575"	""	"575"	""
"111"	"89A"	"16"	"121"	"8"	"224"	"8"	"6"	"1"	"3"	"4"	"391"	""	"391"	""
"112"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"113"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"114"	"90"	"13"	"117"	"53"	"243"	"24"	"18"	"16"	"14"	"24"	"522"	""	"522"	""
"115"	"90A"	"11"	"158"	"44"	"122"	"5"	"11"	"7"	"5"	"15"	"378"	""	"378"	""
"116"	"91"	"24"	"292"	"15"	"235"	"15"	"21"	"2"	"12"	"17"	"633"	""	"633"	""
"117"	"92"	"18"	"99"	"86"	"302"	"24"	"22"	"15"	"9"	"5"	"580"	""	"580"	""
"118"	"93"	"9"	"361"	"34"	"70"	"9"	"30"	"2"	"3"	"2"	"520"	""	"520"	""
"119"	"93A"	"2"	"169"	"3"	"60"	"1"	"30"	"0"	"2"	"1"	"268"	""	"268"	""
"120"	"94"	"10"	"243"	"21"	"233"	"10"	"31"	"6"	"12"	"8"	"574"	""	"574"	""
"121"	"95"	"18"	"185"	"18"	"269"	"17"	"27"	"6"	"6"	"12"	"558"	""	"558"	""
"122"	"96"	"23"	"257"	"25"	"157"	"8"	"120"	"7"	"7"	"18"	"622"	""	"622"	""
"123"	"97"	"26"	"193"	"15"	"82"	"10"	"248"	"11"	"7"	"17"	"609"	""	"609"	""
"124"	"98"	"9"	"73"	"31"	"208"	"21"	"130"	"4"	"7"	"7"	"490"	""	"490"	""
"125"	"99"	"13"	"147"	"22"	"46"	"8"	"137"	"3"	"1"	"4"	"381"	""	"381"	""
"126"	"100"	"13"	"29"	"19"	"362"	"11"	"10"	"10"	"4"	"15"	"473"	""	"473"	""
"127"	"101"	"15"	"60"	"16"	"347"	"11"	"4"	"6"	"7"	"11"	"477"	""	"477"	""
"128"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"129"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"130"	"102"	"17"	"304"	"32"	"243"	"12"	"19"	"5"	"5"	"12"	"649"	""	"649"	""
"131"	"103"	"15"	"166"	"41"	"178"	"16"	"9"	"7"	"10"	"19"	"461"	""	"461"	""
"132"	"104"	"13"	"234"	"41"	"46"	"6"	"50"	"6"	"9"	"10"	"415"	""	"415"	""
"133"	"105"	"19"	"169"	"40"	"186"	"11"	"6"	"2"	"0"	"2"	"435"	""	"435"	""
"134"	"106"	"28"	"57"	"242"	"60"	"20"	"8"	"22"	"16"	"11"	"464"	""	"464"	""
"135"	"107"	"29"	"271"	"13"	"154"	"17"	"4"	"7"	"4"	"30"	"529"	""	"529"	""
"136"	"108"	"37"	"304"	"35"	"257"	"16"	"3"	"3"	"11"	"20"	"686"	""	"686"	""
"137"	"109"	"13"	"226"	"20"	"232"	"10"	"8"	"6"	"9"	"11"	"535"	""	"535"	""
"138"	"109A"	"7"	"132"	"44"	"158"	"13"	"5"	"15"	"6"	"13"	"393"	""	"393"	""
"139"	"110"	"5"	"156"	"13"	"145"	"4"	"2"	"5"	"1"	"6"	"337"	""	"337"	""
"140"	"111"	"15"	"161"	"41"	"311"	"8"	"6"	"12"	"2"	"6"	"562"	""	"562"	""
"141"	"112"	"7"	"44"	"142"	"95"	"9"	"4"	"25"	"7"	"1"	"334"	""	"334"	""
"142"	"113"	"15"	"204"	"38"	"261"	"10"	"4"	"6"	"2"	"8"	"548"	""	"548"	""
"143"	"114"	"21"	"199"	"35"	"243"	"8"	"3"	"5"	"1"	"5"	"520"	""	"520"	""
"144"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"145"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"146"	"115"	"25"	"396"	"29"	"77"	"23"	"0"	"7"	"10"	"10"	"577"	""	"577"	""
"147"	"116"	"13"	"61"	"14"	"455"	"17"	"2"	"8"	"6"	"7"	"583"	""	"583"	""
"148"	"117"	"6"	"83"	"19"	"248"	"11"	"3"	"8"	"7"	"15"	"400"	""	"400"	""
"149"	"118"	"11"	"125"	"13"	"324"	"15"	"9"	"6"	"6"	"12"	"521"	""	"521"	""
"150"	"119"	"6"	"99"	"32"	"133"	"12"	"2"	"10"	"5"	"8"	"307"	""	"307"	""
"151"	"120"	"24"	"152"	"40"	"315"	"17"	"5"	"20"	"8"	"15"	"596"	""	"596"	""
"152"	"121"	"10"	"34"	"58"	"238"	"5"	"5"	"16"	"9"	"9"	"384"	""	"384"	""
"153"	"122"	"18"	"167"	"115"	"107"	"10"	"4"	"15"	"9"	"17"	"462"	""	"462"	""
"154"	"123"	"12"	"134"	"23"	"179"	"6"	"4"	"4"	"5"	"9"	"376"	""	"376"	""
"155"	"124"	"12"	"141"	"18"	"170"	"8"	"4"	"3"	"2"	"3"	"361"	""	"361"	""
"156"	"125"	"22"	"148"	"52"	"274"	"17"	"10"	"8"	"4"	"11"	"546"	""	"546"	""
"157"	"126"	"23"	"129"	"151"	"289"	"17"	"10"	"21"	"8"	"7"	"655"	""	"655"	""
"158"	"127"	"36"	"295"	"72"	"120"	"9"	"8"	"19"	"11"	"46"	"616"	""	"616"	""
"159"	"128"	"12"	"98"	"19"	"290"	"32"	"5"	"6"	"4"	"9"	"475"	""	"475"	""
"160"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"161"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"162"	"129"	"19"	"256"	"12"	"215"	"6"	"4"	"1"	"2"	"2"	"517"	""	"517"	""
"163"	"130"	"15"	"109"	"24"	"257"	"13"	"3"	"5"	"20"	"1"	"447"	""	"447"	""
"164"	"131"	"17"	"218"	"20"	"196"	"20"	"4"	"4"	"8"	"26"	"513"	""	"513"	""
"165"	"132"	"10"	"215"	"10"	"71"	"6"	"5"	"5"	"13"	"7"	"342"	""	"342"	""
"166"	"133"	"40"	"205"	"30"	"280"	"19"	"7"	"4"	"5"	"5"	"595"	""	"595"	""
"167"	"134"	"18"	"51"	"15"	"358"	"20"	"5"	"2"	"3"	"6"	"478"	""	"478"	""
"168"	"135"	"4"	"59"	"6"	"286"	"8"	"2"	"3"	"1"	"12"	"381"	""	"381"	""
"169"	"136"	"32"	"280"	"20"	"258"	"22"	"8"	"2"	"4"	"12"	"638"	""	"638"	""
"170"	"137"	"21"	"178"	"22"	"284"	"17"	"11"	"10"	"5"	"7"	"555"	""	"555"	""
"171"	"138"	"7"	"32"	"5"	"408"	"13"	"9"	"4"	"4"	"13"	"495"	""	"495"	""
"172"	"139"	"23"	"39"	"13"	"474"	"9"	"9"	"7"	"8"	"14"	"596"	""	"596"	""
"173"	"140"	"4"	"170"	"10"	"436"	"8"	"6"	"2"	"3"	"9"	"648"	""	"648"	""
"174"	"141"	"3"	"78"	"9"	"305"	"26"	"6"	"9"	"8"	"7"	"451"	""	"451"	""
"175"	"142"	"20"	"112"	"17"	"580"	"16"	"6"	"3"	"6"	"6"	"766"	""	"766"	""
"176"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"177"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"178"	"143"	"17"	"91"	"12"	"272"	"10"	"3"	"2"	"7"	"7"	"421"	""	"421"	""
"179"	"143A"	"25"	"131"	"11"	"181"	"6"	"2"	"4"	"3"	"3"	"366"	""	"366"	""
"180"	"144"	"30"	"318"	"22"	"441"	"29"	"7"	"6"	"12"	"16"	"881"	""	"881"	""
"181"	"145"	"16"	"16"	"3"	"422"	"7"	"3"	"6"	"2"	"3"	"478"	""	"478"	""
"182"	"146"	"32"	"464"	"48"	"248"	"25"	"3"	"3"	"2"	"15"	"840"	""	"840"	""
"183"	"147"	"13"	"163"	"12"	"183"	"5"	"2"	"5"	"5"	"13"	"401"	""	"401"	""
"184"	"148"	"27"	"206"	"24"	"406"	"22"	"11"	"6"	"4"	"40"	"746"	""	"746"	""
"185"	"149"	"11"	"133"	"15"	"329"	"17"	"29"	"5"	"10"	"5"	"554"	""	"554"	""
"186"	"150"	"4"	"77"	"56"	"363"	"12"	"9"	"20"	"10"	"19"	"570"	""	"570"	""
"187"	"151"	"12"	"203"	"14"	"106"	"7"	"11"	"2"	"0"	"4"	"359"	""	"359"	""
"188"	"152"	"10"	"17"	"10"	"421"	"16"	"23"	"6"	"13"	"7"	"523"	""	"523"	""
"189"	"153"	"6"	"129"	"16"	"170"	"11"	"3"	"6"	"2"	"10"	"353"	""	"353"	""
"190"	"154"	"29"	"335"	"18"	"310"	"10"	"12"	"5"	"4"	"19"	"742"	""	"742"	""
"191"	"155"	"3"	"29"	"249"	"178"	"11"	"70"	"49"	"11"	"5"	"605"	""	"605"	""
"192"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"193"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"194"	"156"	"7"	"36"	"170"	"129"	"3"	"6"	"24"	"4"	"10"	"389"	""	"389"	""
"195"	"157"	"18"	"398"	"23"	"14"	"7"	"5"	"3"	"9"	"15"	"492"	""	"492"	""
"196"	"157A"	"21"	"177"	"52"	"110"	"9"	"0"	"11"	"9"	"3"	"392"	""	"392"	""
"197"	"158"	"5"	"134"	"9"	"158"	"7"	"7"	"2"	"4"	"12"	"338"	""	"338"	""
"198"	"159"	"5"	"127"	"14"	"188"	"5"	"6"	"4"	"4"	"7"	"360"	""	"360"	""
"199"	"160"	"2"	"8"	"4"	"404"	"8"	"50"	"2"	"6"	"8"	"492"	""	"492"	""
"200"	"161"	"8"	"217"	"8"	"213"	"13"	"6"	"2"	"8"	"12"	"487"	""	"487"	""
"201"	"161A"	"2"	"91"	"10"	"267"	"11"	"5"	"5"	"4"	"9"	"404"	""	"404"	""
"202"	"162"	"17"	"266"	"17"	"283"	"13"	"8"	"4"	"6"	"14"	"628"	""	"628"	""
"203"	"163"	"12"	"198"	"13"	"136"	"6"	"3"	"1"	"6"	"17"	"392"	""	"392"	""
"204"	"164"	"19"	"236"	"20"	"55"	"8"	"1"	"0"	"0"	"2"	"341"	""	"341"	""
"205"	"165"	"16"	"290"	"16"	"141"	"14"	"5"	"3"	"9"	"21"	"515"	""	"515"	""
"206"	"166"	"11"	"119"	"7"	"161"	"5"	"12"	"1"	"2"	"5"	"323"	""	"323"	""
"207"	"167"	"14"	"154"	"9"	"190"	"16"	"3"	"8"	"11"	"11"	"416"	""	"416"	""
