"Booth.No."	"Awadh.Bihari.Singh"	"Jawahar.Hembram"	"Dr..Md..Jawaid"	"Naushad.Alam"	"Gopal.Kumar.Agarwal"	"Bhawendra.Nath.Singh"	"Md..Manjar.Alam"	"Syed.Ataur.Rahman"	"Chitranjan.Singh"	"Raj.Kumar.Gupta"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"74"	59	29	12	23	320	100	11	31	13	42	17	598	NA	598	NA
"75"	60	22	7	67	146	108	8	10	6	17	13	404	NA	404	NA
"76"	61	49	10	42	144	288	16	13	5	15	9	591	NA	591	NA
"77"	62	10	6	33	228	90	7	13	9	20	6	422	NA	422	NA
"78"	63	21	10	337	50	10	1	2	6	3	3	443	NA	443	NA
"79"	NA	386	124	885	3191	1403	171	225	102	341	196	7024	0	7024	0
"80"	NA	2982	572	3480	15232	8016	617	1068	483	1599	953	35002	0	35002	0
"81"	64	13	7	114	132	230	9	13	8	22	11	559	NA	559	NA
"82"	65	14	6	90	274	304	7	21	14	28	19	777	NA	777	NA
"83"	66	30	12	53	168	393	11	13	9	31	17	737	NA	737	NA
"84"	67	12	9	53	261	188	13	24	9	32	26	627	NA	627	NA
"85"	68	63	16	131	161	311	13	17	16	27	8	763	NA	763	NA
"86"	69	91	18	188	48	381	11	13	12	13	10	785	NA	785	NA
"87"	70	32	22	84	243	188	15	18	6	42	22	672	NA	672	NA
"88"	71	96	16	32	105	339	12	13	7	10	11	641	NA	641	NA
"89"	72	103	7	110	97	366	12	12	3	10	6	726	NA	726	NA
"90"	73	8	5	131	109	224	14	6	2	4	7	510	NA	510	NA
"91"	NA	10	1	219	72	59	6	3	1	6	12	389	NA	389	NA
"92"	74	83	6	45	49	251	9	2	2	4	4	455	NA	455	NA
"93"	75	74	1	7	0	44	2	0	1	1	3	133	NA	133	NA
"94"	76	18	5	264	20	150	13	2	4	5	13	494	NA	494	NA
"95"	NA	647	131	1521	1739	3428	147	157	94	235	169	8268	0	8268	0
"96"	NA	3629	703	5001	16971	11444	764	1225	577	1834	1122	43270	0	43270	0
"97"	77	132	10	148	128	150	7	8	12	24	14	633	NA	633	NA
"98"	78	67	10	222	141	258	15	9	16	26	30	794	NA	794	NA
"99"	79	16	3	16	190	141	11	13	13	37	41	481	NA	481	NA
"100"	NA	14	0	41	273	28	13	10	9	16	20	424	NA	424	NA
"101"	80	8	6	108	258	120	5	9	7	25	20	566	NA	566	NA
"102"	81	10	11	60	297	29	15	46	13	45	14	540	NA	540	NA
"103"	82	42	15	203	135	226	16	12	7	28	17	701	NA	701	NA
"104"	83	81	8	41	86	144	9	10	7	30	15	431	NA	431	NA
"105"	84	79	7	9	26	477	11	6	4	6	11	636	NA	636	NA
"106"	85	121	2	21	35	259	3	7	7	5	12	472	NA	472	NA
"107"	86	32	3	135	107	52	1	8	8	13	11	370	NA	370	NA
"108"	87	23	13	104	207	331	14	26	18	51	31	818	NA	818	NA
"109"	88	15	11	166	123	225	13	15	10	23	19	620	NA	620	NA
"110"	89	96	5	75	294	57	8	21	11	15	49	631	NA	631	NA
"111"	NA	736	104	1349	2300	2497	141	200	142	344	304	8117	0	8117	0
"112"	NA	4365	807	6350	19271	13941	905	1425	719	2178	1426	51387	0	51387	0
"113"	90	36	16	166	327	34	5	16	9	55	28	692	NA	692	NA
"114"	91	234	13	83	20	152	11	7	8	13	20	561	NA	561	NA
"115"	92	59	3	65	71	303	7	6	8	5	14	541	NA	541	NA
"116"	93	275	17	36	18	274	15	3	10	14	17	679	NA	679	NA
"117"	94	129	3	86	48	123	13	7	4	10	8	431	NA	431	NA
"118"	NA	260	13	18	4	104	11	3	10	4	13	440	NA	440	NA
"119"	95	159	7	5	7	343	7	6	2	3	15	554	NA	554	NA
"120"	96	150	14	6	5	389	14	7	4	4	7	600	NA	600	NA
"121"	97	219	19	40	6	228	6	4	4	6	4	536	NA	536	NA
"122"	98	247	11	24	5	189	14	5	3	7	7	512	NA	512	NA
"123"	99	222	23	90	10	185	34	2	6	4	9	585	NA	585	NA
"124"	100	360	25	3	6	131	1	7	2	3	4	542	NA	542	NA
"125"	NA	67	6	115	36	161	6	3	6	7	7	414	NA	414	NA
"126"	101	285	16	115	73	299	3	17	6	16	27	857	NA	857	NA
"127"	NA	2702	186	852	636	2915	147	93	82	151	180	7944	0	7944	0
"128"	NA	7067	993	7202	19907	16856	1052	1518	801	2329	1606	59331	0	59331	0
"129"	102	333	7	13	8	143	2	1	3	2	3	515	NA	515	NA
"130"	103	113	11	154	164	160	8	12	13	34	31	700	NA	700	NA
"131"	104	312	20	12	8	40	7	4	4	4	9	420	NA	420	NA
"132"	105	21	4	64	260	29	4	17	3	25	8	435	NA	435	NA
"133"	106	257	13	26	74	177	2	5	2	15	2	573	NA	573	NA
"134"	107	180	14	99	97	151	9	6	5	13	10	584	NA	584	NA
"135"	NA	282	14	46	29	108	5	4	3	6	5	502	NA	502	NA
"136"	108	153	11	67	34	334	8	7	9	11	12	646	NA	646	NA
"137"	NA	38	4	9	8	128	3	1	0	3	4	198	NA	198	NA
"138"	109	22	9	128	147	57	2	10	5	12	7	399	NA	399	NA
"139"	110	199	8	108	12	279	8	2	1	2	10	629	NA	629	NA
"140"	111	194	10	37	4	236	3	3	2	4	0	493	NA	493	NA
"141"	NA	90	3	18	5	155	4	0	0	3	0	278	NA	278	NA
"142"	112	45	0	92	27	82	3	3	2	0	4	258	NA	258	NA
"143"	NA	2239	128	873	877	2079	68	75	52	134	105	6630	0	6630	0
"144"	NA	9306	1121	8075	20784	18935	1120	1593	853	2463	1711	65961	0	65961	0
"145"	113	123	10	125	59	358	5	7	2	8	1	698	NA	698	NA
"146"	114	188	8	99	5	369	4	6	4	4	7	694	NA	694	NA
"147"	115	318	6	120	10	294	9	5	4	2	6	774	NA	774	NA
"148"	116	180	8	83	51	221	4	5	0	4	12	568	NA	568	NA
"149"	117	147	17	14	11	183	6	1	5	2	4	390	NA	390	NA
"150"	NA	105	30	14	4	334	12	2	8	4	7	520	NA	520	NA
"151"	118	168	9	15	8	287	4	1	3	5	4	504	NA	504	NA
"152"	119	17	13	299	55	30	5	8	4	13	17	461	NA	461	NA
"153"	120	16	3	157	9	46	2	1	2	2	5	243	NA	243	NA
"154"	121	19	4	109	27	280	1	2	6	9	10	467	NA	467	NA
"155"	122	72	10	50	20	223	5	3	3	3	2	391	NA	391	NA
"156"	123	262	10	10	9	385	5	5	3	3	11	703	NA	703	NA
"157"	124	18	2	148	18	165	7	9	10	9	9	395	NA	395	NA
"158"	NA	47	10	257	14	55	3	2	2	5	0	395	NA	395	NA
"159"	NA	1680	140	1500	300	3230	72	57	56	73	95	7203	0	7203	0
"160"	NA	10986	1261	9575	21084	22165	1192	1650	909	2536	1806	73164	0	73164	0
"161"	125	87	4	33	10	290	18	3	6	6	8	465	NA	465	NA
"162"	126	157	6	84	6	444	10	6	8	7	21	749	NA	749	NA
"163"	127	31	1	80	7	310	4	0	3	1	6	443	NA	443	NA
"164"	NA	99	8	101	15	148	7	3	3	3	2	389	NA	389	NA
"165"	128	195	15	175	42	187	11	5	8	17	11	666	NA	666	NA
"166"	129	182	14	161	37	402	14	11	6	2	6	835	NA	835	NA
"167"	130	153	8	5	2	171	3	1	0	1	6	350	NA	350	NA
"168"	131	159	11	18	7	355	1	6	7	5	2	571	NA	571	NA
"169"	132	82	7	218	59	262	17	7	12	9	11	684	NA	684	NA
"170"	133	119	0	36	5	213	8	4	1	0	7	393	NA	393	NA
"171"	134	80	4	152	57	294	18	11	5	16	5	642	NA	642	NA
"172"	135	133	12	18	9	293	7	2	4	2	0	480	NA	480	NA
"173"	NA	74	10	210	12	55	3	6	3	3	7	383	NA	383	NA
"174"	136	25	10	275	68	200	9	12	6	10	17	632	NA	632	NA
"175"	NA	1576	110	1566	336	3624	130	77	72	82	109	7682	0	7682	0
"176"	NA	12562	1371	11141	21420	25789	1322	1727	981	2618	1915	80846	0	80846	0
"177"	137	110	6	81	36	128	1	13	3	11	11	400	NA	400	NA
"178"	138	126	11	138	28	167	3	4	1	2	4	484	NA	484	NA
"179"	139	55	5	247	75	167	5	5	1	13	2	575	NA	575	NA
"180"	140	81	6	200	102	154	18	29	8	12	16	626	NA	626	NA
"181"	141	65	10	205	71	62	5	9	5	10	9	451	NA	451	NA
"182"	NA	8	8	156	57	20	5	5	6	2	5	272	NA	272	NA
"183"	142	45	10	184	98	80	11	17	7	8	0	460	NA	460	NA
"184"	143	18	11	300	28	20	10	7	4	2	12	412	NA	412	NA
"185"	144	410	11	38	5	55	1	4	2	2	5	533	NA	533	NA
"186"	145	29	12	314	49	64	7	10	3	12	13	513	NA	513	NA
"187"	146	70	5	170	31	178	6	5	6	6	5	482	NA	482	NA
"188"	147	19	7	254	21	69	5	6	2	4	2	389	NA	389	NA
"189"	148	12	10	343	102	234	7	11	12	21	23	775	NA	775	NA
"190"	149	10	3	80	12	244	11	4	8	4	3	379	NA	379	NA
"191"	NA	1058	115	2710	715	1642	95	129	68	109	110	6751	0	6751	0
"192"	NA	13620	1486	13851	22135	27431	1417	1856	1049	2727	2025	87597	0	87597	0
"193"	150	23	9	223	124	143	8	15	13	17	9	584	NA	584	NA
"194"	151	37	99	114	182	161	9	9	11	21	20	663	NA	663	NA
"195"	152	13	7	167	85	143	2	5	7	9	7	445	NA	445	NA
"196"	153	19	9	263	48	204	9	7	11	18	20	608	NA	608	NA
"197"	154	7	2	200	46	96	2	4	3	6	5	371	NA	371	NA
"198"	NA	10	7	263	39	52	6	6	3	3	9	398	NA	398	NA
"199"	155	14	2	212	24	102	2	2	1	4	1	364	NA	364	NA
"200"	156	208	13	158	30	318	14	9	10	9	8	777	NA	777	NA
"201"	157	50	8	150	76	266	11	18	6	12	8	605	NA	605	NA
"202"	158	29	9	242	116	31	4	4	8	18	12	473	NA	473	NA
"203"	159	24	10	317	39	147	9	4	5	5	4	564	NA	564	NA
"204"	160	29	17	377	37	87	7	6	8	4	2	574	NA	574	NA
"205"	161	21	5	168	11	205	7	3	1	2	7	430	NA	430	NA
"206"	162	43	7	170	8	182	4	3	3	6	9	435	NA	435	NA
"207"	NA	527	204	3024	865	2137	94	95	90	134	121	7291	0	7291	0
"208"	NA	14147	1690	16875	23000	29568	1511	1951	1139	2861	2146	94888	0	94888	0
"209"	163	132	20	269	27	323	12	6	5	8	6	808	NA	808	NA
"210"	164	22	13	390	67	72	6	9	8	9	10	606	NA	606	NA
"211"	165	31	13	303	17	103	4	5	2	7	2	487	NA	487	NA
"212"	NA	50	9	136	10	94	2	5	1	1	3	311	NA	311	NA
"213"	166	25	13	215	58	180	11	3	1	12	7	525	NA	525	NA
"214"	167	36	5	237	81	142	8	12	5	16	10	552	NA	552	NA
"215"	168	47	7	271	21	173	13	10	9	12	19	582	NA	582	NA
"216"	169	39	10	265	30	133	15	4	7	5	18	526	NA	526	NA
"217"	170	4	5	164	20	99	6	4	9	7	9	327	NA	327	NA
"218"	171	20	12	399	117	71	6	9	9	25	26	694	NA	694	NA
"219"	172	16	11	264	38	66	5	10	5	10	9	434	NA	434	NA
"220"	173	260	17	144	23	103	7	2	4	5	6	571	NA	571	NA
"221"	174	162	20	126	8	71	8	1	8	4	2	410	NA	410	NA
"222"	175	77	6	171	34	151	9	2	3	2	8	463	NA	463	NA
"223"	NA	921	161	3354	551	1781	112	82	76	123	135	7296	0	7296	0
"224"	NA	15068	1851	20229	23551	31349	1623	2033	1215	2984	2281	102184	0	102184	0
"225"	NA	8	3	117	29	27	2	2	3	6	8	205	NA	205	NA
"226"	176	10	3	200	23	232	11	1	1	6	9	496	NA	496	NA
"227"	177	15	1	129	28	190	6	3	0	4	7	383	NA	383	NA
"228"	NA	20	7	137	80	136	3	6	4	7	6	406	NA	406	NA
"229"	178	83	18	319	34	198	15	8	5	10	32	722	NA	722	NA
"230"	179	26	4	136	35	123	6	9	4	8	11	362	NA	362	NA
"231"	180	114	5	321	48	57	7	8	8	14	21	603	NA	603	NA
"232"	181	12	5	217	25	66	5	6	2	5	10	353	NA	353	NA
"233"	NA	34	3	202	19	44	5	5	4	5	19	340	NA	340	NA
"234"	182	20	7	368	48	44	6	2	6	6	7	514	NA	514	NA
"235"	183	52	11	296	17	157	3	4	2	3	4	549	NA	549	NA
"236"	184	62	8	492	46	154	1	2	6	1	5	777	NA	777	NA
"237"	185	21	10	291	27	18	0	7	5	6	7	392	NA	392	NA
"238"	NA	42	2	52	34	141	2	7	3	3	7	293	NA	293	NA
"239"	NA	519	87	3277	493	1587	72	70	53	84	153	6395	0	6395	0
"240"	NA	15587	1938	23506	24044	32936	1695	2103	1268	3068	2434	108579	0	108579	0
"241"	186	33	5	138	7	178	2	1	1	3	3	371	NA	371	NA
"242"	NA	27	3	137	9	51	4	0	3	2	5	241	NA	241	NA
"243"	187	56	7	144	13	141	6	2	5	2	6	382	NA	382	NA
"244"	NA	14	3	287	9	36	1	5	6	1	2	364	NA	364	NA
"245"	188	17	14	313	36	104	9	1	6	5	6	511	NA	511	NA
"246"	189	33	7	142	9	131	9	4	5	10	14	364	NA	364	NA
"247"	190	56	13	190	68	129	15	5	6	14	20	516	NA	516	NA
"248"	191	56	9	269	72	110	6	8	1	10	4	545	NA	545	NA
"249"	192	102	12	245	16	178	1	4	3	6	10	577	NA	577	NA
"250"	193	14	3	129	36	102	3	11	1	3	0	302	NA	302	NA
"251"	194	141	14	151	24	133	5	3	5	5	5	486	NA	486	NA
"252"	195	51	11	257	15	109	3	2	2	2	11	463	NA	463	NA
"253"	196	108	7	223	30	85	6	4	3	12	4	482	NA	482	NA
"254"	197	34	3	238	27	32	7	6	4	8	8	367	NA	367	NA
"255"	NA	742	111	2863	371	1519	77	56	51	83	98	5971	0	5971	0
"256"	NA	16329	2049	26369	24415	34455	1772	2159	1319	3151	2532	114550	0	114550	0
"257"	198	15	5	166	34	67	4	3	3	5	6	308	NA	308	NA
"258"	NA	23	8	233	19	61	3	5	4	2	7	365	NA	365	NA
"259"	199	25	8	154	43	56	8	13	5	2	1	315	NA	315	NA
"260"	NA	36	0	58	15	240	4	4	1	2	2	362	NA	362	NA
"261"	200	35	3	49	12	315	11	3	3	4	11	446	NA	446	NA
"262"	201	77	5	136	56	390	10	7	5	11	16	713	NA	713	NA
"263"	202	14	4	20	4	150	1	1	4	2	4	204	NA	204	NA
"264"	203	38	15	331	111	93	2	6	3	7	4	610	NA	610	NA
"265"	204	26	8	252	37	168	8	4	3	6	5	517	NA	517	NA
"266"	205	11	9	40	127	140	6	19	9	16	9	386	NA	386	NA
"267"	206	26	6	156	59	11	1	4	10	5	2	280	NA	280	NA
"268"	207	8	11	128	66	108	4	4	1	9	6	345	NA	345	NA
"269"	NA	18	4	77	102	220	4	5	2	5	5	442	NA	442	NA
"270"	208	7	18	68	50	112	4	12	4	2	5	282	NA	282	NA
"271"	NA	359	104	1868	735	2131	70	90	57	78	83	5575	0	5575	0
"272"	NA	16688	2153	28237	25150	36586	1842	2249	1376	3229	2615	120125	0	120125	0
"273"	NA	15	22	105	117	125	22	19	4	16	15	460	NA	460	NA
"274"	209	22	2	50	21	346	13	4	2	5	6	471	NA	471	NA
"275"	210	37	6	214	35	110	7	2	5	9	2	427	NA	427	NA
"276"	211	19	8	234	28	264	17	7	5	9	4	595	NA	595	NA
"277"	212	23	5	109	23	194	3	2	0	2	1	362	NA	362	NA
"278"	213	23	9	291	62	35	3	3	0	4	4	434	NA	434	NA
"279"	214	76	76	221	94	156	4	8	7	17	18	677	NA	677	NA
"280"	215	65	12	368	61	57	4	13	5	10	15	610	NA	610	NA
"281"	216	244	22	164	40	26	4	7	2	6	6	521	NA	521	NA
"282"	217	11	4	200	53	94	9	4	7	11	7	400	NA	400	NA
"283"	218	37	7	353	154	50	7	9	10	19	7	653	NA	653	NA
"284"	219	47	11	426	127	34	6	13	9	17	28	718	NA	718	NA
"285"	220	69	10	292	168	39	6	11	6	25	14	640	NA	640	NA
"286"	221	128	8	342	105	33	12	13	9	15	20	685	NA	685	NA
"287"	NA	816	202	3369	1088	1563	117	115	71	165	147	7653	0	7653	0
"288"	NA	17504	2355	31606	26238	38149	1959	2364	1447	3394	2762	127778	0	127778	0
"289"	222	96	3	147	39	105	9	7	3	7	10	426	NA	426	NA
"290"	NA	20	7	126	56	23	0	5	2	5	3	247	NA	247	NA
"291"	223	12	10	207	135	112	5	14	8	30	20	553	NA	553	NA
"292"	224	14	4	112	122	47	7	14	5	12	3	340	NA	340	NA
"293"	NA	8	4	68	67	45	11	4	2	8	5	222	NA	222	NA
"294"	225	8	8	112	111	72	6	15	3	16	4	355	NA	355	NA
"295"	NA	37	5	105	115	39	3	7	3	23	17	354	NA	354	NA
"296"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"297"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"298"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"299"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"302"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
"303"	NA	195	41	877	645	443	41	66	26	101	62	2497	0	2497	0
"304"	NA	17699	2396	32483	26883	38592	2000	2430	1473	3495	2824	130275	0	130275	0
