"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.107.BACHHWARA.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"50"	"36"	"72"	"182"	"12"	"272"	"20"	"113"	"671"	"0"	"671"	"0"
"51"	"37"	"25"	"418"	"17"	"159"	"13"	"68"	"700"	"0"	"700"	"0"
"52"	"38"	"16"	"368"	"13"	"130"	"14"	"20"	"561"	"0"	"561"	"0"
"53"	"39"	"31"	"144"	"3"	"145"	"4"	"54"	"381"	"0"	"381"	"0"
"54"	"39A"	"19"	"174"	"7"	"148"	"7"	"87"	"442"	"0"	"442"	"0"
"55"	"40"	"50"	"222"	"15"	"278"	"15"	"177"	"757"	"0"	"757"	"0"
"56"	"41"	"130"	"183"	"7"	"311"	"11"	"34"	"676"	"0"	"676"	"0"
"57"	"42"	"79"	"45"	"15"	"259"	"7"	"33"	"438"	"0"	"438"	"0"
"58"	"43"	"23"	"110"	"21"	"282"	"13"	"20"	"469"	"0"	"469"	"0"
"59"	"44"	"39"	"44"	"6"	"185"	"4"	"27"	"305"	"0"	"305"	"0"
"60"	"45"	"44"	"74"	"6"	"212"	"7"	"45"	"388"	"0"	"388"	"0"
"61"	"45A"	"94"	"86"	"9"	"106"	"10"	"93"	"398"	"0"	"398"	"0"
"62"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"63"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"64"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"65"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"66"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"67"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"68"	"46"	"35"	"397"	"8"	"220"	"8"	"34"	"702"	"0"	"702"	"0"
"69"	"47"	"26"	"148"	"18"	"393"	"17"	"24"	"626"	"0"	"626"	"0"
"70"	"48"	"18"	"142"	"14"	"269"	"11"	"32"	"486"	"0"	"486"	"0"
"71"	"49"	"28"	"27"	"3"	"123"	"4"	"170"	"355"	"0"	"355"	"0"
"72"	"50"	"21"	"156"	"6"	"177"	"11"	"109"	"480"	"0"	"480"	"0"
"73"	"51"	"30"	"121"	"24"	"287"	"15"	"175"	"652"	"0"	"652"	"0"
"74"	"52"	"22"	"178"	"6"	"95"	"2"	"187"	"490"	"0"	"490"	"0"
"75"	"53"	"22"	"103"	"1"	"75"	"3"	"39"	"243"	"0"	"243"	"0"
"76"	"53A"	"30"	"224"	"6"	"84"	"3"	"68"	"415"	"0"	"415"	"0"
"77"	"54"	"16"	"86"	"7"	"240"	"11"	"124"	"484"	"0"	"484"	"0"
"78"	"55"	"15"	"64"	"13"	"200"	"7"	"102"	"401"	"0"	"401"	"0"
"79"	"56"	"25"	"111"	"4"	"101"	"4"	"88"	"333"	"0"	"333"	"0"
"80"	"57"	"51"	"80"	"9"	"135"	"7"	"111"	"393"	"0"	"393"	"0"
"81"	"58"	"49"	"436"	"13"	"34"	"13"	"92"	"637"	"0"	"637"	"0"
"82"	"59"	"13"	"147"	"15"	"104"	"9"	"43"	"331"	"0"	"331"	"0"
"83"	"59A"	"5"	"103"	"12"	"143"	"8"	"66"	"337"	"0"	"337"	"0"
"84"	"60"	"17"	"87"	"22"	"269"	"23"	"233"	"651"	"0"	"651"	"0"
"85"	"61"	"91"	"201"	"6"	"45"	"5"	"26"	"374"	"0"	"374"	"0"
"86"	"61A"	"94"	"150"	"3"	"49"	"4"	"74"	"374"	"0"	"374"	"0"
"87"	"62"	"8"	"201"	"7"	"84"	"3"	"41"	"344"	"0"	"344"	"0"
"88"	"62A"	"10"	"125"	"2"	"102"	"2"	"9"	"250"	"0"	"250"	"0"
"89"	"63"	"21"	"371"	"10"	"226"	"10"	"24"	"662"	"0"	"662"	"0"
"90"	"64"	"21"	"228"	"11"	"112"	"6"	"106"	"484"	"0"	"484"	"0"
"91"	"65"	"21"	"226"	"10"	"129"	"4"	"38"	"428"	"0"	"428"	"0"
"92"	"66"	"46"	"184"	"8"	"48"	"3"	"151"	"440"	"0"	"440"	"0"
"93"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"94"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"96"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"97"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"99"	"67"	"35"	"286"	"6"	"102"	"0"	"255"	"684"	"0"	"684"	"0"
"100"	"68"	"15"	"38"	"2"	"37"	"4"	"224"	"320"	"0"	"320"	"0"
"101"	"68A"	"17"	"158"	"16"	"79"	"6"	"84"	"360"	"0"	"360"	"0"
"102"	"69"	"13"	"187"	"10"	"72"	"3"	"65"	"350"	"0"	"350"	"0"
"103"	"70"	"29"	"381"	"16"	"125"	"18"	"80"	"649"	"0"	"649"	"0"
"104"	"71"	"18"	"189"	"12"	"355"	"13"	"49"	"636"	"0"	"636"	"0"
"105"	"72"	"18"	"80"	"14"	"287"	"12"	"46"	"457"	"0"	"457"	"0"
"106"	"72A"	"18"	"95"	"13"	"196"	"10"	"13"	"345"	"0"	"345"	"0"
"107"	"73"	"13"	"114"	"11"	"195"	"4"	"29"	"366"	"0"	"366"	"0"
"108"	"73A"	"20"	"159"	"6"	"179"	"10"	"23"	"397"	"0"	"397"	"0"
"109"	"74"	"103"	"202"	"12"	"184"	"6"	"94"	"601"	"0"	"601"	"0"
"110"	"75"	"64"	"76"	"4"	"234"	"4"	"108"	"490"	"0"	"490"	"0"
"111"	"75A"	"25"	"39"	"4"	"237"	"7"	"37"	"349"	"0"	"349"	"0"
"112"	"76"	"60"	"261"	"9"	"57"	"14"	"275"	"676"	"0"	"676"	"0"
"113"	"77"	"24"	"310"	"17"	"76"	"5"	"39"	"471"	"0"	"471"	"0"
"114"	"77A"	"44"	"147"	"3"	"87"	"9"	"95"	"385"	"0"	"385"	"0"
"115"	"78"	"25"	"161"	"19"	"102"	"18"	"22"	"347"	"0"	"347"	"0"
"116"	"78A"	"103"	"157"	"6"	"91"	"7"	"39"	"403"	"0"	"403"	"0"
"117"	"79"	"19"	"187"	"11"	"296"	"11"	"17"	"541"	"0"	"541"	"0"
"118"	"80"	"23"	"234"	"22"	"262"	"12"	"37"	"590"	"0"	"590"	"0"
"119"	"81"	"13"	"225"	"11"	"87"	"15"	"21"	"372"	"0"	"372"	"0"
"120"	"81A"	"31"	"340"	"23"	"80"	"5"	"18"	"497"	"0"	"497"	"0"
"121"	"82"	"43"	"238"	"10"	"216"	"9"	"13"	"529"	"0"	"529"	"0"
"122"	"82A"	"12"	"138"	"9"	"190"	"3"	"6"	"358"	"0"	"358"	"0"
"123"	"83"	"33"	"224"	"21"	"269"	"8"	"40"	"595"	"0"	"595"	"0"
"124"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"126"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"127"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"128"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"129"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"130"	"84"	"43"	"666"	"26"	"66"	"7"	"23"	"831"	"0"	"831"	"0"
"131"	"85"	"97"	"392"	"14"	"81"	"17"	"38"	"639"	"0"	"639"	"0"
"132"	"86"	"95"	"57"	"10"	"148"	"3"	"50"	"363"	"0"	"363"	"0"
"133"	"87"	"84"	"337"	"23"	"115"	"12"	"21"	"592"	"0"	"592"	"0"
"134"	"88"	"30"	"232"	"30"	"161"	"16"	"31"	"500"	"0"	"500"	"0"
"135"	"88A"	"22"	"183"	"10"	"149"	"7"	"10"	"381"	"0"	"381"	"0"
"136"	"89"	"39"	"438"	"25"	"135"	"11"	"22"	"670"	"0"	"670"	"0"
"137"	"90"	"27"	"394"	"18"	"151"	"12"	"20"	"622"	"0"	"622"	"0"
"138"	"91"	"24"	"292"	"13"	"93"	"12"	"41"	"475"	"0"	"475"	"0"
"139"	"92"	"16"	"201"	"21"	"187"	"17"	"10"	"452"	"0"	"452"	"0"
"140"	"93"	"108"	"104"	"9"	"180"	"16"	"223"	"640"	"0"	"640"	"0"
"141"	"94"	"29"	"118"	"8"	"115"	"17"	"118"	"405"	"0"	"405"	"0"
"142"	"95"	"10"	"32"	"6"	"329"	"4"	"42"	"423"	"0"	"423"	"0"
"143"	"96"	"21"	"200"	"13"	"21"	"13"	"172"	"440"	"0"	"440"	"0"
"144"	"97"	"33"	"331"	"21"	"140"	"16"	"149"	"690"	"0"	"690"	"0"
"145"	"98"	"68"	"290"	"56"	"329"	"19"	"31"	"793"	"0"	"793"	"0"
"146"	"99"	"29"	"144"	"26"	"196"	"12"	"25"	"432"	"0"	"432"	"0"
"147"	"100"	"31"	"212"	"21"	"227"	"16"	"46"	"553"	"0"	"553"	"0"
"148"	"101"	"15"	"122"	"11"	"302"	"19"	"41"	"510"	"0"	"510"	"0"
"149"	"102"	"68"	"84"	"10"	"130"	"7"	"162"	"461"	"0"	"461"	"0"
"150"	"103"	"15"	"51"	"4"	"193"	"7"	"15"	"285"	"0"	"285"	"0"
"151"	"104"	"39"	"24"	"6"	"153"	"7"	"134"	"363"	"0"	"363"	"0"
"152"	"105"	"53"	"166"	"7"	"206"	"6"	"69"	"507"	"0"	"507"	"0"
"153"	"106"	"13"	"68"	"5"	"144"	"7"	"36"	"273"	"0"	"273"	"0"
"154"	"106A"	"51"	"12"	"2"	"263"	"13"	"90"	"431"	"0"	"431"	"0"
"155"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"156"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"157"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"158"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"159"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"161"	"107"	"20"	"102"	"12"	"91"	"17"	"94"	"336"	"0"	"336"	"0"
"162"	"108"	"80"	"64"	"4"	"160"	"5"	"150"	"463"	"0"	"463"	"0"
"163"	"108A"	"46"	"29"	"3"	"121"	"7"	"28"	"234"	"0"	"234"	"0"
"164"	"109"	"31"	"104"	"2"	"302"	"9"	"162"	"610"	"0"	"610"	"0"
"165"	"110"	"33"	"160"	"18"	"317"	"9"	"51"	"588"	"0"	"588"	"0"
"166"	"111"	"35"	"161"	"12"	"75"	"2"	"90"	"375"	"0"	"375"	"0"
"167"	"112"	"35"	"203"	"5"	"75"	"3"	"129"	"450"	"0"	"450"	"0"
"168"	"113"	"83"	"164"	"20"	"234"	"15"	"137"	"653"	"0"	"653"	"0"
"169"	"114"	"22"	"146"	"37"	"309"	"8"	"77"	"599"	"0"	"599"	"0"
"170"	"115"	"24"	"232"	"21"	"140"	"14"	"98"	"529"	"0"	"529"	"0"
"171"	"116"	"17"	"189"	"13"	"250"	"9"	"23"	"501"	"0"	"501"	"0"
"172"	"117"	"21"	"332"	"15"	"66"	"9"	"148"	"591"	"0"	"591"	"0"
"173"	"118"	"22"	"212"	"19"	"72"	"9"	"46"	"380"	"0"	"380"	"0"
"174"	"119"	"18"	"108"	"1"	"137"	"4"	"105"	"373"	"0"	"373"	"0"
"175"	"119A"	"13"	"108"	"5"	"42"	"6"	"118"	"292"	"0"	"292"	"0"
"176"	"120"	"24"	"113"	"1"	"111"	"4"	"139"	"392"	"0"	"392"	"0"
"177"	"120A"	"13"	"103"	"6"	"86"	"4"	"161"	"373"	"0"	"373"	"0"
"178"	"121"	"26"	"253"	"6"	"176"	"7"	"60"	"528"	"0"	"528"	"0"
"179"	"122"	"40"	"150"	"21"	"258"	"16"	"118"	"603"	"0"	"603"	"0"
"180"	"123"	"19"	"135"	"11"	"200"	"15"	"84"	"464"	"0"	"464"	"0"
"181"	"124"	"145"	"126"	"6"	"74"	"3"	"217"	"571"	"0"	"571"	"0"
"182"	"125"	"53"	"289"	"13"	"383"	"12"	"123"	"873"	"0"	"873"	"0"
"183"	"126"	"41"	"122"	"9"	"120"	"8"	"176"	"476"	"0"	"476"	"0"
"184"	"127"	"32"	"137"	"3"	"289"	"11"	"41"	"513"	"0"	"513"	"0"
"185"	"128"	"19"	"71"	"20"	"272"	"24"	"106"	"512"	"0"	"512"	"0"
"186"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"187"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"188"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"189"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"190"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"192"	"129"	"27"	"218"	"19"	"395"	"20"	"25"	"704"	"0"	"704"	"0"
"193"	"130"	"13"	"154"	"3"	"301"	"9"	"26"	"506"	"0"	"506"	"0"
"194"	"130A"	"3"	"114"	"1"	"122"	"2"	"5"	"247"	"0"	"247"	"0"
"195"	"131"	"11"	"65"	"4"	"451"	"6"	"11"	"548"	"0"	"548"	"0"
"196"	"132"	"9"	"8"	"8"	"428"	"7"	"15"	"475"	"0"	"475"	"0"
"197"	"133"	"15"	"17"	"3"	"326"	"6"	"8"	"375"	"0"	"375"	"0"
"198"	"134"	"22"	"194"	"11"	"224"	"10"	"11"	"472"	"0"	"472"	"0"
"199"	"134A"	"9"	"169"	"11"	"167"	"8"	"10"	"374"	"0"	"374"	"0"
"200"	"135"	"52"	"113"	"9"	"146"	"13"	"206"	"539"	"0"	"539"	"0"
"201"	"136"	"22"	"53"	"11"	"429"	"20"	"127"	"662"	"0"	"662"	"0"
"202"	"137"	"16"	"134"	"11"	"308"	"10"	"111"	"590"	"0"	"590"	"0"
"203"	"138"	"40"	"92"	"14"	"212"	"10"	"93"	"461"	"0"	"461"	"0"
"204"	"139"	"38"	"98"	"10"	"129"	"9"	"138"	"422"	"0"	"422"	"0"
"205"	"140"	"17"	"324"	"18"	"249"	"5"	"22"	"635"	"0"	"635"	"0"
"206"	"141"	"47"	"387"	"17"	"263"	"11"	"28"	"753"	"0"	"753"	"0"
"207"	"142"	"74"	"227"	"8"	"200"	"19"	"137"	"665"	"0"	"665"	"0"
"208"	"143"	"64"	"145"	"7"	"238"	"10"	"48"	"512"	"0"	"512"	"0"
"209"	"144"	"23"	"76"	"5"	"180"	"10"	"150"	"444"	"0"	"444"	"0"
"210"	"145"	"51"	"147"	"4"	"100"	"9"	"25"	"336"	"0"	"336"	"0"
"211"	"146"	"69"	"169"	"18"	"174"	"23"	"126"	"579"	"0"	"579"	"0"
"212"	"147"	"93"	"110"	"9"	"323"	"14"	"49"	"598"	"0"	"598"	"0"
"213"	"148"	"51"	"191"	"9"	"123"	"14"	"270"	"658"	"0"	"658"	"0"
"214"	"149"	"55"	"77"	"9"	"277"	"14"	"69"	"501"	"0"	"501"	"0"
"215"	"150"	"16"	"83"	"13"	"188"	"13"	"41"	"354"	"0"	"354"	"0"
"216"	"150A"	"27"	"144"	"6"	"71"	"8"	"58"	"314"	"0"	"314"	"0"
"217"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"218"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"219"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"220"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"221"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"223"	"151"	"30"	"67"	"20"	"164"	"7"	"19"	"307"	"0"	"307"	"0"
"224"	"151A"	"25"	"136"	"6"	"70"	"6"	"13"	"256"	"0"	"256"	"0"
"225"	"152"	"54"	"170"	"10"	"182"	"11"	"44"	"471"	"0"	"471"	"0"
"226"	"152A"	"84"	"99"	"8"	"91"	"5"	"90"	"377"	"0"	"377"	"0"
"227"	"153"	"30"	"238"	"4"	"64"	"3"	"201"	"540"	"0"	"540"	"0"
"228"	"154"	"24"	"213"	"6"	"78"	"2"	"56"	"379"	"0"	"379"	"0"
"229"	"155"	"9"	"56"	"2"	"165"	"4"	"24"	"260"	"0"	"260"	"0"
"230"	"156"	"13"	"139"	"6"	"30"	"3"	"141"	"332"	"0"	"332"	"0"
"231"	"156A"	"54"	"74"	"5"	"104"	"5"	"80"	"322"	"0"	"322"	"0"
"232"	"157"	"25"	"47"	"4"	"10"	"5"	"529"	"620"	"0"	"620"	"0"
"233"	"158"	"3"	"98"	"7"	"31"	"5"	"110"	"254"	"0"	"254"	"0"
"234"	"159"	"35"	"32"	"8"	"183"	"12"	"160"	"430"	"0"	"430"	"0"
"235"	"160"	"24"	"63"	"10"	"254"	"17"	"138"	"506"	"0"	"506"	"0"
"236"	"161"	"80"	"104"	"6"	"45"	"9"	"190"	"434"	"0"	"434"	"0"
"237"	"162"	"42"	"55"	"6"	"116"	"6"	"99"	"324"	"0"	"324"	"0"
"238"	"162A"	"37"	"72"	"5"	"28"	"5"	"104"	"251"	"0"	"251"	"0"
"239"	"163"	"32"	"188"	"9"	"72"	"5"	"33"	"339"	"0"	"339"	"0"
"240"	"163A"	"41"	"92"	"6"	"118"	"7"	"101"	"365"	"0"	"365"	"0"
"241"	"164"	"202"	"178"	"20"	"52"	"22"	"182"	"656"	"0"	"656"	"0"
"242"	"165"	"62"	"71"	"4"	"40"	"7"	"64"	"248"	"0"	"248"	"0"
"243"	"166"	"9"	"53"	"9"	"142"	"5"	"38"	"256"	"0"	"256"	"0"
"244"	"167"	"21"	"42"	"7"	"204"	"9"	"29"	"312"	"0"	"312"	"0"
"245"	"167A"	"56"	"78"	"4"	"86"	"11"	"49"	"284"	"0"	"284"	"0"
"246"	"168"	"112"	"124"	"8"	"201"	"7"	"43"	"495"	"0"	"495"	"0"
"247"	"169"	"90"	"200"	"14"	"350"	"14"	"27"	"695"	"0"	"695"	"0"
"248"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"249"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"250"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"251"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"252"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"253"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"254"	"17"	"179"	"197"	"12"	"180"	"16"	"101"	"685"	"0"	"685"	"0"
"255"	"171"	"548"	"66"	"12"	"35"	"10"	"10"	"681"	"0"	"681"	"0"
"256"	"172"	"30"	"173"	"9"	"219"	"6"	"33"	"470"	"0"	"470"	"0"
"257"	"173"	"113"	"75"	"6"	"109"	"6"	"57"	"366"	"0"	"366"	"0"
"258"	"174"	"103"	"37"	"4"	"111"	"5"	"53"	"313"	"0"	"313"	"0"
"259"	"175"	"68"	"140"	"8"	"311"	"18"	"88"	"633"	"0"	"633"	"0"
"260"	"176"	"23"	"32"	"0"	"86"	"4"	"84"	"229"	"0"	"229"	"0"
"261"	"176A"	"68"	"30"	"10"	"301"	"14"	"62"	"485"	"0"	"485"	"0"
"262"	"177"	"96"	"65"	"9"	"156"	"8"	"322"	"656"	"0"	"656"	"0"
"263"	"178"	"43"	"146"	"11"	"142"	"19"	"265"	"626"	"0"	"626"	"0"
