"X."	"X..1"	"X011.SUGAULI"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"40"	"36"	""	"1017"	"10"	"550"	"38"	74	"6"	"6"	"12"	"2"	"698"
"41"	"37"	""	"846"	"15"	"475"	"28"	60	"5"	"5"	"4"	"3"	"595"
"42"	"38"	""	"898"	"11"	"199"	"271"	33	"4"	"20"	"3"	"7"	"548"
"43"	""	""	"011-SUGAULI"	""	""	""	NA	""	""	""	""	""
"44"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"45"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"46"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"47"	"38"	"A"	"579"	"5"	"100"	"237"	35	"4"	"1"	"2"	"3"	"387"
"48"	"39"	""	"1336"	"1"	"369"	"153"	147	"12"	"26"	"11"	"19"	"738"
"49"	"40"	""	"845"	"10"	"206"	"113"	138	"6"	"8"	"2"	"4"	"487"
"50"	"40"	"A"	"606"	"16"	"144"	"51"	139	"11"	"4"	"4"	"2"	"371"
"51"	"41"	""	"898"	"11"	"291"	"126"	45	"14"	"5"	"1"	"9"	"502"
"52"	"42"	""	"1229"	"7"	"183"	"506"	131	"10"	"13"	"3"	"6"	"859"
"53"	"43"	""	"1292"	"8"	"60"	"250"	190	"48"	"119"	"6"	"12"	"693"
"54"	"44"	""	"1458"	"15"	"341"	"126"	136	"16"	"123"	"8"	"6"	"771"
"55"	"45"	""	"1578"	"7"	"400"	"140"	133	"60"	"28"	"1"	"7"	"776"
"56"	"46"	""	"1314"	"14"	"449"	"51"	216	"10"	"12"	"1"	"3"	"756"
"57"	"47"	""	"1249"	"3"	"516"	"14"	128	"11"	"15"	"3"	"4"	"694"
"58"	"48"	""	"809"	"3"	"121"	"37"	52	"19"	"109"	"3"	"1"	"345"
"59"	"48"	"A"	"762"	"7"	"102"	"163"	48	"44"	"12"	"3"	"8"	"387"
"60"	"49"	""	"980"	"14"	"98"	"18"	185	"19"	"26"	"6"	"3"	"369"
"61"	"50"	""	"1090"	"14"	"250"	"62"	137	"27"	"57"	"5"	"4"	"556"
"62"	"51"	""	"1121"	"14"	"62"	"60"	253	"39"	"154"	"5"	"10"	"597"
"63"	"52"	""	"1396"	"12"	"267"	"283"	113	"66"	"29"	"13"	"18"	"801"
"64"	"53"	""	"874"	"8"	"12"	"123"	280	"9"	"15"	"2"	"6"	"455"
"65"	"54"	""	"1255"	"15"	"218"	"201"	156	"17"	"44"	"7"	"9"	"667"
"66"	"55"	""	"751"	"8"	"214"	"30"	88	"38"	"75"	"4"	"7"	"464"
"67"	"56"	""	"920"	"8"	"159"	"44"	153	"55"	"75"	"10"	"9"	"513"
"68"	"57"	""	"1181"	"18"	"209"	"131"	223	"24"	"18"	"6"	"12"	"641"
"69"	"58"	""	"1217"	"8"	"106"	"120"	234	"70"	"34"	"8"	"7"	"587"
"70"	"59"	""	"1125"	"15"	"191"	"46"	163	"107"	"9"	"9"	"5"	"545"
"71"	"60"	""	"693"	"2"	"65"	"159"	87	"17"	"42"	"1"	"7"	"380"
"72"	"61"	""	"1338"	"16"	"26"	"17"	53	"9"	"505"	"5"	"4"	"635"
"73"	"62"	""	"1066"	"31"	"260"	"49"	151	"47"	"16"	"9"	"16"	"579"
"74"	"63"	""	"1270"	"21"	"217"	"114"	209	"40"	"27"	"9"	"14"	"651"
"75"	"64"	""	"691"	"4"	"80"	"48"	85	"46"	"81"	"6"	"21"	"371"
"76"	"65"	""	"1187"	"11"	"286"	"40"	247	"43"	"20"	"2"	"16"	"665"
"77"	"66"	""	"554"	"9"	"33"	"119"	83	"24"	"23"	"4"	"10"	"305"
"78"	"66"	"A"	"862"	"12"	"75"	"151"	191	"22"	"2"	"6"	"7"	"466"
"79"	"67"	""	"569"	"2"	"64"	"82"	194	"29"	"2"	"3"	"3"	"379"
"80"	"68"	""	"266"	"1"	"51"	"59"	37	"4"	"6"	""	"1"	"159"
"81"	"69"	""	"686"	"12"	"63"	"59"	167	"7"	"8"	"2"	"3"	"321"
"82"	"69"	"A"	"923"	"21"	"58"	"70"	188	"74"	"7"	"8"	"22"	"448"
"83"	"70"	""	"924"	"19"	"15"	"116"	210	"16"	"42"	"4"	"1"	"423"
"84"	"71"	""	"1274"	"8"	"323"	"194"	91	"21"	"26"	"8"	"17"	"688"
"85"	"72"	""	"962"	"7"	"120"	"91"	257	"19"	"61"	"2"	"12"	"569"
"86"	""	""	"011-SUGAULI"	""	""	""	NA	""	""	""	""	""
"87"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"88"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"89"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"90"	"73"	""	"1051"	"13"	"127"	"94"	260	"32"	"10"	"7"	"11"	"554"
"91"	"74"	""	"227"	"4"	"10"	"16"	68	"1"	"41"	"2"	"4"	"146"
"92"	"75"	""	"1274"	"10"	"154"	"147"	244	"50"	"25"	"5"	"17"	"652"
"93"	"76"	""	"757"	"10"	"208"	"90"	86	"5"	"7"	"1"	"1"	"408"
"94"	"77"	""	"768"	"5"	"139"	"97"	188	"13"	"5"	"3"	"8"	"458"
"95"	"78"	""	"1107"	"9"	"334"	"75"	58	"5"	"2"	"3"	"5"	"491"
"96"	"79"	""	"781"	"13"	"181"	"77"	85	"47"	"21"	"9"	"10"	"443"
"97"	"80"	""	"663"	"6"	"108"	"41"	117	"5"	"15"	"4"	"4"	"300"
"98"	"81"	""	"828"	"15"	"92"	"19"	133	"38"	"70"	"12"	"21"	"400"
"99"	"82"	""	"1196"	"6"	"324"	"70"	64	"7"	"44"	"18"	"13"	"546"
"100"	"83"	""	"872"	"10"	"114"	"43"	254	"66"	"6"	"10"	"15"	"518"
"101"	"84"	""	"796"	"14"	"148"	"31"	175	"14"	"21"	"3"	"7"	"413"
"102"	"84"	"A"	"705"	"9"	"151"	"31"	109	"12"	"33"	"2"	"6"	"353"
"103"	"85"	""	"1009"	"18"	"176"	"63"	211	"35"	"60"	"4"	"6"	"573"
"104"	"86"	""	"663"	"8"	"197"	"47"	119	"4"	"7"	"7"	"7"	"396"
"105"	"86"	"A"	"830"	"2"	"69"	"136"	160	"8"	"11"	"2"	"8"	"396"
"106"	"87"	""	"752"	"10"	"188"	"107"	63	"47"	"1"	"3"	"9"	"428"
"107"	"87"	"A"	"845"	"14"	"106"	"111"	90	"57"	"7"	"4"	"6"	"395"
"108"	"88"	""	"987"	"11"	"104"	"52"	381	"23"	"12"	"3"	"12"	"598"
"109"	"89"	""	"1175"	"6"	"51"	"80"	178	"15"	"106"	"10"	"12"	"458"
"110"	"90"	""	"815"	"12"	"13"	"73"	171	"135"	"10"	"10"	"15"	"439"
"111"	"90"	"A"	"674"	"8"	"101"	"10"	146	"38"	"3"	"10"	"7"	"323"
"112"	"91"	""	"1148"	"7"	"127"	"223"	103	"32"	"15"	"6"	"26"	"539"
"113"	"92"	""	"823"	"2"	"80"	"107"	232	"11"	"26"	"1"	"7"	"466"
"114"	"93"	""	"1039"	"6"	"152"	"112"	199	"19"	"44"	"7"	"12"	"551"
"115"	"94"	""	"963"	"13"	"113"	"149"	222	"63"	"6"	"8"	"8"	"582"
"116"	"95"	""	"928"	"10"	"292"	"86"	192	"24"	"8"	"3"	"12"	"627"
"117"	"96"	""	"789"	"12"	"189"	"113"	79	"28"	"2"	"10"	"10"	"443"
"118"	"97"	""	"1034"	"23"	"288"	"78"	90	"25"	"15"	"4"	"7"	"530"
"119"	"98"	""	"1093"	"26"	"552"	"43"	22	"10"	"13"	"5"	"10"	"681"
"120"	"99"	""	"410"	"10"	"128"	"12"	60	"4"	"6"	"1"	"1"	"222"
"121"	"99"	"A"	"1029"	"21"	"315"	"81"	88	"7"	"2"	"8"	"9"	"531"
"122"	"100"	""	"805"	"5"	"292"	"40"	161	"30"	"5"	"2"	"6"	"541"
"123"	"101"	""	"870"	"5"	"205"	"135"	178	"13"	"8"	"7"	"16"	"567"
"124"	"102"	""	"233"	"2"	"14"	"61"	2	"15"	"2"	""	""	"96"
"125"	"103"	""	"1176"	"10"	"114"	"217"	93	"65"	"32"	"12"	"5"	"548"
"126"	"104"	""	"930"	"2"	"7"	"110"	160	"14"	"153"	"7"	"28"	"481"
"127"	"104"	"A"	"566"	"2"	"118"	"108"	28	"7"	"8"	"2"	"2"	"275"
"128"	"105"	""	"1395"	"13"	"175"	"102"	220	"41"	"125"	"16"	"16"	"708"
"129"	""	""	"011-SUGAULI"	""	""	""	NA	""	""	""	""	""
"130"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"131"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"132"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"133"	"106"	""	"1207"	"4"	"72"	"57"	122	"24"	"35"	"11"	"4"	"329"
"134"	"107"	""	"347"	"3"	"143"	"26"	11	"2"	"36"	"2"	"8"	"231"
"135"	"108"	""	"977"	"4"	"211"	"17"	15	"25"	"56"	"3"	"3"	"334"
"136"	"108"	"A"	"589"	"13"	"213"	"12"	22	"45"	"41"	"7"	"10"	"363"
"137"	"109"	""	"892"	"13"	"102"	"85"	124	"14"	"6"	"1"	"2"	"347"
"138"	"109"	"A"	"451"	"2"	"139"	"90"	18	"9"	"64"	"7"	"19"	"348"
"139"	"110"	""	"936"	"10"	"81"	"104"	175	"47"	"13"	"9"	"41"	"480"
"140"	"110"	"A"	"560"	"12"	"13"	"59"	97	"8"	"5"	"5"	"21"	"220"
"141"	"111"	""	"1038"	"28"	"343"	"63"	46	"11"	"5"	"2"	"8"	"506"
"142"	"112"	""	"1348"	"15"	"347"	"49"	88	"37"	"28"	"15"	"34"	"613"
"143"	"113"	""	"935"	"13"	"218"	"24"	53	"8"	"71"	"6"	"5"	"398"
"144"	"114"	""	"806"	"11"	"289"	"22"	126	"49"	"4"	"10"	"4"	"515"
"145"	"115"	""	"1112"	"16"	"40"	"73"	180	"14"	"172"	"8"	"11"	"514"
"146"	"116"	""	"1032"	"3"	"9"	"185"	114	"8"	"103"	"2"	"13"	"437"
"147"	"117"	""	"1233"	"10"	"82"	"245"	186	"8"	"35"	"4"	"8"	"578"
"148"	"118"	""	"1158"	"2"	"28"	"95"	263	"10"	"39"	"7"	"6"	"450"
"149"	"119"	""	"632"	"10"	"52"	"58"	169	"25"	"48"	"3"	"14"	"379"
"150"	"119"	"A"	"1013"	"4"	"32"	"22"	79	"34"	"16"	"6"	"11"	"204"
"151"	"120"	""	"1101"	"13"	"35"	"157"	153	"32"	"63"	"5"	"20"	"478"
"152"	"121"	""	"829"	"7"	"118"	"107"	44	"10"	"11"	"5"	"21"	"323"
"153"	"122"	""	"716"	"10"	"18"	"131"	128	"6"	"5"	"5"	"19"	"322"
"154"	"123"	""	"819"	"8"	"56"	"230"	108	"14"	"9"	"6"	"13"	"444"
"155"	"124"	""	"1274"	"6"	"15"	"757"	33	"6"	"13"	"4"	"22"	"856"
"156"	"125"	""	"310"	"3"	"4"	"119"	14	"4"	"3"	"0"	"2"	"149"
"157"	"126"	""	"1076"	"24"	"100"	"100"	181	"32"	"61"	"13"	"19"	"530"
"158"	"127"	""	"1164"	"21"	"210"	"56"	115	"21"	"32"	"6"	"13"	"474"
"159"	"128"	""	"802"	"9"	"11"	"57"	50	"4"	"100"	"2"	"5"	"238"
"160"	"129"	""	"1190"	"29"	"5"	"61"	50	"7"	"255"	"4"	"14"	"425"
"161"	"130"	""	"1351"	"13"	"28"	"70"	177	"20"	"260"	"10"	"26"	"604"
"162"	"131"	""	"1230"	"5"	"24"	"33"	162	"8"	"256"	"4"	"13"	"505"
"163"	"132"	""	"1083"	"10"	"199"	"25"	69	"23"	"136"	"4"	"7"	"473"
"164"	"133"	""	"821"	"5"	"38"	"36"	44	"8"	"106"	"4"	"2"	"243"
"165"	"133"	"A"	"739"	"6"	"44"	"73"	113	"17"	"40"	"4"	"11"	"308"
"166"	"134"	""	"1240"	"15"	"476"	"65"	17	"5"	"9"	"7"	"15"	"609"
"167"	"135"	""	"1272"	"19"	"221"	"96"	96	"23"	"155"	"10"	"17"	"637"
"168"	"136"	""	"1366"	"22"	"417"	"162"	52	"11"	"9"	"10"	"12"	"695"
"169"	"137"	""	"1326"	"18"	"286"	"150"	111	"19"	"12"	"3"	"11"	"610"
"170"	"137"	"A"	"454"	"11"	"105"	"78"	135	"6"	"15"	"1"	"4"	"355"
"171"	"138"	""	"1089"	"13"	"333"	"52"	126	"19"	"2"	"6"	"5"	"556"
"172"	""	""	"011-SUGAULI"	""	""	""	NA	""	""	""	""	""
"173"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"174"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"175"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"176"	"138"	"A"	"691"	"6"	"178"	"20"	91	"5"	"27"	"2"	"1"	"330"
"177"	"139"	""	"1078"	"7"	"224"	"69"	109	"15"	"12"	"8"	"6"	"450"
"178"	"139"	"A"	"617"	"4"	"118"	"101"	52	"19"	"5"	"3"	"10"	"312"
"179"	"140"	""	"803"	"11"	"271"	"28"	68	"8"	"4"	"4"	"3"	"397"
"180"	"141"	""	"1188"	"13"	"338"	"28"	81	"7"	"7"	"4"	"5"	"483"
"181"	"142"	""	"1101"	"4"	"86"	"54"	226	"66"	"12"	"9"	"4"	"461"
"182"	"142"	"A"	"362"	"6"	"3"	"25"	106	"4"	"24"	"0"	"5"	"173"
"183"	"143"	""	"1237"	"11"	"31"	"107"	321	"28"	"53"	"7"	"5"	"563"
"184"	"144"	""	"1201"	"12"	"261"	"64"	145	"12"	"43"	"18"	"22"	"577"
"185"	"145"	""	"1363"	"14"	"169"	"73"	223	"18"	"34"	"9"	"12"	"552"
"186"	"146"	""	"939"	"5"	"186"	"56"	145	"11"	"12"	"9"	"23"	"447"
"187"	"147"	""	"824"	"9"	"369"	"18"	128	"12"	"11"	"9"	"7"	"563"
"188"	"148"	""	"1188"	"5"	"26"	"406"	52	"21"	"17"	"5"	"25"	"557"
"189"	"149"	""	"1363"	"10"	"84"	"247"	315	"34"	"20"	"11"	"24"	"745"
"190"	"150"	""	"1125"	"5"	"56"	"273"	119	"29"	"6"	"7"	"29"	"524"
"191"	"151"	""	"713"	"5"	"33"	"331"	62	"8"	"3"	"1"	"4"	"447"
"192"	"152"	""	"756"	"17"	"65"	"206"	78	"5"	"3"	"1"	"8"	"383"
"193"	"153"	""	"1333"	"10"	"28"	"477"	168	"12"	"15"	"6"	"6"	"722"
"194"	"154"	""	"1292"	"10"	"389"	"97"	126	"16"	"38"	"12"	"17"	"705"
"195"	"155"	""	"499"	"8"	"171"	"95"	137	"65"	"72"	"13"	"18"	"579"
"196"	"155"	"A"	"1138"	"4"	"60"	"92"	77	"17"	"2"	"4"	"2"	"258"
"197"	"156"	""	"814"	"6"	"178"	"38"	144	"23"	"5"	"11"	"24"	"429"
"198"	"156"	"A"	"737"	"14"	"226"	"53"	61	"67"	"7"	"6"	"16"	"450"
"199"	"157"	""	"537"	"8"	"25"	"81"	170	"31"	"7"	"18"	"13"	"353"
"200"	"158"	""	"1148"	"25"	"177"	"70"	138	"52"	"63"	"13"	"21"	"559"
"201"	"159"	""	"1399"	"8"	"375"	"50"	79	"22"	"8"	"12"	"17"	"571"
"202"	"160"	""	"1278"	"11"	"268"	"64"	33	"26"	"6"	"3"	"4"	"415"
"203"	"161"	""	"482"	"5"	"237"	"53"	28	"7"	"3"	"0"	"2"	"335"
"204"	"161"	"A"	"1101"	"1"	"141"	"21"	115	"40"	"5"	"4"	"5"	"332"
"205"	"162"	""	"1072"	"18"	"357"	"76"	77	"33"	"30"	"3"	"6"	"600"
"206"	"163"	""	"1288"	"14"	"255"	"68"	212	"20"	"18"	"7"	"12"	"606"
"207"	"164"	""	"830"	"6"	"53"	"112"	121	"81"	"9"	"16"	"30"	"428"
"208"	"164"	"A"	"714"	"8"	"31"	"112"	87	"123"	"12"	"12"	"19"	"404"
"209"	"165"	""	"1197"	"8"	"83"	"263"	150	"37"	"21"	"8"	"27"	"597"
"210"	"166"	""	"1272"	"17"	"30"	"370"	164	"31"	"15"	"5"	"11"	"643"
"211"	"167"	""	"1361"	"14"	"22"	"317"	312	"28"	"6"	"10"	"17"	"726"
"212"	"168"	""	"1381"	"14"	"77"	"590"	41	"7"	"12"	"2"	"13"	"756"
"213"	"169"	""	"865"	"19"	"69"	"59"	98	"163"	"14"	"17"	"10"	"449"
"214"	"170"	""	"1092"	"18"	"26"	"278"	111	"38"	"11"	"11"	"37"	"530"
"215"	""	""	"011-SUGAULI"	""	""	""	NA	""	""	""	""	""
"216"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"217"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"218"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"219"	"171"	""	"795"	"13"	"185"	"41"	106	"28"	"5"	"5"	"12"	"395"
"220"	"172"	""	"736"	"11"	"61"	"7"	115	"87"	"6"	"12"	"19"	"318"
"221"	"173"	""	"994"	"6"	"80"	"216"	157	"20"	"5"	"8"	"19"	"511"
"222"	"174"	""	"1092"	"16"	"203"	"38"	70	"118"	"7"	"15"	"19"	"486"
"223"	"175"	""	"441"	"8"	"72"	"7"	83	"25"	"35"	"4"	"4"	"238"
"224"	"176"	""	"929"	"24"	"321"	"64"	83	"38"	"6"	"3"	"11"	"550"
"225"	"177"	""	"1066"	"8"	"214"	"28"	192	"34"	"16"	"7"	"2"	"501"
"226"	"178"	""	"1386"	"25"	"470"	"58"	30	"29"	"14"	"16"	"14"	"656"
"227"	"179"	""	"748"	"11"	"43"	"34"	163	"52"	"7"	"12"	"20"	"342"
"228"	"179"	"A"	"684"	"6"	"161"	"9"	87	"41"	"23"	"3"	"20"	"350"
"229"	"180"	""	"1063"	"16"	"323"	"38"	38	"76"	"13"	"11"	"15"	"530"
"230"	"181"	""	"715"	"7"	"4"	"286"	47	"27"	"26"	"3"	"24"	"424"
"231"	"182"	""	"1331"	"10"	"12"	"94"	101	"56"	"209"	"11"	"8"	"501"
"232"	"183"	""	"1341"	"10"	"56"	"273"	30	"28"	"124"	"6"	"14"	"541"
"233"	"184"	""	"1307"	"10"	"283"	"44"	46	"33"	"13"	"10"	"10"	"449"
"234"	"185"	""	"391"	"5"	"23"	"39"	56	"81"	"4"	"6"	"10"	"224"
"235"	"186"	""	"735"	"8"	"55"	"7"	154	"37"	"11"	"8"	"19"	"299"
"236"	"186"	"A"	"722"	"18"	"51"	"5"	116	"30"	"84"	"9"	"15"	"328"
"237"	"187"	""	"771"	"9"	"63"	"29"	98	"132"	"20"	"16"	"10"	"377"
"238"	"188"	""	"1298"	"9"	"248"	"50"	53	"160"	"10"	"10"	"15"	"555"
"239"	"189"	""	"689"	"11"	"40"	"4"	196	"33"	"2"	"2"	"7"	"295"
"240"	"189"	"A"	"741"	"19"	"48"	"5"	181	"93"	"5"	"6"	"9"	"366"
"241"	"190"	""	"784"	"6"	"47"	"26"	131	"79"	"25"	"6"	"2"	"322"
"242"	"190"	"A"	"787"	"10"	"114"	"13"	102	"66"	"13"	"6"	"8"	"332"
"243"	"191"	""	"1083"	"24"	"139"	"26"	169	"147"	"27"	"10"	"18"	"560"
"244"	"192"	""	"833"	"6"	"135"	"125"	74	"72"	"5"	"8"	"1"	"426"
"245"	"192"	"A"	"786"	"11"	"133"	"173"	58	"35"	"3"	"2"	"11"	"426"
"246"	"193"	""	"1130"	"37"	"105"	"68"	108	"194"	"10"	"14"	"14"	"550"
"247"	"194"	""	"949"	"13"	"255"	"80"	85	"83"	"12"	"6"	"13"	"547"
"248"	"195"	""	"1061"	"12"	"201"	"76"	106	"129"	"14"	"7"	"12"	"557"
"249"	"196"	""	"909"	"0"	"126"	"17"	51	"8"	"1"	"3"	"5"	"211"
"250"	"196"	"A"	"746"	"7"	"187"	"36"	72	"10"	"4"	"6"	"12"	"334"
"251"	"197"	""	"890"	"2"	"228"	"46"	35	"12"	"3"	"2"	"3"	"331"
"252"	"197"	"A"	"722"	"1"	"212"	"51"	24	"9"	"0"	"0"	"1"	"298"
"253"	"198"	""	"816"	"7"	"34"	"106"	98	"82"	"4"	"10"	"14"	"355"
"254"	"198"	"A"	"840"	"16"	"68"	"35"	154	"24"	"2"	"3"	"15"	"317"
"255"	"199"	""	"983"	"24"	"83"	"174"	154	"21"	"11"	"2"	"15"	"484"
"256"	"200"	""	"799"	"16"	"34"	"7"	158	"110"	"11"	"7"	"19"	"362"
"257"	"Total"	""	""	"2511"	"35869"	"24356"	29264	"7460"	"7305"	"1435"	"2480"	"110680"
