"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"63"	"44A"	"12"	"32"	"232"	"139"	"6"	"7"	"5"	"2"	"11"	"6"	"9"	"461"	"0"	"461"	""
"64"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"65"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"66"	"45"	"19"	"40"	"26"	"275"	"9"	"9"	"7"	"4"	"5"	"4"	"8"	"406"	"0"	"406"	""
"67"	"46"	"14"	"84"	"8"	"303"	"12"	"14"	"13"	"14"	"22"	"4"	"16"	"504"	"0"	"504"	""
"68"	"47"	"12"	"11"	"35"	"306"	"7"	"3"	"5"	"2"	"7"	"2"	"11"	"401"	"0"	"401"	""
"69"	"48"	"6"	"19"	"4"	"645"	"5"	"5"	"8"	"1"	"5"	"1"	"5"	"704"	"0"	"704"	""
"70"	"49"	"31"	"264"	"245"	"102"	"13"	"10"	"7"	"11"	"10"	"7"	"18"	"718"	"0"	"718"	""
"71"	"50"	"23"	"10"	"358"	"149"	"9"	"8"	"4"	"0"	"5"	"4"	"5"	"575"	"0"	"575"	""
"72"	"50A"	"9"	"10"	"59"	"122"	"5"	"7"	"8"	"3"	"2"	"8"	"4"	"237"	"0"	"237"	""
"73"	"51"	"14"	"56"	"134"	"184"	"8"	"202"	"13"	"3"	"12"	"6"	"11"	"643"	"0"	"643"	""
"74"	"52"	"3"	"26"	"106"	"203"	"7"	"17"	"12"	"17"	"10"	"2"	"13"	"416"	"0"	"416"	""
"75"	"53"	"15"	"131"	"132"	"48"	"4"	"100"	"2"	"6"	"2"	"1"	"9"	"450"	"0"	"450"	""
"76"	"54"	"17"	"47"	"316"	"81"	"6"	"7"	"4"	"5"	"17"	"13"	"34"	"547"	"0"	"547"	""
"77"	"55"	"25"	"230"	"139"	"143"	"7"	"12"	"8"	"7"	"6"	"6"	"13"	"596"	"0"	"596"	""
"78"	"56"	"25"	"104"	"195"	"211"	"12"	"10"	"12"	"6"	"10"	"2"	"8"	"595"	"0"	"595"	""
"79"	"57"	"23"	"438"	"83"	"135"	"6"	"1"	"7"	"14"	"5"	"6"	"35"	"753"	"0"	"753"	""
"80"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"81"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"82"	"58"	"16"	"86"	"30"	"153"	"6"	"11"	"8"	"3"	"11"	"4"	"6"	"334"	"0"	"334"	""
"83"	"59"	"24"	"325"	"37"	"162"	"9"	"8"	"10"	"14"	"14"	"15"	"21"	"639"	"0"	"639"	""
"84"	"60"	"11"	"268"	"78"	"62"	"9"	"7"	"8"	"3"	"0"	"2"	"3"	"451"	"0"	"451"	""
"85"	"61"	"18"	"165"	"173"	"152"	"15"	"13"	"13"	"13"	"14"	"14"	"27"	"617"	"0"	"617"	""
"86"	"62"	"26"	"177"	"70"	"298"	"6"	"23"	"14"	"12"	"18"	"16"	"15"	"675"	"0"	"675"	""
"87"	"63"	"4"	"14"	"62"	"151"	"11"	"4"	"6"	"6"	"7"	"2"	"16"	"283"	"0"	"283"	""
"88"	"64"	"6"	"34"	"131"	"30"	"4"	"93"	"2"	"3"	"3"	"9"	"4"	"319"	"0"	"319"	""
"89"	"65"	"4"	"21"	"229"	"31"	"1"	"64"	"2"	"0"	"2"	"5"	"12"	"371"	"0"	"371"	""
"90"	"66"	"29"	"519"	"45"	"16"	"2"	"6"	"4"	"3"	"2"	"10"	"19"	"655"	"0"	"655"	""
"91"	"67"	"15"	"128"	"248"	"204"	"21"	"6"	"10"	"12"	"7"	"6"	"13"	"670"	"0"	"670"	""
"92"	"68"	"14"	"92"	"54"	"347"	"13"	"13"	"9"	"9"	"9"	"12"	"20"	"592"	"0"	"592"	""
"93"	"69"	"7"	"36"	"198"	"14"	"3"	"256"	"3"	"17"	"0"	"7"	"3"	"544"	"0"	"544"	""
"94"	"70"	"25"	"334"	"26"	"24"	"0"	"19"	"3"	"3"	"3"	"7"	"14"	"458"	"0"	"458"	""
"95"	"71"	"23"	"95"	"159"	"124"	"13"	"16"	"13"	"21"	"10"	"5"	"10"	"489"	"0"	"489"	""
"96"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"97"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"98"	"72"	"5"	"44"	"206"	"5"	"4"	"83"	"2"	"7"	"6"	"3"	"6"	"371"	"0"	"371"	""
"99"	"73"	"26"	"364"	"74"	"58"	"2"	"44"	"6"	"0"	"7"	"6"	"23"	"610"	"0"	"610"	""
"100"	"73A"	"4"	"47"	"40"	"53"	"2"	"78"	"2"	"5"	"3"	"2"	"7"	"243"	"0"	"243"	""
"101"	"74"	"20"	"23"	"533"	"10"	"9"	"94"	"8"	"8"	"4"	"7"	"12"	"728"	"0"	"728"	""
"102"	"74A"	"0"	"2"	"18"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"25"	"0"	"25"	""
"103"	"75"	"33"	"255"	"177"	"22"	"7"	"53"	"2"	"5"	"6"	"16"	"17"	"593"	"0"	"593"	""
"104"	"76"	"23"	"109"	"216"	"69"	"10"	"9"	"7"	"17"	"6"	"5"	"16"	"487"	"0"	"487"	""
"105"	"77"	"33"	"351"	"109"	"78"	"3"	"10"	"4"	"3"	"2"	"3"	"12"	"608"	"0"	"608"	""
"106"	"78"	"10"	"276"	"215"	"9"	"2"	"1"	"2"	"2"	"2"	"9"	"10"	"538"	"0"	"538"	""
"107"	"79"	"25"	"83"	"309"	"22"	"7"	"74"	"4"	"4"	"4"	"8"	"19"	"559"	"0"	"559"	""
"108"	"80"	"17"	"106"	"203"	"11"	"6"	"3"	"2"	"3"	"4"	"10"	"33"	"398"	"0"	"398"	""
"109"	"81"	"24"	"57"	"316"	"6"	"6"	"5"	"2"	"3"	"2"	"3"	"24"	"448"	"0"	"448"	""
"110"	"82"	"7"	"84"	"263"	"6"	"4"	"0"	"1"	"4"	"5"	"4"	"31"	"409"	"0"	"409"	""
"111"	"83"	"13"	"208"	"74"	"89"	"18"	"7"	"14"	"10"	"6"	"6"	"22"	"467"	"0"	"467"	""
"112"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"113"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"114"	"84"	"11"	"213"	"134"	"38"	"5"	"3"	"4"	"7"	"2"	"19"	"15"	"451"	"0"	"451"	""
"115"	"85"	"20"	"165"	"325"	"46"	"8"	"5"	"8"	"6"	"3"	"17"	"38"	"641"	"0"	"641"	""
"116"	"86"	"20"	"121"	"163"	"64"	"8"	"2"	"5"	"4"	"1"	"6"	"15"	"409"	"0"	"409"	""
"117"	"87"	"18"	"236"	"27"	"59"	"3"	"8"	"3"	"2"	"2"	"1"	"4"	"363"	"0"	"363"	""
"118"	"87A"	"7"	"290"	"16"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"321"	"0"	"321"	""
"119"	"88"	"12"	"73"	"385"	"7"	"14"	"4"	"2"	"2"	"4"	"6"	"5"	"514"	"0"	"514"	""
"120"	"89"	"22"	"44"	"382"	"21"	"8"	"4"	"3"	"6"	"7"	"10"	"26"	"533"	"0"	"533"	""
"121"	"90"	"4"	"400"	"37"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"449"	"0"	"449"	""
"122"	"91"	"3"	"52"	"172"	"17"	"3"	"5"	"4"	"2"	"10"	"8"	"27"	"303"	"0"	"303"	""
"123"	"91A"	"12"	"88"	"185"	"9"	"3"	"4"	"3"	"4"	"6"	"3"	"22"	"339"	"0"	"339"	""
"124"	"92"	"8"	"17"	"203"	"55"	"5"	"5"	"3"	"14"	"8"	"6"	"10"	"334"	"0"	"334"	""
"125"	"93"	"14"	"89"	"261"	"40"	"3"	"3"	"3"	"31"	"10"	"3"	"27"	"484"	"0"	"484"	""
"126"	"94"	"19"	"470"	"10"	"5"	"1"	"0"	"0"	"1"	"0"	"2"	"11"	"519"	"0"	"519"	""
"127"	"95"	"8"	"74"	"257"	"16"	"2"	"3"	"2"	"14"	"1"	"0"	"8"	"385"	"0"	"385"	""
"128"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"129"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"130"	"96"	"30"	"324"	"136"	"14"	"3"	"4"	"7"	"47"	"11"	"6"	"13"	"595"	"0"	"595"	""
"131"	"97"	"77"	"65"	"379"	"17"	"13"	"8"	"13"	"26"	"23"	"17"	"66"	"704"	"0"	"704"	""
"132"	"98"	"16"	"184"	"287"	"20"	"3"	"1"	"6"	"6"	"8"	"7"	"18"	"556"	"0"	"556"	""
"133"	"99"	"37"	"270"	"34"	"47"	"11"	"5"	"4"	"1"	"3"	"2"	"14"	"428"	"0"	"428"	""
"134"	"100"	"12"	"172"	"114"	"33"	"4"	"4"	"2"	"7"	"10"	"3"	"16"	"377"	"0"	"377"	""
"135"	"100A"	"12"	"199"	"29"	"28"	"1"	"4"	"0"	"3"	"3"	"4"	"16"	"299"	"0"	"299"	""
"136"	"101"	"9"	"6"	"103"	"14"	"4"	"218"	"3"	"2"	"1"	"6"	"10"	"376"	"0"	"376"	""
"137"	"102"	"20"	"308"	"103"	"4"	"4"	"2"	"3"	"7"	"9"	"12"	"22"	"494"	"0"	"494"	""
"138"	"103"	"5"	"289"	"46"	"4"	"3"	"101"	"2"	"73"	"3"	"10"	"107"	"643"	"0"	"643"	""
"139"	"104"	"13"	"173"	"61"	"1"	"2"	"1"	"4"	"0"	"5"	"8"	"198"	"466"	"0"	"466"	""
"140"	"105"	"12"	"325"	"19"	"2"	"2"	"0"	"2"	"16"	"0"	"3"	"92"	"473"	"0"	"473"	""
"141"	"106"	"5"	"3"	"206"	"6"	"4"	"215"	"2"	"13"	"1"	"3"	"18"	"476"	"0"	"476"	""
"142"	"107"	"40"	"365"	"88"	"62"	"5"	"5"	"6"	"29"	"16"	"6"	"75"	"697"	"0"	"697"	""
"143"	"108"	"30"	"440"	"21"	"11"	"8"	"3"	"4"	"3"	"4"	"4"	"20"	"548"	"0"	"548"	""
"144"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"145"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"146"	"109"	"55"	"295"	"222"	"63"	"4"	"6"	"6"	"7"	"6"	"6"	"22"	"692"	"0"	"692"	""
"147"	"110"	"3"	"212"	"76"	"11"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"306"	"0"	"306"	""
"148"	"111"	"52"	"463"	"17"	"5"	"3"	"4"	"3"	"1"	"3"	"4"	"26"	"581"	"0"	"581"	""
"149"	"112"	"26"	"308"	"58"	"7"	"4"	"4"	"3"	"10"	"2"	"9"	"13"	"444"	"0"	"444"	""
"150"	"112A"	"26"	"257"	"24"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"6"	"319"	"0"	"319"	""
"151"	"113"	"5"	"29"	"400"	"8"	"1"	"3"	"1"	"5"	"8"	"2"	"84"	"546"	"0"	"546"	""
"152"	"114"	"27"	"89"	"255"	"34"	"11"	"8"	"7"	"11"	"14"	"17"	"145"	"618"	"0"	"618"	""
"153"	"115"	"16"	"278"	"68"	"3"	"3"	"1"	"1"	"0"	"0"	"1"	"53"	"424"	"0"	"424"	""
"154"	"115A"	"13"	"304"	"8"	"4"	"1"	"0"	"2"	"1"	"1"	"3"	"47"	"384"	"0"	"384"	""
"155"	"116"	"29"	"348"	"99"	"13"	"5"	"0"	"2"	"7"	"3"	"7"	"58"	"571"	"0"	"571"	""
"156"	"117"	"18"	"190"	"149"	"17"	"2"	"2"	"2"	"8"	"5"	"7"	"24"	"424"	"0"	"424"	""
"157"	"118"	"51"	"270"	"111"	"30"	"10"	"5"	"6"	"42"	"3"	"11"	"15"	"554"	"0"	"554"	""
"158"	"119"	"33"	"172"	"85"	"119"	"7"	"9"	"15"	"60"	"17"	"13"	"30"	"560"	"0"	"560"	""
"159"	"120"	"26"	"301"	"42"	"46"	"7"	"10"	"6"	"19"	"4"	"7"	"20"	"488"	"0"	"488"	""
"160"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"161"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"162"	"121"	"16"	"209"	"153"	"7"	"3"	"2"	"4"	"12"	"1"	"3"	"9"	"419"	"0"	"419"	""
"163"	"122"	"14"	"383"	"45"	"7"	"4"	"3"	"1"	"6"	"2"	"1"	"21"	"487"	"0"	"487"	""
"164"	"123"	"8"	"141"	"207"	"14"	"4"	"1"	"3"	"2"	"1"	"2"	"6"	"389"	"0"	"389"	""
"165"	"124"	"11"	"24"	"244"	"14"	"2"	"4"	"4"	"6"	"12"	"5"	"23"	"349"	"0"	"349"	""
"166"	"125"	"123"	"74"	"120"	"8"	"0"	"2"	"0"	"4"	"0"	"2"	"9"	"342"	"0"	"342"	""
"167"	"126"	"18"	"248"	"120"	"7"	"1"	"2"	"3"	"2"	"5"	"11"	"15"	"432"	"0"	"432"	""
"168"	"127"	"108"	"14"	"234"	"10"	"2"	"0"	"1"	"1"	"7"	"4"	"11"	"392"	"0"	"392"	""
"169"	"128"	"61"	"293"	"47"	"6"	"2"	"0"	"2"	"1"	"6"	"7"	"21"	"446"	"0"	"446"	""
"170"	"129"	"26"	"558"	"53"	"7"	"3"	"0"	"2"	"3"	"3"	"7"	"11"	"673"	"0"	"673"	""
"171"	"130"	"55"	"349"	"105"	"5"	"7"	"2"	"2"	"8"	"5"	"6"	"30"	"574"	"0"	"574"	""
"172"	"131"	"44"	"247"	"37"	"4"	"3"	"1"	"5"	"4"	"1"	"10"	"30"	"386"	"0"	"386"	""
"173"	"132"	"190"	"74"	"220"	"11"	"4"	"1"	"2"	"13"	"7"	"3"	"27"	"552"	"0"	"552"	""
"174"	"133"	"2"	"58"	"167"	"14"	"2"	"2"	"7"	"132"	"5"	"3"	"14"	"406"	"0"	"406"	""
"175"	"134"	"24"	"78"	"272"	"23"	"4"	"8"	"2"	"102"	"10"	"6"	"17"	"546"	"0"	"546"	""
"176"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"177"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
