"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"fufonr..erkssss.dh..laa.aa..k"	"izzfzzfr.kssfssfir.eri.kssaassaa.dh..laa.aa."	"dqqyqqy..fof.kekU....oaaaa.izzfzzfr.kssfssfir.erkssss.dh..laa.aa..k"
"18"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"19"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"20"	"ROUND -II"	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"B.F.->"	"144"	"74"	"3111"	"260"	"219"	"2300"	"88"	"93"	"6289"	"0"	"0"	"6289"
"22"	"13"	"10"	"7"	"189"	"61"	"15"	"279"	"13"	"13"	"587"	""	""	"587"
"23"	"14"	"7"	"2"	"132"	"40"	"6"	"208"	"3"	"4"	"402"	""	""	"402"
"24"	"15"	"17"	"7"	"83"	"17"	"27"	"365"	"14"	"8"	"538"	""	""	"538"
"25"	"16"	"15"	"5"	"322"	"23"	"7"	"69"	"7"	"10"	"458"	""	""	"458"
"26"	"17"	"6"	"7"	"256"	"19"	"10"	"86"	"9"	"6"	"399"	""	""	"399"
"27"	"18"	"20"	"3"	"109"	"4"	"19"	"165"	"9"	"6"	"335"	""	""	"335"
"28"	"19"	"15"	"2"	"198"	"15"	"14"	"176"	"4"	"10"	"434"	""	""	"434"
"29"	"20"	"10"	"3"	"209"	"9"	"3"	"17"	"1"	"4"	"256"	""	""	"256"
"30"	"21"	"27"	"9"	"247"	"14"	"19"	"208"	"2"	"9"	"535"	""	""	"535"
"31"	"22"	"14"	"8"	"169"	"96"	"24"	"195"	"8"	"13"	"527"	""	""	"527"
"32"	"23"	"12"	"2"	"261"	"13"	"9"	"93"	"8"	"3"	"401"	""	""	"401"
"33"	"24"	"13"	"6"	"191"	"11"	"30"	"259"	"8"	"14"	"532"	""	""	"532"
"34"	"25"	"12"	"4"	"350"	"29"	"20"	"132"	"2"	"9"	"558"	""	""	"558"
"35"	"26"	"14"	"4"	"235"	"53"	"15"	"129"	"4"	"14"	"468"	""	""	"468"
"36"	"Round Total"	"192"	"69"	"2951"	"404"	"218"	"2381"	"92"	"123"	"6430"	"0"	"0"	"6430"
"37"	"C.F.->"	"336"	"143"	"6062"	"664"	"437"	"4681"	"180"	"216"	"12719"	"0"	"0"	"12719"
"38"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"39"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"40"	"ROUND- III"	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"B.F.->"	"336"	"143"	"6062"	"664"	"437"	"4681"	"180"	"216"	"12719"	"0"	"0"	"12719"
"42"	"27"	"15"	"6"	"167"	"25"	"27"	"213"	"23"	"25"	"501"	""	""	"501"
"43"	"28"	"25"	"7"	"290"	"8"	"8"	"159"	"3"	"15"	"515"	""	""	"515"
"44"	"29"	"10"	"3"	"175"	"20"	"14"	"209"	"4"	"14"	"449"	""	""	"449"
"45"	"30"	"6"	"5"	"263"	"17"	"4"	"38"	"2"	"1"	"336"	""	""	"336"
"46"	"31"	"5"	"4"	"201"	"11"	"6"	"124"	"6"	"13"	"370"	""	""	"370"
"47"	"32"	"27"	"4"	"185"	"30"	"9"	"157"	"10"	"13"	"435"	""	""	"435"
"48"	"33"	"9"	"8"	"349"	"23"	"7"	"140"	"3"	"12"	"551"	""	""	"551"
"49"	"34"	"4"	"2"	"17"	"6"	"9"	"276"	"5"	"11"	"330"	""	""	"330"
"50"	"35"	"3"	"8"	"83"	"13"	"26"	"225"	"4"	"6"	"368"	""	""	"368"
"51"	"35A"	"103"	"7"	"76"	"7"	"17"	"184"	"7"	"17"	"418"	""	""	"418"
"52"	"36"	"11"	"5"	"314"	"20"	"9"	"83"	"9"	"3"	"454"	""	""	"454"
"53"	"37"	"12"	"5"	"346"	"14"	"16"	"55"	"8"	"19"	"475"	""	""	"475"
"54"	"38"	"18"	"4"	"247"	"25"	"21"	"174"	"17"	"20"	"526"	""	""	"526"
"55"	"39"	"10"	"1"	"133"	"3"	"8"	"144"	"10"	"14"	"323"	""	""	"323"
"56"	"Round Total"	"258"	"69"	"2846"	"222"	"181"	"2181"	"111"	"183"	"6051"	"0"	"0"	"6051"
"57"	"C.F.->"	"594"	"212"	"8908"	"886"	"618"	"6862"	"291"	"399"	"18770"	"0"	"0"	"18770"
"58"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"59"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"60"	"ROUND -IV"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"B.F.->"	"594"	"212"	"8908"	"886"	"618"	"6862"	"291"	"399"	"18770"	"0"	"0"	"18770"
"62"	"39A"	"15"	"3"	"166"	"12"	"4"	"65"	"3"	"8"	"276"	""	""	"276"
"63"	"40"	"24"	"3"	"128"	"14"	"17"	"483"	"11"	"24"	"704"	""	""	"704"
"64"	"41"	"5"	"2"	"89"	"31"	"13"	"278"	"6"	"7"	"431"	""	""	"431"
"65"	"42"	"9"	"5"	"209"	"25"	"21"	"222"	"7"	"11"	"509"	""	""	"509"
"66"	"43"	"7"	"2"	"252"	"22"	"11"	"119"	"10"	"19"	"442"	""	""	"442"
"67"	"44"	"14"	"8"	"168"	"42"	"20"	"237"	"8"	"21"	"518"	""	""	"518"
"68"	"45"	"9"	"7"	"212"	"63"	"18"	"225"	"12"	"20"	"566"	""	""	"566"
"69"	"46"	"10"	"3"	"101"	"8"	"10"	"145"	"9"	"17"	"303"	""	""	"303"
"70"	"47"	"6"	"7"	"145"	"21"	"7"	"173"	"7"	"6"	"372"	""	""	"372"
"71"	"48"	"5"	"1"	"135"	"17"	"8"	"184"	"10"	"12"	"372"	""	""	"372"
"72"	"49"	"15"	"5"	"226"	"25"	"19"	"174"	"9"	"10"	"483"	""	""	"483"
"73"	"50"	"11"	"1"	"103"	"10"	"8"	"220"	"9"	"12"	"374"	""	""	"374"
"74"	"51"	"12"	"3"	"174"	"13"	"11"	"152"	"10"	"7"	"382"	""	""	"382"
"75"	"52"	"9"	"4"	"105"	"21"	"9"	"123"	"1"	"1"	"273"	""	""	"273"
"76"	"Round Total"	"151"	"54"	"2213"	"324"	"176"	"2800"	"112"	"175"	"6005"	"0"	"0"	"6005"
"77"	"C.F.->"	"745"	"266"	"11121"	"1210"	"794"	"9662"	"403"	"574"	"24775"	"0"	"0"	"24775"
"78"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"79"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"80"	"ROUND- V"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"B.F.->"	"745"	"266"	"11121"	"1210"	"794"	"9662"	"403"	"574"	"24775"	"0"	"0"	"24775"
"82"	"53"	"5"	"1"	"54"	"2"	"1"	"275"	"1"	"6"	"345"	""	""	"345"
"83"	"54"	"16"	"3"	"142"	"13"	"13"	"202"	"6"	"9"	"404"	""	""	"404"
"84"	"55"	"15"	"6"	"241"	"32"	"6"	"68"	"7"	"3"	"378"	""	""	"378"
"85"	"56"	"15"	"9"	"307"	"10"	"22"	"176"	"5"	"18"	"562"	""	""	"562"
"86"	"57"	"11"	"8"	"352"	"32"	"12"	"124"	"9"	"9"	"557"	""	""	"557"
"87"	"58"	"7"	"3"	"233"	"17"	"10"	"106"	"4"	"10"	"390"	""	""	"390"
"88"	"59"	"23"	"5"	"230"	"13"	"13"	"153"	"8"	"12"	"457"	""	""	"457"
"89"	"60"	"8"	"8"	"67"	"61"	"18"	"197"	"4"	"8"	"371"	""	""	"371"
"90"	"61"	"12"	"4"	"222"	"25"	"7"	"58"	"7"	"8"	"343"	""	""	"343"
"91"	"62"	"26"	"15"	"129"	"57"	"31"	"261"	"14"	"17"	"550"	""	""	"550"
"92"	"63"	"12"	"2"	"43"	"9"	"28"	"409"	"17"	"15"	"535"	""	""	"535"
"93"	"63A"	"12"	"0"	"33"	"17"	"16"	"227"	"10"	"19"	"334"	""	""	"334"
"94"	"64"	"15"	"7"	"200"	"20"	"17"	"210"	"5"	"14"	"488"	""	""	"488"
"95"	"65"	"4"	"2"	"125"	"10"	"4"	"57"	"2"	"9"	"213"	""	""	"213"
"96"	"Round Total"	"181"	"73"	"2378"	"318"	"198"	"2523"	"99"	"157"	"5927"	"0"	"0"	"5927"
"97"	"C.F.->"	"926"	"339"	"13499"	"1528"	"992"	"12185"	"502"	"731"	"30702"	"0"	"0"	"30702"
"98"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"99"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"100"	"ROUND -VI"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"B.F.->"	"926"	"339"	"13499"	"1528"	"992"	"12185"	"502"	"731"	"30702"	"0"	"0"	"30702"
"102"	"66"	"15"	"1"	"86"	"8"	"32"	"275"	"13"	"19"	"449"	""	""	"449"
"103"	"67"	"8"	"7"	"197"	"11"	"20"	"96"	"6"	"10"	"355"	""	""	"355"
"104"	"67A"	"5"	"6"	"14"	"6"	"20"	"191"	"5"	"4"	"251"	""	""	"251"
"105"	"68"	"5"	"3"	"16"	"17"	"9"	"252"	"5"	"19"	"326"	""	""	"326"
"106"	"68A"	"8"	"1"	"29"	"19"	"6"	"261"	"9"	"11"	"344"	""	""	"344"
"107"	"69"	"21"	"8"	"275"	"10"	"11"	"100"	"6"	"9"	"440"	""	""	"440"
"108"	"70"	"3"	"1"	"60"	"23"	"13"	"221"	"11"	"24"	"356"	""	""	"356"
"109"	"71"	"8"	"9"	"126"	"19"	"10"	"301"	"20"	"8"	"501"	""	""	"501"
"110"	"72"	"3"	"4"	"159"	"115"	"17"	"130"	"10"	"6"	"444"	""	""	"444"
"111"	"73"	"4"	"2"	"67"	"26"	"9"	"303"	"7"	"18"	"436"	""	""	"436"
"112"	"73A"	"10"	"4"	"19"	"2"	"18"	"202"	"6"	"7"	"268"	""	""	"268"
"113"	"74"	"11"	"4"	"115"	"13"	"19"	"259"	"10"	"7"	"438"	""	""	"438"
"114"	"74A"	"13"	"4"	"133"	"12"	"5"	"80"	"1"	"10"	"258"	""	""	"258"
"115"	"75"	"17"	"7"	"32"	"7"	"27"	"234"	"7"	"18"	"349"	""	""	"349"
"116"	"Round Total"	"131"	"61"	"1328"	"288"	"216"	"2905"	"116"	"170"	"5215"	"0"	"0"	"5215"
"117"	"C.F.->"	"1057"	"400"	"14827"	"1816"	"1208"	"15090"	"618"	"901"	"35917"	"0"	"0"	"35917"
"118"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"119"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"120"	"ROUND- VII"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"B.F.->"	"1057"	"400"	"14827"	"1816"	"1208"	"15090"	"618"	"901"	"35917"	"0"	"0"	"35917"
"122"	"75A"	"1"	"2"	"64"	"9"	"7"	"114"	"6"	"3"	"206"	""	""	"206"
"123"	"76"	"8"	"3"	"44"	"5"	"7"	"109"	"7"	"13"	"196"	""	""	"196"
"124"	"77"	"5"	"6"	"152"	"12"	"18"	"248"	"3"	"9"	"453"	""	""	"453"
"125"	"78"	"15"	"7"	"195"	"23"	"15"	"103"	"7"	"8"	"373"	""	""	"373"
"126"	"79"	"9"	"6"	"267"	"29"	"21"	"205"	"10"	"23"	"570"	""	""	"570"
"127"	"80"	"7"	"5"	"49"	"10"	"13"	"185"	"9"	"21"	"299"	""	""	"299"
"128"	"81"	"20"	"7"	"208"	"32"	"24"	"185"	"6"	"12"	"494"	""	""	"494"
"129"	"82"	"5"	"6"	"59"	"17"	"25"	"214"	"13"	"28"	"367"	""	""	"367"
"130"	"83"	"2"	"2"	"96"	"31"	"9"	"141"	"7"	"13"	"301"	""	""	"301"
"131"	"84"	"8"	"3"	"50"	"44"	"4"	"303"	"6"	"6"	"424"	""	""	"424"
"132"	"85"	"5"	"3"	"27"	"33"	"11"	"242"	"14"	"6"	"341"	""	""	"341"
"133"	"85A"	"41"	"3"	"46"	"9"	"9"	"106"	"5"	"5"	"224"	""	""	"224"
"134"	"86"	"32"	"4"	"162"	"17"	"14"	"137"	"13"	"22"	"401"	""	""	"401"
"135"	"87"	"7"	"6"	"134"	"8"	"15"	"118"	"11"	"28"	"327"	""	""	"327"
"136"	"Round Total"	"165"	"63"	"1553"	"279"	"192"	"2410"	"117"	"197"	"4976"	"0"	"0"	"4976"
"137"	"C.F.->"	"1222"	"463"	"16380"	"2095"	"1400"	"17500"	"735"	"1098"	"40893"	"0"	"0"	"40893"
"138"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"139"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"140"	"ROUND -VIII"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"B.F.->"	"1222"	"463"	"16380"	"2095"	"1400"	"17500"	"735"	"1098"	"40893"	"0"	"0"	"40893"
"142"	"88"	"5"	"4"	"158"	"17"	"14"	"97"	"11"	"11"	"317"	""	""	"317"
"143"	"88A"	"11"	"2"	"281"	"18"	"6"	"33"	"2"	"10"	"363"	""	""	"363"
"144"	"89"	"12"	"8"	"194"	"23"	"8"	"81"	"2"	"8"	"336"	""	""	"336"
"145"	"90"	"20"	"8"	"89"	"8"	"12"	"130"	"10"	"14"	"291"	""	""	"291"
"146"	"91"	"13"	"5"	"194"	"35"	"17"	"70"	"6"	"14"	"354"	""	""	"354"
"147"	"92"	"7"	"6"	"217"	"52"	"28"	"133"	"10"	"17"	"470"	""	""	"470"
"148"	"93"	"32"	"8"	"151"	"15"	"23"	"107"	"14"	"15"	"365"	""	""	"365"
"149"	"94"	"13"	"4"	"30"	"6"	"19"	"366"	"24"	"25"	"487"	""	""	"487"
"150"	"95"	"17"	"6"	"183"	"14"	"11"	"144"	"7"	"11"	"393"	""	""	"393"
"151"	"95A"	"5"	"3"	"69"	"14"	"18"	"175"	"18"	"4"	"306"	""	""	"306"
"152"	"96"	"7"	"9"	"144"	"18"	"19"	"250"	"14"	"9"	"470"	""	""	"470"
"153"	"97"	"17"	"4"	"20"	"28"	"30"	"196"	"19"	"24"	"338"	""	""	"338"
"154"	"97A"	"3"	"0"	"5"	"51"	"6"	"179"	"5"	"6"	"255"	""	""	"255"
"155"	"98"	"21"	"13"	"70"	"46"	"36"	"349"	"17"	"20"	"572"	""	""	"572"
"156"	"Round Total"	"183"	"80"	"1805"	"345"	"247"	"2310"	"159"	"188"	"5317"	"0"	"0"	"5317"
"157"	"C.F.->"	"1405"	"543"	"18185"	"2440"	"1647"	"19810"	"894"	"1286"	"46210"	"0"	"0"	"46210"
"158"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"159"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"160"	"ROUND- IX"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"B.F.->"	"1405"	"543"	"18185"	"2440"	"1647"	"19810"	"894"	"1286"	"46210"	"0"	"0"	"46210"
"162"	"99"	"16"	"7"	"234"	"5"	"6"	"12"	"3"	"3"	"286"	""	""	"286"
"163"	"100"	"2"	"3"	"196"	"14"	"13"	"126"	"6"	"9"	"369"	""	""	"369"
"164"	"101"	"74"	"7"	"11"	"32"	"10"	"193"	"12"	"9"	"348"	""	""	"348"
"165"	"101A"	"7"	"0"	"19"	"36"	"5"	"235"	"3"	"6"	"311"	""	""	"311"
"166"	"102"	"5"	"7"	"71"	"15"	"17"	"210"	"4"	"7"	"336"	""	""	"336"
"167"	"103"	"6"	"1"	"5"	"20"	"5"	"128"	"5"	"7"	"177"	""	""	"177"
"168"	"104"	"24"	"8"	"289"	"6"	"12"	"74"	"9"	"9"	"431"	""	""	"431"
"169"	"105"	"11"	"4"	"159"	"5"	"13"	"126"	"7"	"16"	"341"	""	""	"341"
"170"	"106"	"20"	"3"	"116"	"66"	"37"	"345"	"15"	"23"	"625"	""	""	"625"
"171"	"107"	"25"	"3"	"21"	"7"	"10"	"248"	"5"	"12"	"331"	""	""	"331"
"172"	"108"	"17"	"0"	"5"	"8"	"2"	"244"	"7"	"1"	"284"	""	""	"284"
"173"	"108A"	"17"	"2"	"16"	"17"	"7"	"309"	"5"	"2"	"375"	""	""	"375"
"174"	"109"	"10"	"2"	"2"	"3"	"7"	"326"	"6"	"3"	"359"	""	""	"359"
"175"	"110"	"23"	"7"	"181"	"8"	"16"	"174"	"8"	"13"	"430"	""	""	"430"
"176"	"Round Total"	"257"	"54"	"1325"	"242"	"160"	"2750"	"95"	"120"	"5003"	"0"	"0"	"5003"
"177"	"C.F.->"	"1662"	"597"	"19510"	"2682"	"1807"	"22560"	"989"	"1406"	"51213"	"0"	"0"	"51213"
"178"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"179"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"180"	"ROUND -X"	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"B.F.->"	"1662"	"597"	"19510"	"2682"	"1807"	"22560"	"989"	"1406"	"51213"	"0"	"0"	"51213"
"182"	"111"	"10"	"1"	"282"	"21"	"20"	"136"	"5"	"23"	"498"	""	""	"498"
"183"	"112"	"11"	"7"	"178"	"18"	"8"	"80"	"5"	"14"	"321"	""	""	"321"
"184"	"113"	"13"	"4"	"105"	"26"	"10"	"249"	"7"	"10"	"424"	""	""	"424"
"185"	"114"	"10"	"8"	"124"	"3"	"14"	"197"	"5"	"3"	"364"	""	""	"364"
"186"	"115"	"4"	"3"	"21"	"15"	"12"	"223"	"3"	"14"	"295"	""	""	"295"
"187"	"116"	"26"	"11"	"188"	"23"	"17"	"316"	"9"	"11"	"601"	""	""	"601"
"188"	"117"	"28"	"10"	"47"	"34"	"18"	"251"	"19"	"25"	"432"	""	""	"432"
"189"	"118"	"20"	"10"	"191"	"13"	"19"	"139"	"12"	"19"	"423"	""	""	"423"
"190"	"119"	"6"	"0"	"24"	"15"	"4"	"243"	"3"	"7"	"302"	""	""	"302"
"191"	"119A"	"21"	"1"	"61"	"11"	"9"	"248"	"16"	"25"	"392"	""	""	"392"
"192"	"120"	"57"	"8"	"57"	"12"	"25"	"320"	"16"	"36"	"531"	""	""	"531"
"193"	"121"	"22"	"11"	"160"	"20"	"26"	"324"	"19"	"22"	"604"	""	""	"604"
"194"	"122"	"4"	"4"	"80"	"5"	"6"	"142"	"5"	"6"	"252"	""	""	"252"
"195"	"123"	"10"	"4"	"91"	"22"	"8"	"185"	"2"	"2"	"324"	""	""	"324"
"196"	"Round Total"	"242"	"82"	"1609"	"238"	"196"	"3053"	"126"	"217"	"5763"	"0"	"0"	"5763"
"197"	"C.F.->"	"1904"	"679"	"21119"	"2920"	"2003"	"25613"	"1115"	"1623"	"56976"	"0"	"0"	"56976"
"198"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"199"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
