"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....76..Khajauli"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"26"	""	"12&d"	"6"	"3"	"1"	"237"	"29"	"5"	"0"	"1"	"2"	"284"	""	"284"	""
"27"	""	"13"	"10"	"51"	"16"	"340"	"77"	"17"	"12"	"13"	"25"	"561"	""	"561"	""
"28"	""	"14"	"15"	"14"	"7"	"348"	"182"	"17"	"12"	"8"	"20"	"623"	""	"623"	""
"29"	""	"15"	"9"	"23"	"7"	"294"	"208"	"9"	"6"	"0"	"1"	"557"	""	"557"	""
"30"	""	"16"	"8"	"13"	"5"	"203"	"188"	"15"	"9"	"3"	"12"	"456"	""	"456"	""
"31"	""	"17"	"14"	"56"	"13"	"154"	"307"	"16"	"28"	"13"	"24"	"625"	""	"625"	""
"32"	""	"18"	"6"	"49"	"4"	"53"	"262"	"13"	"13"	"7"	"18"	"425"	""	"425"	""
"33"	""	"19"	"10"	"23"	"6"	"183"	"360"	"19"	"10"	"9"	"16"	"636"	""	"636"	""
"34"	""	"20"	"27"	"37"	"13"	"296"	"225"	"23"	"16"	"8"	"23"	"668"	""	"668"	""
"35"	""	"21"	"36"	"31"	"5"	"161"	"198"	"12"	"7"	"7"	"8"	"465"	""	"465"	""
"36"	""	"21&d"	"31"	"32"	"6"	"85"	"78"	"5"	"5"	"8"	"11"	"261"	""	"261"	""
"37"	""	"Total"	"191"	"400"	"102"	"3125"	"2266"	"181"	"135"	"96"	"224"	"6720"	""	"6720"	""
"38"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"42"	"Round 3"	"22"	"35"	"39"	"5"	"155"	"105"	"13"	"7"	"9"	"27"	"395"	""	"395"	""
"43"	""	"22&d"	"12"	"13"	"7"	"102"	"175"	"4"	"1"	"6"	"17"	"337"	""	"337"	""
"44"	""	"23"	"5"	"19"	"5"	"211"	"163"	"15"	"7"	"3"	"14"	"442"	""	"442"	""
"45"	""	"23&d"	"7"	"3"	"8"	"201"	"111"	"8"	"3"	"6"	"10"	"357"	""	"357"	""
"46"	""	"24"	"14"	"18"	"5"	"234"	"93"	"4"	"4"	"1"	"4"	"377"	""	"377"	""
"47"	""	"24&d"	"10"	"13"	"4"	"203"	"39"	"6"	"5"	"6"	"10"	"296"	""	"296"	""
"48"	""	"25"	"10"	"65"	"13"	"248"	"140"	"32"	"11"	"10"	"16"	"545"	""	"545"	""
"49"	""	"26"	"16"	"34"	"6"	"189"	"105"	"15"	"11"	"5"	"16"	"397"	""	"397"	""
"50"	""	"27"	"5"	"109"	"7"	"250"	"57"	"11"	"7"	"6"	"6"	"458"	""	"458"	""
"51"	""	"27&d"	"11"	"22"	"3"	"210"	"74"	"57"	"2"	"1"	"2"	"382"	""	"382"	""
"52"	""	"28"	"12"	"72"	"10"	"48"	"135"	"32"	"14"	"2"	"8"	"333"	""	"333"	""
"53"	""	"28&d"	"8"	"77"	"17"	"118"	"101"	"32"	"3"	"7"	"10"	"373"	""	"373"	""
"54"	""	"29"	"23"	"90"	"10"	"277"	"174"	"12"	"8"	"0"	"1"	"595"	""	"595"	""
"55"	""	"30"	"10"	"88"	"1"	"60"	"186"	"10"	"3"	"2"	"10"	"370"	""	"370"	""
"56"	""	"Total"	"178"	"662"	"101"	"2506"	"1658"	"251"	"86"	"64"	"151"	"5657"	""	"5657"	""
"57"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"61"	"Round 4"	"31"	"14"	"48"	"5"	"238"	"234"	"35"	"11"	"15"	"8"	"608"	""	"608"	""
"62"	""	"32"	"9"	"6"	"4"	"139"	"195"	"9"	"2"	"2"	"12"	"378"	""	"378"	""
"63"	""	"32&d"	"12"	"6"	"3"	"22"	"202"	"32"	"3"	"1"	"2"	"283"	""	"283"	""
"64"	""	"33"	"5"	"3"	"6"	"79"	"464"	"44"	"5"	"5"	"17"	"628"	""	"628"	""
"65"	""	"34"	"16"	"12"	"6"	"141"	"222"	"28"	"2"	"0"	"15"	"442"	""	"442"	""
"66"	""	"35"	"21"	"14"	"7"	"31"	"449"	"19"	"10"	"3"	"5"	"559"	""	"559"	""
"67"	""	"36"	"16"	"11"	"9"	"363"	"198"	"20"	"8"	"9"	"17"	"651"	""	"651"	""
"68"	""	"37"	"7"	"27"	"3"	"68"	"195"	"78"	"5"	"10"	"8"	"401"	""	"401"	""
"69"	""	"37&d"	"3"	"3"	"3"	"171"	"89"	"6"	"2"	"0"	"5"	"282"	""	"282"	""
"70"	""	"38"	"10"	"6"	"6"	"69"	"274"	"28"	"5"	"4"	"20"	"422"	""	"422"	""
"71"	""	"39"	"12"	"10"	"6"	"62"	"372"	"19"	"15"	"10"	"16"	"522"	""	"522"	""
"72"	""	"40"	"6"	"2"	"5"	"56"	"209"	"21"	"5"	"4"	"16"	"324"	""	"324"	""
"73"	""	"41"	"26"	"82"	"14"	"169"	"42"	"14"	"11"	"22"	"39"	"419"	""	"419"	""
"74"	""	"42"	"19"	"46"	"10"	"464"	"51"	"7"	"4"	"5"	"3"	"609"	""	"609"	""
"75"	""	"Total"	"176"	"276"	"87"	"2072"	"3196"	"360"	"88"	"90"	"183"	"6528"	""	"6528"	""
"76"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"80"	"Round 5"	"43"	"19"	"5"	"5"	"287"	"83"	"13"	"11"	"12"	"22"	"457"	""	"457"	""
"81"	""	"44"	"16"	"87"	"18"	"163"	"44"	"8"	"22"	"4"	"8"	"370"	""	"370"	""
"82"	""	"45"	"9"	"78"	"10"	"56"	"400"	"10"	"16"	"12"	"71"	"662"	""	"662"	""
"83"	""	"46"	"18"	"26"	"7"	"70"	"296"	"9"	"6"	"6"	"39"	"477"	""	"477"	""
"84"	""	"47"	"3"	"42"	"1"	"50"	"97"	"4"	"2"	"6"	"20"	"225"	""	"225"	""
"85"	""	"47&d"	"12"	"64"	"6"	"94"	"137"	"10"	"11"	"9"	"55"	"398"	""	"398"	""
"86"	""	"48"	"9"	"53"	"3"	"99"	"157"	"18"	"17"	"6"	"48"	"410"	""	"410"	""
"87"	""	"49"	"2"	"4"	"1"	"17"	"127"	"4"	"3"	"0"	"8"	"166"	""	"166"	""
"88"	""	"50"	"11"	"106"	"9"	"91"	"69"	"10"	"9"	"6"	"27"	"338"	""	"338"	""
"89"	""	"50&d"	"3"	"47"	"5"	"14"	"135"	"7"	"8"	"1"	"6"	"226"	""	"226"	""
"90"	""	"51"	"28"	"25"	"14"	"390"	"33"	"18"	"8"	"8"	"14"	"538"	""	"538"	""
"91"	""	"52"	"8"	"23"	"5"	"205"	"167"	"17"	"6"	"7"	"8"	"446"	""	"446"	""
"92"	""	"53"	"17"	"54"	"14"	"184"	"275"	"15"	"14"	"1"	"9"	"583"	""	"583"	""
"93"	""	"54"	"3"	"19"	"11"	"261"	"49"	"21"	"3"	"4"	"9"	"380"	""	"380"	""
"94"	""	"Total"	"158"	"633"	"109"	"1981"	"2069"	"164"	"136"	"82"	"344"	"5676"	""	"5676"	""
"95"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"99"	"Round 6"	"55"	"4"	"29"	"9"	"301"	"131"	"1"	"2"	"2"	"3"	"482"	""	"482"	""
"100"	""	"56"	"3"	"11"	"3"	"451"	"42"	"1"	"2"	"2"	"6"	"521"	""	"521"	""
"101"	""	"57"	"11"	"83"	"6"	"201"	"62"	"13"	"24"	"11"	"21"	"432"	""	"432"	""
"102"	""	"58"	"6"	"163"	"9"	"43"	"175"	"8"	"15"	"7"	"11"	"437"	""	"437"	""
"103"	""	"59"	"2"	"1"	"1"	"215"	"32"	"0"	"0"	"0"	"1"	"252"	""	"252"	""
"104"	""	"60"	"1"	"16"	"3"	"328"	"43"	"3"	"1"	"0"	"0"	"395"	""	"395"	""
"105"	""	"61"	"9"	"80"	"6"	"395"	"36"	"10"	"12"	"7"	"6"	"561"	""	"561"	""
"106"	""	"62"	"3"	"6"	"3"	"369"	"53"	"2"	"1"	"1"	"1"	"439"	""	"439"	""
"107"	""	"63"	"15"	"113"	"7"	"358"	"42"	"9"	"17"	"5"	"13"	"579"	""	"579"	""
"108"	""	"64"	"17"	"54"	"4"	"210"	"80"	"14"	"11"	"1"	"4"	"395"	""	"395"	""
"109"	""	"65"	"14"	"242"	"13"	"235"	"93"	"14"	"29"	"5"	"29"	"674"	""	"674"	""
"110"	""	"66"	"18"	"219"	"13"	"326"	"121"	"15"	"16"	"7"	"7"	"742"	""	"742"	""
"111"	""	"67"	"17"	"23"	"8"	"88"	"203"	"15"	"14"	"5"	"11"	"384"	""	"384"	""
"112"	""	"68"	"15"	"23"	"16"	"66"	"176"	"9"	"7"	"7"	"12"	"331"	""	"331"	""
"113"	""	"Total"	"135"	"1063"	"101"	"3586"	"1289"	"114"	"151"	"60"	"125"	"6624"	""	"6624"	""
"114"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"118"	"Round 7"	"69"	"8"	"53"	"8"	"71"	"172"	"17"	"4"	"11"	"35"	"379"	""	"379"	""
"119"	""	"70"	"13"	"13"	"9"	"108"	"153"	"7"	"6"	"3"	"4"	"316"	""	"316"	""
"120"	""	"70&d"	"16"	"8"	"12"	"85"	"129"	"9"	"2"	"7"	"6"	"274"	""	"274"	""
"121"	""	"71"	"11"	"40"	"16"	"278"	"207"	"25"	"15"	"8"	"20"	"620"	""	"620"	""
"122"	""	"72"	"8"	"22"	"1"	"72"	"251"	"11"	"10"	"4"	"13"	"392"	""	"392"	""
"123"	""	"73"	"3"	"8"	"4"	"32"	"126"	"9"	"5"	"2"	"4"	"193"	""	"193"	""
"124"	""	"73&d"	"14"	"9"	"14"	"178"	"69"	"8"	"7"	"5"	"14"	"318"	""	"318"	""
"125"	""	"74"	"20"	"37"	"11"	"190"	"84"	"11"	"10"	"2"	"4"	"369"	""	"369"	""
"126"	""	"75"	"2"	"23"	"3"	"8"	"168"	"5"	"6"	"3"	"2"	"220"	""	"220"	""
"127"	""	"75&d"	"7"	"10"	"18"	"107"	"114"	"12"	"6"	"13"	"9"	"296"	""	"296"	""
"128"	""	"76"	"9"	"24"	"6"	"227"	"157"	"14"	"14"	"10"	"19"	"480"	""	"480"	""
"129"	""	"77"	"6"	"9"	"11"	"126"	"164"	"12"	"15"	"9"	"31"	"383"	""	"383"	""
"130"	""	"81"	"2"	"9"	"4"	"180"	"285"	"6"	"12"	"1"	"3"	"502"	""	"502"	""
"131"	""	"82"	"20"	"41"	"28"	"157"	"216"	"13"	"54"	"13"	"25"	"567"	""	"567"	""
"132"	""	"Total"	"139"	"306"	"145"	"1819"	"2295"	"159"	"166"	"91"	"189"	"5309"	""	"5309"	""
"133"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"137"	"Round 8"	"83"	"10"	"54"	"5"	"203"	"205"	"17"	"8"	"8"	"7"	"517"	""	"517"	""
"138"	""	"86"	"14"	"147"	"17"	"157"	"82"	"11"	"31"	"10"	"50"	"519"	""	"519"	""
"139"	""	"87"	"11"	"38"	"5"	"276"	"26"	"8"	"10"	"4"	"23"	"401"	""	"401"	""
"140"	""	"88"	"19"	"56"	"5"	"241"	"35"	"4"	"10"	"3"	"4"	"377"	""	"377"	""
"141"	""	"89"	"9"	"22"	"11"	"325"	"14"	"6"	"7"	"3"	"7"	"404"	""	"404"	""
"142"	""	"94"	"8"	"13"	"5"	"109"	"187"	"17"	"5"	"4"	"10"	"358"	""	"358"	""
"143"	""	"78"	"25"	"51"	"14"	"223"	"180"	"17"	"26"	"7"	"15"	"558"	""	"558"	""
"144"	""	"79"	"18"	"85"	"9"	"161"	"104"	"16"	"16"	"8"	"13"	"430"	""	"430"	""
"145"	""	"80"	"6"	"8"	"6"	"209"	"12"	"6"	"1"	"3"	"7"	"258"	""	"258"	""
"146"	""	"84"	"20"	"27"	"14"	"149"	"49"	"13"	"48"	"6"	"35"	"361"	""	"361"	""
"147"	""	"85"	"7"	"16"	"9"	"120"	"78"	"15"	"44"	"7"	"9"	"305"	""	"305"	""
"148"	""	"90"	"7"	"23"	"10"	"192"	"13"	"3"	"7"	"0"	"3"	"258"	""	"258"	""
"149"	""	"91"	"12"	"126"	"13"	"29"	"124"	"13"	"25"	"9"	"8"	"359"	""	"359"	""
"150"	""	"92"	"26"	"108"	"36"	"185"	"94"	"16"	"19"	"9"	"19"	"512"	""	"512"	""
"151"	""	"Total"	"192"	"774"	"159"	"2579"	"1203"	"162"	"257"	"81"	"210"	"5617"	""	"5617"	""
"152"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"156"	"Round 9"	"93"	"5"	"16"	"7"	"202"	"42"	"9"	"3"	"1"	"6"	"291"	""	"291"	""
"157"	""	"95"	"21"	"24"	"13"	"188"	"85"	"9"	"13"	"9"	"11"	"373"	""	"373"	""
"158"	""	"96"	"9"	"16"	"2"	"124"	"145"	"12"	"8"	"7"	"7"	"330"	""	"330"	""
"159"	""	"97"	"10"	"15"	"9"	"222"	"84"	"15"	"4"	"2"	"9"	"370"	""	"370"	""
"160"	""	"98"	"15"	"8"	"7"	"110"	"26"	"3"	"3"	"0"	"6"	"178"	""	"178"	""
"161"	""	"99"	"14"	"67"	"11"	"94"	"128"	"9"	"15"	"5"	"12"	"355"	""	"355"	""
"162"	""	"100"	"13"	"158"	"14"	"75"	"143"	"12"	"20"	"10"	"12"	"457"	""	"457"	""
"163"	""	"101"	"11"	"88"	"11"	"115"	"112"	"8"	"13"	"7"	"9"	"374"	""	"374"	""
"164"	""	"102"	"4"	"13"	"5"	"118"	"85"	"9"	"8"	"7"	"12"	"261"	""	"261"	""
"165"	""	"103"	"13"	"97"	"15"	"96"	"195"	"17"	"15"	"8"	"16"	"472"	""	"472"	""
"166"	""	"108"	"8"	"7"	"1"	"64"	"117"	"15"	"8"	"2"	"5"	"227"	""	"227"	""
"167"	""	"104"	"8"	"15"	"13"	"238"	"185"	"12"	"4"	"8"	"5"	"488"	""	"488"	""
"168"	""	"105"	"6"	"22"	"7"	"5"	"278"	"7"	"9"	"7"	"2"	"343"	""	"343"	""
"169"	""	"106"	"31"	"211"	"23"	"88"	"37"	"8"	"19"	"3"	"5"	"425"	""	"425"	""
"170"	""	"Total"	"168"	"757"	"138"	"1739"	"1662"	"145"	"142"	"76"	"117"	"4944"	""	"4944"	""
"171"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"175"	"Round 10"	"107"	"4"	"2"	"0"	"162"	"22"	"4"	"0"	"2"	"10"	"206"	""	"206"	""
"176"	""	"109"	"12"	"15"	"7"	"125"	"306"	"20"	"19"	"11"	"27"	"542"	""	"542"	""
"177"	""	"110"	"13"	"74"	"14"	"212"	"156"	"21"	"19"	"15"	"27"	"551"	""	"551"	""
"178"	""	"111"	"4"	"26"	"13"	"323"	"84"	"17"	"17"	"11"	"20"	"515"	""	"515"	""
"179"	""	"112"	"8"	"38"	"27"	"230"	"123"	"16"	"13"	"9"	"22"	"486"	""	"486"	""
"180"	""	"113"	"6"	"12"	"168"	"133"	"89"	"13"	"17"	"17"	"23"	"478"	""	"478"	""
"181"	""	"114"	"25"	"158"	"22"	"172"	"215"	"30"	"50"	"18"	"46"	"736"	""	"736"	""
"182"	""	"115"	"12"	"15"	"16"	"277"	"78"	"6"	"2"	"1"	"3"	"410"	""	"410"	""
"183"	""	"116"	"13"	"51"	"15"	"397"	"77"	"17"	"20"	"6"	"13"	"609"	""	"609"	""
"184"	""	"117"	"10"	"5"	"8"	"271"	"73"	"13"	"6"	"6"	"19"	"411"	""	"411"	""
"185"	""	"118"	"17"	"66"	"21"	"170"	"127"	"14"	"28"	"13"	"8"	"464"	""	"464"	""
"186"	""	"119"	"12"	"47"	"10"	"132"	"88"	"5"	"11"	"6"	"6"	"317"	""	"317"	""
"187"	""	"119&d"	"7"	"24"	"8"	"173"	"39"	"12"	"12"	"7"	"8"	"290"	""	"290"	""
"188"	""	"120"	"11"	"127"	"12"	"209"	"32"	"5"	"13"	"10"	"4"	"423"	""	"423"	""
"189"	""	"Total"	"154"	"660"	"341"	"2986"	"1509"	"193"	"227"	"132"	"236"	"6438"	""	"6438"	""
"190"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"194"	"Round 11"	"121"	"9"	"42"	"8"	"56"	"134"	"14"	"8"	"7"	"6"	"284"	""	"284"	""
"195"	""	"122"	"4"	"19"	"5"	"168"	"123"	"13"	"7"	"2"	"5"	"346"	""	"346"	""
"196"	""	"123"	"21"	"41"	"18"	"64"	"306"	"30"	"22"	"8"	"11"	"521"	""	"521"	""
"197"	""	"124"	"7"	"13"	"6"	"177"	"155"	"6"	"7"	"0"	"2"	"373"	""	"373"	""
"198"	""	"125"	"4"	"3"	"11"	"226"	"26"	"3"	"4"	"8"	"9"	"294"	""	"294"	""
"199"	""	"126"	"3"	"21"	"4"	"34"	"260"	"10"	"12"	"6"	"10"	"360"	""	"360"	""
"200"	""	"127"	"28"	"29"	"12"	"266"	"224"	"22"	"17"	"11"	"18"	"627"	""	"627"	""
"201"	""	"128"	"6"	"80"	"9"	"16"	"204"	"11"	"9"	"6"	"4"	"345"	""	"345"	""
"202"	""	"128&d"	"12"	"91"	"15"	"38"	"53"	"12"	"29"	"10"	"6"	"266"	""	"266"	""
"203"	""	"129"	"7"	"58"	"7"	"134"	"106"	"6"	"1"	"1"	"10"	"330"	""	"330"	""
"204"	""	"130"	"12"	"3"	"7"	"292"	"66"	"7"	"1"	"7"	"3"	"398"	""	"398"	""
"205"	""	"131"	"23"	"28"	"16"	"334"	"59"	"4"	"6"	"6"	"15"	"491"	""	"491"	""
"206"	""	"132"	"12"	"130"	"19"	"289"	"59"	"17"	"18"	"10"	"12"	"566"	""	"566"	""
"207"	""	"133"	"13"	"7"	"13"	"135"	"302"	"14"	"10"	"5"	"5"	"504"	""	"504"	""
"208"	""	"Total"	"161"	"565"	"150"	"2229"	"2077"	"169"	"151"	"87"	"116"	"5705"	""	"5705"	""
"209"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
