"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"22"	"11"	"59"	"3"	"17"	"95"	"5"	"115"	"7"	"301"	""	"301"	""
"23"	"12"	"44"	"9"	"15"	"254"	"10"	"76"	"8"	"416"	""	"416"	""
"24"	"Round -1 Total"	"634"	"92"	"178"	"1718"	"147"	"3609"	"186"	"6564"	"0"	"6564"	"0"
"25"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"26"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"28"	"B/F"	"634"	"92"	"178"	"1718"	"147"	"3609"	"186"	"6564"	"0"	"6564"	"0"
"29"	"13"	"493"	"9"	"10"	"26"	"4"	"97"	"24"	"663"	""	"663"	""
"30"	"14"	"432"	"1"	"3"	"14"	"1"	"1"	"1"	"453"	""	"453"	""
"31"	"15"	"144"	"7"	"9"	"74"	"3"	"79"	"8"	"324"	""	"324"	""
"32"	"16"	"284"	"6"	"10"	"122"	"3"	"100"	"11"	"536"	""	"536"	""
"33"	"17"	"59"	"8"	"30"	"19"	"9"	"364"	"32"	"521"	""	"521"	""
"34"	"18"	"41"	"9"	"39"	"35"	"7"	"292"	"11"	"434"	""	"434"	""
"35"	"19"	"124"	"7"	"12"	"26"	"0"	"50"	"1"	"220"	""	"220"	""
"36"	"20"	"163"	"3"	"54"	"115"	"17"	"166"	"4"	"522"	""	"522"	""
"37"	"21"	"97"	"11"	"2"	"67"	"5"	"95"	"16"	"293"	""	"293"	""
"38"	"22"	"574"	"12"	"3"	"9"	"3"	"56"	"8"	"665"	""	"665"	""
"39"	"23"	"527"	"10"	"1"	"102"	"4"	"18"	"13"	"675"	""	"675"	""
"40"	"24"	"78"	"16"	"35"	"143"	"13"	"207"	"16"	"508"	""	"508"	""
"41"	"25"	"127"	"2"	"19"	"260"	"5"	"140"	"0"	"553"	""	"553"	""
"42"	"26"	"28"	"16"	"11"	"102"	"11"	"288"	"58"	"514"	""	"514"	""
"43"	"Round-2 Total"	"3171"	"117"	"238"	"1114"	"85"	"1953"	"203"	"6881"	"0"	"6881"	"0"
"44"	"Cumm. Total"	"3805"	"209"	"416"	"2832"	"232"	"5562"	"389"	"13445"	"0"	"13445"	"0"
"45"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"46"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"48"	"B/F"	"3805"	"209"	"416"	"2832"	"232"	"5562"	"389"	"13445"	"0"	"13445"	"0"
"49"	"27"	"56"	"4"	"28"	"86"	"4"	"172"	"8"	"358"	""	"358"	""
"50"	"27A"	"203"	"9"	"8"	"56"	"4"	"90"	"25"	"395"	""	"395"	""
"51"	"28"	"141"	"10"	"13"	"136"	"12"	"132"	"17"	"461"	""	"461"	""
"52"	"29"	"316"	"5"	"4"	"28"	"4"	"48"	"12"	"417"	""	"417"	""
"53"	"30"	"132"	"10"	"9"	"180"	"18"	"25"	"17"	"391"	""	"391"	""
"54"	"31"	"266"	"12"	"20"	"290"	"7"	"36"	"16"	"647"	""	"647"	""
"55"	"32"	"522"	"3"	"3"	"12"	"3"	"22"	"16"	"581"	""	"581"	""
"56"	"33"	"156"	"16"	"26"	"288"	"11"	"82"	"19"	"598"	""	"598"	""
"57"	"34"	"323"	"8"	"17"	"162"	"15"	"59"	"10"	"594"	""	"594"	""
"58"	"35"	"45"	"11"	"14"	"349"	"9"	"74"	"9"	"511"	""	"511"	""
"59"	"36"	"284"	"8"	"9"	"63"	"8"	"156"	"43"	"571"	""	"571"	""
"60"	"37"	"332"	"14"	"4"	"21"	"10"	"227"	"22"	"630"	""	"630"	""
"61"	"38"	"73"	"10"	"8"	"265"	"16"	"145"	"7"	"524"	""	"524"	""
"62"	"39"	"473"	"3"	"4"	"20"	"1"	"16"	"7"	"524"	""	"524"	""
"63"	"Round-3 Total"	"3322"	"123"	"167"	"1956"	"122"	"1284"	"228"	"7202"	"0"	"7202"	"0"
"64"	"Cumm. Total"	"7127"	"332"	"583"	"4788"	"354"	"6846"	"617"	"20647"	"0"	"20647"	"0"
"65"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"66"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"67"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"68"	"B/F"	"7127"	"332"	"583"	"4788"	"354"	"6846"	"617"	"20647"	"0"	"20647"	"0"
"69"	"39A"	"121"	"9"	"12"	"51"	"9"	"102"	"5"	"309"	""	"309"	""
"70"	"40"	"385"	"21"	"24"	"51"	"7"	"132"	"19"	"639"	""	"639"	""
"71"	"41"	"250"	"13"	"12"	"27"	"4"	"89"	"14"	"409"	""	"409"	""
"72"	"42"	"109"	"5"	"10"	"162"	"7"	"219"	"8"	"520"	""	"520"	""
"73"	"43"	"45"	"5"	"16"	"295"	"9"	"114"	"9"	"493"	""	"493"	""
"74"	"43A"	"140"	"10"	"4"	"30"	"3"	"42"	"12"	"241"	""	"241"	""
"75"	"44"	"190"	"12"	"2"	"31"	"6"	"194"	"15"	"450"	""	"450"	""
"76"	"45"	"143"	"18"	"19"	"116"	"7"	"179"	"24"	"506"	""	"506"	""
"77"	"46"	"109"	"21"	"26"	"118"	"13"	"305"	"34"	"626"	""	"626"	""
"78"	"47"	"275"	"12"	"6"	"33"	"9"	"109"	"34"	"478"	""	"478"	""
"79"	"48"	"24"	"9"	"29"	"81"	"9"	"159"	"23"	"334"	""	"334"	""
"80"	"49"	"3"	"4"	"4"	"4"	"2"	"372"	"6"	"395"	""	"395"	""
"81"	"50"	"12"	"3"	"54"	"11"	"5"	"330"	"21"	"436"	""	"436"	""
"82"	"51"	"10"	"11"	"35"	"29"	"4"	"217"	"15"	"321"	""	"321"	""
"83"	"Round-4 Total"	"1816"	"153"	"253"	"1039"	"94"	"2563"	"239"	"6157"	"0"	"6157"	"0"
"84"	"Cumm. Total"	"8943"	"485"	"836"	"5827"	"448"	"9409"	"856"	"26804"	"0"	"26804"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"86"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"88"	"B/F"	"8943"	"485"	"836"	"5827"	"448"	"9409"	"856"	"26804"	"0"	"26804"	"0"
"89"	"51A"	"100"	"7"	"12"	"57"	"4"	"102"	"11"	"293"	""	"293"	""
"90"	"52"	"15"	"2"	"25"	"112"	"9"	"93"	"14"	"270"	""	"270"	""
"91"	"53"	"52"	"14"	"26"	"239"	"12"	"146"	"15"	"504"	""	"504"	""
"92"	"54"	"55"	"20"	"28"	"223"	"14"	"230"	"14"	"584"	""	"584"	""
"93"	"55"	"30"	"21"	"9"	"115"	"13"	"257"	"11"	"456"	""	"456"	""
"94"	"56"	"44"	"3"	"12"	"54"	"5"	"164"	"10"	"292"	""	"292"	""
"95"	"57"	"86"	"5"	"23"	"124"	"46"	"148"	"11"	"443"	""	"443"	""
"96"	"58"	"23"	"25"	"43"	"103"	"6"	"118"	"6"	"324"	""	"324"	""
"97"	"59"	"19"	"16"	"113"	"60"	"19"	"181"	"16"	"424"	""	"424"	""
"98"	"60"	"181"	"7"	"30"	"90"	"6"	"140"	"11"	"465"	""	"465"	""
"99"	"61"	"67"	"1"	"55"	"79"	"4"	"184"	"5"	"395"	""	"395"	""
"100"	"62"	"104"	"4"	"14"	"61"	"2"	"51"	"3"	"239"	""	"239"	""
"101"	"63"	"186"	"6"	"22"	"14"	"12"	"78"	"22"	"340"	""	"340"	""
"102"	"64"	"46"	"19"	"33"	"539"	"29"	"22"	"16"	"704"	""	"704"	""
"103"	"Round-5 Total"	"1008"	"150"	"445"	"1870"	"181"	"1914"	"165"	"5733"	"0"	"5733"	"0"
"104"	"Cumm. Total"	"9951"	"635"	"1281"	"7697"	"629"	"11323"	"1021"	"32537"	"0"	"32537"	"0"
"105"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"106"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"108"	"B/F"	"9951"	"635"	"1281"	"7697"	"629"	"11323"	"1021"	"32537"	"0"	"32537"	"0"
"109"	"65"	"167"	"14"	"12"	"235"	"10"	"95"	"37"	"570"	""	"570"	""
"110"	"66"	"91"	"13"	"111"	"5"	"5"	"192"	"12"	"429"	""	"429"	""
"111"	"67"	"17"	"2"	"14"	"24"	"5"	"180"	"13"	"255"	""	"255"	""
"112"	"68"	"39"	"57"	"13"	"64"	"2"	"197"	"13"	"385"	""	"385"	""
"113"	"69"	"167"	"14"	"96"	"143"	"20"	"178"	"18"	"636"	""	"636"	""
"114"	"70"	"40"	"4"	"9"	"248"	"15"	"84"	"12"	"412"	""	"412"	""
"115"	"70A"	"26"	"6"	"6"	"144"	"1"	"76"	"3"	"262"	""	"262"	""
"116"	"71"	"69"	"38"	"26"	"189"	"11"	"151"	"15"	"499"	""	"499"	""
"117"	"71A"	"22"	"55"	"14"	"137"	"7"	"57"	"12"	"304"	""	"304"	""
"118"	"72"	"177"	"10"	"37"	"178"	"19"	"185"	"29"	"635"	""	"635"	""
"119"	"73"	"208"	"8"	"41"	"165"	"11"	"225"	"18"	"676"	""	"676"	""
"120"	"74"	"207"	"7"	"20"	"116"	"6"	"151"	"13"	"520"	""	"520"	""
"121"	"75"	"230"	"11"	"14"	"95"	"4"	"46"	"12"	"412"	""	"412"	""
"122"	"76"	"402"	"18"	"6"	"93"	"8"	"23"	"21"	"571"	""	"571"	""
"123"	"Round-6 Total"	"1862"	"257"	"419"	"1836"	"124"	"1840"	"228"	"6566"	"0"	"6566"	"0"
"124"	"Cumm. Total"	"11813"	"892"	"1700"	"9533"	"753"	"13163"	"1249"	"39103"	"0"	"39103"	"0"
"125"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"126"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"127"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"128"	"B/F"	"11813"	"892"	"1700"	"9533"	"753"	"13163"	"1249"	"39103"	"0"	"39103"	"0"
"129"	"77"	"101"	"5"	"32"	"137"	"16"	"163"	"25"	"479"	""	"479"	""
"130"	"78"	"112"	"11"	"18"	"129"	"16"	"176"	"18"	"480"	""	"480"	""
"131"	"79"	"77"	"23"	"33"	"225"	"12"	"184"	"18"	"572"	""	"572"	""
"132"	"80"	"76"	"9"	"25"	"43"	"6"	"254"	"15"	"428"	""	"428"	""
"133"	"81"	"157"	"22"	"23"	"171"	"14"	"124"	"21"	"532"	""	"532"	""
"134"	"82"	"52"	"6"	"10"	"405"	"20"	"23"	"10"	"526"	""	"526"	""
"135"	"83"	"19"	"5"	"20"	"350"	"14"	"36"	"16"	"460"	""	"460"	""
"136"	"84"	"62"	"13"	"18"	"404"	"26"	"45"	"14"	"582"	""	"582"	""
"137"	"85"	"30"	"7"	"12"	"249"	"8"	"137"	"22"	"465"	""	"465"	""
"138"	"86"	"128"	"4"	"10"	"50"	"8"	"64"	"6"	"270"	""	"270"	""
"139"	"87"	"98"	"4"	"5"	"6"	"1"	"227"	"13"	"354"	""	"354"	""
"140"	"88"	"12"	"8"	"10"	"131"	"4"	"91"	"9"	"265"	""	"265"	""
"141"	"89"	"31"	"6"	"6"	"185"	"8"	"67"	"13"	"316"	""	"316"	""
"142"	"90"	"6"	"2"	"11"	"237"	"14"	"20"	"8"	"298"	""	"298"	""
"143"	"Round-7 Total"	"961"	"125"	"233"	"2722"	"167"	"1611"	"208"	"6027"	"0"	"6027"	"0"
"144"	"Cumm. Total"	"12774"	"1017"	"1933"	"12255"	"920"	"14774"	"1457"	"45130"	"0"	"45130"	"0"
"145"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"146"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"147"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"148"	"B/F"	"12774"	"1017"	"1933"	"12255"	"920"	"14774"	"1457"	"45130"	"0"	"45130"	"0"
"149"	"91"	"13"	"7"	"7"	"359"	"8"	"10"	"12"	"416"	""	"416"	""
"150"	"92"	"539"	"9"	"2"	"5"	"2"	"3"	"10"	"570"	""	"570"	""
"151"	"93"	"451"	"4"	"4"	"13"	"1"	"1"	"10"	"484"	""	"484"	""
"152"	"94"	"222"	"4"	"1"	"25"	"8"	"138"	"17"	"415"	""	"415"	""
"153"	"95"	"23"	"9"	"5"	"54"	"9"	"188"	"14"	"302"	""	"302"	""
"154"	"96"	"495"	"9"	"2"	"12"	"1"	"23"	"12"	"554"	""	"554"	""
"155"	"97"	"205"	"18"	"15"	"131"	"11"	"15"	"33"	"428"	""	"428"	""
"156"	"98"	"37"	"10"	"11"	"198"	"11"	"126"	"15"	"408"	""	"408"	""
"157"	"99"	"54"	"2"	"57"	"23"	"17"	"182"	"25"	"360"	""	"360"	""
"158"	"100"	"67"	"5"	"43"	"119"	"7"	"31"	"18"	"290"	""	"290"	""
"159"	"101"	"22"	"17"	"248"	"73"	"16"	"179"	"15"	"570"	""	"570"	""
"160"	"102"	"9"	"5"	"8"	"84"	"6"	"334"	"11"	"457"	""	"457"	""
"161"	"103"	"50"	"13"	"19"	"105"	"18"	"335"	"47"	"587"	""	"587"	""
"162"	"104"	"14"	"3"	"7"	"337"	"12"	"45"	"16"	"434"	""	"434"	""
"163"	"Round-8 Total"	"2201"	"115"	"429"	"1538"	"127"	"1610"	"255"	"6275"	"0"	"6275"	"0"
"164"	"Cumm. Total"	"14975"	"1132"	"2362"	"13793"	"1047"	"16384"	"1712"	"51405"	"0"	"51405"	"0"
"165"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"166"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"168"	"B/F"	"14975"	"1132"	"2362"	"13793"	"1047"	"16384"	"1712"	"51405"	"0"	"51405"	"0"
"169"	"105"	"11"	"8"	"11"	"147"	"10"	"174"	"19"	"380"	""	"380"	""
"170"	"106"	"32"	"4"	"9"	"338"	"12"	"6"	"13"	"414"	""	"414"	""
"171"	"107"	"6"	"5"	"13"	"541"	"12"	"11"	"4"	"592"	""	"592"	""
"172"	"108"	"62"	"11"	"23"	"311"	"5"	"95"	"11"	"518"	""	"518"	""
"173"	"109"	"56"	"11"	"14"	"282"	"10"	"9"	"19"	"401"	""	"401"	""
"174"	"110"	"8"	"4"	"16"	"553"	"6"	"6"	"11"	"604"	""	"604"	""
"175"	"111"	"16"	"15"	"11"	"444"	"24"	"147"	"29"	"686"	""	"686"	""
"176"	"112"	"5"	"1"	"0"	"684"	"4"	"7"	"1"	"702"	""	"702"	""
"177"	"113"	"8"	"2"	"4"	"384"	"12"	"6"	"2"	"418"	""	"418"	""
"178"	"114"	"36"	"7"	"9"	"16"	"8"	"228"	"31"	"335"	""	"335"	""
"179"	"115"	"24"	"1"	"1"	"14"	"12"	"175"	"23"	"250"	""	"250"	""
"180"	"116"	"16"	"2"	"1"	"9"	"4"	"355"	"41"	"428"	""	"428"	""
"181"	"116A"	"35"	"2"	"11"	"12"	"5"	"246"	"18"	"329"	""	"329"	""
"182"	"117"	"13"	"4"	"10"	"23"	"11"	"436"	"19"	"516"	""	"516"	""
"183"	"Round-9 Total"	"328"	"77"	"133"	"3758"	"135"	"1901"	"241"	"6573"	"0"	"6573"	"0"
"184"	"Cumm. Total"	"15303"	"1209"	"2495"	"17551"	"1182"	"18285"	"1953"	"57978"	"0"	"57978"	"0"
"185"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"186"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"188"	"B/F"	"15303"	"1209"	"2495"	"17551"	"1182"	"18285"	"1953"	"57978"	"0"	"57978"	"0"
"189"	"118"	"128"	"12"	"5"	"22"	"6"	"119"	"12"	"304"	""	"304"	""
"190"	"119"	"45"	"9"	"2"	"10"	"5"	"218"	"24"	"313"	""	"313"	""
"191"	"120"	"318"	"5"	"3"	"44"	"5"	"37"	"24"	"436"	""	"436"	""
"192"	"121"	"87"	"4"	"11"	"282"	"14"	"16"	"30"	"444"	""	"444"	""
"193"	"121A"	"109"	"8"	"4"	"59"	"6"	"23"	"29"	"238"	""	"238"	""
"194"	"122"	"66"	"6"	"9"	"119"	"14"	"90"	"25"	"329"	""	"329"	""
"195"	"122A"	"231"	"9"	"9"	"115"	"8"	"34"	"5"	"411"	""	"411"	""
"196"	"123"	"85"	"6"	"64"	"6"	"10"	"259"	"12"	"442"	""	"442"	""
"197"	"124"	"43"	"7"	"24"	"17"	"11"	"338"	"35"	"475"	""	"475"	""
"198"	"125"	"119"	"7"	"12"	"33"	"12"	"147"	"48"	"378"	""	"378"	""
"199"	"126"	"20"	"9"	"9"	"75"	"9"	"229"	"12"	"363"	""	"363"	""
"200"	"127"	"61"	"15"	"11"	"165"	"11"	"114"	"10"	"387"	""	"387"	""
"201"	"128"	"51"	"19"	"17"	"156"	"27"	"72"	"21"	"363"	""	"363"	""
"202"	"129"	"123"	"10"	"10"	"64"	"5"	"35"	"18"	"265"	""	"265"	""
"203"	"Round-10 Total"	"1486"	"126"	"190"	"1167"	"143"	"1731"	"305"	"5148"	"0"	"5148"	"0"
"204"	"Cumm. Total"	"16789"	"1335"	"2685"	"18718"	"1325"	"20016"	"2258"	"63126"	"0"	"63126"	"0"
"205"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"206"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"208"	"B/F"	"16789"	"1335"	"2685"	"18718"	"1325"	"20016"	"2258"	"63126"	"0"	"63126"	"0"
"209"	"130"	"4"	"6"	"7"	"50"	"4"	"93"	"3"	"167"	""	"167"	""
"210"	"131"	"32"	"12"	"91"	"53"	"13"	"309"	"58"	"568"	""	"568"	""
"211"	"132"	"23"	"10"	"50"	"33"	"9"	"377"	"24"	"526"	""	"526"	""
"212"	"133"	"40"	"12"	"57"	"134"	"14"	"257"	"21"	"535"	""	"535"	""
"213"	"134"	"19"	"9"	"106"	"189"	"10"	"184"	"32"	"549"	""	"549"	""
"214"	"135"	"29"	"3"	"51"	"206"	"21"	"83"	"18"	"411"	""	"411"	""
"215"	"136"	"178"	"3"	"11"	"71"	"3"	"21"	"3"	"290"	""	"290"	""
"216"	"137"	"178"	"15"	"15"	"40"	"6"	"39"	"22"	"315"	""	"315"	""
"217"	"138"	"20"	"10"	"20"	"464"	"24"	"60"	"21"	"619"	""	"619"	""
"218"	"139"	"33"	"12"	"34"	"226"	"20"	"246"	"32"	"603"	""	"603"	""
"219"	"140"	"18"	"8"	"30"	"496"	"20"	"43"	"12"	"627"	""	"627"	""
"220"	"141"	"449"	"9"	"4"	"47"	"2"	"41"	"12"	"564"	""	"564"	""
"221"	"142"	"335"	"8"	"4"	"18"	"2"	"20"	"21"	"408"	""	"408"	""
"222"	"143"	"319"	"10"	"8"	"46"	"3"	"87"	"24"	"497"	""	"497"	""
"223"	"Round-11 Total"	"1677"	"127"	"488"	"2073"	"151"	"1860"	"303"	"6679"	"0"	"6679"	"0"
"224"	"Cumm. Total"	"18466"	"1462"	"3173"	"20791"	"1476"	"21876"	"2561"	"69805"	"0"	"69805"	"0"
"225"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"226"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"228"	"B/F"	"18466"	"1462"	"3173"	"20791"	"1476"	"21876"	"2561"	"69805"	"0"	"69805"	"0"
"229"	"144"	"347"	"10"	"16"	"10"	"4"	"13"	"19"	"419"	""	"419"	""
"230"	"145"	"387"	"2"	"7"	"3"	"3"	"11"	"2"	"415"	""	"415"	""
"231"	"146"	"235"	"7"	"3"	"12"	"7"	"139"	"29"	"432"	""	"432"	""
"232"	"147"	"338"	"6"	"15"	"31"	"5"	"28"	"5"	"428"	""	"428"	""
"233"	"148"	"392"	"4"	"4"	"6"	"0"	"17"	"7"	"430"	""	"430"	""
"234"	"148A"	"404"	"5"	"0"	"1"	"2"	"4"	"10"	"426"	""	"426"	""
