"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"60"	""	"40A"	"85"	"163"	"11"	"6"	"11"	"276"	""	"276"	""
"61"	""	"41"	"204"	"186"	"158"	"20"	"17"	"585"	""	"585"	""
"62"	""	"42"	"25"	"279"	"134"	"10"	"14"	"462"	""	"462"	""
"63"	""	"43"	"104"	"308"	"43"	"20"	"29"	"504"	""	"504"	""
"64"	""	"44"	"41"	"301"	"22"	"9"	"9"	"382"	""	"382"	""
"65"	""	"44A"	"31"	"252"	"39"	"11"	"10"	"343"	""	"343"	""
"66"	""	"45"	"131"	"246"	"34"	"22"	"38"	"471"	""	"471"	""
"67"	""	"46"	"87"	"346"	"87"	"21"	"29"	"570"	""	"570"	""
"68"	""	"47"	"154"	"340"	"57"	"12"	"29"	"592"	""	"592"	""
"69"	""	"48"	"150"	"196"	"253"	"16"	"22"	"637"	""	"637"	""
"70"	""	"49"	"29"	"232"	"144"	"6"	"6"	"417"	""	"417"	""
"71"	""	"Total"	"1436"	"3390"	"1422"	"201"	"254"	"6703"	""	"6703"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"75"	"Round - 5"	"50"	"40"	"211"	"145"	"17"	"13"	"426"	""	"426"	""
"76"	""	"51"	"107"	"284"	"171"	"18"	"28"	"608"	""	"608"	""
"77"	""	"52"	"100"	"244"	"252"	"23"	"39"	"658"	""	"658"	""
"78"	""	"53"	"47"	"259"	"230"	"29"	"31"	"596"	""	"596"	""
"79"	""	"54"	"53"	"154"	"203"	"23"	"40"	"473"	""	"473"	""
"80"	""	"55"	"37"	"277"	"132"	"16"	"20"	"482"	""	"482"	""
"81"	""	"56"	"46"	"196"	"198"	"12"	"20"	"472"	""	"472"	""
"82"	""	"57"	"271"	"344"	"99"	"13"	"15"	"742"	""	"742"	""
"83"	""	"58"	"146"	"235"	"68"	"15"	"30"	"494"	""	"494"	""
"84"	""	"59"	"121"	"177"	"147"	"13"	"13"	"471"	""	"471"	""
"85"	""	"60"	"220"	"257"	"37"	"16"	"13"	"543"	""	"543"	""
"86"	""	"61"	"252"	"230"	"80"	"12"	"16"	"590"	""	"590"	""
"87"	""	"62"	"17"	"108"	"276"	"13"	"15"	"429"	""	"429"	""
"88"	""	"63"	"93"	"295"	"78"	"13"	"19"	"498"	""	"498"	""
"89"	""	"Total"	"1550"	"3271"	"2116"	"233"	"312"	"7482"	""	"7482"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"92"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"93"	"Round - 6"	"63A"	"54"	"124"	"190"	"9"	"23"	"400"	""	"400"	""
"94"	""	"64"	"145"	"248"	"296"	"14"	"24"	"727"	""	"727"	""
"95"	""	"65"	"85"	"108"	"203"	"11"	"12"	"419"	""	"419"	""
"96"	""	"66"	"22"	"216"	"193"	"14"	"10"	"455"	""	"455"	""
"97"	""	"66A"	"14"	"214"	"85"	"7"	"15"	"335"	""	"335"	""
"98"	""	"67"	"136"	"159"	"202"	"15"	"16"	"528"	""	"528"	""
"99"	""	"68"	"205"	"98"	"319"	"23"	"31"	"676"	""	"676"	""
"100"	""	"69"	"75"	"126"	"250"	"17"	"19"	"487"	""	"487"	""
"101"	""	"70"	"265"	"240"	"92"	"23"	"29"	"649"	""	"649"	""
"102"	""	"71"	"21"	"128"	"337"	"23"	"14"	"523"	""	"523"	""
"103"	""	"72"	"48"	"309"	"57"	"20"	"7"	"441"	""	"441"	""
"104"	""	"72A"	"72"	"184"	"17"	"9"	"8"	"290"	""	"290"	""
"105"	""	"73"	"121"	"150"	"103"	"22"	"18"	"414"	""	"414"	""
"106"	""	"73A"	"33"	"177"	"88"	"7"	"12"	"317"	""	"317"	""
"107"	""	"Total"	"1296"	"2481"	"2432"	"214"	"238"	"6661"	""	"6661"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"111"	"Round - 7"	"74"	"61"	"430"	"182"	"24"	"41"	"738"	""	"738"	""
"112"	""	"75"	"40"	"171"	"49"	"9"	"16"	"285"	""	"285"	""
"113"	""	"75A"	"55"	"184"	"123"	"10"	"11"	"383"	""	"383"	""
"114"	""	"76"	"81"	"120"	"196"	"12"	"13"	"422"	""	"422"	""
"115"	""	"77"	"103"	"199"	"101"	"16"	"21"	"440"	""	"440"	""
"116"	""	"78"	"20"	"162"	"173"	"15"	"6"	"376"	""	"376"	""
"117"	""	"78A"	"21"	"131"	"176"	"18"	"3"	"349"	""	"349"	""
"118"	""	"79"	"93"	"151"	"225"	"20"	"16"	"505"	""	"505"	""
"119"	""	"80"	"145"	"192"	"215"	"14"	"13"	"579"	""	"579"	""
"120"	""	"81"	"85"	"136"	"47"	"6"	"7"	"281"	""	"281"	""
"121"	""	"82"	"70"	"118"	"154"	"23"	"18"	"383"	""	"383"	""
"122"	""	"82A"	"33"	"97"	"116"	"86"	"15"	"347"	""	"347"	""
"123"	""	"83"	"114"	"336"	"39"	"14"	"17"	"520"	""	"520"	""
"124"	""	"84"	"153"	"252"	"57"	"28"	"17"	"507"	""	"507"	""
"125"	""	"Total"	"1074"	"2679"	"1853"	"295"	"214"	"6115"	""	"6115"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"129"	"Round - 8"	"85"	"110"	"172"	"164"	"27"	"25"	"498"	""	"498"	""
"130"	""	"86"	"63"	"229"	"55"	"6"	"4"	"357"	""	"357"	""
"131"	""	"86A"	"35"	"161"	"45"	"11"	"10"	"262"	""	"262"	""
"132"	""	"87"	"236"	"117"	"303"	"34"	"29"	"719"	""	"719"	""
"133"	""	"88"	"214"	"113"	"152"	"11"	"21"	"511"	""	"511"	""
"134"	""	"89"	"141"	"186"	"49"	"6"	"10"	"392"	""	"392"	""
"135"	""	"90"	"159"	"217"	"202"	"17"	"13"	"608"	""	"608"	""
"136"	""	"91"	"87"	"235"	"168"	"10"	"12"	"512"	""	"512"	""
"137"	""	"92"	"35"	"164"	"90"	"10"	"7"	"306"	""	"306"	""
"138"	""	"93"	"139"	"115"	"217"	"12"	"26"	"509"	""	"509"	""
"139"	""	"94"	"139"	"143"	"127"	"10"	"7"	"426"	""	"426"	""
"140"	""	"95"	"50"	"99"	"199"	"22"	"26"	"396"	""	"396"	""
"141"	""	"95A"	"54"	"123"	"170"	"12"	"25"	"384"	""	"384"	""
"142"	""	"96"	"68"	"282"	"87"	"9"	"4"	"450"	""	"450"	""
"143"	""	"Total"	"1530"	"2356"	"2028"	"197"	"219"	"6330"	""	"6330"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"147"	"Round - 9"	"97"	"122"	"164"	"55"	"3"	"6"	"350"	""	"350"	""
"148"	""	"98"	"95"	"169"	"307"	"29"	"20"	"620"	""	"620"	""
"149"	""	"99"	"57"	"164"	"79"	"6"	"8"	"314"	""	"314"	""
"150"	""	"99A"	"35"	"236"	"50"	"6"	"4"	"331"	""	"331"	""
"151"	""	"100"	"47"	"335"	"78"	"8"	"11"	"479"	""	"479"	""
"152"	""	"101"	"164"	"76"	"14"	"6"	"11"	"271"	""	"271"	""
"153"	""	"101A"	"72"	"179"	"157"	"10"	"4"	"422"	""	"422"	""
"154"	""	"102"	"56"	"189"	"287"	"23"	"32"	"587"	""	"587"	""
"155"	""	"103"	"51"	"158"	"196"	"25"	"40"	"470"	""	"470"	""
"156"	""	"103A"	"14"	"176"	"184"	"11"	"8"	"393"	""	"393"	""
"157"	""	"104"	"5"	"50"	"226"	"13"	"8"	"302"	""	"302"	""
"158"	""	"105"	"45"	"209"	"279"	"12"	"26"	"571"	""	"571"	""
"159"	""	"106"	"115"	"174"	"353"	"24"	"26"	"692"	""	"692"	""
"160"	""	"107"	"40"	"163"	"434"	"21"	"10"	"668"	""	"668"	""
"161"	""	"Total"	"918"	"2442"	"2699"	"197"	"214"	"6470"	""	"6470"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"165"	"Round - 10"	"108"	"123"	"272"	"117"	"12"	"22"	"546"	""	"546"	""
"166"	""	"109"	"37"	"160"	"255"	"13"	"12"	"477"	""	"477"	""
"167"	""	"109A"	"16"	"171"	"208"	"17"	"11"	"423"	""	"423"	""
"168"	""	"110"	"69"	"248"	"254"	"27"	"33"	"631"	""	"631"	""
"169"	""	"111"	"93"	"286"	"199"	"29"	"14"	"621"	""	"621"	""
"170"	""	"112"	"43"	"62"	"251"	"18"	"12"	"386"	""	"386"	""
"171"	""	"112A"	"76"	"91"	"229"	"14"	"15"	"425"	""	"425"	""
"172"	""	"113"	"61"	"122"	"161"	"16"	"16"	"376"	""	"376"	""
"173"	""	"114"	"54"	"121"	"212"	"19"	"17"	"423"	""	"423"	""
"174"	""	"115"	"388"	"135"	"142"	"17"	"15"	"697"	""	"697"	""
"175"	""	"116"	"176"	"53"	"92"	"2"	"11"	"334"	""	"334"	""
"176"	""	"117"	"406"	"72"	"73"	"10"	"12"	"573"	""	"573"	""
"177"	""	"118"	"362"	"192"	"75"	"11"	"14"	"654"	""	"654"	""
"178"	""	"119"	"368"	"139"	"72"	"11"	"30"	"620"	""	"620"	""
"179"	""	"Total"	"2272"	"2124"	"2340"	"216"	"234"	"7186"	""	"7186"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"183"	"Round - 11"	"120"	"254"	"46"	"24"	"3"	"9"	"336"	""	"336"	""
"184"	""	"120A"	"300"	"44"	"44"	"4"	"9"	"401"	""	"401"	""
"185"	""	"121"	"275"	"44"	"39"	"3"	"5"	"366"	""	"366"	""
"186"	""	"122"	"243"	"65"	"122"	"11"	"9"	"450"	""	"450"	""
"187"	""	"123"	"336"	"144"	"73"	"13"	"8"	"574"	""	"574"	""
"188"	""	"124"	"300"	"143"	"24"	"7"	"9"	"483"	""	"483"	""
"189"	""	"125"	"209"	"168"	"36"	"9"	"3"	"425"	""	"425"	""
"190"	""	"126"	"18"	"261"	"116"	"11"	"15"	"421"	""	"421"	""
"191"	""	"127"	"137"	"194"	"120"	"24"	"29"	"504"	""	"504"	""
"192"	""	"128"	"50"	"200"	"96"	"16"	"19"	"381"	""	"381"	""
"193"	""	"128A"	"78"	"161"	"110"	"12"	"10"	"371"	""	"371"	""
"194"	""	"129"	"22"	"82"	"224"	"24"	"22"	"374"	""	"374"	""
"195"	""	"130"	"103"	"194"	"79"	"6"	"16"	"398"	""	"398"	""
"196"	""	"131"	"118"	"270"	"308"	"17"	"15"	"728"	""	"728"	""
"197"	""	"Total"	"2443"	"2016"	"1415"	"160"	"178"	"6212"	""	"6212"	"0"
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"201"	"Round - 12"	"132"	"9"	"82"	"2"	"1"	"2"	"96"	""	"96"	""
"202"	""	"133"	"5"	"99"	"1"	"0"	"0"	"105"	""	"105"	""
"203"	""	"134"	"14"	"52"	"320"	"15"	"5"	"406"	""	"406"	""
"204"	""	"134A"	"27"	"52"	"224"	"13"	"6"	"322"	""	"322"	""
"205"	""	"135"	"49"	"265"	"227"	"12"	"14"	"567"	""	"567"	""
"206"	""	"136"	"69"	"119"	"257"	"7"	"18"	"470"	""	"470"	""
"207"	""	"137"	"188"	"154"	"28"	"14"	"8"	"392"	""	"392"	""
"208"	""	"138"	"90"	"65"	"450"	"41"	"21"	"667"	""	"667"	""
"209"	""	"139"	"120"	"404"	"30"	"5"	"22"	"581"	""	"581"	""
"210"	""	"140"	"21"	"208"	"63"	"9"	"17"	"318"	""	"318"	""
"211"	""	"140A"	"35"	"169"	"88"	"9"	"10"	"311"	""	"311"	""
"212"	""	"141"	"33"	"251"	"345"	"22"	"29"	"680"	""	"680"	""
"213"	""	"142"	"126"	"100"	"435"	"20"	"11"	"692"	""	"692"	""
"214"	""	"143"	"55"	"138"	"248"	"26"	"29"	"496"	""	"496"	""
"215"	""	"Total"	"841"	"2158"	"2718"	"194"	"192"	"6103"	""	"6103"	"0"
"216"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"218"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"219"	"Round - 13"	"143A"	"40"	"150"	"131"	"14"	"15"	"350"	""	"350"	""
"220"	""	"144"	"11"	"48"	"331"	"16"	"15"	"421"	""	"421"	""
"221"	""	"145"	"25"	"73"	"327"	"13"	"5"	"443"	""	"443"	""
"222"	""	"146"	"43"	"159"	"98"	"10"	"11"	"321"	""	"321"	""
"223"	""	"146A"	"51"	"83"	"177"	"12"	"18"	"341"	""	"341"	""
"224"	""	"147"	"88"	"160"	"157"	"20"	"32"	"457"	""	"457"	""
"225"	""	"148"	"73"	"129"	"73"	"14"	"6"	"295"	""	"295"	""
"226"	""	"148A"	"111"	"99"	"67"	"8"	"13"	"298"	""	"298"	""
"227"	""	"149"	"114"	"384"	"129"	"22"	"22"	"671"	""	"671"	""
"228"	""	"150"	"28"	"194"	"78"	"10"	"11"	"321"	""	"321"	""
"229"	""	"151"	"41"	"56"	"233"	"15"	"11"	"356"	""	"356"	""
"230"	""	"151A"	"44"	"39"	"262"	"19"	"17"	"381"	""	"381"	""
"231"	""	"152"	"57"	"82"	"186"	"18"	"29"	"372"	""	"372"	""
"232"	""	"152A"	"18"	"26"	"149"	"6"	"7"	"206"	""	"206"	""
"233"	""	"Total"	"744"	"1682"	"2398"	"197"	"212"	"5233"	""	"5233"	"0"
"234"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"236"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"237"	"Round - 14"	"153"	"30"	"62"	"190"	"21"	"17"	"320"	""	"320"	""
"238"	""	"153A"	"11"	"57"	"273"	"27"	"23"	"391"	""	"391"	""
"239"	""	"154"	"28"	"226"	"81"	"5"	"13"	"353"	""	"353"	""
"240"	""	"154A"	"57"	"103"	"67"	"8"	"16"	"251"	""	"251"	""
"241"	""	"155"	"56"	"56"	"273"	"19"	"27"	"431"	""	"431"	""
"242"	""	"156"	"182"	"103"	"238"	"29"	"53"	"605"	""	"605"	""
"243"	""	"157"	"74"	"72"	"146"	"12"	"12"	"316"	""	"316"	""
"244"	""	"157A"	"63"	"123"	"77"	"16"	"7"	"286"	""	"286"	""
"245"	""	"158"	"68"	"130"	"104"	"10"	"14"	"326"	""	"326"	""
"246"	""	"159"	"80"	"135"	"165"	"13"	"14"	"407"	""	"407"	""
"247"	""	"160"	"37"	"172"	"356"	"14"	"14"	"593"	""	"593"	""
"248"	""	"161"	"62"	"323"	"170"	"15"	"14"	"584"	""	"584"	""
"249"	""	"162"	"54"	"148"	"144"	"15"	"22"	"383"	""	"383"	""
"250"	""	"163"	"44"	"353"	"79"	"16"	"16"	"508"	""	"508"	""
"251"	""	"Total"	"846"	"2063"	"2363"	"220"	"262"	"5754"	""	"5754"	"0"
"252"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"255"	"Round - 15"	"164"	"33"	"117"	"92"	"9"	"5"	"256"	""	"256"	""
"256"	""	"165"	"37"	"257"	"268"	"22"	"36"	"620"	""	"620"	""
"257"	""	"166"	"10"	"154"	"28"	"7"	"25"	"224"	""	"224"	""
"258"	""	"166A"	"17"	"125"	"107"	"6"	"11"	"266"	""	"266"	""
"259"	""	"167"	"60"	"151"	"403"	"21"	"20"	"655"	""	"655"	""
"260"	""	"168"	"44"	"271"	"136"	"18"	"18"	"487"	""	"487"	""
"261"	""	"168A"	"111"	"126"	"92"	"5"	"4"	"338"	""	"338"	""
"262"	""	"169"	"100"	"392"	"104"	"15"	"31"	"642"	""	"642"	""
"263"	""	"170"	"75"	"253"	"228"	"26"	"20"	"602"	""	"602"	""
"264"	""	"171"	"27"	"178"	"52"	"8"	"6"	"271"	""	"271"	""
"265"	""	"172"	"29"	"88"	"296"	"11"	"7"	"431"	""	"431"	""
"266"	""	"172A"	"69"	"141"	"94"	"8"	"8"	"320"	""	"320"	""
"267"	""	"173"	"65"	"155"	"110"	"6"	"9"	"345"	""	"345"	""
"268"	""	"173A"	"92"	"137"	"59"	"9"	"6"	"303"	""	"303"	""
"269"	""	"Total"	"769"	"2545"	"2069"	"171"	"206"	"5760"	""	"5760"	"0"
"270"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"273"	"Round - 16"	"174"	"93"	"104"	"149"	"13"	"16"	"375"	""	"375"	""
"274"	""	"174A"	"97"	"89"	"125"	"17"	"15"	"343"	""	"343"	""
"275"	""	"175"	"230"	"42"	"99"	"15"	"22"	"408"	""	"408"	""
"276"	""	"175A"	"160"	"31"	"139"	"9"	"9"	"348"	""	"348"	""
"277"	""	"176"	"466"	"203"	"105"	"18"	"26"	"818"	""	"818"	""
"278"	""	"177"	"210"	"82"	"171"	"10"	"5"	"478"	""	"478"	""
"279"	""	"178"	"247"	"47"	"38"	"4"	"7"	"343"	""	"343"	""
"280"	""	"179"	"91"	"48"	"240"	"11"	"11"	"401"	""	"401"	""
"281"	""	"179A"	"33"	"52"	"286"	"2"	"13"	"386"	""	"386"	""
"282"	""	"180"	"330"	"68"	"195"	"20"	"30"	"643"	""	"643"	""
"283"	""	"181"	"70"	"90"	"266"	"14"	"16"	"456"	""	"456"	""
