"X116.....flags.oj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"73"	"53 A"	"62"	"26"	"6"	"168"	"8"	"38"	"9"	"3"	"320"	"0"	"320"	"0"
"74"	"54"	"17"	"48"	"7"	"169"	"8"	"23"	"11"	"13"	"296"	"0"	"296"	"0"
"75"	"55"	"56"	"104"	"35"	"89"	"1"	"22"	"9"	"7"	"323"	"0"	"323"	"0"
"76"	"56"	"136"	"35"	"7"	"160"	"10"	"42"	"16"	"7"	"413"	"0"	"413"	"0"
"77"	"57"	"104"	"72"	"8"	"276"	"11"	"61"	"16"	"21"	"569"	"0"	"569"	"0"
"78"	"58"	"85"	"15"	"3"	"173"	"28"	"35"	"10"	"10"	"359"	"0"	"359"	"0"
"79"	"59"	"106"	"7"	"4"	"176"	"3"	"22"	"4"	"3"	"325"	"0"	"325"	"0"
"80"	"ROUND 5"	"803"	"502"	"108"	"2257"	"93"	"493"	"117"	"103"	"4476"	"0"	"4476"	"0"
"81"	"60"	"59"	"3"	"4"	"183"	"1"	"53"	"7"	"13"	"323"	"0"	"323"	"0"
"82"	"61"	"139"	"25"	"7"	"186"	"8"	"46"	"7"	"14"	"432"	"0"	"432"	"0"
"83"	"62"	"39"	"14"	"5"	"182"	"2"	"57"	"5"	"6"	"310"	"0"	"310"	"0"
"84"	"62 A"	"82"	"3"	"0"	"20"	"2"	"5"	"1"	"1"	"114"	"0"	"114"	"0"
"85"	"63"	"53"	"13"	"3"	"168"	"1"	"26"	"8"	"4"	"276"	"0"	"276"	"0"
"86"	"64"	"208"	"26"	"5"	"44"	"27"	"18"	"3"	"19"	"350"	"0"	"350"	"0"
"87"	"65"	"227"	"52"	"9"	"170"	"8"	"28"	"7"	"18"	"519"	"0"	"519"	"0"
"88"	"66"	"166"	"34"	"4"	"121"	"5"	"38"	"11"	"17"	"396"	"0"	"396"	"0"
"89"	"67"	"49"	"3"	"2"	"106"	"1"	"21"	"8"	"5"	"195"	"0"	"195"	"0"
"90"	"67 A"	"163"	"5"	"3"	"111"	"5"	"11"	"8"	"7"	"313"	"0"	"313"	"0"
"91"	"68"	"143"	"18"	"13"	"135"	"92"	"27"	"8"	"8"	"444"	"0"	"444"	"0"
"92"	"69"	"138"	"18"	"2"	"243"	"4"	"54"	"6"	"1"	"466"	"0"	"466"	"0"
"93"	"70"	"217"	"38"	"7"	"67"	"5"	"24"	"6"	"7"	"371"	"0"	"371"	"0"
"94"	"71"	"101"	"80"	"4"	"65"	"13"	"21"	"10"	"17"	"311"	"0"	"311"	"0"
"95"	"ROUND 6"	"1784"	"332"	"68"	"1801"	"174"	"429"	"95"	"137"	"4820"	"0"	"4820"	"0"
"96"	"72"	"55"	"8"	"5"	"96"	"5"	"37"	"7"	"3"	"216"	"0"	"216"	"0"
"97"	"73"	"134"	"73"	"6"	"185"	"47"	"72"	"10"	"18"	"545"	"0"	"545"	"0"
"98"	"74"	"52"	"30"	"10"	"284"	"10"	"42"	"10"	"10"	"448"	"0"	"448"	"0"
"99"	"75"	"27"	"17"	"5"	"192"	"9"	"64"	"12"	"17"	"343"	"0"	"343"	"0"
"100"	"76"	"133"	"62"	"7"	"217"	"15"	"36"	"12"	"2"	"484"	"0"	"484"	"0"
"101"	"77"	"100"	"30"	"1"	"59"	"5"	"31"	"1"	"13"	"240"	"0"	"240"	"0"
"102"	"78"	"193"	"10"	"2"	"41"	"10"	"24"	"5"	"7"	"292"	"0"	"292"	"0"
"103"	"79"	"121"	"14"	"2"	"150"	"3"	"37"	"6"	"5"	"338"	"0"	"338"	"0"
"104"	"80"	"73"	"9"	"6"	"135"	"2"	"27"	"2"	"6"	"260"	"0"	"260"	"0"
"105"	"81"	"27"	"136"	"1"	"17"	"0"	"4"	"7"	"4"	"196"	"0"	"196"	"0"
"106"	"82"	"167"	"33"	"1"	"154"	"5"	"68"	"8"	"6"	"442"	"0"	"442"	"0"
"107"	"83"	"323"	"35"	"3"	"130"	"3"	"28"	"7"	"17"	"546"	"0"	"546"	"0"
"108"	"84"	"374"	"39"	"4"	"77"	"3"	"18"	"4"	"7"	"526"	"0"	"526"	"0"
"109"	"85"	"308"	"10"	"3"	"78"	"1"	"12"	"2"	"2"	"416"	"0"	"416"	"0"
"110"	"116  &  flags'oj"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"ernku dsUnz la[;k"	"vjfoUn dqekj"	"eks0 ijost vkye"	"czãnos   eaMy"	"jkes'oj izlkn
;kno"	"vjfoUn ljnkj"	"fueZy dqekj
;kno"	"eks0 blyke"	"ukjk;.kh ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"113"	"ROUND 7"	"2087"	"506"	"56"	"1815"	"118"	"500"	"93"	"117"	"5292"	"0"	"5292"	"0"
"114"	"86"	"240"	"22"	"1"	"34"	"2"	"12"	"1"	"4"	"316"	"0"	"316"	"0"
"115"	"86 A"	"156"	"12"	"7"	"66"	"3"	"18"	"5"	"6"	"273"	"0"	"273"	"0"
"116"	"87"	"129"	"71"	"9"	"192"	"11"	"75"	"12"	"11"	"510"	"0"	"510"	"0"
"117"	"88"	"280"	"103"	"9"	"114"	"4"	"50"	"5"	"11"	"576"	"0"	"576"	"0"
"118"	"89"	"152"	"36"	"5"	"79"	"4"	"26"	"5"	"16"	"323"	"0"	"323"	"0"
"119"	"90"	"102"	"17"	"6"	"283"	"4"	"52"	"5"	"8"	"477"	"0"	"477"	"0"
"120"	"90 A"	"30"	"3"	"6"	"139"	"5"	"28"	"3"	"8"	"222"	"0"	"222"	"0"
"121"	"91"	"92"	"42"	"4"	"222"	"9"	"39"	"11"	"22"	"441"	"0"	"441"	"0"
"122"	"92"	"50"	"78"	"9"	"104"	"110"	"45"	"8"	"7"	"411"	"0"	"411"	"0"
"123"	"93"	"86"	"58"	"12"	"161"	"6"	"44"	"10"	"11"	"388"	"0"	"388"	"0"
"124"	"93 A"	"11"	"11"	"2"	"170"	"7"	"21"	"3"	"3"	"228"	"0"	"228"	"0"
"125"	"94"	"94"	"16"	"11"	"205"	"5"	"64"	"12"	"12"	"419"	"0"	"419"	"0"
"126"	"95"	"87"	"68"	"12"	"221"	"4"	"71"	"17"	"14"	"494"	"0"	"494"	"0"
"127"	"96"	"70"	"20"	"90"	"104"	"5"	"33"	"6"	"3"	"331"	"0"	"331"	"0"
"128"	"ROUND 8"	"1579"	"557"	"183"	"2094"	"179"	"578"	"103"	"136"	"5409"	"0"	"5409"	"0"
"129"	"96 A"	"35"	"53"	"51"	"113"	"7"	"32"	"13"	"17"	"321"	"0"	"321"	"0"
"130"	"97"	"83"	"48"	"7"	"120"	"2"	"49"	"7"	"9"	"325"	"0"	"325"	"0"
"131"	"97 A"	"42"	"72"	"27"	"127"	"10"	"57"	"14"	"6"	"355"	"0"	"355"	"0"
"132"	"98"	"112"	"61"	"8"	"409"	"10"	"95"	"18"	"23"	"736"	"0"	"736"	"0"
"133"	"99"	"30"	"22"	"11"	"299"	"10"	"71"	"22"	"27"	"492"	"0"	"492"	"0"
"134"	"100"	"54"	"14"	"6"	"304"	"2"	"57"	"2"	"2"	"441"	"0"	"441"	"0"
"135"	"101"	"196"	"98"	"8"	"133"	"11"	"37"	"11"	"6"	"500"	"0"	"500"	"0"
"136"	"102"	"100"	"14"	"10"	"189"	"5"	"47"	"6"	"6"	"377"	"0"	"377"	"0"
"137"	"103"	"19"	"119"	"14"	"158"	"10"	"66"	"14"	"17"	"417"	"0"	"417"	"0"
"138"	"104"	"52"	"7"	"5"	"425"	"5"	"60"	"12"	"13"	"579"	"0"	"579"	"0"
"139"	"105"	"138"	"37"	"5"	"261"	"3"	"76"	"8"	"15"	"543"	"0"	"543"	"0"
"140"	"105 A"	"51"	"45"	"0"	"92"	"1"	"17"	"2"	"4"	"212"	"0"	"212"	"0"
"141"	"106"	"39"	"20"	"3"	"226"	"6"	"38"	"4"	"2"	"338"	"0"	"338"	"0"
"142"	"106 A"	"37"	"53"	"3"	"190"	"2"	"38"	"5"	"8"	"336"	"0"	"336"	"0"
"143"	"ROUND 9"	"988"	"663"	"158"	"3046"	"84"	"740"	"138"	"155"	"5972"	"0"	"5972"	"0"
"144"	"107"	"249"	"7"	"3"	"40"	"1"	"4"	"4"	"21"	"329"	"0"	"329"	"0"
"145"	"107 A"	"89"	"55"	"10"	"153"	"14"	"43"	"19"	"34"	"417"	"0"	"417"	"0"
"146"	"108"	"40"	"334"	"11"	"21"	"0"	"7"	"19"	"14"	"446"	"0"	"446"	"0"
"147"	"108 A"	"27"	"314"	"4"	"19"	"1"	"9"	"11"	"11"	"396"	"0"	"396"	"0"
"148"	"109"	"30"	"409"	"36"	"81"	"3"	"32"	"20"	"20"	"631"	"0"	"631"	"0"
"149"	"110"	"75"	"170"	"6"	"116"	"9"	"33"	"9"	"20"	"438"	"0"	"438"	"0"
"150"	"111"	"25"	"46"	"3"	"146"	"3"	"24"	"17"	"14"	"278"	"0"	"278"	"0"
"151"	"112"	"142"	"9"	"3"	"69"	"2"	"13"	"5"	"8"	"251"	"0"	"251"	"0"
"152"	"113"	"73"	"68"	"4"	"208"	"1"	"37"	"9"	"17"	"417"	"0"	"417"	"0"
"153"	"114"	"280"	"76"	"6"	"73"	"8"	"24"	"13"	"13"	"493"	"0"	"493"	"0"
"154"	"115"	"268"	"31"	"3"	"52"	"5"	"23"	"2"	"14"	"398"	"0"	"398"	"0"
"155"	"115 A"	"233"	"13"	"3"	"27"	"3"	"11"	"4"	"6"	"300"	"0"	"300"	"0"
"156"	"116"	"51"	"23"	"4"	"96"	"3"	"53"	"8"	"4"	"242"	"0"	"242"	"0"
"157"	"116 A"	"37"	"59"	"7"	"63"	"4"	"13"	"5"	"4"	"192"	"0"	"192"	"0"
"158"	"ROUND 10"	"1619"	"1614"	"103"	"1164"	"57"	"326"	"145"	"200"	"5228"	"0"	"5228"	"0"
"159"	"117"	"238"	"51"	"3"	"84"	"5"	"15"	"4"	"4"	"404"	"0"	"404"	"0"
"160"	"118"	"25"	"9"	"5"	"237"	"2"	"34"	"3"	"1"	"316"	"0"	"316"	"0"
"161"	"119"	"100"	"43"	"5"	"94"	"3"	"39"	"6"	"5"	"295"	"0"	"295"	"0"
"162"	"120"	"186"	"76"	"8"	"82"	"0"	"15"	"6"	"4"	"377"	"0"	"377"	"0"
"163"	"121"	"67"	"12"	"7"	"156"	"1"	"71"	"9"	"10"	"333"	"0"	"333"	"0"
"164"	"122"	"126"	"17"	"1"	"217"	"4"	"31"	"16"	"14"	"426"	"0"	"426"	"0"
"165"	"116  &  flags'oj"	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"ernku dsUnz la[;k"	"vjfoUn dqekj"	"eks0 ijost vkye"	"czãnos   eaMy"	"jkes'oj izlkn
;kno"	"vjfoUn ljnkj"	"fueZy dqekj
;kno"	"eks0 blyke"	"ukjk;.kh ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"168"	"123"	"146"	"75"	"11"	"134"	"12"	"51"	"12"	"27"	"468"	"0"	"468"	"0"
"169"	"124"	"184"	"17"	"4"	"154"	"7"	"50"	"7"	"5"	"428"	"0"	"428"	"0"
"170"	"125"	"149"	"24"	"2"	"40"	"3"	"24"	"3"	"19"	"264"	"0"	"264"	"0"
"171"	"126"	"219"	"8"	"4"	"30"	"3"	"12"	"5"	"11"	"292"	"0"	"292"	"0"
"172"	"127"	"133"	"14"	"2"	"117"	"15"	"25"	"10"	"10"	"326"	"0"	"326"	"0"
"173"	"128"	"48"	"38"	"2"	"76"	"36"	"14"	"4"	"5"	"223"	"0"	"223"	"0"
"174"	"129"	"274"	"15"	"7"	"63"	"7"	"20"	"5"	"12"	"403"	"0"	"403"	"0"
"175"	"130"	"133"	"7"	"4"	"99"	"6"	"34"	"2"	"7"	"292"	"0"	"292"	"0"
"176"	"ROUND 11"	"2028"	"406"	"65"	"1583"	"104"	"435"	"92"	"134"	"4847"	"0"	"4847"	"0"
"177"	"131"	"165"	"14"	"1"	"38"	"1"	"7"	"0"	"10"	"236"	"0"	"236"	"0"
"178"	"132"	"158"	"25"	"3"	"52"	"2"	"9"	"1"	"9"	"259"	"0"	"259"	"0"
"179"	"133"	"256"	"22"	"8"	"155"	"5"	"47"	"11"	"24"	"528"	"0"	"528"	"0"
"180"	"134"	"265"	"11"	"3"	"66"	"1"	"13"	"4"	"3"	"366"	"0"	"366"	"0"
"181"	"135"	"104"	"16"	"6"	"189"	"99"	"31"	"6"	"4"	"455"	"0"	"455"	"0"
"182"	"136"	"148"	"50"	"8"	"99"	"31"	"36"	"7"	"12"	"391"	"0"	"391"	"0"
"183"	"137"	"82"	"77"	"4"	"124"	"20"	"29"	"6"	"3"	"345"	"0"	"345"	"0"
"184"	"138"	"279"	"39"	"9"	"115"	"10"	"52"	"10"	"12"	"526"	"0"	"526"	"0"
"185"	"139"	"33"	"14"	"3"	"103"	"94"	"15"	"11"	"4"	"277"	"0"	"277"	"0"
"186"	"140"	"85"	"147"	"12"	"109"	"6"	"32"	"8"	"12"	"411"	"0"	"411"	"0"
"187"	"141"	"85"	"20"	"1"	"68"	"14"	"20"	"4"	"1"	"213"	"0"	"213"	"0"
"188"	"141 A"	"61"	"10"	"4"	"29"	"34"	"8"	"5"	"14"	"165"	"0"	"165"	"0"
"189"	"142"	"22"	"141"	"9"	"162"	"7"	"42"	"14"	"12"	"409"	"0"	"409"	"0"
"190"	"143"	"22"	"63"	"3"	"170"	"6"	"36"	"8"	"6"	"314"	"0"	"314"	"0"
"191"	"ROUND 12"	"1765"	"649"	"74"	"1479"	"330"	"377"	"95"	"126"	"4895"	"0"	"4895"	"0"
"192"	"143 A"	"8"	"28"	"4"	"121"	"22"	"14"	"4"	"15"	"216"	"0"	"216"	"0"
"193"	"144"	"154"	"35"	"6"	"47"	"96"	"23"	"7"	"9"	"377"	"0"	"377"	"0"
"194"	"145"	"19"	"139"	"5"	"41"	"2"	"27"	"9"	"4"	"246"	"0"	"246"	"0"
"195"	"145 A"	"21"	"108"	"7"	"5"	"1"	"2"	"3"	"4"	"151"	"0"	"151"	"0"
"196"	"146"	"119"	"107"	"9"	"112"	"56"	"30"	"8"	"4"	"445"	"0"	"445"	"0"
"197"	"147"	"138"	"6"	"2"	"98"	"27"	"46"	"6"	"5"	"328"	"0"	"328"	"0"
"198"	"147 A"	"29"	"142"	"7"	"36"	"31"	"7"	"4"	"3"	"259"	"0"	"259"	"0"
"199"	"148"	"88"	"63"	"14"	"228"	"42"	"69"	"7"	"13"	"524"	"0"	"524"	"0"
"200"	"149"	"18"	"122"	"5"	"0"	"0"	"3"	"4"	"4"	"156"	"0"	"156"	"0"
"201"	"149 A"	"15"	"98"	"2"	"23"	"2"	"12"	"5"	"3"	"160"	"0"	"160"	"0"
"202"	"150"	"52"	"156"	"3"	"5"	"1"	"3"	"4"	"2"	"226"	"0"	"226"	"0"
"203"	"151"	"38"	"84"	"5"	"118"	"5"	"33"	"14"	"14"	"311"	"0"	"311"	"0"
"204"	"152"	"77"	"131"	"11"	"83"	"11"	"24"	"16"	"12"	"365"	"0"	"365"	"0"
"205"	"153"	"150"	"91"	"8"	"124"	"7"	"21"	"8"	"7"	"416"	"0"	"416"	"0"
"206"	"ROUND 13"	"926"	"1310"	"88"	"1041"	"303"	"314"	"99"	"99"	"4180"	"0"	"4180"	"0"
"207"	"154"	"53"	"100"	"5"	"45"	"4"	"12"	"8"	"21"	"248"	"0"	"248"	"0"
"208"	"154 A"	"9"	"78"	"3"	"12"	"0"	"1"	"1"	"5"	"109"	"0"	"109"	"0"
"209"	"155"	"57"	"41"	"9"	"131"	"42"	"25"	"7"	"9"	"321"	"0"	"321"	"0"
"210"	"155 A"	"59"	"16"	"1"	"128"	"6"	"29"	"5"	"11"	"255"	"0"	"255"	"0"
"211"	"156"	"14"	"4"	"4"	"215"	"6"	"29"	"16"	"22"	"310"	"0"	"310"	"0"
"212"	"156 A"	"17"	"13"	"3"	"305"	"6"	"29"	"12"	"9"	"394"	"0"	"394"	"0"
"213"	"157"	"70"	"63"	"2"	"210"	"5"	"27"	"3"	"6"	"386"	"0"	"386"	"0"
"214"	"158"	"32"	"61"	"5"	"158"	"43"	"31"	"8"	"7"	"345"	"0"	"345"	"0"
"215"	"158 A"	"17"	"18"	"4"	"192"	"10"	"27"	"8"	"6"	"282"	"0"	"282"	"0"
"216"	"159"	"58"	"99"	"6"	"220"	"14"	"43"	"4"	"4"	"448"	"0"	"448"	"0"
"217"	"160"	"33"	"54"	"4"	"140"	"8"	"27"	"10"	"10"	"286"	"0"	"286"	"0"
"218"	"161"	"88"	"26"	"7"	"197"	"9"	"72"	"14"	"29"	"442"	"0"	"442"	"0"
"219"	"162"	"17"	"352"	"21"	"52"	"3"	"16"	"18"	"21"	"500"	"0"	"500"	"0"
"220"	"116  &  flags'oj"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"ernku dsUnz la[;k"	"vjfoUn dqekj"	"eks0 ijost vkye"	"czãnos   eaMy"	"jkes'oj izlkn
;kno"	"vjfoUn ljnkj"	"fueZy dqekj
;kno"	"eks0 blyke"	"ukjk;.kh ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"223"	"163"	"7"	"31"	"5"	"83"	"2"	"45"	"7"	"7"	"187"	"0"	"187"	"0"
"224"	"ROUND 14"	"531"	"956"	"79"	"2088"	"158"	"413"	"121"	"167"	"4513"	"0"	"4513"	"0"
"225"	"163 A"	"60"	"6"	"1"	"51"	"2"	"25"	"5"	"5"	"155"	"0"	"155"	"0"
"226"	"164"	"24"	"38"	"3"	"113"	"2"	"32"	"12"	"13"	"237"	"0"	"237"	"0"
"227"	"165"	"27"	"111"	"5"	"121"	"5"	"37"	"7"	"4"	"317"	"0"	"317"	"0"
"228"	"166"	"45"	"47"	"6"	"200"	"6"	"39"	"21"	"24"	"388"	"0"	"388"	"0"
"229"	"167"	"9"	"69"	"10"	"225"	"14"	"65"	"20"	"18"	"430"	"0"	"430"	"0"
"230"	"168"	"199"	"40"	"8"	"89"	"5"	"26"	"5"	"12"	"384"	"0"	"384"	"0"
"231"	"169"	"130"	"11"	"5"	"191"	"3"	"64"	"9"	"15"	"428"	"0"	"428"	"0"
"232"	"170"	"80"	"13"	"5"	"93"	"27"	"23"	"5"	"14"	"260"	"0"	"260"	"0"
