"Table.No."	"Sl..No..of.Polling.Station"	"X."	"X..1"	"Number.of.Valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"TOTAL.No..of.valid.votes"	"X..19"	"X..20"	"X..21"	"No..of.rejected.votes"	"X..22"	"X..23"	"Total.no..of.votes"	"X..24"	"X..25"	"Total.No..of.tendered.votes"	"X..26"	"X..27"
"27"	"7"	"18"	""	""	"83"	""	""	"14"	""	""	"105"	""	""	"36"	""	""	"9"	""	""	"15"	""	""	"262"	""	""	""	"0"	""	""	"262"	""	""	""	""	""
"28"	"8"	"19"	""	""	"232"	""	""	"7"	""	""	"145"	""	""	"32"	""	""	"6"	""	""	"18"	""	""	"440"	""	""	""	"0"	""	""	"440"	""	""	""	""	""
"29"	"9"	"20"	""	""	"26"	""	""	"9"	""	""	"129"	""	""	"117"	""	""	"9"	""	""	"8"	""	""	"298"	""	""	""	"0"	""	""	"298"	""	""	""	""	""
"30"	"10"	"20A"	""	""	"39"	""	""	"4"	""	""	"82"	""	""	"77"	""	""	"5"	""	""	"19"	""	""	"226"	""	""	""	"0"	""	""	"226"	""	""	""	""	""
"31"	"11"	"21"	""	""	"176"	""	""	"15"	""	""	"111"	""	""	"84"	""	""	"4"	""	""	"13"	""	""	"403"	""	""	""	"0"	""	""	"403"	""	""	""	""	""
"32"	"12"	"21A"	""	""	"128"	""	""	"13"	""	""	"107"	""	""	"73"	""	""	"7"	""	""	"16"	""	""	"344"	""	""	""	"0"	""	""	"344"	""	""	""	""	""
"33"	"13"	"22"	""	""	"103"	""	""	"11"	""	""	"147"	""	""	"54"	""	""	"10"	""	""	"19"	""	""	"344"	""	""	""	"0"	""	""	"344"	""	""	""	""	""
"34"	"14"	"23"	""	""	"151"	""	""	"5"	""	""	"93"	""	""	"63"	""	""	"14"	""	""	"14"	""	""	"340"	""	""	""	"0"	""	""	"340"	""	""	""	""	""
"35"	"Total"	""	""	""	"1553"	""	""	"130"	""	""	"1763"	""	""	"1103"	""	""	"115"	""	""	"203"	""	""	"4867"	""	""	""	"0"	""	""	"4867"	""	""	""	""	""
"36"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"37"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"39"	"1"	"24"	""	""	"74"	""	""	"12"	""	""	"179"	""	""	"70"	""	""	"5"	""	""	"10"	""	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""
"40"	"2"	"25"	""	""	"221"	""	""	"7"	""	""	"130"	""	""	"130"	""	""	"10"	""	""	"17"	""	""	""	"515"	""	""	"0"	""	""	"515"	""	""	""	""	""
"41"	"3"	"26"	""	""	"73"	""	""	"4"	""	""	"39"	""	""	"62"	""	""	"3"	""	""	"9"	""	""	""	"190"	""	""	"0"	""	""	"190"	""	""	""	""	""
"42"	"4"	"27"	""	""	"192"	""	""	"7"	""	""	"61"	""	""	"24"	""	""	"7"	""	""	"22"	""	""	""	"313"	""	""	"0"	""	""	"313"	""	""	""	""	""
"43"	"5"	"28"	""	""	"150"	""	""	"14"	""	""	"220"	""	""	"61"	""	""	"20"	""	""	"31"	""	""	""	"496"	""	""	"0"	""	""	"496"	""	""	""	""	""
"44"	"6"	"29"	""	""	"46"	""	""	"12"	""	""	"151"	""	""	"21"	""	""	"6"	""	""	"5"	""	""	""	"241"	""	""	"0"	""	""	"241"	""	""	""	""	""
"45"	"7"	"30"	""	""	"102"	""	""	"15"	""	""	"227"	""	""	"48"	""	""	"10"	""	""	"23"	""	""	""	"425"	""	""	"0"	""	""	"425"	""	""	""	""	""
"46"	"8"	"31"	""	""	"170"	""	""	"16"	""	""	"178"	""	""	"102"	""	""	"16"	""	""	"25"	""	""	""	"507"	""	""	"0"	""	""	"507"	""	""	""	""	""
"47"	"9"	"31A"	""	""	"74"	""	""	"13"	""	""	"146"	""	""	"60"	""	""	"6"	""	""	"18"	""	""	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""
"48"	"10"	"32"	""	""	"15"	""	""	"5"	""	""	"20"	""	""	"258"	""	""	"8"	""	""	"6"	""	""	""	"312"	""	""	"0"	""	""	"312"	""	""	""	""	""
"49"	"11"	"33"	""	""	"45"	""	""	"8"	""	""	"82"	""	""	"139"	""	""	"11"	""	""	"20"	""	""	""	"305"	""	""	"0"	""	""	"305"	""	""	""	""	""
"50"	"12"	"34"	""	""	"145"	""	""	"16"	""	""	"54"	""	""	"117"	""	""	"20"	""	""	"33"	""	""	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""
"51"	"13"	"35"	""	""	"197"	""	""	"11"	""	""	"83"	""	""	"89"	""	""	"9"	""	""	"14"	""	""	""	"403"	""	""	"0"	""	""	"403"	""	""	""	""	""
"52"	"14"	"36"	""	""	"157"	""	""	"11"	""	""	"116"	""	""	"20"	""	""	"11"	""	""	"9"	""	""	""	"324"	""	""	"0"	""	""	"324"	""	""	""	""	""
"53"	"Total"	""	""	""	"1661"	""	""	"151"	""	""	"1686"	""	""	"1201"	""	""	"142"	""	""	"242"	""	""	""	"5083"	""	""	"0"	""	""	"5083"	""	""	""	""	""
"54"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"55"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"57"	"1"	"37"	""	""	"174"	""	""	"6"	""	""	"54"	""	""	"29"	""	""	"4"	""	""	"2"	""	""	""	"269"	""	""	"0"	""	""	"269"	""	""	""	""	""
"58"	"2"	"37A"	""	""	"242"	""	""	"10"	""	""	"68"	""	""	"40"	""	""	"6"	""	""	"6"	""	""	""	"372"	""	""	"0"	""	""	"372"	""	""	""	""	""
"59"	"3"	"38"	""	""	"88"	""	""	"6"	""	""	"105"	""	""	"43"	""	""	"7"	""	""	"19"	""	""	""	"268"	""	""	"0"	""	""	"268"	""	""	""	""	""
"60"	"4"	"39"	""	""	"111"	""	""	"2"	""	""	"38"	""	""	"49"	""	""	"1"	""	""	"5"	""	""	""	"206"	""	""	"0"	""	""	"206"	""	""	""	""	""
"61"	"5"	"40"	""	""	"144"	""	""	"14"	""	""	"127"	""	""	"111"	""	""	"17"	""	""	"17"	""	""	""	"430"	""	""	"0"	""	""	"430"	""	""	""	""	""
"62"	"6"	"41"	""	""	"262"	""	""	"23"	""	""	"123"	""	""	"43"	""	""	"12"	""	""	"13"	""	""	""	"476"	""	""	"0"	""	""	"476"	""	""	""	""	""
"63"	"7"	"42"	""	""	"79"	""	""	"11"	""	""	"176"	""	""	"57"	""	""	"10"	""	""	"15"	""	""	""	"348"	""	""	"0"	""	""	"348"	""	""	""	""	""
"64"	"8"	"43"	""	""	"161"	""	""	"8"	""	""	"71"	""	""	"48"	""	""	"5"	""	""	"10"	""	""	""	"303"	""	""	"0"	""	""	"303"	""	""	""	""	""
"65"	"9"	"44"	""	""	"226"	""	""	"14"	""	""	"230"	""	""	"72"	""	""	"1"	""	""	"14"	""	""	""	"557"	""	""	"0"	""	""	"557"	""	""	""	""	""
"66"	"10"	"45"	""	""	"112"	""	""	"16"	""	""	"114"	""	""	"42"	""	""	"12"	""	""	"17"	""	""	""	"313"	""	""	"0"	""	""	"313"	""	""	""	""	""
"67"	"11"	"46"	""	""	"47"	""	""	"11"	""	""	"89"	""	""	"23"	""	""	"7"	""	""	"18"	""	""	""	"195"	""	""	"0"	""	""	"195"	""	""	""	""	""
"68"	"12"	"47"	""	""	"140"	""	""	"11"	""	""	"102"	""	""	"36"	""	""	"5"	""	""	"8"	""	""	""	"302"	""	""	"0"	""	""	"302"	""	""	""	""	""
"69"	"13"	"48"	""	""	"73"	""	""	"13"	""	""	"107"	""	""	"23"	""	""	"4"	""	""	"7"	""	""	""	"227"	""	""	"0"	""	""	"227"	""	""	""	""	""
"70"	"14"	"49"	""	""	"169"	""	""	"16"	""	""	"116"	""	""	"84"	""	""	"5"	""	""	"14"	""	""	""	"404"	""	""	"0"	""	""	"404"	""	""	""	""	""
"71"	"Total"	""	""	""	"2028"	""	""	"161"	""	""	"1520"	""	""	"700"	""	""	"96"	""	""	"165"	""	""	""	"4670"	""	""	"0"	""	""	"4670"	""	""	""	""	""
"72"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"73"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"75"	"1"	"50"	""	""	"98"	""	""	"7"	""	""	"149"	""	""	"63"	""	""	"7"	""	""	"10"	""	""	""	"334"	""	""	"0"	""	""	"334"	""	""	""	""	""
"76"	"2"	"51"	""	""	"37"	""	""	"0"	""	""	"114"	""	""	"20"	""	""	"2"	""	""	"5"	""	""	""	"178"	""	""	"0"	""	""	"178"	""	""	""	""	""
"77"	"3"	"52"	""	""	"234"	""	""	"13"	""	""	"49"	""	""	"30"	""	""	"16"	""	""	"14"	""	""	""	"356"	""	""	"0"	""	""	"356"	""	""	""	""	""
"78"	"4"	"53"	""	""	"298"	""	""	"1"	""	""	"37"	""	""	"24"	""	""	"1"	""	""	"3"	""	""	""	"364"	""	""	"0"	""	""	"364"	""	""	""	""	""
"79"	"5"	"54"	""	""	"266"	""	""	"6"	""	""	"53"	""	""	"103"	""	""	"16"	""	""	"11"	""	""	""	"455"	""	""	"0"	""	""	"455"	""	""	""	""	""
"80"	"6"	"55"	""	""	"175"	""	""	"8"	""	""	"109"	""	""	"45"	""	""	"19"	""	""	"26"	""	""	""	"382"	""	""	"0"	""	""	"382"	""	""	""	""	""
"81"	"7"	"56"	""	""	"265"	""	""	"6"	""	""	"42"	""	""	"20"	""	""	"12"	""	""	"11"	""	""	""	"356"	""	""	"0"	""	""	"356"	""	""	""	""	""
"82"	"8"	"57"	""	""	"296"	""	""	"17"	""	""	"98"	""	""	"45"	""	""	"5"	""	""	"13"	""	""	""	"474"	""	""	"0"	""	""	"474"	""	""	""	""	""
"83"	"9"	"58"	""	""	"269"	""	""	"20"	""	""	"130"	""	""	"44"	""	""	"18"	""	""	"18"	""	""	""	"499"	""	""	"0"	""	""	"499"	""	""	""	""	""
"84"	"10"	"59"	""	""	"151"	""	""	"16"	""	""	"87"	""	""	"26"	""	""	"15"	""	""	"11"	""	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	""	""
"85"	"11"	"60"	""	""	"19"	""	""	"5"	""	""	"66"	""	""	"88"	""	""	"5"	""	""	"15"	""	""	""	"198"	""	""	"0"	""	""	"198"	""	""	""	""	""
"86"	"12"	"61"	""	""	"128"	""	""	"22"	""	""	"235"	""	""	"35"	""	""	"12"	""	""	"21"	""	""	""	"453"	""	""	"0"	""	""	"453"	""	""	""	""	""
"87"	"13"	"62"	""	""	"134"	""	""	"13"	""	""	"50"	""	""	"109"	""	""	"11"	""	""	"43"	""	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	""	""
"88"	"14"	"63"	""	""	"318"	""	""	"20"	""	""	"132"	""	""	"29"	""	""	"14"	""	""	"24"	""	""	""	"537"	""	""	"0"	""	""	"537"	""	""	""	""	""
"89"	"Total"	""	""	""	"2688"	""	""	"154"	""	""	"1351"	""	""	"681"	""	""	"153"	""	""	"225"	""	""	""	"5252"	""	""	"0"	""	""	"5252"	""	""	""	""	""
"90"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"91"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"93"	"1"	"64"	""	""	"72"	""	""	"25"	""	""	"111"	""	""	"114"	""	""	"18"	""	""	"26"	""	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	""	""
"94"	"2"	"65"	""	""	"311"	""	""	"22"	""	""	"139"	""	""	"66"	""	""	"10"	""	""	"25"	""	""	""	"573"	""	""	"0"	""	""	"573"	""	""	""	""	""
"95"	"3"	"66"	""	""	"97"	""	""	"11"	""	""	"79"	""	""	"32"	""	""	"7"	""	""	"10"	""	""	""	"236"	""	""	"0"	""	""	"236"	""	""	""	""	""
"96"	"4"	"67"	""	""	"88"	""	""	"18"	""	""	"81"	""	""	"87"	""	""	"13"	""	""	"22"	""	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	""	""
"97"	"5"	"68"	""	""	"129"	""	""	"14"	""	""	"157"	""	""	"148"	""	""	"17"	""	""	"40"	""	""	""	"505"	""	""	"0"	""	""	"505"	""	""	""	""	""
"98"	"6"	"69"	""	""	"79"	""	""	"7"	""	""	"146"	""	""	"33"	""	""	"2"	""	""	"17"	""	""	""	"284"	""	""	"0"	""	""	"284"	""	""	""	""	""
"99"	"7"	"70"	""	""	"99"	""	""	"14"	""	""	"27"	""	""	"107"	""	""	"8"	""	""	"35"	""	""	""	"290"	""	""	"0"	""	""	"290"	""	""	""	""	""
"100"	"8"	"71"	""	""	"35"	""	""	"16"	""	""	"188"	""	""	"27"	""	""	"12"	""	""	"14"	""	""	""	"292"	""	""	"0"	""	""	"292"	""	""	""	""	""
"101"	"9"	"72"	""	""	"110"	""	""	"12"	""	""	"118"	""	""	"9"	""	""	"1"	""	""	"5"	""	""	""	"255"	""	""	"0"	""	""	"255"	""	""	""	""	""
"102"	"10"	"73"	""	""	"186"	""	""	"9"	""	""	"78"	""	""	"41"	""	""	"18"	""	""	"30"	""	""	""	"362"	""	""	"0"	""	""	"362"	""	""	""	""	""
"103"	"11"	"74"	""	""	"168"	""	""	"23"	""	""	"192"	""	""	"104"	""	""	"4"	""	""	"29"	""	""	""	"520"	""	""	"0"	""	""	"520"	""	""	""	""	""
"104"	"12"	"75"	""	""	"182"	""	""	"5"	""	""	"160"	""	""	"11"	""	""	"5"	""	""	"5"	""	""	""	"368"	""	""	"0"	""	""	"368"	""	""	""	""	""
"105"	"13"	"76"	""	""	"153"	""	""	"42"	""	""	"107"	""	""	"44"	""	""	"8"	""	""	"13"	""	""	""	"367"	""	""	"0"	""	""	"367"	""	""	""	""	""
"106"	"14"	"77"	""	""	"113"	""	""	"11"	""	""	"165"	""	""	"15"	""	""	"8"	""	""	"20"	""	""	""	"332"	""	""	"0"	""	""	"332"	""	""	""	""	""
"107"	"Total"	""	""	""	"1822"	""	""	"229"	""	""	"1748"	""	""	"838"	""	""	"131"	""	""	"291"	""	""	""	"5059"	""	""	"0"	""	""	"5059"	""	""	""	""	""
"108"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"109"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"111"	"1"	"78"	""	""	"207"	""	""	"12"	""	""	"82"	""	""	"73"	""	""	"14"	""	""	"46"	""	""	""	"434"	""	""	"0"	""	""	"434"	""	""	""	""	""
"112"	"2"	"79"	""	""	"123"	""	""	"12"	""	""	"66"	""	""	"48"	""	""	"8"	""	""	"19"	""	""	""	"276"	""	""	"0"	""	""	"276"	""	""	""	""	""
"113"	"3"	"80"	""	""	"135"	""	""	"12"	""	""	"178"	""	""	"63"	""	""	"11"	""	""	"22"	""	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	""	""
"114"	"4"	"81"	""	""	"39"	""	""	"11"	""	""	"149"	""	""	"82"	""	""	"15"	""	""	"35"	""	""	""	"331"	""	""	"0"	""	""	"331"	""	""	""	""	""
"115"	"5"	"82"	""	""	"221"	""	""	"20"	""	""	"280"	""	""	"85"	""	""	"10"	""	""	"24"	""	""	""	"640"	""	""	"0"	""	""	"640"	""	""	""	""	""
"116"	"6"	"83"	""	""	"190"	""	""	"11"	""	""	"104"	""	""	"46"	""	""	"9"	""	""	"12"	""	""	""	"372"	""	""	"0"	""	""	"372"	""	""	""	""	""
"117"	"7"	"84"	""	""	"83"	""	""	"3"	""	""	"17"	""	""	"51"	""	""	"4"	""	""	"9"	""	""	""	"167"	""	""	"0"	""	""	"167"	""	""	""	""	""
"118"	"8"	"85"	""	""	"204"	""	""	"11"	""	""	"170"	""	""	"72"	""	""	"14"	""	""	"23"	""	""	""	"494"	""	""	"0"	""	""	"494"	""	""	""	""	""
"119"	"9"	"86"	""	""	"162"	""	""	"5"	""	""	"56"	""	""	"85"	""	""	"7"	""	""	"26"	""	""	""	"341"	""	""	"0"	""	""	"341"	""	""	""	""	""
"120"	"10"	"87"	""	""	"188"	""	""	"9"	""	""	"73"	""	""	"10"	""	""	"8"	""	""	"11"	""	""	""	"299"	""	""	"0"	""	""	"299"	""	""	""	""	""
"121"	"11"	"87A"	""	""	"165"	""	""	"14"	""	""	"60"	""	""	"29"	""	""	"8"	""	""	"7"	""	""	""	"283"	""	""	"0"	""	""	"283"	""	""	""	""	""
"122"	"12"	"88"	""	""	"177"	""	""	"11"	""	""	"185"	""	""	"48"	""	""	"10"	""	""	"15"	""	""	""	"446"	""	""	"0"	""	""	"446"	""	""	""	""	""
"123"	"13"	"89"	""	""	"193"	""	""	"10"	""	""	"53"	""	""	"9"	""	""	"5"	""	""	"8"	""	""	""	"278"	""	""	"0"	""	""	"278"	""	""	""	""	""
"124"	"14"	"90"	""	""	"184"	""	""	"14"	""	""	"111"	""	""	"56"	""	""	"13"	""	""	"11"	""	""	""	"389"	""	""	"0"	""	""	"389"	""	""	""	""	""
"125"	"Total"	""	""	""	"2271"	""	""	"155"	""	""	"1584"	""	""	"757"	""	""	"136"	""	""	"268"	""	""	""	"5171"	""	""	"0"	""	""	"5171"	""	""	""	""	""
"126"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"127"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"129"	"1"	"91"	""	""	"141"	""	""	"10"	""	""	"31"	""	""	"56"	""	""	"11"	""	""	"23"	""	""	""	"272"	""	""	"0"	""	""	"272"	""	""	""	""	""
"130"	"2"	"92"	""	""	"315"	""	""	"12"	""	""	"109"	""	""	"38"	""	""	"16"	""	""	"23"	""	""	""	"513"	""	""	"0"	""	""	"513"	""	""	""	""	""
