"Serial.No.of.Polling.Station."	"Upendar.Prasad.Singh"	"Nand.Kumar.Choudhary"	"Ram.Lakhan.Mahto"	"Sheel.Kumar.Ray"	"Pramchand.Kumar"	"Hari.Narayan.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"24"	"16"	"28"	"7"	"161"	"170"	"14"	"25"	"405"	""	"405"	""
"25"	"16A"	"98"	"9"	"78"	"124"	"9"	"8"	"326"	""	"326"	""
"26"	"17"	"243"	"16"	"174"	"69"	"11"	"15"	"528"	""	"528"	""
"27"	"18"	"49"	"6"	"170"	"153"	"14"	"15"	"407"	""	"407"	""
"28"	"19"	"69"	"4"	"103"	"371"	"17"	"11"	"575"	""	"575"	""
"29"	"20"	"58"	"15"	"272"	"202"	"15"	"19"	"581"	""	"581"	""
"30"	"21"	"151"	"9"	"245"	"95"	"7"	"10"	"517"	""	"517"	""
"31"	"22"	"101"	"6"	"132"	"125"	"8"	"12"	"384"	""	"384"	""
"32"	"23"	"85"	"5"	"68"	"158"	"12"	"3"	"331"	""	"331"	""
"33"	"23A"	"98"	"9"	"110"	"129"	"0"	"9"	"355"	""	"355"	""
"34"	"Page Total"	"2960"	"243"	"3587"	"4073"	"346"	"411"	"11620"	"0"	"11620"	"0"
"35"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"36"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"37"	"B.F."	"2960"	"243"	"3587"	"4073"	"346"	"411"	"11620"	"0"	"11620"	"0"
"38"	"24"	"46"	"3"	"207"	"83"	"13"	"9"	"361"	""	"361"	""
"39"	"25"	"49"	"4"	"146"	"249"	"18"	"31"	"497"	""	"497"	""
"40"	"26"	"4"	"5"	"252"	"35"	"2"	"4"	"302"	""	"302"	""
"41"	"27"	"190"	"9"	"40"	"78"	"15"	"6"	"338"	""	"338"	""
"42"	"28"	"89"	"5"	"266"	"188"	"15"	"15"	"578"	""	"578"	""
"43"	"29"	"137"	"5"	"241"	"70"	"4"	"9"	"466"	""	"466"	""
"44"	"30"	"60"	"6"	"245"	"66"	"4"	"4"	"385"	""	"385"	""
"45"	"31"	"91"	"19"	"406"	"57"	"7"	"10"	"590"	""	"590"	""
"46"	"32"	"89"	"5"	"321"	"59"	"5"	"11"	"490"	""	"490"	""
"47"	"33"	"94"	"4"	"55"	"143"	"3"	"4"	"303"	""	"303"	""
"48"	"34"	"174"	"37"	"183"	"124"	"10"	"14"	"542"	""	"542"	""
"49"	"35"	"74"	"17"	"245"	"224"	"21"	"24"	"605"	""	"605"	""
"50"	"36"	"86"	"6"	"176"	"22"	"10"	"13"	"313"	""	"313"	""
"51"	"36A"	"81"	"7"	"151"	"66"	"9"	"4"	"318"	""	"318"	""
"52"	"Page Total"	"4224"	"375"	"6521"	"5537"	"482"	"569"	"17708"	"0"	"17708"	"0"
"53"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"54"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"55"	"B.F."	"4224"	"375"	"6521"	"5537"	"482"	"569"	"17708"	"0"	"17708"	"0"
"56"	"37"	"93"	"5"	"160"	"130"	"9"	"6"	"403"	""	"403"	""
"57"	"38"	"69"	"12"	"202"	"157"	"10"	"19"	"469"	""	"469"	""
"58"	"39"	"75"	"20"	"318"	"220"	"13"	"14"	"660"	""	"660"	""
"59"	"40"	"40"	"2"	"224"	"139"	"8"	"1"	"414"	""	"414"	""
"60"	"40A"	"32"	"5"	"116"	"131"	"9"	"9"	"302"	""	"302"	""
"61"	"41"	"13"	"6"	"244"	"128"	"6"	"7"	"404"	""	"404"	""
"62"	"42"	"25"	"7"	"218"	"81"	"8"	"12"	"351"	""	"351"	""
"63"	"43"	"102"	"13"	"296"	"23"	"8"	"3"	"445"	""	"445"	""
"64"	"44"	"181"	"16"	"304"	"13"	"10"	"7"	"531"	""	"531"	""
"65"	"45"	"92"	"1"	"177"	"44"	"4"	"4"	"322"	""	"322"	""
"66"	"46"	"59"	"15"	"89"	"200"	"9"	"13"	"385"	""	"385"	""
"67"	"47"	"171"	"15"	"88"	"200"	"14"	"12"	"500"	""	"500"	""
"68"	"48"	"150"	"7"	"300"	"223"	"8"	"12"	"700"	""	"700"	""
"69"	"49"	"143"	"25"	"241"	"143"	"13"	"24"	"589"	""	"589"	""
"70"	"Page Total"	"5469"	"524"	"9498"	"7369"	"611"	"712"	"24183"	"0"	"24183"	"0"
"71"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"72"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"73"	"B.F."	"5469"	"524"	"9498"	"7369"	"611"	"712"	"24183"	"0"	"24183"	"0"
"74"	"50"	"87"	"5"	"66"	"42"	"2"	"7"	"209"	""	"209"	""
"75"	"51"	"222"	"7"	"316"	"100"	"12"	"8"	"665"	""	"665"	""
"76"	"52"	"112"	"1"	"30"	"188"	"9"	"10"	"350"	""	"350"	""
"77"	"53"	"206"	"4"	"115"	"108"	"10"	"24"	"467"	""	"467"	""
"78"	"54"	"181"	"6"	"11"	"170"	"10"	"17"	"395"	""	"395"	""
"79"	"55"	"114"	"17"	"260"	"119"	"17"	"22"	"549"	""	"549"	""
"80"	"56"	"57"	"6"	"193"	"111"	"7"	"7"	"381"	""	"381"	""
"81"	"56A"	"57"	"18"	"91"	"140"	"11"	"13"	"330"	""	"330"	""
"82"	"57"	"112"	"8"	"87"	"62"	"6"	"8"	"283"	""	"283"	""
"83"	"58"	"113"	"9"	"335"	"43"	"9"	"27"	"536"	""	"536"	""
"84"	"59"	"25"	"10"	"69"	"272"	"8"	"17"	"401"	""	"401"	""
"85"	"60"	"59"	"11"	"153"	"88"	"12"	"25"	"348"	""	"348"	""
"86"	"61"	"16"	"7"	"165"	"237"	"11"	"26"	"462"	""	"462"	""
"87"	"62"	"120"	"10"	"136"	"129"	"7"	"17"	"419"	""	"419"	""
"88"	"Page Total"	"6950"	"643"	"11525"	"9178"	"742"	"940"	"29978"	"0"	"29978"	"0"
"89"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"90"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"91"	"B.F."	"6950"	"643"	"11525"	"9178"	"742"	"940"	"29978"	"0"	"29978"	"0"
"92"	"63"	"38"	"14"	"78"	"284"	"15"	"30"	"459"	""	"459"	""
"93"	"64"	"71"	"17"	"150"	"336"	"21"	"17"	"612"	""	"612"	""
"94"	"65"	"29"	"11"	"101"	"195"	"13"	"13"	"362"	""	"362"	""
"95"	"66"	"80"	"12"	"282"	"153"	"8"	"9"	"544"	""	"544"	""
"96"	"67"	"88"	"13"	"126"	"210"	"21"	"39"	"497"	""	"497"	""
"97"	"68"	"37"	"2"	"212"	"87"	"11"	"24"	"373"	""	"373"	""
"98"	"69"	"64"	"15"	"383"	"174"	"12"	"12"	"660"	""	"660"	""
"99"	"70"	"102"	"12"	"140"	"198"	"11"	"21"	"484"	""	"484"	""
"100"	"71"	"30"	"7"	"246"	"184"	"2"	"5"	"474"	""	"474"	""
"101"	"72"	"35"	"11"	"203"	"313"	"10"	"18"	"590"	""	"590"	""
"102"	"73"	"50"	"8"	"171"	"174"	"13"	"21"	"437"	""	"437"	""
"103"	"74"	"61"	"17"	"158"	"215"	"14"	"12"	"477"	""	"477"	""
"104"	"75"	"149"	"1"	"346"	"27"	"12"	"22"	"557"	""	"557"	""
"105"	"76"	"44"	"8"	"260"	"115"	"10"	"28"	"465"	""	"465"	""
"106"	"Page Total"	"7828"	"791"	"14381"	"11843"	"915"	"1211"	"36969"	"0"	"36969"	"0"
"107"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"108"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"109"	"B.F."	"7828"	"791"	"14381"	"11843"	"915"	"1211"	"36969"	"0"	"36969"	"0"
"110"	"76A"	"106"	"4"	"64"	"43"	"6"	"12"	"235"	""	"235"	""
"111"	"77"	"34"	"6"	"70"	"243"	"9"	"10"	"372"	""	"372"	""
"112"	"78"	"45"	"5"	"102"	"165"	"12"	"19"	"348"	""	"348"	""
"113"	"79"	"127"	"8"	"258"	"268"	"27"	"25"	"713"	""	"713"	""
"114"	"80"	"46"	"7"	"71"	"292"	"9"	"18"	"443"	""	"443"	""
"115"	"80A"	"77"	"8"	"177"	"179"	"10"	"12"	"463"	""	"463"	""
"116"	"81"	"105"	"6"	"117"	"278"	"8"	"23"	"537"	""	"537"	""
"117"	"82"	"74"	"20"	"332"	"129"	"19"	"17"	"591"	""	"591"	""
"118"	"83"	"100"	"11"	"164"	"170"	"27"	"29"	"501"	""	"501"	""
"119"	"84"	"17"	"11"	"305"	"67"	"8"	"19"	"427"	""	"427"	""
"120"	"85"	"111"	"15"	"207"	"174"	"12"	"14"	"533"	""	"533"	""
"121"	"86"	"67"	"11"	"343"	"135"	"15"	"20"	"591"	""	"591"	""
"122"	"87"	"79"	"6"	"119"	"53"	"6"	"13"	"276"	""	"276"	""
"123"	"88"	"44"	"7"	"315"	"102"	"13"	"16"	"497"	""	"497"	""
"124"	"Page Total"	"8860"	"916"	"17025"	"14141"	"1096"	"1458"	"43496"	"0"	"43496"	"0"
"125"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"126"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"127"	"B.F."	"8860"	"916"	"17025"	"14141"	"1096"	"1458"	"43496"	"0"	"43496"	"0"
"128"	"89"	"114"	"17"	"152"	"251"	"19"	"16"	"569"	""	"569"	""
"129"	"90"	"14"	"3"	"122"	"369"	"9"	"4"	"521"	""	"521"	""
"130"	"91"	"82"	"10"	"69"	"183"	"17"	"17"	"378"	""	"378"	""
"131"	"92"	"142"	"8"	"301"	"38"	"8"	"29"	"526"	""	"526"	""
"132"	"93"	"199"	"8"	"231"	"18"	"9"	"13"	"478"	""	"478"	""
"133"	"94"	"39"	"7"	"138"	"279"	"7"	"13"	"483"	""	"483"	""
"134"	"95"	"90"	"2"	"61"	"72"	"4"	"5"	"234"	""	"234"	""
"135"	"96"	"106"	"12"	"148"	"221"	"37"	"56"	"580"	""	"580"	""
"136"	"97"	"96"	"10"	"242"	"296"	"27"	"34"	"705"	""	"705"	""
"137"	"98"	"23"	"5"	"149"	"170"	"12"	"8"	"367"	""	"367"	""
"138"	"98A"	"15"	"4"	"152"	"135"	"5"	"11"	"322"	""	"322"	""
"139"	"99"	"90"	"9"	"124"	"262"	"12"	"18"	"515"	""	"515"	""
"140"	"100"	"52"	"9"	"158"	"135"	"13"	"21"	"388"	""	"388"	""
"141"	"101"	"126"	"8"	"44"	"351"	"22"	"23"	"574"	""	"574"	""
"142"	"Page Total"	"10048"	"1028"	"19116"	"16921"	"1297"	"1726"	"50136"	"0"	"50136"	"0"
"143"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"144"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"145"	"B.F."	"10048"	"1028"	"19116"	"16921"	"1297"	"1726"	"50136"	"0"	"50136"	"0"
"146"	"102"	"190"	"13"	"205"	"163"	"19"	"14"	"604"	""	"604"	""
"147"	"103"	"79"	"14"	"42"	"241"	"24"	"15"	"415"	""	"415"	""
"148"	"104"	"263"	"6"	"89"	"109"	"14"	"26"	"507"	""	"507"	""
"149"	"105"	"54"	"8"	"78"	"100"	"8"	"8"	"256"	""	"256"	""
"150"	"106"	"64"	"2"	"221"	"77"	"12"	"6"	"382"	""	"382"	""
"151"	"106A"	"25"	"3"	"283"	"70"	"0"	"2"	"383"	""	"383"	""
"152"	"107"	"12"	"3"	"342"	"67"	"4"	"10"	"438"	""	"438"	""
"153"	"107A"	"80"	"12"	"90"	"159"	"15"	"14"	"370"	""	"370"	""
"154"	"108"	"120"	"14"	"175"	"280"	"14"	"13"	"616"	""	"616"	""
"155"	"109"	"89"	"3"	"119"	"132"	"8"	"11"	"362"	""	"362"	""
"156"	"110"	"132"	"10"	"158"	"299"	"18"	"11"	"628"	""	"628"	""
"157"	"111"	"151"	"10"	"317"	"122"	"14"	"27"	"641"	""	"641"	""
"158"	"112"	"291"	"11"	"293"	"177"	"14"	"17"	"803"	""	"803"	""
"159"	"113"	"124"	"5"	"217"	"105"	"5"	"8"	"464"	""	"464"	""
"160"	"Page Total"	"11722"	"1142"	"21745"	"19022"	"1466"	"1908"	"57005"	"0"	"57005"	"0"
"161"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"163"	"B.F."	"11722"	"1142"	"21745"	"19022"	"1466"	"1908"	"57005"	"0"	"57005"	"0"
"164"	"114"	"215"	"5"	"201"	"95"	"7"	"9"	"532"	""	"532"	""
"165"	"114A"	"197"	"4"	"88"	"39"	"2"	"1"	"331"	""	"331"	""
"166"	"115"	"292"	"8"	"325"	"74"	"9"	"6"	"714"	""	"714"	""
"167"	"116"	"347"	"9"	"234"	"70"	"7"	"11"	"678"	""	"678"	""
"168"	"117"	"272"	"23"	"77"	"141"	"12"	"7"	"532"	""	"532"	""
"169"	"118"	"101"	"10"	"175"	"175"	"12"	"21"	"494"	""	"494"	""
"170"	"119"	"96"	"6"	"332"	"190"	"8"	"11"	"643"	""	"643"	""
"171"	"120"	"212"	"6"	"107"	"277"	"16"	"14"	"632"	""	"632"	""
"172"	"121"	"176"	"12"	"245"	"93"	"13"	"18"	"557"	""	"557"	""
"173"	"122"	"80"	"9"	"397"	"59"	"6"	"11"	"562"	""	"562"	""
"174"	"122A"	"36"	"9"	"148"	"142"	"11"	"4"	"350"	""	"350"	""
"175"	"123"	"60"	"11"	"260"	"166"	"10"	"18"	"525"	""	"525"	""
"176"	"124"	"111"	"4"	"134"	"199"	"10"	"7"	"465"	""	"465"	""
"177"	"125"	"112"	"11"	"140"	"87"	"11"	"19"	"380"	""	"380"	""
"178"	"Page Total"	"14029"	"1269"	"24608"	"20829"	"1600"	"2065"	"64400"	"0"	"64400"	"0"
"179"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"181"	"B.F."	"14029"	"1269"	"24608"	"20829"	"1600"	"2065"	"64400"	"0"	"64400"	"0"
"182"	"125A"	"32"	"8"	"127"	"211"	"13"	"13"	"404"	""	"404"	""
"183"	"126"	"39"	"11"	"458"	"125"	"13"	"18"	"664"	""	"664"	""
"184"	"127"	"283"	"5"	"276"	"40"	"12"	"19"	"635"	""	"635"	""
"185"	"128"	"207"	"7"	"405"	"61"	"13"	"17"	"710"	""	"710"	""
"186"	"129"	"37"	"16"	"330"	"52"	"6"	"27"	"468"	""	"468"	""
"187"	"130"	"63"	"6"	"285"	"73"	"3"	"18"	"448"	""	"448"	""
"188"	"131"	"87"	"3"	"77"	"128"	"7"	"5"	"307"	""	"307"	""
"189"	"132"	"158"	"13"	"223"	"83"	"10"	"19"	"506"	""	"506"	""
"190"	"133"	"130"	"12"	"260"	"84"	"3"	"7"	"496"	""	"496"	""
"191"	"134"	"108"	"11"	"220"	"76"	"14"	"7"	"436"	""	"436"	""
"192"	"135"	"199"	"10"	"235"	"186"	"19"	"51"	"700"	""	"700"	""
"193"	"136"	"68"	"8"	"115"	"277"	"21"	"13"	"502"	""	"502"	""
"194"	"136A"	"90"	"7"	"120"	"81"	"14"	"16"	"328"	""	"328"	""
"195"	"137"	"79"	"10"	"194"	"78"	"13"	"15"	"389"	""	"389"	""
"196"	"Page Total"	"15609"	"1396"	"27933"	"22384"	"1761"	"2310"	"71393"	"0"	"71393"	"0"
"197"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"198"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"199"	"B.F."	"15609"	"1396"	"27933"	"22384"	"1761"	"2310"	"71393"	"0"	"71393"	"0"
"200"	"137A"	"82"	"15"	"140"	"90"	"6"	"19"	"352"	""	"352"	""
"201"	"138"	"78"	"11"	"290"	"304"	"23"	"25"	"731"	""	"731"	""
"202"	"139"	"46"	"8"	"173"	"247"	"14"	"22"	"510"	""	"510"	""
"203"	"140"	"229"	"5"	"85"	"158"	"5"	"17"	"499"	""	"499"	""
"204"	"140A"	"190"	"2"	"7"	"44"	"7"	"11"	"261"	""	"261"	""
"205"	"141"	"121"	"14"	"233"	"240"	"23"	"38"	"669"	""	"669"	""
"206"	"142"	"71"	"13"	"251"	"190"	"20"	"45"	"590"	""	"590"	""
"207"	"143"	"144"	"13"	"104"	"272"	"14"	"27"	"574"	""	"574"	""
"208"	"144"	"99"	"13"	"219"	"166"	"12"	"18"	"527"	""	"527"	""
"209"	"145"	"190"	"18"	"106"	"235"	"9"	"14"	"572"	""	"572"	""
"210"	"146"	"61"	"11"	"350"	"214"	"16"	"20"	"672"	""	"672"	""
"211"	"147"	"168"	"14"	"209"	"198"	"14"	"21"	"624"	""	"624"	""
"212"	"148"	"95"	"11"	"62"	"174"	"14"	"22"	"378"	""	"378"	""
"213"	"148A"	"186"	"4"	"71"	"74"	"14"	"10"	"359"	""	"359"	""
"214"	"Page Total"	"17369"	"1548"	"30233"	"24990"	"1952"	"2619"	"78711"	"0"	"78711"	"0"
"215"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"216"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"217"	"B.F."	"17369"	"1548"	"30233"	"24990"	"1952"	"2619"	"78711"	"0"	"78711"	"0"
"218"	"149"	"59"	"7"	"247"	"371"	"21"	"40"	"745"	""	"745"	""
"219"	"150"	"157"	"13"	"55"	"297"	"15"	"10"	"547"	""	"547"	""
"220"	"151"	"102"	"10"	"70"	"132"	"10"	"29"	"353"	""	"353"	""
"221"	"152"	"18"	"17"	"187"	"243"	"17"	"34"	"516"	""	"516"	""
"222"	"153"	"46"	"9"	"150"	"214"	"17"	"25"	"461"	""	"461"	""
"223"	"154"	"61"	"4"	"43"	"155"	"7"	"9"	"279"	""	"279"	""
"224"	"155"	"20"	"13"	"107"	"154"	"14"	"21"	"329"	""	"329"	""
"225"	"156"	"42"	"14"	"143"	"157"	"16"	"21"	"393"	""	"393"	""
"226"	"157"	"31"	"8"	"90"	"110"	"5"	"10"	"254"	""	"254"	""
"227"	"158"	"21"	"10"	"206"	"145"	"8"	"31"	"421"	""	"421"	""
"228"	"159"	"16"	"4"	"145"	"197"	"9"	"6"	"377"	""	"377"	""
"229"	"160"	"25"	"8"	"142"	"139"	"8"	"12"	"334"	""	"334"	""
"230"	"161"	"23"	"18"	"168"	"260"	"16"	"12"	"497"	""	"497"	""
"231"	"162"	"13"	"4"	"116"	"167"	"9"	"7"	"316"	""	"316"	""
"232"	"Page Total"	"18003"	"1687"	"32102"	"27731"	"2124"	"2886"	"84533"	"0"	"84533"	"0"
"233"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"234"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"235"	"B.F."	"18003"	"1687"	"32102"	"27731"	"2124"	"2886"	"84533"	"0"	"84533"	"0"
"236"	"163"	"77"	"12"	"113"	"384"	"19"	"45"	"650"	""	"650"	""
"237"	"164"	"64"	"16"	"227"	"250"	"19"	"14"	"590"	""	"590"	""
"238"	"165"	"66"	"9"	"173"	"152"	"13"	"23"	"436"	""	"436"	""
"239"	"166"	"10"	"10"	"112"	"104"	"9"	"6"	"251"	""	"251"	""
"240"	"167"	"50"	"10"	"213"	"161"	"12"	"27"	"473"	""	"473"	""
"241"	"168"	"60"	"7"	"35"	"179"	"6"	"19"	"306"	""	"306"	""
"242"	"169"	"75"	"6"	"109"	"293"	"15"	"18"	"516"	""	"516"	""
"243"	"170"	"127"	"11"	"152"	"190"	"14"	"14"	"508"	""	"508"	""
"244"	"171"	"115"	"11"	"91"	"446"	"36"	"44"	"743"	""	"743"	""
"245"	"172"	"94"	"15"	"146"	"153"	"21"	"18"	"447"	""	"447"	""
"246"	"173"	"81"	"12"	"356"	"47"	"5"	"12"	"513"	""	"513"	""
"247"	"174"	"71"	"7"	"253"	"328"	"29"	"29"	"717"	""	"717"	""
"248"	"175"	"139"	"16"	"110"	"259"	"28"	"36"	"588"	""	"588"	""
"249"	"176"	"141"	"10"	"273"	"175"	"9"	"17"	"625"	""	"625"	""
"250"	"Page Total"	"19173"	"1839"	"34465"	"30852"	"2359"	"3208"	"91896"	"0"	"91896"	"0"
"251"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"252"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"253"	"B.F."	"19173"	"1839"	"34465"	"30852"	"2359"	"3208"	"91896"	"0"	"91896"	"0"
"254"	"177"	"160"	"7"	"47"	"260"	"12"	"19"	"505"	""	"505"	""
"255"	"178"	"129"	"2"	"68"	"62"	"7"	"8"	"276"	""	"276"	""
"256"	"179"	"22"	"10"	"210"	"148"	"10"	"8"	"408"	""	"408"	""
"257"	"180"	"35"	"14"	"176"	"213"	"16"	"16"	"470"	""	"470"	""
"258"	"181"	"35"	"8"	"124"	"132"	"8"	"6"	"313"	""	"313"	""
"259"	"182"	"12"	"4"	"86"	"153"	"10"	"8"	"273"	""	"273"	""
"260"	"183"	"29"	"9"	"90"	"231"	"16"	"15"	"390"	""	"390"	""
"261"	"184"	"118"	"9"	"150"	"175"	"13"	"7"	"472"	""	"472"	""
"262"	"185"	"19"	"14"	"104"	"193"	"9"	"15"	"354"	""	"354"	""
"263"	"186"	"74"	"17"	"285"	"70"	"6"	"19"	"471"	""	"471"	""
"264"	"187"	"248"	"13"	"73"	"73"	"12"	"33"	"452"	""	"452"	""
"265"	"187A"	"27"	"16"	"113"	"67"	"9"	"14"	"246"	""	"246"	""
"266"	"188"	"206"	"10"	"102"	"21"	"6"	"18"	"363"	""	"363"	""
"267"	"188A"	"73"	"6"	"164"	"22"	"4"	"6"	"275"	""	"275"	""
"268"	"Page Total"	"20360"	"1978"	"36257"	"32672"	"2497"	"3400"	"97164"	"0"	"97164"	"0"
