"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"16"	"9"	"7"	"8"	"35"	"1"	"0"	"151"	"4"	"1"	"0"	"0"	"1"	"4"	"1"	"1"	"1"	"9"	"217"	"-"	"217"	""
"17"	"10"	"8"	"9"	"16"	"6"	"2"	"333"	"9"	"2"	"2"	"2"	"1"	"3"	"3"	"1"	"2"	"6"	"397"	"-"	"397"	""
"18"	"11"	"8A"	"12"	"51"	"6"	"7"	"280"	"5"	"1"	"2"	"5"	"3"	"10"	"3"	"3"	"7"	"12"	"407"	"-"	"407"	""
"19"	"12"	"9"	"23"	"214"	"9"	"14"	"315"	"9"	"5"	"2"	"4"	"7"	"8"	"4"	"1"	"5"	"10"	"630"	"-"	"630"	""
"20"	"13"	"10"	"22"	"124"	"4"	"10"	"287"	"5"	"6"	"2"	"1"	"1"	"6"	"3"	"0"	"3"	"6"	"480"	"-"	"480"	""
"21"	"14"	"11"	"86"	"111"	"5"	"6"	"132"	"6"	"4"	"2"	"4"	"5"	"10"	"3"	"0"	"6"	"24"	"404"	"-"	"404"	""
"22"	"15"	"12"	"16"	"47"	"2"	"18"	"303"	"13"	"10"	"7"	"14"	"5"	"14"	"7"	"6"	"9"	"8"	"479"	"-"	"479"	""
"23"	"16"	"13"	"15"	"51"	"9"	"78"	"294"	"11"	"1"	"7"	"8"	"9"	"15"	"15"	"8"	"9"	"26"	"556"	"-"	"556"	""
"24"	"17"	"14"	"25"	"47"	"4"	"9"	"305"	"10"	"7"	"4"	"0"	"4"	"2"	"2"	"1"	"1"	"4"	"425"	"-"	"425"	""
"25"	"18"	"15"	"10"	"74"	"5"	"8"	"341"	"18"	"7"	"8"	"3"	"7"	"6"	"4"	"5"	"5"	"12"	"513"	"-"	"513"	""
"26"	"19"	"16"	"86"	"245"	"7"	"2"	"7"	"0"	"5"	"7"	"1"	"1"	"0"	"0"	"3"	"8"	"27"	"399"	"-"	"399"	""
"27"	"20"	"17"	"25"	"261"	"5"	"2"	"60"	"5"	"1"	"0"	"1"	"2"	"3"	"2"	"3"	"15"	"37"	"422"	"-"	"422"	""
"28"	"21"	"18"	"16"	"202"	"17"	"4"	"27"	"1"	"2"	"9"	"0"	"0"	"1"	"7"	"2"	"4"	"19"	"311"	"-"	"311"	""
"29"	"22"	"19"	"28"	"297"	"10"	"3"	"114"	"5"	"5"	"2"	"8"	"3"	"5"	"1"	"3"	"25"	"21"	"530"	"-"	"530"	""
"30"	"23"	"20"	"73"	"71"	"8"	"88"	"196"	"9"	"3"	"6"	"3"	"7"	"7"	"2"	"9"	"2"	"30"	"514"	"-"	"514"	""
"31"	"24"	"21"	"41"	"131"	"9"	"119"	"284"	"12"	"4"	"5"	"1"	"6"	"7"	"5"	"4"	"3"	"19"	"650"	"-"	"650"	""
"32"	"25"	"22"	"23"	"370"	"18"	"2"	"143"	"4"	"2"	"4"	"1"	"0"	"3"	"3"	"3"	"7"	"12"	"595"	"-"	"595"	""
"33"	"26"	"23"	"34"	"151"	"12"	"3"	"383"	"11"	"4"	"15"	"2"	"5"	"6"	"0"	"3"	"3"	"6"	"638"	"-"	"638"	""
"34"	"27"	"24"	"17"	"157"	"4"	"4"	"184"	"3"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"378"	"-"	"378"	""
"35"	"28"	"24A"	"3"	"115"	"6"	"3"	"151"	"5"	"1"	"2"	"1"	"4"	"3"	"3"	"5"	"6"	"11"	"319"	"-"	"319"	""
"36"	"29"	"25"	"110"	"34"	"2"	"2"	"116"	"6"	"2"	"1"	"2"	"7"	"3"	"6"	"4"	"8"	"45"	"348"	"-"	"348"	""
"37"	"30"	"25A"	"40"	"41"	"3"	"10"	"206"	"6"	"2"	"4"	"0"	"4"	"3"	"2"	"0"	"1"	"6"	"328"	"-"	"328"	""
"38"	"31"	"26"	"5"	"101"	"3"	"3"	"420"	"8"	"0"	"38"	"1"	"2"	"3"	"1"	"3"	"2"	"7"	"597"	"-"	"597"	""
"39"	"32"	"27"	"26"	"210"	"4"	"3"	"395"	"8"	"2"	"17"	"2"	"1"	"7"	"2"	"4"	"3"	"10"	"694"	"-"	"694"	""
"40"	"33"	"28"	"13"	"70"	"4"	"6"	"491"	"3"	"3"	"4"	"4"	"6"	"25"	"4"	"0"	"5"	"10"	"648"	"-"	"648"	""
"41"	"34"	"29"	"109"	"110"	"4"	"3"	"294"	"4"	"2"	"4"	"2"	"5"	"8"	"2"	"4"	"3"	"24"	"578"	"-"	"578"	""
"42"	"35"	"30"	"127"	"81"	"4"	"5"	"247"	"7"	"6"	"7"	"1"	"5"	"4"	"5"	"8"	"3"	"31"	"541"	"-"	"541"	""
"43"	"36"	"31"	"17"	"121"	"6"	"2"	"295"	"4"	"2"	"4"	"1"	"0"	"2"	"1"	"3"	"5"	"12"	"475"	"-"	"475"	""
"44"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"45"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"47"	"37"	"32"	"4"	"105"	"3"	"6"	"511"	"5"	"4"	"8"	"2"	"3"	"18"	"11"	"4"	"13"	"9"	"706"	"-"	"706"	""
"48"	"38"	"33"	"6"	"114"	"7"	"3"	"215"	"5"	"1"	"3"	"1"	"3"	"8"	"1"	"2"	"9"	"5"	"383"	"-"	"383"	""
"49"	"39"	"33A"	"4"	"48"	"5"	"1"	"193"	"4"	"2"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"265"	"-"	"265"	""
"50"	"40"	"34"	"33"	"111"	"6"	"6"	"252"	"4"	"1"	"1"	"2"	"5"	"1"	"2"	"2"	"0"	"10"	"436"	"-"	"436"	""
"51"	"41"	"35"	"2"	"67"	"1"	"3"	"351"	"8"	"0"	"4"	"0"	"6"	"7"	"5"	"5"	"3"	"12"	"474"	"-"	"474"	""
"52"	"42"	"35A"	"4"	"44"	"2"	"2"	"328"	"8"	"1"	"4"	"7"	"3"	"8"	"7"	"3"	"1"	"12"	"434"	""	"434"	""
"53"	"43"	"36"	"7"	"54"	"4"	"3"	"655"	"6"	"1"	"8"	"4"	"5"	"19"	"10"	"4"	"4"	"15"	"799"	"-"	"799"	""
"54"	"44"	"37"	"12"	"199"	"9"	"4"	"309"	"0"	"1"	"9"	"3"	"4"	"7"	"7"	"5"	"11"	"18"	"598"	"-"	"598"	""
"55"	"45"	"38"	"16"	"274"	"7"	"6"	"369"	"11"	"6"	"10"	"3"	"4"	"6"	"2"	"6"	"11"	"18"	"749"	"-"	"749"	""
"56"	"46"	"39"	"11"	"148"	"5"	"1"	"241"	"4"	"0"	"5"	"0"	"0"	"1"	"4"	"1"	"1"	"2"	"424"	"-"	"424"	""
"57"	"47"	"40"	"3"	"44"	"0"	"3"	"204"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"262"	"-"	"262"	""
"58"	"48"	"40A"	"4"	"35"	"0"	"1"	"192"	"1"	"0"	"3"	"0"	"0"	"3"	"2"	"1"	"1"	"1"	"244"	"-"	"244"	""
"59"	"49"	"41"	"2"	"82"	"0"	"3"	"387"	"3"	"0"	"2"	"1"	"1"	"6"	"0"	"0"	"0"	"1"	"488"	"-"	"488"	""
"60"	"50"	"42"	"22"	"211"	"3"	"1"	"237"	"3"	"0"	"94"	"8"	"3"	"4"	"0"	"3"	"3"	"10"	"602"	"-"	"602"	""
"61"	"51"	"43"	"7"	"47"	"3"	"3"	"311"	"7"	"1"	"24"	"1"	"1"	"2"	"1"	"2"	"3"	"3"	"416"	"-"	"416"	""
"62"	"52"	"44"	"5"	"106"	"0"	"1"	"301"	"2"	"0"	"44"	"3"	"1"	"1"	"2"	"0"	"3"	"2"	"471"	"-"	"471"	""
"63"	"53"	"45"	"60"	"134"	"2"	"0"	"233"	"4"	"0"	"86"	"3"	"1"	"4"	"0"	"0"	"0"	"10"	"537"	"-"	"537"	""
"64"	"54"	"46"	"111"	"52"	"0"	"5"	"250"	"4"	"2"	"20"	"1"	"5"	"3"	"4"	"3"	"3"	"15"	"478"	"-"	"478"	""
"65"	"55"	"46A"	"43"	"53"	"2"	"2"	"185"	"1"	"1"	"18"	"1"	"3"	"2"	"0"	"2"	"0"	"8"	"321"	"-"	"321"	""
"66"	"56"	"47"	"57"	"84"	"0"	"2"	"291"	"1"	"2"	"5"	"2"	"4"	"7"	"4"	"1"	"2"	"16"	"478"	"-"	"478"	""
"67"	"57"	"47A"	"143"	"46"	"3"	"2"	"30"	"3"	"0"	"7"	"1"	"4"	"2"	"2"	"0"	"1"	"21"	"265"	"-"	"265"	""
"68"	"58"	"48"	"31"	"96"	"3"	"6"	"161"	"4"	"0"	"5"	"0"	"3"	"5"	"2"	"5"	"0"	"4"	"325"	"-"	"325"	""
"69"	"59"	"48A"	"41"	"57"	"1"	"2"	"226"	"9"	"3"	"17"	"2"	"2"	"3"	"4"	"4"	"4"	"15"	"390"	"-"	"390"	""
"70"	"60"	"49"	"17"	"94"	"8"	"1"	"244"	"2"	"2"	"4"	"0"	"2"	"0"	"0"	"0"	"2"	"5"	"381"	"-"	"381"	""
"71"	"61"	"49A"	"108"	"34"	"2"	"4"	"93"	"1"	"0"	"5"	"0"	"5"	"1"	"1"	"3"	"4"	"25"	"286"	"-"	"286"	""
"72"	"62"	"50"	"47"	"84"	"1"	"0"	"155"	"6"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"0"	"1"	"303"	"-"	"303"	""
"73"	"63"	"50A"	"86"	"118"	"1"	"2"	"142"	"1"	"1"	"1"	"1"	"2"	"2"	"0"	"0"	"3"	"11"	"371"	"-"	"371"	""
"74"	"64"	"51"	"6"	"55"	"0"	"2"	"236"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"308"	"-"	"308"	""
"75"	"65"	"51A"	"17"	"62"	"2"	"1"	"178"	"4"	"4"	"15"	"1"	"4"	"5"	"0"	"0"	"1"	"3"	"297"	"-"	"297"	""
"76"	"66"	"52"	"2"	"115"	"3"	"1"	"261"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"389"	"-"	"389"	""
"77"	"67"	"52A"	"22"	"76"	"0"	"1"	"146"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"252"	"-"	"252"	""
"78"	"68"	"53"	"33"	"330"	"7"	"4"	"253"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"638"	"-"	"638"	""
"79"	"69"	"54"	"7"	"36"	"2"	"0"	"365"	"2"	"3"	"2"	"1"	"2"	"2"	"2"	"2"	"0"	"2"	"428"	"-"	"428"	""
"80"	"70"	"54A"	"2"	"20"	"1"	"0"	"188"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"217"	"-"	"217"	""
"81"	"71"	"55"	"7"	"77"	"1"	"3"	"384"	"5"	"0"	"3"	"3"	"9"	"2"	"2"	"2"	"2"	"4"	"504"	"-"	"504"	""
"82"	"72"	"55A"	"2"	"77"	"0"	"2"	"127"	"0"	"3"	"0"	"0"	"2"	"3"	"3"	"1"	"1"	"1"	"222"	"-"	"222"	""
"83"	"73"	"56"	"28"	"76"	"1"	"6"	"537"	"4"	"2"	"4"	"1"	"5"	"6"	"1"	"3"	"5"	"17"	"696"	"-"	"696"	""
"84"	"74"	"57"	"3"	"78"	"2"	"2"	"332"	"4"	"2"	"1"	"2"	"2"	"6"	"2"	"0"	"3"	"7"	"446"	"-"	"446"	""
"85"	"75"	"57A"	"5"	"103"	"1"	"0"	"133"	"1"	"2"	"0"	"1"	"3"	"1"	"2"	"1"	"7"	"4"	"264"	"-"	"264"	""
"86"	"76"	"58"	"6"	"104"	"2"	"2"	"277"	"3"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"0"	"2"	"402"	"-"	"402"	""
"87"	"77"	"58A"	"1"	"61"	"1"	"0"	"209"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"278"	"-"	"278"	""
"88"	"78"	"59"	"4"	"38"	"1"	"0"	"310"	"0"	"1"	"1"	"2"	"0"	"4"	"2"	"0"	"0"	"3"	"366"	"-"	"366"	""
"89"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"90"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"92"	"79"	"59A"	"5"	"31"	"0"	"2"	"235"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"1"	"0"	"3"	"286"	"-"	"286"	""
"93"	"80"	"60"	"10"	"216"	"5"	"1"	"428"	"5"	"4"	"3"	"2"	"0"	"6"	"2"	"1"	"2"	"12"	"697"	"-"	"697"	""
"94"	"81"	"61"	"9"	"182"	"3"	"3"	"209"	"3"	"2"	"1"	"3"	"1"	"10"	"3"	"3"	"4"	"18"	"454"	"-"	"454"	""
"95"	"82"	"62"	"15"	"246"	"4"	"8"	"232"	"3"	"1"	"4"	"3"	"1"	"6"	"1"	"2"	"14"	"15"	"555"	"-"	"555"	""
"96"	"83"	"63"	"16"	"166"	"6"	"0"	"324"	"4"	"5"	"12"	"2"	"4"	"6"	"0"	"4"	"6"	"42"	"597"	"-"	"597"	""
"97"	"84"	"64"	"1"	"33"	"0"	"0"	"325"	"2"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"368"	"-"	"368"	""
"98"	"85"	"64A"	"12"	"42"	"2"	"3"	"312"	"3"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"40"	"421"	"-"	"421"	""
"99"	"86"	"65"	"5"	"116"	"1"	"2"	"475"	"4"	"1"	"4"	"1"	"2"	"12"	"5"	"4"	"4"	"32"	"668"	"-"	"668"	""
"100"	"87"	"66"	"5"	"130"	"1"	"0"	"441"	"4"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"590"	"-"	"590"	""
"101"	"88"	"66A"	"6"	"36"	"1"	"4"	"175"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"226"	"-"	"226"	""
"102"	"89"	"67"	"3"	"210"	"3"	"0"	"111"	"0"	"0"	"8"	"0"	"1"	"7"	"1"	"0"	"1"	"2"	"347"	"-"	"347"	""
"103"	"90"	"67A"	"3"	"33"	"1"	"3"	"293"	"8"	"1"	"20"	"2"	"3"	"1"	"1"	"0"	"0"	"3"	"372"	"-"	"372"	""
"104"	"91"	"68"	"2"	"61"	"1"	"10"	"387"	"0"	"0"	"3"	"1"	"1"	"9"	"1"	"0"	"2"	"3"	"481"	"-"	"481"	""
"105"	"92"	"69"	"7"	"80"	"3"	"6"	"425"	"9"	"2"	"30"	"3"	"1"	"3"	"6"	"1"	"2"	"8"	"586"	"-"	"586"	""
"106"	"93"	"70"	"19"	"104"	"2"	"3"	"413"	"2"	"0"	"45"	"0"	"8"	"12"	"3"	"2"	"3"	"16"	"632"	"-"	"632"	""
"107"	"94"	"71"	"2"	"114"	"3"	"2"	"232"	"8"	"0"	"10"	"1"	"2"	"4"	"4"	"3"	"4"	"4"	"393"	"-"	"393"	""
"108"	"95"	"71A"	"8"	"65"	"0"	"4"	"275"	"6"	"2"	"3"	"5"	"0"	"7"	"4"	"4"	"7"	"10"	"400"	"-"	"400"	""
"109"	"96"	"72"	"3"	"95"	"2"	"7"	"495"	"3"	"1"	"2"	"1"	"1"	"6"	"3"	"0"	"0"	"3"	"622"	"-"	"622"	""
"110"	"97"	"73"	"5"	"159"	"5"	"1"	"481"	"4"	"0"	"2"	"1"	"2"	"5"	"3"	"1"	"0"	"5"	"674"	"-"	"674"	""
"111"	"98"	"74"	"6"	"46"	"3"	"1"	"635"	"9"	"0"	"1"	"4"	"2"	"6"	"2"	"0"	"3"	"4"	"722"	"-"	"722"	""
"112"	"99"	"75"	"111"	"104"	"3"	"15"	"489"	"10"	"2"	"5"	"5"	"1"	"8"	"5"	"1"	"0"	"14"	"773"	"-"	"773"	""
"113"	"100"	"75A"	"1"	"12"	"0"	"0"	"145"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"163"	"-"	"163"	""
"114"	"101"	"76"	"145"	"25"	"1"	"13"	"322"	"8"	"7"	"5"	"10"	"11"	"12"	"2"	"2"	"5"	"47"	"615"	"-"	"615"	""
"115"	"102"	"76A"	"33"	"14"	"2"	"2"	"204"	"6"	"2"	"3"	"3"	"9"	"6"	"2"	"3"	"3"	"15"	"307"	"-"	"307"	""
"116"	"103"	"77"	"5"	"103"	"4"	"12"	"370"	"6"	"2"	"2"	"1"	"2"	"10"	"7"	"5"	"2"	"1"	"532"	"-"	"532"	""
"117"	"104"	"78"	"219"	"205"	"5"	"3"	"295"	"5"	"6"	"12"	"3"	"2"	"4"	"2"	"5"	"1"	"19"	"786"	"-"	"786"	""
"118"	"105"	"79"	"1"	"85"	"4"	"9"	"323"	"6"	"3"	"2"	"3"	"2"	"11"	"6"	"6"	"6"	"2"	"469"	"-"	"469"	""
"119"	"106"	"79A"	"15"	"117"	"2"	"7"	"234"	"1"	"1"	"3"	"0"	"5"	"7"	"0"	"2"	"2"	"8"	"404"	"-"	"404"	""
"120"	"107"	"80"	"131"	"130"	"2"	"0"	"143"	"3"	"2"	"2"	"0"	"3"	"1"	"1"	"0"	"3"	"13"	"434"	"-"	"434"	""
"121"	"108"	"80A"	"171"	"66"	"9"	"1"	"66"	"0"	"0"	"0"	"3"	"2"	"1"	"3"	"0"	"5"	"25"	"352"	"-"	"352"	""
"122"	"109"	"81"	"16"	"249"	"4"	"3"	"145"	"4"	"4"	"2"	"1"	"2"	"4"	"0"	"1"	"9"	"6"	"450"	"-"	"450"	""
"123"	"110"	"82"	"40"	"125"	"4"	"2"	"375"	"8"	"7"	"5"	"3"	"3"	"5"	"2"	"1"	"3"	"10"	"593"	"-"	"593"	""
"124"	"111"	"83"	"9"	"151"	"9"	"5"	"300"	"9"	"1"	"1"	"0"	"2"	"5"	"3"	"2"	"7"	"7"	"511"	"-"	"511"	""
"125"	"112"	"83A"	"3"	"44"	"1"	"1"	"155"	"3"	"0"	"13"	"3"	"0"	"4"	"3"	"0"	"1"	"4"	"235"	"-"	"235"	""
"126"	"113"	"84"	"4"	"164"	"4"	"3"	"334"	"6"	"2"	"12"	"1"	"3"	"13"	"5"	"2"	"6"	"14"	"573"	"-"	"573"	""
"127"	"114"	"84A"	"0"	"57"	"1"	"0"	"190"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"254"	"-"	"254"	""
"128"	"115"	"85"	"5"	"124"	"1"	"2"	"469"	"4"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	"4"	"617"	"-"	"617"	""
"129"	"116"	"86"	"1"	"107"	"2"	"2"	"349"	"2"	"1"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"32"	"504"	"-"	"504"	""
"130"	"117"	"87"	"13"	"124"	"3"	"2"	"460"	"4"	"0"	"2"	"2"	"1"	"7"	"4"	"1"	"4"	"11"	"638"	"-"	"638"	""
"131"	"118"	"88"	"55"	"256"	"7"	"1"	"246"	"6"	"6"	"8"	"2"	"2"	"7"	"2"	"1"	"6"	"12"	"617"	"-"	"617"	""
"132"	"119"	"89"	"30"	"239"	"6"	"3"	"118"	"4"	"0"	"13"	"2"	"0"	"1"	"0"	"2"	"6"	"15"	"439"	"-"	"439"	""
"133"	"120"	"89A"	"6"	"121"	"3"	"1"	"65"	"0"	"0"	"4"	"0"	"1"	"0"	"1"	"1"	"2"	"7"	"212"	"-"	"212"	""
"134"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"135"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"137"	"121"	"90"	"2"	"31"	"1"	"4"	"255"	"3"	"2"	"2"	"3"	"3"	"2"	"0"	"2"	"4"	"30"	"344"	"-"	"344"	""
"138"	"122"	"90A"	"3"	"74"	"6"	"0"	"124"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"6"	"217"	"-"	"217"	""
"139"	"123"	"91"	"6"	"27"	"1"	"1"	"294"	"8"	"1"	"4"	"3"	"0"	"3"	"0"	"0"	"0"	"4"	"352"	"-"	"352"	""
"140"	"124"	"91A"	"16"	"211"	"1"	"3"	"106"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"344"	"-"	"344"	""
"141"	"125"	"92"	"5"	"65"	"3"	"1"	"392"	"4"	"2"	"1"	"1"	"1"	"3"	"1"	"2"	"0"	"7"	"488"	"-"	"488"	""
"142"	"126"	"93"	"4"	"76"	"4"	"0"	"390"	"3"	"0"	"2"	"0"	"0"	"8"	"3"	"0"	"2"	"6"	"498"	"-"	"498"	""
"143"	"127"	"94"	"8"	"272"	"7"	"3"	"285"	"2"	"4"	"3"	"5"	"5"	"4"	"1"	"1"	"1"	"4"	"605"	"-"	"605"	""
"144"	"128"	"95"	"12"	"114"	"4"	"4"	"442"	"8"	"0"	"9"	"2"	"28"	"4"	"2"	"1"	"3"	"11"	"644"	"-"	"644"	""
"145"	"129"	"96"	"16"	"319"	"4"	"1"	"85"	"2"	"2"	"2"	"3"	"1"	"0"	"3"	"2"	"4"	"1"	"445"	"-"	"445"	""
"146"	"130"	"96A"	"3"	"137"	"3"	"1"	"155"	"1"	"1"	"0"	"0"	"3"	"3"	"1"	"1"	"4"	"2"	"315"	"-"	"315"	""
"147"	"131"	"97"	"13"	"133"	"2"	"2"	"378"	"5"	"3"	"1"	"1"	"5"	"1"	"0"	"1"	"11"	"13"	"569"	"-"	"569"	""
"148"	"132"	"98"	"21"	"194"	"2"	"0"	"191"	"2"	"1"	"4"	"1"	"0"	"4"	"3"	"1"	"2"	"2"	"428"	"-"	"428"	""
