"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"72"	"48"	"45"	"121"	"78"	"16"	"260"	""	""	"260"
"73"	"49"	"24"	"249"	"40"	"16"	"329"	""	""	"329"
"74"	"49A"	"12"	"147"	"67"	"17"	"243"	""	""	"243"
"75"	"50"	"20"	"228"	"13"	"3"	"264"	""	""	"264"
"76"	"Round Total"	"239"	"1861"	"1207"	"151"	"3458"	"0"	"0"	"3458"
"77"	"C.F.->"	"1207"	"7771"	"8097"	"1233"	"18308"	"0"	"0"	"18308"
"78"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"79"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"80"	"ROUND- V"	""	""	""	""	""	""	""	""
"81"	"B.F.->"	"1207"	"7771"	"8097"	"1233"	"18308"	"0"	"0"	"18308"
"82"	"51"	"23"	"28"	"223"	"38"	"312"	""	""	"312"
"83"	"52"	"25"	"40"	"302"	"30"	"397"	""	""	"397"
"84"	"53"	"27"	"76"	"267"	"28"	"398"	""	""	"398"
"85"	"54"	"15"	"213"	"76"	"23"	"327"	""	""	"327"
"86"	"54A"	"12"	"36"	"164"	"28"	"240"	""	""	"240"
"87"	"55"	"15"	"119"	"95"	"26"	"255"	""	""	"255"
"88"	"55A"	"98"	"126"	"64"	"8"	"296"	""	""	"296"
"89"	"56"	"8"	"42"	"161"	"19"	"230"	""	""	"230"
"90"	"56A"	"9"	"81"	"57"	"8"	"155"	""	""	"155"
"91"	"57"	"12"	"113"	"50"	"9"	"184"	""	""	"184"
"92"	"57A"	"3"	"137"	"19"	"3"	"162"	""	""	"162"
"93"	"58"	"10"	"14"	"310"	"36"	"370"	""	""	"370"
"94"	"58A"	"18"	"116"	"77"	"16"	"227"	""	""	"227"
"95"	"59"	"14"	"238"	"44"	"14"	"310"	""	""	"310"
"96"	"Round Total"	"289"	"1379"	"1909"	"286"	"3863"	"0"	"0"	"3863"
"97"	"C.F.->"	"1496"	"9150"	"10006"	"1519"	"22171"	"0"	"0"	"22171"
"98"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"99"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"100"	"ROUND -VI"	""	""	""	""	""	""	""	""
"101"	"B.F.->"	"1496"	"9150"	"10006"	"1519"	"22171"	"0"	"0"	"22171"
"102"	"60"	"31"	"233"	"186"	"25"	"475"	""	""	"475"
"103"	"61"	"37"	"231"	"95"	"29"	"392"	""	""	"392"
"104"	"62"	"20"	"305"	"57"	"17"	"399"	""	""	"399"
"105"	"63"	"31"	"259"	"58"	"15"	"363"	""	""	"363"
"106"	"64"	"17"	"306"	"143"	"30"	"496"	""	""	"496"
"107"	"65"	"48"	"223"	"74"	"26"	"371"	""	""	"371"
"108"	"66"	"17"	"250"	"65"	"21"	"353"	""	""	"353"
"109"	"67"	"44"	"135"	"60"	"12"	"251"	""	""	"251"
"110"	"68"	"53"	"317"	"53"	"51"	"474"	""	""	"474"
"111"	"69"	"59"	"248"	"117"	"66"	"490"	""	""	"490"
"112"	"70"	"47"	"448"	"77"	"25"	"597"	""	""	"597"
"113"	"71"	"40"	"267"	"100"	"36"	"443"	""	""	"443"
"114"	"72"	"76"	"331"	"122"	"56"	"585"	""	""	"585"
"115"	"73"	"25"	"180"	"29"	"93"	"327"	""	""	"327"
"116"	"Round Total"	"545"	"3733"	"1236"	"502"	"6016"	"0"	"0"	"6016"
"117"	"C.F.->"	"2041"	"12883"	"11242"	"2021"	"28187"	"0"	"0"	"28187"
"118"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"119"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"120"	"ROUND- VII"	""	""	""	""	""	""	""	""
"121"	"B.F.->"	"2041"	"12883"	"11242"	"2021"	"28187"	"0"	"0"	"28187"
"122"	"73A"	"24"	"130"	"63"	"120"	"337"	""	""	"337"
"123"	"74"	"55"	"134"	"61"	"41"	"291"	""	""	"291"
"124"	"75"	"61"	"117"	"112"	"146"	"436"	""	""	"436"
"125"	"76"	"8"	"101"	"19"	"3"	"131"	""	""	"131"
"126"	"77"	"9"	"212"	"34"	"15"	"270"	""	""	"270"
"127"	"78"	"16"	"264"	"32"	"53"	"365"	""	""	"365"
"128"	"79"	"21"	"404"	"44"	"19"	"488"	""	""	"488"
"129"	"80"	"45"	"176"	"88"	"36"	"345"	""	""	"345"
"130"	"81"	"9"	"43"	"86"	"4"	"142"	""	""	"142"
"131"	"81A"	"15"	"141"	"31"	"10"	"197"	""	""	"197"
"132"	"82"	"13"	"234"	"87"	"25"	"359"	""	""	"359"
"133"	"83"	"27"	"213"	"46"	"28"	"314"	""	""	"314"
"134"	"84"	"20"	"135"	"108"	"17"	"280"	""	""	"280"
"135"	"85"	"15"	"210"	"81"	"17"	"323"	""	""	"323"
"136"	"Round Total"	"338"	"2514"	"892"	"534"	"4278"	"0"	"0"	"4278"
"137"	"C.F.->"	"2379"	"15397"	"12134"	"2555"	"32465"	"0"	"0"	"32465"
"138"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"139"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"140"	"ROUND -VIII"	""	""	""	""	""	""	""	""
"141"	"B.F.->"	"2379"	"15397"	"12134"	"2555"	"32465"	"0"	"0"	"32465"
"142"	"86"	"9"	"219"	"88"	"10"	"326"	""	""	"326"
"143"	"86A"	"33"	"96"	"235"	"31"	"395"	""	""	"395"
"144"	"87"	"44"	"270"	"199"	"45"	"558"	""	""	"558"
"145"	"88"	"19"	"136"	"39"	"8"	"202"	""	""	"202"
"146"	"89"	"16"	"259"	"80"	"23"	"378"	""	""	"378"
"147"	"90"	"5"	"35"	"87"	"14"	"141"	""	""	"141"
"148"	"91"	"41"	"78"	"34"	"8"	"161"	""	""	"161"
"149"	"91A"	"10"	"137"	"125"	"11"	"283"	""	""	"283"
"150"	"92"	"37"	"155"	"218"	"46"	"456"	""	""	"456"
"151"	"93"	"12"	"16"	"293"	"34"	"355"	""	""	"355"
"152"	"94"	"11"	"40"	"204"	"25"	"280"	""	""	"280"
"153"	"95"	"10"	"197"	"87"	"9"	"303"	""	""	"303"
"154"	"96"	"9"	"105"	"118"	"37"	"269"	""	""	"269"
"155"	"97"	"23"	"22"	"129"	"22"	"196"	""	""	"196"
"156"	"Round Total"	"279"	"1765"	"1936"	"323"	"4303"	"0"	"0"	"4303"
"157"	"C.F.->"	"2658"	"17162"	"14070"	"2878"	"36768"	"0"	"0"	"36768"
"158"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"159"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"160"	"ROUND- IX"	""	""	""	""	""	""	""	""
"161"	"B.F.->"	"2658"	"17162"	"14070"	"2878"	"36768"	"0"	"0"	"36768"
"162"	"98"	"32"	"195"	"76"	"35"	"338"	""	""	"338"
"163"	"99"	"23"	"59"	"138"	"21"	"241"	""	""	"241"
"164"	"100"	"62"	"192"	"185"	"19"	"458"	""	""	"458"
"165"	"101"	"61"	"135"	"395"	"52"	"643"	""	""	"643"
"166"	"102"	"10"	"143"	"33"	"4"	"190"	""	""	"190"
"167"	"103"	"28"	"249"	"67"	"22"	"366"	""	""	"366"
"168"	"104"	"19"	"227"	"29"	"8"	"283"	""	""	"283"
"169"	"105"	"28"	"512"	"46"	"11"	"597"	""	""	"597"
"170"	"106"	"33"	"352"	"80"	"11"	"476"	""	""	"476"
"171"	"107"	"11"	"15"	"232"	"17"	"275"	""	""	"275"
"172"	"108"	"25"	"205"	"87"	"27"	"344"	""	""	"344"
"173"	"109"	"8"	"95"	"179"	"23"	"305"	""	""	"305"
"174"	"110"	"29"	"91"	"102"	"13"	"235"	""	""	"235"
"175"	"111"	"26"	"39"	"355"	"18"	"438"	""	""	"438"
"176"	"Round Total"	"395"	"2509"	"2004"	"281"	"5189"	"0"	"0"	"5189"
"177"	"C.F.->"	"3053"	"19671"	"16074"	"3159"	"41957"	"0"	"0"	"41957"
"178"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"179"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"180"	"ROUND -X"	""	""	""	""	""	""	""	""
"181"	"B.F.->"	"3053"	"19671"	"16074"	"3159"	"41957"	"0"	"0"	"41957"
"182"	"112"	"31"	"458"	"53"	"7"	"549"	""	""	"549"
"183"	"113"	"31"	"96"	"192"	"31"	"350"	""	""	"350"
"184"	"113A"	"7"	"55"	"122"	"11"	"195"	""	""	"195"
"185"	"114"	"113"	"65"	"38"	"6"	"222"	""	""	"222"
"186"	"114A"	"27"	"113"	"54"	"3"	"197"	""	""	"197"
"187"	"115"	"151"	"88"	"35"	"5"	"279"	""	""	"279"
"188"	"116"	"167"	"76"	"33"	"9"	"285"	""	""	"285"
"189"	"117"	"78"	"106"	"16"	"9"	"209"	""	""	"209"
"190"	"118"	"11"	"192"	"131"	"23"	"357"	""	""	"357"
"191"	"119"	"27"	"174"	"133"	"10"	"344"	""	""	"344"
"192"	"120"	"8"	"106"	"83"	"5"	"202"	""	""	"202"
"193"	"120A"	"3"	"96"	"31"	"5"	"135"	""	""	"135"
"194"	"121"	"12"	"113"	"54"	"7"	"186"	""	""	"186"
"195"	"121A"	"11"	"66"	"108"	"11"	"196"	""	""	"196"
"196"	"Round Total"	"677"	"1804"	"1083"	"142"	"3706"	"0"	"0"	"3706"
"197"	"C.F.->"	"3730"	"21475"	"17157"	"3301"	"45663"	"0"	"0"	"45663"
"198"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"199"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"200"	"ROUND- XI"	""	""	""	""	""	""	""	""
"201"	"B.F.->"	"3730"	"21475"	"17157"	"3301"	"45663"	"0"	"0"	"45663"
"202"	"122"	"12"	"93"	"67"	"9"	"181"	""	""	"181"
"203"	"123"	"74"	"120"	"55"	"17"	"266"	""	""	"266"
"204"	"124"	"58"	"116"	"119"	"22"	"315"	""	""	"315"
"205"	"125"	"28"	"148"	"138"	"26"	"340"	""	""	"340"
"206"	"126"	"28"	"352"	"46"	"9"	"435"	""	""	"435"
"207"	"127"	"147"	"230"	"60"	"12"	"449"	""	""	"449"
"208"	"128"	"230"	"146"	"57"	"9"	"442"	""	""	"442"
"209"	"129"	"174"	"103"	"117"	"20"	"414"	""	""	"414"
"210"	"130"	"9"	"47"	"118"	"16"	"190"	""	""	"190"
"211"	"130A"	"9"	"66"	"136"	"25"	"236"	""	""	"236"
"212"	"131"	"12"	"41"	"301"	"32"	"386"	""	""	"386"
"213"	"132"	"30"	"381"	"89"	"14"	"514"	""	""	"514"
"214"	"133"	"57"	"368"	"66"	"35"	"526"	""	""	"526"
"215"	"134"	"95"	"323"	"122"	"39"	"579"	""	""	"579"
"216"	"Round Total"	"963"	"2534"	"1491"	"285"	"5273"	"0"	"0"	"5273"
"217"	"C.F.->"	"4693"	"24009"	"18648"	"3586"	"50936"	"0"	"0"	"50936"
"218"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"219"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"220"	"ROUND -XII"	""	""	""	""	""	""	""	""
"221"	"B.F.->"	"4693"	"24009"	"18648"	"3586"	"50936"	"0"	"0"	"50936"
"222"	"135"	"37"	"379"	"105"	"21"	"542"	""	""	"542"
"223"	"136"	"62"	"104"	"70"	"15"	"251"	""	""	"251"
"224"	"137"	"17"	"180"	"54"	"25"	"276"	""	""	"276"
"225"	"138"	"11"	"158"	"90"	"6"	"265"	""	""	"265"
"226"	"139"	"22"	"136"	"97"	"22"	"277"	""	""	"277"
"227"	"140"	"121"	"81"	"197"	"31"	"430"	""	""	"430"
"228"	"141"	"17"	"97"	"73"	"28"	"215"	""	""	"215"
"229"	"142"	"20"	"135"	"47"	"7"	"209"	""	""	"209"
"230"	"143"	"239"	"40"	"57"	"14"	"350"	""	""	"350"
"231"	"143A"	"252"	"46"	"33"	"16"	"347"	""	""	"347"
"232"	"144"	"18"	"218"	"35"	"16"	"287"	""	""	"287"
"233"	"145"	"21"	"141"	"266"	"42"	"470"	""	""	"470"
"234"	"146"	"19"	"136"	"116"	"14"	"285"	""	""	"285"
"235"	"147"	"33"	"170"	"314"	"100"	"617"	""	""	"617"
"236"	"Round Total"	"889"	"2021"	"1554"	"357"	"4821"	"0"	"0"	"4821"
"237"	"C.F.->"	"5582"	"26030"	"20202"	"3943"	"55757"	"0"	"0"	"55757"
"238"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"239"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"240"	"ROUND- XIII"	""	""	""	""	""	""	""	""
"241"	"B.F.->"	"5582"	"26030"	"20202"	"3943"	"55757"	"0"	"0"	"55757"
"242"	"148"	"63"	"275"	"143"	"34"	"515"	""	""	"515"
"243"	"149"	"10"	"44"	"208"	"24"	"286"	""	""	"286"
"244"	"150"	"18"	"166"	"158"	"23"	"365"	""	""	"365"
"245"	"151"	"30"	"34"	"224"	"20"	"308"	""	""	"308"
"246"	"152"	"33"	"176"	"174"	"13"	"396"	""	""	"396"
"247"	"153"	"43"	"232"	"159"	"33"	"467"	""	""	"467"
"248"	"154"	"56"	"322"	"107"	"18"	"503"	""	""	"503"
"249"	"155"	"27"	"72"	"282"	"36"	"417"	""	""	"417"
"250"	"156"	"22"	"118"	"163"	"28"	"331"	""	""	"331"
"251"	"157"	"25"	"290"	"52"	"14"	"381"	""	""	"381"
"252"	"158"	"25"	"208"	"51"	"13"	"297"	""	""	"297"
"253"	"159"	"113"	"122"	"63"	"6"	"304"	""	""	"304"
"254"	"159A"	"19"	"216"	"46"	"6"	"287"	""	""	"287"
"255"	"160"	"17"	"261"	"219"	"13"	"510"	""	""	"510"
"256"	"Round Total"	"501"	"2536"	"2049"	"281"	"5367"	"0"	"0"	"5367"
"257"	"C.F.->"	"6083"	"28566"	"22251"	"4224"	"61124"	"0"	"0"	"61124"
"258"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"259"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"260"	"ROUND -XIV"	""	""	""	""	""	""	""	""
"261"	"B.F.->"	"6083"	"28566"	"22251"	"4224"	"61124"	"0"	"0"	"61124"
"262"	"161"	"40"	"386"	"33"	"17"	"476"	""	""	"476"
"263"	"162"	"30"	"103"	"140"	"24"	"297"	""	""	"297"
"264"	"162A"	"14"	"138"	"84"	"12"	"248"	""	""	"248"
"265"	"163"	"13"	"118"	"84"	"7"	"222"	""	""	"222"
"266"	"164"	"90"	"141"	"53"	"13"	"297"	""	""	"297"
"267"	"165"	"7"	"126"	"23"	"5"	"161"	""	""	"161"
"268"	"166"	"11"	"256"	"21"	"10"	"298"	""	""	"298"
"269"	"167"	"35"	"120"	"35"	"5"	"195"	""	""	"195"
"270"	"168"	"14"	"255"	"47"	"10"	"326"	""	""	"326"
"271"	"169"	"17"	"169"	"42"	"7"	"235"	""	""	"235"
"272"	"170"	"27"	"293"	"91"	"33"	"444"	""	""	"444"
"273"	"171"	"26"	"249"	"27"	"2"	"304"	""	""	"304"
"274"	"172"	"131"	"167"	"25"	"9"	"332"	""	""	"332"
"275"	"173"	"12"	"163"	"78"	"7"	"260"	""	""	"260"
"276"	"Round Total"	"467"	"2684"	"783"	"161"	"4095"	"0"	"0"	"4095"
"277"	"C.F.->"	"6550"	"31250"	"23034"	"4385"	"65219"	"0"	"0"	"65219"
"278"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
