"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"34"	""	"23"	"61"	"498"	"19"	"12"	"9"	"599"	"0"	"599"	"0"
"35"	""	"Total"	"1912"	"4710"	"344"	"136"	"172"	"7274"	"0"	"7274"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"39"	"Round - 3"	"24"	"192"	"247"	"19"	"5"	"18"	"481"	"0"	"481"	"0"
"40"	""	"25"	"145"	"311"	"13"	"2"	"13"	"484"	"0"	"484"	"0"
"41"	""	"26"	"147"	"261"	"43"	"17"	"18"	"486"	"0"	"486"	"0"
"42"	""	"26-A"	"126"	"240"	"45"	"12"	"25"	"448"	"0"	"448"	"0"
"43"	""	"27"	"173"	"264"	"44"	"59"	"13"	"553"	"0"	"553"	"0"
"44"	""	"28"	"442"	"77"	"21"	"8"	"15"	"563"	"0"	"563"	"0"
"45"	""	"29"	"396"	"294"	"30"	"21"	"20"	"761"	"0"	"761"	"0"
"46"	""	"30"	"164"	"162"	"55"	"13"	"13"	"407"	"0"	"407"	"0"
"47"	""	"31"	"111"	"288"	"72"	"22"	"40"	"533"	"0"	"533"	"0"
"48"	""	"32"	"267"	"96"	"22"	"17"	"28"	"430"	"0"	"430"	"0"
"49"	""	"33"	"338"	"54"	"9"	"6"	"13"	"420"	"0"	"420"	"0"
"50"	""	"34"	"366"	"251"	"33"	"14"	"26"	"690"	"0"	"690"	"0"
"51"	""	"35"	"91"	"90"	"33"	"21"	"8"	"243"	"0"	"243"	"0"
"52"	""	"36"	"70"	"469"	"36"	"14"	"22"	"611"	"0"	"611"	"0"
"53"	""	"Total"	"3028"	"3104"	"475"	"231"	"272"	"7110"	"0"	"7110"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"57"	"Round - 4"	"37"	"110"	"337"	"44"	"12"	"10"	"513"	"0"	"513"	"0"
"58"	""	"38"	"181"	"316"	"54"	"29"	"34"	"614"	"0"	"614"	"0"
"59"	""	"39"	"108"	"374"	"24"	"18"	"21"	"545"	"0"	"545"	"0"
"60"	""	"40"	"77"	"168"	"121"	"29"	"23"	"418"	"0"	"418"	"0"
"61"	""	"41"	"240"	"235"	"32"	"14"	"23"	"544"	"0"	"544"	"0"
"62"	""	"42"	"127"	"352"	"37"	"16"	"16"	"548"	"0"	"548"	"0"
"63"	""	"43"	"173"	"118"	"63"	"15"	"8"	"377"	"0"	"377"	"0"
"64"	""	"44"	"187"	"160"	"92"	"15"	"10"	"464"	"0"	"464"	"0"
"65"	""	"44-A"	"104"	"117"	"120"	"21"	"20"	"382"	"0"	"382"	"0"
"66"	""	"45"	"360"	"107"	"52"	"16"	"11"	"546"	"0"	"546"	"0"
"67"	""	"46"	"204"	"102"	"94"	"14"	"7"	"421"	"0"	"421"	"0"
"68"	""	"47"	"118"	"49"	"167"	"26"	"17"	"377"	"0"	"377"	"0"
"69"	""	"48"	"220"	"45"	"105"	"14"	"24"	"408"	"0"	"408"	"0"
"70"	""	"48-A"	"221"	"35"	"97"	"15"	"18"	"386"	"0"	"386"	"0"
"71"	""	"Total"	"2430"	"2515"	"1102"	"254"	"242"	"6543"	"0"	"6543"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"75"	"Round - 5"	"49"	"206"	"99"	"50"	"10"	"11"	"376"	"0"	"376"	"0"
"76"	""	"50"	"162"	"115"	"95"	"18"	"25"	"415"	"0"	"415"	"0"
"77"	""	"51"	"50"	"290"	"28"	"11"	"5"	"384"	"0"	"384"	"0"
"78"	""	"52"	"141"	"225"	"30"	"12"	"6"	"414"	"0"	"414"	"0"
"79"	""	"52-A"	"89"	"156"	"41"	"12"	"11"	"309"	"0"	"309"	"0"
"80"	""	"53"	"144"	"401"	"32"	"18"	"27"	"622"	"0"	"622"	"0"
"81"	""	"54"	"173"	"224"	"58"	"27"	"39"	"521"	"0"	"521"	"0"
"82"	""	"55"	"175"	"228"	"33"	"14"	"25"	"475"	"0"	"475"	"0"
"83"	""	"56"	"190"	"231"	"36"	"20"	"24"	"501"	"0"	"501"	"0"
"84"	""	"57"	"228"	"269"	"17"	"14"	"24"	"552"	"0"	"552"	"0"
"85"	""	"58"	"453"	"21"	"12"	"2"	"20"	"508"	"0"	"508"	"0"
"86"	""	"59"	"219"	"308"	"32"	"11"	"23"	"593"	"0"	"593"	"0"
"87"	""	"60"	"183"	"164"	"22"	"7"	"29"	"405"	"0"	"405"	"0"
"88"	""	"60-A"	"189"	"152"	"16"	"11"	"19"	"387"	"0"	"387"	"0"
"89"	""	"Total"	"2602"	"2883"	"502"	"187"	"288"	"6462"	"0"	"6462"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"92"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"93"	"Round - 6"	"61"	"240"	"208"	"49"	"23"	"22"	"542"	"0"	"542"	"0"
"94"	""	"62"	"335"	"212"	"41"	"29"	"35"	"652"	"0"	"652"	"0"
"95"	""	"63"	"183"	"420"	"38"	"34"	"31"	"706"	"0"	"706"	"0"
"96"	""	"64"	"205"	"171"	"43"	"12"	"25"	"456"	"0"	"456"	"0"
"97"	""	"65"	"155"	"262"	"25"	"35"	"44"	"521"	"0"	"521"	"0"
"98"	""	"66"	"259"	"149"	"18"	"11"	"63"	"500"	"0"	"500"	"0"
"99"	""	"67"	"232"	"311"	"45"	"19"	"42"	"649"	"0"	"649"	"0"
"100"	""	"68"	"311"	"288"	"24"	"19"	"104"	"746"	"0"	"746"	"0"
"101"	""	"69"	"239"	"232"	"35"	"27"	"42"	"575"	"0"	"575"	"0"
"102"	""	"70"	"130"	"206"	"8"	"6"	"8"	"358"	"0"	"358"	"0"
"103"	""	"71"	"146"	"277"	"61"	"10"	"23"	"517"	"0"	"517"	"0"
"104"	""	"72"	"59"	"366"	"9"	"0"	"4"	"438"	"0"	"438"	"0"
"105"	""	"73"	"234"	"156"	"13"	"4"	"11"	"418"	"0"	"418"	"0"
"106"	""	"74"	"201"	"452"	"29"	"22"	"23"	"727"	"0"	"727"	"0"
"107"	""	"Total"	"2929"	"3710"	"438"	"251"	"477"	"7805"	"0"	"7805"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"111"	"Round - 7"	"75"	"183"	"188"	"14"	"8"	"8"	"401"	"0"	"401"	"0"
"112"	""	"76"	"161"	"235"	"31"	"8"	"11"	"446"	"0"	"446"	"0"
"113"	""	"77"	"289"	"315"	"41"	"19"	"31"	"695"	"0"	"695"	"0"
"114"	""	"78"	"164"	"268"	"130"	"27"	"37"	"626"	"0"	"626"	"0"
"115"	""	"79"	"297"	"329"	"35"	"25"	"25"	"711"	"0"	"711"	"0"
"116"	""	"80"	"256"	"303"	"71"	"16"	"21"	"667"	"0"	"667"	"0"
"117"	""	"81"	"163"	"310"	"48"	"19"	"41"	"581"	"0"	"581"	"0"
"118"	""	"82"	"248"	"173"	"101"	"9"	"4"	"535"	"0"	"535"	"0"
"119"	""	"83"	"185"	"119"	"30"	"4"	"12"	"350"	"0"	"350"	"0"
"120"	""	"84"	"69"	"108"	"62"	"22"	"15"	"276"	"0"	"276"	"0"
"121"	""	"84-A"	"72"	"55"	"97"	"10"	"9"	"243"	"0"	"243"	"0"
"122"	""	"85"	"210"	"29"	"88"	"16"	"22"	"365"	"0"	"365"	"0"
"123"	""	"86"	"273"	"23"	"128"	"11"	"18"	"453"	"0"	"453"	"0"
"124"	""	"87"	"193"	"104"	"201"	"31"	"19"	"548"	"0"	"548"	"0"
"125"	""	"Total"	"2763"	"2559"	"1077"	"225"	"273"	"6897"	"0"	"6897"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"129"	"Round - 8"	"88"	"207"	"294"	"27"	"16"	"32"	"576"	"0"	"576"	"0"
"130"	""	"89"	"321"	"94"	"58"	"10"	"8"	"491"	"0"	"491"	"0"
"131"	""	"90"	"156"	"270"	"51"	"16"	"18"	"511"	"0"	"511"	"0"
"132"	""	"91"	"225"	"94"	"57"	"17"	"25"	"418"	"0"	"418"	"0"
"133"	""	"92"	"23"	"178"	"12"	"14"	"21"	"248"	"0"	"248"	"0"
"134"	""	"93"	"164"	"54"	"212"	"25"	"19"	"474"	"0"	"474"	"0"
"135"	""	"94"	"272"	"296"	"51"	"17"	"42"	"678"	"0"	"678"	"0"
"136"	""	"95"	"198"	"92"	"23"	"9"	"6"	"328"	"0"	"328"	"0"
"137"	""	"95-A"	"104"	"47"	"59"	"10"	"20"	"240"	"0"	"240"	"0"
"138"	""	"96"	"162"	"127"	"12"	"13"	"17"	"331"	"0"	"331"	"0"
"139"	""	"97"	"60"	"253"	"23"	"21"	"15"	"372"	"0"	"372"	"0"
"140"	""	"98"	"286"	"15"	"10"	"5"	"12"	"328"	"0"	"328"	"0"
"141"	""	"99"	"178"	"105"	"22"	"3"	"17"	"325"	"0"	"325"	"0"
"142"	""	"99-A"	"83"	"133"	"42"	"8"	"11"	"277"	"0"	"277"	"0"
"143"	""	"Total"	"2439"	"2052"	"659"	"184"	"263"	"5597"	"0"	"5597"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"147"	"Round - 9"	"100"	"56"	"274"	"24"	"8"	"13"	"375"	"0"	"375"	"0"
"148"	""	"101"	"202"	"144"	"38"	"12"	"6"	"402"	"0"	"402"	"0"
"149"	""	"102"	"379"	"69"	"50"	"14"	"25"	"537"	"0"	"537"	"0"
"150"	""	"103"	"169"	"120"	"166"	"16"	"22"	"493"	"0"	"493"	"0"
"151"	""	"104"	"135"	"339"	"25"	"12"	"18"	"529"	"0"	"529"	"0"
"152"	""	"105"	"122"	"60"	"21"	"1"	"9"	"213"	"0"	"213"	"0"
"153"	""	"106"	"62"	"208"	"30"	"13"	"22"	"335"	"0"	"335"	"0"
"154"	""	"107"	"132"	"146"	"96"	"19"	"13"	"406"	"0"	"406"	"0"
"155"	""	"108"	"170"	"167"	"21"	"9"	"8"	"375"	"0"	"375"	"0"
"156"	""	"109"	"40"	"233"	"19"	"10"	"21"	"323"	"0"	"323"	"0"
"157"	""	"110"	"222"	"212"	"103"	"29"	"27"	"593"	"0"	"593"	"0"
"158"	""	"111"	"276"	"117"	"108"	"11"	"21"	"533"	"0"	"533"	"0"
"159"	""	"112"	"116"	"135"	"27"	"13"	"18"	"309"	"0"	"309"	"0"
"160"	""	"112-A"	"165"	"117"	"33"	"16"	"20"	"351"	"0"	"351"	"0"
"161"	""	"Total"	"2246"	"2341"	"761"	"183"	"243"	"5774"	"0"	"5774"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"165"	"Round - 10"	"113"	"173"	"223"	"56"	"6"	"26"	"484"	"0"	"484"	"0"
"166"	""	"114"	"156"	"166"	"119"	"23"	"18"	"482"	"0"	"482"	"0"
"167"	""	"115"	"132"	"184"	"40"	"6"	"8"	"370"	"0"	"370"	"0"
"168"	""	"116"	"151"	"174"	"34"	"0"	"3"	"362"	"0"	"362"	"0"
"169"	""	"116-A"	"136"	"234"	"16"	"4"	"6"	"396"	"0"	"396"	"0"
"170"	""	"117"	"276"	"321"	"71"	"26"	"39"	"733"	"0"	"733"	"0"
"171"	""	"118"	"248"	"131"	"98"	"20"	"15"	"512"	"0"	"512"	"0"
"172"	""	"119"	"188"	"297"	"42"	"14"	"14"	"555"	"0"	"555"	"0"
"173"	""	"120"	"87"	"315"	"26"	"14"	"29"	"471"	"0"	"471"	"0"
"174"	""	"121"	"79"	"334"	"24"	"10"	"7"	"454"	"0"	"454"	"0"
"175"	""	"122"	"142"	"301"	"40"	"15"	"25"	"523"	"0"	"523"	"0"
"176"	""	"123"	"228"	"213"	"96"	"19"	"25"	"581"	"0"	"581"	"0"
"177"	""	"124"	"140"	"227"	"26"	"3"	"15"	"411"	"0"	"411"	"0"
"178"	""	"125"	"413"	"47"	"32"	"8"	"21"	"521"	"0"	"521"	"0"
"179"	""	"Total"	"2549"	"3167"	"720"	"168"	"251"	"6855"	"0"	"6855"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"183"	"Round - 11"	"126"	"75"	"244"	"16"	"19"	"10"	"364"	"0"	"364"	"0"
"184"	""	"126-A"	"174"	"101"	"92"	"20"	"29"	"416"	"0"	"416"	"0"
"185"	""	"127"	"35"	"267"	"10"	"13"	"10"	"335"	"0"	"335"	"0"
"186"	""	"128"	"272"	"36"	"22"	"7"	"13"	"350"	"0"	"350"	"0"
"187"	""	"128-A"	"174"	"33"	"6"	"5"	"10"	"228"	"0"	"228"	"0"
"188"	""	"129"	"75"	"333"	"27"	"9"	"20"	"464"	"0"	"464"	"0"
"189"	""	"130"	"320"	"26"	"5"	"8"	"46"	"405"	"0"	"405"	"0"
"190"	""	"131"	"105"	"96"	"64"	"12"	"18"	"295"	"0"	"295"	"0"
"191"	""	"132"	"131"	"164"	"39"	"7"	"4"	"345"	"0"	"345"	"0"
"192"	""	"133"	"53"	"53"	"4"	"1"	"4"	"115"	"0"	"115"	"0"
"193"	""	"134"	"257"	"94"	"17"	"12"	"14"	"394"	"0"	"394"	"0"
"194"	""	"135"	"102"	"101"	"55"	"3"	"3"	"264"	"0"	"264"	"0"
"195"	""	"136"	"139"	"267"	"55"	"10"	"10"	"481"	"0"	"481"	"0"
"196"	""	"137"	"247"	"370"	"27"	"23"	"35"	"702"	"0"	"702"	"0"
"197"	""	"Total"	"2159"	"2185"	"439"	"149"	"226"	"5158"	"0"	"5158"	"0"
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"201"	"Round - 12"	"138"	"265"	"193"	"34"	"12"	"23"	"527"	"0"	"527"	"0"
"202"	""	"139"	"174"	"90"	"17"	"6"	"20"	"307"	"0"	"307"	"0"
"203"	""	"140"	"127"	"268"	"56"	"23"	"25"	"499"	"0"	"499"	"0"
"204"	""	"141"	"306"	"161"	"19"	"14"	"20"	"520"	"0"	"520"	"0"
"205"	""	"142"	"211"	"119"	"37"	"31"	"43"	"441"	"0"	"441"	"0"
"206"	""	"143"	"259"	"57"	"36"	"6"	"11"	"369"	"0"	"369"	"0"
"207"	""	"144"	"282"	"50"	"11"	"2"	"12"	"357"	"0"	"357"	"0"
"208"	""	"144-A"	"173"	"142"	"26"	"6"	"18"	"365"	"0"	"365"	"0"
"209"	""	"145"	"274"	"118"	"18"	"10"	"32"	"452"	"0"	"452"	"0"
"210"	""	"146"	"202"	"187"	"101"	"18"	"10"	"518"	"0"	"518"	"0"
"211"	""	"147"	"304"	"175"	"75"	"20"	"18"	"592"	"0"	"592"	"0"
"212"	""	"148"	"456"	"119"	"41"	"13"	"27"	"656"	"0"	"656"	"0"
"213"	""	"149"	"156"	"93"	"11"	"8"	"8"	"276"	"0"	"276"	"0"
"214"	""	"150"	"109"	"399"	"23"	"19"	"23"	"573"	"0"	"573"	"0"
"215"	""	"Total"	"3298"	"2171"	"505"	"188"	"290"	"6452"	"0"	"6452"	"0"
"216"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"218"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"219"	"Round - 13"	"151"	"188"	"238"	"39"	"17"	"11"	"493"	"0"	"493"	"0"
"220"	""	"152"	"206"	"232"	"20"	"7"	"14"	"479"	"0"	"479"	"0"
"221"	""	"153"	"171"	"204"	"16"	"10"	"8"	"409"	"0"	"409"	"0"
"222"	""	"154"	"230"	"165"	"35"	"6"	"20"	"456"	"0"	"456"	"0"
"223"	""	"155"	"163"	"69"	"40"	"13"	"17"	"302"	"0"	"302"	"0"
"224"	""	"156"	"251"	"128"	"56"	"16"	"20"	"471"	"0"	"471"	"0"
"225"	""	"157"	"168"	"292"	"33"	"15"	"34"	"542"	"0"	"542"	"0"
"226"	""	"158"	"94"	"245"	"19"	"15"	"13"	"386"	"0"	"386"	"0"
"227"	""	"158-A"	"113"	"131"	"33"	"13"	"13"	"303"	"0"	"303"	"0"
"228"	""	"159"	"387"	"100"	"27"	"6"	"8"	"528"	"0"	"528"	"0"
"229"	""	"160"	"94"	"148"	"12"	"6"	"1"	"261"	"0"	"261"	"0"
"230"	""	"161"	"315"	"161"	"43"	"13"	"11"	"543"	"0"	"543"	"0"
"231"	""	"162"	"326"	"75"	"37"	"20"	"22"	"480"	"0"	"480"	"0"
"232"	""	"163"	"428"	"35"	"11"	"8"	"12"	"494"	"0"	"494"	"0"
"233"	""	"Total"	"3134"	"2223"	"421"	"165"	"204"	"6147"	"0"	"6147"	"0"
"234"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"236"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"237"	"Round - 14"	"164"	"454"	"60"	"18"	"6"	"5"	"543"	"0"	"543"	"0"
"238"	""	"165"	"248"	"109"	"11"	"9"	"9"	"386"	"0"	"386"	"0"
"239"	""	"166"	"284"	"135"	"14"	"10"	"14"	"457"	"0"	"457"	"0"
"240"	""	"167"	"175"	"204"	"31"	"11"	"7"	"428"	"0"	"428"	"0"
"241"	""	"168"	"158"	"158"	"26"	"9"	"21"	"372"	"0"	"372"	"0"
"242"	""	"169"	"92"	"190"	"0"	"4"	"4"	"290"	"0"	"290"	"0"
"243"	""	"170"	"206"	"328"	"70"	"9"	"7"	"620"	"0"	"620"	"0"
"244"	""	"171"	"296"	"152"	"52"	"17"	"33"	"550"	"0"	"550"	"0"
"245"	""	"172"	"368"	"107"	"18"	"10"	"31"	"534"	"0"	"534"	"0"
"246"	""	"173"	"172"	"125"	"12"	"7"	"5"	"321"	"0"	"321"	"0"
"247"	""	"174"	"160"	"227"	"13"	"12"	"9"	"421"	"0"	"421"	"0"
"248"	""	"175"	"230"	"235"	"33"	"12"	"17"	"527"	"0"	"527"	"0"
"249"	""	"176"	"132"	"145"	"41"	"31"	"16"	"365"	"0"	"365"	"0"
"250"	""	"177"	"130"	"79"	"17"	"11"	"27"	"264"	"0"	"264"	"0"
"251"	""	"Total"	"3105"	"2254"	"356"	"158"	"205"	"6078"	"0"	"6078"	"0"
"252"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""
"253"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""
"254"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""
"255"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""
"256"	"Total No. of Electors in Assembly Constituency :-  1,86,780"	""	""	""	""	""	""	""	""	""	""
"257"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 77-BABUBARHI"	""	""	""	""	""	""	""	""	""	""
"258"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"259"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"260"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"261"	"Round - 15"	"177-A"	"135"	"171"	"17"	"5"	"22"	"350"	"0"	"350"	"0"
"262"	""	"178"	"170"	"156"	"31"	"11"	"13"	"381"	"0"	"381"	"0"
"263"	""	"179"	"34"	"163"	"8"	"9"	"4"	"218"	"0"	"218"	"0"
"264"	""	"180"	"244"	"141"	"7"	"10"	"14"	"416"	"0"	"416"	"0"
"265"	""	"Total"	"583"	"631"	"63"	"35"	"53"	"1365"	"0"	"1365"	"0"
"266"	"Total No. of votes recorded at Polling stations"	""	"37744"	"39826"	"8412"	"2737"	"3739"	"92458"	""	"92458"	"0"
"267"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""
"268"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""
