"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"21"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	""	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""
"23"	"15"	"17"	""	"98"	""	"146"	""	"148"	""	"8"	""	"7"	""	"6"	""	"10"	""	"4"	""	"4"	""	"448"	""	""	""	""	""	""	""
"24"	"16"	"22"	""	"72"	""	"102"	""	"242"	""	"13"	""	"26"	""	"7"	""	"12"	""	"3"	""	"6"	""	"505"	""	""	""	""	""	""	""
"25"	"17"	"5"	""	"13"	""	"152"	""	"124"	""	"7"	""	"3"	""	"6"	""	"14"	""	"3"	""	"11"	""	"338"	""	""	""	""	""	""	""
"26"	"18"	"13"	""	"266"	""	"68"	""	"95"	""	"4"	""	"8"	""	"5"	""	"7"	""	"5"	""	"4"	""	"475"	""	""	""	""	""	""	""
"27"	"19"	"13"	""	"25"	""	"383"	""	"116"	""	"4"	""	"6"	""	"1"	""	"6"	""	"4"	""	"11"	""	"569"	""	""	""	""	""	""	""
"28"	"20"	"24"	""	"20"	""	"83"	""	"161"	""	"10"	""	"9"	""	"3"	""	"7"	""	"7"	""	"10"	""	"334"	""	""	""	""	""	""	""
"29"	"21"	"19"	""	"20"	""	"86"	""	"188"	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	""	"4"	""	"322"	""	""	""	""	""	""	""
"30"	"22"	"36"	""	"49"	""	"115"	""	"134"	""	"9"	""	"5"	""	"5"	""	"9"	""	"2"	""	"7"	""	"371"	""	""	""	""	""	""	""
"31"	"23"	"28"	""	"15"	""	"193"	""	"86"	""	"12"	""	"8"	""	"5"	""	"9"	""	"4"	""	"37"	""	"397"	""	""	""	""	""	""	""
"32"	"24"	"29"	""	"165"	""	"60"	""	"59"	""	"2"	""	"1"	""	"1"	""	"13"	""	"3"	""	"5"	""	"338"	""	""	""	""	""	""	""
"33"	"25"	"81"	""	"63"	""	"125"	""	"81"	""	"7"	""	"3"	""	"4"	""	"9"	""	"4"	""	"7"	""	"384"	""	""	""	""	""	""	""
"34"	"26"	"112"	""	"176"	""	"92"	""	"77"	""	"8"	""	"6"	""	"7"	""	"6"	""	"4"	""	"8"	""	"496"	""	""	""	""	""	""	""
"35"	"27"	"10"	""	"245"	""	"37"	""	"110"	""	"5"	""	"4"	""	"7"	""	"10"	""	"7"	""	"7"	""	"442"	""	""	""	""	""	""	""
"36"	"28"	"99"	""	"105"	""	"128"	""	"19"	""	"0"	""	"5"	""	"1"	""	"16"	""	"7"	""	"11"	""	"391"	""	""	""	""	""	""	""
"37"	"TOTAL"	"508"	""	"1332"	""	"1770"	""	"1640"	""	"90"	""	"94"	""	"58"	""	"128"	""	"58"	""	"132"	""	"5810"	""	""	""	""	""	""	""
"38"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	""	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""
"42"	"29"	"12"	""	"183"	""	"113"	""	"75"	""	"4"	""	"10"	""	"9"	""	"15"	""	"11"	""	"12"	""	"444"	""	""	""	""	""	""	""
"43"	"30"	"22"	""	"112"	""	"177"	""	"48"	""	"4"	""	"2"	""	"3"	""	"5"	""	"8"	""	"7"	""	"388"	""	""	""	""	""	""	""
"44"	"30A"	"120"	""	"71"	""	"86"	""	"104"	""	"6"	""	"6"	""	"6"	""	"6"	""	"0"	""	"1"	""	"406"	""	""	""	""	""	""	""
"45"	"31"	"18"	""	"229"	""	"77"	""	"191"	""	"10"	""	"10"	""	"8"	""	"7"	""	"5"	""	"11"	""	"566"	""	""	""	""	""	""	""
"46"	"32"	"6"	""	"48"	""	"200"	""	"71"	""	"8"	""	"6"	""	"1"	""	"3"	""	"1"	""	"7"	""	"351"	""	""	""	""	""	""	""
"47"	"33"	"12"	""	"295"	""	"16"	""	"75"	""	"2"	""	"4"	""	"3"	""	"6"	""	"7"	""	"2"	""	"422"	""	""	""	""	""	""	""
"48"	"34"	"16"	""	"28"	""	"104"	""	"115"	""	"7"	""	"3"	""	"5"	""	"3"	""	"0"	""	"5"	""	"286"	""	""	""	""	""	""	""
"49"	"35"	"9"	""	"34"	""	"174"	""	"60"	""	"4"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"283"	""	""	""	""	""	""	""
"50"	"36"	"13"	""	"86"	""	"40"	""	"281"	""	"14"	""	"10"	""	"19"	""	"15"	""	"12"	""	"34"	""	"524"	""	""	""	""	""	""	""
"51"	"37"	"9"	""	"16"	""	"8"	""	"235"	""	"9"	""	"20"	""	"13"	""	"5"	""	"1"	""	"6"	""	"322"	""	""	""	""	""	""	""
"52"	"38"	"14"	""	"36"	""	"156"	""	"333"	""	"20"	""	"18"	""	"12"	""	"9"	""	"7"	""	"8"	""	"613"	""	""	""	""	""	""	""
"53"	"39"	"24"	""	"80"	""	"165"	""	"33"	""	"0"	""	"4"	""	"1"	""	"8"	""	"3"	""	"4"	""	"322"	""	""	""	""	""	""	""
"54"	"40"	"38"	""	"116"	""	"67"	""	"19"	""	"0"	""	"0"	""	"0"	""	"5"	""	"5"	""	"2"	""	"252"	""	""	""	""	""	""	""
"55"	"40A"	"15"	""	"237"	""	"101"	""	"25"	""	"4"	""	"1"	""	"3"	""	"6"	""	"5"	""	"4"	""	"401"	""	""	""	""	""	""	""
"56"	"TOTAL"	"328"	""	"1571"	""	"1484"	""	"1665"	""	"92"	""	"94"	""	"83"	""	"94"	""	"66"	""	"103"	""	"5580"	""	""	""	""	""	""	""
"57"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	""	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""
"61"	"41"	"34"	""	"131"	""	"284"	""	"31"	""	"4"	""	"3"	""	"5"	""	"5"	""	"4"	""	"6"	""	"507"	""	""	""	""	""	""	""
"62"	"42"	"10"	""	"83"	""	"176"	""	"20"	""	"2"	""	"2"	""	"3"	""	"14"	""	"5"	""	"14"	""	"329"	""	""	""	""	""	""	""
"63"	"42A"	"5"	""	"192"	""	"46"	""	"35"	""	"2"	""	"2"	""	"6"	""	"4"	""	"8"	""	"5"	""	"305"	""	""	""	""	""	""	""
"64"	"43"	"13"	""	"176"	""	"82"	""	"71"	""	"8"	""	"5"	""	"8"	""	"11"	""	"12"	""	"30"	""	"416"	""	""	""	""	""	""	""
"65"	"44"	"20"	""	"161"	""	"149"	""	"55"	""	"5"	""	"4"	""	"5"	""	"13"	""	"5"	""	"8"	""	"425"	""	""	""	""	""	""	""
"66"	"45"	"18"	""	"26"	""	"373"	""	"12"	""	"3"	""	"3"	""	"3"	""	"5"	""	"2"	""	"9"	""	"454"	""	""	""	""	""	""	""
"67"	"46"	"32"	""	"194"	""	"298"	""	"50"	""	"8"	""	"6"	""	"7"	""	"21"	""	"17"	""	"18"	""	"651"	""	""	""	""	""	""	""
"68"	"47"	"6"	""	"172"	""	"48"	""	"32"	""	"8"	""	"3"	""	"5"	""	"11"	""	"7"	""	"26"	""	"318"	""	""	""	""	""	""	""
"69"	"47A"	"15"	""	"27"	""	"255"	""	"17"	""	"14"	""	"3"	""	"3"	""	"7"	""	"6"	""	"7"	""	"354"	""	""	""	""	""	""	""
"70"	"48"	"23"	""	"80"	""	"173"	""	"43"	""	"3"	""	"3"	""	"2"	""	"11"	""	"6"	""	"6"	""	"350"	""	""	""	""	""	""	""
"71"	"48A"	"23"	""	"84"	""	"128"	""	"19"	""	"7"	""	"1"	""	"5"	""	"13"	""	"8"	""	"20"	""	"308"	""	""	""	""	""	""	""
"72"	"49"	"4"	""	"58"	""	"187"	""	"26"	""	"0"	""	"1"	""	"2"	""	"9"	""	"8"	""	"6"	""	"301"	""	""	""	""	""	""	""
"73"	"50"	"11"	""	"174"	""	"50"	""	"29"	""	"3"	""	"1"	""	"2"	""	"4"	""	"3"	""	"2"	""	"279"	""	""	""	""	""	""	""
"74"	"51"	"38"	""	"140"	""	"155"	""	"43"	""	"29"	""	"7"	""	"42"	""	"16"	""	"12"	""	"39"	""	"521"	""	""	""	""	""	""	""
"75"	"TOTAL"	"252"	""	"1698"	""	"2404"	""	"483"	""	"96"	""	"44"	""	"98"	""	"144"	""	"103"	""	"196"	""	"5518"	""	""	""	""	""	""	""
"76"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"80"	"52"	"31"	"14"	""	"179"	""	"52"	""	"129"	""	"32"	""	"12"	""	"15"	""	"12"	""	"27"	""	"503"	""	""	""	""	""	""	""	""
"81"	"53"	"11"	"3"	""	"174"	""	"22"	""	"7"	""	"10"	""	"95"	""	"14"	""	"3"	""	"12"	""	"351"	""	""	""	""	""	""	""	""
"82"	"53A"	"26"	"16"	""	"266"	""	"52"	""	"5"	""	"3"	""	"8"	""	"8"	""	"7"	""	"10"	""	"401"	""	""	""	""	""	""	""	""
"83"	"54"	"17"	"103"	""	"56"	""	"56"	""	"4"	""	"7"	""	"79"	""	"10"	""	"7"	""	"4"	""	"343"	""	""	""	""	""	""	""	""
"84"	"54A"	"12"	"153"	""	"117"	""	"50"	""	"6"	""	"4"	""	"21"	""	"8"	""	"5"	""	"16"	""	"392"	""	""	""	""	""	""	""	""
"85"	"55"	"51"	"28"	""	"343"	""	"82"	""	"6"	""	"11"	""	"3"	""	"8"	""	"3"	""	"7"	""	"542"	""	""	""	""	""	""	""	""
"86"	"56"	"40"	"109"	""	"64"	""	"49"	""	"5"	""	"8"	""	"11"	""	"7"	""	"2"	""	"19"	""	"314"	""	""	""	""	""	""	""	""
"87"	"57"	"13"	"67"	""	"123"	""	"44"	""	"0"	""	"3"	""	"1"	""	"3"	""	"3"	""	"2"	""	"259"	""	""	""	""	""	""	""	""
"88"	"58"	"4"	"69"	""	"27"	""	"7"	""	"0"	""	"4"	""	"4"	""	"3"	""	"1"	""	"3"	""	"122"	""	""	""	""	""	""	""	""
"89"	"58A"	"34"	"104"	""	"131"	""	"29"	""	"3"	""	"2"	""	"5"	""	"6"	""	"6"	""	"7"	""	"327"	""	""	""	""	""	""	""	""
"90"	"59"	"8"	"19"	""	"381"	""	"9"	""	"2"	""	"2"	""	"0"	""	"7"	""	"2"	""	"8"	""	"438"	""	""	""	""	""	""	""	""
"91"	"60"	"5"	"186"	""	"33"	""	"32"	""	"2"	""	"2"	""	"2"	""	"1"	""	"1"	""	"0"	""	"264"	""	""	""	""	""	""	""	""
"92"	"61"	"8"	"26"	""	"254"	""	"5"	""	"1"	""	"0"	""	"0"	""	"3"	""	"4"	""	"2"	""	"303"	""	""	""	""	""	""	""	""
"93"	"62"	"27"	"120"	""	"163"	""	"30"	""	"3"	""	"4"	""	"3"	""	"7"	""	"3"	""	"4"	""	"364"	""	""	""	""	""	""	""	""
"94"	"TOTAL"	"287"	"1017"	""	"2311"	""	"519"	""	"173"	""	"92"	""	"244"	""	"100"	""	"59"	""	"121"	""	"4923"	""	""	""	""	""	""	""	""
"95"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"99"	"63"	"14"	"201"	""	"302"	""	"13"	""	"1"	""	"1"	""	"2"	""	"3"	""	"4"	""	"1"	""	"542"	""	""	""	""	""	""	""	""
"100"	"64"	"6"	"176"	""	"302"	""	"18"	""	"0"	""	"1"	""	"4"	""	"17"	""	"8"	""	"13"	""	"545"	""	""	""	""	""	""	""	""
"101"	"65"	"13"	"60"	""	"94"	""	"10"	""	"1"	""	"1"	""	"4"	""	"7"	""	"4"	""	"4"	""	"198"	""	""	""	""	""	""	""	""
"102"	"66"	"8"	"123"	""	"296"	""	"24"	""	"22"	""	"6"	""	"9"	""	"7"	""	"4"	""	"13"	""	"512"	""	""	""	""	""	""	""	""
"103"	"67"	"18"	"197"	""	"153"	""	"74"	""	"3"	""	"3"	""	"2"	""	"11"	""	"15"	""	"7"	""	"483"	""	""	""	""	""	""	""	""
"104"	"68"	"3"	"106"	""	"239"	""	"13"	""	"3"	""	"0"	""	"1"	""	"15"	""	"5"	""	"6"	""	"391"	""	""	""	""	""	""	""	""
"105"	"69"	"31"	"207"	""	"176"	""	"24"	""	"2"	""	"6"	""	"6"	""	"12"	""	"19"	""	"7"	""	"490"	""	""	""	""	""	""	""	""
"106"	"70"	"15"	"68"	""	"94"	""	"121"	""	"10"	""	"6"	""	"8"	""	"7"	""	"7"	""	"18"	""	"354"	""	""	""	""	""	""	""	""
"107"	"70A"	"9"	"160"	""	"27"	""	"78"	""	"3"	""	"4"	""	"2"	""	"12"	""	"5"	""	"2"	""	"302"	""	""	""	""	""	""	""	""
"108"	"71"	"10"	"65"	""	"146"	""	"21"	""	"1"	""	"4"	""	"3"	""	"9"	""	"7"	""	"3"	""	"269"	""	""	""	""	""	""	""	""
"109"	"72"	"46"	"144"	""	"149"	""	"158"	""	"20"	""	"21"	""	"15"	""	"15"	""	"12"	""	"27"	""	"607"	""	""	""	""	""	""	""	""
"110"	"73"	"21"	"108"	""	"264"	""	"31"	""	"2"	""	"4"	""	"5"	""	"10"	""	"10"	""	"8"	""	"463"	""	""	""	""	""	""	""	""
"111"	"74"	"9"	"76"	""	"46"	""	"136"	""	"10"	""	"6"	""	"11"	""	"19"	""	"5"	""	"19"	""	"337"	""	""	""	""	""	""	""	""
"112"	"75"	"8"	"172"	""	"6"	""	"51"	""	"1"	""	"2"	""	"1"	""	"6"	""	"2"	""	"3"	""	"252"	""	""	""	""	""	""	""	""
"113"	"TOTAL"	"211"	"1863"	""	"2294"	""	"772"	""	"79"	""	"65"	""	"73"	""	"150"	""	"107"	""	"131"	""	"5745"	""	""	""	""	""	""	""	""
"114"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"118"	"76"	"8"	"155"	""	"61"	""	"91"	""	"14"	""	"7"	""	"5"	""	"15"	""	"51"	""	"12"	""	"419"	""	""	""	""	""	""	""	""
"119"	"77"	"23"	"138"	""	"195"	""	"94"	""	"9"	""	"9"	""	"8"	""	"6"	""	"140"	""	"6"	""	"628"	""	""	""	""	""	""	""	""
"120"	"78"	"34"	"50"	""	"156"	""	"55"	""	"9"	""	"2"	""	"1"	""	"5"	""	"34"	""	"4"	""	"350"	""	""	""	""	""	""	""	""
"121"	"79"	"31"	"10"	""	"192"	""	"19"	""	"5"	""	"3"	""	"4"	""	"22"	""	"183"	""	"20"	""	"489"	""	""	""	""	""	""	""	""
"122"	"80"	"93"	"84"	""	"289"	""	"24"	""	"5"	""	"3"	""	"4"	""	"12"	""	"12"	""	"19"	""	"545"	""	""	""	""	""	""	""	""
"123"	"81"	"71"	"97"	""	"126"	""	"32"	""	"4"	""	"4"	""	"7"	""	"6"	""	"9"	""	"11"	""	"367"	""	""	""	""	""	""	""	""
"124"	"82"	"83"	"120"	""	"258"	""	"61"	""	"18"	""	"13"	""	"6"	""	"19"	""	"10"	""	"8"	""	"596"	""	""	""	""	""	""	""	""
"125"	"83"	"66"	"37"	""	"148"	""	"58"	""	"6"	""	"4"	""	"7"	""	"10"	""	"13"	""	"24"	""	"373"	""	""	""	""	""	""	""	""
"126"	"84"	"29"	"6"	""	"282"	""	"10"	""	"10"	""	"3"	""	"0"	""	"3"	""	"11"	""	"4"	""	"358"	""	""	""	""	""	""	""	""
"127"	"85"	"35"	"58"	""	"202"	""	"27"	""	"12"	""	"3"	""	"1"	""	"4"	""	"8"	""	"6"	""	"356"	""	""	""	""	""	""	""	""
"128"	"85A"	"38"	"45"	""	"200"	""	"18"	""	"3"	""	"2"	""	"1"	""	"6"	""	"9"	""	"3"	""	"325"	""	""	""	""	""	""	""	""
"129"	"86"	"52"	"19"	""	"288"	""	"66"	""	"4"	""	"4"	""	"3"	""	"3"	""	"2"	""	"4"	""	"445"	""	""	""	""	""	""	""	""
"130"	"87"	"104"	"122"	""	"63"	""	"40"	""	"3"	""	"2"	""	"1"	""	"2"	""	"3"	""	"10"	""	"350"	""	""	""	""	""	""	""	""
"131"	"88"	"172"	"137"	""	"312"	""	"62"	""	"8"	""	"5"	""	"10"	""	"15"	""	"6"	""	"5"	""	"732"	""	""	""	""	""	""	""	""
"132"	"TOTAL"	"839"	"1078"	""	"2772"	""	"657"	""	"110"	""	"64"	""	"58"	""	"128"	""	"491"	""	"136"	""	"6333"	""	""	""	""	""	""	""	""
"133"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"137"	"89"	"204"	"164"	""	"192"	""	"29"	""	"26"	""	"6"	""	"4"	""	"11"	""	"13"	""	"5"	""	"654"	""	""	""	""	""	""	""	""
"138"	"90"	"105"	"61"	""	"206"	""	"25"	""	"3"	""	"3"	""	"2"	""	"1"	""	"3"	""	"9"	""	"418"	""	""	""	""	""	""	""	""
"139"	"91"	"27"	"138"	""	"136"	""	"39"	""	"3"	""	"3"	""	"5"	""	"12"	""	"2"	""	"8"	""	"373"	""	""	""	""	""	""	""	""
"140"	"92"	"65"	"78"	""	"322"	""	"25"	""	"20"	""	"1"	""	"0"	""	"12"	""	"9"	""	"13"	""	"545"	""	""	""	""	""	""	""	""
"141"	"93"	"40"	"81"	""	"134"	""	"5"	""	"1"	""	"1"	""	"2"	""	"2"	""	"1"	""	"1"	""	"268"	""	""	""	""	""	""	""	""
"142"	"94"	"87"	"227"	""	"147"	""	"22"	""	"22"	""	"6"	""	"9"	""	"13"	""	"8"	""	"5"	""	"546"	""	""	""	""	""	""	""	""
"143"	"95"	"77"	"117"	""	"127"	""	"26"	""	"5"	""	"3"	""	"1"	""	"3"	""	"1"	""	"7"	""	"367"	""	""	""	""	""	""	""	""
"144"	"96"	"71"	"35"	""	"41"	""	"27"	""	"3"	""	"1"	""	"2"	""	"0"	""	"0"	""	"2"	""	"182"	""	""	""	""	""	""	""	""
"145"	"97"	"4"	"81"	""	"24"	""	"3"	""	"1"	""	"1"	""	"0"	""	"4"	""	"6"	""	"0"	""	"124"	""	""	""	""	""	""	""	""
