"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"11"	"3"	""	"35"	""	"99"	""	""	""	"183"	""	""	""	""	"9"	""	""	""	""	""	"172"	""	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	"14"	""	""	""	""	"4"	""	""	"9"	""	""	"563"	""	""	""	""	""	"0"	""	""	""	""	""	"563"	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"4"	""	"51"	""	"56"	""	""	""	"178"	""	""	""	""	"10"	""	""	""	""	""	"171"	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"8"	""	""	""	""	"2"	""	""	"14"	""	""	"511"	""	""	""	""	""	"0"	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"5"	""	"60"	""	"99"	""	""	""	"52"	""	""	""	""	"2"	""	""	""	""	""	"137"	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"2"	""	""	"3"	""	""	"376"	""	""	""	""	""	"0"	""	""	""	""	""	"376"	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"5A"	""	"25"	""	"89"	""	""	""	"137"	""	""	""	""	"4"	""	""	""	""	""	"149"	""	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	"433"	""	""	""	""	""	"0"	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"6"	""	"103"	""	"195"	""	""	""	"111"	""	""	""	""	"0"	""	""	""	""	""	"80"	""	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	"9"	""	""	""	""	"2"	""	""	"19"	""	""	"547"	""	""	""	""	""	"0"	""	""	""	""	""	"547"	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"7"	""	"25"	""	"341"	""	""	""	"109"	""	""	""	""	"10"	""	""	""	""	""	"105"	""	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"3"	""	""	"3"	""	""	"627"	""	""	""	""	""	"0"	""	""	""	""	""	"627"	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"8"	""	"17"	""	"449"	""	""	""	"56"	""	""	""	""	"5"	""	""	""	""	""	"78"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"16"	""	""	""	""	"6"	""	""	"18"	""	""	"665"	""	""	""	""	""	"0"	""	""	""	""	""	"665"	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"9"	""	"41"	""	"203"	""	""	""	"122"	""	""	""	""	"2"	""	""	""	""	""	"57"	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"9"	""	""	""	""	"3"	""	""	"15"	""	""	"469"	""	""	""	""	""	"0"	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"10"	""	"54"	""	"141"	""	""	""	"193"	""	""	""	""	"18"	""	""	""	""	""	"237"	""	""	""	""	""	"10"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"1"	""	""	"8"	""	""	"691"	""	""	""	""	""	"0"	""	""	""	""	""	"691"	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"11"	""	"6"	""	"51"	""	""	""	"47"	""	""	""	""	"4"	""	""	""	""	""	"35"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	""	"4"	""	""	"11"	""	""	"173"	""	""	""	""	""	"0"	""	""	""	""	""	"173"	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"12"	""	"11"	""	"163"	""	""	""	"166"	""	""	""	""	"9"	""	""	""	""	""	"31"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"10"	""	""	""	""	"8"	""	""	"7"	""	""	"413"	""	""	""	""	""	"0"	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total:-"	""	"673"	""	"2259"	""	""	""	"1735"	""	""	""	""	"116"	""	""	""	""	""	"1453"	""	""	""	""	""	"52"	""	""	""	"28"	""	""	""	""	"31"	""	""	""	"33"	""	""	""	""	"72"	""	""	""	""	"64"	""	""	""	"109"	""	""	""	""	"48"	""	""	"134"	""	""	"6807"	""	""	""	""	""	""	""	""	""	""	""	"6807"	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"No. & Name of the Assembly Constituency- 222-OBRRAound  No.02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	""	""	"ABHIMANYU
SHARMA"	""	"PRAMOD SINGH CHANDRAWANSH I"	"RAJARAM SINGH"	""	""	""	"RAM NARESH
SINGH"	""	""	""	""	"SATYA NARAYAN
SINGH"	""	""	""	"MAINATH SINGH"	""	"RAJIV  RANJAN
SINGH"	""	""	""	"DHANANJAY
SINGH"	""	""	""	""	"MADHUSUDAN
SHARMA"	""	""	""	"RAGHUWANSH
SINGH"	""	""	"RADHESHYAM
RAM"	""	""	""	"RAMANUJ
PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	""	""	"1"	""	"2"	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"6"	""	"7"	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"13"	""	"2"	""	"205"	"14"	""	""	""	"1"	""	""	""	""	"8"	""	""	""	"2"	""	"4"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"7"	""	""	""	"4"	""	""	"3"	""	""	""	"253"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"13A"	""	"4"	""	"114"	"35"	""	""	""	"1"	""	""	""	""	"27"	""	""	""	"0"	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"3"	""	""	""	"6"	""	""	""	"5"	""	""	"7"	""	""	""	"205"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"14"	""	"3"	""	"227"	"16"	""	""	""	"2"	""	""	""	""	"25"	""	""	""	"2"	""	"0"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	"4"	""	""	""	"5"	""	""	""	"9"	""	""	"1"	""	""	""	"299"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"15"	""	"7"	""	"351"	"28"	""	""	""	"1"	""	""	""	""	"34"	""	""	""	"1"	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	"11"	""	""	""	"13"	""	""	"18"	""	""	""	"473"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"16"	""	"30"	""	"238"	"31"	""	""	""	"1"	""	""	""	""	"64"	""	""	""	"1"	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	"8"	""	""	""	"382"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"17"	""	"32"	""	"197"	"41"	""	""	""	"3"	""	""	""	""	"148"	""	""	""	"3"	""	"2"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"3"	""	""	"4"	""	""	""	"4"	""	""	""	"2"	""	""	"11"	""	""	""	"453"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"18"	""	"27"	""	"259"	"32"	""	""	""	"5"	""	""	""	""	"48"	""	""	""	"4"	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	""	"382"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"19"	""	"14"	""	"222"	"114"	""	""	""	"49"	""	""	""	""	"107"	""	""	""	"7"	""	"6"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"6"	""	""	"1"	""	""	""	"15"	""	""	""	"8"	""	""	"16"	""	""	""	"575"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"20"	""	"13"	""	"28"	"4"	""	""	""	"2"	""	""	""	""	"142"	""	""	""	"2"	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	"204"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"21"	""	"49"	""	"141"	"129"	""	""	""	"8"	""	""	""	""	"181"	""	""	""	"4"	""	"3"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"8"	""	""	"4"	""	""	""	"10"	""	""	""	"4"	""	""	"11"	""	""	""	"560"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"22"	""	"28"	""	"57"	"140"	""	""	""	"149"	""	""	""	""	"81"	""	""	""	"3"	""	"2"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"8"	""	""	"8"	""	""	""	"12"	""	""	""	"8"	""	""	"17"	""	""	""	"516"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"23"	""	"17"	""	"9"	"38"	""	""	""	"13"	""	""	""	""	"228"	""	""	""	"2"	""	"8"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"5"	""	""	""	"330"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"23 A"	""	"3"	""	"12"	"152"	""	""	""	"3"	""	""	""	""	"222"	""	""	""	"1"	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	"1"	""	""	""	"412"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"24"	""	"62"	""	"61"	"312"	""	""	""	"45"	""	""	""	""	"74"	""	""	""	"2"	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"7"	""	""	"1"	""	""	""	"7"	""	""	""	"2"	""	""	"11"	""	""	""	"585"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"585"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Total:-"	""	"291"	""	"2121"	"1086"	""	""	""	"283"	""	""	""	""	"1389"	""	""	""	"34"	""	"33"	""	""	""	"12"	""	""	""	""	"34"	""	""	""	"48"	""	""	"32"	""	""	""	"87"	""	""	""	"66"	""	""	"113"	""	""	""	"5629"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5629"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Round  No.03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""
"51"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	""	"1"	""	"2"	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""
"53"	"25"	"11"	""	"675"	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	""	"717"	""	""	""	""	""	"0"	""	""	""	""	""	""	"717"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"25A"	"5"	""	"177"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	""	"201"	""	""	""	""	""	"0"	""	""	""	""	""	""	"201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"26"	"27"	""	"377"	""	""	"26"	""	""	""	""	""	"3"	""	""	""	""	"28"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"7"	""	""	"10"	""	""	""	""	"486"	""	""	""	""	""	"0"	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"27"	"87"	""	"6"	""	""	"4"	""	""	""	""	""	"56"	""	""	""	""	"149"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"5"	""	""	""	"20"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	"6"	""	""	""	""	"352"	""	""	""	""	""	"0"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"27A"	"65"	""	"130"	""	""	"5"	""	""	""	""	""	"13"	""	""	""	""	"29"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"1"	""	""	"15"	""	""	""	""	"272"	""	""	""	""	""	"0"	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
