"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"15"	"6"	"26"	"34"	"212"	"147"	"16"	"13"	"6"	"4"	"458"	"-"	"458"	"-"
"16"	"7"	"12"	"83"	"335"	"11"	"10"	"19"	"2"	"6"	"478"	"-"	"478"	"-"
"17"	"8"	"7"	"57"	"148"	"99"	"10"	"12"	"3"	"5"	"341"	"-"	"341"	"-"
"18"	"9"	"4"	"68"	"236"	"0"	"2"	"3"	"1"	"2"	"316"	"-"	"316"	"-"
"19"	"10"	"9"	"20"	"277"	"124"	"4"	"11"	"1"	"2"	"448"	"-"	"448"	"-"
"20"	"11"	"0"	"10"	"414"	"1"	"2"	"1"	"0"	"2"	"430"	"-"	"430"	"-"
"21"	"12"	"16"	"8"	"172"	"70"	"3"	"7"	"2"	"3"	"281"	"-"	"281"	"-"
"22"	"13"	"0"	"1"	"450"	"1"	"0"	"2"	"0"	"0"	"454"	"-"	"454"	"-"
"23"	"14"	"0"	"1"	"264"	"6"	"1"	"0"	"0"	"0"	"272"	"-"	"272"	"-"
"24"	"15"	"11"	"4"	"331"	"23"	"0"	"1"	"0"	"2"	"372"	"-"	"372"	"-"
"25"	"16"	"11"	"16"	"102"	"64"	"3"	"7"	"3"	"4"	"210"	"-"	"210"	"-"
"26"	"17"	"5"	"22"	"131"	"30"	"3"	"6"	"3"	"3"	"203"	"-"	"203"	"-"
"27"	"18"	"10"	"10"	"316"	"62"	"1"	"4"	"0"	"1"	"404"	"-"	"404"	"-"
"28"	"19"	"8"	"131"	"14"	"1"	"1"	"0"	"13"	"3"	"171"	"-"	"171"	"-"
"29"	"20"	"9"	"3"	"144"	"23"	"2"	"5"	"0"	"8"	"194"	"-"	"194"	"-"
"30"	"21"	"22"	"56"	"178"	"73"	"12"	"4"	"4"	"6"	"355"	"-"	"355"	"-"
"31"	"22"	"1"	"15"	"512"	"1"	"3"	"2"	"1"	"3"	"538"	"-"	"538"	"-"
"32"	"23"	"6"	"2"	"287"	"21"	"6"	"3"	"2"	"5"	"332"	"-"	"332"	"-"
"33"	"24"	"7"	"87"	"116"	"62"	"5"	"6"	"19"	"6"	"308"	"-"	"308"	"-"
"34"	"25"	"1"	"83"	"180"	"2"	"0"	"2"	"6"	"0"	"274"	"-"	"274"	"-"
"35"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"36"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"37"	"25¼d½"	"2"	"14"	"284"	"3"	"1"	"2"	"2"	"1"	"309"	""	"309"	""
"38"	"26"	"24"	"28"	"344"	"18"	"4"	"11"	"4"	"9"	"442"	"-"	"442"	"-"
"39"	"27"	"5"	"18"	"163"	"2"	"4"	"3"	"1"	"0"	"196"	"-"	"196"	"-"
"40"	"28"	"0"	"0"	"211"	"3"	"0"	"0"	"0"	"0"	"214"	"-"	"214"	"-"
"41"	"29"	"0"	"22"	"290"	"2"	"0"	"2"	"0"	"1"	"317"	"-"	"317"	"-"
"42"	"30"	"12"	"6"	"270"	"2"	"5"	"4"	"1"	"1"	"301"	"-"	"301"	"-"
"43"	"31"	"7"	"1"	"113"	"149"	"20"	"11"	"6"	"12"	"319"	"-"	"319"	"-"
"44"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	"-"
"45"	"33"	"11"	"4"	"333"	"41"	"6"	"10"	"2"	"5"	"412"	"-"	"412"	"-"
"46"	"34"	"10"	"19"	"201"	"102"	"9"	"6"	"3"	"2"	"352"	"-"	"352"	"-"
"47"	"35"	"23"	"71"	"90"	"17"	"6"	"6"	"4"	"8"	"225"	"-"	"225"	"-"
"48"	"36"	"15"	"27"	"184"	"28"	"6"	"12"	"2"	"8"	"282"	"-"	"282"	"-"
"49"	"37"	"1"	"53"	"185"	"62"	"9"	"14"	"6"	"11"	"341"	"-"	"341"	"-"
"50"	"38"	"17"	"14"	"158"	"128"	"11"	"6"	"4"	"38"	"376"	"-"	"376"	"-"
"51"	"39"	"9"	"31"	"198"	"21"	"1"	"9"	"4"	"8"	"281"	"-"	"281"	"-"
"52"	"40"	"1"	"4"	"25"	"10"	"0"	"1"	"0"	"0"	"41"	"-"	"41"	"-"
"53"	"41"	"0"	"7"	"8"	"10"	"1"	"1"	"1"	"1"	"29"	"-"	"29"	"-"
"54"	"42"	"11"	"1"	"50"	"0"	"3"	"4"	"16"	"3"	"88"	"-"	"88"	"-"
"55"	"43"	"3"	"10"	"260"	"12"	"3"	"2"	"1"	"0"	"291"	"-"	"291"	"-"
"56"	"44"	"35"	"28"	"202"	"61"	"12"	"17"	"18"	"27"	"400"	"-"	"400"	"-"
"57"	"45"	"10"	"12"	"613"	"4"	"3"	"8"	"0"	"1"	"651"	"-"	"651"	"-"
"58"	"46"	"5"	"98"	"216"	"15"	"10"	"12"	"7"	"11"	"374"	"-"	"374"	"-"
"59"	"47"	"12"	"78"	"53"	"25"	"6"	"4"	"1"	"6"	"185"	"-"	"185"	"-"
"60"	"48"	"4"	"1"	"92"	"19"	"3"	"6"	"7"	"3"	"135"	"-"	"135"	"-"
"61"	"49"	"12"	"19"	"345"	"12"	"12"	"26"	"4"	"8"	"438"	"-"	"438"	"-"
"62"	"50"	"5"	"91"	"44"	"75"	"9"	"8"	"6"	"9"	"247"	"-"	"247"	"-"
"63"	"51"	"3"	"7"	"125"	"62"	"5"	"6"	"3"	"4"	"215"	"-"	"215"	"-"
"64"	"52"	"13"	"18"	"297"	"15"	"5"	"6"	"6"	"2"	"362"	"-"	"362"	"-"
"65"	"53"	"7"	"56"	"100"	"39"	"2"	"3"	"2"	"2"	"211"	"-"	"211"	"-"
"66"	"54"	"3"	"12"	"185"	"39"	"7"	"6"	"2"	"12"	"266"	"-"	"266"	"-"
"67"	"55"	"3"	"23"	"232"	"3"	"8"	"6"	"3"	"4"	"282"	"-"	"282"	"-"
"68"	"56"	"4"	"13"	"89"	"53"	"3"	"5"	"1"	"2"	"170"	"-"	"170"	"-"
"69"	"57"	"5"	"88"	"149"	"83"	"4"	"4"	"8"	"2"	"343"	"-"	"343"	"-"
"70"	"58"	"10"	"38"	"365"	"42"	"15"	"17"	"4"	"6"	"497"	"-"	"497"	"-"
"71"	"59"	"5"	"42"	"225"	"10"	"4"	"8"	"22"	"3"	"319"	"-"	"319"	"-"
"72"	"60"	"14"	"167"	"197"	"43"	"11"	"22"	"13"	"16"	"483"	"-"	"483"	"-"
"73"	"61"	"1"	"10"	"296"	"17"	"7"	"7"	"8"	"2"	"348"	"-"	"348"	"-"
"74"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"75"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"76"	"61¼d½"	"10"	"73"	"226"	"19"	"9"	"6"	"3"	"12"	"358"	""	"358"	""
"77"	"62"	"1"	"12"	"324"	"6"	"4"	"12"	"5"	"3"	"367"	"-"	"367"	"-"
"78"	"63"	"7"	"39"	"241"	"25"	"12"	"9"	"2"	"7"	"342"	"-"	"342"	"-"
"79"	"64"	"2"	"49"	"426"	"8"	"4"	"2"	"9"	"3"	"503"	"-"	"503"	"-"
"80"	"65"	"15"	"126"	"117"	"29"	"11"	"5"	"14"	"7"	"324"	"-"	"324"	"-"
"81"	"66"	"7"	"21"	"220"	"7"	"10"	"28"	"9"	"10"	"312"	"-"	"312"	"-"
"82"	"67"	"12"	"51"	"340"	"29"	"7"	"15"	"5"	"19"	"478"	"-"	"478"	"-"
"83"	"68"	"32"	"53"	"248"	"105"	"14"	"21"	"3"	"12"	"488"	"-"	"488"	"-"
"84"	"69"	"9"	"26"	"197"	"235"	"19"	"12"	"5"	"15"	"518"	"-"	"518"	"-"
"85"	"70"	"7"	"20"	"466"	"15"	"6"	"14"	"6"	"8"	"542"	"-"	"542"	"-"
"86"	"71"	"14"	"7"	"251"	"79"	"10"	"3"	"9"	"12"	"385"	"-"	"385"	"-"
"87"	"72"	"6"	"40"	"335"	"68"	"4"	"9"	"0"	"6"	"468"	"-"	"468"	"-"
"88"	"73"	"8"	"39"	"186"	"54"	"6"	"5"	"4"	"24"	"326"	"-"	"326"	"-"
"89"	"74"	"7"	"17"	"95"	"42"	"10"	"15"	"4"	"2"	"192"	"-"	"192"	"-"
"90"	"74¼d½"	"17"	"9"	"155"	"27"	"5"	"13"	"4"	"10"	"240"	""	"240"	""
"91"	"75"	"6"	"24"	"168"	"14"	"0"	"6"	"3"	"7"	"228"	"-"	"228"	"-"
"92"	"75¼d½"	"7"	"3"	"42"	"192"	"18"	"14"	"4"	"14"	"294"	""	"294"	""
"93"	"76"	"12"	"25"	"215"	"86"	"4"	"15"	"3"	"11"	"371"	"-"	"371"	"-"
"94"	"77"	"8"	"37"	"54"	"111"	"12"	"9"	"4"	"15"	"250"	"-"	"250"	"-"
"95"	"78"	"25"	"126"	"101"	"105"	"14"	"12"	"7"	"7"	"397"	"-"	"397"	"-"
"96"	"79"	"21"	"76"	"256"	"33"	"6"	"5"	"4"	"9"	"410"	"-"	"410"	"-"
"97"	"80"	"51"	"39"	"74"	"81"	"14"	"19"	"4"	"40"	"322"	"-"	"322"	"-"
"98"	"81"	"15"	"68"	"327"	"19"	"2"	"15"	"2"	"8"	"456"	"-"	"456"	"-"
"99"	"82"	"14"	"60"	"143"	"100"	"16"	"16"	"16"	"13"	"378"	"-"	"378"	"-"
"100"	"83"	"11"	"22"	"145"	"46"	"8"	"7"	"10"	"12"	"261"	"-"	"261"	"-"
"101"	"84"	"12"	"21"	"141"	"26"	"5"	"9"	"4"	"9"	"227"	"-"	"227"	"-"
"102"	"85"	"12"	"17"	"113"	"32"	"2"	"7"	"42"	"13"	"238"	"-"	"238"	"-"
"103"	"86"	"14"	"133"	"48"	"1"	"0"	"7"	"4"	"0"	"207"	"-"	"207"	"-"
"104"	"87"	"8"	"67"	"121"	"4"	"5"	"8"	"159"	"11"	"383"	"-"	"383"	"-"
"105"	"88"	"8"	"69"	"144"	"99"	"8"	"7"	"2"	"3"	"340"	"-"	"340"	"-"
"106"	"89"	"29"	"31"	"327"	"50"	"25"	"31"	"9"	"32"	"534"	"-"	"534"	"-"
"107"	"90"	"11"	"56"	"72"	"0"	"3"	"7"	"3"	"17"	"169"	"-"	"169"	"-"
"108"	"91"	"13"	"2"	"91"	"39"	"5"	"4"	"5"	"6"	"165"	"-"	"165"	"-"
"109"	"92"	"8"	"36"	"304"	"12"	"7"	"17"	"7"	"7"	"398"	"-"	"398"	"-"
"110"	"93"	"5"	"16"	"303"	"10"	"5"	"7"	"2"	"3"	"351"	"-"	"351"	"-"
"111"	"94"	"36"	"90"	"70"	"124"	"8"	"9"	"2"	"7"	"346"	"-"	"346"	"-"
"112"	"95"	"49"	"21"	"84"	"44"	"6"	"10"	"2"	"14"	"230"	"-"	"230"	"-"
"113"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"114"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"115"	"96"	"2"	"13"	"199"	"19"	"6"	"9"	"2"	"6"	"256"	"-"	"256"	"-"
"116"	"97"	"17"	"7"	"174"	"212"	"9"	"16"	"3"	"9"	"447"	"-"	"447"	"-"
"117"	"98"	"8"	"77"	"39"	"104"	"7"	"8"	"1"	"2"	"246"	"-"	"246"	"-"
"118"	"99"	"5"	"11"	"169"	"4"	"4"	"5"	"1"	"5"	"204"	"-"	"204"	"-"
"119"	"995¼d½"	"14"	"7"	"161"	"6"	"4"	"7"	"10"	"2"	"211"	""	"211"	""
"120"	"100"	"9"	"44"	"192"	"57"	"11"	"9"	"4"	"3"	"329"	"-"	"329"	"-"
"121"	"100¼d½"	"17"	"7"	"98"	"75"	"13"	"14"	"7"	"10"	"241"	""	"241"	""
"122"	"101"	"16"	"113"	"189"	"16"	"12"	"7"	"4"	"6"	"363"	"-"	"363"	"-"
"123"	"102"	"8"	"31"	"162"	"10"	"10"	"6"	"1"	"1"	"229"	"-"	"229"	"-"
"124"	"103"	"8"	"13"	"149"	"58"	"4"	"7"	"3"	"2"	"244"	"-"	"244"	"-"
"125"	"104"	"23"	"127"	"113"	"5"	"3"	"6"	"2"	"6"	"285"	"-"	"285"	"-"
"126"	"104¼d½"	"18"	"132"	"126"	"3"	"5"	"8"	"2"	"9"	"303"	""	"303"	""
"127"	"105"	"16"	"102"	"155"	"2"	"3"	"5"	"3"	"0"	"286"	"-"	"286"	"-"
"128"	"106"	"7"	"111"	"110"	"3"	"1"	"6"	"3"	"7"	"248"	"-"	"248"	"-"
"129"	"107"	"20"	"198"	"38"	"79"	"5"	"8"	"9"	"16"	"373"	"-"	"373"	"-"
"130"	"108"	"13"	"26"	"165"	"150"	"13"	"4"	"4"	"5"	"380"	"-"	"380"	"-"
"131"	"109"	"9"	"42"	"211"	"24"	"2"	"14"	"0"	"10"	"312"	"-"	"312"	"-"
"132"	"110"	"16"	"37"	"211"	"34"	"3"	"10"	"4"	"13"	"328"	"-"	"328"	"-"
"133"	"111"	"9"	"36"	"316"	"34"	"4"	"14"	"1"	"16"	"430"	"-"	"430"	"-"
"134"	"112"	"8"	"67"	"217"	"5"	"5"	"11"	"2"	"1"	"316"	"-"	"316"	"-"
"135"	"113"	"15"	"88"	"170"	"4"	"8"	"10"	"8"	"16"	"319"	"-"	"319"	"-"
"136"	"114"	"26"	"40"	"173"	"128"	"10"	"5"	"2"	"7"	"391"	"-"	"391"	"-"
"137"	"115"	"3"	"155"	"26"	"2"	"2"	"3"	"4"	"6"	"201"	"-"	"201"	"-"
"138"	"116"	"5"	"93"	"349"	"5"	"1"	"7"	"1"	"1"	"462"	"-"	"462"	"-"
"139"	"117"	"9"	"63"	"83"	"34"	"3"	"1"	"5"	"11"	"209"	"-"	"209"	"-"
"140"	"118"	"15"	"122"	"70"	"5"	"1"	"2"	"3"	"11"	"229"	"-"	"229"	"-"
"141"	"119"	"8"	"32"	"170"	"8"	"1"	"2"	"3"	"1"	"225"	"-"	"225"	"-"
"142"	"120"	"16"	"43"	"107"	"7"	"4"	"5"	"7"	"19"	"208"	"-"	"208"	"-"
"143"	"121"	"14"	"72"	"153"	"35"	"5"	"16"	"7"	"30"	"332"	"-"	"332"	"-"
"144"	"122"	"6"	"19"	"141"	"14"	"5"	"14"	"6"	"9"	"214"	"-"	"214"	"-"
"145"	"122¼d½"	"2"	"22"	"144"	"14"	"0"	"5"	"0"	"3"	"190"	""	"190"	""
"146"	"123"	"3"	"1"	"247"	"71"	"2"	"0"	"1"	"1"	"326"	"-"	"326"	"-"
"147"	"124"	"7"	"34"	"217"	"13"	"2"	"1"	"0"	"3"	"277"	"-"	"277"	"-"
"148"	"125"	"1"	"9"	"146"	"0"	"3"	"1"	"1"	"1"	"162"	"-"	"162"	"-"
"149"	"126"	"11"	"20"	"106"	"72"	"8"	"5"	"4"	"5"	"231"	"-"	"231"	"-"
"150"	"127"	"4"	"19"	"199"	"8"	"2"	"2"	"2"	"5"	"241"	"-"	"241"	"-"
"151"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"152"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"153"	"128"	"6"	"51"	"252"	"17"	"10"	"3"	"2"	"2"	"343"	"-"	"343"	"-"
"154"	"129"	"8"	"80"	"174"	"5"	"2"	"7"	"2"	"2"	"280"	"-"	"280"	"-"
"155"	"130"	"4"	"8"	"221"	"27"	"4"	"4"	"2"	"6"	"276"	"-"	"276"	"-"
"156"	"131"	"16"	"6"	"257"	"27"	"9"	"6"	"4"	"8"	"333"	"-"	"333"	"-"
"157"	"132"	"6"	"137"	"248"	"8"	"4"	"15"	"4"	"13"	"435"	"-"	"435"	"-"
"158"	"133"	"12"	"93"	"269"	"47"	"7"	"9"	"2"	"3"	"442"	"-"	"442"	"-"
"159"	"134"	"16"	"14"	"434"	"5"	"3"	"5"	"2"	"7"	"486"	"-"	"486"	"-"
"160"	"135"	"19"	"74"	"296"	"20"	"6"	"15"	"3"	"13"	"446"	"-"	"446"	"-"
"161"	"136"	"6"	"37"	"178"	"6"	"2"	"5"	"2"	"5"	"241"	"-"	"241"	"-"
"162"	"137"	"90"	"27"	"190"	"9"	"6"	"5"	"2"	"11"	"340"	"-"	"340"	"-"
"163"	"138"	"38"	"50"	"270"	"50"	"10"	"12"	"3"	"8"	"441"	"-"	"441"	"-"
"164"	"139"	"7"	"30"	"265"	"108"	"5"	"9"	"4"	"3"	"431"	"-"	"431"	"-"
"165"	"140"	"15"	"17"	"178"	"15"	"4"	"8"	"2"	"6"	"245"	"-"	"245"	"-"
"166"	"141"	"2"	"56"	"40"	"35"	"0"	"1"	"1"	"0"	"135"	"-"	"135"	"-"
"167"	"142"	"20"	"61"	"227"	"8"	"15"	"22"	"1"	"14"	"368"	"-"	"368"	"-"
"168"	"143"	"17"	"17"	"203"	"156"	"10"	"9"	"2"	"4"	"418"	"-"	"418"	"-"
"169"	"144"	"14"	"40"	"403"	"11"	"6"	"13"	"8"	"12"	"507"	"-"	"507"	"-"
"170"	"145"	"6"	"31"	"336"	"57"	"5"	"5"	"5"	"5"	"450"	"-"	"450"	"-"
"171"	"146"	"6"	"28"	"275"	"62"	"3"	"4"	"1"	"7"	"386"	"-"	"386"	"-"
"172"	"147"	"16"	"29"	"155"	"71"	"8"	"7"	"4"	"8"	"298"	"-"	"298"	"-"
"173"	"148"	"3"	"131"	"108"	"21"	"1"	"1"	"1"	"0"	"266"	"-"	"266"	"-"
"174"	"149"	"7"	"21"	"385"	"16"	"11"	"12"	"4"	"10"	"466"	"-"	"466"	"-"
"175"	"150"	"16"	"41"	"301"	"3"	"7"	"12"	"3"	"8"	"391"	"-"	"391"	"-"
"176"	"151"	"36"	"132"	"128"	"56"	"7"	"15"	"3"	"5"	"382"	"-"	"382"	"-"
"177"	"151¼d½"	"18"	"133"	"114"	"11"	"3"	"5"	"2"	"3"	"289"	""	"289"	""
"178"	"152"	"12"	"26"	"227"	"143"	"12"	"5"	"2"	"5"	"432"	"-"	"432"	"-"
"179"	"153"	"15"	"39"	"379"	"17"	"3"	"0"	"2"	"1"	"456"	"-"	"456"	"-"
"180"	"154"	"8"	"74"	"214"	"80"	"6"	"5"	"1"	"13"	"401"	"-"	"401"	"-"
"181"	"155"	"23"	"185"	"26"	"30"	"3"	"4"	"4"	"5"	"280"	"-"	"280"	"-"
"182"	"156"	"17"	"107"	"102"	"24"	"10"	"11"	"5"	"8"	"284"	"-"	"284"	"-"
"183"	"157"	"21"	"78"	"250"	"40"	"10"	"25"	"7"	"22"	"453"	"-"	"453"	"-"
"184"	"158"	"15"	"74"	"275"	"44"	"11"	"18"	"6"	"18"	"461"	"-"	"461"	"-"
"185"	"159"	"6"	"23"	"112"	"2"	"3"	"9"	"1"	"8"	"164"	"-"	"164"	"-"
"186"	"160"	"10"	"179"	"46"	"5"	"3"	"0"	"9"	"0"	"252"	"-"	"252"	"-"
"187"	"161"	"6"	"24"	"114"	"54"	"7"	"5"	"2"	"6"	"218"	"-"	"218"	"-"
"188"	"162"	"2"	"14"	"202"	"2"	"0"	"2"	"0"	"0"	"222"	"-"	"222"	"-"
"189"	"163"	"17"	"94"	"232"	"15"	"7"	"8"	"0"	"10"	"383"	"-"	"383"	"-"
"190"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"191"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"192"	"164"	"9"	"36"	"285"	"6"	"3"	"5"	"2"	"5"	"351"	"-"	"351"	"-"
"193"	"165"	"6"	"10"	"185"	"4"	"6"	"9"	"2"	"3"	"225"	"-"	"225"	"-"
"194"	"166"	"10"	"75"	"127"	"70"	"7"	"8"	"5"	"9"	"311"	"-"	"311"	"-"
"195"	"167"	"26"	"38"	"315"	"69"	"10"	"9"	"4"	"17"	"488"	"-"	"488"	"-"
"196"	"168"	"34"	"37"	"264"	"42"	"15"	"9"	"10"	"21"	"432"	"-"	"432"	"-"
"197"	"169"	"14"	"53"	"275"	"59"	"9"	"11"	"5"	"10"	"436"	"-"	"436"	"-"
"198"	"170"	"5"	"99"	"215"	"27"	"4"	"13"	"2"	"1"	"366"	"-"	"366"	"-"
"199"	"171"	"7"	"18"	"320"	"11"	"6"	"15"	"2"	"12"	"391"	"-"	"391"	"-"
"200"	"172"	"7"	"128"	"82"	"18"	"1"	"7"	"4"	"24"	"271"	"-"	"271"	"-"
"201"	"173"	"21"	"156"	"194"	"9"	"12"	"9"	"8"	"13"	"422"	"-"	"422"	"-"
"202"	"174"	"17"	"141"	"68"	"32"	"4"	"3"	"4"	"9"	"278"	"-"	"278"	"-"
"203"	"175"	"0"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"24"	"-"	"24"	"-"
"204"	"176"	"42"	"105"	"293"	"9"	"6"	"9"	"7"	"7"	"478"	"-"	"478"	"-"
"205"	"177"	"67"	"95"	"70"	"98"	"14"	"10"	"11"	"16"	"381"	"-"	"381"	"-"
"206"	"178"	"13"	"95"	"83"	"56"	"1"	"2"	"5"	"0"	"255"	"-"	"255"	"-"
"207"	"179"	"15"	"174"	"47"	"39"	"4"	"1"	"6"	"10"	"296"	"-"	"296"	"-"
"208"	"180"	"15"	"53"	"303"	"15"	"8"	"18"	"6"	"30"	"448"	"-"	"448"	"-"
"209"	"181"	"14"	"63"	"156"	"33"	"6"	"5"	"10"	"7"	"294"	"-"	"294"	"-"
"210"	"182"	"11"	"14"	"222"	"67"	"7"	"7"	"4"	"5"	"337"	"-"	"337"	"-"
"211"	"183"	"24"	"29"	"174"	"48"	"10"	"8"	"5"	"11"	"309"	"-"	"309"	"-"
"212"	"184"	"12"	"12"	"243"	"32"	"4"	"4"	"3"	"0"	"310"	"-"	"310"	"-"
"213"	"185"	"7"	"13"	"287"	"15"	"1"	"4"	"2"	"4"	"333"	"-"	"333"	"-"
"214"	"186"	"5"	"64"	"48"	"3"	"1"	"0"	"4"	"1"	"126"	"-"	"126"	"-"
"215"	"187"	"8"	"25"	"391"	"15"	"3"	"6"	"2"	"5"	"455"	"-"	"455"	"-"
"216"	"188"	"3"	"21"	"411"	"6"	"4"	"9"	"3"	"11"	"468"	"-"	"468"	"-"
"217"	"189"	"34"	"18"	"453"	"22"	"8"	"10"	"8"	"11"	"564"	"-"	"564"	"-"
"218"	"190"	"2"	"5"	"307"	"3"	"6"	"6"	"1"	"1"	"331"	"-"	"331"	"-"
"219"	"191"	"15"	"67"	"254"	"55"	"8"	"5"	"12"	"20"	"436"	"-"	"436"	"-"
"220"	"192"	"9"	"21"	"193"	"18"	"2"	"7"	"3"	"5"	"258"	"-"	"258"	"-"
"221"	"193"	"4"	"42"	"279"	"4"	"4"	"1"	"4"	"5"	"343"	"-"	"343"	"-"
"222"	"194"	"6"	"109"	"25"	"1"	"0"	"0"	"0"	"1"	"142"	"-"	"142"	"-"
"223"	"195"	"10"	"61"	"109"	"33"	"11"	"7"	"8"	"5"	"244"	"-"	"244"	"-"
"224"	"196"	"10"	"75"	"150"	"9"	"10"	"19"	"6"	"10"	"289"	"-"	"289"	"-"
"225"	"197"	"8"	"24"	"250"	"4"	"6"	"9"	"5"	"10"	"316"	"-"	"316"	"-"
"226"	"198"	"18"	"52"	"213"	"12"	"7"	"9"	"5"	"1"	"317"	"-"	"317"	"-"
"227"	"199"	"3"	"40"	"308"	"4"	"7"	"9"	"4"	"8"	"383"	"-"	"383"	"-"
"228"	"200"	"11"	"37"	"197"	"37"	"14"	"16"	"9"	"13"	"334"	"-"	"334"	"-"
"229"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"230"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"231"	"201"	"27"	"182"	"182"	"9"	"6"	"14"	"8"	"10"	"438"	"-"	"438"	"-"
"232"	"202"	"9"	"315"	"86"	"7"	"0"	"1"	"3"	"0"	"421"	"-"	"421"	"-"
"233"	"203"	"12"	"227"	"139"	"3"	"6"	"6"	"7"	"9"	"409"	"-"	"409"	"-"
