"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"158"	";ksx"	"605"	"2125"	"91"	"2686"	"138"	"351"	"77"	"125"	"6198"
"159"	""	""	""	""	""	""	""	""	""	""
"160"	"LFkku &"	""	""	""	""	""	""	""	""	""
"161"	""	""	""	""	""	""	""	""	""	""
"162"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"163"	""	""	""	""	""	""	""	""	""	""
"164"	"izi=&20"	""	""	""	""	""	""	""	""	""
"165"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"166"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"167"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"168"	""	""	""	""	""	""	""	"7th Round"	""	""
"169"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"170"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"171"	"79"	"36"	"61"	"1"	"162"	"10"	"6"	"2"	"7"	"285"
"172"	"79A"	"65"	"66"	"5"	"151"	"8"	"9"	"10"	"24"	"338"
"173"	"80"	"141"	"20"	"6"	"189"	"6"	"52"	"10"	"26"	"450"
"174"	"81"	"42"	"18"	"3"	"283"	"11"	"4"	"4"	"6"	"371"
"175"	"82"	"29"	"54"	"6"	"220"	"4"	"6"	"2"	"2"	"323"
"176"	"83"	"35"	"51"	"4"	"260"	"11"	"7"	"6"	"7"	"381"
"177"	"84"	"78"	"46"	"5"	"80"	"14"	"64"	"3"	"3"	"293"
"178"	"85"	"49"	"60"	"6"	"126"	"7"	"24"	"4"	"8"	"284"
"179"	"86"	"77"	"49"	"2"	"210"	"8"	"16"	"7"	"26"	"395"
"180"	"87"	"85"	"66"	"3"	"124"	"16"	"19"	"4"	"20"	"337"
"181"	"88"	"21"	"85"	"6"	"243"	"11"	"5"	"5"	"4"	"380"
"182"	"88A"	"21"	"13"	"4"	"199"	"7"	"4"	"3"	"10"	"261"
"183"	"89"	"36"	"130"	"8"	"281"	"8"	"7"	"4"	"9"	"483"
"184"	"90"	"129"	"76"	"10"	"239"	"13"	"13"	"6"	"27"	"513"
"185"	";ksx"	"844"	"795"	"69"	"2767"	"134"	"236"	"70"	"179"	"5094"
"186"	""	""	""	""	""	""	""	""	""	""
"187"	"LFkku &"	""	""	""	""	""	""	""	""	""
"188"	""	""	""	""	""	""	""	""	""	""
"189"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"190"	""	""	""	""	""	""	""	""	""	""
"191"	"izi=&20"	""	""	""	""	""	""	""	""	""
"192"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"193"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"194"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"195"	""	""	""	""	""	""	""	"8th Round"	""	""
"196"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"197"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"198"	"91"	"40"	"18"	"5"	"353"	"14"	"10"	"6"	"12"	"458"
"199"	"92"	"95"	"86"	"4"	"97"	"3"	"13"	"1"	"11"	"310"
"200"	"93"	"161"	"50"	"4"	"189"	"7"	"14"	"2"	"10"	"437"
"201"	"94"	"400"	"23"	"7"	"56"	"13"	"11"	"10"	"34"	"554"
"202"	"95"	"51"	"31"	"9"	"241"	"7"	"17"	"66"	"16"	"438"
"203"	"96"	"14"	"65"	"16"	"196"	"15"	"10"	"3"	"2"	"321"
"204"	"97"	"72"	"45"	"11"	"55"	"11"	"11"	"6"	"12"	"223"
"205"	"98"	"28"	"283"	"3"	"24"	"1"	"44"	"3"	"5"	"391"
"206"	"99"	"11"	"119"	"6"	"241"	"9"	"7"	"2"	"6"	"401"
"207"	"100"	"21"	"349"	"8"	"96"	"5"	"9"	"3"	"2"	"493"
"208"	"101"	"68"	"109"	"8"	"230"	"24"	"12"	"8"	"22"	"481"
"209"	"102"	"1"	"225"	"1"	"18"	"5"	"89"	"1"	"0"	"340"
"210"	"103"	"1"	"498"	"0"	"0"	"1"	"37"	"1"	"0"	"538"
"211"	"104"	"14"	"42"	"5"	"194"	"30"	"1"	"4"	"4"	"294"
"212"	";ksx"	"977"	"1943"	"87"	"1990"	"145"	"285"	"116"	"136"	"5679"
"213"	""	""	""	""	""	""	""	""	""	""
"214"	"LFkku &"	""	""	""	""	""	""	""	""	""
"215"	""	""	""	""	""	""	""	""	""	""
"216"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"217"	""	""	""	""	""	""	""	""	""	""
"218"	"izi=&20"	""	""	""	""	""	""	""	""	""
"219"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"220"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"221"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"222"	""	""	""	""	""	""	""	"9th Round"	""	""
"223"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"224"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"225"	"105"	"17"	"161"	"4"	"88"	"1"	"28"	"7"	"6"	"312"
"226"	"106"	"35"	"74"	"8"	"286"	"11"	"8"	"6"	"3"	"431"
"227"	"107"	"17"	"46"	"2"	"182"	"5"	"43"	"1"	"7"	"303"
"228"	"108"	"21"	"153"	"5"	"126"	"10"	"23"	"1"	"11"	"350"
"229"	"109"	"10"	"130"	"0"	"23"	"2"	"15"	"2"	"2"	"184"
"230"	"109A"	"15"	"169"	"7"	"33"	"5"	"7"	"4"	"9"	"249"
"231"	"110"	"117"	"189"	"10"	"80"	"8"	"17"	"6"	"6"	"433"
"232"	"110A"	"4"	"88"	"7"	"8"	"1"	"6"	"1"	"5"	"120"
"233"	"111"	"12"	"280"	"5"	"113"	"5"	"13"	"6"	"4"	"438"
"234"	"112"	"20"	"258"	"8"	"121"	"4"	"14"	"6"	"8"	"439"
"235"	"113"	"37"	"320"	"1"	"104"	"5"	"11"	"1"	"6"	"485"
"236"	"114"	"19"	"187"	"5"	"52"	"4"	"7"	"6"	"17"	"297"
"237"	"114A"	"9"	"202"	"5"	"109"	"11"	"11"	"6"	"6"	"359"
"238"	"115"	"16"	"375"	"8"	"150"	"3"	"4"	"6"	"0"	"562"
"239"	";ksx"	"349"	"2632"	"75"	"1475"	"75"	"207"	"59"	"90"	"4962"
"240"	""	""	""	""	""	""	""	""	""	""
"241"	"LFkku &"	""	""	""	""	""	""	""	""	""
"242"	""	""	""	""	""	""	""	""	""	""
"243"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"244"	""	""	""	""	""	""	""	""	""	""
"245"	"izi=&20"	""	""	""	""	""	""	""	""	""
"246"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"247"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"248"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"249"	""	""	""	""	""	""	""	"10th Round"	""	""
"250"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"251"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"252"	"116"	"31"	"212"	"4"	"145"	"5"	"18"	"8"	"6"	"429"
"253"	"116A"	"18"	"114"	"5"	"50"	"4"	"4"	"0"	"5"	"200"
"254"	"117"	"74"	"153"	"9"	"206"	"9"	"7"	"4"	"6"	"468"
"255"	"118"	"67"	"220"	"5"	"132"	"9"	"17"	"4"	"17"	"471"
"256"	"119"	"30"	"87"	"1"	"98"	"9"	"8"	"3"	"10"	"246"
"257"	"120"	"37"	"90"	"14"	"457"	"21"	"38"	"7"	"32"	"696"
"258"	"121"	"38"	"18"	"6"	"298"	"6"	"27"	"3"	"7"	"403"
"259"	"122"	"32"	"17"	"7"	"259"	"9"	"58"	"8"	"3"	"393"
"260"	"122A"	"7"	"38"	"-"	"37"	"1"	"9"	"2"	"2"	"96"
"261"	"123"	"33"	"20"	"5"	"273"	"30"	"44"	"8"	"37"	"450"
"262"	"124"	"33"	"36"	"2"	"208"	"11"	"15"	"3"	"8"	"316"
"263"	"125"	"32"	"21"	"4"	"155"	"8"	"95"	"3"	"7"	"325"
"264"	"126"	"8"	"24"	"2"	"207"	"5"	"16"	"2"	"2"	"266"
"265"	"127"	"13"	"2"	"2"	"343"	"15"	"9"	"6"	"19"	"409"
"266"	";ksx"	"453"	"1052"	"66"	"2868"	"142"	"365"	"61"	"161"	"5168"
"267"	""	""	""	""	""	""	""	""	""	""
"268"	"LFkku &"	""	""	""	""	""	""	""	""	""
"269"	""	""	""	""	""	""	""	""	""	""
"270"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"271"	""	""	""	""	""	""	""	""	""	""
"272"	"izi=&20"	""	""	""	""	""	""	""	""	""
"273"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"274"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"275"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"276"	""	""	""	""	""	""	""	"11th Round"	""	""
"277"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"278"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"279"	"127A"	"21"	"191"	"16"	"115"	"3"	"12"	"1"	"5"	"364"
"280"	"128"	"30"	"45"	"7"	"375"	"35"	"10"	"7"	"21"	"530"
"281"	"129"	"4"	"128"	"1"	"4"	"0"	"20"	"2"	"3"	"162"
"282"	"129A"	"19"	"130"	"7"	"56"	"4"	"38"	"3"	"12"	"269"
"283"	"130"	"42"	"87"	"9"	"100"	"5"	"67"	"6"	"5"	"321"
"284"	"130A"	"30"	"61"	"7"	"108"	"13"	"11"	"3"	"9"	"242"
"285"	"131"	"13"	"32"	"6"	"216"	"14"	"10"	"2"	"8"	"301"
"286"	"131A"	"145"	"117"	"11"	"66"	"7"	"15"	"11"	"21"	"393"
"287"	"132"	"65"	"20"	"10"	"341"	"11"	"7"	"7"	"10"	"471"
"288"	"133"	"145"	"140"	"6"	"49"	"4"	"36"	"7"	"10"	"397"
"289"	"134"	"7"	"35"	"2"	"291"	"10"	"3"	"2"	"3"	"353"
"290"	"135"	"56"	"304"	"1"	"24"	"1"	"2"	"1"	"1"	"390"
"291"	"136"	"7"	"64"	"2"	"144"	"4"	"4"	"1"	"1"	"227"
"292"	"137"	"40"	"77"	"7"	"155"	"3"	"6"	"5"	"11"	"304"
"293"	";ksx"	"624"	"1431"	"92"	"2044"	"114"	"241"	"58"	"120"	"4724"
"294"	""	""	""	""	""	""	""	""	""	""
"295"	"LFkku &"	""	""	""	""	""	""	""	""	""
"296"	""	""	""	""	""	""	""	""	""	""
"297"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"298"	""	""	""	""	""	""	""	""	""	""
"299"	"izi=&20"	""	""	""	""	""	""	""	""	""
"300"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"301"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"302"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"303"	""	""	""	""	""	""	""	"12th Round"	""	""
"304"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
