"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"82"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"83"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"84"	"BF"	"11010"	"1465"	"3946"	"478"	"8327"	"494"	"242"	"509"	"26471"	"0"	"26471"	"0"
"85"	"45"	"163"	"21"	"80"	"19"	"223"	"16"	"4"	"9"	"535"	"0"	"535"	"0"
"86"	"45 A"	"44"	"6"	"61"	"2"	"87"	"6"	"2"	"5"	"213"	"0"	"213"	"0"
"87"	"46"	"156"	"36"	"109"	"14"	"210"	"10"	"7"	"6"	"548"	"0"	"548"	"0"
"88"	"47"	"176"	"3"	"190"	"4"	"43"	"3"	"1"	"1"	"421"	"0"	"421"	"0"
"89"	"48"	"302"	"8"	"26"	"9"	"162"	"12"	"3"	"7"	"529"	"0"	"529"	"0"
"90"	"49"	"193"	"7"	"66"	"6"	"166"	"7"	"5"	"14"	"464"	"0"	"464"	"0"
"91"	"50"	"301"	"7"	"29"	"9"	"55"	"4"	"0"	"6"	"411"	"0"	"411"	"0"
"92"	"51"	"130"	"5"	"83"	"10"	"109"	"13"	"5"	"6"	"361"	"0"	"361"	"0"
"93"	"52"	"198"	"5"	"121"	"6"	"191"	"12"	"5"	"3"	"541"	"0"	"541"	"0"
"94"	"53"	"281"	"8"	"102"	"8"	"189"	"10"	"3"	"3"	"604"	"0"	"604"	"0"
"95"	"54"	"169"	"4"	"2"	"70"	"191"	"7"	"5"	"6"	"454"	"0"	"454"	"0"
"96"	"55"	"83"	"3"	"81"	"142"	"104"	"5"	"4"	"9"	"431"	"0"	"431"	"0"
"97"	"56"	"82"	"11"	"26"	"12"	"338"	"9"	"5"	"2"	"485"	"0"	"485"	"0"
"98"	"57"	"213"	"5"	"139"	"11"	"216"	"5"	"2"	"4"	"595"	"0"	"595"	"0"
"99"	"TOTAL"	"13501"	"1594"	"5061"	"800"	"10611"	"613"	"293"	"590"	"33063"	"0"	"33063"	"0"
"100"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"103"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"104"	"BF"	"13501"	"1594"	"5061"	"800"	"10611"	"613"	"293"	"590"	"33063"	"0"	"33063"	"0"
"105"	"58"	"122"	"9"	"216"	"13"	"251"	"19"	"8"	"12"	"650"	"0"	"650"	"0"
"106"	"59"	"238"	"10"	"23"	"10"	"160"	"17"	"2"	"15"	"475"	"0"	"475"	"0"
"107"	"59 A"	"154"	"2"	"37"	"8"	"90"	"4"	"7"	"11"	"313"	"0"	"313"	"0"
"108"	"60"	"374"	"3"	"3"	"13"	"180"	"8"	"4"	"15"	"600"	"0"	"600"	"0"
"109"	"61"	"96"	"13"	"330"	"9"	"303"	"9"	"2"	"11"	"773"	"0"	"773"	"0"
"110"	"62"	"258"	"12"	"15"	"10"	"181"	"11"	"5"	"12"	"504"	"0"	"504"	"0"
"111"	"62 A"	"141"	"2"	"0"	"3"	"43"	"0"	"0"	"3"	"192"	"0"	"192"	"0"
"112"	"63"	"145"	"3"	"7"	"8"	"311"	"7"	"7"	"7"	"495"	"0"	"495"	"0"
"113"	"63 A"	"80"	"3"	"1"	"7"	"69"	"5"	"2"	"1"	"168"	"0"	"168"	"0"
"114"	"64"	"250"	"2"	"24"	"5"	"72"	"4"	"1"	"10"	"368"	"0"	"368"	"0"
"115"	"64 A"	"182"	"0"	"3"	"4"	"61"	"4"	"2"	"2"	"258"	"0"	"258"	"0"
"116"	"65"	"232"	"5"	"10"	"4"	"81"	"5"	"3"	"4"	"344"	"0"	"344"	"0"
"117"	"65 A"	"231"	"8"	"8"	"4"	"99"	"7"	"1"	"8"	"366"	"0"	"366"	"0"
"118"	"66"	"304"	"6"	"16"	"14"	"252"	"14"	"8"	"9"	"623"	"0"	"623"	"0"
"119"	"TOTAL"	"16308"	"1672"	"5754"	"912"	"12764"	"727"	"345"	"710"	"39192"	"0"	"39192"	"0"
"120"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"123"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"124"	"BF"	"16308"	"1672"	"5754"	"912"	"12764"	"727"	"345"	"710"	"39192"	"0"	"39192"	"0"
"125"	"66 A"	"68"	"1"	"37"	"6"	"129"	"11"	"6"	"9"	"267"	"0"	"267"	"0"
"126"	"67"	"232"	"8"	"55"	"10"	"197"	"9"	"3"	"4"	"518"	"0"	"518"	"0"
"127"	"67 A"	"29"	"13"	"414"	"7"	"24"	"1"	"1"	"5"	"494"	"0"	"494"	"0"
"128"	"68"	"205"	"3"	"32"	"1"	"11"	"2"	"2"	"6"	"262"	"0"	"262"	"0"
"129"	"69"	"470"	"11"	"48"	"7"	"80"	"10"	"1"	"7"	"634"	"0"	"634"	"0"
"130"	"70"	"125"	"13"	"83"	"21"	"347"	"32"	"4"	"22"	"647"	"0"	"647"	"0"
"131"	"71"	"301"	"47"	"24"	"5"	"76"	"3"	"3"	"2"	"461"	"0"	"461"	"0"
"132"	"72"	"324"	"11"	"4"	"2"	"18"	"3"	"0"	"5"	"367"	"0"	"367"	"0"
"133"	"73"	"218"	"7"	"7"	"2"	"50"	"3"	"4"	"16"	"307"	"0"	"307"	"0"
"134"	"73 A"	"224"	"9"	"174"	"9"	"26"	"6"	"7"	"25"	"480"	"0"	"480"	"0"
"135"	"74"	"221"	"17"	"18"	"17"	"137"	"10"	"4"	"7"	"431"	"0"	"431"	"0"
"136"	"75"	"101"	"6"	"145"	"5"	"53"	"5"	"7"	"3"	"325"	"0"	"325"	"0"
"137"	"76"	"137"	"22"	"34"	"3"	"158"	"10"	"6"	"10"	"380"	"0"	"380"	"0"
"138"	"77"	"101"	"2"	"5"	"5"	"145"	"4"	"1"	"5"	"268"	"0"	"268"	"0"
"139"	"TOTAL"	"19064"	"1842"	"6834"	"1012"	"14215"	"836"	"394"	"836"	"45033"	"0"	"45033"	"0"
"140"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"143"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"144"	"BF"	"19064"	"1842"	"6834"	"1012"	"14215"	"836"	"394"	"836"	"45033"	"0"	"45033"	"0"
"145"	"77 A"	"75"	"8"	"13"	"7"	"62"	"4"	"7"	"3"	"179"	"0"	"179"	"0"
"146"	"78"	"612"	"31"	"20"	"9"	"70"	"5"	"3"	"15"	"765"	"0"	"765"	"0"
"147"	"79"	"117"	"62"	"74"	"9"	"141"	"4"	"2"	"6"	"415"	"0"	"415"	"0"
"148"	"80"	"184"	"3"	"5"	"4"	"109"	"7"	"3"	"5"	"320"	"0"	"320"	"0"
"149"	"81"	"252"	"6"	"143"	"5"	"19"	"2"	"1"	"0"	"428"	"0"	"428"	"0"
"150"	"82"	"227"	"18"	"95"	"12"	"142"	"6"	"7"	"11"	"518"	"0"	"518"	"0"
"151"	"83"	"161"	"12"	"91"	"6"	"151"	"10"	"3"	"7"	"441"	"0"	"441"	"0"
"152"	"84"	"159"	"21"	"132"	"14"	"164"	"9"	"2"	"0"	"501"	"0"	"501"	"0"
"153"	"85"	"242"	"4"	"2"	"0"	"23"	"2"	"0"	"2"	"275"	"0"	"275"	"0"
"154"	"85 A"	"120"	"1"	"3"	"3"	"116"	"3"	"5"	"2"	"253"	"0"	"253"	"0"
"155"	"86"	"147"	"25"	"15"	"1"	"73"	"5"	"2"	"1"	"269"	"0"	"269"	"0"
"156"	"87"	"114"	"25"	"197"	"5"	"68"	"7"	"1"	"3"	"420"	"0"	"420"	"0"
"157"	"88"	"338"	"18"	"107"	"8"	"145"	"8"	"4"	"4"	"632"	"0"	"632"	"0"
"158"	"89"	"375"	"4"	"79"	"11"	"112"	"8"	"3"	"5"	"597"	"0"	"597"	"0"
"159"	"TOTAL"	"22187"	"2080"	"7810"	"1106"	"15610"	"916"	"437"	"900"	"51046"	"0"	"51046"	"0"
"160"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"163"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"164"	"BF"	"22187"	"2080"	"7810"	"1106"	"15610"	"916"	"437"	"900"	"51046"	"0"	"51046"	"0"
"165"	"90"	"230"	"5"	"89"	"11"	"80"	"5"	"3"	"1"	"424"	"0"	"424"	"0"
"166"	"91"	"180"	"18"	"102"	"20"	"57"	"2"	"5"	"17"	"401"	"0"	"401"	"0"
"167"	"91 A"	"91"	"5"	"3"	"1"	"112"	"6"	"1"	"8"	"227"	"0"	"227"	"0"
"168"	"92"	"15"	"0"	"0"	"0"	"142"	"0"	"0"	"0"	"157"	"0"	"157"	"0"
"169"	"93"	"184"	"13"	"140"	"7"	"146"	"9"	"6"	"5"	"510"	"0"	"510"	"0"
"170"	"94"	"145"	"7"	"115"	"11"	"205"	"11"	"5"	"10"	"509"	"0"	"509"	"0"
"171"	"95"	"157"	"6"	"94"	"4"	"172"	"7"	"9"	"19"	"468"	"0"	"468"	"0"
"172"	"96"	"288"	"9"	"68"	"5"	"235"	"12"	"3"	"12"	"632"	"0"	"632"	"0"
"173"	"97"	"168"	"14"	"114"	"8"	"188"	"5"	"4"	"4"	"505"	"0"	"505"	"0"
"174"	"98"	"115"	"8"	"34"	"14"	"324"	"9"	"1"	"2"	"507"	"0"	"507"	"0"
"175"	"99"	"377"	"14"	"37"	"11"	"230"	"10"	"8"	"21"	"708"	"0"	"708"	"0"
"176"	"100"	"241"	"1"	"31"	"3"	"232"	"2"	"0"	"2"	"512"	"0"	"512"	"0"
"177"	"101"	"157"	"5"	"121"	"7"	"284"	"3"	"2"	"2"	"581"	"0"	"581"	"0"
"178"	"102"	"47"	"1"	"2"	"10"	"343"	"12"	"4"	"7"	"426"	"0"	"426"	"0"
"179"	"TOTAL"	"24582"	"2186"	"8760"	"1218"	"18360"	"1009"	"488"	"1010"	"57613"	"0"	"57613"	"0"
"180"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"183"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"184"	"BF"	"24582"	"2186"	"8760"	"1218"	"18360"	"1009"	"488"	"1010"	"57613"	"0"	"57613"	"0"
"185"	"103"	"150"	"11"	"263"	"9"	"72"	"9"	"5"	"5"	"524"	"0"	"524"	"0"
"186"	"104"	"241"	"5"	"179"	"16"	"145"	"8"	"4"	"16"	"614"	"0"	"614"	"0"
"187"	"105"	"108"	"1"	"18"	"3"	"281"	"6"	"3"	"2"	"422"	"0"	"422"	"0"
"188"	"106"	"267"	"12"	"77"	"8"	"312"	"9"	"12"	"9"	"706"	"0"	"706"	"0"
"189"	"107"	"253"	"17"	"147"	"9"	"83"	"7"	"7"	"11"	"534"	"0"	"534"	"0"
"190"	"108"	"143"	"3"	"282"	"15"	"20"	"1"	"1"	"7"	"472"	"0"	"472"	"0"
"191"	"108 A"	"94"	"4"	"46"	"2"	"33"	"6"	"1"	"6"	"192"	"0"	"192"	"0"
"192"	"109"	"126"	"2"	"35"	"11"	"371"	"21"	"4"	"13"	"583"	"0"	"583"	"0"
"193"	"110"	"191"	"5"	"59"	"6"	"160"	"4"	"1"	"4"	"430"	"0"	"430"	"0"
"194"	"111"	"343"	"8"	"170"	"11"	"140"	"5"	"0"	"3"	"680"	"0"	"680"	"0"
"195"	"112"	"230"	"15"	"101"	"10"	"157"	"14"	"13"	"17"	"557"	"0"	"557"	"0"
"196"	"113"	"22"	"6"	"41"	"5"	"437"	"4"	"0"	"0"	"515"	"0"	"515"	"0"
"197"	"114"	"158"	"7"	"125"	"13"	"80"	"6"	"3"	"10"	"402"	"0"	"402"	"0"
"198"	"115"	"249"	"9"	"44"	"6"	"237"	"6"	"4"	"8"	"563"	"0"	"563"	"0"
"199"	"TOTAL"	"27157"	"2291"	"10347"	"1342"	"20888"	"1115"	"546"	"1121"	"64807"	"0"	"64807"	"0"
"200"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"203"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"204"	"BF"	"27157"	"2291"	"10347"	"1342"	"20888"	"1115"	"546"	"1121"	"64807"	"0"	"64807"	"0"
"205"	"116"	"172"	"9"	"195"	"20"	"322"	"5"	"3"	"15"	"741"	"0"	"741"	"0"
"206"	"117"	"261"	"5"	"99"	"22"	"224"	"9"	"6"	"17"	"643"	"0"	"643"	"0"
"207"	"118"	"336"	"1"	"21"	"1"	"50"	"0"	"2"	"2"	"413"	"0"	"413"	"0"
"208"	"119"	"280"	"39"	"4"	"5"	"28"	"4"	"5"	"3"	"368"	"0"	"368"	"0"
"209"	"119 A"	"180"	"75"	"25"	"24"	"21"	"5"	"9"	"16"	"355"	"0"	"355"	"0"
"210"	"120"	"74"	"19"	"6"	"19"	"245"	"7"	"6"	"4"	"380"	"0"	"380"	"0"
