"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segmen      208477"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                      196-Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"40"	"20A"	"HIGH SCHOOL MASADH(W)"	"6"	"3"	"42"	"168"	"2"	"4"	"4"	"4"	"233"	"0"	"233"	"0"
"41"	"21"	"HIGH SCHOOL MASADH(N)"	"4"	"4"	"58"	"111"	"1"	"6"	"4"	"6"	"194"	"0"	"194"	"0"
"42"	"21A"	"HIGH SCHOOL MASADH(S)"	"2"	"12"	"26"	"105"	"1"	"0"	"0"	"2"	"148"	"0"	"148"	"0"
"43"	"22"	"PRIMARY SCHOOL MASADH(SOUTH TOLA)"	"6"	"3"	"137"	"7"	"1"	"3"	"1"	"4"	"162"	"0"	"162"	"0"
"44"	"23"	"PRIMARY SCHOOL MILKI"	"12"	"71"	"166"	"198"	"6"	"7"	"0"	"3"	"463"	"0"	"463"	"0"
"45"	"24"	"PRIMARY SCHOOL BAMPALI(W)"	"21"	"12"	"303"	"162"	"9"	"4"	"7"	"24"	"542"	"0"	"542"	"0"
"46"	"25"	"PRIMARY SCHOOL BAMPALI NEW BHAWAN"	"25"	"82"	"119"	"198"	"15"	"7"	"7"	"24"	"477"	"0"	"477"	"0"
"47"	"26"	"PRIMARY SCHOOL AKHTIYARPUR(N)"	"18"	"91"	"199"	"102"	"10"	"16"	"10"	"16"	"462"	"0"	"462"	"0"
"48"	"27"	"PRIMARY SCHOOL AKHTIYARPUR (S)"	"23"	"156"	"213"	"45"	"13"	"15"	"11"	"11"	"487"	"0"	"487"	"0"
"49"	"28"	"PRIMARY SCHOOL PAKARIYABAR"	"94"	"105"	"268"	"76"	"11"	"15"	"2"	"11"	"582"	"0"	"582"	"0"
"50"	"29"	"PRIMARY SCHOOL DIHARI"	"8"	"28"	"302"	"12"	"3"	"4"	"6"	"8"	"371"	"0"	"371"	"0"
"51"	"30"	"PRIMARY SCHOOL MAHATWANIYA"	"31"	"44"	"243"	"3"	"11"	"3"	"3"	"8"	"346"	"0"	"346"	"0"
"52"	"31"	"SAHKARITA GODAM ASANI"	"24"	"73"	"229"	"190"	"1"	"5"	"1"	"8"	"531"	"0"	"531"	"0"
"53"	"32"	"HIGH SCHOOL ASANI"	"13"	"44"	"304"	"16"	"7"	"10"	"3"	"11"	"408"	"0"	"408"	"0"
"54"	"33"	"PRIMARY SCHOOL MALTHAR"	"1"	"21"	"413"	"14"	"2"	"3"	"3"	"0"	"457"	"0"	"457"	"0"
"55"	"34"	"RAJKIYA KANYA PRIMARY SCHOOL BHELAI"	"15"	"112"	"86"	"198"	"9"	"9"	"2"	"7"	"438"	"0"	"438"	"0"
"56"	"35"	"PRIMARY SCHOOL BHELAI NEW BHAWAN"	"13"	"30"	"286"	"19"	"0"	"8"	"0"	"9"	"365"	"0"	"365"	"0"
"57"	"36"	"PRIMARY SCHOOL KALYANPUR"	"8"	"66"	"213"	"42"	"2"	"3"	"0"	"6"	"340"	"0"	"340"	"0"
"58"	"37"	"PANCHAYAT BHAWAN CHAURAI"	"13"	"143"	"191"	"101"	"7"	"6"	"6"	"8"	"475"	"0"	"475"	"0"
"59"	"38"	"PRIMARY SCHOOL TETARIYA"	"10"	"25"	"233"	"66"	"10"	"5"	"0"	"7"	"356"	"0"	"356"	"0"
"60"	"39"	"PRIMARY SCHOOL BEHRA"	"2"	"29"	"286"	"1"	"0"	"0"	"1"	"0"	"319"	"0"	"319"	"0"
"61"	"40"	"PRIMARY SCHOOL EKAUNA(WEST)"	"18"	"73"	"76"	"201"	"12"	"3"	"3"	"3"	"389"	"0"	"389"	"0"
"62"	"41"	"PRIMARY SCHOOL EKAUNA(EAST)"	"14"	"127"	"50"	"247"	"4"	"6"	"4"	"10"	"462"	"0"	"462"	"0"
"63"	"42"	"PRIMARY SCHOOL MILKI"	"26"	"86"	"418"	"14"	"5"	"6"	"2"	"3"	"560"	"0"	"560"	"0"
"64"	"43"	"SAHKARITA GODAM KESHAVPUR BAKARI"	"10"	"231"	"139"	"151"	"4"	"6"	"2"	"8"	"551"	"0"	"551"	"0"
"65"	"44"	"PRIMARY SCHOOL GHORPOKHAR"	"8"	"10"	"324"	"7"	"0"	"0"	"0"	"0"	"349"	"0"	"349"	"0"
"66"	"45"	"MIDDLE SCHOOL BAKARI"	"2"	"17"	"15"	"201"	"2"	"2"	"1"	"2"	"242"	"0"	"242"	"0"
"67"	"46"	"PRIMARY SCHOOL DARIYAPUR"	"9"	"242"	"108"	"80"	"5"	"3"	"5"	"5"	"457"	"0"	"457"	"0"
"68"	"47"	"PRIMARY SCHOOL GODHNA"	"5"	"47"	"98"	"221"	"11"	"2"	"4"	"5"	"393"	"0"	"393"	"0"
"69"	"48"	"PRIMARY SCHOOL CHAKIYA"	"10"	"47"	"426"	"22"	"0"	"5"	"2"	"5"	"517"	"0"	"517"	"0"
"70"	"49"	"PRIMARY SCHOOL DEORIYA"	"11"	"86"	"149"	"132"	"6"	"2"	"10"	"6"	"402"	"0"	"402"	"0"
"71"	"50"	"PRIMARY SCHOOL KHALISA"	"26"	"83"	"227"	"223"	"12"	"16"	"3"	"11"	"601"	"0"	"601"	"0"
"72"	"51"	"PRIMARY SCHOOL PIYANIYA"	"8"	"244"	"190"	"252"	"10"	"6"	"3"	"8"	"721"	"0"	"721"	"0"
"73"	"52"	"MIDDLE SCHOOL PIYANIYA"	"25"	"107"	"112"	"358"	"8"	"8"	"5"	"12"	"635"	"0"	"635"	"0"
"74"	"53"	"PRIMARY SCHOOL BAZARUAN"	"10"	"33"	"395"	"9"	"1"	"5"	"3"	"2"	"458"	"0"	"458"	"0"
"75"	"54"	"PRIMARY SCHOOL PRAKHAND COLONY UDWANTNAGAR"	"35"	"255"	"127"	"186"	"27"	"13"	"13"	"11"	"667"	"0"	"667"	"0"
"76"	"55"	"MIDDLE SCHOOL UDWANTNAGAR (NORTH)"	"9"	"4"	"40"	"703"	"7"	"0"	"2"	"2"	"767"	"0"	"767"	"0"
"77"	"56"	"MIDDIL SCHOOL UDWANTNAGAR (SOUTH)"	"7"	"48"	"58"	"720"	"14"	"4"	"0"	"4"	"855"	"0"	"855"	"0"
"78"	"57"	"SAHKARITA GODAM UDWANTNAGAR"	"0"	"1"	"11"	"491"	"2"	"0"	"0"	"0"	"505"	"0"	"505"	"0"
"79"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"80"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"81"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"82"	"58"	"PRIMARY SAH PRASIKCHAN PARISAR KENDRA UDWANTNAGAR"	"2"	"29"	"252"	"176"	"3"	"6"	"3"	"1"	"472"	"0"	"472"	"0"
"83"	"59"	"PRIMARY SCHOOL GARAHA"	"2"	"27"	"465"	"5"	"0"	"0"	"1"	"0"	"500"	"0"	"500"	"0"
"84"	"60"	"PANCHAYAT BHAWAN RAGHAVPUR"	"0"	"1"	"274"	"1"	"0"	"0"	"0"	"0"	"276"	"0"	"276"	"0"
"85"	"61"	"PRIMARY SCHOOL BHOPAULI"	"0"	"5"	"340"	"8"	"0"	"1"	"0"	"0"	"354"	"0"	"354"	"0"
"86"	"62"	"PRIMARY SCHOOL JAITPUR(E)"	"5"	"80"	"83"	"271"	"9"	"0"	"0"	"5"	"453"	"0"	"453"	"0"
"87"	"62A"	"PRIMARY SCHOOL JAITPUR(W)"	"5"	"41"	"131"	"116"	"4"	"7"	"2"	"6"	"312"	"0"	"312"	"0"
"88"	"63"	"PRIMARY SCHOOL SONEPURA"	"7"	"108"	"309"	"37"	"3"	"3"	"4"	"2"	"473"	"0"	"473"	"0"
"89"	"64"	"PRIMARY SCHOOL BIRAMPUR"	"10"	"177"	"215"	"64"	"9"	"5"	"3"	"4"	"487"	"0"	"487"	"0"
"90"	"65"	"PRIMARY SCHOOL KHEEREETANDH"	"7"	"49"	"158"	"14"	"5"	"0"	"0"	"0"	"233"	"0"	"233"	"0"
"91"	"66"	"PRIMARY SCHOOL MORATH"	"12"	"50"	"355"	"42"	"0"	"2"	"3"	"1"	"465"	"0"	"465"	"0"
"92"	"67"	"PRIMARY SCHOOL SHRIRAMPUR"	"3"	"8"	"132"	"65"	"1"	"2"	"0"	"4"	"215"	"0"	"215"	"0"
"93"	"68"	"PANCHAYAT BHAWAN ERAURA"	"25"	"241"	"307"	"53"	"10"	"7"	"5"	"4"	"652"	"0"	"652"	"0"
"94"	"69"	"PRIMARY SCHOOL BASAURI"	"4"	"48"	"400"	"116"	"2"	"1"	"1"	"0"	"572"	"0"	"572"	"0"
"95"	"70"	"HIGH SCHOOL KASAP(E)"	"17"	"105"	"204"	"140"	"6"	"6"	"2"	"4"	"484"	"0"	"484"	"0"
"96"	"70A"	"HIGH SCHOOL KASAP(W)"	"14"	"58"	"99"	"79"	"5"	"7"	"1"	"3"	"266"	"0"	"266"	"0"
"97"	"71"	"PRIMARY SCHOOL KASAP (NORTH)"	"10"	"124"	"117"	"123"	"6"	"4"	"7"	"5"	"396"	"0"	"396"	"0"
"98"	"71A"	"PRIMARY SCHOOL KASAP (MIDDLE PART)"	"3"	"13"	"34"	"322"	"9"	"3"	"2"	"4"	"390"	"0"	"390"	"0"
"99"	"72"	"PRIMARY SCHOOL KASAP (SOUTH)"	"5"	"236"	"347"	"86"	"7"	"10"	"6"	"5"	"702"	"0"	"702"	"0"
"100"	"73"	"PRIMARY SCHOOL NEEMA"	"3"	"11"	"349"	"9"	"3"	"3"	"5"	"12"	"395"	"0"	"395"	"0"
"101"	"74"	"PRIMARY SCHOOL SEWGAAR"	"6"	"92"	"109"	"105"	"4"	"3"	"1"	"4"	"324"	"0"	"324"	"0"
"102"	"75"	"PRIMARY SAKHUAN"	"14"	"159"	"226"	"34"	"6"	"6"	"5"	"5"	"455"	"0"	"455"	"0"
"103"	"76"	"PRIMARY SCHOOL KUSUMAHA"	"20"	"76"	"363"	"187"	"3"	"10"	"3"	"13"	"675"	"0"	"675"	"0"
"104"	"77"	"PRIMARY SCHOOL SURHANI"	"14"	"455"	"72"	"91"	"5"	"3"	"7"	"5"	"652"	"0"	"652"	"0"
"105"	"78"	"PRIMARY SCHOOL KHARAUNI"	"10"	"147"	"188"	"90"	"1"	"2"	"5"	"1"	"444"	"0"	"444"	"0"
"106"	"79"	"PRIMARY SCHOOL JAINAGAR"	"11"	"204"	"230"	"13"	"1"	"2"	"3"	"3"	"467"	"0"	"467"	"0"
"107"	"80"	"MIDDLE SCHOOL SARATHUA(SOUTH)"	"59"	"130"	"169"	"168"	"3"	"3"	"4"	"10"	"546"	"0"	"546"	"0"
"108"	"81"	"MIDDLE SCHOOL SARATHUA (NORTH)"	"79"	"323"	"209"	"54"	"5"	"2"	"1"	"10"	"683"	"0"	"683"	"0"
"109"	"82"	"HIGH SCHOOL SARATHUA"	"14"	"66"	"69"	"233"	"4"	"1"	"1"	"1"	"389"	"0"	"389"	"0"
"110"	"83"	"MIDDLE SCHOOL BELAUR (EAST)"	"1"	"13"	"25"	"568"	"5"	"0"	"0"	"0"	"612"	"0"	"612"	"0"
"111"	"84"	"HIGH SCHOOL BELAUR (EAST)"	"2"	"57"	"130"	"296"	"3"	"1"	"2"	"5"	"496"	"0"	"496"	"0"
"112"	"85"	"SAMUDAIK BHAWAN BELAUR"	"15"	"20"	"24"	"418"	"8"	"3"	"6"	"6"	"500"	"0"	"500"	"0"
"113"	"86"	"PRIMRY SCHOOL BELAUR (GIRL)"	"38"	"296"	"93"	"187"	"22"	"8"	"5"	"7"	"656"	"0"	"656"	"0"
"114"	"87"	"PRIMARY SCHOOL CHAKARDAH NEW BHAWAN"	"14"	"397"	"99"	"22"	"3"	"6"	"11"	"9"	"561"	"0"	"561"	"0"
"115"	"88"	"HIGH SCHOOL BELAUR (WEST)"	"3"	"74"	"19"	"164"	"4"	"0"	"0"	"3"	"267"	"0"	"267"	"0"
"116"	"89"	"PRIMARY SCHOOL BHAGAWATIPUR"	"0"	"3"	"629"	"2"	"0"	"1"	"0"	"0"	"635"	"0"	"635"	"0"
"117"	"90"	"PRIMARY SCHOOL DARSHAN CHHAPRA"	"8"	"69"	"369"	"12"	"7"	"4"	"5"	"10"	"484"	"0"	"484"	"0"
"118"	"91"	"PRIMARY SCHOOL JAMUAON(NORTH)"	"23"	"297"	"58"	"143"	"11"	"4"	"10"	"7"	"553"	"0"	"553"	"0"
"119"	"92"	"PANCHAYAT BHAWAN JAMUAON"	"7"	"92"	"269"	"40"	"22"	"4"	"7"	"9"	"450"	"0"	"450"	"0"
"120"	"93"	"PRIMARY SCHOOL WARDIHA"	"14"	"33"	"238"	"13"	"5"	"10"	"6"	"13"	"332"	"0"	"332"	"0"
"121"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"122"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"123"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"124"	"94"	"PRIMARY SCHOOL DIHARI"	"7"	"6"	"455"	"14"	"3"	"10"	"0"	"6"	"501"	"0"	"501"	"0"
"125"	"95"	"PRIMARY SCHOOL KUSRE"	"25"	"103"	"250"	"106"	"13"	"11"	"11"	"26"	"545"	"0"	"545"	"0"
"126"	"96"	"PRIMARY SCHOOL PANDURA RAMPUR (NORTH)"	"27"	"211"	"30"	"116"	"6"	"4"	"2"	"7"	"403"	"0"	"403"	"0"
"127"	"97"	"PRIMARY SCHOOL PANDURA RAMPUR (SOUTH)"	"37"	"159"	"34"	"95"	"7"	"3"	"1"	"7"	"343"	"0"	"343"	"0"
"128"	"98"	"PRIMARY SCHOOL PANDURA (NORTH)"	"15"	"199"	"153"	"79"	"9"	"5"	"15"	"10"	"485"	"0"	"485"	"0"
"129"	"99"	"PRIMARY SCHOOL PANDURA (SOUTH)"	"13"	"131"	"213"	"198"	"13"	"10"	"7"	"1"	"586"	"0"	"586"	"0"
"130"	"100"	"PRIMARY SCHOOL DEWAR"	"1"	"80"	"383"	"28"	"3"	"4"	"1"	"2"	"502"	"0"	"502"	"0"
"131"	"101"	"PRIMARY SCHOOL KHOLPUR"	"11"	"40"	"445"	"18"	"9"	"9"	"6"	"12"	"550"	"0"	"550"	"0"
"132"	"102"	"PRIMARY SCHOOL PRATAPPUR"	"6"	"217"	"158"	"85"	"6"	"8"	"9"	"12"	"501"	"0"	"501"	"0"
"133"	"103"	"HIGH SCHOOL AKHGAON (SOUTH)"	"17"	"133"	"150"	"119"	"9"	"3"	"3"	"5"	"439"	"0"	"439"	"0"
"134"	"104"	"HIGH SCHOOL AKHGAON (NORTH)"	"15"	"33"	"122"	"181"	"9"	"5"	"1"	"8"	"374"	"0"	"374"	"0"
"135"	"105"	"PRIMARY SCHOOL BACHARI"	"0"	"7"	"133"	"325"	"4"	"2"	"1"	"6"	"478"	"0"	"478"	"0"
"136"	"106"	"PRIMARY SCHOOL SARIPUR"	"28"	"90"	"159"	"62"	"9"	"15"	"11"	"21"	"395"	"0"	"395"	"0"
"137"	"107"	"PRIMARY SCHOOL NARAYANPUR"	"4"	"99"	"89"	"214"	"4"	"2"	"2"	"5"	"419"	"0"	"419"	"0"
"138"	"108"	"PANCHAYAT BHAWAN NARAYANPUR"	"11"	"48"	"64"	"238"	"4"	"2"	"5"	"7"	"379"	"0"	"379"	"0"
"139"	"109"	"PRIMARY SCHOOL NASRATPUR NEW BHAWAN (NORTH)"	"14"	"80"	"181"	"188"	"13"	"6"	"3"	"10"	"495"	"0"	"495"	"0"
"140"	"110"	"PRIMARY SCHOOL NASRATPUR (SOUTH,NEW BHAWAN)"	"15"	"123"	"117"	"119"	"5"	"4"	"5"	"4"	"392"	"0"	"392"	"0"
"141"	"111"	"PANCHAYAT BHAWAN CHILAHAUS"	"28"	"189"	"152"	"150"	"7"	"4"	"2"	"3"	"535"	"0"	"535"	"0"
"142"	"112"	"PRIMARY SCHOOL CHILHAUS"	"83"	"245"	"171"	"188"	"13"	"16"	"19"	"33"	"768"	"0"	"768"	"0"
"143"	"113"	"PRIMARY SCHOOL TIRKAUL"	"14"	"255"	"112"	"123"	"6"	"5"	"7"	"12"	"534"	"0"	"534"	"0"
"144"	"114"	"URDU MAKHTAB TIRKAUL"	"20"	"192"	"141"	"61"	"8"	"5"	"5"	"2"	"434"	"0"	"434"	"0"
"145"	"115"	"MIDDLE SCHOOL SANDESH (EAST)"	"73"	"119"	"318"	"125"	"12"	"6"	"3"	"12"	"668"	"0"	"668"	"0"
"146"	"116"	"MIDDLE SCHOOL SANDESH (WEST)"	"76"	"119"	"82"	"73"	"4"	"1"	"1"	"8"	"364"	"0"	"364"	"0"
"147"	"116A"	"MIDDLE SCHOOL SANDESH (MIDDLE PART)"	"58"	"144"	"80"	"137"	"11"	"1"	"0"	"20"	"451"	"0"	"451"	"0"
"148"	"117"	"HARIJAN PRIMARY SCHOOL SIRKICHAK"	"21"	"246"	"260"	"14"	"0"	"2"	"2"	"5"	"550"	"0"	"550"	"0"
"149"	"118"	"PRIMARY SCHOOL AHPURA"	"19"	"312"	"161"	"237"	"10"	"13"	"10"	"13"	"775"	"0"	"775"	"0"
"150"	"119"	"PRIMARY SCHOOL KANDHARPUR"	"70"	"221"	"86"	"241"	"9"	"3"	"1"	"5"	"636"	"0"	"636"	"0"
"151"	"120"	"PRIMARY SCHOOL SURANGAPUR"	"5"	"10"	"233"	"176"	"4"	"9"	"2"	"8"	"447"	"0"	"447"	"0"
"152"	"121"	"PRIMARY SCHOOL DALELGANJ"	"12"	"40"	"241"	"57"	"5"	"4"	"1"	"7"	"367"	"0"	"367"	"0"
"153"	"122"	"PRIMARY SCHOOL JANESARA"	"14"	"37"	"175"	"2"	"3"	"3"	"2"	"11"	"247"	"0"	"247"	"0"
"154"	"123"	"HIGH SCHOOL KHANDAUL (SOUTH)"	"9"	"199"	"117"	"44"	"6"	"3"	"3"	"4"	"385"	"0"	"385"	"0"
"155"	"124"	"HIGH SCHOOL KHANDAUL (NORTH)"	"23"	"328"	"62"	"12"	"3"	"9"	"10"	"14"	"461"	"0"	"461"	"0"
"156"	"125"	"RAJASW BHAWAN KHANDOL"	"17"	"66"	"258"	"318"	"5"	"4"	"3"	"4"	"675"	"0"	"675"	"0"
"157"	"126"	"MIDDLE SCHOOL PHULARI"	"4"	"54"	"161"	"297"	"17"	"6"	"2"	"7"	"548"	"0"	"548"	"0"
"158"	"127"	"PRIMARY GIRL SCHOOL PHULARI"	"20"	"166"	"162"	"223"	"26"	"14"	"10"	"22"	"643"	"0"	"643"	"0"
"159"	"128"	"PRIMARY URDU SCHOOL BAGA"	"11"	"53"	"179"	"143"	"0"	"1"	"2"	"0"	"389"	"0"	"389"	"0"
"160"	"129"	"MIDDLE SCHOOL BAGA"	"7"	"141"	"50"	"182"	"7"	"2"	"6"	"9"	"404"	"0"	"404"	"0"
"161"	"130"	"PRIMARY SCHOOL NURPUR TOLA AHIMAN CHAK"	"13"	"150"	"80"	"75"	"5"	"3"	"2"	"14"	"342"	"0"	"342"	"0"
"162"	"131"	"PRIMARY SCHOOL PINJROI"	"8"	"174"	"94"	"86"	"4"	"3"	"3"	"3"	"375"	"0"	"375"	"0"
"163"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
