"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"Total.No..of.tendered.votes"
"54"	"31A"	"4"	"6"	"163"	"136"	"27"	"2"	"1"	"2"	"0"	"1"	"10"	"352"	"0"	"352"	"0"
"55"	"32"	"3"	"3"	"146"	"155"	"12"	"2"	"0"	"0"	"0"	"1"	"3"	"325"	"0"	"325"	"0"
"56"	"Total :"	"173"	"38"	"4003"	"1368"	"203"	"22"	"17"	"28"	"44"	"28"	"87"	"6011"	"0"	"6011"	"0"
"57"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"61"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"62"	"32A"	"5"	"1"	"62"	"88"	"15"	"0"	"0"	"0"	"0"	"0"	"1"	"172"	"0"	"172"	"0"
"63"	"33"	"4"	"1"	"338"	"146"	"29"	"1"	"2"	"2"	"4"	"4"	"3"	"534"	"0"	"534"	"0"
"64"	"34"	"6"	"4"	"432"	"122"	"14"	"1"	"1"	"4"	"4"	"1"	"5"	"594"	"0"	"594"	"0"
"65"	"35"	"1"	"3"	"183"	"109"	"22"	"1"	"1"	"0"	"3"	"2"	"3"	"328"	"0"	"328"	"0"
"66"	"35A"	"4"	"7"	"149"	"183"	"10"	"3"	"2"	"0"	"4"	"1"	"7"	"370"	"0"	"370"	"0"
"67"	"36"	"3"	"2"	"296"	"56"	"6"	"0"	"0"	"0"	"0"	"0"	"2"	"365"	"0"	"365"	"0"
"68"	"36A"	"8"	"0"	"229"	"80"	"17"	"1"	"2"	"0"	"0"	"2"	"7"	"346"	"0"	"346"	"0"
"69"	"37"	"5"	"0"	"230"	"167"	"16"	"2"	"2"	"0"	"2"	"1"	"4"	"429"	"0"	"429"	"0"
"70"	"38"	"1"	"2"	"214"	"41"	"29"	"2"	"0"	"2"	"1"	"0"	"3"	"295"	"0"	"295"	"0"
"71"	"39"	"0"	"1"	"280"	"58"	"7"	"3"	"1"	"2"	"3"	"2"	"1"	"358"	"0"	"358"	"0"
"72"	"39A"	"0"	"0"	"248"	"29"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"283"	"0"	"283"	"0"
"73"	"40"	"34"	"2"	"176"	"111"	"71"	"2"	"2"	"6"	"6"	"6"	"21"	"437"	"0"	"437"	"0"
"74"	"41"	"2"	"1"	"291"	"121"	"10"	"3"	"2"	"1"	"0"	"4"	"4"	"439"	"0"	"439"	"0"
"75"	"41A"	"0"	"0"	"237"	"45"	"3"	"0"	"0"	"0"	"2"	"3"	"0"	"290"	"0"	"290"	"0"
"76"	"Total :"	"73"	"24"	"3365"	"1356"	"251"	"19"	"15"	"18"	"31"	"26"	"62"	"5240"	"0"	"5240"	"0"
"77"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"81"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"82"	"42"	"3"	"3"	"226"	"136"	"12"	"0"	"1"	"1"	"1"	"1"	"2"	"386"	"0"	"386"	"0"
"83"	"42A"	"3"	"1"	"132"	"102"	"19"	"2"	"1"	"3"	"0"	"3"	"7"	"273"	"0"	"273"	"0"
"84"	"43"	"12"	"4"	"401"	"154"	"16"	"1"	"0"	"2"	"2"	"2"	"5"	"599"	"0"	"599"	"0"
"85"	"43A"	"0"	"0"	"152"	"23"	"4"	"0"	"1"	"0"	"0"	"2"	"1"	"183"	"0"	"183"	"0"
"86"	"44"	"4"	"3"	"207"	"84"	"16"	"1"	"0"	"1"	"1"	"1"	"0"	"318"	"0"	"318"	"0"
"87"	"44A"	"7"	"3"	"264"	"49"	"10"	"2"	"0"	"1"	"3"	"3"	"1"	"343"	"0"	"343"	"0"
"88"	"45"	"1"	"1"	"171"	"75"	"5"	"0"	"2"	"0"	"2"	"2"	"4"	"263"	"0"	"263"	"0"
"89"	"46"	"3"	"2"	"191"	"127"	"4"	"1"	"0"	"3"	"2"	"1"	"1"	"335"	"0"	"335"	"0"
"90"	"46A"	"1"	"1"	"146"	"29"	"5"	"0"	"2"	"1"	"2"	"0"	"1"	"188"	"0"	"188"	"0"
"91"	"47"	"3"	"0"	"109"	"247"	"23"	"0"	"0"	"2"	"1"	"3"	"5"	"393"	"0"	"393"	"0"
"92"	"48"	"3"	"9"	"388"	"143"	"11"	"3"	"2"	"4"	"3"	"3"	"1"	"570"	"0"	"570"	"0"
"93"	"49"	"1"	"3"	"168"	"116"	"9"	"1"	"0"	"0"	"3"	"3"	"12"	"316"	"0"	"316"	"0"
"94"	"49A"	"0"	"5"	"140"	"79"	"14"	"0"	"0"	"0"	"5"	"0"	"3"	"246"	"0"	"246"	"0"
"95"	"50"	"6"	"2"	"207"	"58"	"5"	"0"	"0"	"5"	"3"	"1"	"3"	"290"	"0"	"290"	"0"
"96"	"Total :"	"47"	"37"	"2902"	"1422"	"153"	"11"	"9"	"23"	"28"	"25"	"46"	"4703"	"0"	"4703"	"0"
"97"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"101"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"102"	"50A"	"4"	"4"	"177"	"133"	"14"	"1"	"0"	"1"	"5"	"0"	"0"	"339"	"0"	"339"	"0"
"103"	"51"	"0"	"1"	"165"	"74"	"8"	"0"	"1"	"0"	"3"	"2"	"1"	"255"	"0"	"255"	"0"
"104"	"52"	"7"	"8"	"226"	"189"	"8"	"1"	"1"	"1"	"2"	"1"	"4"	"448"	"0"	"448"	"0"
"105"	"53"	"1"	"6"	"138"	"134"	"21"	"1"	"0"	"2"	"2"	"3"	"5"	"313"	"0"	"313"	"0"
"106"	"53A"	"0"	"1"	"170"	"44"	"11"	"0"	"1"	"1"	"1"	"10"	"5"	"244"	"0"	"244"	"0"
"107"	"54"	"4"	"2"	"152"	"198"	"19"	"4"	"0"	"4"	"1"	"1"	"4"	"389"	"0"	"389"	"0"
"108"	"55"	"13"	"2"	"415"	"129"	"8"	"3"	"3"	"3"	"3"	"39"	"2"	"620"	"0"	"620"	"0"
"109"	"56"	"12"	"8"	"291"	"134"	"10"	"2"	"1"	"2"	"9"	"3"	"10"	"482"	"0"	"482"	"0"
"110"	"57"	"5"	"0"	"367"	"107"	"31"	"1"	"1"	"2"	"5"	"4"	"11"	"534"	"0"	"534"	"0"
"111"	"58"	"3"	"2"	"433"	"54"	"7"	"1"	"3"	"4"	"1"	"5"	"4"	"517"	"0"	"517"	"0"
"112"	"59"	"1"	"1"	"323"	"84"	"5"	"1"	"0"	"1"	"4"	"2"	"5"	"427"	"0"	"427"	"0"
"113"	"60"	"6"	"2"	"401"	"80"	"8"	"1"	"0"	"1"	"5"	"3"	"3"	"510"	"0"	"510"	"0"
"114"	"61"	"3"	"1"	"109"	"204"	"11"	"1"	"0"	"2"	"0"	"1"	"0"	"332"	"0"	"332"	"0"
"115"	"62"	"8"	"3"	"434"	"92"	"10"	"1"	"1"	"3"	"2"	"6"	"6"	"566"	"0"	"566"	"0"
"116"	"Total :"	"67"	"41"	"3801"	"1656"	"171"	"18"	"12"	"27"	"43"	"80"	"60"	"5976"	"0"	"5976"	"0"
"117"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"121"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"122"	"63"	"8"	"2"	"357"	"79"	"13"	"4"	"1"	"2"	"4"	"4"	"5"	"479"	"0"	"479"	"0"
"123"	"64"	"14"	"7"	"285"	"62"	"11"	"6"	"0"	"6"	"7"	"3"	"4"	"405"	"0"	"405"	"0"
"124"	"64A"	"0"	"0"	"209"	"15"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"231"	"0"	"231"	"0"
"125"	"65"	"1"	"1"	"430"	"62"	"8"	"2"	"1"	"4"	"7"	"8"	"7"	"531"	"0"	"531"	"0"
"126"	"66"	"4"	"1"	"420"	"48"	"6"	"0"	"0"	"0"	"0"	"4"	"2"	"485"	"0"	"485"	"0"
"127"	"67"	"16"	"12"	"359"	"123"	"17"	"3"	"1"	"2"	"5"	"3"	"10"	"551"	"0"	"551"	"0"
"128"	"68"	"32"	"2"	"453"	"43"	"29"	"0"	"3"	"6"	"3"	"3"	"3"	"577"	"0"	"577"	"0"
"129"	"69"	"7"	"2"	"265"	"60"	"11"	"1"	"0"	"1"	"4"	"3"	"3"	"357"	"0"	"357"	"0"
"130"	"69A"	"10"	"1"	"203"	"39"	"12"	"1"	"2"	"0"	"1"	"3"	"3"	"275"	"0"	"275"	"0"
"131"	"70"	"5"	"2"	"273"	"113"	"10"	"1"	"2"	"3"	"1"	"2"	"12"	"424"	"0"	"424"	"0"
"132"	"71"	"1"	"5"	"354"	"30"	"13"	"0"	"0"	"3"	"0"	"1"	"7"	"414"	"0"	"414"	"0"
"133"	"72"	"18"	"6"	"317"	"202"	"22"	"7"	"2"	"4"	"6"	"4"	"9"	"597"	"0"	"597"	"0"
"134"	"73"	"5"	"5"	"161"	"155"	"28"	"3"	"2"	"1"	"4"	"3"	"17"	"384"	"0"	"384"	"0"
"135"	"73A"	"4"	"0"	"196"	"105"	"24"	"4"	"1"	"2"	"8"	"1"	"9"	"354"	"0"	"354"	"0"
"136"	"Total :"	"125"	"46"	"4282"	"1136"	"208"	"33"	"15"	"36"	"50"	"42"	"91"	"6064"	"0"	"6064"	"0"
"137"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"141"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"142"	"74"	"10"	"2"	"229"	"101"	"12"	"2"	"1"	"5"	"8"	"1"	"18"	"389"	"0"	"389"	"0"
"143"	"75"	"7"	"6"	"337"	"265"	"14"	"2"	"1"	"2"	"3"	"6"	"10"	"653"	"0"	"653"	"0"
"144"	"76"	"14"	"5"	"116"	"257"	"14"	"7"	"2"	"5"	"2"	"0"	"2"	"424"	"0"	"424"	"0"
"145"	"77"	"5"	"2"	"216"	"49"	"7"	"0"	"1"	"2"	"0"	"0"	"1"	"283"	"0"	"283"	"0"
"146"	"78"	"4"	"4"	"340"	"96"	"7"	"3"	"0"	"3"	"4"	"2"	"2"	"465"	"0"	"465"	"0"
"147"	"79"	"7"	"3"	"184"	"230"	"16"	"2"	"0"	"1"	"7"	"2"	"5"	"457"	"0"	"457"	"0"
"148"	"80"	"1"	"0"	"317"	"76"	"4"	"1"	"0"	"0"	"2"	"1"	"0"	"402"	"0"	"402"	"0"
"149"	"81"	"2"	"1"	"181"	"103"	"5"	"0"	"0"	"3"	"1"	"0"	"4"	"300"	"0"	"300"	"0"
"150"	"81A"	"3"	"1"	"253"	"40"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"305"	"0"	"305"	"0"
"151"	"82"	"5"	"2"	"250"	"252"	"48"	"2"	"1"	"2"	"1"	"3"	"5"	"571"	"0"	"571"	"0"
"152"	"83"	"8"	"1"	"134"	"172"	"13"	"2"	"0"	"2"	"2"	"1"	"3"	"338"	"0"	"338"	"0"
"153"	"84"	"3"	"2"	"444"	"121"	"11"	"1"	"0"	"3"	"3"	"1"	"5"	"594"	"0"	"594"	"0"
"154"	"85"	"2"	"2"	"281"	"97"	"17"	"0"	"1"	"3"	"2"	"1"	"7"	"413"	"0"	"413"	"0"
"155"	"86"	"5"	"5"	"411"	"91"	"5"	"4"	"2"	"2"	"1"	"3"	"6"	"535"	"0"	"535"	"0"
"156"	"Total :"	"76"	"36"	"3693"	"1950"	"177"	"26"	"9"	"34"	"39"	"21"	"68"	"6129"	"0"	"6129"	"0"
"157"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Date : 22.11.2005                                                                                                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"160"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"161"	"86A"	"2"	"2"	"278"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"315"	"0"	"315"	"0"
"162"	"87"	"4"	"1"	"247"	"132"	"3"	"2"	"0"	"2"	"3"	"2"	"7"	"403"	"0"	"403"	"0"
"163"	"87A"	"2"	"1"	"186"	"38"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"234"	"0"	"234"	"0"
"164"	"88"	"4"	"2"	"547"	"84"	"22"	"3"	"2"	"3"	"3"	"1"	"9"	"680"	"0"	"680"	"0"
"165"	"89"	"2"	"2"	"189"	"127"	"18"	"3"	"0"	"0"	"1"	"1"	"3"	"346"	"0"	"346"	"0"
"166"	"90"	"5"	"0"	"42"	"143"	"33"	"0"	"1"	"2"	"1"	"0"	"1"	"228"	"0"	"228"	"0"
"167"	"90A"	"2"	"1"	"9"	"121"	"37"	"4"	"1"	"0"	"1"	"4"	"2"	"182"	"0"	"182"	"0"
"168"	"91"	"1"	"0"	"169"	"219"	"22"	"1"	"0"	"0"	"2"	"2"	"4"	"420"	"0"	"420"	"0"
"169"	"92"	"1"	"1"	"70"	"225"	"28"	"3"	"2"	"3"	"1"	"2"	"3"	"339"	"0"	"339"	"0"
"170"	"93"	"2"	"3"	"75"	"211"	"63"	"1"	"2"	"3"	"3"	"1"	"2"	"366"	"0"	"366"	"0"
"171"	"94"	"3"	"3"	"279"	"144"	"15"	"1"	"0"	"0"	"1"	"0"	"3"	"449"	"0"	"449"	"0"
"172"	"95"	"2"	"1"	"105"	"110"	"10"	"1"	"1"	"0"	"0"	"1"	"3"	"234"	"0"	"234"	"0"
"173"	"96"	"4"	"1"	"157"	"179"	"23"	"5"	"2"	"0"	"1"	"1"	"7"	"380"	"0"	"380"	"0"
"174"	"97"	"3"	"1"	"144"	"100"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"258"	"0"	"258"	"0"
"175"	"Total :"	"37"	"19"	"2497"	"1865"	"284"	"24"	"11"	"15"	"18"	"16"	"48"	"4834"	"0"	"4834"	"0"
"176"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"180"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"181"	"98"	"4"	"0"	"33"	"283"	"20"	"4"	"3"	"0"	"0"	"2"	"6"	"355"	"0"	"355"	"0"
"182"	"99"	"1"	"1"	"54"	"266"	"23"	"1"	"1"	"1"	"0"	"0"	"5"	"353"	"0"	"353"	"0"
"183"	"100"	"3"	"3"	"188"	"88"	"8"	"3"	"0"	"1"	"0"	"5"	"2"	"301"	"0"	"301"	"0"
"184"	"100A"	"4"	"8"	"334"	"64"	"6"	"2"	"1"	"6"	"2"	"5"	"3"	"435"	"0"	"435"	"0"
"185"	"101"	"1"	"1"	"126"	"113"	"23"	"1"	"2"	"4"	"3"	"2"	"2"	"278"	"0"	"278"	"0"
"186"	"101A"	"2"	"5"	"123"	"85"	"6"	"1"	"1"	"1"	"2"	"0"	"2"	"228"	"0"	"228"	"0"
"187"	"102"	"2"	"1"	"411"	"35"	"21"	"0"	"0"	"3"	"2"	"1"	"3"	"479"	"0"	"479"	"0"
"188"	"103"	"4"	"4"	"325"	"160"	"24"	"3"	"2"	"0"	"4"	"1"	"2"	"529"	"0"	"529"	"0"
"189"	"104"	"2"	"1"	"104"	"182"	"24"	"0"	"0"	"4"	"3"	"0"	"0"	"320"	"0"	"320"	"0"
"190"	"104A"	"7"	"1"	"243"	"67"	"13"	"2"	"1"	"0"	"0"	"0"	"1"	"335"	"0"	"335"	"0"
"191"	"105"	"2"	"2"	"300"	"44"	"3"	"0"	"2"	"3"	"5"	"2"	"4"	"367"	"0"	"367"	"0"
