"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 163-PARBATTA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment : 204745"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 163-PARBATTA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"47"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"48"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"49"	"B/F"	"988"	"151"	"5474"	"301"	"90"	"116"	"80"	"347"	"5596"	"380"	"369"	"13892"	"0"	"13892"	"0"
"50"	"28"	"16"	"17"	"179"	"8"	"5"	"4"	"1"	"13"	"188"	"11"	"14"	"456"	"0"	"456"	"0"
"51"	"29"	"12"	"6"	"416"	"4"	"2"	"1"	"0"	"18"	"317"	"24"	"11"	"811"	"0"	"811"	"0"
"52"	"30"	"24"	"10"	"180"	"11"	"2"	"8"	"5"	"16"	"170"	"11"	"7"	"444"	"0"	"444"	"0"
"53"	"31"	"35"	"4"	"107"	"10"	"1"	"13"	"1"	"25"	"243"	"16"	"13"	"468"	"0"	"468"	"0"
"54"	"32"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"9"	"0"	"9"	"0"
"55"	"33"	"7"	"8"	"186"	"8"	"3"	"3"	"0"	"17"	"170"	"18"	"15"	"435"	"0"	"435"	"0"
"56"	"34"	"9"	"2"	"316"	"17"	"2"	"6"	"2"	"7"	"144"	"9"	"6"	"520"	"0"	"520"	"0"
"57"	"35"	"22"	"5"	"263"	"8"	"3"	"17"	"4"	"21"	"353"	"19"	"25"	"740"	"0"	"740"	"0"
"58"	"36"	"19"	"5"	"91"	"2"	"0"	"2"	"1"	"8"	"64"	"10"	"8"	"210"	"0"	"210"	"0"
"59"	"36A"	"7"	"4"	"38"	"2"	"0"	"3"	"2"	"12"	"213"	"25"	"5"	"311"	"0"	"311"	"0"
"60"	"37"	"13"	"4"	"49"	"1"	"1"	"5"	"8"	"23"	"149"	"14"	"17"	"284"	"0"	"284"	"0"
"61"	"38"	"47"	"7"	"80"	"14"	"0"	"10"	"2"	"13"	"215"	"12"	"15"	"415"	"0"	"415"	"0"
"62"	"39"	"154"	"14"	"255"	"12"	"5"	"20"	"4"	"14"	"67"	"23"	"26"	"594"	"0"	"594"	"0"
"63"	"40"	"124"	"12"	"361"	"11"	"6"	"15"	"9"	"13"	"96"	"16"	"13"	"676"	"0"	"676"	"0"
"64"	"Round-3
Total"	"490"	"98"	"2527"	"108"	"30"	"107"	"39"	"200"	"2391"	"208"	"175"	"6373"	"0"	"6373"	"0"
"65"	"Cuml. Total"	"1478"	"249"	"8001"	"409"	"120"	"223"	"119"	"547"	"7987"	"588"	"544"	"20265"	"0"	"20265"	"0"
"66"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"67"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"69"	"B/F"	"1478"	"249"	"8001"	"409"	"120"	"223"	"119"	"547"	"7987"	"588"	"544"	"20265"	"0"	"20265"	"0"
"70"	"41"	"37"	"14"	"143"	"22"	"5"	"15"	"15"	"33"	"301"	"47"	"28"	"660"	""	"660"	""
"71"	"42"	"24"	"11"	"269"	"19"	"8"	"8"	"3"	"14"	"304"	"27"	"24"	"711"	""	"711"	""
"72"	"43"	"34"	"10"	"152"	"5"	"3"	"6"	"3"	"15"	"155"	"23"	"16"	"422"	""	"422"	""
"73"	"44"	"35"	"5"	"141"	"5"	"2"	"1"	"1"	"8"	"64"	"9"	"12"	"283"	""	"283"	""
"74"	"44A"	"25"	"5"	"269"	"8"	"3"	"8"	"4"	"11"	"135"	"8"	"7"	"483"	""	"483"	""
"75"	"45"	"42"	"7"	"262"	"6"	"3"	"8"	"0"	"20"	"210"	"24"	"7"	"589"	""	"589"	""
"76"	"46"	"16"	"6"	"86"	"8"	"3"	"3"	"2"	"12"	"318"	"16"	"5"	"475"	""	"475"	""
"77"	"47"	"8"	"2"	"175"	"8"	"4"	"3"	"8"	"24"	"155"	"17"	"12"	"416"	""	"416"	""
"78"	"47A"	"16"	"11"	"76"	"11"	"4"	"9"	"6"	"18"	"237"	"19"	"10"	"417"	""	"417"	""
"79"	"48"	"18"	"3"	"281"	"6"	"5"	"4"	"1"	"10"	"163"	"16"	"17"	"524"	""	"524"	""
"80"	"49"	"21"	"6"	"334"	"13"	"7"	"6"	"5"	"16"	"145"	"15"	"16"	"584"	""	"584"	""
"81"	"50"	"10"	"5"	"147"	"8"	"2"	"4"	"5"	"12"	"55"	"13"	"18"	"279"	""	"279"	""
"82"	"51"	"6"	"2"	"278"	"15"	"5"	"2"	"5"	"7"	"188"	"20"	"8"	"536"	""	"536"	""
"83"	"52"	"13"	"7"	"104"	"4"	"2"	"2"	"1"	"15"	"198"	"15"	"18"	"379"	""	"379"	""
"84"	"Round-4
Total"	"305"	"94"	"2717"	"138"	"56"	"79"	"59"	"215"	"2628"	"269"	"198"	"6758"	"0"	"6758"	"0"
"85"	"Cuml. Total"	"1783"	"343"	"10718"	"547"	"176"	"302"	"178"	"762"	"10615"	"857"	"742"	"27023"	"0"	"27023"	"0"
"86"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"87"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"89"	"B/F"	"1783"	"343"	"10718"	"547"	"176"	"302"	"178"	"762"	"10615"	"857"	"742"	"27023"	"0"	"27023"	"0"
"90"	"53"	"29"	"8"	"155"	"8"	"4"	"7"	"5"	"12"	"172"	"17"	"11"	"428"	""	"428"	""
"91"	"54"	"7"	"2"	"154"	"4"	"2"	"1"	"0"	"0"	"13"	"2"	"2"	"187"	""	"187"	""
"92"	"55"	"19"	"5"	"270"	"4"	"8"	"3"	"2"	"8"	"48"	"8"	"17"	"392"	""	"392"	""
"93"	"56"	"13"	"25"	"212"	"16"	"6"	"6"	"1"	"12"	"214"	"10"	"7"	"522"	""	"522"	""
"94"	"57"	"9"	"3"	"359"	"5"	"4"	"2"	"5"	"7"	"59"	"2"	"17"	"472"	""	"472"	""
"95"	"58"	"28"	"5"	"378"	"12"	"10"	"9"	"6"	"21"	"208"	"25"	"17"	"719"	""	"719"	""
"96"	"59"	"25"	"7"	"298"	"8"	"2"	"5"	"4"	"9"	"130"	"12"	"4"	"504"	""	"504"	""
"97"	"60"	"19"	"4"	"135"	"4"	"4"	"8"	"3"	"11"	"230"	"13"	"14"	"445"	""	"445"	""
"98"	"61"	"20"	"11"	"31"	"5"	"6"	"7"	"2"	"16"	"379"	"29"	"34"	"540"	""	"540"	""
"99"	"62"	"24"	"6"	"35"	"12"	"3"	"10"	"2"	"21"	"375"	"15"	"34"	"537"	""	"537"	""
"100"	"63"	"30"	"6"	"306"	"6"	"3"	"1"	"3"	"3"	"25"	"5"	"6"	"394"	""	"394"	""
"101"	"64"	"6"	"0"	"27"	"5"	"0"	"1"	"3"	"9"	"351"	"16"	"4"	"422"	""	"422"	""
"102"	"65"	"2"	"2"	"15"	"2"	"2"	"1"	"1"	"7"	"383"	"5"	"3"	"423"	""	"423"	""
"103"	"65A"	"4"	"1"	"4"	"3"	"0"	"8"	"1"	"3"	"197"	"5"	"1"	"227"	""	"227"	""
"104"	"Round-5
Total"	"235"	"85"	"2379"	"94"	"54"	"69"	"38"	"139"	"2784"	"164"	"171"	"6212"	"0"	"6212"	"0"
"105"	"Cuml. Total"	"2018"	"428"	"13097"	"641"	"230"	"371"	"216"	"901"	"13399"	"1021"	"913"	"33235"	"0"	"33235"	"0"
"106"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"107"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"109"	"B/F"	"2018"	"428"	"13097"	"641"	"230"	"371"	"216"	"901"	"13399"	"1021"	"913"	"33235"	"0"	"33235"	"0"
"110"	"66"	"6"	"1"	"16"	"1"	"2"	"3"	"3"	"8"	"533"	"14"	"23"	"610"	""	"610"	""
"111"	"67"	"13"	"9"	"165"	"14"	"6"	"5"	"5"	"16"	"84"	"14"	"16"	"347"	""	"347"	""
"112"	"68"	"11"	"3"	"245"	"15"	"6"	"3"	"2"	"11"	"106"	"13"	"8"	"423"	""	"423"	""
"113"	"69"	"10"	"4"	"88"	"4"	"4"	"5"	"5"	"15"	"301"	"21"	"24"	"481"	""	"481"	""
"114"	"70"	"8"	"2"	"68"	"8"	"2"	"2"	"1"	"14"	"335"	"22"	"28"	"490"	""	"490"	""
"115"	"71"	"36"	"16"	"88"	"21"	"8"	"14"	"8"	"24"	"412"	"20"	"19"	"666"	""	"666"	""
"116"	"72"	"12"	"4"	"26"	"6"	"3"	"3"	"2"	"17"	"422"	"18"	"16"	"529"	""	"529"	""
"117"	"73"	"12"	"3"	"30"	"9"	"4"	"8"	"1"	"15"	"361"	"12"	"24"	"479"	""	"479"	""
"118"	"74"	"28"	"15"	"69"	"24"	"4"	"10"	"2"	"25"	"421"	"19"	"8"	"625"	""	"625"	""
"119"	"75"	"4"	"2"	"13"	"3"	"2"	"1"	"0"	"4"	"388"	"5"	"5"	"427"	""	"427"	""
"120"	"75A"	"6"	"0"	"9"	"0"	"1"	"2"	"0"	"2"	"154"	"6"	"3"	"183"	""	"183"	""
"121"	"76"	"4"	"0"	"27"	"2"	"1"	"2"	"2"	"5"	"511"	"6"	"2"	"562"	""	"562"	""
"122"	"77"	"4"	"0"	"20"	"1"	"7"	"8"	"1"	"14"	"506"	"7"	"15"	"583"	""	"583"	""
"123"	"78"	"7"	"1"	"13"	"2"	"2"	"1"	"0"	"11"	"382"	"5"	"5"	"429"	""	"429"	""
"124"	"Round-6 Total"	"161"	"60"	"877"	"110"	"52"	"67"	"32"	"181"	"4916"	"182"	"196"	"6834"	"0"	"6834"	"0"
"125"	"Cuml. Total"	"2179"	"488"	"13974"	"751"	"282"	"438"	"248"	"1082"	"18315"	"1203"	"1109"	"40069"	"0"	"40069"	"0"
"126"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"127"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"129"	"B/F"	"2179"	"488"	"13974"	"751"	"282"	"438"	"248"	"1082"	"18315"	"1203"	"1109"	"40069"	"0"	"40069"	"0"
"130"	"78A"	"11"	"2"	"7"	"4"	"1"	"1"	"1"	"5"	"191"	"11"	"6"	"240"	""	"240"	""
"131"	"79"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"469"	"3"	"0"	"477"	""	"477"	""
"132"	"79A"	"2"	"0"	"6"	"0"	"1"	"0"	"1"	"8"	"240"	"8"	"5"	"271"	""	"271"	""
"133"	"80"	"6"	"1"	"16"	"3"	"0"	"0"	"4"	"3"	"365"	"10"	"9"	"417"	""	"417"	""
"134"	"81"	"3"	"1"	"11"	"2"	"0"	"1"	"0"	"17"	"441"	"11"	"9"	"496"	""	"496"	""
"135"	"82"	"15"	"9"	"192"	"3"	"1"	"6"	"4"	"17"	"312"	"6"	"4"	"569"	""	"569"	""
"136"	"83"	"45"	"6"	"172"	"10"	"11"	"12"	"5"	"15"	"197"	"31"	"36"	"540"	""	"540"	""
"137"	"84"	"16"	"8"	"232"	"8"	"5"	"9"	"3"	"24"	"193"	"18"	"17"	"533"	""	"533"	""
"138"	"85"	"31"	"1"	"28"	"4"	"3"	"4"	"2"	"21"	"558"	"33"	"23"	"708"	""	"708"	""
"139"	"86"	"14"	"3"	"34"	"5"	"2"	"0"	"1"	"6"	"253"	"8"	"8"	"334"	""	"334"	""
"140"	"86A"	"4"	"1"	"32"	"0"	"2"	"1"	"1"	"5"	"454"	"9"	"5"	"514"	""	"514"	""
"141"	"87"	"3"	"4"	"23"	"8"	"2"	"8"	"3"	"15"	"534"	"21"	"14"	"635"	""	"635"	""
"142"	"88"	"37"	"0"	"11"	"1"	"2"	"3"	"2"	"13"	"130"	"10"	"11"	"220"	""	"220"	""
"143"	"89"	"9"	"3"	"60"	"10"	"1"	"1"	"2"	"16"	"380"	"10"	"9"	"501"	""	"501"	""
"144"	"Round-7
Total"	"196"	"40"	"827"	"58"	"31"	"46"	"30"	"165"	"4717"	"189"	"156"	"6455"	"0"	"6455"	"0"
"145"	"Cuml. Total"	"2375"	"528"	"14801"	"809"	"313"	"484"	"278"	"1247"	"23032"	"1392"	"1265"	"46524"	"0"	"46524"	"0"
"146"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"147"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"148"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"149"	"B/F"	"2375"	"528"	"14801"	"809"	"313"	"484"	"278"	"1247"	"23032"	"1392"	"1265"	"46524"	"0"	"46524"	"0"
"150"	"90"	"34"	"5"	"87"	"11"	"3"	"1"	"7"	"12"	"124"	"23"	"14"	"321"	""	"321"	""
"151"	"90A"	"6"	"7"	"114"	"6"	"4"	"10"	"1"	"22"	"182"	"12"	"7"	"371"	""	"371"	""
"152"	"91"	"1"	"3"	"55"	"3"	"0"	"1"	"1"	"13"	"333"	"9"	"5"	"424"	""	"424"	""
"153"	"91A"	"10"	"3"	"11"	"5"	"2"	"2"	"2"	"8"	"287"	"13"	"17"	"360"	""	"360"	""
"154"	"92"	"4"	"2"	"35"	"3"	"1"	"8"	"2"	"8"	"432"	"19"	"12"	"526"	""	"526"	""
"155"	"93"	"18"	"2"	"135"	"7"	"3"	"10"	"4"	"19"	"207"	"31"	"15"	"451"	""	"451"	""
"156"	"94"	"15"	"4"	"255"	"7"	"9"	"10"	"7"	"17"	"319"	"22"	"33"	"698"	""	"698"	""
"157"	"95"	"4"	"1"	"256"	"6"	"3"	"1"	"3"	"5"	"152"	"6"	"13"	"450"	""	"450"	""
"158"	"96"	"11"	"7"	"94"	"8"	"6"	"3"	"4"	"18"	"139"	"6"	"7"	"303"	""	"303"	""
"159"	"97"	"15"	"17"	"161"	"6"	"6"	"6"	"1"	"11"	"228"	"16"	"14"	"481"	""	"481"	""
"160"	"98"	"14"	"9"	"380"	"9"	"1"	"16"	"3"	"9"	"137"	"5"	"9"	"592"	""	"592"	""
"161"	"99"	"11"	"1"	"402"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"421"	""	"421"	""
"162"	"100"	"29"	"1"	"556"	"1"	"1"	"0"	"0"	"1"	"4"	"2"	"1"	"596"	""	"596"	""
"163"	"101"	"8"	"4"	"693"	"2"	"0"	"0"	"0"	"1"	"7"	"0"	"0"	"715"	""	"715"	""
"164"	"Round-8
Total"	"180"	"66"	"3234"	"75"	"40"	"68"	"36"	"145"	"2552"	"165"	"148"	"6709"	"0"	"6709"	"0"
"165"	"Cuml. Total"	"2555"	"594"	"18035"	"884"	"353"	"552"	"314"	"1392"	"25584"	"1557"	"1413"	"53233"	"0"	"53233"	"0"
"166"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"167"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"168"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"169"	"B/F"	"2555"	"594"	"18035"	"884"	"353"	"552"	"314"	"1392"	"25584"	"1557"	"1413"	"53233"	"0"	"53233"	"0"
