"No..and.Name.of.Assembly.Constituency...........48..Jandaha"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"12"	"5"	"273"	""	"133"	""	"79"	""	"13"	""	"3"	""	"8"	""	"12"	""	"25"	"273"	"0"	"273"	"0"
"13"	"5K"	"292"	""	"168"	""	"37"	""	"34"	""	"5"	""	"13"	""	"7"	""	"28"	"292"	"0"	"292"	"0"
"14"	"6"	"458"	""	"176"	""	"97"	""	"104"	""	"17"	""	"16"	""	"11"	""	"37"	"458"	"0"	"458"	"0"
"15"	"7"	"372"	""	"131"	""	"107"	""	"84"	""	"11"	""	"8"	""	"3"	""	"28"	"372"	"0"	"372"	"0"
"16"	"8"	"463"	""	"123"	""	"127"	""	"129"	""	"13"	""	"16"	""	"20"	""	"35"	"463"	"0"	"463"	"0"
"17"	"9"	"532"	""	"145"	""	"156"	""	"155"	""	"16"	""	"15"	""	"21"	""	"24"	"532"	"0"	"532"	"0"
"18"	"10"	"360"	""	"135"	""	"48"	""	"133"	""	"18"	""	"5"	""	"1"	""	"20"	"360"	"0"	"360"	"0"
"19"	"11"	"322"	""	"184"	""	"70"	""	"34"	""	"6"	""	"7"	""	"6"	""	"15"	"322"	"0"	"322"	"0"
"20"	"12"	"301"	""	"201"	""	"44"	""	"25"	""	"3"	""	"11"	""	"3"	""	"14"	"301"	"0"	"301"	"0"
"21"	"Grand Total"	"5421"	""	"2361"	""	"1158"	""	"1125"	""	"140"	""	"144"	""	"117"	""	"376"	"5421"	"0"	"5421"	"0"
"22"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"23"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"29"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"30"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"31"	"13"	"395"	""	"121"	""	"46"	""	"201"	""	"10"	""	"4"	""	"2"	""	"11"	"395"	"0"	"395"	"0"
"32"	"14"	"582"	""	"98"	""	"95"	""	"332"	""	"21"	""	"8"	""	"11"	""	"17"	"582"	"0"	"582"	"0"
"33"	"15"	"553"	""	"209"	""	"153"	""	"98"	""	"10"	""	"14"	""	"16"	""	"53"	"553"	"0"	"553"	"0"
"34"	"16"	"435"	""	"282"	""	"38"	""	"68"	""	"4"	""	"16"	""	"4"	""	"23"	"435"	"0"	"435"	"0"
"35"	"17"	"246"	""	"120"	""	"48"	""	"42"	""	"8"	""	"5"	""	"5"	""	"18"	"246"	"0"	"246"	"0"
"36"	"18"	"310"	""	"112"	""	"87"	""	"56"	""	"11"	""	"10"	""	"9"	""	"25"	"310"	"0"	"310"	"0"
"37"	"19"	"289"	""	"78"	""	"84"	""	"90"	""	"18"	""	"5"	""	"4"	""	"10"	"289"	"0"	"289"	"0"
"38"	"20"	"368"	""	"166"	""	"69"	""	"101"	""	"6"	""	"4"	""	"5"	""	"17"	"368"	"0"	"368"	"0"
"39"	"21"	"413"	""	"216"	""	"47"	""	"100"	""	"12"	""	"11"	""	"5"	""	"22"	"413"	"0"	"413"	"0"
"40"	"22"	"316"	""	"54"	""	"6"	""	"233"	""	"11"	""	"6"	""	"3"	""	"3"	"316"	"0"	"316"	"0"
"41"	"23"	"465"	""	"166"	""	"169"	""	"95"	""	"13"	""	"3"	""	"6"	""	"13"	"465"	"0"	"465"	"0"
"42"	"24"	"339"	""	"24"	""	"41"	""	"239"	""	"9"	""	"9"	""	"5"	""	"12"	"339"	"0"	"339"	"0"
"43"	"25"	"320"	""	"41"	""	"18"	""	"204"	""	"29"	""	"6"	""	"9"	""	"13"	"320"	"0"	"320"	"0"
"44"	"26"	"474"	""	"230"	""	"120"	""	"85"	""	"5"	""	"4"	""	"8"	""	"22"	"474"	"0"	"474"	"0"
"45"	"Grand Total"	"5505"	""	"1917"	""	"1021"	""	"1944"	""	"167"	""	"105"	""	"92"	""	"259"	"5505"	"0"	"5505"	"0"
"46"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"47"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"53"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"54"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"55"	"27"	"499"	""	"103"	""	"9"	""	"345"	""	"25"	""	"7"	""	"3"	""	"7"	"499"	"0"	"499"	"0"
"56"	"28"	"320"	""	"269"	""	"6"	""	"6"	""	"6"	""	"2"	""	"4"	""	"27"	"320"	"0"	"320"	"0"
"57"	"29"	"275"	""	"76"	""	"5"	""	"159"	""	"9"	""	"5"	""	"7"	""	"14"	"275"	"0"	"275"	"0"
"58"	"30"	"284"	""	"124"	""	"17"	""	"51"	""	"5"	""	"9"	""	"21"	""	"57"	"284"	"0"	"284"	"0"
"59"	"31"	"636"	""	"102"	""	"37"	""	"434"	""	"33"	""	"9"	""	"6"	""	"15"	"636"	"0"	"636"	"0"
"60"	"32"	"556"	""	"390"	""	"45"	""	"70"	""	"4"	""	"9"	""	"9"	""	"29"	"556"	"0"	"556"	"0"
"61"	"33"	"476"	""	"99"	""	"17"	""	"324"	""	"19"	""	"3"	""	"3"	""	"11"	"476"	"0"	"476"	"0"
"62"	"34"	"278"	""	"13"	""	"31"	""	"195"	""	"14"	""	"8"	""	"4"	""	"13"	"278"	"0"	"278"	"0"
"63"	"35"	"462"	""	"115"	""	"26"	""	"282"	""	"17"	""	"6"	""	"6"	""	"10"	"462"	"0"	"462"	"0"
"64"	"36"	"559"	""	"95"	""	"72"	""	"308"	""	"23"	""	"22"	""	"14"	""	"25"	"559"	"0"	"559"	"0"
"65"	"37"	"644"	""	"226"	""	"144"	""	"195"	""	"18"	""	"18"	""	"15"	""	"28"	"644"	"0"	"644"	"0"
"66"	"38"	"247"	""	"160"	""	"27"	""	"38"	""	"7"	""	"2"	""	"2"	""	"11"	"247"	"0"	"247"	"0"
"67"	"39"	"479"	""	"60"	""	"261"	""	"56"	""	"10"	""	"29"	""	"29"	""	"34"	"479"	"0"	"479"	"0"
"68"	"40"	"410"	""	"168"	""	"146"	""	"61"	""	"1"	""	"7"	""	"11"	""	"16"	"410"	"0"	"410"	"0"
"69"	"Grand Total"	"6125"	""	"2000"	""	"843"	""	"2524"	""	"191"	""	"136"	""	"134"	""	"297"	"6125"	"0"	"6125"	"0"
"70"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"71"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"77"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"78"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"79"	"41"	"354"	""	"56"	""	"29"	""	"237"	""	"12"	""	"4"	""	"8"	""	"8"	"354"	"0"	"354"	"0"
"80"	"42"	"493"	""	"19"	""	"83"	""	"344"	""	"11"	""	"16"	""	"6"	""	"14"	"493"	"0"	"493"	"0"
"81"	"43"	"711"	""	"38"	""	"49"	""	"579"	""	"20"	""	"9"	""	"3"	""	"13"	"711"	"0"	"711"	"0"
"82"	"44"	"481"	""	"30"	""	"13"	""	"368"	""	"20"	""	"24"	""	"7"	""	"19"	"481"	"0"	"481"	"0"
"83"	"45"	"695"	""	"88"	""	"126"	""	"428"	""	"23"	""	"14"	""	"7"	""	"9"	"695"	"0"	"695"	"0"
"84"	"46"	"246"	""	"111"	""	"31"	""	"83"	""	"3"	""	"4"	""	"5"	""	"9"	"246"	"0"	"246"	"0"
"85"	"46K"	"427"	""	"195"	""	"35"	""	"160"	""	"5"	""	"9"	""	"6"	""	"17"	"427"	"0"	"427"	"0"
"86"	"47"	"429"	""	"295"	""	"18"	""	"80"	""	"7"	""	"4"	""	"4"	""	"21"	"429"	"0"	"429"	"0"
"87"	"48"	"241"	""	"85"	""	"40"	""	"80"	""	"8"	""	"4"	""	"3"	""	"21"	"241"	"0"	"241"	"0"
"88"	"49"	"444"	""	"65"	""	"64"	""	"285"	""	"13"	""	"4"	""	"5"	""	"8"	"444"	"0"	"444"	"0"
"89"	"49K"	"364"	""	"16"	""	"5"	""	"326"	""	"8"	""	"5"	""	"1"	""	"3"	"364"	"0"	"364"	"0"
"90"	"50"	"630"	""	"298"	""	"134"	""	"158"	""	"11"	""	"8"	""	"8"	""	"13"	"630"	"0"	"630"	"0"
"91"	"51"	"433"	""	"123"	""	"97"	""	"163"	""	"19"	""	"12"	""	"4"	""	"15"	"433"	"0"	"433"	"0"
"92"	"52"	"301"	""	"179"	""	"39"	""	"52"	""	"7"	""	"5"	""	"5"	""	"14"	"301"	"0"	"301"	"0"
"93"	"Grand Total"	"6249"	""	"1598"	""	"763"	""	"3343"	""	"167"	""	"122"	""	"72"	""	"184"	"6249"	"0"	"6249"	"0"
"94"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"95"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"101"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"102"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"103"	"53"	"635"	""	"210"	""	"45"	""	"317"	""	"23"	""	"14"	""	"6"	""	"20"	"635"	"0"	"635"	"0"
"104"	"54"	"404"	""	"72"	""	"99"	""	"170"	""	"26"	""	"15"	""	"11"	""	"11"	"404"	"0"	"404"	"0"
"105"	"55"	"332"	""	"75"	""	"60"	""	"156"	""	"12"	""	"8"	""	"5"	""	"16"	"332"	"0"	"332"	"0"
"106"	"56"	"425"	""	"94"	""	"83"	""	"191"	""	"10"	""	"23"	""	"7"	""	"17"	"425"	"0"	"425"	"0"
"107"	"56K"	"244"	""	"85"	""	"18"	""	"114"	""	"10"	""	"2"	""	"4"	""	"11"	"244"	"0"	"244"	"0"
"108"	"57"	"474"	""	"156"	""	"17"	""	"220"	""	"13"	""	"17"	""	"10"	""	"41"	"474"	"0"	"474"	"0"
"109"	"58"	"342"	""	"123"	""	"35"	""	"122"	""	"15"	""	"11"	""	"10"	""	"26"	"342"	"0"	"342"	"0"
"110"	"59"	"347"	""	"167"	""	"40"	""	"87"	""	"9"	""	"9"	""	"13"	""	"22"	"347"	"0"	"347"	"0"
"111"	"60"	"459"	""	"387"	""	"14"	""	"22"	""	"4"	""	"1"	""	"6"	""	"25"	"459"	"0"	"459"	"0"
"112"	"61"	"425"	""	"228"	""	"55"	""	"106"	""	"6"	""	"6"	""	"4"	""	"20"	"425"	"0"	"425"	"0"
"113"	"62"	"500"	""	"257"	""	"76"	""	"112"	""	"11"	""	"11"	""	"7"	""	"26"	"500"	"0"	"500"	"0"
"114"	"63"	"410"	""	"107"	""	"45"	""	"224"	""	"13"	""	"4"	""	"8"	""	"9"	"410"	"0"	"410"	"0"
"115"	"64"	"368"	""	"208"	""	"40"	""	"86"	""	"7"	""	"5"	""	"5"	""	"17"	"368"	"0"	"368"	"0"
"116"	"65"	"675"	""	"131"	""	"179"	""	"281"	""	"17"	""	"25"	""	"24"	""	"18"	"675"	"0"	"675"	"0"
"117"	"Grand Total"	"6040"	""	"2300"	""	"806"	""	"2208"	""	"176"	""	"151"	""	"120"	""	"279"	"6040"	"0"	"6040"	"0"
"118"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"119"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"125"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"126"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"127"	"66"	"454"	""	"330"	""	"44"	""	"42"	""	"0"	""	"4"	""	"5"	""	"29"	"454"	"0"	"454"	"0"
"128"	"67"	"377"	""	"85"	""	"63"	""	"182"	""	"11"	""	"7"	""	"10"	""	"19"	"377"	"0"	"377"	"0"
"129"	"67K"	"248"	""	"133"	""	"37"	""	"50"	""	"5"	""	"7"	""	"3"	""	"13"	"248"	"0"	"248"	"0"
"130"	"68"	"490"	""	"230"	""	"125"	""	"74"	""	"14"	""	"16"	""	"7"	""	"24"	"490"	"0"	"490"	"0"
"131"	"69"	"576"	""	"171"	""	"168"	""	"168"	""	"18"	""	"14"	""	"15"	""	"22"	"576"	"0"	"576"	"0"
"132"	"70"	"340"	""	"40"	""	"20"	""	"265"	""	"6"	""	"3"	""	"5"	""	"1"	"340"	"0"	"340"	"0"
"133"	"70K"	"423"	""	"93"	""	"42"	""	"256"	""	"17"	""	"5"	""	"2"	""	"8"	"423"	"0"	"423"	"0"
"134"	"71"	"471"	""	"116"	""	"92"	""	"221"	""	"9"	""	"8"	""	"9"	""	"16"	"471"	"0"	"471"	"0"
"135"	"72"	"530"	""	"236"	""	"150"	""	"117"	""	"2"	""	"9"	""	"3"	""	"13"	"530"	"0"	"530"	"0"
"136"	"73"	"412"	""	"138"	""	"43"	""	"174"	""	"15"	""	"13"	""	"11"	""	"18"	"412"	"0"	"412"	"0"
"137"	"74"	"451"	""	"50"	""	"49"	""	"343"	""	"5"	""	"1"	""	"1"	""	"2"	"451"	"0"	"451"	"0"
"138"	"75"	"501"	""	"64"	""	"14"	""	"360"	""	"30"	""	"14"	""	"7"	""	"12"	"501"	"0"	"501"	"0"
"139"	"76"	"463"	""	"278"	""	"47"	""	"109"	""	"5"	""	"6"	""	"4"	""	"14"	"463"	"0"	"463"	"0"
"140"	"77"	"432"	""	"225"	""	"68"	""	"95"	""	"17"	""	"7"	""	"7"	""	"13"	"432"	"0"	"432"	"0"
"141"	"Grand Total"	"6168"	""	"2189"	""	"962"	""	"2456"	""	"154"	""	"114"	""	"89"	""	"204"	"6168"	"0"	"6168"	"0"
"142"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"143"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"149"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"150"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"151"	"78"	"330"	""	"84"	""	"41"	""	"191"	""	"6"	""	"3"	""	"2"	""	"3"	"330"	"0"	"330"	"0"
"152"	"79"	"495"	""	"421"	""	"43"	""	"20"	""	"1"	""	"1"	""	"3"	""	"6"	"495"	"0"	"495"	"0"
"153"	"80"	"311"	""	"193"	""	"54"	""	"30"	""	"4"	""	"3"	""	"7"	""	"20"	"311"	"0"	"311"	"0"
"154"	"81"	"294"	""	"168"	""	"14"	""	"72"	""	"7"	""	"3"	""	"6"	""	"24"	"294"	"0"	"294"	"0"
"155"	"82"	"569"	""	"219"	""	"67"	""	"202"	""	"18"	""	"18"	""	"12"	""	"33"	"569"	"0"	"569"	"0"
"156"	"83"	"461"	""	"7"	""	"3"	""	"430"	""	"3"	""	"5"	""	"5"	""	"8"	"461"	"0"	"461"	"0"
"157"	"84"	"273"	""	"83"	""	"97"	""	"41"	""	"1"	""	"7"	""	"8"	""	"36"	"273"	"0"	"273"	"0"
"158"	"85"	"571"	""	"386"	""	"36"	""	"128"	""	"11"	""	"3"	""	"2"	""	"5"	"571"	"0"	"571"	"0"
"159"	"86"	"628"	""	"85"	""	"80"	""	"414"	""	"22"	""	"8"	""	"12"	""	"7"	"628"	"0"	"628"	"0"
"160"	"87"	"520"	""	"227"	""	"44"	""	"179"	""	"15"	""	"8"	""	"13"	""	"34"	"520"	"0"	"520"	"0"
"161"	"88"	"442"	""	"24"	""	"2"	""	"400"	""	"9"	""	"3"	""	"3"	""	"1"	"442"	"0"	"442"	"0"
"162"	"89"	"346"	""	"43"	""	"26"	""	"247"	""	"5"	""	"7"	""	"5"	""	"13"	"346"	"0"	"346"	"0"
"163"	"90"	"509"	""	"306"	""	"20"	""	"151"	""	"8"	""	"3"	""	"1"	""	"20"	"509"	"0"	"509"	"0"
"164"	"91"	"221"	""	"77"	""	"12"	""	"101"	""	"8"	""	"4"	""	"2"	""	"17"	"221"	"0"	"221"	"0"
"165"	"Grand Total"	"5970"	""	"2323"	""	"539"	""	"2606"	""	"118"	""	"76"	""	"81"	""	"227"	"5970"	"0"	"5970"	"0"
"166"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"167"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"173"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"174"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"175"	"92"	"485"	""	"189"	""	"22"	""	"212"	""	"17"	""	"9"	""	"2"	""	"34"	"485"	"0"	"485"	"0"
"176"	"93"	"483"	""	"253"	""	"27"	""	"160"	""	"15"	""	"5"	""	"6"	""	"17"	"483"	"0"	"483"	"0"
"177"	"94"	"410"	""	"44"	""	"18"	""	"332"	""	"6"	""	"1"	""	"4"	""	"5"	"410"	"0"	"410"	"0"
"178"	"95"	"264"	""	"61"	""	"33"	""	"144"	""	"5"	""	"5"	""	"6"	""	"10"	"264"	"0"	"264"	"0"
"179"	"95K"	"228"	""	"51"	""	"21"	""	"121"	""	"11"	""	"10"	""	"5"	""	"9"	"228"	"0"	"228"	"0"
