"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"11"	"7A"	"6"	""	"3"	""	""	"259"	""	""	""	"40"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"8"	"6"	""	"2"	""	""	"78"	""	""	""	"434"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"534"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"9"	"3"	""	"3"	""	""	"262"	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"10"	"26"	""	"7"	""	""	"265"	""	""	""	"193"	""	""	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"11"	"56"	""	"7"	""	""	"23"	""	""	""	"13"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"12"	"20"	""	"3"	""	""	"174"	""	""	""	"133"	""	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"13"	"18"	""	"12"	""	""	"329"	""	""	""	"210"	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"585"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Total"	"419"	""	"194"	""	""	"2446"	""	""	""	"3027"	""	""	""	""	""	""	"107"	""	""	""	""	""	"58"	""	""	""	""	""	"60"	""	""	""	""	"90"	""	""	""	"6401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanuj Prasad"	""	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""
"22"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""
"23"	"14"	"28"	""	"10"	""	""	"109"	""	""	""	""	""	"301"	""	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"15"	"17"	""	"42"	""	""	"179"	""	""	""	""	""	"77"	""	""	""	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"16"	"15"	""	"6"	""	""	"222"	""	""	""	""	""	"128"	""	""	""	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"16A"	"28"	""	"3"	""	""	"113"	""	""	""	""	""	"172"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"17"	"19"	""	"89"	""	""	"219"	""	""	""	""	""	"91"	""	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"18"	"13"	""	"10"	""	""	"334"	""	""	""	""	""	"236"	""	""	""	""	""	""	"8"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"620"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"19"	"23"	""	"11"	""	""	"201"	""	""	""	""	""	"292"	""	""	""	""	""	""	"9"	""	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"559"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"20"	"22"	""	"9"	""	""	"430"	""	""	""	""	""	"200"	""	""	""	""	""	""	"15"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"715"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"21"	"15"	""	"13"	""	""	"358"	""	""	""	""	""	"134"	""	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"22"	"6"	""	"2"	""	""	"175"	""	""	""	""	""	"168"	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"23"	"12"	""	"5"	""	""	"384"	""	""	""	""	""	"124"	""	""	""	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"24"	"29"	""	"5"	""	""	"176"	""	""	""	""	""	"384"	""	""	""	""	""	""	"15"	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"630"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"25"	"8"	""	"0"	""	""	"2"	""	""	""	""	""	"370"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"26"	"4"	""	"2"	""	""	"4"	""	""	""	""	""	"327"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total"	"239"	""	"207"	""	""	"2906"	""	""	""	""	""	"3004"	""	""	""	""	""	""	"115"	""	""	""	""	""	"82"	""	""	""	""	"69"	""	""	""	""	""	""	""	""	""	"111"	""	""	""	""	""	""	"6733"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	"Harendr a Ram"	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"27"	"55"	""	"3"	""	""	"58"	""	""	""	"347"	""	""	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"28"	"27"	""	"20"	""	""	"118"	""	""	""	"272"	""	""	""	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"29"	"16"	""	"12"	""	""	"335"	""	""	""	"192"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"30"	"9"	""	"11"	""	""	"218"	""	""	""	"362"	""	""	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"31"	"14"	""	"0"	""	""	"18"	""	""	""	"610"	""	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"32"	"45"	""	"6"	""	""	"357"	""	""	""	"76"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"33"	"9"	""	"5"	""	""	"343"	""	""	""	"155"	""	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"34"	"7"	""	"3"	""	""	"289"	""	""	""	"47"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"365"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"35"	"10"	""	"16"	""	""	"112"	""	""	""	"227"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"35A"	"45"	""	"7"	""	""	"140"	""	""	""	"125"	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"36"	"19"	""	"10"	""	""	"369"	""	""	""	"169"	""	""	""	""	""	""	"9"	""	""	""	""	""	"16"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"37"	"1"	""	"22"	""	""	"251"	""	""	""	"54"	""	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"38"	"11"	""	"36"	""	""	"222"	""	""	""	"229"	""	""	""	""	""	""	"16"	""	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"39"	"8"	""	"2"	""	""	"21"	""	""	""	"334"	""	""	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Total"	"276"	""	"153"	""	""	"2851"	""	""	""	"3199"	""	""	""	""	""	""	"109"	""	""	""	""	""	"70"	""	""	""	""	""	"65"	""	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	""	"6785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanuj Prasad"	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""
"60"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""
"61"	"39A"	"5"	""	"7"	""	""	"349"	""	""	""	""	"133"	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"40"	"9"	""	"11"	""	""	"436"	""	""	""	""	"169"	""	""	""	""	""	""	"11"	""	""	""	""	""	"15"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"688"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"41"	"82"	""	"6"	""	""	"279"	""	""	""	""	"214"	""	""	""	""	""	""	"8"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"42"	"15"	""	"3"	""	""	"223"	""	""	""	""	"269"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"43"	"27"	""	"1"	""	""	"76"	""	""	""	""	"184"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"43A"	"10"	""	"0"	""	""	"167"	""	""	""	""	"207"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"44"	"21"	""	"27"	""	""	"208"	""	""	""	""	"203"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"45"	"3"	""	"5"	""	""	"137"	""	""	""	""	"267"	""	""	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"435"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"46"	"6"	""	"1"	""	""	"130"	""	""	""	""	"173"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"47"	"7"	""	"15"	""	""	"160"	""	""	""	""	"245"	""	""	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
