"X."	"X..1"	"X..2"	"X015.GHORASAHAN"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"47"	"38"	""	""	"928"	"5"	"232"	""	""	""	"298"	"80"	"5"	"7"	"18"	"640"
"48"	"39"	""	""	"1210"	"5"	"60"	""	""	""	"520"	"91"	"5"	"7"	"6"	"689"
"49"	"40"	""	""	"1106"	"5"	"99"	""	""	""	"159"	"234"	"16"	"10"	"20"	"538"
"50"	"40"	""	"A"	"339"	"5"	"8"	""	""	""	"83"	"38"	"5"	"2"	"2"	"138"
"51"	"41"	"1"	"Booth No."	""	""	""	"Booth"	""	""	""	""	""	""	""	""
"52"	""	"2"	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"1373"	"4"	"Voters"	""	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""
"54"	"5"	"6"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"204"	"7"	"NEK MAHAMAD"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"56"	"260"	"8"	"PRAMOD KUMAR  SINHA"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"155"	"9"	"LAXMI NARAYAN PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"17"	"10"	"OM PRAKASH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"11"	"11"	"ASHOK RAM"	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"17"	"12"	"SURENDRA KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"664"	"13"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""	""	""	""	""
"63"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""
"64"	"Booth No."	""	"Ext"	"Voters"	"Round"	"NEK MAHAMAD"	""	""	""	"PRAMOD KUMAR  SINHA"	"LAXMI NARAYAN PD. YADAV"	"OM PRAKASH KUMAR"	"ASHOK RAM"	"SURENDRA KUMAR"	"Total"
"65"	"1"	""	"2"	"4"	"6"	"7"	""	""	""	"8"	"9"	"10"	"11"	"12"	"13"
"66"	"42"	""	""	"1101"	"5"	"128"	""	""	""	"314"	"142"	"12"	"9"	"16"	"621"
"67"	"43"	""	""	"1302"	"5"	"214"	""	""	""	"221"	"189"	"15"	"14"	"18"	"671"
"68"	"44"	""	""	"1069"	"6"	"140"	""	""	""	"379"	"41"	"20"	"16"	"23"	"619"
"69"	"45"	""	""	"898"	"6"	"45"	""	""	""	"383"	"63"	"3"	"12"	"13"	"519"
"70"	"46"	""	""	"1389"	"6"	"147"	""	""	""	"380"	"178"	"22"	"20"	"35"	"782"
"71"	"47"	""	""	"1324"	"6"	"134"	""	""	""	"593"	"74"	"12"	"7"	"14"	"834"
"72"	"48"	""	"A"	"474"	"6"	"21"	""	""	""	"178"	"25"	"1"	"2"	"2"	"229"
"73"	"48"	""	""	"937"	"6"	"57"	""	""	""	"534"	"22"	"7"	"9"	"13"	"642"
"74"	"49"	""	""	"1042"	"6"	"116"	""	""	""	"392"	"63"	"8"	"9"	"28"	"616"
"75"	"50"	""	""	"901"	"6"	"75"	""	""	""	"397"	"30"	"7"	"10"	"18"	"537"
"76"	"51"	""	""	"1152"	"6"	"209"	""	""	""	"289"	"51"	"12"	"10"	"16"	"587"
"77"	"52"	""	""	"1171"	"6"	"42"	""	""	""	"405"	"102"	"6"	"7"	"6"	"568"
"78"	"53"	""	""	"739"	"7"	"166"	""	""	""	"154"	"57"	"10"	"7"	"10"	"404"
"79"	"54"	""	""	"888"	"7"	"181"	""	""	""	"196"	"194"	"14"	"11"	"12"	"608"
"80"	"54"	""	"A"	"561"	"7"	"29"	""	""	""	"135"	"151"	"3"	"2"	"3"	"323"
"81"	"55"	""	""	"1250"	"7"	"143"	""	""	""	"201"	"225"	"18"	"12"	"8"	"607"
"82"	"56"	""	""	"943"	"7"	"219"	""	""	""	"159"	"156"	"10"	"12"	"9"	"565"
"83"	"56"	""	"A"	"489"	"7"	"11"	""	""	""	"21"	"229"	"7"	"4"	"3"	"275"
"84"	"57"	""	""	"1001"	"7"	"112"	""	""	""	"160"	"260"	"12"	"4"	"4"	"552"
"85"	"58"	""	""	"1081"	"7"	"170"	""	""	""	"93"	"290"	"16"	"10"	"11"	"590"
"86"	"59"	""	""	"946"	"7"	"170"	""	""	""	"235"	"79"	"7"	"15"	"38"	"544"
"87"	"59"	""	"A"	"522"	"7"	"82"	""	""	""	"115"	"51"	"3"	"3"	"3"	"257"
"88"	"60"	""	""	"917"	"8"	"145"	""	""	""	"98"	"309"	"18"	"8"	"6"	"584"
"89"	"60"	""	"A"	"512"	"8"	"13"	""	""	""	"184"	"84"	"6"	"5"	"3"	"295"
"90"	"61"	""	""	"1108"	"8"	"126"	""	""	""	"273"	"214"	"13"	"3"	"14"	"643"
"91"	"62"	""	""	"821"	"8"	"227"	""	""	""	"98"	"135"	"4"	"2"	"2"	"468"
"92"	"63"	""	""	"668"	"8"	"25"	""	""	""	"284"	"45"	"6"	"3"	"5"	"368"
"93"	"64"	""	""	"838"	"8"	"318"	""	""	""	"178"	"13"	"6"	"6"	"8"	"529"
"94"	"65"	""	""	"1077"	"8"	"245"	""	""	""	"201"	"69"	"6"	"8"	"3"	"532"
"95"	"66"	""	""	"797"	"8"	"91"	""	""	""	"24"	"355"	"19"	"6"	"5"	"500"
"96"	"67"	""	""	"1354"	"8"	"349"	""	""	""	"74"	"98"	"10"	"11"	"9"	"551"
"97"	"68"	""	""	"695"	"8"	"76"	""	""	""	"288"	"47"	"8"	"8"	"14"	"441"
"98"	"69"	""	""	"770"	"9"	"100"	""	""	""	"299"	"73"	"3"	"4"	"8"	"487"
"99"	"70"	""	""	"641"	"9"	"162"	""	""	""	"23"	"74"	"8"	"5"	"2"	"274"
"100"	"71"	""	""	"1098"	"9"	"329"	""	""	""	"88"	"81"	"14"	"19"	"20"	"551"
"101"	"72"	""	""	"1285"	"9"	"37"	""	""	""	"18"	"445"	"36"	"21"	"18"	"575"
"102"	"73"	""	""	"1054"	"9"	"99"	""	""	""	"192"	"163"	"14"	"12"	"16"	"496"
"103"	"74"	""	""	"883"	"9"	"260"	""	""	""	"77"	"114"	"16"	"9"	"16"	"492"
"104"	"74"	""	"A"	"769"	"9"	"227"	""	""	""	"18"	"34"	"9"	"4"	"13"	"305"
"105"	"75"	""	""	"938"	"9"	"290"	""	""	""	"57"	"50"	"5"	"9"	"15"	"426"
"106"	"75"	""	"A"	"471"	"9"	"53"	""	""	""	"22"	"100"	"8"	"5"	"10"	"198"
"107"	"76"	""	""	"1277"	"9"	"281"	""	""	""	"117"	"75"	"10"	"5"	"8"	"496"
"108"	"77"	""	""	"924"	"10"	"175"	""	""	""	"37"	"264"	"24"	"9"	"9"	"518"
"109"	"78"	""	""	"857"	"10"	"293"	""	""	""	"36"	"205"	"14"	"12"	"10"	"570"
"110"	"79"	""	""	"1167"	"10"	"88"	""	""	""	"167"	"229"	"18"	"17"	"12"	"531"
"111"	"80"	""	""	"1103"	"10"	"134"	""	""	""	"167"	"190"	"28"	"9"	"20"	"548"
"112"	"81"	""	""	"1018"	"10"	"195"	""	""	""	"30"	"286"	"15"	"6"	"3"	"535"
"113"	"82"	"1"	"Booth No."	""	""	""	"Booth"	""	""	""	""	""	""	""	""
"114"	""	"2"	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"856"	"4"	"Voters"	""	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""
"116"	"10"	"6"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"38"	"7"	"NEK MAHAMAD"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"118"	"8"	"8"	"PRAMOD KUMAR  SINHA"	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"370"	"9"	"LAXMI NARAYAN PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"18"	"10"	"OM PRAKASH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"15"	"11"	"ASHOK RAM"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"9"	"12"	"SURENDRA KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"458"	"13"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""	""	""	""	""
"125"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""
"126"	"Booth No."	""	"Ext"	"Voters"	"Round"	"NEK MAHAMAD"	""	""	""	"PRAMOD KUMAR  SINHA"	"LAXMI NARAYAN PD. YADAV"	"OM PRAKASH KUMAR"	"ASHOK RAM"	"SURENDRA KUMAR"	"Total"
"127"	"1"	""	"2"	"4"	"6"	"7"	""	""	""	"8"	"9"	"10"	"11"	"12"	"13"
"128"	"83"	""	""	"812"	"10"	"5"	""	""	""	"7"	"444"	""	"3"	""	"459"
"129"	"84"	""	""	"1130"	"10"	"88"	""	""	""	"28"	"371"	"24"	"9"	"19"	"539"
"130"	"85"	""	""	"908"	"10"	"115"	""	""	""	"52"	"251"	"12"	"10"	"16"	"456"
"131"	"86"	""	""	"1393"	"10"	"160"	""	""	""	"131"	"35"	"2"	"3"	"13"	"344"
"132"	"87"	""	""	"1042"	"11"	"342"	""	""	""	"31"	"75"	"9"	"7"	"11"	"475"
"133"	"88"	""	""	"622"	"11"	"126"	""	""	""	"55"	"34"	"4"	"1"	"7"	"227"
"134"	"89"	""	""	"1007"	"11"	"387"	""	""	""	"29"	"85"	"10"	"4"	"9"	"524"
"135"	"90"	""	""	"1055"	"11"	"367"	""	""	""	"22"	"103"	"2"	"1"	"1"	"496"
"136"	"91"	""	""	"924"	"11"	"76"	""	""	""	"234"	"255"	"20"	"6"	"13"	"604"
"137"	"92"	""	""	"963"	"11"	"165"	""	""	""	"32"	"299"	"11"	"8"	"7"	"522"
"138"	"93"	""	""	"1334"	"11"	"163"	""	""	""	"37"	"455"	"35"	"21"	"32"	"743"
"139"	"94"	""	"A"	"506"	"11"	"75"	""	""	""	"33"	"70"	"13"	"1"	"3"	"195"
"140"	"94"	""	""	"954"	"11"	"109"	""	""	""	"137"	"98"	"95"	"13"	"10"	"462"
"141"	"95"	""	""	"1133"	"11"	"69"	""	""	""	"9"	"207"	"268"	"16"	"12"	"581"
"142"	"96"	""	""	"1241"	"12"	"68"	""	""	""	"16"	"274"	"228"	"8"	"13"	"607"
"143"	"97"	""	""	"908"	"12"	"125"	""	""	""	"53"	"308"	"19"	"6"	"8"	"519"
"144"	"98"	""	""	"808"	"12"	"111"	""	""	""	"13"	"247"	"24"	"8"	"9"	"412"
"145"	"99"	""	""	"1089"	"12"	"244"	""	""	""	"29"	"153"	"20"	"11"	"17"	"474"
"146"	"100"	""	""	"852"	"12"	"128"	""	""	""	"52"	"129"	"12"	"3"	"9"	"333"
"147"	"101"	""	""	"790"	"12"	"160"	""	""	""	"66"	"117"	"14"	"6"	"13"	"376"
"148"	"102"	""	""	"1059"	"12"	"95"	""	""	""	"56"	"244"	"32"	"12"	"25"	"464"
"149"	"103"	""	""	"1005"	"12"	"148"	""	""	""	"241"	"50"	"17"	"10"	"18"	"484"
"150"	"103"	""	"A"	"509"	"12"	"30"	""	""	""	"69"	"33"	"5"	"2"	"5"	"144"
"151"	"104"	""	""	"874"	"12"	"155"	""	""	""	"97"	"132"	"4"	"11"	"22"	"421"
"152"	"104"	""	"A"	"585"	"13"	"41"	""	""	""	"81"	"93"	"8"	"10"	"10"	"243"
"153"	"105"	""	""	"1106"	"13"	"242"	""	""	""	"90"	"149"	"12"	"5"	"9"	"507"
"154"	"106"	""	""	"712"	"13"	"182"	""	""	""	"109"	"73"	"2"	"5"	"8"	"379"
"155"	"106"	""	"A"	"852"	"13"	"165"	""	""	""	"199"	"87"	"7"	"6"	"5"	"469"
"156"	"107"	""	""	"952"	"13"	"193"	""	""	""	"92"	"125"	"7"	"5"	"9"	"431"
"157"	"108"	""	"A"	"641"	"13"	"45"	""	""	""	"38"	"207"	"3"	"1"	"4"	"298"
"158"	"108"	""	""	"912"	"13"	"201"	""	""	""	"174"	"96"	"10"	"10"	"10"	"501"
"159"	"109"	""	""	"906"	"13"	"197"	""	""	""	"210"	"87"	"5"	"11"	"16"	"526"
"160"	"110"	""	""	"908"	"13"	"50"	""	""	""	"24"	"325"	"4"	"3"	"4"	"410"
"161"	"111"	""	""	"855"	"13"	"74"	""	""	""	"31"	"184"	"9"	"4"	"8"	"310"
"162"	"112"	""	"A"	"643"	"14"	"103"	""	""	""	"17"	"164"	"15"	"8"	"7"	"314"
"163"	"112"	""	""	"927"	"14"	"151"	""	""	""	"124"	"160"	"14"	"9"	"16"	"474"
"164"	"113"	""	""	"1155"	"14"	"239"	""	""	""	"99"	"225"	"18"	"22"	"25"	"628"
"165"	"114"	""	""	"989"	"14"	"191"	""	""	""	"177"	"109"	"16"	"15"	"25"	"533"
"166"	"115"	""	""	"998"	"14"	"297"	""	""	""	"153"	"32"	"7"	"13"	"22"	"524"
"167"	"116"	""	""	"1012"	"14"	"218"	""	""	""	"194"	"122"	"9"	"7"	"10"	"560"
"168"	"117"	""	"A"	"620"	"14"	"149"	""	""	""	"11"	"44"	"5"	"1"	"2"	"212"
"169"	"117"	""	""	"889"	"14"	"131"	""	""	""	"30"	"243"	"15"	"13"	"10"	"442"
"170"	"118"	""	""	"1098"	"14"	"147"	""	""	""	"30"	"255"	"11"	"5"	"14"	"462"
"171"	"119"	""	""	"1049"	"14"	"16"	""	""	""	"68"	"407"	"4"	"2"	"2"	"499"
"172"	"120"	""	""	"1383"	"15"	"226"	""	""	""	"113"	"290"	"18"	"14"	"11"	"672"
"173"	"121"	""	""	"496"	"15"	"24"	""	""	""	"38"	"205"	"10"	"5"	"5"	"287"
"174"	"122"	""	""	"1219"	"15"	"89"	""	""	""	"56"	"472"	"15"	"8"	"8"	"648"
"175"	"123"	"1"	"Booth No."	""	""	""	"Booth"	""	""	""	""	""	""	""	""
"176"	""	"2"	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"717"	"4"	"Voters"	""	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""
"178"	"15"	"6"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"51"	"7"	"NEK MAHAMAD"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"180"	"42"	"8"	"PRAMOD KUMAR  SINHA"	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"331"	"9"	"LAXMI NARAYAN PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"12"	"10"	"OM PRAKASH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"5"	"11"	"ASHOK RAM"	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"10"	"12"	"SURENDRA KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"451"	"13"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""
"186"	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""	""	""	""	""
"187"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""
"188"	"Booth No."	""	"Ext"	"Voters"	"Round"	"NEK MAHAMAD"	""	""	""	"PRAMOD KUMAR  SINHA"	"LAXMI NARAYAN PD. YADAV"	"OM PRAKASH KUMAR"	"ASHOK RAM"	"SURENDRA KUMAR"	"Total"
"189"	"1"	""	"2"	"4"	"6"	"7"	""	""	""	"8"	"9"	"10"	"11"	"12"	"13"
"190"	"124"	""	""	"1335"	"15"	"55"	""	""	""	"48"	"532"	"18"	"0"	"5"	"658"
"191"	"125"	""	""	"704"	"15"	"48"	""	""	""	"35"	"295"	"11"	"5"	"4"	"398"
"192"	"126"	""	""	"834"	"15"	"1"	""	""	""	"1"	"549"	"4"	"0"	"3"	"558"
"193"	"127"	""	""	"949"	"15"	"167"	""	""	""	"33"	"291"	"10"	"10"	"9"	"520"
"194"	"127"	""	"A"	"490"	"15"	"56"	""	""	""	"2"	"78"	"8"	"3"	"3"	"150"
"195"	"128"	""	""	"1125"	"15"	"355"	""	""	""	"102"	"87"	"5"	"4"	"3"	"556"
"196"	"129"	""	""	"883"	"16"	"192"	""	""	""	"12"	"207"	"8"	"4"	"13"	"436"
"197"	"130"	""	""	"1027"	"16"	"113"	""	""	""	"70"	"352"	"13"	"4"	"8"	"560"
"198"	"131"	""	""	"929"	"16"	"80"	""	""	""	"177"	"65"	"8"	"6"	"10"	"346"
"199"	"131"	""	"A"	"475"	"16"	"24"	""	""	""	"74"	"25"	"14"	"5"	"10"	"152"
"200"	"132"	""	""	"992"	"16"	"109"	""	""	""	"327"	"50"	"5"	"6"	"5"	"502"
"201"	"133"	""	""	"1082"	"16"	"110"	""	""	""	"237"	"46"	"7"	"11"	"28"	"439"
"202"	"134"	""	""	"1088"	"16"	"111"	""	""	""	"256"	"31"	"9"	"13"	"18"	"438"
"203"	"135"	""	""	"1044"	"16"	"111"	""	""	""	"259"	"118"	"15"	"24"	"42"	"569"
"204"	"136"	""	""	"959"	"16"	"61"	""	""	""	"250"	"115"	"3"	"6"	"17"	"452"
"205"	"137"	""	""	"1014"	"16"	"134"	""	""	""	"246"	"63"	"14"	"13"	"29"	"499"
"206"	"138"	""	"A"	"526"	"17"	"24"	""	""	""	"51"	"69"	"9"	"1"	"4"	"158"
"207"	"138"	""	""	"968"	"17"	"45"	""	""	""	"244"	"173"	"11"	"14"	"16"	"503"
"208"	"139"	""	""	"1218"	"17"	"112"	""	""	""	"243"	"253"	"11"	"7"	"22"	"648"
"209"	"140"	""	""	"1300"	"17"	"113"	""	""	""	"384"	"90"	"10"	"9"	"22"	"628"
"210"	"141"	""	""	"1101"	"17"	"49"	""	""	""	"161"	"269"	"23"	"15"	"14"	"531"
"211"	"142"	""	""	"1062"	"17"	"63"	""	""	""	"391"	"176"	"2"	"11"	"19"	"662"
"212"	"143"	""	""	"1153"	"17"	"94"	""	""	""	"280"	"155"	"15"	"11"	"18"	"573"
"213"	"144"	""	""	"997"	"17"	"157"	""	""	""	"172"	"59"	"9"	"14"	"22"	"433"
"214"	"145"	""	""	"1130"	"17"	"91"	""	""	""	"163"	"156"	"5"	"3"	"6"	"424"
"215"	"146"	""	""	"1019"	"17"	"95"	""	""	""	"250"	"43"	"13"	"11"	"44"	"456"
"216"	"147"	""	""	"864"	"18"	"54"	""	""	""	"132"	"72"	"7"	"3"	"5"	"273"
"217"	"148"	""	""	"840"	"18"	"130"	""	""	""	"189"	"11"	"0"	"8"	"13"	"351"
"218"	"149"	""	""	"911"	"18"	"140"	""	""	""	"101"	"33"	"4"	"7"	"15"	"300"
"219"	"150"	""	""	"664"	"18"	"165"	""	""	""	"58"	"63"	"6"	"4"	"21"	"317"
"220"	"151"	""	""	"983"	"18"	"86"	""	""	""	"268"	"49"	"14"	"6"	"15"	"438"
"221"	"152"	""	""	"959"	"18"	"161"	""	""	""	"185"	"40"	"3"	"6"	"14"	"409"
"222"	"153"	""	""	"942"	"18"	"211"	""	""	""	"99"	"97"	"8"	"6"	"10"	"431"
"223"	"154"	""	""	"1082"	"18"	"282"	""	""	""	"46"	"43"	"3"	"4"	"13"	"391"
"224"	"155"	""	""	"819"	"18"	"158"	""	""	""	"82"	"37"	"2"	"3"	"8"	"290"
"225"	"156"	""	""	"999"	"18"	"212"	""	""	""	"62"	"85"	"13"	"10"	"20"	"402"
"226"	"157"	""	""	"1218"	"19"	"118"	""	""	""	"62"	"181"	"23"	"5"	"10"	"399"
"227"	"158"	""	""	"877"	"19"	"119"	""	""	""	"105"	"60"	"9"	"4"	"16"	"313"
"228"	"159"	""	""	"1127"	"19"	"83"	""	""	""	"59"	"299"	"23"	"17"	"17"	"498"
"229"	"160"	""	""	"992"	"19"	"73"	""	""	""	"26"	"318"	"23"	"18"	"13"	"471"
"230"	"160"	""	"A"	"519"	"19"	"126"	""	""	""	"14"	"47"	"10"	"8"	"6"	"211"
"231"	"161"	""	""	"1169"	"19"	"80"	""	""	""	"95"	"291"	"22"	"25"	"11"	"524"
"232"	"162"	""	""	"1028"	"19"	"24"	""	""	""	"54"	"272"	"33"	"14"	"31"	"428"
"233"	"163"	""	""	"1124"	"19"	"53"	""	""	""	"58"	"385"	"26"	"8"	"9"	"539"
"234"	"164"	""	""	"1069"	"19"	"185"	""	""	""	"17"	"96"	"4"	"4"	"11"	"317"
"235"	"165"	""	""	"1136"	"19"	"243"	""	""	""	"24"	"84"	"7"	"4"	"10"	"372"
"236"	"166"	""	""	"1049"	"20"	"210"	""	""	""	"35"	"156"	"20"	"6"	"8"	"435"
"237"	"167"	"1"	"Booth No."	""	""	""	"Booth"	""	""	""	""	""	""	""	""
"238"	""	"2"	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"589"	"4"	"Voters"	""	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""
"240"	"20"	"6"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"172"	"7"	"NEK MAHAMAD"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"242"	"39"	"8"	"PRAMOD KUMAR  SINHA"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"9"	"9"	"LAXMI NARAYAN PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"4"	"10"	"OM PRAKASH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"3"	"11"	"ASHOK RAM"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"7"	"12"	"SURENDRA KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"234"	"13"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	""	""	"015-GHORASAHAN"	""	""	""	""	""	""	""	""	""	""	""
"249"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""
"250"	"Booth No."	""	"Ext"	"Voters"	"Round"	"NEK MAHAMAD"	""	""	""	"PRAMOD KUMAR  SINHA"	"LAXMI NARAYAN PD. YADAV"	"OM PRAKASH KUMAR"	"ASHOK RAM"	"SURENDRA KUMAR"	"Total"
"251"	"1"	""	"2"	"4"	"6"	"7"	""	""	""	"8"	"9"	"10"	"11"	"12"	"13"
