"X."	"X..1"	"X..2"	"X..3"	"X020.GOBINDGANJ"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"85"	"71"	""	"1086"	"8"	"21"	"6"	"336"	"89"	"91"	"543"
"86"	"72"	""	"1160"	"8"	"45"	"4"	"265"	"50"	"102"	"466"
"87"	"73"	""	"975"	"8"	"32"	"11"	"340"	"141"	"39"	"563"
"88"	"73"	"A"	"581"	"9"	"9"	"0"	"113"	"100"	"16"	"238"
"89"	"74"	""	"831"	"9"	"48"	"5"	"240"	"44"	"53"	"390"
"90"	"75"	""	"1228"	"9"	"65"	"7"	"253"	"99"	"98"	"522"
"91"	"76"	""	"1060"	"9"	"18"	"19"	"319"	"115"	"36"	"507"
"92"	"77"	""	"1127"	"9"	"238"	"19"	"96"	"48"	"87"	"488"
"93"	"78"	""	"1337"	"9"	"254"	"18"	"153"	"58"	"86"	"569"
"94"	"79"	""	"1074"	"9"	"79"	"19"	"117"	"132"	"178"	"525"
"95"	"80"	""	"1065"	"9"	"124"	"11"	"90"	"103"	"276"	"604"
"96"	"81"	""	"853"	"9"	"42"	"9"	"197"	"41"	"125"	"414"
"97"	"82"	""	"1246"	"9"	"179"	"15"	"281"	"55"	"61"	"591"
"98"	"83"	""	"985"	"10"	"66"	"12"	"204"	"72"	"125"	"479"
"99"	"83"	"A"	"432"	"10"	"6"	"7"	"104"	"30"	"16"	"163"
"100"	"84"	""	"870"	"10"	"40"	"14"	"180"	"126"	"44"	"404"
"101"	"85"	""	"850"	"10"	"49"	"14"	"202"	"100"	"13"	"378"
"102"	"86"	""	"1210"	"10"	"14"	"7"	"420"	"149"	"16"	"606"
"103"	"87"	""	"938"	"10"	"71"	"16"	"177"	"88"	"42"	"394"
"104"	"87"	"A"	"514"	"10"	"26"	"4"	"107"	"63"	"19"	"219"
"105"	"88"	""	"1220"	"10"	"111"	"16"	"320"	"86"	"34"	"567"
"106"	"89"	""	"988"	"10"	"78"	"8"	"181"	"45"	"35"	"347"
"107"	"89"	"A"	"447"	"10"	"30"	"9"	"117"	"25"	"10"	"191"
"108"	"90"	""	"1117"	"11"	"824"	"of 5     13"	"350"	"75"	"28"	"550"
"109"	"91"	""	"1321"	"11"	"191"	"13"	"88"	"36"	"319"	"647"
"110"	""	""	""	""	"020-GOBINDGANJ"	""	""	""	""	""
"111"	""	""	""	""	"Candidate's Name"	""	""	""	""	""
"112"	"Booth No."	"Ext"	"Voters"	"Round"	"ANIRUDH SAHANI"	"PRABHU RAM"	"MEENA DEVI"	"RAJAN TIWARI"	"SHASHI BHUSHAN RAI"	"Total"
"113"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"114"	"92"	""	"1376"	"11"	"209"	"31"	"250"	"42"	"72"	"604"
"115"	"93"	""	"1361"	"11"	"131"	"77"	"204"	"82"	"78"	"572"
"116"	"94"	""	"938"	"11"	"77"	"24"	"243"	"70"	"32"	"446"
"117"	"95"	""	"1036"	"11"	"99"	"14"	"174"	"128"	"59"	"474"
"118"	"96"	""	"1044"	"11"	"156"	"13"	"251"	"45"	"26"	"491"
"119"	"96"	"A"	"428"	"11"	"17"	"7"	"93"	"59"	"16"	"192"
"120"	"97"	""	"863"	"11"	"109"	"13"	"228"	"32"	"32"	"414"
"121"	"98"	""	"1328"	"11"	"24"	"7"	"20"	"188"	"219"	"458"
"122"	"99"	""	"1349"	"12"	"90"	"15"	"175"	"129"	"104"	"513"
"123"	"100"	""	"1120"	"12"	"49"	"21"	"210"	"72"	"108"	"460"
"124"	"101"	""	"1227"	"12"	"204"	"37"	"175"	"24"	"86"	"526"
"125"	"102"	""	"1029"	"12"	"93"	"7"	"39"	"105"	"178"	"422"
"126"	"103"	""	"788"	"12"	"35"	"15"	"65"	"13"	"189"	"317"
"127"	"104"	""	"661"	"12"	"49"	"13"	"147"	"23"	"85"	"317"
"128"	"105"	""	"1295"	"12"	"49"	"11"	"205"	"79"	"280"	"624"
"129"	"106"	""	"1292"	"12"	"57"	"13"	"62"	"106"	"216"	"454"
"130"	"107"	""	"957"	"12"	"47"	"13"	"178"	"142"	"59"	"439"
"131"	"107"	"A"	"516"	"12"	"38"	"13"	"12"	"43"	"93"	"199"
"132"	"108"	""	"1076"	"13"	"50"	"9"	"216"	"57"	"83"	"415"
"133"	"109"	""	"888"	"13"	"169"	"17"	"66"	"49"	"96"	"397"
"134"	"110"	""	"936"	"13"	"56"	"19"	"123"	"86"	"182"	"466"
"135"	"110"	"A"	"686"	"13"	"12"	"6"	"62"	"57"	"94"	"231"
"136"	"111"	""	"505"	"13"	"5"	"3"	"112"	"43"	"15"	"178"
"137"	"112"	""	"1173"	"13"	"53"	"19"	"180"	"216"	"52"	"520"
"138"	"113"	""	"869"	"13"	"29"	"16"	"155"	"166"	"29"	"395"
"139"	"114"	""	"963"	"13"	"35"	"23"	"213"	"145"	"68"	"484"
"140"	"115"	""	"1254"	"13"	"41"	"20"	"253"	"197"	"41"	"552"
"141"	"116"	"A"	"573"	"13"	"16"	"22"	"266"	"67"	"50"	"421"
"142"	"116"	""	"886"	"14"	"16"	"5"	"182"	"9"	"28"	"240"
"143"	"117"	""	"1153"	"14"	"106"	"17"	"182"	"102"	"98"	"505"
"144"	"118"	""	"871"	"14"	"46"	"13"	"188"	"134"	"59"	"440"
"145"	"118"	"A"	"820"	"14"	"65"	"15"	"110"	"70"	"50"	"310"
"146"	"119"	""	"1029"	"14"	"31"	"22"	"124"	"119"	"236"	"532"
"147"	"119"	"A"	"475"	"14"	"29"	"6"	"87"	"43"	"43"	"208"
"148"	"120"	""	"1148"	"14"	"40"	"22"	"150"	"115"	"156"	"483"
"149"	"121"	""	"669"	"14"	"29"	"4"	"129"	"98"	"44"	"304"
"150"	"122"	""	"922"	"14"	"124"	"11"	"157"	"14"	"135"	"441"
"151"	"122"	"A"	"540"	"14"	"40"	"3"	"110"	"14"	"9"	"176"
"152"	"123"	""	"1220"	"15"	"159"	"15"	"111"	"67"	"9"	"361"
"153"	"124"	""	"942"	"15"	"70"	"18"	"185"	"93"	"30"	"396"
"154"	"124"	"A"	"638"	"15"	"6"	"5"	"171"	"50"	"19"	"251"
"155"	"125"	""	"1355"	"15"	"122"	"30"	"193"	"146"	"61"	"552"
"156"	"126"	""	"1163"	"15"	"62"	"14"	"222"	"104"	"47"	"449"
"157"	"127"	""	"819"	"15"	"118"	"8"	"44"	"25"	"83"	"278"
"158"	"128"	""	"998"	"15"	"88"	"23"	"112"	"14"	"50"	"287"
"159"	"129"	""	"906"	"15"	"83"	"13"	"156"	"56"	"58"	"366"
"160"	"129"	"A"	"622"	"15"	"71"	"7"	"74"	"23"	"29"	"204"
"161"	"130"	""	"889"	"15"	"69"	"31"	"108"	"45"	"91"	"344"
"162"	"130"	"A"	"525"	"16"	"8"	"9"	"51"	"46"	"25"	"139"
"163"	"131"	""	"864"	"16"	"633"	"of 5     11"	"45"	"89"	"117"	"325"
"164"	"132"	""	"1293"	"16"	"245"	"25"	"77"	"52"	"80"	"479"
"165"	""	""	""	""	"020-GOBINDGANJ"	""	""	""	""	""
"166"	""	""	""	""	"Candidate's Name"	""	""	""	""	""
"167"	"Booth No."	"Ext"	"Voters"	"Round"	"ANIRUDH SAHANI"	"PRABHU RAM"	"MEENA DEVI"	"RAJAN TIWARI"	"SHASHI BHUSHAN RAI"	"Total"
"168"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"169"	"133"	""	"1192"	"16"	"64"	"12"	"286"	"65"	"33"	"460"
"170"	"134"	""	"1329"	"16"	"181"	"19"	"240"	"112"	"43"	"595"
"171"	"135"	""	"1068"	"16"	"135"	"22"	"149"	"131"	"21"	"458"
"172"	"136"	""	"1058"	"16"	"15"	"13"	"190"	"48"	"7"	"273"
"173"	"137"	""	"1099"	"16"	"99"	"22"	"153"	"94"	"21"	"389"
"174"	"138"	""	"843"	"16"	"44"	"9"	"321"	"39"	"23"	"436"
"175"	"139"	""	"740"	"16"	"60"	"7"	"198"	"40"	"28"	"333"
"176"	"140"	""	"1116"	"17"	"257"	"22"	"102"	"42"	"102"	"525"
"177"	"141"	""	"1243"	"17"	"57"	"20"	"120"	"174"	"180"	"551"
"178"	"142"	""	"1253"	"17"	"32"	"16"	"234"	"162"	"77"	"521"
"179"	"143"	""	"1309"	"17"	"27"	"25"	"137"	"259"	"113"	"561"
"180"	"144"	""	"779"	"17"	"54"	"6"	"185"	"62"	"101"	"408"
"181"	"145"	""	"1049"	"17"	"35"	"17"	"172"	"174"	"122"	"520"
"182"	"146"	""	"1016"	"17"	"36"	"13"	"130"	"113"	"193"	"485"
"183"	"147"	""	"1246"	"17"	"28"	"13"	"253"	"93"	"82"	"469"
"184"	"148"	""	"977"	"17"	"31"	"6"	"49"	"229"	"119"	"434"
"185"	"148"	"A"	"516"	"17"	"14"	"2"	"33"	"117"	"77"	"243"
"186"	"149"	""	"913"	"18"	"51"	"7"	"93"	"23"	"140"	"314"
"187"	"149"	"A"	"574"	"18"	"102"	"10"	"27"	"21"	"24"	"184"
"188"	"150"	""	"908"	"18"	"36"	"10"	"217"	"109"	"84"	"456"
"189"	"151"	""	"832"	"18"	"28"	"14"	"181"	"54"	"70"	"347"
"190"	"152"	""	"868"	"18"	"24"	"16"	"94"	"150"	"29"	"313"
"191"	"153"	""	"1371"	"18"	"219"	"11"	"162"	"86"	"23"	"501"
"192"	"154"	""	"1091"	"18"	"53"	"17"	"161"	"147"	"52"	"430"
"193"	"155"	""	"1104"	"18"	"116"	"16"	"241"	"32"	"58"	"463"
"194"	"156"	""	"893"	"18"	"90"	"6"	"109"	"77"	"20"	"302"
"195"	"157"	""	"1066"	"18"	"333"	"22"	"71"	"14"	"14"	"454"
"196"	"158"	""	"1354"	"19"	"92"	"26"	"231"	"141"	"21"	"511"
"197"	"159"	""	"1056"	"19"	"168"	"10"	"100"	"118"	"35"	"431"
"198"	"160"	""	"685"	"19"	"21"	"7"	"45"	"75"	"123"	"271"
"199"	"161"	""	"1207"	"19"	"38"	"30"	"236"	"64"	"143"	"511"
"200"	"162"	""	"1281"	"19"	"45"	"12"	"136"	"123"	"211"	"527"
"201"	"163"	""	"1305"	"19"	"82"	"22"	"234"	"88"	"56"	"482"
"202"	"164"	""	"945"	"19"	"102"	"9"	"130"	"70"	"27"	"338"
"203"	"165"	""	"805"	"19"	"40"	"9"	"213"	"22"	"25"	"309"
"204"	"166"	""	"1038"	"19"	"117"	"14"	"230"	"38"	"13"	"412"
"205"	"167"	""	"1007"	"19"	"101"	"14"	"150"	"33"	"16"	"314"
"206"	"168"	""	"1143"	"20"	"359"	"34"	"31"	"9"	"81"	"514"
"207"	"169"	""	"1297"	"20"	"214"	"21"	"169"	"23"	"103"	"530"
"208"	"170"	""	"1368"	"20"	"109"	"15"	"122"	"90"	"164"	"500"
"209"	"171"	""	"1391"	"20"	"103"	"13"	"166"	"96"	"94"	"472"
"210"	"172"	""	"1304"	"20"	"302"	"33"	"198"	"26"	"24"	"583"
"211"	"173"	""	"823"	"20"	"93"	"14"	"151"	"80"	"52"	"390"
"212"	"174"	""	"731"	"20"	"79"	"4"	"87"	"112"	"70"	"352"
"213"	"175"	""	"857"	"20"	"53"	"25"	"228"	"100"	"61"	"467"
"214"	"176"	""	"929"	"20"	"243"	"21"	"152"	"52"	"36"	"504"
"215"	"177"	""	"1281"	"20"	"232"	"16"	"227"	"102"	"41"	"618"
"216"	"178"	""	"1120"	"21"	"55"	"15"	"191"	"166"	"29"	"456"
"217"	"178"	"A"	"371"	"21"	"11"	"2"	"34"	"59"	"32"	"138"
"218"	"179"	""	"814"	"21"	"49"	"of 5       9"	"263"	"120"	"42"	"443"
"219"	"180"	""	"923"	"21"	"125"	"18"	"132"	"60"	"25"	"360"
"220"	""	""	""	""	"020-GOBINDGANJ"	""	""	""	""	""
"221"	""	""	""	""	"Candidate's Name"	""	""	""	""	""
"222"	"Booth No."	"Ext"	"Voters"	"Round"	"ANIRUDH SAHANI"	"PRABHU RAM"	"MEENA DEVI"	"RAJAN TIWARI"	"SHASHI BHUSHAN RAI"	"Total"
"223"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"224"	"181"	""	"1377"	"21"	"163"	"22"	"279"	"37"	"81"	"582"
"225"	"182"	""	"1104"	"21"	"48"	"12"	"176"	"175"	"68"	"479"
"226"	"183"	""	"1048"	"21"	"50"	"18"	"131"	"141"	"60"	"400"
"227"	"184"	""	"1085"	"21"	"22"	"23"	"132"	"141"	"73"	"391"
"228"	"184"	"A"	"434"	"21"	"11"	"2"	"28"	"62"	"42"	"145"
"229"	"185"	""	"920"	"21"	"19"	"8"	"156"	"73"	"40"	"296"
"230"	"186"	""	"1368"	"22"	"61"	"35"	"276"	"110"	"76"	"558"
"231"	"187"	""	"1022"	"22"	"210"	"11"	"129"	"69"	"33"	"452"
"232"	"188"	""	"846"	"22"	"147"	"18"	"55"	"88"	"32"	"340"
"233"	"189"	""	"880"	"22"	"187"	"16"	"66"	"70"	"53"	"392"
"234"	"Total"	""	""	""	"15097"	"2883"	"35743"	"19722"	"15425"	"88870"
"235"	"5 of 5"	""	""	""	""	""	""	""	""	""
