"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"56"	"18"	"194"	"19"	"440"	"20"	"12"	"16"	"12"	"58"	"771"	""	"771"	""
"57"	"19"	"205"	"25"	"396"	"16"	"6"	"7"	"11"	"15"	"681"	""	"681"	""
"58"	"20"	"287"	"42"	"184"	"10"	"7"	"2"	"3"	"7"	"542"	""	"542"	""
"59"	"20A"	"316"	"19"	"11"	"1"	"5"	"3"	"1"	"9"	"365"	""	"365"	""
"60"	"21"	"284"	"13"	"194"	"9"	"3"	"4"	"3"	"13"	"523"	""	"523"	""
"61"	"21A"	"131"	"6"	"240"	"12"	"2"	"4"	"3"	"4"	"402"	""	"402"	""
"62"	"22"	"350"	"15"	"197"	"10"	"0"	"7"	"8"	"8"	"595"	""	"595"	""
"63"	"23"	"261"	"9"	"122"	"3"	"4"	"2"	"4"	"7"	"412"	""	"412"	""
"64"	"24"	"130"	"14"	"203"	"8"	"1"	"2"	"4"	"9"	"371"	""	"371"	""
"65"	"25"	"503"	"9"	"6"	"3"	"2"	"2"	"1"	"18"	"544"	""	"544"	""
"66"	"25A"	"64"	"10"	"240"	"5"	"2"	"0"	"2"	"2"	"325"	""	"325"	""
"67"	"26"	"307"	"9"	"0"	"0"	"1"	"1"	"1"	"9"	"328"	""	"328"	""
"68"	"26A"	"140"	"9"	"445"	"15"	"5"	"6"	"5"	"30"	"655"	""	"655"	""
"69"	"27"	"766"	"21"	"13"	"2"	"16"	"0"	"1"	"22"	"841"	""	"841"	""
"70"	"Current Round Total"	"3938"	"220"	"2691"	"114"	"66"	"56"	"59"	"211"	"7355"	"0"	"7355"	"0"
"71"	"Previous Round Total"	"4454"	"410"	"7568"	"289"	"137"	"120"	"118"	"280"	"13376"	"0"	"13376"	"0"
"72"	"TOTAL"	"8392"	"630"	"10259"	"403"	"203"	"176"	"177"	"491"	"20731"	"0"	"20731"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"81"	"28"	"200"	"11"	"214"	"4"	"6"	"1"	"0"	"1"	"437"	""	"437"	""
"82"	"28A"	"330"	"7"	"75"	"0"	"4"	"0"	"2"	"6"	"424"	""	"424"	""
"83"	"29"	"805"	"19"	"32"	"4"	"6"	"5"	"2"	"23"	"896"	""	"896"	""
"84"	"30"	"363"	"18"	"108"	"6"	"0"	"1"	"2"	"12"	"510"	""	"510"	""
"85"	"31"	"460"	"11"	"3"	"2"	"3"	"1"	"3"	"6"	"489"	""	"489"	""
"86"	"32"	"214"	"16"	"69"	"3"	"2"	"3"	"5"	"11"	"323"	""	"323"	""
"87"	"33"	"516"	"14"	"33"	"3"	"1"	"2"	"4"	"9"	"582"	""	"582"	""
"88"	"33A"	"395"	"9"	"9"	"1"	"3"	"1"	"1"	"7"	"426"	""	"426"	""
"89"	"34"	"296"	"17"	"188"	"13"	"6"	"4"	"6"	"12"	"542"	""	"542"	""
"90"	"34A"	"185"	"8"	"443"	"15"	"3"	"7"	"3"	"17"	"681"	""	"681"	""
"91"	"35"	"166"	"10"	"287"	"5"	"5"	"2"	"1"	"4"	"480"	""	"480"	""
"92"	"35A"	"80"	"3"	"264"	"3"	"4"	"2"	"3"	"6"	"365"	""	"365"	""
"93"	"36"	"172"	"19"	"304"	"15"	"4"	"2"	"3"	"3"	"522"	""	"522"	""
"94"	"36A"	"508"	"10"	"58"	"2"	"8"	"4"	"2"	"10"	"602"	""	"602"	""
"95"	"Current Round Total"	"4690"	"172"	"2087"	"76"	"55"	"35"	"37"	"127"	"7279"	"0"	"7279"	"0"
"96"	"Previous Round Total"	"8392"	"630"	"10259"	"403"	"203"	"176"	"177"	"491"	"20731"	"0"	"20731"	"0"
"97"	"TOTAL"	"13082"	"802"	"12346"	"479"	"258"	"211"	"214"	"618"	"28010"	"0"	"28010"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"106"	"37"	"175"	"9"	"334"	"9"	"6"	"1"	"1"	"3"	"538"	""	"538"	""
"107"	"37A"	"300"	"13"	"180"	"3"	"3"	"5"	"2"	"4"	"510"	""	"510"	""
"108"	"38"	"429"	"13"	"6"	"1"	"12"	"1"	"2"	"15"	"479"	""	"479"	""
"109"	"39"	"136"	"16"	"284"	"9"	"4"	"2"	"8"	"6"	"465"	""	"465"	""
"110"	"40"	"124"	"10"	"635"	"21"	"1"	"3"	"2"	"5"	"801"	""	"801"	""
"111"	"41"	"41"	"5"	"280"	"7"	"2"	"6"	"1"	"4"	"346"	""	"346"	""
"112"	"42"	"281"	"16"	"210"	"3"	"5"	"4"	"6"	"12"	"537"	""	"537"	""
"113"	"42A"	"88"	"8"	"262"	"3"	"2"	"5"	"3"	"17"	"388"	""	"388"	""
"114"	"43"	"175"	"7"	"222"	"14"	"7"	"11"	"8"	"19"	"463"	""	"463"	""
"115"	"44"	"200"	"8"	"269"	"10"	"4"	"4"	"0"	"4"	"499"	""	"499"	""
"116"	"45"	"46"	"9"	"460"	"17"	"6"	"5"	"6"	"12"	"561"	""	"561"	""
"117"	"46"	"128"	"6"	"432"	"22"	"5"	"8"	"6"	"19"	"626"	""	"626"	""
"118"	"47"	"49"	"16"	"657"	"14"	"4"	"15"	"5"	"15"	"775"	""	"775"	""
"119"	"48"	"91"	"3"	"215"	"14"	"3"	"1"	"3"	"3"	"333"	""	"333"	""
"120"	"Current Round Total"	"2263"	"139"	"4446"	"147"	"64"	"71"	"53"	"138"	"7321"	"0"	"7321"	"0"
"121"	"Previous Round Total"	"13082"	"802"	"12346"	"479"	"258"	"211"	"214"	"618"	"28010"	"0"	"28010"	"0"
"122"	"TOTAL"	"15345"	"941"	"16792"	"626"	"322"	"282"	"267"	"756"	"35331"	"0"	"35331"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"131"	"49"	"36"	"11"	"369"	"11"	"3"	"4"	"2"	"6"	"442"	""	"442"	""
"132"	"49A"	"32"	"1"	"306"	"12"	"5"	"3"	"2"	"2"	"363"	""	"363"	""
"133"	"50"	"109"	"14"	"529"	"27"	"4"	"4"	"3"	"3"	"693"	""	"693"	""
"134"	"51"	"189"	"10"	"285"	"6"	"11"	"2"	"3"	"7"	"513"	""	"513"	""
"135"	"52"	"345"	"18"	"384"	"8"	"2"	"2"	"4"	"5"	"768"	""	"768"	""
"136"	"53"	"367"	"13"	"171"	"5"	"1"	"3"	"2"	"12"	"574"	""	"574"	""
"137"	"54"	"341"	"10"	"80"	"6"	"8"	"2"	"3"	"13"	"463"	""	"463"	""
"138"	"55"	"40"	"3"	"327"	"13"	"12"	"11"	"5"	"10"	"421"	""	"421"	""
"139"	"55A"	"75"	"7"	"396"	"18"	"12"	"8"	"11"	"15"	"542"	""	"542"	""
"140"	"56"	"370"	"10"	"84"	"3"	"14"	"0"	"0"	"7"	"488"	""	"488"	""
"141"	"57"	"434"	"11"	"31"	"1"	"28"	"3"	"2"	"6"	"516"	""	"516"	""
"142"	"58"	"91"	"10"	"349"	"13"	"23"	"16"	"6"	"9"	"517"	""	"517"	""
"143"	"58A"	"139"	"9"	"58"	"3"	"7"	"1"	"2"	"8"	"227"	""	"227"	""
"144"	"59"	"153"	"10"	"369"	"11"	"9"	"3"	"3"	"8"	"566"	""	"566"	""
"145"	"Current Round Total"	"2721"	"137"	"3738"	"137"	"139"	"62"	"48"	"111"	"7093"	"0"	"7093"	"0"
"146"	"Previous Round Total"	"15345"	"941"	"16792"	"626"	"322"	"282"	"267"	"756"	"35331"	"0"	"35331"	"0"
"147"	"TOTAL"	"18066"	"1078"	"20530"	"763"	"461"	"344"	"315"	"867"	"42424"	"0"	"42424"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"156"	"60"	"203"	"18"	"400"	"10"	"10"	"4"	"2"	"17"	"664"	""	"664"	""
"157"	"61"	"331"	"17"	"362"	"13"	"1"	"5"	"3"	"23"	"755"	""	"755"	""
"158"	"62"	"142"	"20"	"568"	"30"	"12"	"7"	"10"	"11"	"800"	""	"800"	""
"159"	"63"	"189"	"17"	"521"	"19"	"7"	"1"	"4"	"11"	"769"	""	"769"	""
"160"	"64"	"124"	"4"	"209"	"1"	"4"	"4"	"1"	"2"	"349"	""	"349"	""
"161"	"64A"	"626"	"15"	"113"	"7"	"4"	"2"	"2"	"13"	"782"	""	"782"	""
"162"	"65"	"144"	"8"	"525"	"30"	"2"	"4"	"7"	"9"	"729"	""	"729"	""
"163"	"66"	"78"	"12"	"418"	"16"	"7"	"6"	"7"	"8"	"552"	""	"552"	""
"164"	"66A"	"275"	"13"	"151"	"7"	"4"	"7"	"2"	"15"	"474"	""	"474"	""
"165"	"67"	"45"	"16"	"334"	"7"	"2"	"11"	"7"	"15"	"437"	""	"437"	""
"166"	"67A"	"56"	"14"	"399"	"14"	"2"	"6"	"5"	"10"	"506"	""	"506"	""
"167"	"68"	"83"	"9"	"400"	"11"	"2"	"8"	"2"	"11"	"526"	""	"526"	""
"168"	"68A"	"18"	"0"	"260"	"8"	"3"	"3"	"3"	"9"	"304"	""	"304"	""
"169"	"69"	"145"	"13"	"283"	"12"	"5"	"1"	"0"	"4"	"463"	""	"463"	""
"170"	"Current Round Total"	"2459"	"176"	"4943"	"185"	"65"	"69"	"55"	"158"	"8110"	"0"	"8110"	"0"
"171"	"Previous Round Total"	"18066"	"1078"	"20530"	"763"	"461"	"344"	"315"	"867"	"42424"	"0"	"42424"	"0"
"172"	"TOTAL"	"20525"	"1254"	"25473"	"948"	"526"	"413"	"370"	"1025"	"50534"	"0"	"50534"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"181"	"69A"	"147"	"17"	"197"	"10"	"7"	"1"	"6"	"7"	"392"	""	"392"	""
"182"	"70"	"93"	"7"	"403"	"14"	"6"	"5"	"7"	"17"	"552"	""	"552"	""
"183"	"70A"	"104"	"6"	"169"	"6"	"1"	"1"	"3"	"3"	"293"	""	"293"	""
"184"	"71"	"82"	"8"	"344"	"14"	"6"	"6"	"8"	"17"	"485"	""	"485"	""
"185"	"72"	"40"	"19"	"449"	"23"	"6"	"9"	"8"	"12"	"566"	""	"566"	""
"186"	"73"	"463"	"15"	"43"	"5"	"29"	"3"	"0"	"9"	"567"	""	"567"	""
"187"	"74"	"242"	"14"	"192"	"7"	"6"	"7"	"11"	"20"	"499"	""	"499"	""
"188"	"75"	"412"	"13"	"1"	"2"	"8"	"4"	"7"	"16"	"463"	""	"463"	""
"189"	"76"	"115"	"8"	"391"	"10"	"3"	"3"	"3"	"11"	"544"	""	"544"	""
"190"	"77"	"134"	"21"	"373"	"23"	"5"	"4"	"7"	"10"	"577"	""	"577"	""
"191"	"78"	"163"	"11"	"479"	"16"	"5"	"4"	"4"	"8"	"690"	""	"690"	""
"192"	"79"	"184"	"11"	"437"	"32"	"3"	"6"	"1"	"2"	"676"	""	"676"	""
"193"	"80"	"228"	"14"	"253"	"7"	"3"	"2"	"0"	"9"	"516"	""	"516"	""
"194"	"81"	"99"	"54"	"293"	"5"	"2"	"9"	"6"	"14"	"482"	""	"482"	""
"195"	"Current Round Total"	"2506"	"218"	"4024"	"174"	"90"	"64"	"71"	"155"	"7302"	"0"	"7302"	"0"
"196"	"Previous Round Total"	"20525"	"1254"	"25473"	"948"	"526"	"413"	"370"	"1025"	"50534"	"0"	"50534"	"0"
"197"	"TOTAL"	"23031"	"1472"	"29497"	"1122"	"616"	"477"	"441"	"1180"	"57836"	"0"	"57836"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"206"	"82"	"112"	"7"	"239"	"5"	"2"	"4"	"2"	"9"	"380"	""	"380"	""
"207"	"82A"	"291"	"33"	"303"	"15"	"8"	"13"	"6"	"39"	"708"	""	"708"	""
"208"	"83"	"84"	"9"	"246"	"4"	"4"	"3"	"2"	"9"	"361"	""	"361"	""
"209"	"83A"	"95"	"10"	"215"	"6"	"4"	"10"	"6"	"26"	"372"	""	"372"	""
"210"	"84"	"238"	"21"	"252"	"8"	"5"	"14"	"3"	"16"	"557"	""	"557"	""
"211"	"85"	"50"	"45"	"457"	"17"	"4"	"4"	"3"	"7"	"587"	""	"587"	""
"212"	"86"	"136"	"15"	"264"	"16"	"4"	"2"	"3"	"18"	"458"	""	"458"	""
"213"	"87"	"186"	"24"	"366"	"17"	"6"	"0"	"7"	"6"	"612"	""	"612"	""
"214"	"88"	"71"	"9"	"274"	"6"	"2"	"2"	"2"	"4"	"370"	""	"370"	""
"215"	"88A"	"186"	"17"	"230"	"9"	"4"	"1"	"1"	"2"	"450"	""	"450"	""
"216"	"89"	"309"	"14"	"96"	"5"	"4"	"6"	"4"	"13"	"451"	""	"451"	""
"217"	"89A"	"21"	"4"	"257"	"13"	"3"	"6"	"7"	"7"	"318"	""	"318"	""
"218"	"90"	"270"	"13"	"307"	"11"	"6"	"4"	"4"	"14"	"629"	""	"629"	""
"219"	"90A"	"146"	"2"	"133"	"12"	"5"	"1"	"0"	"9"	"308"	""	"308"	""
"220"	"Current Round Total"	"2195"	"223"	"3639"	"144"	"61"	"70"	"50"	"179"	"6561"	"0"	"6561"	"0"
"221"	"Previous Round Total"	"23031"	"1472"	"29497"	"1122"	"616"	"477"	"441"	"1180"	"57836"	"0"	"57836"	"0"
"222"	"TOTAL"	"25226"	"1695"	"33136"	"1266"	"677"	"547"	"491"	"1359"	"64397"	"0"	"64397"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"231"	"91"	"227"	"15"	"146"	"7"	"4"	"7"	"4"	"20"	"430"	""	"430"	""
