"Booth.No."	"Akhtarul.Iman"	"Dinesh.Kumar.Ram"	"Md..Mushtaque.Munna"	"Sanjeev.Kumar.Yadav"	"Bhola.Ray"	"Md..Izhar.Asfi"	"Kalu.Lal"	"Kshameshwar.Pd..Mandal"	"Gobardhan.Prasad.Yadav"	"Ram.Kishun"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"55"	42	16	4	18	388	11	5	9	28	2	2	483	NA	483	NA
"56"	43	116	6	62	137	9	177	1	5	1	7	521	NA	521	NA
"57"	44	94	13	19	29	9	213	4	3	4	3	391	NA	391	NA
"58"	NA	56	1	12	10	5	276	7	2	2	7	378	NA	378	NA
"59"	45	130	4	30	8	7	271	15	10	5	12	492	NA	492	NA
"60"	46	14	4	23	10	4	334	10	4	4	12	419	NA	419	NA
"61"	47	243	8	21	207	14	41	3	3	4	16	560	NA	560	NA
"62"	48	355	15	7	32	6	99	2	2	5	16	539	NA	539	NA
"63"	49	357	18	14	34	4	69	3	7	1	19	526	NA	526	NA
"64"	50	189	9	38	116	8	62	8	13	11	14	468	NA	468	NA
"65"	51	328	9	30	167	4	26	2	2	5	6	579	NA	579	NA
"66"	52	365	13	19	72	4	31	1	2	4	7	518	NA	518	NA
"67"	53	605	19	18	17	1	0	5	6	3	20	694	NA	694	NA
"68"	54	428	13	21	85	2	22	4	2	3	10	590	NA	590	NA
"69"	NA	3296	136	332	1312	88	1626	74	89	54	151	7158	0	7158	0
"70"	NA	15357	539	1922	6085	282	3108	270	400	216	623	28802	0	28802	0
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"73"	55	561	22	23	21	2	41	6	4	4	6	690	NA	690	NA
"74"	56	402	11	23	109	3	21	3	4	1	3	580	NA	580	NA
"75"	57	159	7	38	56	3	22	1	6	7	13	312	NA	312	NA
"76"	NA	232	8	24	59	5	28	1	0	2	13	372	NA	372	NA
"77"	58	363	11	140	135	5	14	7	6	5	14	700	NA	700	NA
"78"	59	217	14	106	12	4	31	3	3	8	15	413	NA	413	NA
"79"	60	306	5	34	39	4	6	1	2	2	5	404	NA	404	NA
"80"	NA	147	8	14	129	4	10	1	0	1	2	316	NA	316	NA
"81"	61	238	11	8	207	4	26	3	2	2	1	502	NA	502	NA
"82"	62	207	8	77	313	7	67	5	4	0	19	707	NA	707	NA
"83"	63	293	11	19	152	4	92	5	5	2	7	590	NA	590	NA
"84"	64	238	14	67	309	8	95	10	7	3	7	758	NA	758	NA
"85"	65	147	10	71	30	0	64	2	4	5	12	345	NA	345	NA
"86"	NA	195	10	46	32	4	100	4	2	6	6	405	NA	405	NA
"87"	NA	3705	150	690	1603	57	617	52	49	48	123	7094	0	7094	0
"88"	NA	19062	689	2612	7688	339	3725	322	449	264	746	35896	0	35896	0
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"91"	66	231	9	41	76	2	63	6	6	0	13	447	NA	447	NA
"92"	67	337	12	6	35	1	56	1	1	3	3	455	NA	455	NA
"93"	68	467	18	13	58	5	10	4	4	3	12	594	NA	594	NA
"94"	69	250	7	3	62	4	44	6	2	1	7	386	NA	386	NA
"95"	70	296	8	16	22	2	57	5	3	3	20	432	NA	432	NA
"96"	71	351	10	30	55	2	46	2	6	4	15	521	NA	521	NA
"97"	72	358	24	17	34	1	31	3	3	4	6	481	NA	481	NA
"98"	73	252	9	13	70	5	75	7	2	4	8	445	NA	445	NA
"99"	74	168	17	148	210	5	6	2	17	12	30	615	NA	615	NA
"100"	75	129	10	19	344	8	9	4	60	3	9	595	NA	595	NA
"101"	76	211	11	136	77	10	76	4	5	8	26	564	NA	564	NA
"102"	77	176	16	181	27	1	3	5	3	0	6	418	NA	418	NA
"103"	78	197	14	156	61	3	25	6	8	9	19	498	NA	498	NA
"104"	79	349	10	160	93	6	7	5	5	6	8	649	NA	649	NA
"105"	NA	3772	175	939	1224	55	508	60	125	60	182	7100	0	7100	0
"106"	NA	22834	864	3551	8912	394	4233	382	574	324	928	42996	0	42996	0
"107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"109"	80	160	9	51	407	2	6	7	22	7	18	689	NA	689	NA
"110"	81	275	9	86	290	11	5	7	10	8	21	722	NA	722	NA
"111"	82	223	2	23	332	9	7	6	8	3	11	624	NA	624	NA
"112"	83	131	6	3	263	3	39	2	10	5	5	467	NA	467	NA
"113"	84	253	11	27	11	2	0	1	1	2	2	310	NA	310	NA
"114"	NA	255	4	24	71	8	4	5	3	7	6	387	NA	387	NA
"115"	85	148	10	429	50	0	2	4	6	3	11	663	NA	663	NA
"116"	86	53	0	49	321	1	2	6	5	3	6	446	NA	446	NA
"117"	87	105	9	147	291	8	12	11	9	7	19	618	NA	618	NA
"118"	88	83	3	185	68	1	2	3	8	3	14	370	NA	370	NA
"119"	NA	103	1	10	177	3	5	4	4	2	6	315	NA	315	NA
"120"	89	252	6	107	73	2	22	2	2	2	12	480	NA	480	NA
"121"	90	236	15	20	58	4	36	2	2	7	11	391	NA	391	NA
"122"	91	267	17	33	91	2	10	1	3	1	6	431	NA	431	NA
"123"	NA	2544	102	1194	2503	56	152	61	93	60	148	6913	0	6913	0
"124"	NA	25378	966	4745	11415	450	4385	443	667	384	1076	49909	0	49909	0
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"127"	92	353	12	60	34	0	2	5	9	4	12	491	NA	491	NA
"128"	93	267	7	43	185	5	7	3	3	2	8	530	NA	530	NA
"129"	94	193	6	38	1	0	2	0	0	3	4	247	NA	247	NA
"130"	NA	19	2	15	383	14	4	3	3	6	9	458	NA	458	NA
"131"	95	223	5	20	26	2	5	0	3	2	6	292	NA	292	NA
"132"	NA	133	6	70	182	3	2	4	6	7	10	423	NA	423	NA
"133"	96	160	12	74	386	5	7	4	7	7	4	666	NA	666	NA
"134"	97	357	18	57	26	3	3	3	7	6	4	484	NA	484	NA
"135"	98	188	10	115	189	9	7	5	3	6	11	543	NA	543	NA
"136"	99	333	11	27	98	6	6	4	2	1	6	494	NA	494	NA
"137"	100	259	3	25	288	6	10	3	1	2	6	603	NA	603	NA
"138"	101	371	9	117	114	2	6	6	4	6	21	656	NA	656	NA
"139"	102	220	0	9	235	6	9	7	2	10	10	508	NA	508	NA
"140"	103	360	14	52	179	3	18	6	6	2	7	647	NA	647	NA
"141"	NA	3436	115	722	2326	64	88	53	56	64	118	7042	0	7042	0
"142"	NA	28814	1081	5467	13741	514	4473	496	723	448	1194	56951	0	56951	0
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"145"	104	142	5	30	381	8	31	4	7	3	7	618	NA	618	NA
"146"	105	105	6	7	152	7	11	1	2	0	2	293	NA	293	NA
"147"	106	48	1	45	316	7	21	2	4	6	3	453	NA	453	NA
"148"	NA	144	6	94	23	2	23	4	5	3	17	321	NA	321	NA
"149"	107	227	10	35	199	1	2	2	9	2	43	530	NA	530	NA
"150"	108	148	4	58	291	6	9	6	2	6	15	545	NA	545	NA
"151"	109	319	7	136	92	2	15	3	6	5	16	601	NA	601	NA
"152"	110	429	8	127	14	3	7	3	5	1	15	612	NA	612	NA
"153"	111	275	7	44	50	3	2	1	6	3	9	400	NA	400	NA
"154"	NA	276	10	67	18	1	5	2	1	1	9	390	NA	390	NA
"155"	112	188	8	83	184	1	8	1	10	5	18	506	NA	506	NA
"156"	NA	256	6	49	45	4	4	4	2	4	13	387	NA	387	NA
"157"	113	234	17	97	90	8	1	5	8	4	21	485	NA	485	NA
"158"	NA	90	4	32	36	2	1	1	4	2	6	178	NA	178	NA
"159"	NA	2881	99	904	1891	55	140	39	71	45	194	6319	0	6319	0
"160"	NA	31695	1180	6371	15632	569	4613	535	794	493	1388	63270	0	63270	0
"161"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"163"	114	226	7	62	15	3	7	1	4	3	12	340	NA	340	NA
"164"	115	265	7	99	16	3	9	7	2	9	18	435	NA	435	NA
"165"	NA	62	9	224	72	3	6	4	4	5	16	405	NA	405	NA
"166"	116	79	6	254	50	2	10	2	6	3	11	423	NA	423	NA
"167"	NA	48	8	224	67	3	3	7	5	7	20	392	NA	392	NA
"168"	117	106	16	236	195	3	9	8	11	5	11	600	NA	600	NA
"169"	118	110	10	233	18	5	9	8	8	12	42	455	NA	455	NA
"170"	NA	243	12	156	119	3	15	9	15	7	30	609	NA	609	NA
"171"	119	158	14	57	438	6	12	6	12	6	16	725	NA	725	NA
"172"	120	209	6	79	177	11	3	5	1	3	6	500	NA	500	NA
"173"	NA	144	10	99	26	2	3	1	5	3	3	296	NA	296	NA
"174"	121	224	10	153	38	4	2	4	7	9	26	477	NA	477	NA
"175"	NA	150	10	114	95	1	1	5	6	3	17	402	NA	402	NA
"176"	122	193	12	120	133	7	11	3	7	8	19	513	NA	513	NA
"177"	NA	2217	137	2110	1459	56	100	70	93	83	247	6572	0	6572	0
"178"	NA	33912	1317	8481	17091	625	4713	605	887	576	1635	69842	0	69842	0
"179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"181"	NA	66	10	127	212	9	3	2	5	3	12	449	NA	449	NA
"182"	123	172	20	362	228	12	11	10	19	15	49	898	NA	898	NA
"183"	124	286	21	243	97	3	37	10	7	4	21	729	NA	729	NA
"184"	125	61	5	34	301	4	2	2	7	1	6	423	NA	423	NA
"185"	NA	130	5	241	123	2	1	4	8	2	7	523	NA	523	NA
"186"	126	142	2	91	128	8	3	4	3	5	19	405	NA	405	NA
"187"	NA	187	8	171	40	2	2	4	3	1	11	429	NA	429	NA
"188"	127	210	20	331	166	2	8	3	11	10	28	789	NA	789	NA
"189"	128	246	16	271	34	1	14	3	5	1	7	598	NA	598	NA
"190"	NA	45	7	60	145	5	1	1	2	6	5	277	NA	277	NA
"191"	129	53	8	314	212	7	4	7	16	3	16	640	NA	640	NA
"192"	130	100	8	91	290	4	1	0	4	3	3	504	NA	504	NA
"193"	NA	173	9	139	87	0	1	0	2	2	1	414	NA	414	NA
"194"	131	202	9	145	245	4	18	5	13	18	16	675	NA	675	NA
"195"	NA	2073	148	2620	2308	63	106	55	105	74	201	7753	0	7753	0
"196"	NA	35985	1465	11101	19399	688	4819	660	992	650	1836	77595	0	77595	0
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"199"	132	214	5	55	41	3	0	3	1	4	6	332	NA	332	NA
"200"	NA	135	15	20	490	9	4	5	13	7	13	711	NA	711	NA
"201"	133	286	8	56	92	5	6	5	4	6	14	482	NA	482	NA
"202"	NA	377	18	83	25	2	7	4	3	2	12	533	NA	533	NA
"203"	134	19	7	144	617	14	14	10	3	7	22	857	NA	857	NA
"204"	135	134	8	369	26	1	11	1	12	1	18	581	NA	581	NA
"205"	NA	13	0	77	74	0	1	0	3	2	10	180	NA	180	NA
"206"	136	203	6	90	211	4	6	3	3	2	10	538	NA	538	NA
"207"	NA	72	0	53	132	3	4	1	3	4	20	292	NA	292	NA
"208"	137	116	8	193	118	5	10	2	4	3	16	475	NA	475	NA
"209"	NA	93	7	128	63	3	4	3	7	15	23	346	NA	346	NA
"210"	138	199	6	247	27	4	0	9	34	10	25	561	NA	561	NA
"211"	NA	103	1	62	169	4	1	3	4	3	7	357	NA	357	NA
"212"	139	92	3	84	159	2	5	5	3	3	10	366	NA	366	NA
"213"	NA	2056	92	1661	2244	59	73	54	97	69	206	6611	0	6611	0
"214"	NA	38041	1557	12762	21643	747	4892	714	1089	719	2042	84206	0	84206	0
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"217"	NA	133	7	134	136	6	7	4	3	4	15	449	NA	449	NA
"218"	140	271	9	240	46	8	1	1	7	5	14	602	NA	602	NA
"219"	141	142	7	190	147	6	11	13	17	8	39	580	NA	580	NA
"220"	142	116	13	277	65	5	1	5	7	12	29	530	NA	530	NA
"221"	NA	106	5	162	43	5	7	8	10	7	14	367	NA	367	NA
"222"	143	391	9	120	115	6	6	6	4	13	7	677	NA	677	NA
"223"	144	155	13	294	98	9	7	6	13	8	20	623	NA	623	NA
"224"	NA	23	4	219	31	1	1	1	6	5	8	299	NA	299	NA
"225"	145	283	10	57	184	7	8	8	13	12	16	598	NA	598	NA
"226"	146	157	8	121	87	6	7	2	8	7	18	421	NA	421	NA
"227"	147	259	7	107	23	1	3	14	4	1	13	432	NA	432	NA
"228"	NA	194	18	105	15	1	8	3	16	11	28	399	NA	399	NA
"229"	148	236	9	131	61	3	6	3	7	3	16	475	NA	475	NA
"230"	NA	82	4	121	27	0	4	1	7	9	17	272	NA	272	NA
"231"	NA	2548	123	2278	1078	64	77	75	122	105	254	6724	0	6724	0
"232"	NA	40589	1680	15040	22721	811	4969	789	1211	824	2296	90930	0	90930	0
"233"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"235"	149	91	3	81	147	4	6	4	1	5	6	348	NA	348	NA
"236"	NA	271	4	36	21	0	10	5	4	2	7	360	NA	360	NA
"237"	150	221	7	30	166	5	7	7	3	3	7	456	NA	456	NA
"238"	151	379	21	48	131	9	6	15	11	19	34	673	NA	673	NA
"239"	152	82	7	415	67	3	5	3	3	2	11	598	NA	598	NA
"240"	153	56	3	119	167	9	3	2	2	4	1	366	NA	366	NA
"241"	154	27	0	17	436	6	6	3	3	3	1	502	NA	502	NA
"242"	155	129	6	75	402	11	5	4	2	4	10	648	NA	648	NA
"243"	156	96	1	178	132	1	2	0	4	0	1	415	NA	415	NA
"244"	157	167	4	240	155	0	8	2	3	2	10	591	NA	591	NA
"245"	158	132	10	236	173	3	1	6	5	8	15	589	NA	589	NA
"246"	159	72	4	117	299	17	1	15	12	9	17	563	NA	563	NA
"247"	NA	31	1	90	93	1	1	1	2	0	0	220	NA	220	NA
"248"	160	12	2	12	632	5	3	2	1	4	1	674	NA	674	NA
"249"	NA	1766	73	1694	3021	74	64	69	56	65	121	7003	0	7003	0
"250"	NA	42355	1753	16734	25742	885	5033	858	1267	889	2417	97933	0	97933	0
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"253"	161	62	2	153	411	13	4	2	1	2	4	654	NA	654	NA
"254"	162	30	8	10	448	10	1	5	3	3	5	523	NA	523	NA
"255"	NA	164	2	129	25	3	1	4	8	5	11	352	NA	352	NA
"256"	163	119	8	67	343	5	7	11	6	5	8	579	NA	579	NA
"257"	NA	92	6	73	51	2	2	2	0	1	1	230	NA	230	NA
"258"	164	278	12	29	196	4	1	2	5	2	10	539	NA	539	NA
"259"	165	275	10	40	197	3	4	4	8	5	13	559	NA	559	NA
"260"	166	17	1	4	665	18	3	5	1	1	6	721	NA	721	NA
"261"	167	38	0	4	379	4	0	2	1	0	1	429	NA	429	NA
"262"	168	33	2	13	603	3	0	2	1	3	2	662	NA	662	NA
"263"	169	31	1	29	457	4	2	1	2	1	1	529	NA	529	NA
"264"	NA	11	0	2	261	3	0	2	1	2	0	282	NA	282	NA
"265"	170	108	1	126	282	1	1	4	1	1	7	532	NA	532	NA
"266"	171	59	1	15	460	3	1	1	1	4	3	548	NA	548	NA
"267"	NA	1317	54	694	4778	76	27	47	39	35	72	7139	0	7139	0
"268"	NA	43672	1807	17428	30520	961	5060	905	1306	924	2489	105072	0	105072	0
"269"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"270"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"271"	172	114	7	348	10	2	1	1	3	1	9	496	NA	496	NA
"272"	173	184	4	143	90	2	7	0	5	2	6	443	NA	443	NA
"273"	174	186	2	248	81	4	7	0	0	2	14	544	NA	544	NA
"274"	175	163	2	82	141	0	5	3	2	3	3	404	NA	404	NA
"275"	176	13	7	14	374	3	1	5	1	1	6	425	NA	425	NA
"276"	177	69	2	13	384	3	2	2	0	0	0	475	NA	475	NA
"277"	178	227	9	124	98	5	3	5	7	9	10	497	NA	497	NA
"278"	NA	96	7	101	135	2	2	2	5	4	11	365	NA	365	NA
"279"	179	102	2	40	423	3	6	3	2	3	11	595	NA	595	NA
"280"	180	295	9	65	132	4	9	2	1	2	4	523	NA	523	NA
"281"	181	26	6	32	262	2	1	1	3	0	1	334	NA	334	NA
"282"	NA	19	1	8	169	0	1	1	0	0	0	199	NA	199	NA
"283"	182	17	1	27	401	1	2	3	2	0	2	456	NA	456	NA
"284"	NA	30	0	6	227	3	1	1	1	0	4	273	NA	273	NA
"285"	NA	1541	59	1251	2927	34	48	29	32	27	81	6029	0	6029	0
"286"	NA	45213	1866	18679	33447	995	5108	934	1338	951	2570	111101	0	111101	0
"287"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"289"	183	9	2	6	457	7	0	4	2	0	2	489	NA	489	NA
"290"	NA	4	0	2	368	4	0	1	0	2	0	381	NA	381	NA
"291"	184	28	3	11	639	14	2	5	8	6	6	722	NA	722	NA
"292"	185	32	7	73	416	4	4	29	4	5	23	597	NA	597	NA
"293"	NA	18	2	21	169	8	1	3	2	0	2	226	NA	226	NA
"294"	186	31	3	14	504	7	4	1	2	0	3	569	NA	569	NA
"295"	NA	22	6	7	324	5	3	5	3	3	1	379	NA	379	NA
"296"	187	69	8	30	586	6	4	3	4	8	10	728	NA	728	NA
"297"	188	119	3	33	474	14	3	3	4	8	13	674	NA	674	NA
"298"	189	253	4	83	175	2	4	4	3	4	14	546	NA	546	NA
"299"	NA	41	3	46	196	3	0	3	3	1	2	298	NA	298	NA
"300"	190	338	3	24	84	1	6	4	2	4	3	469	NA	469	NA
"301"	NA	26	7	33	256	10	4	4	3	3	11	357	NA	357	NA
"302"	191	211	11	87	342	5	10	4	6	3	12	691	NA	691	NA
"303"	NA	1201	62	470	4990	90	45	73	46	47	102	7126	0	7126	0
"304"	NA	46414	1928	19149	38437	1085	5153	1007	1384	998	2672	118227	0	118227	0
"305"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"307"	192	173	5	40	231	3	1	3	5	5	13	479	NA	479	NA
"308"	NA	98	2	29	119	2	1	2	4	3	5	265	NA	265	NA
"309"	193	386	19	32	259	9	8	13	11	13	16	766	NA	766	NA
"310"	194	398	10	91	86	3	5	0	6	6	16	621	NA	621	NA
"311"	195	224	4	145	107	2	14	1	2	2	8	509	NA	509	NA
"312"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"313"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"314"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"315"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"316"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"317"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	NA	1279	40	337	802	19	29	19	28	29	58	2640	0	2640	0
"322"	NA	47693	1968	19486	39239	1104	5182	1026	1412	1027	2730	120867	0	120867	0
