"Election.to.the..Bihar.Legislative..Assembly..From.97.MOHIUDDINNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"47"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"48"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"49"	"B.F."	"5225"	"1294"	"3001"	"266"	"455"	"10241"	"0"	"10241"	"0"
"50"	"23"	"199"	"43"	"5"	"1"	"5"	"253"	""	"253"	""
"51"	"23A"	"240"	"70"	"6"	"4"	"9"	"329"	""	"329"	""
"52"	"24"	"376"	"154"	"14"	"6"	"21"	"571"	""	"571"	""
"53"	"25"	"219"	"100"	"2"	"13"	"13"	"347"	""	"347"	""
"54"	"26"	"243"	"53"	"4"	"7"	"5"	"312"	""	"312"	""
"55"	"27"	"329"	"106"	"106"	"22"	"25"	"588"	""	"588"	""
"56"	"28"	"388"	"77"	"18"	"13"	"23"	"519"	""	"519"	""
"57"	"29"	"291"	"196"	"95"	"9"	"20"	"611"	""	"611"	""
"58"	"30"	"441"	"69"	"11"	"2"	"22"	"545"	""	"545"	""
"59"	"31"	"405"	"76"	"12"	"12"	"31"	"536"	""	"536"	""
"60"	"32"	"439"	"32"	"19"	"5"	"12"	"507"	""	"507"	""
"61"	"33"	"408"	"37"	"10"	"10"	"25"	"490"	""	"490"	""
"62"	"34"	"238"	"87"	"104"	"15"	"69"	"513"	""	"513"	""
"63"	"35"	"134"	"27"	"14"	"2"	"5"	"182"	""	"182"	""
"64"	"Page Total"	"9575"	"2421"	"3421"	"387"	"740"	"16544"	"0"	"16544"	"0"
"65"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"66"	"PART I"	""	""	""	""	""	""	""	""	""
"67"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"69"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"70"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"71"	"B.F."	"9575"	"2421"	"3421"	"387"	"740"	"16544"	"0"	"16544"	"0"
"72"	"36"	"162"	"27"	"13"	"2"	"13"	"217"	""	"217"	""
"73"	"37"	"201"	"198"	"8"	"6"	"10"	"423"	""	"423"	""
"74"	"38"	"346"	"119"	"13"	"10"	"11"	"499"	""	"499"	""
"75"	"39"	"352"	"216"	"9"	"9"	"18"	"604"	""	"604"	""
"76"	"40"	"315"	"102"	"7"	"17"	"17"	"458"	""	"458"	""
"77"	"40A"	"243"	"42"	"11"	"5"	"10"	"311"	""	"311"	""
"78"	"41"	"312"	"85"	"82"	"11"	"30"	"520"	""	"520"	""
"79"	"42"	"411"	"30"	"10"	"2"	"12"	"465"	""	"465"	""
"80"	"43"	"205"	"95"	"3"	"11"	"24"	"338"	""	"338"	""
"81"	"43A"	"280"	"80"	"14"	"4"	"8"	"386"	""	"386"	""
"82"	"44"	"362"	"37"	"25"	"9"	"20"	"453"	""	"453"	""
"83"	"45"	"250"	"112"	"204"	"18"	"25"	"609"	""	"609"	""
"84"	"46"	"269"	"103"	"144"	"14"	"17"	"547"	""	"547"	""
"85"	"47"	"349"	"36"	"14"	"10"	"37"	"446"	""	"446"	""
"86"	"Page Total"	"13632"	"3703"	"3978"	"515"	"992"	"22820"	"0"	"22820"	"0"
"87"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"88"	"PART I"	""	""	""	""	""	""	""	""	""
"89"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"90"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"91"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"92"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"93"	"B.F."	"13632"	"3703"	"3978"	"515"	"992"	"22820"	"0"	"22820"	"0"
"94"	"48"	"443"	"35"	"83"	"6"	"18"	"585"	""	"585"	""
"95"	"49"	"331"	"117"	"105"	"11"	"28"	"592"	""	"592"	""
"96"	"50"	"347"	"65"	"168"	"7"	"18"	"605"	""	"605"	""
"97"	"51"	"255"	"27"	"177"	"9"	"14"	"482"	""	"482"	""
"98"	"52"	"274"	"37"	"122"	"14"	"8"	"455"	""	"455"	""
"99"	"53"	"281"	"35"	"13"	"2"	"5"	"336"	""	"336"	""
"100"	"54"	"260"	"50"	"90"	"13"	"21"	"434"	""	"434"	""
"101"	"55"	"305"	"30"	"120"	"10"	"34"	"499"	""	"499"	""
"102"	"56"	"186"	"28"	"48"	"8"	"12"	"282"	""	"282"	""
"103"	"56A"	"348"	"35"	"4"	"2"	"6"	"395"	""	"395"	""
"104"	"57"	"223"	"54"	"148"	"9"	"22"	"456"	""	"456"	""
"105"	"58"	"182"	"28"	"146"	"8"	"25"	"389"	""	"389"	""
"106"	"59"	"278"	"17"	"16"	"4"	"20"	"335"	""	"335"	""
"107"	"60"	"427"	"37"	"11"	"8"	"9"	"492"	""	"492"	""
"108"	"Page Total"	"17772"	"4298"	"5229"	"626"	"1232"	"29157"	"0"	"29157"	"0"
"109"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"110"	"PART I"	""	""	""	""	""	""	""	""	""
"111"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"112"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"113"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"114"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"115"	"B.F."	"17772"	"4298"	"5229"	"626"	"1232"	"29157"	"0"	"29157"	"0"
"116"	"61"	"184"	"11"	"22"	"4"	"3"	"224"	""	"224"	""
"117"	"62"	"236"	"18"	"81"	"15"	"19"	"369"	""	"369"	""
"118"	"63"	"350"	"22"	"105"	"7"	"8"	"492"	""	"492"	""
"119"	"64"	"193"	"27"	"90"	"4"	"19"	"333"	""	"333"	""
"120"	"64A"	"121"	"19"	"65"	"3"	"8"	"216"	""	"216"	""
"121"	"65"	"246"	"81"	"43"	"8"	"25"	"403"	""	"403"	""
"122"	"66"	"20"	"7"	"314"	"26"	"17"	"384"	""	"384"	""
"123"	"67"	"275"	"37"	"59"	"42"	"18"	"431"	""	"431"	""
"124"	"68"	"254"	"12"	"65"	"11"	"11"	"353"	""	"353"	""
"125"	"69"	"111"	"20"	"86"	"11"	"6"	"234"	""	"234"	""
"126"	"70"	"109"	"65"	"46"	"11"	"8"	"239"	""	"239"	""
"127"	"71"	"203"	"130"	"22"	"7"	"11"	"373"	""	"373"	""
"128"	"72"	"140"	"60"	"22"	"4"	"19"	"245"	""	"245"	""
"129"	"73"	"276"	"35"	"30"	"6"	"19"	"366"	""	"366"	""
"130"	"Page Total"	"20490"	"4842"	"6279"	"785"	"1423"	"33819"	"0"	"33819"	"0"
"131"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"132"	"PART I"	""	""	""	""	""	""	""	""	""
"133"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"134"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"135"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"136"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"137"	"B.F."	"20490"	"4842"	"6279"	"785"	"1423"	"33819"	"0"	"33819"	"0"
"138"	"74"	"365"	"71"	"15"	"6"	"13"	"470"	""	"470"	""
"139"	"75"	"96"	"29"	"110"	"10"	"12"	"257"	""	"257"	""
"140"	"76"	"246"	"43"	"11"	"4"	"16"	"320"	""	"320"	""
"141"	"77"	"203"	"126"	"94"	"5"	"25"	"453"	""	"453"	""
"142"	"78"	"96"	"177"	"54"	"3"	"17"	"347"	""	"347"	""
"143"	"79"	"119"	"65"	"40"	"7"	"8"	"239"	""	"239"	""
"144"	"79A"	"88"	"64"	"27"	"6"	"4"	"189"	""	"189"	""
"145"	"80"	"36"	"67"	"257"	"20"	"11"	"391"	""	"391"	""
"146"	"81"	"354"	"32"	"31"	"12"	"30"	"459"	""	"459"	""
"147"	"82"	"99"	"97"	"164"	"13"	"18"	"391"	""	"391"	""
"148"	"83"	"33"	"99"	"101"	"5"	"11"	"249"	""	"249"	""
"149"	"84"	"84"	"113"	"90"	"6"	"4"	"297"	""	"297"	""
"150"	"85"	"141"	"14"	"218"	"10"	"24"	"407"	""	"407"	""
"151"	"86"	"165"	"27"	"171"	"14"	"24"	"401"	""	"401"	""
"152"	"Page Total"	"22615"	"5866"	"7662"	"906"	"1640"	"38689"	"0"	"38689"	"0"
"153"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"154"	"PART I"	""	""	""	""	""	""	""	""	""
"155"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"156"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"157"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"158"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"159"	"B.F."	"22615"	"5866"	"7662"	"906"	"1640"	"38689"	"0"	"38689"	"0"
"160"	"87"	"82"	"9"	"133"	"21"	"22"	"267"	""	"267"	""
"161"	"88"	"214"	"38"	"128"	"17"	"43"	"440"	""	"440"	""
"162"	"89"	"257"	"89"	"104"	"21"	"37"	"508"	""	"508"	""
"163"	"90"	"320"	"24"	"20"	"8"	"22"	"394"	""	"394"	""
"164"	"91"	"384"	"35"	"106"	"18"	"40"	"583"	""	"583"	""
"165"	"92"	"87"	"15"	"183"	"9"	"31"	"325"	""	"325"	""
"166"	"93"	"205"	"81"	"49"	"5"	"3"	"343"	""	"343"	""
"167"	"94"	"222"	"63"	"137"	"11"	"17"	"450"	""	"450"	""
"168"	"95"	"226"	"54"	"15"	"9"	"15"	"319"	""	"319"	""
"169"	"95A"	"224"	"95"	"12"	"7"	"19"	"357"	""	"357"	""
"170"	"96"	"282"	"47"	"48"	"6"	"12"	"395"	""	"395"	""
"171"	"96A"	"341"	"66"	"8"	"1"	"12"	"428"	""	"428"	""
"172"	"97"	"462"	"41"	"34"	"5"	"3"	"545"	""	"545"	""
"173"	"98"	"195"	"37"	"15"	"3"	"11"	"261"	""	"261"	""
"174"	"Page Total"	"26116"	"6560"	"8654"	"1047"	"1927"	"44304"	"0"	"44304"	"0"
"175"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"176"	"PART I"	""	""	""	""	""	""	""	""	""
"177"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"178"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"179"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"181"	"B.F."	"26116"	"6560"	"8654"	"1047"	"1927"	"44304"	"0"	"44304"	"0"
"182"	"98A"	"138"	"14"	"27"	"7"	"9"	"195"	""	"195"	""
"183"	"99"	"163"	"85"	"47"	"15"	"14"	"324"	""	"324"	""
"184"	"99A"	"165"	"49"	"13"	"5"	"8"	"240"	""	"240"	""
"185"	"100"	"110"	"30"	"135"	"15"	"22"	"312"	""	"312"	""
"186"	"101"	"194"	"33"	"74"	"14"	"32"	"347"	""	"347"	""
"187"	"102"	"264"	"25"	"102"	"14"	"22"	"427"	""	"427"	""
"188"	"103"	"266"	"32"	"25"	"13"	"12"	"348"	""	"348"	""
"189"	"104"	"327"	"33"	"32"	"3"	"7"	"402"	""	"402"	""
"190"	"105"	"120"	"91"	"266"	"14"	"12"	"503"	""	"503"	""
"191"	"106"	"196"	"64"	"78"	"10"	"13"	"361"	""	"361"	""
"192"	"106A"	"305"	"50"	"9"	"7"	"31"	"402"	""	"402"	""
"193"	"107"	"380"	"45"	"64"	"12"	"16"	"517"	""	"517"	""
"194"	"108"	"421"	"70"	"58"	"6"	"17"	"572"	""	"572"	""
"195"	"109"	"81"	"27"	"134"	"16"	"30"	"288"	""	"288"	""
"196"	"Page Total"	"29246"	"7208"	"9718"	"1198"	"2172"	"49542"	"0"	"49542"	"0"
"197"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"198"	"PART I"	""	""	""	""	""	""	""	""	""
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"203"	"B.F."	"29246"	"7208"	"9718"	"1198"	"2172"	"49542"	"0"	"49542"	"0"
"204"	"110"	"111"	"19"	"296"	"3"	"14"	"443"	""	"443"	""
"205"	"111"	"24"	"8"	"302"	"6"	"15"	"355"	""	"355"	""
"206"	"111A"	"56"	"13"	"136"	"6"	"12"	"223"	""	"223"	""
"207"	"112"	"310"	"71"	"81"	"15"	"26"	"503"	""	"503"	""
"208"	"113"	"105"	"68"	"140"	"12"	"22"	"347"	""	"347"	""
"209"	"114"	"205"	"19"	"23"	"4"	"16"	"267"	""	"267"	""
"210"	"114A"	"89"	"32"	"138"	"7"	"10"	"276"	""	"276"	""
"211"	"115"	"330"	"41"	"75"	"10"	"20"	"476"	""	"476"	""
"212"	"116"	"116"	"33"	"225"	"16"	"9"	"399"	""	"399"	""
"213"	"117"	"130"	"24"	"168"	"19"	"22"	"363"	""	"363"	""
"214"	"118"	"240"	"93"	"20"	"5"	"13"	"371"	""	"371"	""
"215"	"119"	"13"	"7"	"233"	"4"	"4"	"261"	""	"261"	""
"216"	"120"	"158"	"113"	"347"	"24"	"33"	"675"	""	"675"	""
"217"	"121"	"84"	"39"	"107"	"7"	"16"	"253"	""	"253"	""
"218"	"Page Total"	"31217"	"7788"	"12009"	"1336"	"2404"	"54754"	"0"	"54754"	"0"
"219"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"220"	"PART I"	""	""	""	""	""	""	""	""	""
"221"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"222"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"223"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"224"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"225"	"B.F."	"31217"	"7788"	"12009"	"1336"	"2404"	"54754"	"0"	"54754"	"0"
"226"	"122"	"77"	"19"	"175"	"8"	"12"	"291"	""	"291"	""
"227"	"123"	"147"	"14"	"137"	"8"	"15"	"321"	""	"321"	""
"228"	"124"	"4"	"22"	"77"	"5"	"3"	"111"	""	"111"	""
"229"	"124A"	"114"	"12"	"24"	"3"	"15"	"168"	""	"168"	""
"230"	"125"	"42"	"4"	"121"	"10"	"16"	"193"	""	"193"	""
"231"	"126"	"149"	"37"	"17"	"10"	"21"	"234"	""	"234"	""
"232"	"126A"	"127"	"5"	"82"	"6"	"10"	"230"	""	"230"	""
"233"	"127"	"88"	"17"	"165"	"18"	"32"	"320"	""	"320"	""
"234"	"128"	"181"	"28"	"26"	"8"	"27"	"270"	""	"270"	""
"235"	"129"	"61"	"10"	"116"	"4"	"11"	"202"	""	"202"	""
"236"	"130"	"25"	"8"	"253"	"13"	"24"	"323"	""	"323"	""
"237"	"131"	"28"	"9"	"306"	"25"	"33"	"401"	""	"401"	""
"238"	"132"	"8"	"2"	"247"	"6"	"6"	"269"	""	"269"	""
"239"	"133"	"18"	"12"	"442"	"20"	"20"	"512"	""	"512"	""
"240"	"Page Total"	"32286"	"7987"	"14197"	"1480"	"2649"	"58599"	"0"	"58599"	"0"
"241"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"242"	"PART I"	""	""	""	""	""	""	""	""	""
"243"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"244"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"245"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"246"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"247"	"B.F."	"32286"	"7987"	"14197"	"1480"	"2649"	"58599"	"0"	"58599"	"0"
"248"	"134"	"39"	"18"	"325"	"27"	"8"	"417"	""	"417"	""
"249"	"135"	"255"	"32"	"203"	"10"	"26"	"526"	""	"526"	""
"250"	"136"	"185"	"18"	"12"	"7"	"21"	"243"	""	"243"	""
"251"	"136A"	"151"	"26"	"5"	"1"	"5"	"188"	""	"188"	""
"252"	"137"	"183"	"49"	"17"	"10"	"11"	"270"	""	"270"	""
"253"	"138"	"8"	"1"	"403"	"5"	"2"	"419"	""	"419"	""
"254"	"139"	"43"	"11"	"214"	"5"	"19"	"292"	""	"292"	""
"255"	"140"	"108"	"18"	"311"	"14"	"6"	"457"	""	"457"	""
"256"	"141"	"137"	"35"	"205"	"8"	"18"	"403"	""	"403"	""
"257"	"142"	"249"	"27"	"38"	"4"	"19"	"337"	""	"337"	""
"258"	"142A"	"45"	"32"	"214"	"10"	"7"	"308"	""	"308"	""
"259"	"143"	"54"	"24"	"320"	"13"	"20"	"431"	""	"431"	""
"260"	"144"	"8"	"9"	"337"	"7"	"12"	"373"	""	"373"	""
"261"	"145"	"68"	"29"	"301"	"7"	"7"	"412"	""	"412"	""
"262"	"Page Total"	"33819"	"8316"	"17102"	"1608"	"2830"	"63675"	"0"	"63675"	"0"
"263"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"264"	"PART I"	""	""	""	""	""	""	""	""	""
"265"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"267"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"268"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"269"	"B.F."	"33819"	"8316"	"17102"	"1608"	"2830"	"63675"	"0"	"63675"	"0"
"270"	"146"	"75"	"11"	"180"	"8"	"19"	"293"	""	"293"	""
"271"	"147"	"76"	"24"	"182"	"20"	"33"	"335"	""	"335"	""
"272"	"148"	"274"	"23"	"68"	"10"	"14"	"389"	""	"389"	""
"273"	"149"	"46"	"11"	"201"	"7"	"11"	"276"	""	"276"	""
"274"	"150"	"149"	"25"	"349"	"23"	"37"	"583"	""	"583"	""
"275"	"151"	"50"	"31"	"223"	"10"	"8"	"322"	""	"322"	""
"276"	"152"	"184"	"31"	"299"	"10"	"13"	"537"	""	"537"	""
"277"	"153"	"74"	"10"	"363"	"20"	"14"	"481"	""	"481"	""
"278"	"154"	"40"	"7"	"171"	"11"	"10"	"239"	""	"239"	""
"279"	"155"	"186"	"14"	"129"	"18"	"22"	"369"	""	"369"	""
"280"	"156"	"325"	"25"	"105"	"7"	"19"	"481"	""	"481"	""
"281"	"157"	"8"	"16"	"251"	"10"	"10"	"295"	""	"295"	""
"282"	"157A"	"73"	"4"	"190"	"12"	"18"	"297"	""	"297"	""
"283"	"158"	"139"	"14"	"329"	"23"	"36"	"541"	""	"541"	""
"284"	"Page Total"	"35518"	"8562"	"20142"	"1797"	"3094"	"69113"	"0"	"69113"	"0"
"285"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"286"	"PART I"	""	""	""	""	""	""	""	""	""
"287"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"288"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"289"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"290"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"291"	"B.F."	"35518"	"8562"	"20142"	"1797"	"3094"	"69113"	"0"	"69113"	"0"
"292"	"159"	"291"	"14"	"24"	"1"	"11"	"341"	""	"341"	""
"293"	"160"	"241"	"29"	"104"	"14"	"14"	"402"	""	"402"	""
"294"	"161"	"3"	"0"	"1"	"0"	"0"	"4"	""	"4"	""
"295"	"161A"	"1"	"0"	"4"	"0"	"0"	"5"	""	"5"	""
"296"	"162"	"312"	"14"	"153"	"11"	"14"	"504"	""	"504"	""
"297"	"163"	"5"	"3"	"366"	"8"	"11"	"393"	""	"393"	""
"298"	"164"	"129"	"18"	"355"	"30"	"35"	"567"	""	"567"	""
"299"	"165"	"90"	"20"	"270"	"27"	"34"	"441"	""	"441"	""
"300"	"166"	"187"	"27"	"186"	"11"	"18"	"429"	""	"429"	""
"301"	"167"	"102"	"52"	"205"	"12"	"21"	"392"	""	"392"	""
