"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"52"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"53"	"36"	"13"	"371"	"98"	"5"	"3"	"8"	"498"	""	"498"	""
"54"	"37"	"17"	"165"	"225"	"9"	"7"	"10"	"433"	""	"433"	""
"55"	"37d"	"18"	"134"	"84"	"4"	"3"	"4"	"247"	""	"247"	""
"56"	"38"	"11"	"84"	"346"	"8"	"2"	"6"	"457"	""	"457"	""
"57"	"39"	"141"	"62"	"390"	"8"	"6"	"31"	"638"	""	"638"	""
"58"	"40"	"28"	"186"	"472"	"5"	"5"	"13"	"709"	""	"709"	""
"59"	"41"	"17"	"102"	"255"	"7"	"3"	"11"	"395"	""	"395"	""
"60"	"41d"	"25"	"191"	"208"	"6"	"4"	"6"	"440"	""	"440"	""
"61"	"42"	"47"	"77"	"198"	"19"	"11"	"10"	"362"	""	"362"	""
"62"	"43"	"15"	"309"	"127"	"5"	"4"	"10"	"470"	""	"470"	""
"63"	"44"	"37"	"91"	"175"	"10"	"3"	"14"	"330"	""	"330"	""
"64"	"44d"	"80"	"227"	"74"	"12"	"12"	"18"	"423"	""	"423"	""
"65"	"45"	"45"	"252"	"136"	"9"	"5"	"19"	"466"	""	"466"	""
"66"	"45d"	"8"	"79"	"188"	"13"	"5"	"5"	"298"	""	"298"	""
"67"	"TOTAL-IV"	"502"	"2330"	"2976"	"120"	"73"	"165"	"6166"	""	"6166"	""
"68"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"69"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"70"	"46"	"78"	"148"	"208"	"14"	"6"	"15"	"469"	""	"469"	""
"71"	"47"	"19"	"183"	"115"	"3"	"2"	"9"	"331"	""	"331"	""
"72"	"48"	"87"	"20"	"221"	"9"	"3"	"10"	"350"	""	"350"	""
"73"	"48d"	"52"	"28"	"219"	"13"	"15"	"11"	"338"	""	"338"	""
"74"	"49"	"19"	"218"	"314"	"10"	"11"	"13"	"585"	""	"585"	""
"75"	"50"	"43"	"171"	"273"	"9"	"7"	"6"	"509"	""	"509"	""
"76"	"51"	"62"	"98"	"249"	"7"	"0"	"0"	"416"	""	"416"	""
"77"	"51d"	"8"	"111"	"261"	"2"	"0"	"1"	"383"	""	"383"	""
"78"	"52"	"20"	"174"	"95"	"5"	"5"	"8"	"307"	""	"307"	""
"79"	"53"	"134"	"159"	"124"	"22"	"17"	"18"	"474"	""	"474"	""
"80"	"54"	"6"	"245"	"6"	"1"	"0"	"3"	"261"	""	"261"	""
"81"	"55"	"22"	"243"	"114"	"14"	"9"	"18"	"420"	""	"420"	""
"82"	"56"	"10"	"245"	"163"	"6"	"13"	"10"	"447"	""	"447"	""
"83"	"57"	"18"	"240"	"144"	"9"	"3"	"9"	"423"	""	"423"	""
"84"	"TOTAL-V"	"578"	"2283"	"2506"	"124"	"91"	"131"	"5713"	""	"5713"	""
"85"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"86"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"87"	"57d"	"44"	"95"	"94"	"5"	"1"	"7"	"246"	""	"246"	""
"88"	"58"	"39"	"171"	"259"	"8"	"8"	"14"	"499"	""	"499"	""
"89"	"59"	"93"	"94"	"290"	"7"	"10"	"15"	"509"	""	"509"	""
"90"	"60"	"10"	"170"	"128"	"4"	"4"	"6"	"322"	""	"322"	""
"91"	"61"	"69"	"203"	"184"	"7"	"8"	"17"	"488"	""	"488"	""
"92"	"62"	"34"	"34"	"216"	"11"	"7"	"20"	"322"	""	"322"	""
"93"	"63"	"9"	"98"	"84"	"13"	"9"	"9"	"222"	""	"222"	""
"94"	"64"	"1"	"16"	"90"	"6"	"2"	"5"	"120"	""	"120"	""
"95"	"65"	"58"	"61"	"212"	"10"	"0"	"4"	"345"	""	"345"	""
"96"	"66"	"23"	"90"	"169"	"7"	"3"	"11"	"303"	""	"303"	""
"97"	"67"	"21"	"173"	"166"	"5"	"2"	"7"	"374"	""	"374"	""
"98"	"68"	"42"	"173"	"323"	"4"	"3"	"8"	"553"	""	"553"	""
"99"	"69"	"130"	"69"	"226"	"15"	"14"	"30"	"484"	""	"484"	""
"100"	"70"	"149"	"118"	"129"	"7"	"8"	"6"	"417"	""	"417"	""
"101"	"TOTAL-VI"	"722"	"1565"	"2570"	"109"	"79"	"159"	"5204"	""	"5204"	""
"102"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"103"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"104"	"70d"	"34"	"96"	"118"	"2"	"2"	"14"	"266"	""	"266"	""
"105"	"71"	"93"	"342"	"54"	"5"	"9"	"12"	"515"	""	"515"	""
"106"	"72"	"81"	"129"	"91"	"6"	"9"	"4"	"320"	""	"320"	""
"107"	"73"	"37"	"195"	"275"	"18"	"16"	"26"	"567"	""	"567"	""
"108"	"74"	"23"	"47"	"239"	"15"	"9"	"21"	"354"	""	"354"	""
"109"	"75"	"41"	"162"	"196"	"8"	"4"	"2"	"413"	""	"413"	""
"110"	"75d"	"13"	"107"	"173"	"4"	"1"	"5"	"303"	""	"303"	""
"111"	"76"	"61"	"59"	"210"	"10"	"4"	"10"	"354"	""	"354"	""
"112"	"76d"	"15"	"104"	"211"	"10"	"6"	"13"	"359"	""	"359"	""
"113"	"77"	"87"	"145"	"211"	"18"	"11"	"16"	"488"	""	"488"	""
"114"	"78"	"69"	"351"	"161"	"14"	"14"	"18"	"627"	""	"627"	""
"115"	"79"	"11"	"198"	"72"	"4"	"18"	"10"	"313"	""	"313"	""
"116"	"80"	"57"	"260"	"229"	"11"	"11"	"20"	"588"	""	"588"	""
"117"	"81"	"63"	"102"	"229"	"10"	"6"	"6"	"416"	""	"416"	""
"118"	"TOTAL-VII"	"685"	"2297"	"2469"	"135"	"120"	"177"	"5883"	""	"5883"	""
"119"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"120"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"121"	"82"	"222"	"135"	"41"	"11"	"10"	"17"	"436"	""	"436"	""
"122"	"83"	"288"	"168"	"110"	"8"	"3"	"34"	"611"	""	"611"	""
"123"	"84"	"251"	"82"	"163"	"23"	"14"	"25"	"558"	""	"558"	""
"124"	"85"	"188"	"36"	"151"	"9"	"3"	"11"	"398"	""	"398"	""
"125"	"86"	"78"	"213"	"105"	"9"	"6"	"14"	"425"	""	"425"	""
"126"	"87"	"175"	"81"	"125"	"7"	"6"	"8"	"402"	""	"402"	""
"127"	"88"	"135"	"256"	"22"	"9"	"11"	"16"	"449"	""	"449"	""
"128"	"89"	"17"	"109"	"230"	"2"	"3"	"6"	"367"	""	"367"	""
"129"	"89d"	"12"	"73"	"128"	"5"	"2"	"8"	"228"	""	"228"	""
"130"	"90"	"63"	"70"	"327"	"13"	"11"	"11"	"495"	""	"495"	""
"131"	"91"	"21"	"109"	"16"	"2"	"2"	"6"	"156"	""	"156"	""
"132"	"92"	"23"	"40"	"246"	"8"	"2"	"6"	"325"	""	"325"	""
"133"	"92d"	"77"	"69"	"109"	"3"	"6"	"5"	"269"	""	"269"	""
"134"	"93"	"141"	"79"	"207"	"16"	"10"	"22"	"475"	""	"475"	""
"135"	"TOTAL-VIII"	"1691"	"1520"	"1980"	"125"	"89"	"189"	"5594"	""	"5594"	""
"136"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"137"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"138"	"94"	"19"	"357"	"102"	"10"	"10"	"18"	"516"	""	"516"	""
"139"	"95"	"26"	"164"	"145"	"8"	"5"	"7"	"355"	""	"355"	""
"140"	"96"	"59"	"179"	"181"	"11"	"12"	"10"	"452"	""	"452"	""
"141"	"97"	"113"	"108"	"118"	"3"	"4"	"10"	"356"	""	"356"	""
"142"	"98"	"107"	"153"	"47"	"13"	"10"	"26"	"356"	""	"356"	""
"143"	"99"	"77"	"40"	"238"	"9"	"5"	"11"	"380"	""	"380"	""
"144"	"100"	"69"	"157"	"286"	"15"	"14"	"28"	"569"	""	"569"	""
"145"	"101"	"58"	"36"	"356"	"6"	"7"	"15"	"478"	""	"478"	""
"146"	"102"	"78"	"65"	"305"	"9"	"5"	"28"	"490"	""	"490"	""
"147"	"103"	"77"	"129"	"207"	"7"	"7"	"7"	"434"	""	"434"	""
"148"	"104"	"22"	"92"	"270"	"18"	"5"	"10"	"417"	""	"417"	""
"149"	"105"	"84"	"84"	"357"	"12"	"7"	"11"	"555"	""	"555"	""
"150"	"106"	"13"	"88"	"217"	"5"	"1"	"5"	"329"	""	"329"	""
"151"	"107"	"32"	"171"	"313"	"13"	"14"	"24"	"567"	""	"567"	""
"152"	"TOTAL-IX"	"834"	"1823"	"3142"	"139"	"106"	"210"	"6254"	""	"6254"	""
"153"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"154"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"155"	"108"	"29"	"169"	"192"	"7"	"2"	"4"	"403"	""	"403"	""
"156"	"109"	"98"	"82"	"44"	"0"	"2"	"1"	"227"	""	"227"	""
"157"	"110"	"80"	"219"	"161"	"9"	"7"	"11"	"487"	""	"487"	""
"158"	"111"	"4"	"50"	"9"	"1"	"0"	"0"	"64"	""	"64"	""
"159"	"112"	"42"	"131"	"247"	"12"	"8"	"16"	"456"	""	"456"	""
"160"	"113"	"55"	"90"	"341"	"13"	"4"	"12"	"515"	""	"515"	""
"161"	"114"	"27"	"183"	"173"	"11"	"10"	"9"	"413"	""	"413"	""
"162"	"115"	"126"	"281"	"167"	"11"	"3"	"8"	"596"	""	"596"	""
"163"	"116"	"191"	"162"	"192"	"14"	"9"	"11"	"579"	""	"579"	""
"164"	"117"	"117"	"325"	"183"	"8"	"7"	"7"	"647"	""	"647"	""
"165"	"118"	"15"	"174"	"121"	"7"	"0"	"0"	"317"	""	"317"	""
"166"	"119"	"12"	"37"	"308"	"4"	"4"	"3"	"368"	""	"368"	""
"167"	"120"	"8"	"98"	"219"	"1"	"0"	"6"	"332"	""	"332"	""
"168"	"120d"	"16"	"171"	"138"	"1"	"4"	"8"	"338"	""	"338"	""
"169"	"TOTAL-X"	"820"	"2172"	"2495"	"99"	"60"	"96"	"5742"	""	"5742"	""
"170"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"171"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"172"	"121"	"17"	"88"	"251"	"13"	"8"	"10"	"387"	""	"387"	""
"173"	"122"	"33"	"81"	"238"	"15"	"7"	"10"	"384"	""	"384"	""
"174"	"123"	"35"	"53"	"166"	"4"	"5"	"3"	"266"	""	"266"	""
"175"	"124"	"69"	"209"	"199"	"6"	"9"	"10"	"502"	""	"502"	""
"176"	"125"	"70"	"201"	"234"	"7"	"8"	"23"	"543"	""	"543"	""
"177"	"126"	"28"	"59"	"153"	"18"	"7"	"7"	"272"	""	"272"	""
"178"	"127"	"10"	"209"	"159"	"8"	"5"	"16"	"407"	""	"407"	""
"179"	"128"	"20"	"143"	"145"	"4"	"6"	"9"	"327"	""	"327"	""
"180"	"129"	"64"	"108"	"271"	"14"	"8"	"16"	"481"	""	"481"	""
"181"	"130"	"88"	"92"	"385"	"10"	"9"	"12"	"596"	""	"596"	""
"182"	"131"	"14"	"109"	"304"	"135"	"2"	"6"	"570"	""	"570"	""
"183"	"132"	"50"	"166"	"430"	"11"	"5"	"15"	"677"	""	"677"	""
"184"	"133"	"31"	"204"	"157"	"11"	"15"	"9"	"427"	""	"427"	""
"185"	"134"	"41"	"197"	"270"	"14"	"12"	"14"	"548"	""	"548"	""
"186"	"TOTAL-XI"	"570"	"1919"	"3362"	"270"	"106"	"160"	"6387"	""	"6387"	""
"187"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"188"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"189"	"135"	"24"	"222"	"176"	"11"	"1"	"7"	"441"	""	"441"	""
"190"	"135d"	"14"	"183"	"97"	"5"	"1"	"6"	"306"	""	"306"	""
"191"	"136"	"23"	"38"	"62"	"5"	"5"	"2"	"135"	""	"135"	""
"192"	"137"	"73"	"129"	"304"	"18"	"6"	"13"	"543"	""	"543"	""
"193"	"138"	"15"	"25"	"221"	"6"	"4"	"5"	"276"	""	"276"	""
"194"	"139"	"27"	"202"	"244"	"9"	"4"	"6"	"492"	""	"492"	""
"195"	"140"	"50"	"142"	"288"	"13"	"17"	"27"	"537"	""	"537"	""
"196"	"141"	"12"	"156"	"295"	"15"	"4"	"9"	"491"	""	"491"	""
"197"	"142"	"7"	"45"	"279"	"2"	"0"	"4"	"337"	""	"337"	""
"198"	"143"	"15"	"180"	"321"	"7"	"5"	"5"	"533"	""	"533"	""
"199"	"144"	"12"	"266"	"169"	"10"	"6"	"17"	"480"	""	"480"	""
"200"	"145"	"20"	"222"	"142"	"8"	"5"	"4"	"401"	""	"401"	""
"201"	"146"	"22"	"392"	"121"	"8"	"6"	"11"	"560"	""	"560"	""
"202"	"147"	"33"	"186"	"254"	"9"	"10"	"31"	"523"	""	"523"	""
"203"	"TOTAL-XII"	"347"	"2388"	"2973"	"126"	"74"	"147"	"6055"	""	"6055"	""
"204"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"205"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"206"	"148"	"25"	"57"	"151"	"0"	"4"	"3"	"240"	""	"240"	""
"207"	"149"	"48"	"24"	"411"	"13"	"7"	"7"	"510"	""	"510"	""
"208"	"150"	"60"	"37"	"418"	"14"	"6"	"16"	"551"	""	"551"	""
"209"	"151"	"17"	"26"	"317"	"4"	"4"	"6"	"374"	""	"374"	""
"210"	"152"	"26"	"40"	"382"	"5"	"5"	"4"	"462"	""	"462"	""
"211"	"153"	"14"	"392"	"24"	"6"	"1"	"7"	"444"	""	"444"	""
"212"	"154"	"21"	"122"	"91"	"11"	"13"	"16"	"274"	""	"274"	""
"213"	"155"	"37"	"94"	"138"	"15"	"10"	"20"	"314"	""	"314"	""
"214"	"156"	"9"	"210"	"158"	"8"	"7"	"6"	"398"	""	"398"	""
"215"	"157"	"22"	"330"	"145"	"11"	"8"	"17"	"533"	""	"533"	""
"216"	"158"	"18"	"104"	"218"	"2"	"5"	"7"	"354"	""	"354"	""
"217"	"159"	"40"	"171"	"254"	"11"	"5"	"8"	"489"	""	"489"	""
"218"	"160"	"94"	"267"	"111"	"12"	"6"	"10"	"500"	""	"500"	""
"219"	"161"	"24"	"183"	"274"	"14"	"15"	"88"	"598"	""	"598"	""
"220"	"TOTAL-XIII"	"455"	"2057"	"3092"	"126"	"96"	"215"	"6041"	""	"6041"	""
"221"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"222"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"223"	"162"	"25"	"201"	"294"	"11"	"6"	"19"	"556"	""	"556"	""
"224"	"163"	"63"	"59"	"436"	"19"	"6"	"31"	"614"	""	"614"	""
"225"	"164"	"9"	"98"	"232"	"12"	"2"	"15"	"368"	""	"368"	""
"226"	"164d"	"7"	"87"	"213"	"4"	"9"	"15"	"335"	""	"335"	""
"227"	"165"	"4"	"161"	"311"	"9"	"5"	"17"	"507"	""	"507"	""
"228"	"166"	"30"	"42"	"146"	"4"	"5"	"13"	"240"	""	"240"	""
"229"	"167"	"7"	"133"	"250"	"5"	"1"	"12"	"408"	""	"408"	""
"230"	"168"	"39"	"80"	"375"	"17"	"11"	"11"	"533"	""	"533"	""
"231"	"169"	"6"	"99"	"110"	"4"	"3"	"13"	"235"	""	"235"	""
"232"	"170"	"3"	"12"	"179"	"1"	"2"	"7"	"204"	""	"204"	""
"233"	"171"	"15"	"116"	"96"	"6"	"5"	"14"	"252"	""	"252"	""
"234"	"172"	"29"	"126"	"290"	"7"	"7"	"16"	"475"	""	"475"	""
"235"	"173"	"41"	"250"	"208"	"12"	"10"	"28"	"549"	""	"549"	""
"236"	"174"	"9"	"158"	"176"	"5"	"0"	"26"	"374"	""	"374"	""
"237"	"TOTAL-XIV"	"287"	"1622"	"3316"	"116"	"72"	"237"	"5650"	""	"5650"	""
"238"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"239"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"240"	"175"	"22"	"293"	"113"	"17"	"17"	"44"	"506"	""	"506"	""
"241"	"176"	"16"	"173"	"139"	"3"	"4"	"6"	"341"	""	"341"	""
"242"	"177"	"11"	"155"	"94"	"7"	"2"	"6"	"275"	""	"275"	""
"243"	"178"	"25"	"222"	"241"	"5"	"5"	"10"	"508"	""	"508"	""
"244"	"179"	"13"	"273"	"90"	"8"	"8"	"9"	"401"	""	"401"	""
"245"	"180"	"73"	"193"	"329"	"30"	"6"	"123"	"754"	""	"754"	""
"246"	"181"	"17"	"281"	"423"	"12"	"17"	"65"	"815"	""	"815"	""
"247"	"182"	"27"	"315"	"92"	"9"	"7"	"35"	"485"	""	"485"	""
"248"	"183"	"15"	"431"	"48"	"5"	"2"	"4"	"505"	""	"505"	""
"249"	"184"	"7"	"70"	"166"	"7"	"2"	"64"	"316"	""	"316"	""
"250"	"185"	"19"	"137"	"100"	"6"	"5"	"39"	"306"	""	"306"	""
