"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[fu;e 56¼7½]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"110  jk?kksiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"21"	"TOTAL-I"	"1431"	"1263"	"122"	"2714"	"81"	"522"	"133"	"52"	"76"	"234"	"6628"	""	"6628"	""
"22"	"13"	"107"	"74"	"5"	"246"	"5"	"56"	"6"	"4"	"4"	"6"	"513"	""	"513"	""
"23"	"14"	"49"	"130"	"8"	"262"	"9"	"108"	"17"	"11"	"24"	"29"	"647"	""	"647"	""
"24"	"15"	"80"	"51"	"12"	"324"	"5"	"69"	"16"	"2"	"5"	"24"	"588"	""	"588"	""
"25"	"16"	"61"	"23"	"3"	"432"	"10"	"68"	"5"	"1"	"12"	"7"	"622"	""	"622"	""
"26"	"17"	"81"	"262"	"6"	"201"	"2"	"43"	"5"	"2"	"6"	"11"	"619"	""	"619"	""
"27"	"18"	"100"	"222"	"8"	"148"	"2"	"21"	"9"	"6"	"9"	"17"	"542"	""	"542"	""
"28"	"19"	"45"	"28"	"3"	"116"	"1"	"24"	"3"	"2"	"0"	"0"	"222"	""	"222"	""
"29"	"20"	"194"	"34"	"4"	"210"	"2"	"43"	"9"	"1"	"1"	"5"	"503"	""	"503"	""
"30"	"21"	"195"	"30"	"26"	"473"	"9"	"82"	"31"	"14"	"11"	"22"	"893"	""	"893"	""
"31"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"33"	"22"	"131"	"306"	"23"	"121"	"8"	"35"	"10"	"10"	"15"	"64"	"723"	""	"723"	""
"34"	"23"	"146"	"154"	"21"	"203"	"9"	"47"	"9"	"3"	"8"	"21"	"621"	""	"621"	""
"35"	"24"	"67"	"221"	"17"	"344"	"9"	"47"	"21"	"6"	"4"	"23"	"759"	""	"759"	""
"36"	"25"	"212"	"31"	"72"	"263"	"12"	"38"	"12"	"4"	"5"	"20"	"669"	""	"669"	""
"37"	"26"	"63"	"117"	"59"	"173"	"6"	"21"	"4"	"5"	"4"	"16"	"468"	""	"468"	""
"38"	"TOTAL-II"	"1531"	"1683"	"267"	"3516"	"89"	"702"	"157"	"71"	"108"	"265"	"8389"	""	"8389"	""
"39"	"27"	"14"	"180"	"11"	"63"	"2"	"10"	"6"	"3"	"5"	"25"	"319"	""	"319"	""
"40"	"28"	"84"	"342"	"13"	"12"	"2"	"4"	"2"	"5"	"5"	"28"	"497"	""	"497"	""
"41"	"29"	"136"	"336"	"13"	"16"	"3"	"8"	"0"	"2"	"7"	"35"	"556"	""	"556"	""
"42"	"30"	"79"	"384"	"18"	"44"	"7"	"14"	"4"	"6"	"15"	"57"	"628"	""	"628"	""
"43"	"31"	"99"	"403"	"43"	"67"	"3"	"18"	"9"	"4"	"21"	"47"	"714"	""	"714"	""
"44"	"32"	"33"	"249"	"6"	"51"	"3"	"42"	"7"	"3"	"8"	"48"	"450"	""	"450"	""
"45"	"33"	"69"	"346"	"8"	"0"	"3"	"0"	"4"	"2"	"12"	"19"	"463"	""	"463"	""
"46"	"34"	"50"	"321"	"5"	"28"	"1"	"3"	"3"	"2"	"7"	"22"	"442"	""	"442"	""
"47"	"35"	"18"	"165"	"3"	"22"	"1"	"3"	"0"	"1"	"1"	"6"	"220"	""	"220"	""
"48"	"36"	"60"	"1"	"1"	"207"	"4"	"8"	"3"	"5"	"1"	"11"	"301"	""	"301"	""
"49"	"37"	"96"	"153"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"13"	"267"	""	"267"	""
"50"	"38"	"108"	"103"	"8"	"437"	"6"	"28"	"8"	"7"	"10"	"14"	"729"	""	"729"	""
"51"	"39"	"50"	"363"	"11"	"106"	"7"	"13"	"9"	"8"	"11"	"56"	"634"	""	"634"	""
"52"	"40"	"58"	"230"	"5"	"16"	"2"	"3"	"2"	"3"	"3"	"12"	"334"	""	"334"	""
"53"	"Total(I-III)"	"954"	"3576"	"146"	"1070"	"45"	"155"	"57"	"51"	"107"	"393"	"6554"	""	"6554"	""
"54"	"40d"	"113"	"129"	"6"	"3"	"3"	"1"	"2"	"4"	"6"	"17"	"284"	""	"284"	""
"55"	"41"	"31"	"466"	"10"	"15"	"1"	"3"	"4"	"5"	"6"	"19"	"560"	""	"560"	""
"56"	"42"	"49"	"209"	"11"	"125"	"9"	"38"	"16"	"5"	"8"	"41"	"511"	""	"511"	""
"57"	"43"	"52"	"263"	"11"	"55"	"3"	"18"	"5"	"6"	"18"	"17"	"448"	""	"448"	""
"58"	"44"	"64"	"208"	"17"	"142"	"5"	"31"	"11"	"4"	"11"	"14"	"507"	""	"507"	""
"59"	"45"	"115"	"203"	"14"	"79"	"12"	"16"	"16"	"9"	"18"	"55"	"537"	""	"537"	""
"60"	"46"	"14"	"358"	"10"	"2"	"1"	"2"	"0"	"2"	"10"	"9"	"408"	""	"408"	""
"61"	"47"	"227"	"169"	"32"	"186"	"4"	"11"	"8"	"2"	"9"	"27"	"675"	""	"675"	""
"62"	"48"	"34"	"21"	"1"	"380"	"13"	"19"	"19"	"3"	"5"	"2"	"497"	""	"497"	""
"63"	"49"	"16"	"67"	"7"	"275"	"25"	"50"	"13"	"4"	"5"	"22"	"484"	""	"484"	""
"64"	"50"	"10"	"73"	"5"	"375"	"10"	"47"	"21"	"3"	"8"	"27"	"579"	""	"579"	""
"65"	"51"	"23"	"146"	"3"	"132"	"4"	"26"	"13"	"7"	"14"	"24"	"392"	""	"392"	""
"66"	"52"	"145"	"188"	"15"	"164"	"9"	"38"	"12"	"17"	"20"	"46"	"654"	""	"654"	""
"67"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"69"	"53"	"287"	"95"	"13"	"247"	"8"	"44"	"26"	"9"	"14"	"83"	"826"	""	"826"	""
"70"	"TOTAL-IV"	"1180"	"2595"	"155"	"2180"	"107"	"344"	"166"	"80"	"152"	"403"	"7362"	""	"7362"	""
"71"	"54"	"288"	"144"	"10"	"148"	"14"	"42"	"6"	"8"	"6"	"13"	"679"	""	"679"	""
"72"	"55"	"50"	"12"	"5"	"261"	"4"	"31"	"5"	"2"	"1"	"5"	"376"	""	"376"	""
"73"	"56"	"93"	"187"	"17"	"223"	"8"	"29"	"20"	"9"	"4"	"23"	"613"	""	"613"	""
"74"	"57"	"89"	"138"	"6"	"131"	"9"	"39"	"10"	"5"	"10"	"35"	"472"	""	"472"	""
"75"	"58"	"24"	"17"	"43"	"258"	"6"	"56"	"10"	"4"	"11"	"25"	"454"	""	"454"	""
"76"	"59"	"26"	"345"	"11"	"75"	"2"	"22"	"14"	"12"	"11"	"49"	"567"	""	"567"	""
"77"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"78"	"61"	"22"	"9"	"3"	"305"	"5"	"48"	"16"	"0"	"6"	"6"	"420"	""	"420"	""
"79"	"62"	"40"	"69"	"32"	"260"	"22"	"53"	"17"	"3"	"1"	"5"	"502"	""	"502"	""
"80"	"63"	"155"	"190"	"10"	"171"	"5"	"32"	"11"	"3"	"7"	"21"	"605"	""	"605"	""
"81"	"64"	"49"	"297"	"12"	"4"	"1"	"4"	"3"	"3"	"6"	"22"	"401"	""	"401"	""
"82"	"65"	"20"	"582"	"15"	"4"	"0"	"0"	"3"	"2"	"20"	"25"	"671"	""	"671"	""
"83"	"66"	"55"	"493"	"40"	"20"	"3"	"5"	"1"	"6"	"24"	"33"	"680"	""	"680"	""
"84"	"67"	"247"	"154"	"17"	"210"	"3"	"24"	"12"	"4"	"7"	"24"	"702"	""	"702"	""
"85"	"TOTAL-V"	"1158"	"2637"	"221"	"2070"	"82"	"385"	"128"	"61"	"114"	"286"	"7142"	""	"7142"	""
"86"	"68"	"47"	"35"	"8"	"261"	"7"	"43"	"14"	"1"	"1"	"17"	"434"	""	"434"	""
"87"	"69"	"156"	"135"	"24"	"147"	"11"	"25"	"5"	"4"	"3"	"14"	"524"	""	"524"	""
"88"	"70"	"106"	"49"	"19"	"392"	"7"	"59"	"27"	"12"	"11"	"23"	"705"	""	"705"	""
"89"	"71"	"64"	"44"	"34"	"433"	"8"	"64"	"18"	"4"	"7"	"12"	"688"	""	"688"	""
"90"	"72"	"126"	"33"	"8"	"220"	"5"	"57"	"19"	"2"	"2"	"15"	"487"	""	"487"	""
"91"	"72d"	"93"	"54"	"13"	"141"	"5"	"49"	"10"	"6"	"6"	"24"	"401"	""	"401"	""
"92"	"73"	"97"	"48"	"32"	"366"	"11"	"57"	"20"	"9"	"9"	"29"	"678"	""	"678"	""
"93"	"74"	"109"	"126"	"31"	"297"	"9"	"64"	"17"	"6"	"17"	"37"	"713"	""	"713"	""
"94"	"75"	"89"	"33"	"7"	"327"	"13"	"53"	"20"	"6"	"6"	"19"	"573"	""	"573"	""
"95"	"76"	"63"	"49"	"21"	"198"	"8"	"48"	"10"	"9"	"7"	"19"	"432"	""	"432"	""
"96"	"77"	"20"	"6"	"1"	"204"	"8"	"24"	"9"	"3"	"2"	"5"	"282"	""	"282"	""
"97"	"78"	"90"	"41"	"1"	"14"	"2"	"3"	"3"	"4"	"3"	"7"	"168"	""	"168"	""
"98"	"79"	"37"	"209"	"7"	"138"	"2"	"22"	"7"	"3"	"9"	"25"	"459"	""	"459"	""
"99"	"80"	"15"	"113"	"7"	"127"	"3"	"23"	"9"	"4"	"3"	"27"	"331"	""	"331"	""
"100"	"TOTAL-VI"	"1112"	"975"	"213"	"3265"	"99"	"591"	"188"	"73"	"86"	"273"	"6875"	""	"6875"	""
"101"	"81"	"119"	"146"	"10"	"208"	"7"	"34"	"13"	"9"	"6"	"19"	"571"	""	"571"	""
"102"	"82"	"193"	"38"	"17"	"270"	"4"	"23"	"5"	"2"	"0"	"9"	"561"	""	"561"	""
"103"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"105"	"83"	"212"	"13"	"12"	"207"	"11"	"35"	"8"	"4"	"1"	"21"	"524"	""	"524"	""
"106"	"84"	"189"	"18"	"7"	"99"	"5"	"14"	"7"	"3"	"1"	"8"	"351"	""	"351"	""
"107"	"85"	"116"	"71"	"4"	"237"	"7"	"52"	"18"	"3"	"13"	"28"	"549"	""	"549"	""
"108"	"86"	"107"	"35"	"11"	"266"	"12"	"41"	"16"	"7"	"4"	"16"	"515"	""	"515"	""
"109"	"87"	"285"	"17"	"5"	"9"	"0"	"3"	"1"	"3"	"2"	"2"	"327"	""	"327"	""
"110"	"88"	"350"	"100"	"26"	"153"	"8"	"41"	"11"	"9"	"6"	"14"	"718"	""	"718"	""
"111"	"89"	"27"	"10"	"3"	"201"	"5"	"25"	"14"	"29"	"4"	"9"	"327"	""	"327"	""
"112"	"90"	"63"	"92"	"12"	"301"	"7"	"55"	"26"	"10"	"13"	"26"	"605"	""	"605"	""
"113"	"91"	"32"	"5"	"15"	"161"	"5"	"19"	"13"	"7"	"3"	"10"	"270"	""	"270"	""
"114"	"92"	"35"	"2"	"10"	"222"	"9"	"41"	"14"	"7"	"5"	"11"	"356"	""	"356"	""
"115"	"93"	"73"	"275"	"9"	"218"	"12"	"49"	"14"	"9"	"7"	"29"	"695"	""	"695"	""
"116"	"94"	"17"	"229"	"10"	"118"	"4"	"11"	"4"	"3"	"2"	"14"	"412"	""	"412"	""
"117"	"TOTAL-VII"	"1818"	"1051"	"151"	"2670"	"96"	"443"	"164"	"105"	"67"	"216"	"6781"	""	"6781"	""
"118"	"94d"	"18"	"5"	"3"	"269"	"4"	"35"	"17"	"3"	"1"	"4"	"359"	""	"359"	""
"119"	"95"	"50"	"55"	"9"	"121"	"6"	"22"	"7"	"7"	"4"	"24"	"305"	""	"305"	""
"120"	"96"	"17"	"145"	"5"	"130"	"2"	"35"	"10"	"7"	"9"	"18"	"378"	""	"378"	""
"121"	"97"	"111"	"64"	"24"	"215"	"9"	"34"	"17"	"7"	"11"	"12"	"504"	""	"504"	""
"122"	"98"	"90"	"170"	"13"	"121"	"6"	"12"	"7"	"7"	"9"	"37"	"472"	""	"472"	""
"123"	"99"	"82"	"38"	"13"	"258"	"9"	"88"	"15"	"3"	"3"	"16"	"525"	""	"525"	""
"124"	"100"	"22"	"118"	"15"	"206"	"9"	"27"	"6"	"5"	"3"	"8"	"419"	""	"419"	""
"125"	"101"	"70"	"143"	"11"	"147"	"9"	"25"	"9"	"6"	"13"	"21"	"454"	""	"454"	""
"126"	"102"	"28"	"300"	"14"	"16"	"3"	"6"	"2"	"2"	"9"	"29"	"409"	""	"409"	""
"127"	"103"	"33"	"216"	"14"	"87"	"3"	"12"	"6"	"3"	"13"	"29"	"416"	""	"416"	""
"128"	"104"	"48"	"42"	"106"	"257"	"7"	"44"	"8"	"2"	"3"	"10"	"527"	""	"527"	""
"129"	"105"	"380"	"51"	"22"	"155"	"6"	"37"	"11"	"8"	"13"	"20"	"703"	""	"703"	""
"130"	"106"	"46"	"113"	"14"	"269"	"4"	"36"	"15"	"7"	"6"	"23"	"533"	""	"533"	""
"131"	"107"	"108"	"13"	"49"	"364"	"10"	"55"	"13"	"2"	"9"	"11"	"634"	""	"634"	""
"132"	"TOTAL-VIII"	"1103"	"1473"	"312"	"2615"	"87"	"468"	"143"	"69"	"106"	"262"	"6638"	""	"6638"	""
"133"	"108"	"71"	"85"	"85"	"274"	"7"	"47"	"25"	"8"	"9"	"48"	"659"	""	"659"	""
"134"	"109"	"119"	"41"	"7"	"170"	"6"	"23"	"13"	"2"	"4"	"11"	"396"	""	"396"	""
"135"	"110"	"102"	"55"	"2"	"129"	"4"	"14"	"6"	"2"	"8"	"20"	"342"	""	"342"	""
"136"	"111"	"131"	"30"	"6"	"94"	"3"	"20"	"21"	"7"	"6"	"20"	"338"	""	"338"	""
"137"	"112"	"78"	"12"	"5"	"334"	"21"	"42"	"16"	"3"	"7"	"13"	"531"	""	"531"	""
"138"	"113"	"204"	"18"	"8"	"321"	"22"	"42"	"24"	"7"	"14"	"30"	"690"	""	"690"	""
"139"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"141"	"114"	"50"	"31"	"4"	"274"	"22"	"28"	"8"	"1"	"2"	"8"	"428"	""	"428"	""
"142"	"114d"	"55"	"4"	"9"	"199"	"9"	"23"	"7"	"2"	"2"	"7"	"317"	""	"317"	""
"143"	"115"	"37"	"29"	"8"	"259"	"7"	"18"	"15"	"1"	"4"	"20"	"398"	""	"398"	""
"144"	"116"	"13"	"74"	"6"	"212"	"5"	"9"	"14"	"0"	"2"	"10"	"345"	""	"345"	""
"145"	"117"	"74"	"39"	"7"	"260"	"7"	"62"	"22"	"3"	"9"	"16"	"499"	""	"499"	""
"146"	"118"	"118"	"84"	"10"	"209"	"17"	"28"	"9"	"4"	"7"	"20"	"506"	""	"506"	""
"147"	"119"	"62"	"41"	"12"	"462"	"12"	"50"	"17"	"15"	"9"	"40"	"720"	""	"720"	""
"148"	"120"	"131"	"109"	"12"	"136"	"14"	"35"	"33"	"15"	"19"	"31"	"535"	""	"535"	""
"149"	"TOTAL-IX"	"1245"	"652"	"181"	"3333"	"156"	"441"	"230"	"70"	"102"	"294"	"6704"	""	"6704"	""
"150"	"121"	"5"	"16"	"0"	"169"	"2"	"34"	"4"	"2"	"0"	"7"	"239"	""	"239"	""
"151"	"122"	"83"	"59"	"11"	"238"	"19"	"20"	"7"	"5"	"4"	"27"	"473"	""	"473"	""
"152"	"123"	"186"	"21"	"4"	"101"	"7"	"16"	"8"	"6"	"0"	"6"	"355"	""	"355"	""
"153"	"124"	"39"	"18"	"8"	"222"	"4"	"21"	"15"	"2"	"1"	"7"	"337"	""	"337"	""
"154"	"124d"	"13"	"1"	"2"	"278"	"6"	"15"	"17"	"2"	"1"	"4"	"339"	""	"339"	""
"155"	"125"	"34"	"27"	"8"	"296"	"4"	"48"	"11"	"2"	"5"	"31"	"466"	""	"466"	""
"156"	"126"	"401"	"10"	"0"	"18"	"0"	"5"	"2"	"0"	"1"	"8"	"445"	""	"445"	""
"157"	"127"	"345"	"27"	"12"	"117"	"4"	"20"	"12"	"5"	"4"	"23"	"569"	""	"569"	""
"158"	"128"	"40"	"66"	"4"	"321"	"6"	"57"	"11"	"8"	"4"	"53"	"570"	""	"570"	""
"159"	"129"	"191"	"16"	"6"	"195"	"12"	"50"	"12"	"7"	"5"	"18"	"512"	""	"512"	""
"160"	"130"	"32"	"90"	"21"	"240"	"8"	"44"	"16"	"6"	"9"	"14"	"480"	""	"480"	""
"161"	"131"	"43"	"25"	"4"	"192"	"2"	"53"	"8"	"2"	"9"	"5"	"343"	""	"343"	""
"162"	"132"	"57"	"40"	"12"	"413"	"13"	"53"	"23"	"14"	"8"	"19"	"652"	""	"652"	""
"163"	"133"	"232"	"151"	"7"	"112"	"3"	"14"	"5"	"2"	"5"	"15"	"546"	""	"546"	""
"164"	"TOTAL-X"	"1701"	"567"	"99"	"2912"	"90"	"450"	"151"	"63"	"56"	"237"	"6326"	""	"6326"	""
"165"	"134"	"33"	"20"	"2"	"171"	"3"	"15"	"14"	"2"	"2"	"6"	"268"	""	"268"	""
"166"	"135"	"53"	"141"	"9"	"191"	"4"	"42"	"20"	"11"	"9"	"55"	"535"	""	"535"	""
"167"	"136"	"24"	"192"	"12"	"86"	"1"	"22"	"8"	"11"	"20"	"41"	"417"	""	"417"	""
"168"	"137"	"20"	"88"	"7"	"112"	"5"	"29"	"16"	"5"	"5"	"26"	"313"	""	"313"	""
"169"	"138"	"28"	"209"	"11"	"144"	"7"	"30"	"4"	"5"	"5"	"9"	"452"	""	"452"	""
"170"	"139"	"29"	"184"	"1"	"158"	"2"	"17"	"3"	"5"	"11"	"13"	"423"	""	"423"	""
"171"	"140"	"21"	"78"	"6"	"295"	"2"	"31"	"8"	"1"	"4"	"11"	"457"	""	"457"	""
"172"	"141"	"99"	"66"	"6"	"352"	"7"	"38"	"16"	"3"	"4"	"17"	"608"	""	"608"	""
"173"	"142"	"34"	"102"	"7"	"317"	"3"	"28"	"5"	"5"	"6"	"10"	"517"	""	"517"	""
"174"	"143"	"232"	"20"	"2"	"109"	"5"	"14"	"5"	"6"	"4"	"15"	"412"	""	"412"	""
"175"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"177"	"144"	"39"	"62"	"4"	"556"	"11"	"52"	"40"	"5"	"6"	"13"	"788"	""	"788"	""
"178"	"145"	"58"	"79"	"11"	"333"	"11"	"33"	"14"	"4"	"4"	"15"	"562"	""	"562"	""
"179"	"146"	"31"	"174"	"18"	"270"	"11"	"71"	"25"	"16"	"17"	"39"	"672"	""	"672"	""
"180"	"147"	"128"	"49"	"10"	"281"	"3"	"39"	"15"	"5"	"4"	"14"	"548"	""	"548"	""
"181"	"TOTAL-XI"	"829"	"1464"	"106"	"3375"	"75"	"461"	"193"	"84"	"101"	"284"	"6972"	""	"6972"	""
"182"	"148"	"37"	"70"	"4"	"386"	"6"	"56"	"11"	"3"	"2"	"13"	"588"	""	"588"	""
"183"	"149"	"55"	"120"	"7"	"375"	"8"	"58"	"36"	"9"	"17"	"35"	"720"	""	"720"	""
"184"	"150"	"24"	"228"	"5"	"76"	"3"	"34"	"7"	"5"	"6"	"19"	"407"	""	"407"	""
"185"	"150d"	"13"	"185"	"6"	"130"	"3"	"17"	"6"	"5"	"4"	"22"	"391"	""	"391"	""
"186"	"151"	"134"	"66"	"5"	"61"	"1"	"12"	"6"	"4"	"3"	"13"	"305"	""	"305"	""
"187"	"151d"	"95"	"56"	"7"	"193"	"5"	"21"	"9"	"0"	"3"	"14"	"403"	""	"403"	""
"188"	"152"	"136"	"104"	"4"	"266"	"6"	"28"	"12"	"5"	"7"	"11"	"579"	""	"579"	""
"189"	"153"	"182"	"39"	"9"	"291"	"7"	"58"	"11"	"5"	"9"	"25"	"636"	""	"636"	""
"190"	"154"	"330"	"21"	"12"	"95"	"3"	"29"	"11"	"7"	"9"	"15"	"532"	""	"532"	""
"191"	"155"	"242"	"77"	"16"	"216"	"8"	"62"	"18"	"9"	"11"	"38"	"697"	""	"697"	""
"192"	"156"	"120"	"81"	"12"	"388"	"11"	"39"	"20"	"4"	"9"	"26"	"710"	""	"710"	""
"193"	"157"	"159"	"37"	"4"	"320"	"4"	"25"	"11"	"8"	"9"	"19"	"596"	""	"596"	""
"194"	"158"	"333"	"26"	"7"	"34"	"2"	"18"	"3"	"2"	"7"	"10"	"442"	""	"442"	""
"195"	"159"	"156"	"83"	"6"	"69"	"3"	"15"	"3"	"4"	"2"	"10"	"351"	""	"351"	""
"196"	"TOTAL-XII"	"2016"	"1193"	"104"	"2900"	"70"	"472"	"164"	"70"	"98"	"270"	"7357"	""	"7357"	""
"197"	"160"	"223"	"89"	"8"	"216"	"8"	"42"	"11"	"5"	"6"	"21"	"629"	""	"629"	""
"198"	"161"	"289"	"4"	"2"	"44"	"1"	"11"	"4"	"3"	"3"	"18"	"379"	""	"379"	""
"199"	"162"	"32"	"211"	"6"	"236"	"10"	"42"	"8"	"9"	"21"	"41"	"616"	""	"616"	""
"200"	"163"	"55"	"27"	"6"	"268"	"14"	"62"	"27"	"6"	"6"	"67"	"538"	""	"538"	""
