"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"(CHAPTER   XIV, PARA   26.9) FORM - 20"	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (7) ]"	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 104 MATIHANI A.C"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  - 104 MATIHANI A.C."	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"32"	"19"	"221"	"42"	"9"	"5"	"165"	"14"	"456"	"0"	"456"	"0"
"33"	"20"	"122"	"29"	"5"	"11"	"295"	"19"	"481"	"0"	"481"	"0"
"34"	"21"	"70"	"125"	"12"	"11"	"223"	"23"	"464"	"0"	"464"	"0"
"35"	"21A"	"73"	"31"	"4"	"5"	"141"	"17"	"271"	"0"	"271"	"0"
"36"	"22"	"89"	"29"	"3"	"7"	"251"	"14"	"393"	"0"	"393"	"0"
"37"	"22A"	"129"	"21"	"4"	"0"	"180"	"16"	"350"	"0"	"350"	"0"
"38"	"23"	"181"	"176"	"17"	"13"	"233"	"54"	"674"	"0"	"674"	"0"
"39"	"24"	"86"	"112"	"5"	"12"	"230"	"20"	"465"	"0"	"465"	"0"
"40"	"25"	"123"	"86"	"5"	"5"	"189"	"19"	"427"	"0"	"427"	"0"
"41"	"26"	"142"	"25"	"5"	"8"	"243"	"29"	"452"	"0"	"452"	"0"
"42"	"27"	"171"	"36"	"6"	"9"	"287"	"26"	"535"	"0"	"535"	"0"
"43"	"28"	"66"	"79"	"5"	"7"	"165"	"16"	"338"	"0"	"338"	"0"
"44"	"29"	"208"	"69"	"8"	"4"	"222"	"30"	"541"	"0"	"541"	"0"
"45"	"29A"	"56"	"69"	"2"	"8"	"187"	"12"	"334"	"0"	"334"	"0"
"46"	"30"	"71"	"124"	"1"	"3"	"199"	"12"	"410"	"0"	"410"	"0"
"47"	"30A"	"150"	"91"	"13"	"2"	"145"	"19"	"420"	"0"	"420"	"0"
"48"	"31"	"276"	"93"	"8"	"9"	"267"	"12"	"665"	"0"	"665"	"0"
"49"	"32"	"275"	"228"	"8"	"2"	"62"	"9"	"584"	"0"	"584"	"0"
"50"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"51"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"53"	"33"	"194"	"102"	"4"	"4"	"141"	"14"	"459"	"0"	"459"	"0"
"54"	"34"	"99"	"133"	"5"	"4"	"146"	"14"	"401"	"0"	"401"	"0"
"55"	"34A"	"66"	"78"	"6"	"0"	"140"	"10"	"300"	"0"	"300"	"0"
"56"	"35"	"109"	"183"	"10"	"12"	"166"	"11"	"491"	"0"	"491"	"0"
"57"	"36"	"54"	"68"	"4"	"6"	"198"	"14"	"344"	"0"	"344"	"0"
"58"	"37"	"61"	"164"	"5"	"5"	"291"	"23"	"549"	"0"	"549"	"0"
"59"	"38"	"181"	"202"	"12"	"6"	"322"	"17"	"740"	"0"	"740"	"0"
"60"	"39"	"40"	"169"	"20"	"2"	"274"	"19"	"524"	"0"	"524"	"0"
"61"	"40"	"88"	"106"	"6"	"8"	"348"	"29"	"585"	"0"	"585"	"0"
"62"	"41"	"17"	"47"	"3"	"6"	"232"	"16"	"321"	"0"	"321"	"0"
"63"	"42"	"115"	"110"	"28"	"12"	"569"	"26"	"860"	"0"	"860"	"0"
"64"	"43"	"157"	"154"	"9"	"6"	"331"	"17"	"674"	"0"	"674"	"0"
"65"	"44"	"106"	"97"	"6"	"6"	"333"	"20"	"568"	"0"	"568"	"0"
"66"	"45"	"122"	"178"	"12"	"10"	"377"	"27"	"726"	"0"	"726"	"0"
"67"	"46"	"60"	"31"	"6"	"5"	"319"	"17"	"438"	"0"	"438"	"0"
"68"	"46A"	"16"	"56"	"8"	"2"	"312"	"15"	"409"	"0"	"409"	"0"
"69"	"47"	"94"	"196"	"8"	"5"	"185"	"10"	"498"	"0"	"498"	"0"
"70"	"48"	"29"	"283"	"5"	"2"	"57"	"12"	"388"	"0"	"388"	"0"
"71"	"49"	"534"	"44"	"10"	"4"	"125"	"20"	"737"	"0"	"737"	"0"
"72"	"50"	"258"	"123"	"42"	"8"	"286"	"35"	"752"	"0"	"752"	"0"
"73"	"51"	"455"	"33"	"11"	"4"	"91"	"18"	"612"	"0"	"612"	"0"
"74"	"52"	"95"	"83"	"15"	"7"	"499"	"23"	"722"	"0"	"722"	"0"
"75"	"53"	"48"	"28"	"6"	"9"	"487"	"37"	"615"	"0"	"615"	"0"
"76"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"77"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"78"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"79"	"54"	"93"	"27"	"11"	"14"	"289"	"32"	"466"	"0"	"466"	"0"
"80"	"55"	"96"	"27"	"1"	"1"	"273"	"4"	"402"	"0"	"402"	"0"
"81"	"56"	"84"	"60"	"6"	"9"	"137"	"15"	"311"	"0"	"311"	"0"
"82"	"56A"	"102"	"35"	"9"	"6"	"157"	"14"	"323"	"0"	"323"	"0"
"83"	"57"	"71"	"25"	"2"	"2"	"230"	"8"	"338"	"0"	"338"	"0"
"84"	"58"	"101"	"103"	"5"	"3"	"382"	"14"	"608"	"0"	"608"	"0"
"85"	"59"	"91"	"98"	"7"	"6"	"338"	"10"	"550"	"0"	"550"	"0"
"86"	"60"	"69"	"28"	"10"	"4"	"234"	"13"	"358"	"0"	"358"	"0"
"87"	"60A"	"99"	"118"	"20"	"8"	"176"	"23"	"444"	"0"	"444"	"0"
"88"	"61"	"114"	"39"	"3"	"8"	"276"	"25"	"465"	"0"	"465"	"0"
"89"	"61A"	"95"	"34"	"7"	"2"	"117"	"12"	"267"	"0"	"267"	"0"
"90"	"62"	"66"	"89"	"13"	"3"	"182"	"15"	"368"	"0"	"368"	"0"
"91"	"62A"	"24"	"147"	"9"	"2"	"103"	"7"	"292"	"0"	"292"	"0"
"92"	"63"	"57"	"127"	"8"	"13"	"347"	"26"	"578"	"0"	"578"	"0"
"93"	"64"	"203"	"44"	"10"	"5"	"104"	"19"	"385"	"0"	"385"	"0"
"94"	"65"	"168"	"70"	"20"	"3"	"79"	"11"	"351"	"0"	"351"	"0"
"95"	"66"	"203"	"202"	"10"	"2"	"237"	"23"	"677"	"0"	"677"	"0"
"96"	"67"	"208"	"42"	"16"	"12"	"276"	"31"	"585"	"0"	"585"	"0"
"97"	"68"	"104"	"146"	"6"	"12"	"361"	"19"	"648"	"0"	"648"	"0"
"98"	"69"	"26"	"13"	"5"	"1"	"201"	"25"	"271"	"0"	"271"	"0"
"99"	"69A"	"56"	"158"	"12"	"6"	"74"	"9"	"315"	"0"	"315"	"0"
"100"	"70"	"179"	"224"	"12"	"11"	"248"	"24"	"698"	"0"	"698"	"0"
"101"	"71"	"82"	"35"	"1"	"1"	"251"	"16"	"386"	"0"	"386"	"0"
"102"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"103"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"105"	"71A"	"109"	"74"	"6"	"2"	"165"	"8"	"364"	"0"	"364"	"0"
"106"	"72"	"89"	"60"	"8"	"8"	"431"	"36"	"632"	"0"	"632"	"0"
"107"	"73"	"61"	"135"	"9"	"8"	"169"	"20"	"402"	"0"	"402"	"0"
"108"	"73A"	"35"	"151"	"5"	"6"	"95"	"10"	"302"	"0"	"302"	"0"
"109"	"74"	"58"	"22"	"2"	"10"	"377"	"18"	"487"	"0"	"487"	"0"
"110"	"75"	"68"	"31"	"7"	"2"	"306"	"13"	"427"	"0"	"427"	"0"
"111"	"76"	"92"	"36"	"17"	"7"	"372"	"52"	"576"	"0"	"576"	"0"
"112"	"77"	"38"	"91"	"12"	"15"	"308"	"34"	"498"	"0"	"498"	"0"
"113"	"78"	"245"	"18"	"3"	"4"	"308"	"10"	"588"	"0"	"588"	"0"
"114"	"79"	"84"	"126"	"9"	"2"	"187"	"5"	"413"	"0"	"413"	"0"
"115"	"80"	"100"	"142"	"10"	"12"	"131"	"10"	"405"	"0"	"405"	"0"
"116"	"80A"	"50"	"43"	"2"	"6"	"308"	"10"	"419"	"0"	"419"	"0"
"117"	"81"	"57"	"21"	"5"	"4"	"363"	"23"	"473"	"0"	"473"	"0"
"118"	"82"	"90"	"30"	"6"	"6"	"342"	"15"	"489"	"0"	"489"	"0"
"119"	"83"	"126"	"95"	"5"	"2"	"274"	"8"	"510"	"0"	"510"	"0"
"120"	"84"	"96"	"22"	"2"	"1"	"237"	"9"	"367"	"0"	"367"	"0"
"121"	"84A"	"106"	"45"	"2"	"1"	"240"	"7"	"401"	"0"	"401"	"0"
"122"	"85"	"32"	"234"	"4"	"2"	"162"	"9"	"443"	"0"	"443"	"0"
"123"	"86"	"86"	"6"	"2"	"1"	"192"	"2"	"289"	"0"	"289"	"0"
"124"	"87"	"199"	"20"	"3"	"2"	"259"	"4"	"487"	"0"	"487"	"0"
"125"	"88"	"38"	"173"	"8"	"6"	"198"	"8"	"431"	"0"	"431"	"0"
"126"	"89"	"44"	"130"	"4"	"2"	"224"	"4"	"408"	"0"	"408"	"0"
"127"	"90"	"114"	"166"	"9"	"8"	"176"	"19"	"492"	"0"	"492"	"0"
"128"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"129"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"131"	"90A"	"14"	"45"	"6"	"3"	"183"	"9"	"260"	"0"	"260"	"0"
"132"	"91"	"47"	"78"	"13"	"13"	"526"	"54"	"731"	"0"	"731"	"0"
"133"	"92"	"174"	"26"	"6"	"11"	"291"	"22"	"530"	"0"	"530"	"0"
"134"	"93"	"233"	"47"	"4"	"7"	"314"	"15"	"620"	"0"	"620"	"0"
"135"	"94"	"319"	"18"	"1"	"4"	"225"	"14"	"581"	"0"	"581"	"0"
"136"	"95"	"449"	"23"	"2"	"18"	"283"	"23"	"798"	"0"	"798"	"0"
"137"	"96"	"373"	"33"	"3"	"1"	"199"	"15"	"624"	"0"	"624"	"0"
"138"	"97"	"221"	"25"	"2"	"1"	"161"	"10"	"420"	"0"	"420"	"0"
"139"	"98"	"289"	"16"	"2"	"2"	"82"	"8"	"399"	"0"	"399"	"0"
"140"	"98A"	"264"	"20"	"4"	"3"	"117"	"14"	"422"	"0"	"422"	"0"
"141"	"99"	"295"	"10"	"0"	"2"	"54"	"5"	"366"	"0"	"366"	"0"
"142"	"100"	"390"	"110"	"9"	"11"	"128"	"28"	"676"	"0"	"676"	"0"
"143"	"101"	"440"	"34"	"4"	"7"	"116"	"17"	"618"	"0"	"618"	"0"
"144"	"102"	"315"	"43"	"6"	"6"	"164"	"15"	"549"	"0"	"549"	"0"
"145"	"106"	"57"	"11"	"1"	"2"	"180"	"11"	"262"	"0"	"262"	"0"
"146"	"107"	"165"	"21"	"4"	"6"	"123"	"3"	"322"	"0"	"322"	"0"
"147"	"108"	"93"	"39"	"15"	"11"	"147"	"23"	"328"	"0"	"328"	"0"
"148"	"109"	"143"	"43"	"9"	"11"	"226"	"29"	"461"	"0"	"461"	"0"
"149"	"110"	"38"	"313"	"5"	"6"	"241"	"17"	"620"	"0"	"620"	"0"
"150"	"111"	"49"	"86"	"10"	"3"	"51"	"3"	"202"	"0"	"202"	"0"
"151"	"111A"	"68"	"110"	"6"	"7"	"216"	"12"	"419"	"0"	"419"	"0"
"152"	"112"	"60"	"204"	"10"	"8"	"304"	"20"	"606"	"0"	"606"	"0"
"153"	"113"	"244"	"134"	"9"	"3"	"284"	"20"	"694"	"0"	"694"	"0"
"154"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"155"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"156"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"157"	"114"	"91"	"109"	"8"	"5"	"198"	"14"	"425"	"0"	"425"	"0"
"158"	"114A"	"34"	"39"	"0"	"4"	"194"	"10"	"281"	"0"	"281"	"0"
"159"	"115"	"76"	"68"	"7"	"6"	"251"	"23"	"431"	"0"	"431"	"0"
"160"	"115A"	"73"	"69"	"0"	"2"	"154"	"10"	"308"	"0"	"308"	"0"
"161"	"116"	"130"	"63"	"19"	"4"	"309"	"13"	"538"	"0"	"538"	"0"
"162"	"117"	"212"	"86"	"14"	"6"	"288"	"31"	"637"	"0"	"637"	"0"
"163"	"118"	"74"	"18"	"7"	"3"	"158"	"42"	"302"	"0"	"302"	"0"
"164"	"118A"	"164"	"28"	"9"	"3"	"200"	"32"	"436"	"0"	"436"	"0"
"165"	"119"	"42"	"20"	"1"	"4"	"72"	"247"	"386"	"0"	"386"	"0"
"166"	"119A"	"82"	"45"	"4"	"11"	"98"	"297"	"537"	"0"	"537"	"0"
"167"	"120"	"45"	"253"	"3"	"0"	"122"	"11"	"434"	"0"	"434"	"0"
"168"	"120A"	"42"	"200"	"6"	"6"	"235"	"11"	"500"	"0"	"500"	"0"
"169"	"121"	"101"	"242"	"13"	"6"	"453"	"24"	"839"	"0"	"839"	"0"
"170"	"122"	"33"	"393"	"9"	"5"	"76"	"9"	"525"	"0"	"525"	"0"
"171"	"123"	"189"	"85"	"13"	"4"	"408"	"20"	"719"	"0"	"719"	"0"
"172"	"124"	"201"	"162"	"9"	"5"	"80"	"10"	"467"	"0"	"467"	"0"
"173"	"125"	"57"	"451"	"14"	"3"	"123"	"13"	"661"	"0"	"661"	"0"
"174"	"126"	"111"	"199"	"6"	"4"	"81"	"8"	"409"	"0"	"409"	"0"
"175"	"127"	"113"	"230"	"5"	"1"	"142"	"9"	"500"	"0"	"500"	"0"
"176"	"128"	"208"	"40"	"2"	"3"	"152"	"16"	"421"	"0"	"421"	"0"
"177"	"129"	"270"	"27"	"5"	"3"	"135"	"6"	"446"	"0"	"446"	"0"
"178"	"130"	"105"	"106"	"3"	"8"	"247"	"18"	"487"	"0"	"487"	"0"
"179"	"131"	"60"	"284"	"14"	"5"	"120"	"18"	"501"	"0"	"501"	"0"
"180"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"181"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"183"	"132"	"100"	"70"	"0"	"4"	"270"	"10"	"454"	"0"	"454"	"0"
"184"	"133"	"40"	"150"	"4"	"3"	"178"	"11"	"386"	"0"	"386"	"0"
"185"	"134"	"42"	"240"	"10"	"1"	"157"	"8"	"458"	"0"	"458"	"0"
"186"	"135"	"42"	"289"	"8"	"11"	"258"	"19"	"627"	"0"	"627"	"0"
"187"	"136"	"95"	"115"	"2"	"4"	"309"	"24"	"549"	"0"	"549"	"0"
"188"	"137"	"41"	"217"	"5"	"7"	"146"	"11"	"427"	"0"	"427"	"0"
"189"	"137A"	"27"	"77"	"4"	"3"	"144"	"5"	"260"	"0"	"260"	"0"
"190"	"138"	"44"	"82"	"5"	"5"	"340"	"16"	"492"	"0"	"492"	"0"
"191"	"139"	"52"	"394"	"12"	"3"	"257"	"12"	"730"	"0"	"730"	"0"
"192"	"140"	"140"	"66"	"11"	"8"	"376"	"25"	"626"	"0"	"626"	"0"
"193"	"141"	"91"	"81"	"8"	"7"	"285"	"19"	"491"	"0"	"491"	"0"
"194"	"142"	"37"	"89"	"10"	"8"	"166"	"16"	"326"	"0"	"326"	"0"
"195"	"143"	"165"	"91"	"2"	"7"	"178"	"12"	"455"	"0"	"455"	"0"
"196"	"144"	"34"	"287"	"19"	"5"	"40"	"11"	"396"	"0"	"396"	"0"
"197"	"145"	"112"	"101"	"11"	"6"	"99"	"10"	"339"	"0"	"339"	"0"
"198"	"145A"	"65"	"195"	"7"	"2"	"69"	"7"	"345"	"0"	"345"	"0"
"199"	"146"	"98"	"16"	"1"	"3"	"203"	"14"	"335"	"0"	"335"	"0"
"200"	"147"	"87"	"34"	"6"	"3"	"217"	"18"	"365"	"0"	"365"	"0"
"201"	"148"	"77"	"36"	"5"	"6"	"242"	"29"	"395"	"0"	"395"	"0"
"202"	"149"	"228"	"251"	"10"	"9"	"83"	"9"	"590"	"0"	"590"	"0"
"203"	"150"	"333"	"170"	"11"	"9"	"138"	"25"	"686"	"0"	"686"	"0"
"204"	"151"	"168"	"19"	"0"	"3"	"186"	"3"	"379"	"0"	"379"	"0"
"205"	"152"	"190"	"88"	"5"	"3"	"98"	"4"	"388"	"0"	"388"	"0"
"206"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"207"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"209"	"153"	"283"	"41"	"6"	"6"	"216"	"13"	"565"	"0"	"565"	"0"
"210"	"154"	"83"	"21"	"2"	"3"	"237"	"15"	"361"	"0"	"361"	"0"
"211"	"155"	"78"	"54"	"3"	"3"	"317"	"13"	"468"	"0"	"468"	"0"
"212"	"156"	"151"	"104"	"2"	"3"	"151"	"5"	"416"	"0"	"416"	"0"
"213"	"157"	"192"	"102"	"0"	"1"	"141"	"8"	"444"	"0"	"444"	"0"
"214"	"158"	"133"	"59"	"7"	"7"	"230"	"23"	"459"	"0"	"459"	"0"
"215"	"159"	"108"	"7"	"3"	"10"	"210"	"28"	"366"	"0"	"366"	"0"
"216"	"160"	"105"	"49"	"7"	"9"	"327"	"23"	"520"	"0"	"520"	"0"
"217"	"161"	"183"	"66"	"6"	"2"	"174"	"23"	"454"	"0"	"454"	"0"
"218"	"162"	"78"	"24"	"6"	"1"	"235"	"14"	"358"	"0"	"358"	"0"
"219"	"162A"	"92"	"57"	"11"	"12"	"260"	"18"	"450"	"0"	"450"	"0"
"220"	"163"	"80"	"93"	"10"	"13"	"337"	"12"	"545"	"0"	"545"	"0"
"221"	"164"	"87"	"113"	"8"	"2"	"385"	"21"	"616"	"0"	"616"	"0"
"222"	"165"	"153"	"142"	"5"	"3"	"180"	"10"	"493"	"0"	"493"	"0"
"223"	"166"	"66"	"100"	"5"	"6"	"323"	"19"	"519"	"0"	"519"	"0"
"224"	"167"	"220"	"55"	"5"	"4"	"109"	"28"	"421"	"0"	"421"	"0"
"225"	"167A"	"174"	"62"	"19"	"6"	"87"	"11"	"359"	"0"	"359"	"0"
"226"	"168"	"72"	"65"	"10"	"10"	"420"	"40"	"617"	"0"	"617"	"0"
"227"	"169"	"38"	"31"	"0"	"1"	"342"	"9"	"421"	"0"	"421"	"0"
"228"	"170"	"77"	"30"	"3"	"3"	"248"	"16"	"377"	"0"	"377"	"0"
"229"	"170A"	"17"	"22"	"3"	"2"	"366"	"12"	"422"	"0"	"422"	"0"
"230"	"171"	"83"	"33"	"6"	"3"	"155"	"20"	"300"	"0"	"300"	"0"
"231"	"171A"	"89"	"40"	"11"	"9"	"259"	"29"	"437"	"0"	"437"	"0"
"232"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"233"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"235"	"172"	"84"	"36"	"7"	"4"	"412"	"32"	"575"	"0"	"575"	"0"
"236"	"173"	"65"	"29"	"4"	"8"	"238"	"20"	"364"	"0"	"364"	"0"
"237"	"174"	"31"	"8"	"2"	"7"	"256"	"31"	"335"	"0"	"335"	"0"
"238"	"175"	"169"	"77"	"8"	"9"	"367"	"38"	"668"	"0"	"668"	"0"
"239"	"176"	"160"	"186"	"7"	"10"	"255"	"34"	"652"	"0"	"652"	"0"
"240"	"177"	"96"	"157"	"13"	"10"	"281"	"35"	"592"	"0"	"592"	"0"
"241"	"178"	"64"	"49"	"4"	"11"	"342"	"21"	"491"	"0"	"491"	"0"
"242"	"Total No. of Votes recorded on Polling Stations"	"25517"	"19963"	"1528"	"1184"	"47906"	"4176"	"100285"	"0"	"100285"	"0"
"243"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"244"	"Total Votes
Polled"	"25517"	"19963"	"1528"	"1184"	"47906"	"4176"	"100285"	"0"	"100285"	"0"
"245"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""
"246"	"Date :            11/22/2005"	""	""	""	""	""	""	""	""	""	""
"247"	"Assistant Returning Officer                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""
"248"	"104- Matihani A.C.                                                           104- Matihani A.C."	""	""	""	""	""	""	""	""	""	""
