"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"18"	"8"	"7"	"8"	"6"	"223"	"18"	"0"	"3"	"1"	"0"	"0"	"1"	"4"	"3"	"1"	"13"	"2"	"129"	"1"	"0"	"3"	"416"	"0"	"416"	"0"
"19"	"9"	"8"	"17"	"3"	"202"	"51"	"4"	"6"	"0"	"0"	"2"	"0"	"4"	"2"	"4"	"5"	"4"	"59"	"7"	"2"	"7"	"379"	"0"	"379"	"0"
"20"	"10"	"9"	"73"	"14"	"180"	"18"	"6"	"6"	"2"	"0"	"2"	"1"	"2"	"1"	"7"	"7"	"7"	"191"	"8"	"4"	"3"	"532"	"0"	"532"	"0"
"21"	"11"	"10"	"13"	"2"	"232"	"28"	"4"	"1"	"2"	"0"	"1"	"2"	"1"	"6"	"5"	"2"	"9"	"173"	"0"	"1"	"1"	"483"	"0"	"483"	"0"
"22"	"12"	"11"	"7"	"1"	"103"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"174"	"2"	"2"	"7"	"304"	"0"	"304"	"0"
"23"	"13"	"12"	"20"	"6"	"198"	"73"	"4"	"2"	"0"	"1"	"2"	"5"	"2"	"7"	"14"	"15"	"11"	"239"	"5"	"4"	"11"	"619"	"0"	"619"	"0"
"24"	"14"	"13"	"7"	"1"	"239"	"4"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"173"	"1"	"2"	"1"	"434"	"0"	"434"	"0"
"25"	"Total Votes Polled"	""	"387"	"75"	"2149"	"413"	"46"	"38"	"13"	"9"	"15"	"15"	"24"	"37"	"61"	"74"	"69"	"2032"	"62"	"35"	"99"	"5653"	"0"	"5653"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"14"	"27"	"1"	"170"	"18"	"6"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"20"	"1"	"0"	"0"	"248"	"0"	"248"	"0"
"44"	"2"	"15"	"20"	"6"	"76"	"5"	"1"	"6"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"2"	"4"	"93"	"1"	"1"	"4"	"227"	"0"	"227"	"0"
"45"	"3"	"16"	"25"	"4"	"93"	"25"	"5"	"5"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"2"	"2"	"77"	"23"	"11"	"15"	"294"	"0"	"294"	"0"
"46"	"4"	"17"	"11"	"0"	"214"	"6"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"7"	"9"	"164"	"2"	"4"	"3"	"431"	"0"	"431"	"0"
"47"	"5"	"18"	"13"	"5"	"131"	"7"	"0"	"4"	"1"	"0"	"2"	"2"	"0"	"4"	"3"	"2"	"4"	"163"	"1"	"0"	"4"	"346"	"0"	"346"	"0"
"48"	"6"	"18A"	"4"	"2"	"131"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"27"	"2"	"0"	"2"	"175"	"0"	"175"	"0"
"49"	"7"	"19"	"17"	"0"	"182"	"20"	"1"	"6"	"3"	"3"	"1"	"1"	"0"	"1"	"5"	"4"	"7"	"149"	"9"	"10"	"48"	"467"	"0"	"467"	"0"
"50"	"8"	"20"	"15"	"3"	"147"	"56"	"3"	"2"	"1"	"3"	"3"	"2"	"0"	"7"	"6"	"23"	"13"	"168"	"3"	"1"	"3"	"459"	"0"	"459"	"0"
"51"	"9"	"21"	"46"	"2"	"61"	"18"	"5"	"2"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"5"	"13"	"164"	"10"	"5"	"10"	"348"	"0"	"348"	"0"
"52"	"10"	"22"	"1"	"1"	"37"	"475"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"37"	"0"	"0"	"1"	"561"	"0"	"561"	"0"
"53"	"11"	"23"	"13"	"25"	"172"	"7"	"2"	"3"	"2"	"1"	"1"	"4"	"0"	"1"	"0"	"4"	"1"	"104"	"5"	"1"	"6"	"352"	"0"	"352"	"0"
"54"	"12"	"23A"	"13"	"4"	"124"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"65"	"1"	"3"	"6"	"226"	"0"	"226"	"0"
"55"	"13"	"24"	"21"	"2"	"147"	"21"	"3"	"7"	"1"	"4"	"1"	"3"	"4"	"2"	"6"	"15"	"9"	"130"	"4"	"3"	"8"	"391"	"0"	"391"	"0"
"56"	"14"	"25"	"13"	"1"	"147"	"26"	"3"	"4"	"3"	"2"	"0"	"2"	"2"	"2"	"2"	"7"	"5"	"78"	"1"	"2"	"8"	"308"	"0"	"308"	"0"
"57"	"Total Votes Polled"	""	"239"	"56"	"1832"	"692"	"37"	"45"	"17"	"18"	"9"	"21"	"8"	"25"	"32"	"73"	"68"	"1439"	"63"	"41"	"118"	"4833"	"0"	"4833"	"0"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"26"	"9"	"0"	"92"	"132"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"8"	"5"	"2"	"136"	"1"	"0"	"1"	"394"	"0"	"394"	"0"
"76"	"2"	"27"	"0"	"4"	"474"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"0"	"0"	"3"	"503"	"0"	"503"	"0"
"77"	"3"	"28"	"1"	"0"	"166"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"105"	"0"	"1"	"3"	"279"	"0"	"279"	"0"
"78"	"4"	"29"	"14"	"3"	"227"	"22"	"0"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"0"	"0"	"1"	"295"	"0"	"295"	"0"
"79"	"5"	"30"	"9"	"4"	"425"	"17"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"7"	"0"	"0"	"3"	"470"	"0"	"470"	"0"
"80"	"6"	"31"	"6"	"4"	"482"	"49"	"5"	"8"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"11"	"3"	"1"	"10"	"586"	"0"	"586"	"0"
"81"	"7"	"32"	"4"	"1"	"184"	"109"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"4"	"4"	"57"	"0"	"0"	"1"	"371"	"0"	"371"	"0"
"82"	"8"	"33"	"18"	"4"	"158"	"8"	"2"	"4"	"3"	"0"	"2"	"1"	"4"	"1"	"7"	"6"	"4"	"183"	"2"	"0"	"6"	"413"	"0"	"413"	"0"
"83"	"9"	"34"	"21"	"6"	"294"	"26"	"0"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"6"	"2"	"62"	"0"	"0"	"0"	"426"	"0"	"426"	"0"
"84"	"10"	"35"	"21"	"2"	"198"	"10"	"3"	"1"	"2"	"1"	"1"	"3"	"1"	"2"	"8"	"15"	"4"	"121"	"4"	"1"	"1"	"399"	"0"	"399"	"0"
"85"	"11"	"36"	"18"	"7"	"100"	"21"	"1"	"10"	"1"	"1"	"0"	"3"	"0"	"2"	"6"	"4"	"3"	"71"	"2"	"0"	"4"	"254"	"0"	"254"	"0"
"86"	"12"	"37"	"11"	"3"	"86"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"0"	"4"	"111"	"2"	"0"	"7"	"236"	"0"	"236"	"0"
"87"	"13"	"38"	"45"	"12"	"231"	"32"	"2"	"12"	"1"	"4"	"5"	"3"	"3"	"7"	"4"	"9"	"10"	"230"	"17"	"7"	"13"	"647"	"0"	"647"	"0"
"88"	"14"	"39"	"14"	"1"	"178"	"11"	"0"	"6"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"4"	"82"	"1"	"0"	"3"	"309"	"0"	"309"	"0"
"89"	"Total Votes Polled"	""	"191"	"51"	"3295"	"457"	"17"	"52"	"11"	"12"	"12"	"14"	"13"	"20"	"45"	"53"	"41"	"1200"	"32"	"10"	"56"	"5582"	"0"	"5582"	"0"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"39A"	"20"	"1"	"97"	"31"	"4"	"9"	"0"	"1"	"0"	"5"	"2"	"1"	"3"	"4"	"5"	"87"	"3"	"0"	"0"	"273"	"0"	"273"	"0"
"108"	"2"	"40"	"11"	"3"	"83"	"53"	"0"	"1"	"2"	"1"	"0"	"0"	"3"	"6"	"6"	"5"	"5"	"135"	"1"	"2"	"5"	"322"	"0"	"322"	"0"
"109"	"3"	"40A"	"20"	"4"	"162"	"12"	"0"	"5"	"3"	"4"	"1"	"0"	"2"	"2"	"2"	"6"	"1"	"32"	"0"	"1"	"6"	"263"	"0"	"263"	"0"
"110"	"4"	"41"	"74"	"1"	"94"	"17"	"4"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"2"	"85"	"0"	"0"	"2"	"287"	"0"	"287"	"0"
"111"	"5"	"42"	"97"	"0"	"59"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"34"	"0"	"0"	"1"	"195"	"0"	"195"	"0"
"112"	"6"	"43"	"15"	"5"	"105"	"33"	"3"	"6"	"0"	"0"	"1"	"4"	"0"	"4"	"9"	"10"	"4"	"182"	"2"	"1"	"6"	"390"	"0"	"390"	"0"
"113"	"7"	"44R"	"39"	"6"	"97"	"2"	"1"	"4"	"3"	"0"	"2"	"2"	"2"	"0"	"0"	"5"	"1"	"137"	"11"	"1"	"5"	"318"	"0"	"318"	"0"
"114"	"8"	"45"	"4"	"0"	"191"	"463"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"29"	"0"	"0"	"0"	"691"	"0"	"691"	"0"
"115"	"9"	"46"	"22"	"3"	"256"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"137"	"0"	"0"	"0"	"427"	"0"	"427"	"0"
"116"	"10"	"47"	"19"	"2"	"50"	"223"	"4"	"3"	"1"	"0"	"0"	"3"	"0"	"2"	"5"	"1"	"4"	"76"	"19"	"13"	"20"	"445"	"0"	"445"	"0"
"117"	"11"	"48"	"42"	"8"	"238"	"18"	"8"	"12"	"4"	"2"	"1"	"0"	"0"	"2"	"2"	"8"	"7"	"150"	"7"	"6"	"15"	"530"	"0"	"530"	"0"
"118"	"12"	"49"	"26"	"4"	"274"	"3"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"7"	"5"	"106"	"13"	"16"	"21"	"484"	"0"	"484"	"0"
"119"	"13"	"50"	"28"	"1"	"203"	"12"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"5"	"5"	"7"	"137"	"6"	"1"	"11"	"423"	"0"	"423"	"0"
"120"	"14"	"51"	"120"	"5"	"3"	"3"	"4"	"1"	"0"	"0"	"2"	"2"	"4"	"5"	"154"	"157"	"19"	"14"	"0"	"0"	"0"	"493"	"0"	"493"	"0"
"121"	"Total Votes Polled"	""	"537"	"43"	"1912"	"875"	"34"	"49"	"19"	"10"	"8"	"16"	"15"	"24"	"191"	"211"	"61"	"1341"	"62"	"41"	"92"	"5541"	"0"	"5541"	"0"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"52"	"15"	"2"	"111"	"74"	"4"	"7"	"0"	"2"	"5"	"1"	"2"	"1"	"6"	"12"	"4"	"73"	"3"	"0"	"3"	"325"	"0"	"325"	"0"
"140"	"2"	"53"	"7"	"1"	"361"	"128"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"82"	"1"	"0"	"2"	"588"	"0"	"588"	"0"
"141"	"3"	"54"	"15"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"520"	"1"	"4"	"0"	"0"	"0"	"550"	"0"	"550"	"0"
